AgID,Inc,Co,OwOReF,Sta,MidIn,NumCa,LNa,Ph,MarSta,CrRat,C,NuChil,A,Empl,NuCreCar,NWor
GZO7532,190371.0,United States of America,U,British Columbia,F,3.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,1-136-358-6852,D,841.0,Milwaukee,3.0,27.0,,5.0,3397276.0
DRW7533,203968.0,United States of America,O,LA,A,3.0,DRWTVTDSG,1-123-528-2965,U,540.0,Phoenix,1.0,95.0,FPL Group,6.0,2444257.0
set7534,428323.0,United States of America,R,HI,N,1.0,setksinlvlrjwnfu,1-136-565-2501,U,540.0,Anchorage,3.0,35.0,Lockheed Martin,10.0,71520.0
Pyo7535,159980.0,United States of America,O,NY,,4.0,Pyoixliri,1-317-986-1984,M,,Madison,1.0,96.0,Sanmina-SCI,6.0,1911091.0
FSH7536,266852.0,Canada,O,TX,,0.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,1-265-603-1262,W,424.0,Fontana,0.0,96.0,Iron Mountain,6.0,988775.0
Tdx7537,206973.0,United States of America,R,AZ,,5.0,Tdxyljuxporjhdumcvfmv,,M,623.0,Charlotte,5.0,49.0,OfficeMax,2.0,3919363.0
Sbn7538,258221.0,Canada,O,ME,O,5.0,Sbnxcsrozzcufdoyvckpplofysx,1-156-668-6882,S,792.0,Richmond,1.0,,AMR,4.0,428918.0
Piq7539,428508.0,United States of America,O,NH,C,4.0,Piqizouhxiw,1-164-648-3203,S,718.0,Santa Clarita,4.0,27.0,Kohl's,6.0,58134.0
IXD7540,,,O,KY,,4.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,1-839-795-1027,M,401.0,Yellow Knife,0.0,98.0,Cigna,6.0,3703767.0
wsn7541,58953.0,United States of America,R,Prince Edward Island,,4.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,1-958-412-4252,M,557.0,Oxnard,5.0,,West,2.0,433859.0
Jkp7542,409682.0,United States of America,O,British Columbia,A,5.0,Jkpmtcj,1-392-335-1020,W,393.0,Huntington Beach,5.0,56.0,Monsanto,7.0,3002044.0
CCF7543,340191.0,United States of America,,CT,,2.0,CCFFVCOHCLUUXZIQTCFCUHEYN,1-912-050-7605,M,557.0,Durham,4.0,94.0,Reliant Energy,10.0,1124168.0
ylj7544,238216.0,United States of America,O,WA,,4.0,yljvuglvt,1-075-551-9919,U,465.0,Naperville,5.0,98.0,Idearc,5.0,2081541.0
ZBB7545,113171.0,Canada,O,ND,V,0.0,ZBBXAWVJAAL,1-013-611-2674,M,,Albuquerque,1.0,8.0,Neiman Marcus,6.0,1897076.0
fqe7546,234797.0,United States of America,,ID,,5.0,fqekemquvstw,1-656-865-7544,W,485.0,Newark,,90.0,O'Reilly Automotive,10.0,235172.0
Wpw7547,225322.0,United States of America,,Quebec,,4.0,Wpwhilrlzng,1-879-870-7379,M,303.0,Miami,2.0,34.0,Cliffs Natural Resources,2.0,639573.0
vpz7548,192689.0,Canada,O,ID,,1.0,vpzxgcwljllsq,1-366-625-9813,W,846.0,London,2.0,25.0,Health Management Associates,4.0,2667082.0
Yfz7549,348685.0,Canada,O,AL,,5.0,Yfzmtcvxc,1-359-462-7089,,621.0,Worcester,4.0,50.0,Chevron,1.0,2598634.0
dou7550,401229.0,United States of America,O,UT,,3.0,douvwdwiwrxoivzaojazinrhswjv,,D,331.0,Jacksonville,4.0,85.0,Exide Technologies,,1074671.0
FDJ7551,38597.0,United States of America,R,MS,,5.0,FDJOVRSOCWEIKZ,1-153-396-8333,M,401.0,Nashua,4.0,60.0,Convergys,9.0,2272997.0
ufu7552,,United States of America,R,AK,,2.0,ufutrfkevxnbupjcetrpltw,1-144-623-1308,S,644.0,Newport News,2.0,95.0,Dominion Resources,0.0,702000.0
bbg7553,161204.0,United States of America,R,VT,H,4.0,bbgzmquoeecumw,1-269-220-8046,M,769.0,Corona,1.0,8.0,Sentry Insurance Group,5.0,1289800.0
Znk7554,202650.0,,O,LA,v,3.0,Znkkdbkvxcxeuackyodqlkpl,1-052-524-0130,M,481.0,Lincoln,4.0,31.0,Cintas,2.0,1007390.0
CGQ7555,,Canada,O,CT,T,1.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,1-335-871-6660,U,732.0,Toronto,2.0,51.0,Medtronic,7.0,124290.0
add7556,492433.0,United States of America,O,UT,,4.0,addxtssyhezwro,1-637-394-8083,M,802.0,Fayetteville,4.0,24.0,Pride International,2.0,1820002.0
Anw7557,344858.0,Canada,O,IN,J,2.0,Anwyusqezrjppzkaevffwljm,1-706-795-4208,M,329.0,Charlotte,4.0,78.0,A. Schulman,5.0,2200347.0
Hvt7558,197290.0,United States of America,R,WI,,5.0,Hvtanebvipbdd,1-622-347-5699,W,839.0,Tulsa,0.0,56.0,Oneok,0.0,3669569.0
Yqj7559,283654.0,United States of America,,WA,d,2.0,Yqjaammjlhgpw,1-042-017-9368,U,539.0,Winston-Salem,,50.0,Danaher,,2140537.0
Ztn7560,317423.0,United States of America,R,LA,,4.0,Ztnstwpjxatqveppicohpzilnn,1-829-935-5979,M,561.0,Thousand Oaks,5.0,52.0,Del Monte Foods,4.0,3258909.0
bni7561,399126.0,United States of America,O,VT,,4.0,bnizllrrofn,1-076-726-5283,W,814.0,Lubbock,5.0,14.0,American Electric Power,2.0,1825422.0
swx7562,398180.0,United States of America,R,CT,,5.0,swxorhmdydwbrtdqxroghsddlpbdgi,,M,305.0,Winnipeg,0.0,29.0,TJX,7.0,1845263.0
DSA7563,,United States of America,O,RI,P,2.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,1-284-129-5920,S,457.0,Laredo,4.0,50.0,Philip Morris International,4.0,1463114.0
BXZ7564,485429.0,United States of America,O,SC,,4.0,BXZUTWBUFSGPPXKR,1-128-308-8886,U,349.0,Overland Park,1.0,67.0,Cincinnati Financial,8.0,2354683.0
pcz7565,118018.0,United States of America,O,British Columbia,,2.0,pczqycbwefse,1-145-469-5971,M,590.0,Calgary,0.0,22.0,Stryker,0.0,436677.0
Zqa7566,309693.0,United States of America,O,CO,,5.0,Zqaknviqngvemehvpzrcgkcvre,1-727-684-7767,U,533.0,Peoria,4.0,20.0,Kansas City Southern,0.0,2383335.0
Htl7567,90718.0,Canada,O,TN,z,4.0,Htltlfnvjctvvdvulpkhcbyfi,1-776-201-2472,W,686.0,Durham,0.0,75.0,IDT,9.0,2574739.0
afw7568,280645.0,United States of America,O,CA,L,2.0,afwafvxxdr,1-767-942-1278,U,582.0,Pueblo,0.0,60.0,Vornado Realty Trust,10.0,1596838.0
Wna7569,231559.0,United States of America,O,WY,,,Wnakgzhqfhtavtvegjtdmdosnjr,1-723-062-7266,S,807.0,Las Cruces,4.0,,Dollar General,0.0,591965.0
Mlh7570,36898.0,United States of America,O,SD,,3.0,Mlheqxaigtvjaynkffyqkpu,,S,819.0,Chula Vista,5.0,48.0,Safeway,3.0,3071440.0
Gor7571,396786.0,United States of America,R,British Columbia,,2.0,Gorjnqxjtefmomsbmtnogaerx,1-145-314-0862,M,311.0,San Diego,0.0,91.0,Apache,5.0,2683081.0
ENX7572,344365.0,United States of America,O,NJ,,2.0,ENXOMNHFVPYQSABETPUEKRKCL,1-735-104-7772,U,734.0,Chicago,5.0,98.0,Lowe's,3.0,3850483.0
fgr7573,1205.0,United States of America,O,AK,,4.0,fgrdzzudzmwlluff,,W,432.0,Worcester,1.0,51.0,Lithia Motors,1.0,1870617.0
Ysh7574,276666.0,United States of America,O,OH,a,5.0,Yshzkx,1-518-116-1411,S,394.0,Honolulu,0.0,22.0,CH2M Hill,3.0,1249534.0
Mos7575,497953.0,United States of America,O,New Brunswick,I,0.0,Mosqjrkdycyygfsljqadgfqoldb,1-696-359-4829,U,658.0,Albuquerque,0.0,57.0,Tellabs,1.0,3789880.0
czu7576,156048.0,Canada,O,IL,,1.0,czuvw,1-352-678-5471,M,348.0,Oakland,2.0,38.0,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,63617.0,United States of America,O,AZ,Z,1.0,Ghrlcuscpesuzsdwqfwwbgh,1-906-600-9749,M,598.0,Billings,5.0,68.0,Wells Fargo,8.0,437353.0
Rwk7578,244849.0,United States of America,O,NY,,2.0,Rwkdeshuwhwvmvmdnckmuvdt,1-093-018-2851,U,505.0,Pueblo,2.0,93.0,Vornado Realty Trust,9.0,2669917.0
Uwi7579,123585.0,United States of America,R,WA,,4.0,Uwinnbtdd,1-302-096-9321,S,839.0,Sherbrooke,3.0,48.0,New York Times,7.0,1466537.0
VXZ7580,391134.0,United States of America,U,GA,,1.0,VXZTLDNZPYIFIKTIJRXS,1-915-044-3154,S,672.0,Sacramento,1.0,96.0,Adobe Systems,2.0,991860.0
Ayk7581,426759.0,United States of America,O,AZ,p,5.0,Aykkkc,1-040-274-3474,M,696.0,Charlotte,5.0,58.0,Valmont Industries,3.0,
lho7582,451737.0,United States of America,O,NV,,5.0,lhodktal,1-678-397-2739,W,448.0,El Paso,3.0,63.0,UAL,5.0,1816368.0
rzi7583,180822.0,United States of America,O,TN,,2.0,rziprpcfwnirtuvrbfnuepq,1-679-345-9939,S,549.0,Mesa,1.0,18.0,AFLAC,9.0,565246.0
Wds7584,205843.0,United States of America,O,AL,,4.0,Wdsuorykxmvfxupyyjl,1-093-616-0613,W,705.0,Simi Valley,2.0,40.0,VeraSun Energy,0.0,1899339.0
Xsj7585,470985.0,United States of America,O,TX,f,4.0,Xsjypvyfoqbiq,1-546-131-8988,M,387.0,St. Catharines,3.0,29.0,Magellan Health Services,6.0,3873239.0
Lux7586,318225.0,United States of America,,WV,v,2.0,Luxkby,1-477-186-7432,U,359.0,Washington,1.0,21.0,Emcor Group,7.0,767547.0
wxw7587,326044.0,Canada,O,ND,,2.0,wxwhwasadsmxchyhlgrvnurte,1-965-848-6954,M,494.0,Chula Vista,2.0,41.0,Peabody Energy,9.0,1027999.0
pfz7588,,United States of America,,Saskatchewan,e,1.0,pfzjoarqopfjtzjalxxxeq,1-622-866-0937,M,345.0,Montpelier,1.0,56.0,State Farm Insurance Cos.,10.0,3428495.0
hlx7589,187282.0,United States of America,O,VA,,2.0,hlxshqpvshstjerwclb,1-040-217-2014,M,402.0,Mesa,0.0,33.0,Humana,10.0,1827180.0
nyb7590,,United States of America,O,ND,,2.0,nybiaaw,1-101-684-2373,M,579.0,New Haven,0.0,96.0,News Corp.,3.0,2070007.0
Ltt7591,,United States of America,O,ND,O,2.0,Lttvvpjjavydrmbt,1-386-426-5849,,569.0,Indianapolis,0.0,35.0,Torchmark,2.0,
gsz7592,306946.0,United States of America,O,MS,,0.0,gszunimggpyfjzmivbwizzftuen,1-598-816-0126,W,745.0,Stockton,4.0,40.0,Rock-Tenn,9.0,3596263.0
Kwp7593,99663.0,,U,WY,,0.0,Kwpztgkknktyvdks,1-770-379-7700,D,320.0,Louisville,,10.0,AGCO,1.0,3719999.0
AGM7594,482013.0,United States of America,R,MA,D,2.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,,M,591.0,Atlanta,4.0,59.0,,4.0,3058439.0
Ocn7595,180476.0,United States of America,U,AK,u,1.0,Ocnds,1-628-245-6238,M,,Milwaukee,0.0,70.0,United Stationers,10.0,2592932.0
Cmw7596,285682.0,United States of America,,PA,,4.0,Cmweamsabhudajyhpsohkpzcy,1-813-787-2611,M,417.0,Fort Smith,5.0,69.0,McCormick,5.0,1471273.0
Dit7597,455032.0,United States of America,R,MA,V,0.0,Ditjvpiidkjkvxssfnctzcczb,1-362-897-1162,M,338.0,Knoxville,5.0,96.0,National Life Group,8.0,
Rmm7598,356141.0,United States of America,O,DC,S,3.0,Rmmasnivkq,1-952-919-4878,S,340.0,Idaho Falls,,9.0,Hasbro,9.0,2410816.0
ekj7599,165667.0,Canada,U,RI,,3.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,1-145-214-8009,U,738.0,Jacksonville,3.0,39.0,Tupperware Brands,5.0,1059543.0
wcq7600,459767.0,United States of America,O,MA,A,0.0,wcqqbslcxugdqpbzbmbqvlahw,1-328-944-9786,S,597.0,Stockton,2.0,31.0,Covance,7.0,379282.0
Klc7601,106459.0,United States of America,R,Alberta,,2.0,Klcanpomjmuwosnasroukafsxtufz,1-899-864-9421,M,603.0,Thousand Oaks,2.0,64.0,Interactive Brokers Group,4.0,3271265.0
Jrd7602,51021.0,,U,AR,,,Jrdmn,1-877-997-8896,D,662.0,Nashua,1.0,38.0,SkyWest,5.0,1530364.0
GDQ7603,494931.0,United States of America,R,VA,,2.0,GDQESTOSFCKVLPZEQPNFIKQLTXB,1-750-900-0823,W,838.0,Tallahassee,4.0,47.0,Best Buy,0.0,3731860.0
fnm7604,429859.0,United States of America,O,OR,,5.0,fnmqzceohwapysohiuofkhjpwzgv,,M,791.0,Brownsville,2.0,,Sears Holdings,9.0,2488858.0
Ymu7605,,Canada,O,ID,e,1.0,Ymuvinagbzdhiwglzfacood,1-347-704-7823,S,692.0,Charlotte,4.0,76.0,Frontier Oil,7.0,2301347.0
Pxj7606,464086.0,,O,IA,R,0.0,Pxjmfwpwm,1-228-976-2888,W,673.0,Oakland,3.0,60.0,Automatic Data Processing,8.0,1736571.0
Rsd7607,207651.0,Canada,O,TN,M,3.0,Rsdlvo,,U,331.0,Fort Wayne,,73.0,,7.0,2399483.0
Qqh7608,260418.0,United States of America,O,Nova Scotia,,4.0,Qqhwdyopkfs,1-760-429-1328,U,744.0,Chula Vista,,37.0,Comerica,2.0,2982744.0
udq7609,,United States of America,U,Ontario,Q,5.0,udqexswxytatsvxw,1-253-879-8833,M,446.0,Peoria,1.0,50.0,Baldor Electric,6.0,1611011.0
Ghl7610,316963.0,Canada,O,MD,M,0.0,Ghlflxgkavpsqvkpun,1-401-256-3483,M,,Lexington,4.0,0.0,Commercial Metals,0.0,2999167.0
mtk7611,84046.0,Canada,O,AR,,5.0,mtkfmxripistepftjaxfosviokgqsf,1-175-910-8245,W,,Salem,,,,,
QIY7612,368990.0,United States of America,O,Saskatchewan,,0.0,QIYQRALNIIONMKDZB,1-565-191-3419,M,723.0,San Jose,3.0,,Molina Healthcare,9.0,3307491.0
Ohz7613,124382.0,Canada,O,OH,,2.0,Ohzpaqjtc,1-921-688-5401,S,348.0,Kansas City,0.0,81.0,Plains All American Pipeline,2.0,2057260.0
djg7614,9263.0,United States of America,O,VA,,2.0,djgtucxplpftr,1-925-155-0170,M,666.0,Windsor,0.0,52.0,Agilent Technologies,,53179.0
Iad7615,334181.0,United States of America,U,ID,,2.0,Iaduje,1-185-691-2951,M,,Chicago,4.0,68.0,AutoZone,3.0,690086.0
EMG7616,314001.0,United States of America,R,WI,H,0.0,EMGQKGEOTCGAFGDZVTRUAVGZYPM,1-067-518-3854,M,844.0,Evansville,1.0,,,8.0,2025465.0
Hjn7617,168309.0,Canada,O,MS,,1.0,Hjnljezrxojeaoustvawackahexa,1-188-554-1671,M,766.0,Honolulu,4.0,36.0,Universal Health Services,8.0,695307.0
CYP7618,322765.0,United States of America,O,OK,D,2.0,CYPTBBGPWKKKFNOUHJ,1-168-215-2223,M,521.0,Cleveland,4.0,31.0,Time Warner,10.0,3238398.0
KPN7619,311253.0,United States of America,O,GA,h,1.0,KPNRNVLRFUTOWOERTCSIRQZ,1-228-022-3056,W,306.0,Livonia,5.0,55.0,Sealed Air,7.0,1213578.0
Vbi7620,140296.0,United States of America,R,TN,x,5.0,Vbimifwtrtvb,1-926-766-1124,W,411.0,Little Rock,5.0,66.0,Sprint Nextel,9.0,103708.0
ehb7621,439984.0,United States of America,O,SC,,1.0,ehbcbdctlcspuvwbqveohanmkolbw,1-538-797-1948,M,,Halifax,5.0,22.0,,3.0,1086081.0
TMQ7622,454011.0,United States of America,O,AR,C,5.0,TMQACIIUMYYZHYX,1-627-234-0841,U,702.0,Peoria,0.0,51.0,Quiksilver,8.0,1349626.0
Lsb7623,191541.0,United States of America,R,MT,y,1.0,Lsbutxufufshmkqnscnhx,1-876-492-0782,S,842.0,San Jose,5.0,26.0,Valspar,1.0,1083092.0
Dpz7624,,United States of America,R,WY,u,2.0,Dpzpfctp,1-436-946-7319,U,528.0,Charlotte,1.0,100.0,Timken,0.0,1662799.0
Zuj7625,,United States of America,R,WY,,3.0,Zujmcfzznpfohsdp,1-281-780-2897,W,300.0,Hilo,3.0,13.0,,5.0,3548540.0
Jqk7626,269215.0,United States of America,O,WV,,2.0,Jqkozdva,1-421-286-4139,S,752.0,Yonkers,1.0,11.0,Occidental Petroleum,7.0,881414.0
ijb7627,193126.0,Canada,O,CA,,0.0,ijbcvbgglqupyentiqncsnswyygl,1-908-354-2709,M,303.0,Modesto,4.0,62.0,,0.0,1712200.0
NMO7628,462618.0,United States of America,O,Alberta,U,3.0,NMOXMHMVUDGY,1-466-560-2530,M,418.0,Louisville,5.0,13.0,Massey Energy,10.0,847446.0
Tef7629,212026.0,United States of America,O,New Brunswick,,3.0,Tefewe,1-578-686-8082,W,667.0,Eugene,3.0,23.0,Weyerhaeuser,4.0,344294.0
Sdj7630,371024.0,United States of America,U,British Columbia,Z,1.0,Sdjhq,1-166-077-1436,D,441.0,Buffalo,4.0,51.0,National Fuel Gas,7.0,1534879.0
Pbr7631,235810.0,United States of America,O,DE,,3.0,Pbrfgfdwedgrmifitr,1-535-320-1881,U,471.0,Santa Fe,2.0,2.0,Pep Boys,0.0,3897101.0
Ice7632,347270.0,United States of America,O,CT,,2.0,Icejebxweavlnddpjz,1-633-495-6478,W,701.0,Springfield,,,Neiman Marcus,9.0,3064442.0
ZWG7633,399212.0,United States of America,R,Quebec,,5.0,ZWGIV,1-398-680-0278,D,323.0,Anchorage,2.0,82.0,BlackRock,1.0,2016524.0
Evw7634,439561.0,United States of America,O,NJ,,4.0,Evwthrqmqfpsbpdqojtqzpjmpoea,1-185-976-7770,M,846.0,Winnipeg,5.0,94.0,McGraw-Hill,10.0,37745.0
Lhl7635,29980.0,United States of America,O,MN,c,3.0,Lhlatzfku,1-490-238-8219,M,850.0,Waco,4.0,16.0,Family Dollar Stores,8.0,503752.0
LYB7636,28693.0,United States of America,U,NE,N,2.0,LYBUGCXZYJSERVQKQJKNIIW,1-891-741-2112,M,,Stockton,5.0,43.0,Teleflex,,2115180.0
Ijb7637,106794.0,Canada,O,VA,x,1.0,Ijbmwiomutrflaupolplmfjsqh,1-849-918-0984,M,564.0,Boston,2.0,76.0,,3.0,839222.0
Zhf7638,340598.0,United States of America,O,PA,,3.0,Zhftulgpedd,1-426-168-3142,S,558.0,Memphis,5.0,0.0,Imation,4.0,1851334.0
PYU7639,490597.0,United States of America,O,WV,r,1.0,PYUHQOCHAUAWGKHHLXQNUWZTEBN,1-757-910-8931,U,417.0,Sydney,,33.0,PPL,0.0,1348251.0
Iku7640,499685.0,Canada,O,WY,F,2.0,Ikufiibsvk,1-468-325-0119,U,487.0,Shreveport,2.0,62.0,Smithfield Foods,6.0,2722392.0
HBZ7641,62285.0,United States of America,O,MN,,2.0,HBZACUNNIOTFKFSTCILLC,1-383-310-7894,M,639.0,Modesto,0.0,8.0,Macy's,9.0,1785161.0
Pco7642,320885.0,United States of America,O,VT,,5.0,Pcofbhaqeemibnkjtsoxmdibmpquo,1-353-727-2029,U,625.0,Hull,5.0,4.0,Torchmark,3.0,2823578.0
Ybv7643,184669.0,United States of America,O,WV,,5.0,Ybvjle,1-028-849-5461,D,,Yonkers,3.0,39.0,Herman Miller,1.0,2123972.0
Rim7644,126989.0,United States of America,R,IN,F,0.0,Rimdakhncfjlrbor,1-480-785-4021,S,,Atlanta,0.0,90.0,Kindred Healthcare,3.0,112782.0
gnf7645,48144.0,Canada,,MS,,1.0,gnfkwjxmvkbeh,1-443-132-4138,M,460.0,Hayward,4.0,7.0,Arch Coal,3.0,248311.0
Wxp7646,377787.0,United States of America,O,CO,C,5.0,Wxphiul,1-143-020-1234,,793.0,Savannah,4.0,95.0,Whirlpool,8.0,3719851.0
Dxh7647,323782.0,Canada,O,PA,N,5.0,Dxhuevhfuceqmpoolmuhflp,1-475-304-3486,U,821.0,Fullerton,5.0,59.0,Arrow Electronics,8.0,1920385.0
Aqo7648,31880.0,United States of America,O,DE,,3.0,Aqopbqsxqxjj,1-677-882-6792,S,,Overland Park,2.0,13.0,Rock-Tenn,6.0,576903.0
fen7649,390190.0,United States of America,O,Prince Edward Island,s,5.0,fenowyirqcdcwwo,1-151-067-7411,D,643.0,Alexandria,3.0,58.0,R.H. Donnelley,8.0,1855037.0
CMQ7650,413821.0,Canada,O,TN,,4.0,CMQIHWYKNOLSX,1-645-553-4591,U,817.0,Fort Collins,1.0,67.0,Pall,2.0,2954046.0
Yhb7651,301451.0,United States of America,O,CA,,1.0,Yhbbdqabnbldfqhnofnxdrzrj,1-670-793-5351,,702.0,Santa Fe,2.0,68.0,Burlington Coat Factory,10.0,952096.0
mbw7652,5888.0,United States of America,O,TN,L,1.0,mbwpxwoq,1-049-843-6473,D,409.0,Simi Valley,0.0,17.0,Forest Laboratories,2.0,3382998.0
xas7653,254404.0,United States of America,O,FL,Y,2.0,xasiqx,1-739-185-6579,,617.0,Mesa,2.0,44.0,Moody's,6.0,3772196.0
MKM7654,290984.0,United States of America,O,TN,,3.0,MKMKDBNJNERUJSQYY,1-215-295-5893,M,,Simi Valley,0.0,16.0,Fidelity National Financial,5.0,3180080.0
Jgi7655,441847.0,United States of America,O,OR,,5.0,Jgiimqxenotyp,,M,756.0,Charlotte,5.0,27.0,Amphenol,,3971412.0
Mwv7656,373240.0,United States of America,R,ME,,2.0,Mwvgdm,1-515-341-8405,D,484.0,St. Petersburg,4.0,59.0,Int. Business Machines,5.0,1488210.0
YOY7657,461444.0,United States of America,O,SC,,1.0,YOYQEKTGQPVGKZZXM,1-249-978-7278,S,589.0,Washington,4.0,8.0,Int. Flavors & Fragrances,9.0,2621373.0
Gja7658,255072.0,United States of America,O,Ontario,,1.0,Gjaqmimggdmubhczafzufuklxgxos,1-471-716-6210,S,380.0,Tallahassee,4.0,98.0,Gilead Sciences,0.0,1021949.0
rcx7659,255019.0,United States of America,R,GA,E,1.0,rcxczhucwf,,S,541.0,Mesa,1.0,35.0,United Rentals,10.0,2444319.0
IPA7660,330718.0,Canada,,VA,V,1.0,IPAZTGHTPTW,1-982-617-1421,M,474.0,Portland,,57.0,Convergys,7.0,362567.0
