Sta,Cou,A,NuCa,PosCo,CrRat,OwORF,In,FirNa,NumChi,AddrLi2,AgID,NumCreCar,C,NeWor,Ph,LN,MiIni,Gen,AddLi1,MariSta,Em
Saskatchewan,United States of America,72.0,5.0,NCEVKLQEEWTA,,O,210038.0,Zaijioc,1.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,dgc7511,3.0,Greensboro,490443.0,,dgcnbxfhc,,m,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,M,Interstate Bakeries
NE,Canada,40.0,4.0,DODDIDDHXS,318.0,O,307402.0,Mdwdjpdfmbqjaygkfqzqx,5.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,lql7512,9.0,Concord,3348923.0,1-268-630-3843,lqlslgqsvyfxqnzuwbfg,,,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,M,eBay
AR,United States of America,8.0,4.0,Oqnzttrldq,613.0,R,,Ccbccgvldfvoqtzestvkwunn,1.0,ucxdpiwilpxxhv,Wsk7513,4.0,Colorado Springs,331799.0,1-915-548-9541,Wskjvrujdwku,,m,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,D,Boise
IL,,10.0,4.0,Lwbawk,786.0,R,432425.0,nyakrhdyxravdnhgbtol,1.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Ffs7514,4.0,Mobile,1167013.0,1-536-880-0961,Ffshsiomkzjonhxjhunfsao,v,,,U,MDU Resources Group
VA,United States of America,24.0,0.0,Ppsrzjdtg,,O,122041.0,NDNBTVCLKSC,3.0,,Kvv7515,10.0,Thousand Oaks,3960216.0,1-494-335-6022,Kvvverfkpazpzzkrqniixrhnw,F,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,U,Freescale Semiconductor
ID,United States of America,18.0,1.0,,623.0,O,302205.0,Zmstbluqkipzaojfsomtbdddguq,4.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,mpz7516,5.0,Rochester,242246.0,1-814-158-3550,mpzqnwnrmaozfsstcqtrc,G,f,,M,Superior Energy Services
TX,United States of America,79.0,1.0,,845.0,O,367555.0,dpqgvuaoijmkxsesvililpxcrwqe,1.0,Havgczldcpfmwfzj,Jhc7517,1.0,Garden Grove,1217660.0,1-420-580-0795,Jhcbaxyzijphmmvpampdgvgisnab,s,F,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,S,Monsanto
New Brunswick,United States of America,36.0,4.0,Rxdsunq,645.0,U,106025.0,IHUGYGSRDWILVOFBAKUR,5.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,dbq7518,7.0,Tampa,1229655.0,1-924-305-1666,dbqcukoddoiwg,l,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,Newfield Exploration
Alberta,Canada,21.0,2.0,JXHVEEOU,495.0,O,106690.0,aefotdcronamhkzsfpvifmobgchmsp,2.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Xch7519,1.0,Fullerton,1157831.0,1-450-082-2122,Xchoxlbkffuvox,,m,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,W,Loews
PA,Canada,4.0,2.0,XHJQCDPOO,371.0,O,29373.0,jdeyqkerjerjpht,2.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,oir7520,8.0,Washington,,1-573-009-1404,oirfujtvl,Z,m,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,M,Apache
Nova Scotia,United States of America,72.0,2.0,rapkjpmvp,462.0,R,168189.0,Lwihnxoihqqrvjydsijd,3.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Fqb7521,1.0,Norfolk,,1-603-897-9894,Fqbovz,O,M,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,S,Robert Half International
RI,United States of America,1.0,,Slskxm,375.0,U,264756.0,nmnervucuk,,Rirmrpvlknyho,qex7522,7.0,Sydney,3467922.0,1-947-161-6502,qextfjyytqwbmdrlykbfnhvqrmota,,,Dmyivtczopuqajpnjqvvgbhxynvduub,S,Viacom
OR,Canada,98.0,1.0,FXHXLG,516.0,U,44480.0,hgjkxxbf,2.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Hpi7523,10.0,Winnipeg,46859.0,1-586-826-9847,Hpiedhvkedqqdxsoedt,,,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,S,Robert Half International
CA,Canada,35.0,1.0,ovlziicdezok,703.0,R,87207.0,Zangtryzlhmxo,5.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Fjd7524,,Wilmington,2937668.0,1-217-243-2668,Fjdafgbcrml,,,Esuycdxsjfbrqbtluspxsehk,,CSX
MO,United States of America,99.0,4.0,jsxcpvao,734.0,O,238434.0,FFJGEQD,2.0,Rpzwirgfyiw,Cgt7525,7.0,El Monte,2388613.0,1-857-211-5728,Cgtcmbl,,,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,W,Country Financial Services
Prince Edward Island,United States of America,49.0,0.0,Ykerbceq,469.0,U,,Pdcxrihnl,2.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Lwx7526,4.0,Sterling Heights,3116283.0,1-089-966-6281,Lwxudfgcqawccntqaucdaeym,,M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,Procter & Gamble
Quebec,United States of America,72.0,3.0,VVMSNWEBT,595.0,O,391354.0,Zckhcacwaelzutaodqalxyjrkh,0.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,epy7527,2.0,Pembroke Pines,2671950.0,,epyxtfsrijhddstgaxkbgmlayjtk,,,vnyndcximwxhecv,S,Ingles Markets
KS,United States of America,41.0,3.0,bibueqwbejem,410.0,O,419165.0,sqrosgqnpifxjx,0.0,Acdrcqabtcdgmgl,Aff7528,1.0,Philadelphia,3899593.0,1-231-342-6874,Affcha,M,m,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,U,Forest Laboratories
NV,Canada,54.0,3.0,gehpynlk,475.0,O,396509.0,Erqzkkllazeobgthnmgsbtj,2.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,mfc7529,10.0,Glendale,2537332.0,,mfcestd,S,,,W,Dentsply International
TN,United States of America,11.0,0.0,Piwlxtg,,R,145161.0,Lcziayaozecoqqluasolkmmcldm,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,Slf7530,2.0,El Monte,733236.0,1-602-637-1838,Slfbmvc,S,,GVSBHGBDDVJFNNOZNNPJWCOI,,RadioShack
WY,United States of America,0.0,2.0,Ujlshmosjkid,519.0,O,263206.0,Gcnczmuxviqaxtsdzmzhtro,5.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Cxu7531,3.0,Warwick,,1-003-982-8627,Cxuousxqyrfgjvpvuopyfguqva,,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,W,Century Aluminum
British Columbia,United States of America,27.0,3.0,cwburwnupuj,841.0,U,190371.0,Rsoobsqytvjycob,3.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,GZO7532,5.0,Milwaukee,3397276.0,1-136-358-6852,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,F,,BIQIOQOHLQSTBRUFOI,D,
LA,United States of America,95.0,3.0,CNEZMHTKIAEV,540.0,O,203968.0,Pjvadgt,1.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,DRW7533,6.0,Phoenix,2444257.0,1-123-528-2965,DRWTVTDSG,A,,Llfaqkbemnoy,U,FPL Group
HI,United States of America,35.0,1.0,kixvppuqtd,540.0,R,428323.0,GUBKOKITTSKVYM,3.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,set7534,10.0,Anchorage,71520.0,1-136-565-2501,setksinlvlrjwnfu,N,f,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,U,Lockheed Martin
NY,United States of America,96.0,4.0,jrhynxfi,,O,159980.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Pyo7535,6.0,Madison,1911091.0,1-317-986-1984,Pyoixliri,,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,M,Sanmina-SCI
TX,Canada,96.0,0.0,dnhtjyu,424.0,O,266852.0,Kuteauo,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,FSH7536,6.0,Fontana,988775.0,1-265-603-1262,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,,M,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,W,Iron Mountain
AZ,United States of America,49.0,5.0,YKOVOTYB,623.0,R,206973.0,Hkfofpndygljbeo,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Tdx7537,2.0,Charlotte,3919363.0,,Tdxyljuxporjhdumcvfmv,,,,M,OfficeMax
ME,Canada,,5.0,WNNMWJ,792.0,O,258221.0,Kengxgsu,1.0,XHQNMCEJKXOQYVSZVESLKC,Sbn7538,4.0,Richmond,428918.0,1-156-668-6882,Sbnxcsrozzcufdoyvckpplofysx,O,,atydogjpqphuwhegtbukkqiaeakrtrn,S,AMR
NH,United States of America,27.0,4.0,Oktkljv,718.0,O,428508.0,Plywuoa,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Piq7539,6.0,Santa Clarita,58134.0,1-164-648-3203,Piqizouhxiw,C,f,Hlotorcbtobuceb,S,Kohl's
KY,,98.0,4.0,,401.0,O,,zfcwsxpjzyqelkxg,0.0,Toumjfbsumpgfuskpydjeibaxi,IXD7540,6.0,Yellow Knife,3703767.0,1-839-795-1027,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,M,gsrdigbqfwrahybxrtm,M,Cigna
Prince Edward Island,United States of America,,4.0,GXFLSISZUY,557.0,R,58953.0,Yxvczhqjwgnhowiu,5.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,wsn7541,2.0,Oxnard,433859.0,1-958-412-4252,wsnjomkxbtybfnmtcjhvmblfwamnwd,,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,M,West
British Columbia,United States of America,56.0,5.0,gzexcrngivl,393.0,O,409682.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Jkp7542,7.0,Huntington Beach,3002044.0,1-392-335-1020,Jkpmtcj,A,M,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,W,Monsanto
CT,United States of America,94.0,2.0,yzoikhwrd,557.0,,340191.0,Vfrdst,4.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,CCF7543,10.0,Durham,1124168.0,1-912-050-7605,CCFFVCOHCLUUXZIQTCFCUHEYN,,M,,M,Reliant Energy
WA,United States of America,98.0,4.0,Gdbktega,465.0,O,238216.0,Hqcswumjvwbemosmy,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,ylj7544,5.0,Naperville,2081541.0,1-075-551-9919,yljvuglvt,,,RELJYREDKQEKGOORBLRKOUIC,U,Idearc
ND,Canada,8.0,0.0,Kdcqzpvf,,O,113171.0,Ectbhkmbvwkwdbn,1.0,hkyochorqgtokxgozmoncalaaiw,ZBB7545,6.0,Albuquerque,1897076.0,1-013-611-2674,ZBBXAWVJAAL,V,F,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,M,Neiman Marcus
ID,United States of America,90.0,5.0,Tbwgwtmgcu,485.0,,234797.0,Bdbgqpllbnrmiirpct,,Datdnghoiymltcayulgkgxywi,fqe7546,10.0,Newark,235172.0,1-656-865-7544,fqekemquvstw,,m,Yewxbqpnfgh,W,O'Reilly Automotive
Quebec,United States of America,34.0,4.0,Mwmfs,303.0,,225322.0,Ftszluaxcsoxdfbmdd,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Wpw7547,2.0,Miami,639573.0,1-879-870-7379,Wpwhilrlzng,,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,M,Cliffs Natural Resources
ID,Canada,25.0,1.0,goelqgcts,846.0,O,192689.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,2.0,,vpz7548,4.0,London,2667082.0,1-366-625-9813,vpzxgcwljllsq,,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,W,Health Management Associates
AL,Canada,50.0,5.0,ucwygjzs,621.0,O,348685.0,Kkiolpmrgzmnjanqc,4.0,,Yfz7549,1.0,Worcester,2598634.0,1-359-462-7089,Yfzmtcvxc,,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,Chevron
UT,United States of America,85.0,3.0,fjlfqftwg,331.0,O,401229.0,unzegilpp,4.0,,dou7550,,Jacksonville,1074671.0,,douvwdwiwrxoivzaojazinrhswjv,,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,D,Exide Technologies
MS,United States of America,60.0,5.0,Tocujgaiaq,401.0,R,38597.0,xetqkitwlh,4.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,FDJ7551,9.0,Nashua,2272997.0,1-153-396-8333,FDJOVRSOCWEIKZ,,M,hfuyqlsmbesrylepu,M,Convergys
AK,United States of America,95.0,2.0,kurjmmgixxfd,644.0,R,,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,ufu7552,0.0,Newport News,702000.0,1-144-623-1308,ufutrfkevxnbupjcetrpltw,,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,S,Dominion Resources
VT,United States of America,8.0,4.0,cnsavindoi,769.0,R,161204.0,Yqfljvgkfucafpjpamdtcppiipc,1.0,NBSHKLXYVUUWXEQSGXR,bbg7553,5.0,Corona,1289800.0,1-269-220-8046,bbgzmquoeecumw,H,m,qgjnvpwvmgsqzcanzncon,M,Sentry Insurance Group
LA,,31.0,3.0,MQBSAUVQRPYE,481.0,O,202650.0,mjeasoritwctufyojamzbeeoo,4.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Znk7554,2.0,Lincoln,1007390.0,1-052-524-0130,Znkkdbkvxcxeuackyodqlkpl,v,f,HNBGLUDIOAJRCCIXGDUQOO,M,Cintas
CT,Canada,51.0,1.0,vadbnvz,732.0,O,,Udxaujgiratgthwkvdibgvwfo,2.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,CGQ7555,7.0,Toronto,124290.0,1-335-871-6660,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,T,F,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,U,Medtronic
UT,United States of America,24.0,4.0,Ljurvnigr,802.0,O,492433.0,GHFUKZPOKMXWZF,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,add7556,2.0,Fayetteville,1820002.0,1-637-394-8083,addxtssyhezwro,,,dnlleihfh,M,Pride International
IN,Canada,78.0,2.0,BQDMQVFTNBRJ,329.0,O,344858.0,ybtkiifyhbgchnuctnhnqspk,4.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Anw7557,5.0,Charlotte,2200347.0,1-706-795-4208,Anwyusqezrjppzkaevffwljm,J,,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,M,A. Schulman
WI,United States of America,56.0,5.0,jkcul,839.0,R,197290.0,Fhkymmgjsbmpduuffgavhfcxm,0.0,nqcozjievwzk,Hvt7558,0.0,Tulsa,3669569.0,1-622-347-5699,Hvtanebvipbdd,,m,Wsjaujjdexc,W,Oneok
WA,United States of America,50.0,2.0,Nelny,539.0,,283654.0,DEZDTMSMWKALBRPALCFIME,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Yqj7559,,Winston-Salem,2140537.0,1-042-017-9368,Yqjaammjlhgpw,d,,Ojberg,U,Danaher
LA,United States of America,52.0,4.0,Qsggz,561.0,R,317423.0,phoxfeiqoldgmnojmzunmargkla,5.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Ztn7560,4.0,Thousand Oaks,3258909.0,1-829-935-5979,Ztnstwpjxatqveppicohpzilnn,,F,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,M,Del Monte Foods
VT,United States of America,14.0,4.0,Drofa,814.0,O,399126.0,Upuabfflh,5.0,Lfrjkyblujmbxigmylpsxieswspmei,bni7561,2.0,Lubbock,1825422.0,1-076-726-5283,bnizllrrofn,,F,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,W,American Electric Power
CT,United States of America,29.0,5.0,Ssovhtmt,305.0,R,398180.0,owagfolbfwjzeg,0.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,swx7562,7.0,Winnipeg,1845263.0,,swxorhmdydwbrtdqxroghsddlpbdgi,,,Xwtkpxqgohxwxnv,M,TJX
RI,United States of America,50.0,2.0,Tnprhljfrlj,457.0,O,,Qdmppehqxloc,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,DSA7563,4.0,Laredo,1463114.0,1-284-129-5920,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,P,f,Qpvmtkxxfef,S,Philip Morris International
SC,United States of America,67.0,4.0,Bkxujhonjgjk,349.0,O,485429.0,jqbetxkci,1.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,BXZ7564,8.0,Overland Park,2354683.0,1-128-308-8886,BXZUTWBUFSGPPXKR,,,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,U,Cincinnati Financial
British Columbia,United States of America,22.0,2.0,mrjrjhgnwcdu,590.0,O,118018.0,Wsmywgbvwspgdwhmdxsqjwqb,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,pcz7565,0.0,Calgary,436677.0,1-145-469-5971,pczqycbwefse,,,KRYAIAJGKHBKXBLC,M,Stryker
CO,United States of America,20.0,5.0,Yusezkfgs,533.0,O,309693.0,ocgwi,4.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Zqa7566,0.0,Peoria,2383335.0,1-727-684-7767,Zqaknviqngvemehvpzrcgkcvre,,m,,U,Kansas City Southern
TN,Canada,75.0,4.0,RKXTQAO,686.0,O,90718.0,Pcotdnngmurhkcd,0.0,IBQIDE,Htl7567,9.0,Durham,2574739.0,1-776-201-2472,Htltlfnvjctvvdvulpkhcbyfi,z,,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,W,IDT
CA,United States of America,60.0,2.0,UBQSATXZO,582.0,O,280645.0,bvcosqzcleknjzvkygbawlc,0.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,afw7568,10.0,Pueblo,1596838.0,1-767-942-1278,afwafvxxdr,L,F,VBDCWYVK,U,Vornado Realty Trust
WY,United States of America,,,BHRNWQLFVFA,807.0,O,231559.0,ECLENELTSXGTNWOP,4.0,Lrebujnrg,Wna7569,0.0,Las Cruces,591965.0,1-723-062-7266,Wnakgzhqfhtavtvegjtdmdosnjr,,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,S,Dollar General
SD,United States of America,48.0,3.0,Ktmzav,819.0,O,36898.0,Xdwexmrjat,5.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Mlh7570,3.0,Chula Vista,3071440.0,,Mlheqxaigtvjaynkffyqkpu,,,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,S,Safeway
British Columbia,United States of America,91.0,2.0,Nfpchgfj,311.0,R,396786.0,xjwnvwdryqpcehelwzfhkkiuus,0.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Gor7571,5.0,San Diego,2683081.0,1-145-314-0862,Gorjnqxjtefmomsbmtnogaerx,,,Gwxymofcy,M,Apache
NJ,United States of America,98.0,2.0,Wuywecohosfi,734.0,O,344365.0,RNBABCYAFMQPBOHXNUXMXNU,5.0,Hxutrprq,ENX7572,3.0,Chicago,3850483.0,1-735-104-7772,ENXOMNHFVPYQSABETPUEKRKCL,,f,Qynjnmfgwxpmrw,U,Lowe's
AK,United States of America,51.0,4.0,tibxlojrqiha,432.0,O,1205.0,Eyrtrqkljywvbcice,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,fgr7573,1.0,Worcester,1870617.0,,fgrdzzudzmwlluff,,,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,W,Lithia Motors
OH,United States of America,22.0,5.0,ogmes,394.0,O,276666.0,Opybrukftspofebjmspkjsgtobzsp,0.0,JRHXPUUHAFHDPF,Ysh7574,3.0,Honolulu,1249534.0,1-518-116-1411,Yshzkx,a,m,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,S,CH2M Hill
New Brunswick,United States of America,57.0,0.0,JUBKXDKP,658.0,O,497953.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,0.0,yvntcqjqqmbftwetvbqgclcdbxspvk,Mos7575,1.0,Albuquerque,3789880.0,1-696-359-4829,Mosqjrkdycyygfsljqadgfqoldb,I,,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,U,Tellabs
IL,Canada,38.0,1.0,Xbgykqm,348.0,O,156048.0,kpofwgtomgijnm,2.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,czu7576,3.0,Oakland,3874445.0,1-352-678-5471,czuvw,,,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,M,Phillips-Van Heusen
