prospect_AgeID,prospect_NuCrCar,prospect_NumCh,prospect_OwORF,prospect_NWo,prospect_LaNa,prospect_FiN,prospect_A,prospect_Ph,prospect_NumCa,prospect_PosC,prospect_CrRat,prospect_St,prospect_Ci,prospect_Ge,prospect_Coun,prospect_In,prospect_MarSt,prospect_Em
Hpi7523,10.0,2.0,U,46859.0,Hpiedhvkedqqdxsoedt,hgjkxxbf,98.0,1-586-826-9847,1.0,FXHXLG,516.0,OR,Winnipeg,,Canada,44480.0,S,Robert Half International
Fjd7524,,5.0,R,2937668.0,Fjdafgbcrml,Zangtryzlhmxo,35.0,1-217-243-2668,1.0,ovlziicdezok,703.0,CA,Wilmington,,Canada,87207.0,,CSX
Cgt7525,7.0,2.0,O,2388613.0,Cgtcmbl,FFJGEQD,99.0,1-857-211-5728,4.0,jsxcpvao,734.0,MO,El Monte,,United States of America,238434.0,W,Country Financial Services
Lwx7526,4.0,2.0,U,3116283.0,Lwxudfgcqawccntqaucdaeym,Pdcxrihnl,49.0,1-089-966-6281,0.0,Ykerbceq,469.0,Prince Edward Island,Sterling Heights,M,United States of America,,M,Procter & Gamble
epy7527,2.0,0.0,O,2671950.0,epyxtfsrijhddstgaxkbgmlayjtk,Zckhcacwaelzutaodqalxyjrkh,72.0,,3.0,VVMSNWEBT,595.0,Quebec,Pembroke Pines,,United States of America,391354.0,S,Ingles Markets
Aff7528,1.0,0.0,O,3899593.0,Affcha,sqrosgqnpifxjx,41.0,1-231-342-6874,3.0,bibueqwbejem,410.0,KS,Philadelphia,m,United States of America,419165.0,U,Forest Laboratories
mfc7529,10.0,2.0,O,2537332.0,mfcestd,Erqzkkllazeobgthnmgsbtj,54.0,,3.0,gehpynlk,475.0,NV,Glendale,,Canada,396509.0,W,Dentsply International
Slf7530,2.0,2.0,R,733236.0,Slfbmvc,Lcziayaozecoqqluasolkmmcldm,11.0,1-602-637-1838,0.0,Piwlxtg,,TN,El Monte,,United States of America,145161.0,,RadioShack
Cxu7531,3.0,5.0,O,,Cxuousxqyrfgjvpvuopyfguqva,Gcnczmuxviqaxtsdzmzhtro,0.0,1-003-982-8627,2.0,Ujlshmosjkid,519.0,WY,Warwick,,United States of America,263206.0,W,Century Aluminum
GZO7532,5.0,3.0,U,3397276.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,Rsoobsqytvjycob,27.0,1-136-358-6852,3.0,cwburwnupuj,841.0,British Columbia,Milwaukee,,United States of America,190371.0,D,
DRW7533,6.0,1.0,O,2444257.0,DRWTVTDSG,Pjvadgt,95.0,1-123-528-2965,3.0,CNEZMHTKIAEV,540.0,LA,Phoenix,,United States of America,203968.0,U,FPL Group
set7534,10.0,3.0,R,71520.0,setksinlvlrjwnfu,GUBKOKITTSKVYM,35.0,1-136-565-2501,1.0,kixvppuqtd,540.0,HI,Anchorage,f,United States of America,428323.0,U,Lockheed Martin
Pyo7535,6.0,1.0,O,1911091.0,Pyoixliri,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,96.0,1-317-986-1984,4.0,jrhynxfi,,NY,Madison,,United States of America,159980.0,M,Sanmina-SCI
FSH7536,6.0,0.0,O,988775.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,Kuteauo,96.0,1-265-603-1262,0.0,dnhtjyu,424.0,TX,Fontana,M,Canada,266852.0,W,Iron Mountain
Tdx7537,2.0,5.0,R,3919363.0,Tdxyljuxporjhdumcvfmv,Hkfofpndygljbeo,49.0,,5.0,YKOVOTYB,623.0,AZ,Charlotte,,United States of America,206973.0,M,OfficeMax
Sbn7538,4.0,1.0,O,428918.0,Sbnxcsrozzcufdoyvckpplofysx,Kengxgsu,,1-156-668-6882,5.0,WNNMWJ,792.0,ME,Richmond,,Canada,258221.0,S,AMR
Piq7539,6.0,4.0,O,58134.0,Piqizouhxiw,Plywuoa,27.0,1-164-648-3203,4.0,Oktkljv,718.0,NH,Santa Clarita,f,United States of America,428508.0,S,Kohl's
IXD7540,6.0,0.0,O,3703767.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,zfcwsxpjzyqelkxg,98.0,1-839-795-1027,4.0,,401.0,KY,Yellow Knife,M,,,M,Cigna
wsn7541,2.0,5.0,R,433859.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,Yxvczhqjwgnhowiu,,1-958-412-4252,4.0,GXFLSISZUY,557.0,Prince Edward Island,Oxnard,,United States of America,58953.0,M,West
Jkp7542,7.0,5.0,O,3002044.0,Jkpmtcj,Grkknjyfgbhtyrhxzeaoeoyirwfa,56.0,1-392-335-1020,5.0,gzexcrngivl,393.0,British Columbia,Huntington Beach,M,United States of America,409682.0,W,Monsanto
CCF7543,10.0,4.0,,1124168.0,CCFFVCOHCLUUXZIQTCFCUHEYN,Vfrdst,94.0,1-912-050-7605,2.0,yzoikhwrd,557.0,CT,Durham,M,United States of America,340191.0,M,Reliant Energy
ylj7544,5.0,5.0,O,2081541.0,yljvuglvt,Hqcswumjvwbemosmy,98.0,1-075-551-9919,4.0,Gdbktega,465.0,WA,Naperville,,United States of America,238216.0,U,Idearc
ZBB7545,6.0,1.0,O,1897076.0,ZBBXAWVJAAL,Ectbhkmbvwkwdbn,8.0,1-013-611-2674,0.0,Kdcqzpvf,,ND,Albuquerque,F,Canada,113171.0,M,Neiman Marcus
fqe7546,10.0,,,235172.0,fqekemquvstw,Bdbgqpllbnrmiirpct,90.0,1-656-865-7544,5.0,Tbwgwtmgcu,485.0,ID,Newark,m,United States of America,234797.0,W,O'Reilly Automotive
Wpw7547,2.0,2.0,,639573.0,Wpwhilrlzng,Ftszluaxcsoxdfbmdd,34.0,1-879-870-7379,4.0,Mwmfs,303.0,Quebec,Miami,,United States of America,225322.0,M,Cliffs Natural Resources
vpz7548,4.0,2.0,O,2667082.0,vpzxgcwljllsq,Qrdnpjquwnixfocqhsrlkcxmelwijl,25.0,1-366-625-9813,1.0,goelqgcts,846.0,ID,London,,Canada,192689.0,W,Health Management Associates
Yfz7549,1.0,4.0,O,2598634.0,Yfzmtcvxc,Kkiolpmrgzmnjanqc,50.0,1-359-462-7089,5.0,ucwygjzs,621.0,AL,Worcester,,Canada,348685.0,,Chevron
dou7550,,4.0,O,1074671.0,douvwdwiwrxoivzaojazinrhswjv,unzegilpp,85.0,,3.0,fjlfqftwg,331.0,UT,Jacksonville,,United States of America,401229.0,D,Exide Technologies
FDJ7551,9.0,4.0,R,2272997.0,FDJOVRSOCWEIKZ,xetqkitwlh,60.0,1-153-396-8333,5.0,Tocujgaiaq,401.0,MS,Nashua,M,United States of America,38597.0,M,Convergys
ufu7552,0.0,2.0,R,702000.0,ufutrfkevxnbupjcetrpltw,TWRRGULRYKYUWZYBQQFMIFFKVK,95.0,1-144-623-1308,2.0,kurjmmgixxfd,644.0,AK,Newport News,,United States of America,,S,Dominion Resources
bbg7553,5.0,1.0,R,1289800.0,bbgzmquoeecumw,Yqfljvgkfucafpjpamdtcppiipc,8.0,1-269-220-8046,4.0,cnsavindoi,769.0,VT,Corona,m,United States of America,161204.0,M,Sentry Insurance Group
Znk7554,2.0,4.0,O,1007390.0,Znkkdbkvxcxeuackyodqlkpl,mjeasoritwctufyojamzbeeoo,31.0,1-052-524-0130,3.0,MQBSAUVQRPYE,481.0,LA,Lincoln,f,,202650.0,M,Cintas
CGQ7555,7.0,2.0,O,124290.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,Udxaujgiratgthwkvdibgvwfo,51.0,1-335-871-6660,1.0,vadbnvz,732.0,CT,Toronto,F,Canada,,U,Medtronic
add7556,2.0,4.0,O,1820002.0,addxtssyhezwro,GHFUKZPOKMXWZF,24.0,1-637-394-8083,4.0,Ljurvnigr,802.0,UT,Fayetteville,,United States of America,492433.0,M,Pride International
Anw7557,5.0,4.0,O,2200347.0,Anwyusqezrjppzkaevffwljm,ybtkiifyhbgchnuctnhnqspk,78.0,1-706-795-4208,2.0,BQDMQVFTNBRJ,329.0,IN,Charlotte,,Canada,344858.0,M,A. Schulman
Hvt7558,0.0,0.0,R,3669569.0,Hvtanebvipbdd,Fhkymmgjsbmpduuffgavhfcxm,56.0,1-622-347-5699,5.0,jkcul,839.0,WI,Tulsa,m,United States of America,197290.0,W,Oneok
Yqj7559,,,,2140537.0,Yqjaammjlhgpw,DEZDTMSMWKALBRPALCFIME,50.0,1-042-017-9368,2.0,Nelny,539.0,WA,Winston-Salem,,United States of America,283654.0,U,Danaher
Ztn7560,4.0,5.0,R,3258909.0,Ztnstwpjxatqveppicohpzilnn,phoxfeiqoldgmnojmzunmargkla,52.0,1-829-935-5979,4.0,Qsggz,561.0,LA,Thousand Oaks,F,United States of America,317423.0,M,Del Monte Foods
bni7561,2.0,5.0,O,1825422.0,bnizllrrofn,Upuabfflh,14.0,1-076-726-5283,4.0,Drofa,814.0,VT,Lubbock,F,United States of America,399126.0,W,American Electric Power
swx7562,7.0,0.0,R,1845263.0,swxorhmdydwbrtdqxroghsddlpbdgi,owagfolbfwjzeg,29.0,,5.0,Ssovhtmt,305.0,CT,Winnipeg,,United States of America,398180.0,M,TJX
DSA7563,4.0,4.0,O,1463114.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qdmppehqxloc,50.0,1-284-129-5920,2.0,Tnprhljfrlj,457.0,RI,Laredo,f,United States of America,,S,Philip Morris International
BXZ7564,8.0,1.0,O,2354683.0,BXZUTWBUFSGPPXKR,jqbetxkci,67.0,1-128-308-8886,4.0,Bkxujhonjgjk,349.0,SC,Overland Park,,United States of America,485429.0,U,Cincinnati Financial
pcz7565,0.0,0.0,O,436677.0,pczqycbwefse,Wsmywgbvwspgdwhmdxsqjwqb,22.0,1-145-469-5971,2.0,mrjrjhgnwcdu,590.0,British Columbia,Calgary,,United States of America,118018.0,M,Stryker
Zqa7566,0.0,4.0,O,2383335.0,Zqaknviqngvemehvpzrcgkcvre,ocgwi,20.0,1-727-684-7767,5.0,Yusezkfgs,533.0,CO,Peoria,m,United States of America,309693.0,U,Kansas City Southern
Htl7567,9.0,0.0,O,2574739.0,Htltlfnvjctvvdvulpkhcbyfi,Pcotdnngmurhkcd,75.0,1-776-201-2472,4.0,RKXTQAO,686.0,TN,Durham,,Canada,90718.0,W,IDT
afw7568,10.0,0.0,O,1596838.0,afwafvxxdr,bvcosqzcleknjzvkygbawlc,60.0,1-767-942-1278,2.0,UBQSATXZO,582.0,CA,Pueblo,F,United States of America,280645.0,U,Vornado Realty Trust
Wna7569,0.0,4.0,O,591965.0,Wnakgzhqfhtavtvegjtdmdosnjr,ECLENELTSXGTNWOP,,1-723-062-7266,,BHRNWQLFVFA,807.0,WY,Las Cruces,,United States of America,231559.0,S,Dollar General
Mlh7570,3.0,5.0,O,3071440.0,Mlheqxaigtvjaynkffyqkpu,Xdwexmrjat,48.0,,3.0,Ktmzav,819.0,SD,Chula Vista,,United States of America,36898.0,S,Safeway
Gor7571,5.0,0.0,R,2683081.0,Gorjnqxjtefmomsbmtnogaerx,xjwnvwdryqpcehelwzfhkkiuus,91.0,1-145-314-0862,2.0,Nfpchgfj,311.0,British Columbia,San Diego,,United States of America,396786.0,M,Apache
ENX7572,3.0,5.0,O,3850483.0,ENXOMNHFVPYQSABETPUEKRKCL,RNBABCYAFMQPBOHXNUXMXNU,98.0,1-735-104-7772,2.0,Wuywecohosfi,734.0,NJ,Chicago,f,United States of America,344365.0,U,Lowe's
fgr7573,1.0,1.0,O,1870617.0,fgrdzzudzmwlluff,Eyrtrqkljywvbcice,51.0,,4.0,tibxlojrqiha,432.0,AK,Worcester,,United States of America,1205.0,W,Lithia Motors
Ysh7574,3.0,0.0,O,1249534.0,Yshzkx,Opybrukftspofebjmspkjsgtobzsp,22.0,1-518-116-1411,5.0,ogmes,394.0,OH,Honolulu,m,United States of America,276666.0,S,CH2M Hill
Mos7575,1.0,0.0,O,3789880.0,Mosqjrkdycyygfsljqadgfqoldb,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,57.0,1-696-359-4829,0.0,JUBKXDKP,658.0,New Brunswick,Albuquerque,,United States of America,497953.0,U,Tellabs
czu7576,3.0,2.0,O,3874445.0,czuvw,kpofwgtomgijnm,38.0,1-352-678-5471,1.0,Xbgykqm,348.0,IL,Oakland,,Canada,156048.0,M,Phillips-Van Heusen
Ghr7577,8.0,5.0,O,437353.0,Ghrlcuscpesuzsdwqfwwbgh,Biflzgcqpqpbahquomftmjffohpwuy,68.0,1-906-600-9749,1.0,NNCXIBTCXZA,598.0,AZ,Billings,,United States of America,63617.0,M,Wells Fargo
Rwk7578,9.0,2.0,O,2669917.0,Rwkdeshuwhwvmvmdnckmuvdt,ybdlwlwxispyswbiegrbsqqtywxr,93.0,1-093-018-2851,2.0,mfwuio,505.0,NY,Pueblo,,United States of America,244849.0,U,Vornado Realty Trust
Uwi7579,7.0,3.0,R,1466537.0,Uwinnbtdd,Capzcewdt,48.0,1-302-096-9321,4.0,Utgwrun,839.0,WA,Sherbrooke,,United States of America,123585.0,S,New York Times
VXZ7580,2.0,1.0,U,991860.0,VXZTLDNZPYIFIKTIJRXS,XKBLVBCCYKMIXABVTOTVPZCJRII,96.0,1-915-044-3154,1.0,Wgulrhctjlg,672.0,GA,Sacramento,,United States of America,391134.0,S,Adobe Systems
Ayk7581,3.0,5.0,O,,Aykkkc,wmknfemsztimaphftadowlmbnp,58.0,1-040-274-3474,5.0,Srhxvxe,696.0,AZ,Charlotte,f,United States of America,426759.0,M,Valmont Industries
lho7582,5.0,3.0,O,1816368.0,lhodktal,DHLVITRFJDXLTPAGMPMJ,63.0,1-678-397-2739,5.0,Dadkihaohc,448.0,NV,El Paso,M,United States of America,451737.0,W,UAL
rzi7583,9.0,1.0,O,565246.0,rziprpcfwnirtuvrbfnuepq,Jdpqutldftwykfyhukveiaimoyyk,18.0,1-679-345-9939,2.0,Fpoleiod,549.0,TN,Mesa,,United States of America,180822.0,S,AFLAC
Wds7584,0.0,2.0,O,1899339.0,Wdsuorykxmvfxupyyjl,Qiwemtdba,40.0,1-093-616-0613,4.0,Cuaieflmccqp,705.0,AL,Simi Valley,,United States of America,205843.0,W,VeraSun Energy
Xsj7585,6.0,3.0,O,3873239.0,Xsjypvyfoqbiq,JQKEDISZ,29.0,1-546-131-8988,4.0,qiraymmapgf,387.0,TX,St. Catharines,M,United States of America,470985.0,M,Magellan Health Services
Lux7586,7.0,1.0,,767547.0,Luxkby,Gfuwa,21.0,1-477-186-7432,2.0,Tsynomgib,359.0,WV,Washington,,United States of America,318225.0,U,Emcor Group
wxw7587,9.0,2.0,O,1027999.0,wxwhwasadsmxchyhlgrvnurte,CTTUYHUUMMDTX,41.0,1-965-848-6954,2.0,Amudllk,494.0,ND,Chula Vista,f,Canada,326044.0,M,Peabody Energy
pfz7588,10.0,1.0,,3428495.0,pfzjoarqopfjtzjalxxxeq,Wvtqm,56.0,1-622-866-0937,1.0,ELQKT,345.0,Saskatchewan,Montpelier,m,United States of America,,M,State Farm Insurance Cos.
hlx7589,10.0,0.0,O,1827180.0,hlxshqpvshstjerwclb,xuwgpsvzcpxtoerndtr,33.0,1-040-217-2014,2.0,Oiwac,402.0,VA,Mesa,M,United States of America,187282.0,M,Humana
nyb7590,3.0,0.0,O,2070007.0,nybiaaw,Hnnzpokbygacjjgybkskf,96.0,1-101-684-2373,2.0,Dqgzinvuxxy,579.0,ND,New Haven,,United States of America,,M,News Corp.
Ltt7591,2.0,0.0,O,,Lttvvpjjavydrmbt,qsnivsknktiwjpqwnrlgftnmsrxkjc,35.0,1-386-426-5849,2.0,Nchaajfkjvx,569.0,ND,Indianapolis,,United States of America,,,Torchmark
gsz7592,9.0,4.0,O,3596263.0,gszunimggpyfjzmivbwizzftuen,pygsfvfpeofkdcugfvxdsqgmcgebfp,40.0,1-598-816-0126,0.0,XEDMBUAMGXKH,745.0,MS,Stockton,,United States of America,306946.0,W,Rock-Tenn
Kwp7593,1.0,,U,3719999.0,Kwpztgkknktyvdks,Zgxsuo,10.0,1-770-379-7700,0.0,crxbrlj,320.0,WY,Louisville,,,99663.0,D,AGCO
AGM7594,4.0,4.0,R,3058439.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,ganifmdaqbltccwbqijtkypcetuq,59.0,,2.0,Eytubbwi,591.0,MA,Atlanta,,United States of America,482013.0,M,
Ocn7595,10.0,0.0,U,2592932.0,Ocnds,IYCOMORWDFSEKN,70.0,1-628-245-6238,1.0,Lwftldizl,,AK,Milwaukee,m,United States of America,180476.0,M,United Stationers
Cmw7596,5.0,5.0,,1471273.0,Cmweamsabhudajyhpsohkpzcy,vdvdlfz,69.0,1-813-787-2611,4.0,GSSFZNBZL,417.0,PA,Fort Smith,F,United States of America,285682.0,M,McCormick
Dit7597,8.0,5.0,R,,Ditjvpiidkjkvxssfnctzcczb,Sbwymtnwzhffkwjczlsnvrtcv,96.0,1-362-897-1162,0.0,Nrnqtmjz,338.0,MA,Knoxville,,United States of America,455032.0,M,National Life Group
Rmm7598,9.0,,O,2410816.0,Rmmasnivkq,qjjwbffbgxilxyarhjwdvo,9.0,1-952-919-4878,3.0,Rzjxvum,340.0,DC,Idaho Falls,,United States of America,356141.0,S,Hasbro
ekj7599,5.0,3.0,U,1059543.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,JIXUQX,39.0,1-145-214-8009,3.0,Accezkuzqrif,738.0,RI,Jacksonville,,Canada,165667.0,U,Tupperware Brands
wcq7600,7.0,2.0,O,379282.0,wcqqbslcxugdqpbzbmbqvlahw,Eqrxuc,31.0,1-328-944-9786,0.0,LNZZPGOTEG,597.0,MA,Stockton,,United States of America,459767.0,S,Covance
Klc7601,4.0,2.0,R,3271265.0,Klcanpomjmuwosnasroukafsxtufz,PDAXUXBMPOVTKJUR,64.0,1-899-864-9421,2.0,YINOHET,603.0,Alberta,Thousand Oaks,f,United States of America,106459.0,M,Interactive Brokers Group
Jrd7602,5.0,1.0,U,1530364.0,Jrdmn,Adftxl,38.0,1-877-997-8896,,ddgkyv,662.0,AR,Nashua,,,51021.0,D,SkyWest
GDQ7603,0.0,4.0,R,3731860.0,GDQESTOSFCKVLPZEQPNFIKQLTXB,Gaksvvggpbleteofow,47.0,1-750-900-0823,2.0,Seiksuhglhj,838.0,VA,Tallahassee,,United States of America,494931.0,W,Best Buy
fnm7604,9.0,2.0,O,2488858.0,fnmqzceohwapysohiuofkhjpwzgv,Ijstknxzfzsvqmy,,,5.0,Ytgghhaxc,791.0,OR,Brownsville,,United States of America,429859.0,M,Sears Holdings
Ymu7605,7.0,4.0,O,2301347.0,Ymuvinagbzdhiwglzfacood,jvhwyzbcwdrrqmlbvpjwbohhemm,76.0,1-347-704-7823,1.0,Ajlcdadx,692.0,ID,Charlotte,,Canada,,S,Frontier Oil
Pxj7606,8.0,3.0,O,1736571.0,Pxjmfwpwm,nhhjbqktsr,60.0,1-228-976-2888,0.0,Daivf,673.0,IA,Oakland,,,464086.0,W,Automatic Data Processing
Rsd7607,7.0,,O,2399483.0,Rsdlvo,Lmhtjwddyqbzlxgv,73.0,,3.0,xrquzcptycg,331.0,TN,Fort Wayne,,Canada,207651.0,U,
Qqh7608,2.0,,O,2982744.0,Qqhwdyopkfs,BXFLGQTJSJDQAUCXXJXWHTQU,37.0,1-760-429-1328,4.0,shigmwk,744.0,Nova Scotia,Chula Vista,,United States of America,260418.0,U,Comerica
udq7609,6.0,1.0,U,1611011.0,udqexswxytatsvxw,Tlaihggmhfiuezhjgps,50.0,1-253-879-8833,5.0,enehob,446.0,Ontario,Peoria,,United States of America,,M,Baldor Electric
Ghl7610,0.0,4.0,O,2999167.0,Ghlflxgkavpsqvkpun,DSRXJZKFJTIVXLBAX,0.0,1-401-256-3483,0.0,RNLAKRXSPA,,MD,Lexington,,Canada,316963.0,M,Commercial Metals
mtk7611,,,O,,mtkfmxripistepftjaxfosviokgqsf,Annsrbdzywmpqvigpn,,1-175-910-8245,5.0,Hlezt,,AR,Salem,f,Canada,84046.0,W,
QIY7612,9.0,3.0,O,3307491.0,QIYQRALNIIONMKDZB,Mrawpcvb,,1-565-191-3419,0.0,Iyqmkpcjx,723.0,Saskatchewan,San Jose,,United States of America,368990.0,M,Molina Healthcare
Ohz7613,2.0,0.0,O,2057260.0,Ohzpaqjtc,yociu,81.0,1-921-688-5401,2.0,klgnkcaedht,348.0,OH,Kansas City,,Canada,124382.0,S,Plains All American Pipeline
djg7614,,0.0,O,53179.0,djgtucxplpftr,DQNVNWPYSMLDGXJVBUHUKDLRSLN,52.0,1-925-155-0170,2.0,Jsombikj,666.0,VA,Windsor,,United States of America,9263.0,M,Agilent Technologies
Iad7615,3.0,4.0,U,690086.0,Iaduje,wfnjfn,68.0,1-185-691-2951,2.0,Xtckbvng,,ID,Chicago,,United States of America,334181.0,M,AutoZone
EMG7616,8.0,1.0,R,2025465.0,EMGQKGEOTCGAFGDZVTRUAVGZYPM,WWWEN,,1-067-518-3854,0.0,YPUWSVRD,844.0,WI,Evansville,,United States of America,314001.0,M,
Hjn7617,8.0,4.0,O,695307.0,Hjnljezrxojeaoustvawackahexa,Krjcfgq,36.0,1-188-554-1671,1.0,Ifxvsnt,766.0,MS,Honolulu,,Canada,168309.0,M,Universal Health Services
CYP7618,10.0,4.0,O,3238398.0,CYPTBBGPWKKKFNOUHJ,Fxmpengjsaf,31.0,1-168-215-2223,2.0,EAOJPQVWBNZ,521.0,OK,Cleveland,M,United States of America,322765.0,M,Time Warner
KPN7619,7.0,5.0,O,1213578.0,KPNRNVLRFUTOWOERTCSIRQZ,Eobtk,55.0,1-228-022-3056,1.0,fhirgl,306.0,GA,Livonia,,United States of America,311253.0,W,Sealed Air
Vbi7620,9.0,5.0,R,103708.0,Vbimifwtrtvb,Abahrdfcbtscoblhaovnjkbx,66.0,1-926-766-1124,5.0,Lahfziy,411.0,TN,Little Rock,,United States of America,140296.0,W,Sprint Nextel
ehb7621,3.0,5.0,O,1086081.0,ehbcbdctlcspuvwbqveohanmkolbw,bhephgijqbu,22.0,1-538-797-1948,1.0,tofdjef,,SC,Halifax,F,United States of America,439984.0,M,
TMQ7622,8.0,0.0,O,1349626.0,TMQACIIUMYYZHYX,KECNVVPGTOXHIGOUAWLHU,51.0,1-627-234-0841,5.0,rckzx,702.0,AR,Peoria,F,United States of America,454011.0,U,Quiksilver
