MarSt,AdLi2,NuC,LN,AddrL1,PoC,Ph,Gen,CrRat,Ag,Em,Sta,In,NumCreCa,NeWor,Ci,AgID,NuCh,Cou,MiIn,FiN,OOReF
M,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,5.0,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,NCEVKLQEEWTA,,m,,72.0,Interstate Bakeries,Saskatchewan,210038.0,3.0,490443.0,Greensboro,dgc7511,1.0,United States of America,,Zaijioc,O
M,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,4.0,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,DODDIDDHXS,1-268-630-3843,,318.0,40.0,eBay,NE,307402.0,9.0,3348923.0,Concord,lql7512,5.0,Canada,,Mdwdjpdfmbqjaygkfqzqx,O
D,ucxdpiwilpxxhv,4.0,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Oqnzttrldq,1-915-548-9541,m,613.0,8.0,Boise,AR,,4.0,331799.0,Colorado Springs,Wsk7513,1.0,United States of America,,Ccbccgvldfvoqtzestvkwunn,R
U,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0,Ffshsiomkzjonhxjhunfsao,,Lwbawk,1-536-880-0961,,786.0,10.0,MDU Resources Group,IL,432425.0,4.0,1167013.0,Mobile,Ffs7514,1.0,,v,nyakrhdyxravdnhgbtol,R
U,,0.0,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Ppsrzjdtg,1-494-335-6022,,,24.0,Freescale Semiconductor,VA,122041.0,10.0,3960216.0,Thousand Oaks,Kvv7515,3.0,United States of America,F,NDNBTVCLKSC,O
M,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,1.0,mpzqnwnrmaozfsstcqtrc,,,1-814-158-3550,f,623.0,18.0,Superior Energy Services,ID,302205.0,5.0,242246.0,Rochester,mpz7516,4.0,United States of America,G,Zmstbluqkipzaojfsomtbdddguq,O
S,Havgczldcpfmwfzj,1.0,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,,1-420-580-0795,F,845.0,79.0,Monsanto,TX,367555.0,1.0,1217660.0,Garden Grove,Jhc7517,1.0,United States of America,s,dpqgvuaoijmkxsesvililpxcrwqe,O
M,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,4.0,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Rxdsunq,1-924-305-1666,M,645.0,36.0,Newfield Exploration,New Brunswick,106025.0,7.0,1229655.0,Tampa,dbq7518,5.0,United States of America,l,IHUGYGSRDWILVOFBAKUR,U
W,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,2.0,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,JXHVEEOU,1-450-082-2122,m,495.0,21.0,Loews,Alberta,106690.0,1.0,1157831.0,Fullerton,Xch7519,2.0,Canada,,aefotdcronamhkzsfpvifmobgchmsp,O
M,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,2.0,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,XHJQCDPOO,1-573-009-1404,m,371.0,4.0,Apache,PA,29373.0,8.0,,Washington,oir7520,2.0,Canada,Z,jdeyqkerjerjpht,O
S,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,2.0,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,rapkjpmvp,1-603-897-9894,M,462.0,72.0,Robert Half International,Nova Scotia,168189.0,1.0,,Norfolk,Fqb7521,3.0,United States of America,O,Lwihnxoihqqrvjydsijd,R
S,Rirmrpvlknyho,,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,Slskxm,1-947-161-6502,,375.0,1.0,Viacom,RI,264756.0,7.0,3467922.0,Sydney,qex7522,,United States of America,,nmnervucuk,U
S,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,1.0,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,FXHXLG,1-586-826-9847,,516.0,98.0,Robert Half International,OR,44480.0,10.0,46859.0,Winnipeg,Hpi7523,2.0,Canada,,hgjkxxbf,U
,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,1.0,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,ovlziicdezok,1-217-243-2668,,703.0,35.0,CSX,CA,87207.0,,2937668.0,Wilmington,Fjd7524,5.0,Canada,,Zangtryzlhmxo,R
W,Rpzwirgfyiw,4.0,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,jsxcpvao,1-857-211-5728,,734.0,99.0,Country Financial Services,MO,238434.0,7.0,2388613.0,El Monte,Cgt7525,2.0,United States of America,,FFJGEQD,O
M,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,0.0,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Ykerbceq,1-089-966-6281,M,469.0,49.0,Procter & Gamble,Prince Edward Island,,4.0,3116283.0,Sterling Heights,Lwx7526,2.0,United States of America,,Pdcxrihnl,U
S,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,3.0,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,VVMSNWEBT,,,595.0,72.0,Ingles Markets,Quebec,391354.0,2.0,2671950.0,Pembroke Pines,epy7527,0.0,United States of America,,Zckhcacwaelzutaodqalxyjrkh,O
U,Acdrcqabtcdgmgl,3.0,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,bibueqwbejem,1-231-342-6874,m,410.0,41.0,Forest Laboratories,KS,419165.0,1.0,3899593.0,Philadelphia,Aff7528,0.0,United States of America,M,sqrosgqnpifxjx,O
W,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,3.0,mfcestd,,gehpynlk,,,475.0,54.0,Dentsply International,NV,396509.0,10.0,2537332.0,Glendale,mfc7529,2.0,Canada,S,Erqzkkllazeobgthnmgsbtj,O
,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,0.0,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,Piwlxtg,1-602-637-1838,,,11.0,RadioShack,TN,145161.0,2.0,733236.0,El Monte,Slf7530,2.0,United States of America,S,Lcziayaozecoqqluasolkmmcldm,R
W,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,2.0,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Ujlshmosjkid,1-003-982-8627,,519.0,0.0,Century Aluminum,WY,263206.0,3.0,,Warwick,Cxu7531,5.0,United States of America,,Gcnczmuxviqaxtsdzmzhtro,O
D,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,3.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,cwburwnupuj,1-136-358-6852,,841.0,27.0,,British Columbia,190371.0,5.0,3397276.0,Milwaukee,GZO7532,3.0,United States of America,F,Rsoobsqytvjycob,U
U,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,3.0,DRWTVTDSG,Llfaqkbemnoy,CNEZMHTKIAEV,1-123-528-2965,,540.0,95.0,FPL Group,LA,203968.0,6.0,2444257.0,Phoenix,DRW7533,1.0,United States of America,A,Pjvadgt,O
U,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,1.0,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,kixvppuqtd,1-136-565-2501,f,540.0,35.0,Lockheed Martin,HI,428323.0,10.0,71520.0,Anchorage,set7534,3.0,United States of America,N,GUBKOKITTSKVYM,R
M,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,4.0,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,jrhynxfi,1-317-986-1984,,,96.0,Sanmina-SCI,NY,159980.0,6.0,1911091.0,Madison,Pyo7535,1.0,United States of America,,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,O
W,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,0.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,dnhtjyu,1-265-603-1262,M,424.0,96.0,Iron Mountain,TX,266852.0,6.0,988775.0,Fontana,FSH7536,0.0,Canada,,Kuteauo,O
M,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,5.0,Tdxyljuxporjhdumcvfmv,,YKOVOTYB,,,623.0,49.0,OfficeMax,AZ,206973.0,2.0,3919363.0,Charlotte,Tdx7537,5.0,United States of America,,Hkfofpndygljbeo,R
S,XHQNMCEJKXOQYVSZVESLKC,5.0,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,WNNMWJ,1-156-668-6882,,792.0,,AMR,ME,258221.0,4.0,428918.0,Richmond,Sbn7538,1.0,Canada,O,Kengxgsu,O
S,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,4.0,Piqizouhxiw,Hlotorcbtobuceb,Oktkljv,1-164-648-3203,f,718.0,27.0,Kohl's,NH,428508.0,6.0,58134.0,Santa Clarita,Piq7539,4.0,United States of America,C,Plywuoa,O
M,Toumjfbsumpgfuskpydjeibaxi,4.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,,1-839-795-1027,M,401.0,98.0,Cigna,KY,,6.0,3703767.0,Yellow Knife,IXD7540,0.0,,,zfcwsxpjzyqelkxg,O
M,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,4.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,GXFLSISZUY,1-958-412-4252,,557.0,,West,Prince Edward Island,58953.0,2.0,433859.0,Oxnard,wsn7541,5.0,United States of America,,Yxvczhqjwgnhowiu,R
W,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,5.0,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,gzexcrngivl,1-392-335-1020,M,393.0,56.0,Monsanto,British Columbia,409682.0,7.0,3002044.0,Huntington Beach,Jkp7542,5.0,United States of America,A,Grkknjyfgbhtyrhxzeaoeoyirwfa,O
M,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,2.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,yzoikhwrd,1-912-050-7605,M,557.0,94.0,Reliant Energy,CT,340191.0,10.0,1124168.0,Durham,CCF7543,4.0,United States of America,,Vfrdst,
U,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,4.0,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,Gdbktega,1-075-551-9919,,465.0,98.0,Idearc,WA,238216.0,5.0,2081541.0,Naperville,ylj7544,5.0,United States of America,,Hqcswumjvwbemosmy,O
M,hkyochorqgtokxgozmoncalaaiw,0.0,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Kdcqzpvf,1-013-611-2674,F,,8.0,Neiman Marcus,ND,113171.0,6.0,1897076.0,Albuquerque,ZBB7545,1.0,Canada,V,Ectbhkmbvwkwdbn,O
W,Datdnghoiymltcayulgkgxywi,5.0,fqekemquvstw,Yewxbqpnfgh,Tbwgwtmgcu,1-656-865-7544,m,485.0,90.0,O'Reilly Automotive,ID,234797.0,10.0,235172.0,Newark,fqe7546,,United States of America,,Bdbgqpllbnrmiirpct,
M,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,4.0,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Mwmfs,1-879-870-7379,,303.0,34.0,Cliffs Natural Resources,Quebec,225322.0,2.0,639573.0,Miami,Wpw7547,2.0,United States of America,,Ftszluaxcsoxdfbmdd,
W,,1.0,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,goelqgcts,1-366-625-9813,,846.0,25.0,Health Management Associates,ID,192689.0,4.0,2667082.0,London,vpz7548,2.0,Canada,,Qrdnpjquwnixfocqhsrlkcxmelwijl,O
,,5.0,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,ucwygjzs,1-359-462-7089,,621.0,50.0,Chevron,AL,348685.0,1.0,2598634.0,Worcester,Yfz7549,4.0,Canada,,Kkiolpmrgzmnjanqc,O
D,,3.0,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,fjlfqftwg,,,331.0,85.0,Exide Technologies,UT,401229.0,,1074671.0,Jacksonville,dou7550,4.0,United States of America,,unzegilpp,O
M,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,5.0,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,Tocujgaiaq,1-153-396-8333,M,401.0,60.0,Convergys,MS,38597.0,9.0,2272997.0,Nashua,FDJ7551,4.0,United States of America,,xetqkitwlh,R
S,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,2.0,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,kurjmmgixxfd,1-144-623-1308,,644.0,95.0,Dominion Resources,AK,,0.0,702000.0,Newport News,ufu7552,2.0,United States of America,,TWRRGULRYKYUWZYBQQFMIFFKVK,R
M,NBSHKLXYVUUWXEQSGXR,4.0,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,cnsavindoi,1-269-220-8046,m,769.0,8.0,Sentry Insurance Group,VT,161204.0,5.0,1289800.0,Corona,bbg7553,1.0,United States of America,H,Yqfljvgkfucafpjpamdtcppiipc,R
M,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,3.0,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,MQBSAUVQRPYE,1-052-524-0130,f,481.0,31.0,Cintas,LA,202650.0,2.0,1007390.0,Lincoln,Znk7554,4.0,,v,mjeasoritwctufyojamzbeeoo,O
U,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,1.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,vadbnvz,1-335-871-6660,F,732.0,51.0,Medtronic,CT,,7.0,124290.0,Toronto,CGQ7555,2.0,Canada,T,Udxaujgiratgthwkvdibgvwfo,O
M,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,4.0,addxtssyhezwro,dnlleihfh,Ljurvnigr,1-637-394-8083,,802.0,24.0,Pride International,UT,492433.0,2.0,1820002.0,Fayetteville,add7556,4.0,United States of America,,GHFUKZPOKMXWZF,O
M,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,2.0,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,BQDMQVFTNBRJ,1-706-795-4208,,329.0,78.0,A. Schulman,IN,344858.0,5.0,2200347.0,Charlotte,Anw7557,4.0,Canada,J,ybtkiifyhbgchnuctnhnqspk,O
W,nqcozjievwzk,5.0,Hvtanebvipbdd,Wsjaujjdexc,jkcul,1-622-347-5699,m,839.0,56.0,Oneok,WI,197290.0,0.0,3669569.0,Tulsa,Hvt7558,0.0,United States of America,,Fhkymmgjsbmpduuffgavhfcxm,R
U,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,2.0,Yqjaammjlhgpw,Ojberg,Nelny,1-042-017-9368,,539.0,50.0,Danaher,WA,283654.0,,2140537.0,Winston-Salem,Yqj7559,,United States of America,d,DEZDTMSMWKALBRPALCFIME,
M,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,4.0,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Qsggz,1-829-935-5979,F,561.0,52.0,Del Monte Foods,LA,317423.0,4.0,3258909.0,Thousand Oaks,Ztn7560,5.0,United States of America,,phoxfeiqoldgmnojmzunmargkla,R
W,Lfrjkyblujmbxigmylpsxieswspmei,4.0,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Drofa,1-076-726-5283,F,814.0,14.0,American Electric Power,VT,399126.0,2.0,1825422.0,Lubbock,bni7561,5.0,United States of America,,Upuabfflh,O
M,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,5.0,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,Ssovhtmt,,,305.0,29.0,TJX,CT,398180.0,7.0,1845263.0,Winnipeg,swx7562,0.0,United States of America,,owagfolbfwjzeg,R
S,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,2.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,Tnprhljfrlj,1-284-129-5920,f,457.0,50.0,Philip Morris International,RI,,4.0,1463114.0,Laredo,DSA7563,4.0,United States of America,P,Qdmppehqxloc,O
U,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,4.0,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Bkxujhonjgjk,1-128-308-8886,,349.0,67.0,Cincinnati Financial,SC,485429.0,8.0,2354683.0,Overland Park,BXZ7564,1.0,United States of America,,jqbetxkci,O
M,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,2.0,pczqycbwefse,KRYAIAJGKHBKXBLC,mrjrjhgnwcdu,1-145-469-5971,,590.0,22.0,Stryker,British Columbia,118018.0,0.0,436677.0,Calgary,pcz7565,0.0,United States of America,,Wsmywgbvwspgdwhmdxsqjwqb,O
U,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,5.0,Zqaknviqngvemehvpzrcgkcvre,,Yusezkfgs,1-727-684-7767,m,533.0,20.0,Kansas City Southern,CO,309693.0,0.0,2383335.0,Peoria,Zqa7566,4.0,United States of America,,ocgwi,O
W,IBQIDE,4.0,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,RKXTQAO,1-776-201-2472,,686.0,75.0,IDT,TN,90718.0,9.0,2574739.0,Durham,Htl7567,0.0,Canada,z,Pcotdnngmurhkcd,O
U,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,2.0,afwafvxxdr,VBDCWYVK,UBQSATXZO,1-767-942-1278,F,582.0,60.0,Vornado Realty Trust,CA,280645.0,10.0,1596838.0,Pueblo,afw7568,0.0,United States of America,L,bvcosqzcleknjzvkygbawlc,O
S,Lrebujnrg,,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,BHRNWQLFVFA,1-723-062-7266,,807.0,,Dollar General,WY,231559.0,0.0,591965.0,Las Cruces,Wna7569,4.0,United States of America,,ECLENELTSXGTNWOP,O
S,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3.0,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Ktmzav,,,819.0,48.0,Safeway,SD,36898.0,3.0,3071440.0,Chula Vista,Mlh7570,5.0,United States of America,,Xdwexmrjat,O
M,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,2.0,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,Nfpchgfj,1-145-314-0862,,311.0,91.0,Apache,British Columbia,396786.0,5.0,2683081.0,San Diego,Gor7571,0.0,United States of America,,xjwnvwdryqpcehelwzfhkkiuus,R
U,Hxutrprq,2.0,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,Wuywecohosfi,1-735-104-7772,f,734.0,98.0,Lowe's,NJ,344365.0,3.0,3850483.0,Chicago,ENX7572,5.0,United States of America,,RNBABCYAFMQPBOHXNUXMXNU,O
W,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,4.0,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,tibxlojrqiha,,,432.0,51.0,Lithia Motors,AK,1205.0,1.0,1870617.0,Worcester,fgr7573,1.0,United States of America,,Eyrtrqkljywvbcice,O
S,JRHXPUUHAFHDPF,5.0,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,ogmes,1-518-116-1411,m,394.0,22.0,CH2M Hill,OH,276666.0,3.0,1249534.0,Honolulu,Ysh7574,0.0,United States of America,a,Opybrukftspofebjmspkjsgtobzsp,O
U,yvntcqjqqmbftwetvbqgclcdbxspvk,0.0,Mosqjrkdycyygfsljqadgfqoldb,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,JUBKXDKP,1-696-359-4829,,658.0,57.0,Tellabs,New Brunswick,497953.0,1.0,3789880.0,Albuquerque,Mos7575,0.0,United States of America,I,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,O
M,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,1.0,czuvw,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,Xbgykqm,1-352-678-5471,,348.0,38.0,Phillips-Van Heusen,IL,156048.0,3.0,3874445.0,Oakland,czu7576,2.0,Canada,,kpofwgtomgijnm,O
