gncd,crdtrtng,g,nmbrchldrn,mddlntl,frstnm,phn,ncm,nmbrcrs,mrtlstts,wnrrntflg,mplr,nmbrcrdtcrds,ntwrth
rbj7661,685.0,69.0,1.0,b,Ruihhbkdjniajgrvwos,1-068-568-6056,245130.0,2.0,,O,Mueller Water Products,4.0,462234.0
ebw7662,363.0,33.0,3.0,U,Gkirgeljoajnkshohjinbooco,,19691.0,4.0,M,R,Shaw Group,10.0,3936622.0
SQY7663,605.0,33.0,1.0,,cgqpaxicnbhaaufmao,1-772-155-4468,13490.0,1.0,M,O,Energy Future Holdings,9.0,2116904.0
nqw7664,394.0,1.0,4.0,i,beidygiakhaztngnhqsrjhxs,1-551-833-6226,90333.0,4.0,W,,PHH,6.0,63883.0
Fyz7665,812.0,19.0,2.0,,XXILDDNLYSINLOGZNXHQKGLMEAR,1-894-068-7775,210200.0,0.0,U,R,Simon Property Group,6.0,2747738.0
Hds7666,688.0,63.0,3.0,J,MLHCHSATXNEQIRSMEHAM,,195318.0,3.0,M,R,World Fuel Services,3.0,938329.0
ksz7667,808.0,27.0,5.0,s,Qqgzzbefkm,1-942-682-4165,486627.0,5.0,M,O,Andersons,9.0,976093.0
Wzm7668,492.0,12.0,4.0,,qdjedjylsojhngornkkgmozdbb,,142918.0,,,O,L-3 Communications,1.0,2031908.0
Xna7669,734.0,26.0,3.0,N,Vszkppbmlhgmjgeiss,1-316-836-0322,243364.0,4.0,D,O,CACI International,6.0,660066.0
ugr7670,579.0,2.0,5.0,,Yizitnh,1-746-466-6593,208343.0,1.0,M,O,M&T Bank Corp.,7.0,2777991.0
Qao7671,410.0,34.0,4.0,a,Jkrhfalisxualvrritesxm,1-306-508-0916,26787.0,0.0,M,U,Family Dollar Stores,10.0,3148815.0
MXH7672,743.0,86.0,4.0,G,Hfhsubkrpir,1-049-405-9872,190609.0,0.0,D,O,Medco Health Solutions,7.0,3714775.0
KQU7673,431.0,47.0,,J,Htbblpuiuynkio,1-539-901-1797,,1.0,M,O,Crosstex Energy,9.0,2203195.0
bxn7674,805.0,73.0,0.0,,odfxd,1-976-507-8347,,0.0,M,O,Reynolds American,4.0,3708645.0
Opu7675,688.0,83.0,0.0,,Znewofyktnzry,1-902-376-9596,453308.0,1.0,U,O,PolyOne,9.0,2954852.0
Ceo7676,483.0,99.0,,,obgrwipkwotv,1-532-161-3458,251108.0,1.0,D,O,"Toys ""R"" Us",1.0,2421534.0
DZH7677,844.0,49.0,0.0,,llbtndfaert,1-943-745-8094,128853.0,0.0,U,O,Sonoco Products,7.0,941243.0
Ocd7678,436.0,96.0,3.0,,Vowvlsbsbfokxbljqxz,1-162-078-3859,486933.0,3.0,M,O,Newfield Exploration,5.0,3133101.0
Uyj7679,336.0,12.0,2.0,,qafdyn,1-881-265-1012,306545.0,5.0,D,U,IAC/InterActiveCorp,3.0,2070834.0
mhz7680,688.0,75.0,1.0,P,aqococfdutcrxipsdiizyfbigy,1-781-682-4447,7682.0,1.0,S,O,MGIC Investment,1.0,2617194.0
Sft7681,581.0,29.0,0.0,,Radeyutyf,1-716-288-6722,280763.0,3.0,U,O,American International Group,9.0,2752340.0
gza7682,670.0,4.0,2.0,,ockmjwrdbkxoaemodyftxmjcl,1-407-712-3659,296945.0,1.0,,R,Health Net,6.0,2611991.0
Rem7683,671.0,100.0,0.0,,MPCHPTTYJUWERHWMHALH,1-747-143-2305,176399.0,0.0,U,O,Mueller Industries,5.0,3965576.0
cko7684,352.0,45.0,4.0,b,Duhgkwcceehrrqvnnirv,1-522-074-1862,97252.0,3.0,U,U,American National Insurance,10.0,3550405.0
RLN7685,317.0,63.0,2.0,,Rpmqztmrghojzbyqnivxceyuiha,1-867-195-7669,320588.0,3.0,S,O,Morgan Stanley,10.0,1566093.0
Qjl7686,809.0,35.0,2.0,R,YTNSVR,1-272-128-3403,18284.0,4.0,,R,Halliburton,6.0,1944507.0
YNL7687,704.0,61.0,2.0,w,xgayrgnjhvearxja,1-174-194-8365,,0.0,S,,MGIC Investment,5.0,3250645.0
qpi7688,411.0,43.0,,E,AJSVULACHMZKBAEN,1-067-296-1708,80228.0,1.0,S,O,United Services Automobile,2.0,2806218.0
Xxi7689,431.0,98.0,3.0,C,fubtbkexiuaacw,1-688-092-7664,39672.0,,U,O,Spartan Stores,4.0,2826399.0
axi7690,362.0,84.0,3.0,,Lygmiirioggkj,1-784-445-0301,225036.0,3.0,M,O,Moog,4.0,91147.0
