AgID,Ci,MiIn,NumCrCar,AddL2,A,CrRat,LaNa,MarSt,Ge,Ph,OORFl,Coun,AddL1,NuChi,Inc,NuC,Em,NeWor
dgc7511,Greensboro,,3.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,72.0,,dgcnbxfhc,M,m,,O,United States of America,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,1.0,210038.0,5.0,Interstate Bakeries,490443.0
lql7512,Concord,,9.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,40.0,318.0,lqlslgqsvyfxqnzuwbfg,M,,1-268-630-3843,O,Canada,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,5.0,307402.0,4.0,eBay,3348923.0
Wsk7513,Colorado Springs,,4.0,ucxdpiwilpxxhv,8.0,613.0,Wskjvrujdwku,D,m,1-915-548-9541,R,United States of America,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1.0,,4.0,Boise,331799.0
Ffs7514,Mobile,v,4.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,10.0,786.0,Ffshsiomkzjonhxjhunfsao,U,,1-536-880-0961,R,,,1.0,432425.0,4.0,MDU Resources Group,1167013.0
Kvv7515,Thousand Oaks,F,10.0,,24.0,,Kvvverfkpazpzzkrqniixrhnw,U,,1-494-335-6022,O,United States of America,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,3.0,122041.0,0.0,Freescale Semiconductor,3960216.0
mpz7516,Rochester,G,5.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,18.0,623.0,mpzqnwnrmaozfsstcqtrc,M,f,1-814-158-3550,O,United States of America,,4.0,302205.0,1.0,Superior Energy Services,242246.0
Jhc7517,Garden Grove,s,1.0,Havgczldcpfmwfzj,79.0,845.0,Jhcbaxyzijphmmvpampdgvgisnab,S,F,1-420-580-0795,O,United States of America,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,367555.0,1.0,Monsanto,1217660.0
dbq7518,Tampa,l,7.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,36.0,645.0,dbqcukoddoiwg,M,M,1-924-305-1666,U,United States of America,rpikmvtgwsrsoehxgmxwypaueiaheabrf,5.0,106025.0,4.0,Newfield Exploration,1229655.0
Xch7519,Fullerton,,1.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,21.0,495.0,Xchoxlbkffuvox,W,m,1-450-082-2122,O,Canada,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,106690.0,2.0,Loews,1157831.0
oir7520,Washington,Z,8.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,4.0,371.0,oirfujtvl,M,m,1-573-009-1404,O,Canada,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,29373.0,2.0,Apache,
Fqb7521,Norfolk,O,1.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,72.0,462.0,Fqbovz,S,M,1-603-897-9894,R,United States of America,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,3.0,168189.0,2.0,Robert Half International,
qex7522,Sydney,,7.0,Rirmrpvlknyho,1.0,375.0,qextfjyytqwbmdrlykbfnhvqrmota,S,,1-947-161-6502,U,United States of America,Dmyivtczopuqajpnjqvvgbhxynvduub,,264756.0,,Viacom,3467922.0
Hpi7523,Winnipeg,,10.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,98.0,516.0,Hpiedhvkedqqdxsoedt,S,,1-586-826-9847,U,Canada,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,2.0,44480.0,1.0,Robert Half International,46859.0
Fjd7524,Wilmington,,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,35.0,703.0,Fjdafgbcrml,,,1-217-243-2668,R,Canada,Esuycdxsjfbrqbtluspxsehk,5.0,87207.0,1.0,CSX,2937668.0
Cgt7525,El Monte,,7.0,Rpzwirgfyiw,99.0,734.0,Cgtcmbl,W,,1-857-211-5728,O,United States of America,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,2.0,238434.0,4.0,Country Financial Services,2388613.0
Lwx7526,Sterling Heights,,4.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,49.0,469.0,Lwxudfgcqawccntqaucdaeym,M,M,1-089-966-6281,U,United States of America,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,2.0,,0.0,Procter & Gamble,3116283.0
epy7527,Pembroke Pines,,2.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,72.0,595.0,epyxtfsrijhddstgaxkbgmlayjtk,S,,,O,United States of America,vnyndcximwxhecv,0.0,391354.0,3.0,Ingles Markets,2671950.0
Aff7528,Philadelphia,M,1.0,Acdrcqabtcdgmgl,41.0,410.0,Affcha,U,m,1-231-342-6874,O,United States of America,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,0.0,419165.0,3.0,Forest Laboratories,3899593.0
mfc7529,Glendale,S,10.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,54.0,475.0,mfcestd,W,,,O,Canada,,2.0,396509.0,3.0,Dentsply International,2537332.0
Slf7530,El Monte,S,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,11.0,,Slfbmvc,,,1-602-637-1838,R,United States of America,GVSBHGBDDVJFNNOZNNPJWCOI,2.0,145161.0,0.0,RadioShack,733236.0
Cxu7531,Warwick,,3.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,0.0,519.0,Cxuousxqyrfgjvpvuopyfguqva,W,,1-003-982-8627,O,United States of America,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,5.0,263206.0,2.0,Century Aluminum,
GZO7532,Milwaukee,F,5.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,27.0,841.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,D,,1-136-358-6852,U,United States of America,BIQIOQOHLQSTBRUFOI,3.0,190371.0,3.0,,3397276.0
DRW7533,Phoenix,A,6.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,95.0,540.0,DRWTVTDSG,U,,1-123-528-2965,O,United States of America,Llfaqkbemnoy,1.0,203968.0,3.0,FPL Group,2444257.0
set7534,Anchorage,N,10.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,35.0,540.0,setksinlvlrjwnfu,U,f,1-136-565-2501,R,United States of America,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,3.0,428323.0,1.0,Lockheed Martin,71520.0
Pyo7535,Madison,,6.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,96.0,,Pyoixliri,M,,1-317-986-1984,O,United States of America,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1.0,159980.0,4.0,Sanmina-SCI,1911091.0
FSH7536,Fontana,,6.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,96.0,424.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,W,M,1-265-603-1262,O,Canada,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,266852.0,0.0,Iron Mountain,988775.0
Tdx7537,Charlotte,,2.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,49.0,623.0,Tdxyljuxporjhdumcvfmv,M,,,R,United States of America,,5.0,206973.0,5.0,OfficeMax,3919363.0
Sbn7538,Richmond,O,4.0,XHQNMCEJKXOQYVSZVESLKC,,792.0,Sbnxcsrozzcufdoyvckpplofysx,S,,1-156-668-6882,O,Canada,atydogjpqphuwhegtbukkqiaeakrtrn,1.0,258221.0,5.0,AMR,428918.0
Piq7539,Santa Clarita,C,6.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,27.0,718.0,Piqizouhxiw,S,f,1-164-648-3203,O,United States of America,Hlotorcbtobuceb,4.0,428508.0,4.0,Kohl's,58134.0
IXD7540,Yellow Knife,,6.0,Toumjfbsumpgfuskpydjeibaxi,98.0,401.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,M,M,1-839-795-1027,O,,gsrdigbqfwrahybxrtm,0.0,,4.0,Cigna,3703767.0
wsn7541,Oxnard,,2.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,557.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,M,,1-958-412-4252,R,United States of America,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,5.0,58953.0,4.0,West,433859.0
Jkp7542,Huntington Beach,A,7.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,56.0,393.0,Jkpmtcj,W,M,1-392-335-1020,O,United States of America,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,409682.0,5.0,Monsanto,3002044.0
CCF7543,Durham,,10.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,94.0,557.0,CCFFVCOHCLUUXZIQTCFCUHEYN,M,M,1-912-050-7605,,United States of America,,4.0,340191.0,2.0,Reliant Energy,1124168.0
ylj7544,Naperville,,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,98.0,465.0,yljvuglvt,U,,1-075-551-9919,O,United States of America,RELJYREDKQEKGOORBLRKOUIC,5.0,238216.0,4.0,Idearc,2081541.0
ZBB7545,Albuquerque,V,6.0,hkyochorqgtokxgozmoncalaaiw,8.0,,ZBBXAWVJAAL,M,F,1-013-611-2674,O,Canada,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1.0,113171.0,0.0,Neiman Marcus,1897076.0
fqe7546,Newark,,10.0,Datdnghoiymltcayulgkgxywi,90.0,485.0,fqekemquvstw,W,m,1-656-865-7544,,United States of America,Yewxbqpnfgh,,234797.0,5.0,O'Reilly Automotive,235172.0
Wpw7547,Miami,,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,34.0,303.0,Wpwhilrlzng,M,,1-879-870-7379,,United States of America,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,2.0,225322.0,4.0,Cliffs Natural Resources,639573.0
vpz7548,London,,4.0,,25.0,846.0,vpzxgcwljllsq,W,,1-366-625-9813,O,Canada,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,2.0,192689.0,1.0,Health Management Associates,2667082.0
Yfz7549,Worcester,,1.0,,50.0,621.0,Yfzmtcvxc,,,1-359-462-7089,O,Canada,VDBAVRMWFYBDZUILPKFXIVIYGFUU,4.0,348685.0,5.0,Chevron,2598634.0
dou7550,Jacksonville,,,,85.0,331.0,douvwdwiwrxoivzaojazinrhswjv,D,,,O,United States of America,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,4.0,401229.0,3.0,Exide Technologies,1074671.0
FDJ7551,Nashua,,9.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,60.0,401.0,FDJOVRSOCWEIKZ,M,M,1-153-396-8333,R,United States of America,hfuyqlsmbesrylepu,4.0,38597.0,5.0,Convergys,2272997.0
ufu7552,Newport News,,0.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,95.0,644.0,ufutrfkevxnbupjcetrpltw,S,,1-144-623-1308,R,United States of America,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,,2.0,Dominion Resources,702000.0
bbg7553,Corona,H,5.0,NBSHKLXYVUUWXEQSGXR,8.0,769.0,bbgzmquoeecumw,M,m,1-269-220-8046,R,United States of America,qgjnvpwvmgsqzcanzncon,1.0,161204.0,4.0,Sentry Insurance Group,1289800.0
Znk7554,Lincoln,v,2.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,31.0,481.0,Znkkdbkvxcxeuackyodqlkpl,M,f,1-052-524-0130,O,,HNBGLUDIOAJRCCIXGDUQOO,4.0,202650.0,3.0,Cintas,1007390.0
CGQ7555,Toronto,T,7.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,51.0,732.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,U,F,1-335-871-6660,O,Canada,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,2.0,,1.0,Medtronic,124290.0
add7556,Fayetteville,,2.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,24.0,802.0,addxtssyhezwro,M,,1-637-394-8083,O,United States of America,dnlleihfh,4.0,492433.0,4.0,Pride International,1820002.0
Anw7557,Charlotte,J,5.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,78.0,329.0,Anwyusqezrjppzkaevffwljm,M,,1-706-795-4208,O,Canada,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,4.0,344858.0,2.0,A. Schulman,2200347.0
Hvt7558,Tulsa,,0.0,nqcozjievwzk,56.0,839.0,Hvtanebvipbdd,W,m,1-622-347-5699,R,United States of America,Wsjaujjdexc,0.0,197290.0,5.0,Oneok,3669569.0
Yqj7559,Winston-Salem,d,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,50.0,539.0,Yqjaammjlhgpw,U,,1-042-017-9368,,United States of America,Ojberg,,283654.0,2.0,Danaher,2140537.0
Ztn7560,Thousand Oaks,,4.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,52.0,561.0,Ztnstwpjxatqveppicohpzilnn,M,F,1-829-935-5979,R,United States of America,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,5.0,317423.0,4.0,Del Monte Foods,3258909.0
bni7561,Lubbock,,2.0,Lfrjkyblujmbxigmylpsxieswspmei,14.0,814.0,bnizllrrofn,W,F,1-076-726-5283,O,United States of America,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,5.0,399126.0,4.0,American Electric Power,1825422.0
swx7562,Winnipeg,,7.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,29.0,305.0,swxorhmdydwbrtdqxroghsddlpbdgi,M,,,R,United States of America,Xwtkpxqgohxwxnv,0.0,398180.0,5.0,TJX,1845263.0
DSA7563,Laredo,P,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,50.0,457.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,S,f,1-284-129-5920,O,United States of America,Qpvmtkxxfef,4.0,,2.0,Philip Morris International,1463114.0
BXZ7564,Overland Park,,8.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,67.0,349.0,BXZUTWBUFSGPPXKR,U,,1-128-308-8886,O,United States of America,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1.0,485429.0,4.0,Cincinnati Financial,2354683.0
pcz7565,Calgary,,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,22.0,590.0,pczqycbwefse,M,,1-145-469-5971,O,United States of America,KRYAIAJGKHBKXBLC,0.0,118018.0,2.0,Stryker,436677.0
Zqa7566,Peoria,,0.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,20.0,533.0,Zqaknviqngvemehvpzrcgkcvre,U,m,1-727-684-7767,O,United States of America,,4.0,309693.0,5.0,Kansas City Southern,2383335.0
Htl7567,Durham,z,9.0,IBQIDE,75.0,686.0,Htltlfnvjctvvdvulpkhcbyfi,W,,1-776-201-2472,O,Canada,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,0.0,90718.0,4.0,IDT,2574739.0
afw7568,Pueblo,L,10.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,60.0,582.0,afwafvxxdr,U,F,1-767-942-1278,O,United States of America,VBDCWYVK,0.0,280645.0,2.0,Vornado Realty Trust,1596838.0
Wna7569,Las Cruces,,0.0,Lrebujnrg,,807.0,Wnakgzhqfhtavtvegjtdmdosnjr,S,,1-723-062-7266,O,United States of America,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,4.0,231559.0,,Dollar General,591965.0
Mlh7570,Chula Vista,,3.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,48.0,819.0,Mlheqxaigtvjaynkffyqkpu,S,,,O,United States of America,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,5.0,36898.0,3.0,Safeway,3071440.0
Gor7571,San Diego,,5.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,91.0,311.0,Gorjnqxjtefmomsbmtnogaerx,M,,1-145-314-0862,R,United States of America,Gwxymofcy,0.0,396786.0,2.0,Apache,2683081.0
ENX7572,Chicago,,3.0,Hxutrprq,98.0,734.0,ENXOMNHFVPYQSABETPUEKRKCL,U,f,1-735-104-7772,O,United States of America,Qynjnmfgwxpmrw,5.0,344365.0,2.0,Lowe's,3850483.0
fgr7573,Worcester,,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,51.0,432.0,fgrdzzudzmwlluff,W,,,O,United States of America,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1.0,1205.0,4.0,Lithia Motors,1870617.0
Ysh7574,Honolulu,a,3.0,JRHXPUUHAFHDPF,22.0,394.0,Yshzkx,S,m,1-518-116-1411,O,United States of America,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,0.0,276666.0,5.0,CH2M Hill,1249534.0
Mos7575,Albuquerque,I,1.0,yvntcqjqqmbftwetvbqgclcdbxspvk,57.0,658.0,Mosqjrkdycyygfsljqadgfqoldb,U,,1-696-359-4829,O,United States of America,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,0.0,497953.0,0.0,Tellabs,3789880.0
czu7576,Oakland,,3.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,38.0,348.0,czuvw,M,,1-352-678-5471,O,Canada,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,2.0,156048.0,1.0,Phillips-Van Heusen,3874445.0
Ghr7577,Billings,Z,8.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,68.0,598.0,Ghrlcuscpesuzsdwqfwwbgh,M,,1-906-600-9749,O,United States of America,BESJDYZDIOIXKDFEHBQXBPW,5.0,63617.0,1.0,Wells Fargo,437353.0
Rwk7578,Pueblo,,9.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,93.0,505.0,Rwkdeshuwhwvmvmdnckmuvdt,U,,1-093-018-2851,O,United States of America,Ouopoqztakszwsfkthdbwndfjuqaelyd,2.0,244849.0,2.0,Vornado Realty Trust,2669917.0
Uwi7579,Sherbrooke,,7.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,48.0,839.0,Uwinnbtdd,S,,1-302-096-9321,R,United States of America,Ivwhotvobwkshcixclfobqoljlaqohw,3.0,123585.0,4.0,New York Times,1466537.0
VXZ7580,Sacramento,,2.0,CYQWJKJB,96.0,672.0,VXZTLDNZPYIFIKTIJRXS,S,,1-915-044-3154,U,United States of America,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1.0,391134.0,1.0,Adobe Systems,991860.0
Ayk7581,Charlotte,p,3.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,58.0,696.0,Aykkkc,M,f,1-040-274-3474,O,United States of America,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,5.0,426759.0,5.0,Valmont Industries,
lho7582,El Paso,,5.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,63.0,448.0,lhodktal,W,M,1-678-397-2739,O,United States of America,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,3.0,451737.0,5.0,UAL,1816368.0
rzi7583,Mesa,,9.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,18.0,549.0,rziprpcfwnirtuvrbfnuepq,S,,1-679-345-9939,O,United States of America,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,1.0,180822.0,2.0,AFLAC,565246.0
Wds7584,Simi Valley,,0.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,40.0,705.0,Wdsuorykxmvfxupyyjl,W,,1-093-616-0613,O,United States of America,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,2.0,205843.0,4.0,VeraSun Energy,1899339.0
Xsj7585,St. Catharines,f,6.0,ccfzcxohrhrcnypedmhjovjyjrxi,29.0,387.0,Xsjypvyfoqbiq,M,M,1-546-131-8988,O,United States of America,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,3.0,470985.0,4.0,Magellan Health Services,3873239.0
Lux7586,Washington,v,7.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,21.0,359.0,Luxkby,U,,1-477-186-7432,,United States of America,Nhgrkzjzcrjcerkwrugwul,1.0,318225.0,2.0,Emcor Group,767547.0
wxw7587,Chula Vista,,9.0,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,41.0,494.0,wxwhwasadsmxchyhlgrvnurte,M,f,1-965-848-6954,O,Canada,,2.0,326044.0,2.0,Peabody Energy,1027999.0
pfz7588,Montpelier,e,10.0,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,56.0,345.0,pfzjoarqopfjtzjalxxxeq,M,m,1-622-866-0937,,United States of America,uiaoi,1.0,,1.0,State Farm Insurance Cos.,3428495.0
hlx7589,Mesa,,10.0,REHWDWEP,33.0,402.0,hlxshqpvshstjerwclb,M,M,1-040-217-2014,O,United States of America,Wwonzdtvwkn,0.0,187282.0,2.0,Humana,1827180.0
nyb7590,New Haven,,3.0,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,96.0,579.0,nybiaaw,M,,1-101-684-2373,O,United States of America,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,0.0,,2.0,News Corp.,2070007.0
