AgencyID,Phone,LastName,Country,FirstName,NetWorth,MiddleInitial,Age,Employer,PostalCode,Gender,NumberCars,NumberChildren,MaritalStatus,CreditRating,OwnOrRentFlag,NumberCreditCards
sta56,1-504-346-4393,starks,Canada,Myron,2241997.0,,77.0,Kimberly-Clark,91177,,4.0,2.0,M,661.0,O,
CHA57,1-985-538-4351,CHASSE,United States of America,Barby,1542891.0,,,Visteon,T5c 1t1,,5.0,3.0,S,558.0,R,0.0
ASI58,1-254-097-9398,ASING,Canada,Ariella,797918.0,,90.0,TECO Energy,35862,R,,1.0,W,534.0,O,
ask59,1-545-924-9552,askins,United States of America,ADEY,347654.0,,82.0,Bemis,96820,f,0.0,0.0,M,373.0,U,6.0
Kik60,1-984-233-8818,Kikuta,United States of America,GAYEL,2456397.0,K,,Wyeth,75238,,4.0,0.0,M,382.0,O,8.0
Cha61,1-528-691-1642,Chane,United States of America,Man,1284229.0,,15.0,United Technologies,85769,F,3.0,3.0,S,475.0,O,10.0
KIL62,,KILLEN,United States of America,Klara,618787.0,U,,Clorox,H5i 1o9,m,2.0,0.0,D,539.0,O,3.0
kin63,1-171-807-8213,kinley,United States of America,Abdalla,1171606.0,,96.0,Discovery Communications,90849,f,4.0,5.0,M,711.0,O,6.0
MAL64,1-056-241-7009,MALAHER,United States of America,bal,3983261.0,,38.0,Williams-Sonoma,43644,,4.0,,M,606.0,O,1.0
Odu65,1-389-414-0570,Odum,United States of America,Romy,2328568.0,J,10.0,Manitowoc,99213,,3.0,3.0,W,494.0,O,0.0
DI 66,1-583-542-1656,DI NINNO,United States of America,KORAL,2078600.0,,72.0,Henry Schein,72226,,1.0,5.0,M,309.0,O,3.0
STU67,1-269-712-0672,STUBBLEFIELD,United States of America,YUKIHIKO,2986155.0,K,97.0,Trinity Industries,V6Z 1Q9,,2.0,5.0,M,630.0,O,3.0
HAM68,1-670-102-0463,HAMBALI,United States of America,Khanh,1864039.0,,48.0,Pepsi Bottling,20082,,4.0,1.0,S,330.0,O,10.0
LIB69,1-699-726-3895,LIBRARIAN,Canada,Darnell,1293721.0,,97.0,UGI,35827,m,,0.0,S,710.0,O,9.0
ohs70,1-640-666-2876,ohsone,United States of America,feridoun,3850114.0,,73.0,Greif,99692,M,4.0,0.0,M,475.0,R,7.0
HUM71,1-540-639-1311,HUMMEL,United States of America,Magdy,1618743.0,O,71.0,Equifax,V6c 1q5,,0.0,1.0,U,596.0,O,3.0
BRA72,1-285-874-8492,BRADD,United States of America,jiri,3383487.0,,93.0,,80158,,5.0,1.0,W,670.0,O,9.0
Boa73,1-121-904-0040,Boarder,United States of America,AILA,2981876.0,X,53.0,Freescale Semiconductor,t6d 1b6,,5.0,3.0,U,722.0,O,
Mcn74,1-017-842-3201,Mcnally,United States of America,Vincenzo,2109339.0,,32.0,Aleris International,33120,,3.0,2.0,U,587.0,O,7.0
MAR75,1-215-859-3206,MARKOVICH,United States of America,Minnnie,791803.0,,1.0,,99742,F,4.0,3.0,S,609.0,O,4.0
Wil76,1-764-520-7470,Willekes,United States of America,alfonzo,3523678.0,,39.0,World Fuel Services,V6N 1T1,f,0.0,1.0,S,401.0,O,7.0
Dea77,1-414-130-0162,Deacetis,United States of America,Swandi,1681902.0,S,77.0,R.R. Donnelley & Sons,44104,m,4.0,0.0,M,335.0,,0.0
Hou78,1-970-240-9990,Houk,United States of America,Anya,3851455.0,,18.0,Brinker International,14605,,5.0,5.0,U,569.0,O,7.0
Goy79,1-408-684-6459,Goyette,Canada,Enrika,2339382.0,,70.0,Temple-Inland,80076,,0.0,2.0,M,,R,9.0
Mok80,1-330-353-5908,Mok-fung,United States of America,SONJA,,Z,26.0,Psychiatric Solutions,V6I 1V6,f,2.0,0.0,S,679.0,O,7.0
Run81,1-766-726-2675,Rundle,United States of America,Liem,2065016.0,I,,Nash-Finch,97307,,,4.0,M,356.0,,10.0
BEL82,1-938-425-7509,BELLEY,United States of America,COLLETTE,2454049.0,,58.0,AMR,46237,o,2.0,5.0,S,308.0,R,9.0
BAE83,1-527-308-8874,BAER,United States of America,SIAMACK,2423395.0,Y,43.0,Spartan Stores,V6B 1S6,,0.0,4.0,M,412.0,O,4.0
MAU84,1-810-590-0635,MAULDIN,United States of America,Toshihiro,1342045.0,,65.0,Cigna,H2d 1x1,f,2.0,3.0,D,618.0,O,4.0
Koo85,1-274-548-2512,Koohgoli,United States of America,Casey,861756.0,,24.0,General Cable,95108,,5.0,3.0,S,429.0,O,5.0
Lau86,1-649-754-4601,Lauriston,United States of America,Daryn,1215349.0,,79.0,Dun & Bradstreet,80050,,3.0,1.0,S,819.0,O,3.0
Man87,1-905-932-1785,Mangum,Canada,Adrianna,3981554.0,L,48.0,Casey's General Stores,90122,F,0.0,1.0,M,552.0,O,7.0
PIE88,1-031-004-7697,PIERCY,United States of America,Cortney,3865937.0,,69.0,Jack in the Box,43614,,0.0,4.0,S,587.0,O,9.0
Bus89,1-994-812-4796,Buscaglia,United States of America,Duane,2804700.0,,91.0,Assurant,61110,M,3.0,1.0,S,304.0,O,6.0
BAB90,1-176-513-4041,BABIONE,United States of America,Tele,3283558.0,,75.0,Psychiatric Solutions,70174,,5.0,5.0,,795.0,U,4.0
Bur91,1-072-244-6337,Burkard,United States of America,Ophelia,450524.0,,85.0,Danaher,90324,M,1.0,3.0,S,830.0,O,2.0
Kin92,1-924-669-9328,Kinsella,United States of America,lorine,,,76.0,Clorox,s7d 1n1,,5.0,3.0,M,709.0,R,3.0
POM93,1-598-488-3541,POMMAINVILLE,United States of America,Viole,,,68.0,Boyd Gaming,93829,,2.0,1.0,S,493.0,O,8.0
BOA94,1-295-539-3868,BOATWRIGHT,United States of America,Nani,633760.0,,95.0,Eaton,89116,M,3.0,,M,680.0,O,
Ron95,1-554-020-0267,Ronald,United States of America,cherey,3634954.0,R,15.0,Dynegy,94315,,1.0,5.0,M,800.0,R,
wei96,1-793-621-4566,weihs,United States of America,Redgie,799268.0,A,17.0,AmeriCredit,T5b 1u9,,1.0,5.0,M,614.0,R,4.0
Hel97,1-787-267-4261,Helpb,Canada,Yousef,39093.0,P,94.0,SLM,T6b 1a5,M,4.0,0.0,,763.0,R,6.0
mog98,1-668-247-1597,moghe,United States of America,Damaris,2705353.0,,70.0,NV Energy,60699,m,4.0,4.0,S,561.0,O,3.0
boz99,1-901-346-8890,bozicevich,United States of America,Ilyssa,3565153.0,,29.0,Landstar System,V6p 1s8,,1.0,2.0,S,569.0,O,4.0
Zah100,1-451-273-3803,Zaharychuk,United States of America,Moselle,2832204.0,R,52.0,Pacific Life,v6i 1p1,,4.0,1.0,M,634.0,O,5.0
And101,1-129-499-9136,Andric,United States of America,Dulsea,2194345.0,,51.0,Textron,79423,F,5.0,3.0,U,488.0,O,10.0
Bam102,1-899-319-0772,Bamfo,Canada,Lyndsie,3737140.0,L,24.0,Pfizer,H5j 1o6,,2.0,3.0,W,788.0,O,5.0
fro103,1-053-396-0441,frondozo,United States of America,KESLEY,464753.0,,98.0,Cigna,93761,,3.0,4.0,D,333.0,O,8.0
Car104,1-239-665-9540,Caron,United States of America,LAUREL,596696.0,J,59.0,Ameren,76150,,1.0,1.0,M,601.0,U,
muc105,1-605-888-3403,muchow,Canada,Steen,1504753.0,V,49.0,Consolidated Edison,99717,f,3.0,4.0,U,595.0,O,2.0
gat106,1-630-604-2543,gateau,United States of America,noel,3049281.0,,1.0,Occidental Petroleum,60608,,0.0,1.0,U,433.0,O,10.0
Sch107,1-851-862-7928,Schaefer,United States of America,Tracey,247478.0,M,79.0,Sherwin-Williams,v6w 1u4,F,0.0,,U,403.0,O,10.0
pom108,1-065-415-5724,pomerleau,United States of America,Sarajane,2750301.0,,6.0,Affiliated Computer Services,T5b 1t6,,1.0,5.0,,615.0,R,3.0
cuc109,1-408-512-1007,cucuzzella,United States of America,Geoffrey,721333.0,K,70.0,Valassis Communications,23298,F,0.0,4.0,M,735.0,O,1.0
SUG110,1-083-902-4184,SUGARMAN,United States of America,loralyn,669440.0,Z,23.0,,32803,q,3.0,0.0,S,668.0,O,1.0
Pep111,1-568-403-7081,Pepe,Canada,andrei,2473979.0,,78.0,Smithfield Foods,64122,,3.0,5.0,M,349.0,O,
Cha112,1-824-389-0618,Chandrashekar,United States of America,javad,3545170.0,,79.0,,T6b 1h2,f,4.0,,S,654.0,,
SEI113,1-174-210-2058,SEIFERS,United States of America,Karna,1494871.0,U,72.0,TD Ameritrade,22222,m,2.0,3.0,U,361.0,O,6.0
GAR114,1-425-503-7952,GARTLEY,Canada,Jocelyn,436164.0,S,31.0,Comerica,T6a 1d2,F,4.0,0.0,S,427.0,U,1.0
Tou115,1-012-389-9089,Touchette,United States of America,Elvera,1069481.0,,86.0,Steel Dynamics,v5d 1n9,M,0.0,3.0,W,322.0,O,1.0
Kur116,1-909-472-6704,Kurdziel,United States of America,Nessy,,V,,Coca-Cola Enterprises,23321,M,2.0,0.0,S,792.0,R,9.0
Her117,1-622-167-5411,Herod,Canada,lona,2957261.0,,87.0,News Corp.,90505,,3.0,0.0,U,478.0,O,2.0
MCV118,1-164-511-9338,MCVICAR,United States of America,RHEA,228459.0,P,92.0,,19066,,,5.0,M,477.0,O,1.0
LAB119,1-804-532-9163,LABFIVE,Canada,Josefa,67267.0,,4.0,Stater Bros. Holdings,v6s 1r3,F,1.0,5.0,M,449.0,O,6.0
but120,1-197-370-0297,butta,United States of America,alikee,1087978.0,,8.0,BorgWarner,78769,,2.0,4.0,U,466.0,O,2.0
Pro121,1-337-042-5687,Projects,United States of America,dolorita,3885967.0,,97.0,CB Richard Ellis Group,53769,m,0.0,5.0,M,483.0,O,2.0
Irc122,1-056-138-5321,Irc,United States of America,Marilyn,3271101.0,,,Zimmer Holdings,H7E 1U6,,5.0,4.0,D,588.0,O,4.0
Ziv123,1-776-191-2031,Zivkovic,Canada,robertson,,G,40.0,Mohawk Industries,e7o 1k1,,5.0,5.0,,313.0,O,2.0
sim124,1-280-696-2706,simser,United States of America,Ilsa,1999133.0,H,95.0,Berkshire Hathaway,90374,,1.0,4.0,U,647.0,R,1.0
kei125,1-857-581-6346,keifer,United States of America,Pen,1100786.0,I,92.0,Saks,63169,,1.0,5.0,S,430.0,O,2.0
arv126,,arvin,United States of America,AUBRETTE,563992.0,P,67.0,Gardner Denver,16515,f,0.0,5.0,W,467.0,O,8.0
Pra127,1-716-343-0884,Praeuner,United States of America,Cole,962397.0,,24.0,Hasbro,85309,F,3.0,2.0,M,399.0,O,7.0
lue128,1-101-776-2496,lue,United States of America,liva,1064169.0,C,26.0,CBS,92158,m,2.0,3.0,M,654.0,O,5.0
Prz129,1-769-028-0589,Przybycien,United States of America,Ayaz,2100059.0,,62.0,Synnex,33152,f,2.0,0.0,S,378.0,O,3.0
pen130,1-005-833-8970,penn,United States of America,YETTY,99025.0,J,37.0,Belden,83729,f,5.0,1.0,W,338.0,O,10.0
Gua131,1-884-215-4243,Guay,United States of America,Mary-michelle,3865481.0,S,71.0,Broadcom,B8b 1z6,,5.0,0.0,S,695.0,R,10.0
bre132,,brennand,Canada,agretha,804544.0,,29.0,Reynolds American,53717,F,1.0,3.0,M,614.0,U,7.0
Sav133,1-725-177-7815,Savanh,United States of America,LOTTY,3143356.0,X,89.0,Wells Fargo,t5c 1w7,f,4.0,5.0,S,307.0,O,7.0
ABB134,1-277-496-5396,ABBATANTUONO,United States of America,Kassey,,Z,11.0,Retail Ventures,37245,,0.0,3.0,M,331.0,O,2.0
OP135,1-756-463-2201,OP,United States of America,Adria,2311953.0,N,20.0,AT&T,94401,M,2.0,0.0,S,638.0,O,2.0
Mer136,1-261-338-7463,Mersinger,Canada,audivox,3120608.0,,75.0,Wynn Resorts,B8a 1y3,,3.0,5.0,W,703.0,O,3.0
rut137,1-811-086-4675,rutt,United States of America,SUE,2058270.0,,95.0,Eastman Kodak,t6b 1k2,F,0.0,5.0,S,302.0,O,7.0
bem138,1-338-771-1185,bemis,United States of America,Lorenza,1511983.0,I,0.0,Aramark,85306,,2.0,3.0,U,522.0,O,
Pen139,1-554-231-5318,Pennington,United States of America,Enzo,439080.0,,73.0,ENSCO International,V6R 1R7,,5.0,1.0,M,,O,
tor140,1-733-886-5227,torok,United States of America,claudina,921255.0,Y,39.0,Auto-Owners Insurance,68513,M,1.0,0.0,W,833.0,R,5.0
law141,1-267-357-1943,lawlis,United States of America,Otha,3810365.0,L,76.0,Bemis,v6n 1v9,m,1.0,1.0,U,,O,2.0
Bee142,1-602-756-7919,Beebe,United States of America,Rodie,2641938.0,D,5.0,Securian Financial Group,83702,m,2.0,2.0,U,664.0,O,6.0
sch143,1-793-864-7010,schlange,United States of America,DULCE,3857323.0,,65.0,Ford Motor,80125,m,4.0,1.0,U,789.0,O,7.0
Wit144,1-637-020-2921,Witchlow,United States of America,Win,1636212.0,,94.0,ConAgra Foods,M5G 1Y7,,5.0,0.0,S,803.0,U,0.0
MER145,1-428-797-6325,MEREDITH,United States of America,Roselin,2999082.0,Q,95.0,Charter Communications,80213,F,4.0,4.0,M,720.0,,3.0
bia146,1-011-549-5618,bialkenius,United States of America,Malanie,2280820.0,,28.0,Calpine,60737,m,1.0,0.0,M,839.0,R,4.0
Swi147,1-993-255-5481,Swiat,United States of America,TARYN,1050866.0,P,76.0,Crane,90510,m,4.0,1.0,D,621.0,O,0.0
bul148,1-487-749-4448,bullinger,United States of America,MALENA,,,81.0,Textron,92882,,5.0,4.0,D,628.0,O,3.0
TYR149,1-192-352-2184,TYRRELL,Canada,Dorie,603001.0,,38.0,Idearc,98121,F,3.0,5.0,W,813.0,O,6.0
Fyf150,1-293-442-4224,Fyfe,United States of America,Liese,3368239.0,,25.0,Cabela's,H2e 1x9,,5.0,3.0,W,367.0,R,3.0
Sic151,1-078-502-6700,Sicard,United States of America,tele,1042629.0,,0.0,EOG Resources,23503,,4.0,2.0,D,807.0,O,10.0
CAS152,1-430-909-3001,CASTEN,United States of America,astra,1948746.0,,61.0,,40208,F,3.0,4.0,U,501.0,O,8.0
Cho153,1-392-455-0895,Choy,United States of America,marnia,3113862.0,S,3.0,Burlington Coat Factory,75201,,0.0,2.0,U,490.0,O,10.0
CHA154,1-273-921-9787,CHACKO,United States of America,AMY,2777290.0,,77.0,Southwest Airlines,93852,,2.0,3.0,W,321.0,O,3.0
bei155,1-012-993-4538,beil,United States of America,HAMILTON,2210073.0,E,8.0,RPM International,32312,f,1.0,0.0,U,,R,6.0
Ele156,1-890-859-4211,Eleftheriou,United States of America,Kuldip,1999684.0,J,34.0,Amazon.com,90059,m,4.0,1.0,U,446.0,O,7.0
o'g157,1-080-032-3031,o'grady,United States of America,krystalle,2119678.0,,15.0,Neiman Marcus,77006,F,5.0,5.0,M,428.0,O,2.0
Kat158,1-561-620-7173,Katchmar,United States of America,Stella,169808.0,,66.0,Goldman Sachs Group,23224,,0.0,0.0,S,423.0,O,5.0
Lui159,1-017-439-0362,Luin,United States of America,Marie-josee,1072732.0,O,55.0,Boeing,10055,,5.0,4.0,U,499.0,O,6.0
Kla160,1-248-539-6621,Klavkalns,United States of America,Nashib,2261442.0,,8.0,United Refining,35830,f,1.0,1.0,S,342.0,O,7.0
Bru161,1-611-789-5569,Brunsting,United States of America,Annette,2234368.0,Z,7.0,D.R. Horton,v6m 1s9,,1.0,3.0,M,632.0,U,1.0
Apt162,1-023-151-8130,Apter,United States of America,LENA,575288.0,Q,97.0,Jarden,22304,,3.0,1.0,M,525.0,O,6.0
sch163,1-005-574-3523,schuette,United States of America,Christian,1102479.0,,95.0,Systemax,06101,f,5.0,1.0,M,371.0,R,9.0
Lan164,1-550-487-1571,Lanava,United States of America,Morrie,2995388.0,,92.0,Marriott International,78756,,1.0,3.0,U,699.0,O,4.0
Fus165,1-280-494-1415,Fusca,United States of America,LYMAN,1147193.0,,17.0,Expeditors International,93003,F,3.0,2.0,M,435.0,O,8.0
Nev166,1-803-438-4141,Nevardauskis,United States of America,REUBEN,1136540.0,R,81.0,Great Plains Energy,T5D 1P2,F,1.0,4.0,U,512.0,U,2.0
SHA167,1-566-299-2351,SHACKLEFORD,Canada,Hermon,1677669.0,,13.0,Danaher,10108,f,5.0,,M,552.0,O,6.0
Sau168,1-586-363-4189,Sauck,Canada,Paqs,2160706.0,P,78.0,,t5c 1l3,,0.0,2.0,M,,O,8.0
fri169,1-505-124-9029,frischknecht,United States of America,GAETAN,2525665.0,,78.0,Watson Wyatt Worldwide,M5B 1Z8,,4.0,1.0,M,687.0,O,5.0
fer170,1-897-996-9812,fernandez,United States of America,leese,3517622.0,O,85.0,Yahoo,V6H 1W2,,3.0,1.0,M,433.0,R,0.0
LAN171,1-922-919-5858,LANDERS,United States of America,Amelie,,,68.0,Convergys,90308,M,1.0,2.0,U,746.0,,7.0
Bha172,1-326-572-2988,Bhasin,Canada,TAMRA,97675.0,,1.0,Celanese,M5e 1y2,,0.0,0.0,M,405.0,R,9.0
Jor173,1-076-972-4311,Jordan,United States of America,bang,,,83.0,Dana Holding,80029,M,5.0,5.0,M,805.0,O,
KNU174,1-341-595-8408,KNUDSEN,United States of America,HILDEGARDE,3569070.0,,78.0,XTO Energy,30350,F,4.0,4.0,M,819.0,O,5.0
Ham175,,Hamelin,United States of America,Carmody,1507616.0,,,Alliance Data Systems,97240,F,0.0,5.0,M,648.0,O,0.0
MAU176,1-536-952-5040,MAUER,United States of America,Dareen,514151.0,,5.0,Franklin Resources,R3A 1M1,,5.0,5.0,U,401.0,R,10.0
Rez177,1-663-917-0422,Rezansoff,United States of America,WEN,2903408.0,,43.0,Fidelity National Financial,73172,F,2.0,0.0,U,484.0,U,8.0
Koa178,1-843-773-1791,Koa,Canada,MOT,1695814.0,,53.0,FirstEnergy,V6s 1p9,,4.0,4.0,U,463.0,O,1.0
HAN179,1-823-567-1252,HANNEMAN,United States of America,leese,868465.0,B,13.0,Commercial Metals,90140,m,3.0,0.0,U,335.0,O,5.0
jak180,1-744-421-7512,jakim,United States of America,nettie,2810709.0,I,7.0,Genzyme,94639,,5.0,4.0,U,,O,10.0
ump181,1-621-744-1484,umphres,United States of America,AILEE,3593363.0,C,17.0,US Airways Group,22307,,4.0,5.0,M,381.0,R,7.0
Wic182,1-973-214-3381,Wickham,Canada,chan,2607636.0,G,67.0,Advanced Micro Devices,55116,,2.0,2.0,M,708.0,O,1.0
Gat183,1-428-266-1600,Gates,Canada,RAY,2735642.0,,54.0,United Parcel Service,M6s 1i5,F,5.0,4.0,M,354.0,R,8.0
bot184,1-334-466-5299,bott,United States of America,Robinette,1501732.0,,5.0,Fastenal,92708,,1.0,4.0,S,547.0,,10.0
DAV185,1-249-478-5643,DAVID-YERUMO,United States of America,Rocke,397072.0,T,28.0,Core-Mark Holding,V6r 1q6,,1.0,1.0,D,761.0,O,9.0
HIL186,1-804-228-8548,HILLARD,United States of America,Suzette,3399757.0,,5.0,Boise,63178,F,4.0,1.0,M,659.0,O,1.0
war187,1-564-230-0062,warburton,United States of America,Myla,2684548.0,,,DST Systems,x7j 1r5,,4.0,2.0,M,351.0,R,9.0
MAC188,1-781-339-9073,MACHNICKI-HYNES,United States of America,dacia,3041622.0,,72.0,United States Steel,M5e 1y7,m,3.0,3.0,S,608.0,O,7.0
lev189,1-096-116-9962,levitin,United States of America,CHELSIE,3211816.0,A,12.0,Pepco Holdings,23257,F,4.0,2.0,S,706.0,O,3.0
Goo190,1-914-194-6997,Gooderham,United States of America,abbas,127026.0,,71.0,Acuity Brands,V6I 1U7,,0.0,4.0,M,391.0,O,8.0
