gncd,nmbrchldrn,crdtrtng,wnrrntflg,nmbrcrdtcrds,ddrssln1,pstlcd,ncm,frstnm,mplr,gndr,nmbrcrs,stt,g,mrtlstts,ct,cntr,phn,ntwrth
Lwx7526,2.0,469.0,U,4.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Ykerbceq,,Pdcxrihnl,Procter & Gamble,M,0.0,Prince Edward Island,49.0,M,Sterling Heights,United States of America,1-089-966-6281,3116283.0
epy7527,0.0,595.0,O,2.0,vnyndcximwxhecv,VVMSNWEBT,391354.0,Zckhcacwaelzutaodqalxyjrkh,Ingles Markets,,3.0,Quebec,72.0,S,Pembroke Pines,United States of America,,2671950.0
Aff7528,0.0,410.0,O,1.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,bibueqwbejem,419165.0,sqrosgqnpifxjx,Forest Laboratories,m,3.0,KS,41.0,U,Philadelphia,United States of America,1-231-342-6874,3899593.0
mfc7529,2.0,475.0,O,10.0,,gehpynlk,396509.0,Erqzkkllazeobgthnmgsbtj,Dentsply International,,3.0,NV,54.0,W,Glendale,Canada,,2537332.0
Slf7530,2.0,,R,2.0,GVSBHGBDDVJFNNOZNNPJWCOI,Piwlxtg,145161.0,Lcziayaozecoqqluasolkmmcldm,RadioShack,,0.0,TN,11.0,,El Monte,United States of America,1-602-637-1838,733236.0
Cxu7531,5.0,519.0,O,3.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Ujlshmosjkid,263206.0,Gcnczmuxviqaxtsdzmzhtro,Century Aluminum,,2.0,WY,0.0,W,Warwick,United States of America,1-003-982-8627,
GZO7532,3.0,841.0,U,5.0,BIQIOQOHLQSTBRUFOI,cwburwnupuj,190371.0,Rsoobsqytvjycob,,,3.0,British Columbia,27.0,D,Milwaukee,United States of America,1-136-358-6852,3397276.0
DRW7533,1.0,540.0,O,6.0,Llfaqkbemnoy,CNEZMHTKIAEV,203968.0,Pjvadgt,FPL Group,,3.0,LA,95.0,U,Phoenix,United States of America,1-123-528-2965,2444257.0
set7534,3.0,540.0,R,10.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,kixvppuqtd,428323.0,GUBKOKITTSKVYM,Lockheed Martin,f,1.0,HI,35.0,U,Anchorage,United States of America,1-136-565-2501,71520.0
Pyo7535,1.0,,O,6.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,jrhynxfi,159980.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Sanmina-SCI,,4.0,NY,96.0,M,Madison,United States of America,1-317-986-1984,1911091.0
FSH7536,0.0,424.0,O,6.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,dnhtjyu,266852.0,Kuteauo,Iron Mountain,M,0.0,TX,96.0,W,Fontana,Canada,1-265-603-1262,988775.0
Tdx7537,5.0,623.0,R,2.0,,YKOVOTYB,206973.0,Hkfofpndygljbeo,OfficeMax,,5.0,AZ,49.0,M,Charlotte,United States of America,,3919363.0
Sbn7538,1.0,792.0,O,4.0,atydogjpqphuwhegtbukkqiaeakrtrn,WNNMWJ,258221.0,Kengxgsu,AMR,,5.0,ME,,S,Richmond,Canada,1-156-668-6882,428918.0
Piq7539,4.0,718.0,O,6.0,Hlotorcbtobuceb,Oktkljv,428508.0,Plywuoa,Kohl's,f,4.0,NH,27.0,S,Santa Clarita,United States of America,1-164-648-3203,58134.0
IXD7540,0.0,401.0,O,6.0,gsrdigbqfwrahybxrtm,,,zfcwsxpjzyqelkxg,Cigna,M,4.0,KY,98.0,M,Yellow Knife,,1-839-795-1027,3703767.0
wsn7541,5.0,557.0,R,2.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,GXFLSISZUY,58953.0,Yxvczhqjwgnhowiu,West,,4.0,Prince Edward Island,,M,Oxnard,United States of America,1-958-412-4252,433859.0
Jkp7542,5.0,393.0,O,7.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,gzexcrngivl,409682.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,Monsanto,M,5.0,British Columbia,56.0,W,Huntington Beach,United States of America,1-392-335-1020,3002044.0
CCF7543,4.0,557.0,,10.0,,yzoikhwrd,340191.0,Vfrdst,Reliant Energy,M,2.0,CT,94.0,M,Durham,United States of America,1-912-050-7605,1124168.0
ylj7544,5.0,465.0,O,5.0,RELJYREDKQEKGOORBLRKOUIC,Gdbktega,238216.0,Hqcswumjvwbemosmy,Idearc,,4.0,WA,98.0,U,Naperville,United States of America,1-075-551-9919,2081541.0
ZBB7545,1.0,,O,6.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Kdcqzpvf,113171.0,Ectbhkmbvwkwdbn,Neiman Marcus,F,0.0,ND,8.0,M,Albuquerque,Canada,1-013-611-2674,1897076.0
fqe7546,,485.0,,10.0,Yewxbqpnfgh,Tbwgwtmgcu,234797.0,Bdbgqpllbnrmiirpct,O'Reilly Automotive,m,5.0,ID,90.0,W,Newark,United States of America,1-656-865-7544,235172.0
Wpw7547,2.0,303.0,,2.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Mwmfs,225322.0,Ftszluaxcsoxdfbmdd,Cliffs Natural Resources,,4.0,Quebec,34.0,M,Miami,United States of America,1-879-870-7379,639573.0
vpz7548,2.0,846.0,O,4.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,goelqgcts,192689.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,Health Management Associates,,1.0,ID,25.0,W,London,Canada,1-366-625-9813,2667082.0
Yfz7549,4.0,621.0,O,1.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,ucwygjzs,348685.0,Kkiolpmrgzmnjanqc,Chevron,,5.0,AL,50.0,,Worcester,Canada,1-359-462-7089,2598634.0
dou7550,4.0,331.0,O,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,fjlfqftwg,401229.0,unzegilpp,Exide Technologies,,3.0,UT,85.0,D,Jacksonville,United States of America,,1074671.0
FDJ7551,4.0,401.0,R,9.0,hfuyqlsmbesrylepu,Tocujgaiaq,38597.0,xetqkitwlh,Convergys,M,5.0,MS,60.0,M,Nashua,United States of America,1-153-396-8333,2272997.0
ufu7552,2.0,644.0,R,0.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,kurjmmgixxfd,,TWRRGULRYKYUWZYBQQFMIFFKVK,Dominion Resources,,2.0,AK,95.0,S,Newport News,United States of America,1-144-623-1308,702000.0
bbg7553,1.0,769.0,R,5.0,qgjnvpwvmgsqzcanzncon,cnsavindoi,161204.0,Yqfljvgkfucafpjpamdtcppiipc,Sentry Insurance Group,m,4.0,VT,8.0,M,Corona,United States of America,1-269-220-8046,1289800.0
Znk7554,4.0,481.0,O,2.0,HNBGLUDIOAJRCCIXGDUQOO,MQBSAUVQRPYE,202650.0,mjeasoritwctufyojamzbeeoo,Cintas,f,3.0,LA,31.0,M,Lincoln,,1-052-524-0130,1007390.0
CGQ7555,2.0,732.0,O,7.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,vadbnvz,,Udxaujgiratgthwkvdibgvwfo,Medtronic,F,1.0,CT,51.0,U,Toronto,Canada,1-335-871-6660,124290.0
add7556,4.0,802.0,O,2.0,dnlleihfh,Ljurvnigr,492433.0,GHFUKZPOKMXWZF,Pride International,,4.0,UT,24.0,M,Fayetteville,United States of America,1-637-394-8083,1820002.0
Anw7557,4.0,329.0,O,5.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,BQDMQVFTNBRJ,344858.0,ybtkiifyhbgchnuctnhnqspk,A. Schulman,,2.0,IN,78.0,M,Charlotte,Canada,1-706-795-4208,2200347.0
Hvt7558,0.0,839.0,R,0.0,Wsjaujjdexc,jkcul,197290.0,Fhkymmgjsbmpduuffgavhfcxm,Oneok,m,5.0,WI,56.0,W,Tulsa,United States of America,1-622-347-5699,3669569.0
Yqj7559,,539.0,,,Ojberg,Nelny,283654.0,DEZDTMSMWKALBRPALCFIME,Danaher,,2.0,WA,50.0,U,Winston-Salem,United States of America,1-042-017-9368,2140537.0
Ztn7560,5.0,561.0,R,4.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Qsggz,317423.0,phoxfeiqoldgmnojmzunmargkla,Del Monte Foods,F,4.0,LA,52.0,M,Thousand Oaks,United States of America,1-829-935-5979,3258909.0
bni7561,5.0,814.0,O,2.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Drofa,399126.0,Upuabfflh,American Electric Power,F,4.0,VT,14.0,W,Lubbock,United States of America,1-076-726-5283,1825422.0
swx7562,0.0,305.0,R,7.0,Xwtkpxqgohxwxnv,Ssovhtmt,398180.0,owagfolbfwjzeg,TJX,,5.0,CT,29.0,M,Winnipeg,United States of America,,1845263.0
DSA7563,4.0,457.0,O,4.0,Qpvmtkxxfef,Tnprhljfrlj,,Qdmppehqxloc,Philip Morris International,f,2.0,RI,50.0,S,Laredo,United States of America,1-284-129-5920,1463114.0
BXZ7564,1.0,349.0,O,8.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Bkxujhonjgjk,485429.0,jqbetxkci,Cincinnati Financial,,4.0,SC,67.0,U,Overland Park,United States of America,1-128-308-8886,2354683.0
pcz7565,0.0,590.0,O,0.0,KRYAIAJGKHBKXBLC,mrjrjhgnwcdu,118018.0,Wsmywgbvwspgdwhmdxsqjwqb,Stryker,,2.0,British Columbia,22.0,M,Calgary,United States of America,1-145-469-5971,436677.0
Zqa7566,4.0,533.0,O,0.0,,Yusezkfgs,309693.0,ocgwi,Kansas City Southern,m,5.0,CO,20.0,U,Peoria,United States of America,1-727-684-7767,2383335.0
Htl7567,0.0,686.0,O,9.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,RKXTQAO,90718.0,Pcotdnngmurhkcd,IDT,,4.0,TN,75.0,W,Durham,Canada,1-776-201-2472,2574739.0
afw7568,0.0,582.0,O,10.0,VBDCWYVK,UBQSATXZO,280645.0,bvcosqzcleknjzvkygbawlc,Vornado Realty Trust,F,2.0,CA,60.0,U,Pueblo,United States of America,1-767-942-1278,1596838.0
Wna7569,4.0,807.0,O,0.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,BHRNWQLFVFA,231559.0,ECLENELTSXGTNWOP,Dollar General,,,WY,,S,Las Cruces,United States of America,1-723-062-7266,591965.0
Mlh7570,5.0,819.0,O,3.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Ktmzav,36898.0,Xdwexmrjat,Safeway,,3.0,SD,48.0,S,Chula Vista,United States of America,,3071440.0
Gor7571,0.0,311.0,R,5.0,Gwxymofcy,Nfpchgfj,396786.0,xjwnvwdryqpcehelwzfhkkiuus,Apache,,2.0,British Columbia,91.0,M,San Diego,United States of America,1-145-314-0862,2683081.0
ENX7572,5.0,734.0,O,3.0,Qynjnmfgwxpmrw,Wuywecohosfi,344365.0,RNBABCYAFMQPBOHXNUXMXNU,Lowe's,f,2.0,NJ,98.0,U,Chicago,United States of America,1-735-104-7772,3850483.0
fgr7573,1.0,432.0,O,1.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,tibxlojrqiha,1205.0,Eyrtrqkljywvbcice,Lithia Motors,,4.0,AK,51.0,W,Worcester,United States of America,,1870617.0
Ysh7574,0.0,394.0,O,3.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,ogmes,276666.0,Opybrukftspofebjmspkjsgtobzsp,CH2M Hill,m,5.0,OH,22.0,S,Honolulu,United States of America,1-518-116-1411,1249534.0
Mos7575,0.0,658.0,O,1.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,JUBKXDKP,497953.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,Tellabs,,0.0,New Brunswick,57.0,U,Albuquerque,United States of America,1-696-359-4829,3789880.0
czu7576,2.0,348.0,O,3.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,Xbgykqm,156048.0,kpofwgtomgijnm,Phillips-Van Heusen,,1.0,IL,38.0,M,Oakland,Canada,1-352-678-5471,3874445.0
Ghr7577,5.0,598.0,O,8.0,BESJDYZDIOIXKDFEHBQXBPW,NNCXIBTCXZA,63617.0,Biflzgcqpqpbahquomftmjffohpwuy,Wells Fargo,,1.0,AZ,68.0,M,Billings,United States of America,1-906-600-9749,437353.0
Rwk7578,2.0,505.0,O,9.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,mfwuio,244849.0,ybdlwlwxispyswbiegrbsqqtywxr,Vornado Realty Trust,,2.0,NY,93.0,U,Pueblo,United States of America,1-093-018-2851,2669917.0
Uwi7579,3.0,839.0,R,7.0,Ivwhotvobwkshcixclfobqoljlaqohw,Utgwrun,123585.0,Capzcewdt,New York Times,,4.0,WA,48.0,S,Sherbrooke,United States of America,1-302-096-9321,1466537.0
VXZ7580,1.0,672.0,U,2.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,Wgulrhctjlg,391134.0,XKBLVBCCYKMIXABVTOTVPZCJRII,Adobe Systems,,1.0,GA,96.0,S,Sacramento,United States of America,1-915-044-3154,991860.0
Ayk7581,5.0,696.0,O,3.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,Srhxvxe,426759.0,wmknfemsztimaphftadowlmbnp,Valmont Industries,f,5.0,AZ,58.0,M,Charlotte,United States of America,1-040-274-3474,
lho7582,3.0,448.0,O,5.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,Dadkihaohc,451737.0,DHLVITRFJDXLTPAGMPMJ,UAL,M,5.0,NV,63.0,W,El Paso,United States of America,1-678-397-2739,1816368.0
rzi7583,1.0,549.0,O,9.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,Fpoleiod,180822.0,Jdpqutldftwykfyhukveiaimoyyk,AFLAC,,2.0,TN,18.0,S,Mesa,United States of America,1-679-345-9939,565246.0
Wds7584,2.0,705.0,O,0.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Cuaieflmccqp,205843.0,Qiwemtdba,VeraSun Energy,,4.0,AL,40.0,W,Simi Valley,United States of America,1-093-616-0613,1899339.0
Xsj7585,3.0,387.0,O,6.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,qiraymmapgf,470985.0,JQKEDISZ,Magellan Health Services,M,4.0,TX,29.0,M,St. Catharines,United States of America,1-546-131-8988,3873239.0
Lux7586,1.0,359.0,,7.0,Nhgrkzjzcrjcerkwrugwul,Tsynomgib,318225.0,Gfuwa,Emcor Group,,2.0,WV,21.0,U,Washington,United States of America,1-477-186-7432,767547.0
wxw7587,2.0,494.0,O,9.0,,Amudllk,326044.0,CTTUYHUUMMDTX,Peabody Energy,f,2.0,ND,41.0,M,Chula Vista,Canada,1-965-848-6954,1027999.0
pfz7588,1.0,345.0,,10.0,uiaoi,ELQKT,,Wvtqm,State Farm Insurance Cos.,m,1.0,Saskatchewan,56.0,M,Montpelier,United States of America,1-622-866-0937,3428495.0
hlx7589,0.0,402.0,O,10.0,Wwonzdtvwkn,Oiwac,187282.0,xuwgpsvzcpxtoerndtr,Humana,M,2.0,VA,33.0,M,Mesa,United States of America,1-040-217-2014,1827180.0
nyb7590,0.0,579.0,O,3.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,Dqgzinvuxxy,,Hnnzpokbygacjjgybkskf,News Corp.,,2.0,ND,96.0,M,New Haven,United States of America,1-101-684-2373,2070007.0
Ltt7591,0.0,569.0,O,2.0,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,Nchaajfkjvx,,qsnivsknktiwjpqwnrlgftnmsrxkjc,Torchmark,,2.0,ND,35.0,,Indianapolis,United States of America,1-386-426-5849,
gsz7592,4.0,745.0,O,9.0,cezvfwtftwlwfrgrpxtuejvrgucexe,XEDMBUAMGXKH,306946.0,pygsfvfpeofkdcugfvxdsqgmcgebfp,Rock-Tenn,,0.0,MS,40.0,W,Stockton,United States of America,1-598-816-0126,3596263.0
Kwp7593,,320.0,U,1.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,crxbrlj,99663.0,Zgxsuo,AGCO,,0.0,WY,10.0,D,Louisville,,1-770-379-7700,3719999.0
AGM7594,4.0,591.0,R,4.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,Eytubbwi,482013.0,ganifmdaqbltccwbqijtkypcetuq,,,2.0,MA,59.0,M,Atlanta,United States of America,,3058439.0
Ocn7595,0.0,,U,10.0,Ctgihaqlm,Lwftldizl,180476.0,IYCOMORWDFSEKN,United Stationers,m,1.0,AK,70.0,M,Milwaukee,United States of America,1-628-245-6238,2592932.0
Cmw7596,5.0,417.0,,5.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,GSSFZNBZL,285682.0,vdvdlfz,McCormick,F,4.0,PA,69.0,M,Fort Smith,United States of America,1-813-787-2611,1471273.0
Dit7597,5.0,338.0,R,8.0,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,Nrnqtmjz,455032.0,Sbwymtnwzhffkwjczlsnvrtcv,National Life Group,,0.0,MA,96.0,M,Knoxville,United States of America,1-362-897-1162,
Rmm7598,,340.0,O,9.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,Rzjxvum,356141.0,qjjwbffbgxilxyarhjwdvo,Hasbro,,3.0,DC,9.0,S,Idaho Falls,United States of America,1-952-919-4878,2410816.0
ekj7599,3.0,738.0,U,5.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,Accezkuzqrif,165667.0,JIXUQX,Tupperware Brands,,3.0,RI,39.0,U,Jacksonville,Canada,1-145-214-8009,1059543.0
wcq7600,2.0,597.0,O,7.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,LNZZPGOTEG,459767.0,Eqrxuc,Covance,,0.0,MA,31.0,S,Stockton,United States of America,1-328-944-9786,379282.0
Klc7601,2.0,603.0,R,4.0,RSSNUTWWLOKIHRRTPEAFTLBF,YINOHET,106459.0,PDAXUXBMPOVTKJUR,Interactive Brokers Group,f,2.0,Alberta,64.0,M,Thousand Oaks,United States of America,1-899-864-9421,3271265.0
Jrd7602,1.0,662.0,U,5.0,Sachwqwddeyfxvagihsjxtcsibaejb,ddgkyv,51021.0,Adftxl,SkyWest,,,AR,38.0,D,Nashua,,1-877-997-8896,1530364.0
GDQ7603,4.0,838.0,R,0.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,Seiksuhglhj,494931.0,Gaksvvggpbleteofow,Best Buy,,2.0,VA,47.0,W,Tallahassee,United States of America,1-750-900-0823,3731860.0
fnm7604,2.0,791.0,O,9.0,Sbutxmtwkb,Ytgghhaxc,429859.0,Ijstknxzfzsvqmy,Sears Holdings,,5.0,OR,,M,Brownsville,United States of America,,2488858.0
Ymu7605,4.0,692.0,O,7.0,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,Ajlcdadx,,jvhwyzbcwdrrqmlbvpjwbohhemm,Frontier Oil,,1.0,ID,76.0,S,Charlotte,Canada,1-347-704-7823,2301347.0
Pxj7606,3.0,673.0,O,8.0,mnkidgiyajigobghpnkdvauwiubpjb,Daivf,464086.0,nhhjbqktsr,Automatic Data Processing,,0.0,IA,60.0,W,Oakland,,1-228-976-2888,1736571.0
