prospect_gncd,prospect_mddlntl,prospect_nmbrchldrn,prospect_mrtlstts,prospect_gndr,prospect_frstnm,prospect_ncm,prospect_nmbrcrs,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Mck19,,3.0,U,m,arlyne,77290.0,3.0,86.0,843.0,R,Family Dollar Stores,8.0,2784776.0
WIN20,P,0.0,U,M,Rong-chin,395066.0,2.0,59.0,,R,,,288747.0
BIT21,,3.0,U,,Darlleen,119283.0,5.0,94.0,300.0,O,Sun Microsystems,0.0,876575.0
luz22,V,1.0,U,f,Radoslav,330991.0,1.0,,795.0,O,Costco Wholesale,8.0,2041224.0
don23,S,0.0,,,Aryn,,4.0,5.0,367.0,U,Illinois Tool Works,5.0,2231509.0
Gia24,T,5.0,M,,Allisan,252031.0,1.0,23.0,507.0,O,Southern Union,1.0,3206409.0
SPR25,,1.0,M,M,Ammamaria,101800.0,3.0,61.0,362.0,O,Moog,9.0,3850037.0
SKA26,,1.0,D,F,Mari,436977.0,0.0,,527.0,O,Old Republic International,7.0,528440.0
Gar27,,,S,m,Anica,495334.0,0.0,51.0,354.0,O,,0.0,597140.0
Dor28,,1.0,M,,Melba,274685.0,1.0,97.0,511.0,O,Great Plains Energy,1.0,146931.0
DIO29,X,2.0,,,Tracee,320820.0,2.0,52.0,412.0,,Broadcom,7.0,353495.0
Mer30,,0.0,S,m,CANADIAN,195835.0,4.0,98.0,583.0,O,Discover Financial Services,1.0,295647.0
Atc31,R,3.0,U,,Oue,108085.0,5.0,47.0,710.0,O,UAL,5.0,408941.0
Pla32,X,1.0,M,m,wallie,260185.0,2.0,47.0,380.0,O,Charles Schwab,9.0,362523.0
SEL33,E,0.0,M,F,Andromache,258323.0,0.0,9.0,796.0,R,Coach,2.0,2102359.0
sha34,Z,3.0,M,f,THOR,79476.0,1.0,85.0,818.0,U,DaVita,2.0,3480265.0
MER35,,3.0,M,,SALAH,102156.0,5.0,81.0,766.0,U,Marshall & Ilsley Corp.,3.0,3648900.0
con36,,3.0,M,,HOR-LAM,221481.0,2.0,0.0,359.0,O,Cablevision Systems,2.0,1161790.0
ons37,,5.0,S,M,Vania,41836.0,1.0,28.0,401.0,R,Barnes & Noble,2.0,2050587.0
Sum38,,1.0,U,M,Niel,72389.0,1.0,65.0,609.0,O,EMC,0.0,3579198.0
gro39,F,0.0,S,,ziad,66486.0,3.0,20.0,630.0,O,Fluor,2.0,889494.0
dil40,I,1.0,M,,Claude,200185.0,3.0,55.0,671.0,O,Dollar General,9.0,2205682.0
DOL41,,2.0,U,,AVTAR,289215.0,0.0,76.0,715.0,O,Lear,10.0,1140117.0
Pos42,,1.0,M,,Donny,322484.0,4.0,1.0,707.0,O,J.P. Morgan Chase & Co.,9.0,1421319.0
Mac43,,2.0,M,,Cocos,83458.0,4.0,3.0,329.0,O,Affinia Group Intermediate,0.0,3525204.0
che44,,3.0,D,,ruud,,0.0,100.0,601.0,R,,8.0,468976.0
hol45,,1.0,W,,Belvia,492407.0,5.0,81.0,623.0,O,Goldman Sachs Group,2.0,1685443.0
pfi46,,4.0,S,f,ATHAR,346630.0,4.0,76.0,376.0,O,E*Trade Financial,2.0,337564.0
elk47,Y,3.0,W,,Cherey,9572.0,1.0,51.0,560.0,O,Pfizer,0.0,84777.0
Lab48,,5.0,,F,RAZ,265369.0,1.0,,693.0,O,Safeway,4.0,3146477.0
laf49,Y,2.0,S,,kishore,104172.0,1.0,58.0,346.0,U,Simon Property Group,0.0,495277.0
Nor50,I,3.0,M,,Nelleke,65550.0,0.0,52.0,342.0,O,Trinity Industries,0.0,746904.0
hag51,,0.0,M,,sibby,,2.0,91.0,563.0,R,Solutia,8.0,1219620.0
Bet52,,3.0,M,m,ericha,,2.0,17.0,391.0,O,,4.0,1718910.0
Van53,,4.0,S,m,Janson,66244.0,4.0,6.0,381.0,O,A.O. Smith,8.0,
O'L54,,3.0,S,F,Dorotea,426954.0,0.0,89.0,539.0,U,AptarGroup,9.0,2636424.0
and55,,4.0,M,m,Denice,126891.0,5.0,99.0,497.0,O,Coca-Cola,0.0,1326305.0
sta56,,2.0,M,,Myron,454196.0,4.0,77.0,661.0,O,Kimberly-Clark,,2241997.0
CHA57,,3.0,S,,Barby,163940.0,5.0,,558.0,R,Visteon,0.0,1542891.0
ASI58,,1.0,W,R,Ariella,365213.0,,90.0,534.0,O,TECO Energy,,797918.0
ask59,,0.0,M,f,ADEY,428739.0,0.0,82.0,373.0,U,Bemis,6.0,347654.0
Kik60,K,0.0,M,,GAYEL,142444.0,4.0,,382.0,O,Wyeth,8.0,2456397.0
Cha61,,3.0,S,F,Man,416168.0,3.0,15.0,475.0,O,United Technologies,10.0,1284229.0
KIL62,U,0.0,D,m,Klara,291420.0,2.0,,539.0,O,Clorox,3.0,618787.0
kin63,,5.0,M,f,Abdalla,413501.0,4.0,96.0,711.0,O,Discovery Communications,6.0,1171606.0
MAL64,,,M,,bal,,4.0,38.0,606.0,O,Williams-Sonoma,1.0,3983261.0
Odu65,J,3.0,W,,Romy,419143.0,3.0,10.0,494.0,O,Manitowoc,0.0,2328568.0
DI 66,,5.0,M,,KORAL,155057.0,1.0,72.0,309.0,O,Henry Schein,3.0,2078600.0
STU67,K,5.0,M,,YUKIHIKO,313859.0,2.0,97.0,630.0,O,Trinity Industries,3.0,2986155.0
HAM68,,1.0,S,,Khanh,265907.0,4.0,48.0,330.0,O,Pepsi Bottling,10.0,1864039.0
LIB69,,0.0,S,m,Darnell,283481.0,,97.0,710.0,O,UGI,9.0,1293721.0
ohs70,,0.0,M,M,feridoun,200635.0,4.0,73.0,475.0,R,Greif,7.0,3850114.0
HUM71,O,1.0,U,,Magdy,434519.0,0.0,71.0,596.0,O,Equifax,3.0,1618743.0
BRA72,,1.0,W,,jiri,392315.0,5.0,93.0,670.0,O,,9.0,3383487.0
Boa73,X,3.0,U,,AILA,493829.0,5.0,53.0,722.0,O,Freescale Semiconductor,,2981876.0
Mcn74,,2.0,U,,Vincenzo,97489.0,3.0,32.0,587.0,O,Aleris International,7.0,2109339.0
MAR75,,3.0,S,F,Minnnie,,4.0,1.0,609.0,O,,4.0,791803.0
Wil76,,1.0,S,f,alfonzo,383046.0,0.0,39.0,401.0,O,World Fuel Services,7.0,3523678.0
Dea77,S,0.0,M,m,Swandi,1190.0,4.0,77.0,335.0,,R.R. Donnelley & Sons,0.0,1681902.0
Hou78,,5.0,U,,Anya,85733.0,5.0,18.0,569.0,O,Brinker International,7.0,3851455.0
Goy79,,2.0,M,,Enrika,387890.0,0.0,70.0,,R,Temple-Inland,9.0,2339382.0
Mok80,Z,0.0,S,f,SONJA,16808.0,2.0,26.0,679.0,O,Psychiatric Solutions,7.0,
Run81,I,4.0,M,,Liem,304589.0,,,356.0,,Nash-Finch,10.0,2065016.0
BEL82,,5.0,S,o,COLLETTE,48506.0,2.0,58.0,308.0,R,AMR,9.0,2454049.0
BAE83,Y,4.0,M,,SIAMACK,,0.0,43.0,412.0,O,Spartan Stores,4.0,2423395.0
MAU84,,3.0,D,f,Toshihiro,358862.0,2.0,65.0,618.0,O,Cigna,4.0,1342045.0
Koo85,,3.0,S,,Casey,477614.0,5.0,24.0,429.0,O,General Cable,5.0,861756.0
Lau86,,1.0,S,,Daryn,175414.0,3.0,79.0,819.0,O,Dun & Bradstreet,3.0,1215349.0
Man87,L,1.0,M,F,Adrianna,427598.0,0.0,48.0,552.0,O,Casey's General Stores,7.0,3981554.0
PIE88,,4.0,S,,Cortney,368207.0,0.0,69.0,587.0,O,Jack in the Box,9.0,3865937.0
Bus89,,1.0,S,M,Duane,449944.0,3.0,91.0,304.0,O,Assurant,6.0,2804700.0
BAB90,,5.0,,,Tele,166247.0,5.0,75.0,795.0,U,Psychiatric Solutions,4.0,3283558.0
Bur91,,3.0,S,M,Ophelia,391165.0,1.0,85.0,830.0,O,Danaher,2.0,450524.0
Kin92,,3.0,M,,lorine,165854.0,5.0,76.0,709.0,R,Clorox,3.0,
POM93,,1.0,S,,Viole,326181.0,2.0,68.0,493.0,O,Boyd Gaming,8.0,
BOA94,,,M,M,Nani,173387.0,3.0,95.0,680.0,O,Eaton,,633760.0
Ron95,R,5.0,M,,cherey,301127.0,1.0,15.0,800.0,R,Dynegy,,3634954.0
wei96,A,5.0,M,,Redgie,487230.0,1.0,17.0,614.0,R,AmeriCredit,4.0,799268.0
Hel97,P,0.0,,M,Yousef,425747.0,4.0,94.0,763.0,R,SLM,6.0,39093.0
mog98,,4.0,S,m,Damaris,401946.0,4.0,70.0,561.0,O,NV Energy,3.0,2705353.0
boz99,,2.0,S,,Ilyssa,425422.0,1.0,29.0,569.0,O,Landstar System,4.0,3565153.0
Zah100,R,1.0,M,,Moselle,208890.0,4.0,52.0,634.0,O,Pacific Life,5.0,2832204.0
And101,,3.0,U,F,Dulsea,67880.0,5.0,51.0,488.0,O,Textron,10.0,2194345.0
Bam102,L,3.0,W,,Lyndsie,133412.0,2.0,24.0,788.0,O,Pfizer,5.0,3737140.0
fro103,,4.0,D,,KESLEY,144829.0,3.0,98.0,333.0,O,Cigna,8.0,464753.0
Car104,J,1.0,M,,LAUREL,,1.0,59.0,601.0,U,Ameren,,596696.0
muc105,V,4.0,U,f,Steen,143682.0,3.0,49.0,595.0,O,Consolidated Edison,2.0,1504753.0
gat106,,1.0,U,,noel,350020.0,0.0,1.0,433.0,O,Occidental Petroleum,10.0,3049281.0
Sch107,M,,U,F,Tracey,435103.0,0.0,79.0,403.0,O,Sherwin-Williams,10.0,247478.0
pom108,,5.0,,,Sarajane,207768.0,1.0,6.0,615.0,R,Affiliated Computer Services,3.0,2750301.0
cuc109,K,4.0,M,F,Geoffrey,407512.0,0.0,70.0,735.0,O,Valassis Communications,1.0,721333.0
SUG110,Z,0.0,S,q,loralyn,403366.0,3.0,23.0,668.0,O,,1.0,669440.0
Pep111,,5.0,M,,andrei,384095.0,3.0,78.0,349.0,O,Smithfield Foods,,2473979.0
Cha112,,,S,f,javad,288969.0,4.0,79.0,654.0,,,,3545170.0
SEI113,U,3.0,U,m,Karna,233665.0,2.0,72.0,361.0,O,TD Ameritrade,6.0,1494871.0
GAR114,S,0.0,S,F,Jocelyn,147236.0,4.0,31.0,427.0,U,Comerica,1.0,436164.0
Tou115,,3.0,W,M,Elvera,452557.0,0.0,86.0,322.0,O,Steel Dynamics,1.0,1069481.0
Kur116,V,0.0,S,M,Nessy,179305.0,2.0,,792.0,R,Coca-Cola Enterprises,9.0,
Her117,,0.0,U,,lona,205817.0,3.0,87.0,478.0,O,News Corp.,2.0,2957261.0
MCV118,P,5.0,M,,RHEA,262711.0,,92.0,477.0,O,,1.0,228459.0
LAB119,,5.0,M,F,Josefa,84810.0,1.0,4.0,449.0,O,Stater Bros. Holdings,6.0,67267.0
but120,,4.0,U,,alikee,96441.0,2.0,8.0,466.0,O,BorgWarner,2.0,1087978.0
Pro121,,5.0,M,m,dolorita,462762.0,0.0,97.0,483.0,O,CB Richard Ellis Group,2.0,3885967.0
Irc122,,4.0,D,,Marilyn,141890.0,5.0,,588.0,O,Zimmer Holdings,4.0,3271101.0
Ziv123,G,5.0,,,robertson,156610.0,5.0,40.0,313.0,O,Mohawk Industries,2.0,
sim124,H,4.0,U,,Ilsa,164752.0,1.0,95.0,647.0,R,Berkshire Hathaway,1.0,1999133.0
kei125,I,5.0,S,,Pen,278949.0,1.0,92.0,430.0,O,Saks,2.0,1100786.0
arv126,P,5.0,W,f,AUBRETTE,,0.0,67.0,467.0,O,Gardner Denver,8.0,563992.0
Pra127,,2.0,M,F,Cole,463736.0,3.0,24.0,399.0,O,Hasbro,7.0,962397.0
lue128,C,3.0,M,m,liva,,2.0,26.0,654.0,O,CBS,5.0,1064169.0
Prz129,,0.0,S,f,Ayaz,86667.0,2.0,62.0,378.0,O,Synnex,3.0,2100059.0
pen130,J,1.0,W,f,YETTY,193470.0,5.0,37.0,338.0,O,Belden,10.0,99025.0
Gua131,S,0.0,S,,Mary-michelle,406379.0,5.0,71.0,695.0,R,Broadcom,10.0,3865481.0
bre132,,3.0,M,F,agretha,480595.0,1.0,29.0,614.0,U,Reynolds American,7.0,804544.0
Sav133,X,5.0,S,f,LOTTY,181718.0,4.0,89.0,307.0,O,Wells Fargo,7.0,3143356.0
ABB134,Z,3.0,M,,Kassey,468310.0,0.0,11.0,331.0,O,Retail Ventures,2.0,
OP135,N,0.0,S,M,Adria,354987.0,2.0,20.0,638.0,O,AT&T,2.0,2311953.0
Mer136,,5.0,W,,audivox,284539.0,3.0,75.0,703.0,O,Wynn Resorts,3.0,3120608.0
rut137,,5.0,S,F,SUE,213725.0,0.0,95.0,302.0,O,Eastman Kodak,7.0,2058270.0
bem138,I,3.0,U,,Lorenza,74195.0,2.0,0.0,522.0,O,Aramark,,1511983.0
Pen139,,1.0,M,,Enzo,169295.0,5.0,73.0,,O,ENSCO International,,439080.0
tor140,Y,0.0,W,M,claudina,307832.0,1.0,39.0,833.0,R,Auto-Owners Insurance,5.0,921255.0
law141,L,1.0,U,m,Otha,20397.0,1.0,76.0,,O,Bemis,2.0,3810365.0
Bee142,D,2.0,U,m,Rodie,463094.0,2.0,5.0,664.0,O,Securian Financial Group,6.0,2641938.0
sch143,,1.0,U,m,DULCE,331900.0,4.0,65.0,789.0,O,Ford Motor,7.0,3857323.0
Wit144,,0.0,S,,Win,8421.0,5.0,94.0,803.0,U,ConAgra Foods,0.0,1636212.0
MER145,Q,4.0,M,F,Roselin,35780.0,4.0,95.0,720.0,,Charter Communications,3.0,2999082.0
bia146,,0.0,M,m,Malanie,139897.0,1.0,28.0,839.0,R,Calpine,4.0,2280820.0
Swi147,P,1.0,D,m,TARYN,414119.0,4.0,76.0,621.0,O,Crane,0.0,1050866.0
bul148,,4.0,D,,MALENA,234035.0,5.0,81.0,628.0,O,Textron,3.0,
TYR149,,5.0,W,F,Dorie,144405.0,3.0,38.0,813.0,O,Idearc,6.0,603001.0
Fyf150,,3.0,W,,Liese,55441.0,5.0,25.0,367.0,R,Cabela's,3.0,3368239.0
Sic151,,2.0,D,,tele,392869.0,4.0,0.0,807.0,O,EOG Resources,10.0,1042629.0
CAS152,,4.0,U,F,astra,402416.0,3.0,61.0,501.0,O,,8.0,1948746.0
Cho153,S,2.0,U,,marnia,89984.0,0.0,3.0,490.0,O,Burlington Coat Factory,10.0,3113862.0
CHA154,,3.0,W,,AMY,395773.0,2.0,77.0,321.0,O,Southwest Airlines,3.0,2777290.0
bei155,E,0.0,U,f,HAMILTON,126662.0,1.0,8.0,,R,RPM International,6.0,2210073.0
Ele156,J,1.0,U,m,Kuldip,132008.0,4.0,34.0,446.0,O,Amazon.com,7.0,1999684.0
o'g157,,5.0,M,F,krystalle,417218.0,5.0,15.0,428.0,O,Neiman Marcus,2.0,2119678.0
Kat158,,0.0,S,,Stella,360063.0,0.0,66.0,423.0,O,Goldman Sachs Group,5.0,169808.0
Lui159,O,4.0,U,,Marie-josee,100516.0,5.0,55.0,499.0,O,Boeing,6.0,1072732.0
Kla160,,1.0,S,f,Nashib,16814.0,1.0,8.0,342.0,O,United Refining,7.0,2261442.0
Bru161,Z,3.0,M,,Annette,,1.0,7.0,632.0,U,D.R. Horton,1.0,2234368.0
Apt162,Q,1.0,M,,LENA,315962.0,3.0,97.0,525.0,O,Jarden,6.0,575288.0
sch163,,1.0,M,f,Christian,299268.0,5.0,95.0,371.0,R,Systemax,9.0,1102479.0
Lan164,,3.0,U,,Morrie,301490.0,1.0,92.0,699.0,O,Marriott International,4.0,2995388.0
Fus165,,2.0,M,F,LYMAN,36052.0,3.0,17.0,435.0,O,Expeditors International,8.0,1147193.0
Nev166,R,4.0,U,F,REUBEN,437483.0,1.0,81.0,512.0,U,Great Plains Energy,2.0,1136540.0
SHA167,,,M,f,Hermon,152971.0,5.0,13.0,552.0,O,Danaher,6.0,1677669.0
Sau168,P,2.0,M,,Paqs,449495.0,0.0,78.0,,O,,8.0,2160706.0
fri169,,1.0,M,,GAETAN,349827.0,4.0,78.0,687.0,O,Watson Wyatt Worldwide,5.0,2525665.0
fer170,O,1.0,M,,leese,9562.0,3.0,85.0,433.0,R,Yahoo,0.0,3517622.0
LAN171,,2.0,U,M,Amelie,24514.0,1.0,68.0,746.0,,Convergys,7.0,
Bha172,,0.0,M,,TAMRA,407985.0,0.0,1.0,405.0,R,Celanese,9.0,97675.0
Jor173,,5.0,M,M,bang,,5.0,83.0,805.0,O,Dana Holding,,
KNU174,,4.0,M,F,HILDEGARDE,257897.0,4.0,78.0,819.0,O,XTO Energy,5.0,3569070.0
Ham175,,5.0,M,F,Carmody,261143.0,0.0,,648.0,O,Alliance Data Systems,0.0,1507616.0
MAU176,,5.0,U,,Dareen,110615.0,5.0,5.0,401.0,R,Franklin Resources,10.0,514151.0
Rez177,,0.0,U,F,WEN,407799.0,2.0,43.0,484.0,U,Fidelity National Financial,8.0,2903408.0
Koa178,,4.0,U,,MOT,195242.0,4.0,53.0,463.0,O,FirstEnergy,1.0,1695814.0
HAN179,B,0.0,U,m,leese,315490.0,3.0,13.0,335.0,O,Commercial Metals,5.0,868465.0
jak180,I,4.0,U,,nettie,22201.0,5.0,7.0,,O,Genzyme,10.0,2810709.0
ump181,C,5.0,M,,AILEE,441579.0,4.0,17.0,381.0,R,US Airways Group,7.0,3593363.0
Wic182,G,2.0,M,,chan,342730.0,2.0,67.0,708.0,O,Advanced Micro Devices,1.0,2607636.0
Gat183,,4.0,M,F,RAY,117267.0,5.0,54.0,354.0,R,United Parcel Service,8.0,2735642.0
bot184,,4.0,S,,Robinette,260107.0,1.0,5.0,547.0,,Fastenal,10.0,1501732.0
DAV185,T,1.0,D,,Rocke,166760.0,1.0,28.0,761.0,O,Core-Mark Holding,9.0,397072.0
HIL186,,1.0,M,F,Suzette,401021.0,4.0,5.0,659.0,O,Boise,1.0,3399757.0
war187,,2.0,M,,Myla,70945.0,4.0,,351.0,R,DST Systems,9.0,2684548.0
MAC188,,3.0,S,m,dacia,389391.0,3.0,72.0,608.0,O,United States Steel,7.0,3041622.0
lev189,A,2.0,S,F,CHELSIE,63226.0,4.0,12.0,706.0,O,Pepco Holdings,3.0,3211816.0
Goo190,,4.0,M,,abbas,206220.0,0.0,71.0,391.0,O,Acuity Brands,8.0,127026.0
Koh191,E,4.0,W,,Rec,,5.0,90.0,461.0,R,Baker Hughes,2.0,588945.0
AYL192,,4.0,U,M,Elaine,337152.0,4.0,20.0,510.0,O,Newell Rubbermaid,2.0,1962620.0
CHO193,E,2.0,W,F,Katharine,312074.0,,58.0,805.0,O,Westlake Chemical,5.0,178193.0
DIT194,G,4.0,M,,LILIAN,68551.0,2.0,57.0,702.0,O,Jones Lang LaSalle,7.0,2102811.0
EMI195,,1.0,W,,CATI,488800.0,4.0,43.0,368.0,O,Burger King Holdings,3.0,2246854.0
Ryd196,,2.0,W,m,Luong,431633.0,3.0,39.0,520.0,R,Hovnanian Enterprises,8.0,1312448.0
mei197,S,3.0,S,,JUOZAS,72797.0,0.0,87.0,666.0,O,Medical Mutual of Ohio,2.0,295993.0
Ceg198,,1.0,S,,Lysy,260576.0,0.0,57.0,587.0,O,Lockheed Martin,9.0,1220003.0
hai199,Z,5.0,U,,ULA,200096.0,4.0,58.0,643.0,O,Yum Brands,4.0,2400476.0
cle200,J,4.0,,,Francesca,,,28.0,484.0,R,Wesco International,5.0,2900897.0
Cie201,W,1.0,U,,emili,267656.0,3.0,95.0,,R,Volt Information Sciences,3.0,3942140.0
Par202,,2.0,S,f,yogesh,35253.0,1.0,98.0,676.0,R,Western Union,8.0,2118119.0
LOZ203,K,2.0,M,f,Xantippe,113159.0,5.0,55.0,300.0,O,,4.0,338540.0
Pas204,,3.0,,,TINO,297444.0,2.0,14.0,,R,Lubrizol,8.0,2617116.0
Aul205,,1.0,M,,AGGIE,52092.0,3.0,30.0,831.0,O,C.H. Robinson Worldwide,9.0,1459711.0
bar206,N,1.0,M,F,Alane,30249.0,3.0,90.0,609.0,O,Celgene,7.0,1804959.0
ELL207,,0.0,S,,ABBYE,483052.0,2.0,69.0,679.0,O,Leggett & Platt,2.0,2957472.0
for208,P,0.0,U,m,aleen,287060.0,4.0,67.0,634.0,O,Fidelity National Information,6.0,2919293.0
Bur209,U,1.0,W,,collen,274154.0,1.0,41.0,338.0,O,Arch Coal,4.0,3610130.0
FOL210,,5.0,M,F,NEALA,379659.0,5.0,2.0,332.0,O,Affinia Group Intermediate,4.0,1209441.0
Led211,,0.0,M,m,CELISSE,,0.0,89.0,721.0,O,Kellogg,8.0,1058712.0
kop212,N,1.0,,,MEHMET,100796.0,4.0,88.0,351.0,O,PerkinElmer,3.0,1946028.0
pay213,,1.0,M,,Carlis,128277.0,1.0,90.0,564.0,O,Limited Brands,6.0,1420984.0
PAL214,,3.0,M,,marshal,147414.0,1.0,54.0,379.0,O,OfficeMax,9.0,213235.0
fel215,,2.0,S,,Fabien,51559.0,1.0,53.0,727.0,O,J.B. Hunt Transport Services,8.0,472425.0
ATW216,,3.0,U,,basia,355622.0,2.0,89.0,578.0,O,American Express,2.0,1160132.0
Mcb217,S,1.0,W,M,FARID,468116.0,5.0,31.0,642.0,O,Occidental Petroleum,10.0,2869995.0
Jal218,B,0.0,M,M,jyoti,276728.0,1.0,1.0,,O,Shaw Group,1.0,3727044.0
vem219,,0.0,S,,Jandy,135306.0,3.0,57.0,554.0,R,W.W. Grainger,,2293241.0
BAR220,D,0.0,U,,VO,99566.0,1.0,10.0,733.0,U,IDT,6.0,2846515.0
PES221,U,4.0,M,M,Kien,263959.0,2.0,74.0,345.0,O,General Mills,10.0,1619956.0
Sha222,,0.0,M,F,Tybi,441498.0,2.0,28.0,644.0,R,RBS Global,6.0,2367607.0
Sch223,J,0.0,S,M,Nhien,429621.0,3.0,96.0,564.0,U,Realogy,3.0,3795566.0
Mat224,L,3.0,M,,Florance,181214.0,1.0,42.0,465.0,O,ArvinMeritor,10.0,734762.0
JAI225,,4.0,D,,Ros,212502.0,,64.0,652.0,O,Amkor Technology,8.0,908994.0
KAR226,,4.0,M,,Genevieve,244545.0,5.0,,714.0,O,Lear,6.0,2561296.0
gus227,,4.0,M,,EMILIO,218681.0,5.0,49.0,383.0,R,Asbury Automotive Group,10.0,3181069.0
Ann228,K,5.0,,,JANEEN,296916.0,,81.0,336.0,O,Limited Brands,7.0,2632226.0
lab229,R,2.0,,,cathrin,453659.0,0.0,57.0,626.0,O,Beazer Homes USA,9.0,
fli230,M,0.0,S,f,kirstin,194450.0,3.0,42.0,549.0,U,,0.0,1151333.0
sat231,,4.0,U,,giles,49533.0,5.0,30.0,492.0,O,Acuity Brands,0.0,2763939.0
tho232,I,4.0,M,,Ted,394819.0,2.0,56.0,327.0,O,ABM Industries,0.0,370710.0
CRI233,L,3.0,S,m,hayden,342754.0,3.0,3.0,545.0,O,,10.0,1192164.0
Gas234,V,0.0,M,M,Gail,224435.0,1.0,53.0,571.0,O,Southwestern Energy,0.0,223487.0
Cha235,,2.0,W,f,las,37717.0,0.0,67.0,423.0,O,Delta Air Lines,7.0,2341143.0
Net236,,0.0,,,Noelyn,286483.0,1.0,94.0,655.0,O,ITT,4.0,1774784.0
WOO237,,5.0,M,m,izak,185412.0,0.0,37.0,488.0,O,Health Management Associates,0.0,3951308.0
val238,,,M,,bernita,472518.0,4.0,75.0,352.0,,Western Union,6.0,2756025.0
Ber239,,1.0,M,f,Karmen,425307.0,,51.0,810.0,O,Family Insurance Group,0.0,1833112.0
lab240,F,2.0,D,,Rio,304909.0,2.0,74.0,686.0,O,Advance Auto Parts,8.0,698884.0
VRE241,X,2.0,M,m,ISABELLE,231226.0,0.0,100.0,389.0,R,J.P. Morgan Chase & Co.,0.0,3287261.0
GOO242,,0.0,M,F,Micro,219026.0,0.0,,761.0,U,Fidelity National Financial,,3337290.0
cha243,S,1.0,D,,maribel,414993.0,0.0,28.0,589.0,O,Toro,4.0,2963197.0
TAM244,W,0.0,M,F,NADYA,24837.0,0.0,18.0,492.0,O,Mueller Water Products,1.0,1487009.0
CUM245,,5.0,D,M,Darrell,200645.0,2.0,77.0,442.0,U,Energy Future Holdings,10.0,3177428.0
SIM246,E,3.0,S,,Hoy,22605.0,4.0,14.0,649.0,O,Weis Markets,8.0,1886280.0
Est247,,0.0,U,,shana,,0.0,23.0,337.0,O,MasterCard,8.0,1853087.0
han248,P,,D,F,HQ,389524.0,4.0,1.0,572.0,R,Oracle,8.0,195847.0
Pee249,Y,3.0,M,,Co,232945.0,4.0,58.0,666.0,U,Mutual of America Life,0.0,3727580.0
bli250,T,3.0,D,M,Beb,390626.0,2.0,98.0,567.0,O,JetBlue Airways,4.0,2993662.0
Lea251,,3.0,,,Sherrill,286207.0,5.0,76.0,574.0,O,Western Refining,5.0,2886788.0
Wil252,U,0.0,S,F,takehiko,391468.0,5.0,59.0,498.0,,Western Refining,2.0,3672610.0
kom253,,2.0,U,f,FLOSSIE,171326.0,5.0,81.0,836.0,R,Bristol-Myers Squibb,9.0,3245637.0
Wel254,,3.0,M,,Chryste,294972.0,2.0,31.0,759.0,,AutoNation,8.0,959636.0
Lac255,,5.0,S,,Sheelagh,131039.0,3.0,1.0,563.0,O,Boeing,6.0,1037702.0
Hon256,,5.0,S,f,DICKENS,480287.0,1.0,28.0,313.0,U,Advanced Micro Devices,8.0,69141.0
Con257,,4.0,M,,Maury,276404.0,0.0,36.0,771.0,O,Unitrin,6.0,2818725.0
