prospect_nmbrchldrn,prospect_pstlcd,prospect_gncd,prospect_ct,prospect_ncm,prospect_cntr,prospect_nmbrcrdtcrds,prospect_lstnm,prospect_ddrssln1,prospect_crdtrtng,prospect_wnrrntflg,prospect_nmbrcrs,prospect_frstnm,prospect_stt,prospect_mddlntl,prospect_ntwrth,prospect_g,prospect_phn,prospect_gndr,prospect_mrtlstts,prospect_ddrssln2,prospect_mplr
0.0,VVMSNWEBT,epy7527,Pembroke Pines,391354.0,United States of America,2.0,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,595.0,O,3.0,Zckhcacwaelzutaodqalxyjrkh,Quebec,,2671950.0,72.0,,,S,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Ingles Markets
0.0,bibueqwbejem,Aff7528,Philadelphia,419165.0,United States of America,1.0,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,410.0,O,3.0,sqrosgqnpifxjx,KS,M,3899593.0,41.0,1-231-342-6874,m,U,Acdrcqabtcdgmgl,Forest Laboratories
2.0,gehpynlk,mfc7529,Glendale,396509.0,Canada,10.0,mfcestd,,475.0,O,3.0,Erqzkkllazeobgthnmgsbtj,NV,S,2537332.0,54.0,,,W,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Dentsply International
2.0,Piwlxtg,Slf7530,El Monte,145161.0,United States of America,2.0,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,,R,0.0,Lcziayaozecoqqluasolkmmcldm,TN,S,733236.0,11.0,1-602-637-1838,,,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,RadioShack
5.0,Ujlshmosjkid,Cxu7531,Warwick,263206.0,United States of America,3.0,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,519.0,O,2.0,Gcnczmuxviqaxtsdzmzhtro,WY,,,0.0,1-003-982-8627,,W,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Century Aluminum
3.0,cwburwnupuj,GZO7532,Milwaukee,190371.0,United States of America,5.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,841.0,U,3.0,Rsoobsqytvjycob,British Columbia,F,3397276.0,27.0,1-136-358-6852,,D,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,
1.0,CNEZMHTKIAEV,DRW7533,Phoenix,203968.0,United States of America,6.0,DRWTVTDSG,Llfaqkbemnoy,540.0,O,3.0,Pjvadgt,LA,A,2444257.0,95.0,1-123-528-2965,,U,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,FPL Group
3.0,kixvppuqtd,set7534,Anchorage,428323.0,United States of America,10.0,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,540.0,R,1.0,GUBKOKITTSKVYM,HI,N,71520.0,35.0,1-136-565-2501,f,U,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,Lockheed Martin
1.0,jrhynxfi,Pyo7535,Madison,159980.0,United States of America,6.0,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,O,4.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,NY,,1911091.0,96.0,1-317-986-1984,,M,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Sanmina-SCI
0.0,dnhtjyu,FSH7536,Fontana,266852.0,Canada,6.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,424.0,O,0.0,Kuteauo,TX,,988775.0,96.0,1-265-603-1262,M,W,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Iron Mountain
5.0,YKOVOTYB,Tdx7537,Charlotte,206973.0,United States of America,2.0,Tdxyljuxporjhdumcvfmv,,623.0,R,5.0,Hkfofpndygljbeo,AZ,,3919363.0,49.0,,,M,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,OfficeMax
1.0,WNNMWJ,Sbn7538,Richmond,258221.0,Canada,4.0,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,792.0,O,5.0,Kengxgsu,ME,O,428918.0,,1-156-668-6882,,S,XHQNMCEJKXOQYVSZVESLKC,AMR
4.0,Oktkljv,Piq7539,Santa Clarita,428508.0,United States of America,6.0,Piqizouhxiw,Hlotorcbtobuceb,718.0,O,4.0,Plywuoa,NH,C,58134.0,27.0,1-164-648-3203,f,S,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Kohl's
0.0,,IXD7540,Yellow Knife,,,6.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,401.0,O,4.0,zfcwsxpjzyqelkxg,KY,,3703767.0,98.0,1-839-795-1027,M,M,Toumjfbsumpgfuskpydjeibaxi,Cigna
5.0,GXFLSISZUY,wsn7541,Oxnard,58953.0,United States of America,2.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,557.0,R,4.0,Yxvczhqjwgnhowiu,Prince Edward Island,,433859.0,,1-958-412-4252,,M,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,West
5.0,gzexcrngivl,Jkp7542,Huntington Beach,409682.0,United States of America,7.0,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,393.0,O,5.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,British Columbia,A,3002044.0,56.0,1-392-335-1020,M,W,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Monsanto
4.0,yzoikhwrd,CCF7543,Durham,340191.0,United States of America,10.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,557.0,,2.0,Vfrdst,CT,,1124168.0,94.0,1-912-050-7605,M,M,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,Reliant Energy
5.0,Gdbktega,ylj7544,Naperville,238216.0,United States of America,5.0,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,465.0,O,4.0,Hqcswumjvwbemosmy,WA,,2081541.0,98.0,1-075-551-9919,,U,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Idearc
1.0,Kdcqzpvf,ZBB7545,Albuquerque,113171.0,Canada,6.0,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,,O,0.0,Ectbhkmbvwkwdbn,ND,V,1897076.0,8.0,1-013-611-2674,F,M,hkyochorqgtokxgozmoncalaaiw,Neiman Marcus
,Tbwgwtmgcu,fqe7546,Newark,234797.0,United States of America,10.0,fqekemquvstw,Yewxbqpnfgh,485.0,,5.0,Bdbgqpllbnrmiirpct,ID,,235172.0,90.0,1-656-865-7544,m,W,Datdnghoiymltcayulgkgxywi,O'Reilly Automotive
2.0,Mwmfs,Wpw7547,Miami,225322.0,United States of America,2.0,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,303.0,,4.0,Ftszluaxcsoxdfbmdd,Quebec,,639573.0,34.0,1-879-870-7379,,M,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Cliffs Natural Resources
2.0,goelqgcts,vpz7548,London,192689.0,Canada,4.0,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,846.0,O,1.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,ID,,2667082.0,25.0,1-366-625-9813,,W,,Health Management Associates
4.0,ucwygjzs,Yfz7549,Worcester,348685.0,Canada,1.0,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,621.0,O,5.0,Kkiolpmrgzmnjanqc,AL,,2598634.0,50.0,1-359-462-7089,,,,Chevron
4.0,fjlfqftwg,dou7550,Jacksonville,401229.0,United States of America,,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,331.0,O,3.0,unzegilpp,UT,,1074671.0,85.0,,,D,,Exide Technologies
4.0,Tocujgaiaq,FDJ7551,Nashua,38597.0,United States of America,9.0,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,401.0,R,5.0,xetqkitwlh,MS,,2272997.0,60.0,1-153-396-8333,M,M,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Convergys
2.0,kurjmmgixxfd,ufu7552,Newport News,,United States of America,0.0,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,644.0,R,2.0,TWRRGULRYKYUWZYBQQFMIFFKVK,AK,,702000.0,95.0,1-144-623-1308,,S,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Dominion Resources
1.0,cnsavindoi,bbg7553,Corona,161204.0,United States of America,5.0,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,769.0,R,4.0,Yqfljvgkfucafpjpamdtcppiipc,VT,H,1289800.0,8.0,1-269-220-8046,m,M,NBSHKLXYVUUWXEQSGXR,Sentry Insurance Group
4.0,MQBSAUVQRPYE,Znk7554,Lincoln,202650.0,,2.0,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,481.0,O,3.0,mjeasoritwctufyojamzbeeoo,LA,v,1007390.0,31.0,1-052-524-0130,f,M,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Cintas
2.0,vadbnvz,CGQ7555,Toronto,,Canada,7.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,732.0,O,1.0,Udxaujgiratgthwkvdibgvwfo,CT,T,124290.0,51.0,1-335-871-6660,F,U,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Medtronic
4.0,Ljurvnigr,add7556,Fayetteville,492433.0,United States of America,2.0,addxtssyhezwro,dnlleihfh,802.0,O,4.0,GHFUKZPOKMXWZF,UT,,1820002.0,24.0,1-637-394-8083,,M,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Pride International
4.0,BQDMQVFTNBRJ,Anw7557,Charlotte,344858.0,Canada,5.0,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,329.0,O,2.0,ybtkiifyhbgchnuctnhnqspk,IN,J,2200347.0,78.0,1-706-795-4208,,M,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,A. Schulman
0.0,jkcul,Hvt7558,Tulsa,197290.0,United States of America,0.0,Hvtanebvipbdd,Wsjaujjdexc,839.0,R,5.0,Fhkymmgjsbmpduuffgavhfcxm,WI,,3669569.0,56.0,1-622-347-5699,m,W,nqcozjievwzk,Oneok
,Nelny,Yqj7559,Winston-Salem,283654.0,United States of America,,Yqjaammjlhgpw,Ojberg,539.0,,2.0,DEZDTMSMWKALBRPALCFIME,WA,d,2140537.0,50.0,1-042-017-9368,,U,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Danaher
5.0,Qsggz,Ztn7560,Thousand Oaks,317423.0,United States of America,4.0,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,561.0,R,4.0,phoxfeiqoldgmnojmzunmargkla,LA,,3258909.0,52.0,1-829-935-5979,F,M,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Del Monte Foods
5.0,Drofa,bni7561,Lubbock,399126.0,United States of America,2.0,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,814.0,O,4.0,Upuabfflh,VT,,1825422.0,14.0,1-076-726-5283,F,W,Lfrjkyblujmbxigmylpsxieswspmei,American Electric Power
0.0,Ssovhtmt,swx7562,Winnipeg,398180.0,United States of America,7.0,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,305.0,R,5.0,owagfolbfwjzeg,CT,,1845263.0,29.0,,,M,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,TJX
4.0,Tnprhljfrlj,DSA7563,Laredo,,United States of America,4.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,457.0,O,2.0,Qdmppehqxloc,RI,P,1463114.0,50.0,1-284-129-5920,f,S,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Philip Morris International
1.0,Bkxujhonjgjk,BXZ7564,Overland Park,485429.0,United States of America,8.0,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,349.0,O,4.0,jqbetxkci,SC,,2354683.0,67.0,1-128-308-8886,,U,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Cincinnati Financial
0.0,mrjrjhgnwcdu,pcz7565,Calgary,118018.0,United States of America,0.0,pczqycbwefse,KRYAIAJGKHBKXBLC,590.0,O,2.0,Wsmywgbvwspgdwhmdxsqjwqb,British Columbia,,436677.0,22.0,1-145-469-5971,,M,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,Stryker
4.0,Yusezkfgs,Zqa7566,Peoria,309693.0,United States of America,0.0,Zqaknviqngvemehvpzrcgkcvre,,533.0,O,5.0,ocgwi,CO,,2383335.0,20.0,1-727-684-7767,m,U,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Kansas City Southern
0.0,RKXTQAO,Htl7567,Durham,90718.0,Canada,9.0,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,686.0,O,4.0,Pcotdnngmurhkcd,TN,z,2574739.0,75.0,1-776-201-2472,,W,IBQIDE,IDT
0.0,UBQSATXZO,afw7568,Pueblo,280645.0,United States of America,10.0,afwafvxxdr,VBDCWYVK,582.0,O,2.0,bvcosqzcleknjzvkygbawlc,CA,L,1596838.0,60.0,1-767-942-1278,F,U,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,Vornado Realty Trust
4.0,BHRNWQLFVFA,Wna7569,Las Cruces,231559.0,United States of America,0.0,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,807.0,O,,ECLENELTSXGTNWOP,WY,,591965.0,,1-723-062-7266,,S,Lrebujnrg,Dollar General
5.0,Ktmzav,Mlh7570,Chula Vista,36898.0,United States of America,3.0,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,819.0,O,3.0,Xdwexmrjat,SD,,3071440.0,48.0,,,S,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Safeway
0.0,Nfpchgfj,Gor7571,San Diego,396786.0,United States of America,5.0,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,311.0,R,2.0,xjwnvwdryqpcehelwzfhkkiuus,British Columbia,,2683081.0,91.0,1-145-314-0862,,M,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Apache
5.0,Wuywecohosfi,ENX7572,Chicago,344365.0,United States of America,3.0,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,734.0,O,2.0,RNBABCYAFMQPBOHXNUXMXNU,NJ,,3850483.0,98.0,1-735-104-7772,f,U,Hxutrprq,Lowe's
1.0,tibxlojrqiha,fgr7573,Worcester,1205.0,United States of America,1.0,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,432.0,O,4.0,Eyrtrqkljywvbcice,AK,,1870617.0,51.0,,,W,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Lithia Motors
0.0,ogmes,Ysh7574,Honolulu,276666.0,United States of America,3.0,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,394.0,O,5.0,Opybrukftspofebjmspkjsgtobzsp,OH,a,1249534.0,22.0,1-518-116-1411,m,S,JRHXPUUHAFHDPF,CH2M Hill
