AgeID,CreRa,AdLi1,MarSt,NeWor,LNa,MidIni,A,FiNa,PosCo,OwORFl,Ph,Inc,NuC,NumChil,Empl,NuCreCar
qex7522,375.0,Dmyivtczopuqajpnjqvvgbhxynvduub,S,3467922.0,qextfjyytqwbmdrlykbfnhvqrmota,,1.0,nmnervucuk,Slskxm,U,1-947-161-6502,264756.0,,,Viacom,7.0
Hpi7523,516.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,S,46859.0,Hpiedhvkedqqdxsoedt,,98.0,hgjkxxbf,FXHXLG,U,1-586-826-9847,44480.0,1.0,2.0,Robert Half International,10.0
Fjd7524,703.0,Esuycdxsjfbrqbtluspxsehk,,2937668.0,Fjdafgbcrml,,35.0,Zangtryzlhmxo,ovlziicdezok,R,1-217-243-2668,87207.0,1.0,5.0,CSX,
Cgt7525,734.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,W,2388613.0,Cgtcmbl,,99.0,FFJGEQD,jsxcpvao,O,1-857-211-5728,238434.0,4.0,2.0,Country Financial Services,7.0
Lwx7526,469.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,3116283.0,Lwxudfgcqawccntqaucdaeym,,49.0,Pdcxrihnl,Ykerbceq,U,1-089-966-6281,,0.0,2.0,Procter & Gamble,4.0
epy7527,595.0,vnyndcximwxhecv,S,2671950.0,epyxtfsrijhddstgaxkbgmlayjtk,,72.0,Zckhcacwaelzutaodqalxyjrkh,VVMSNWEBT,O,,391354.0,3.0,0.0,Ingles Markets,2.0
Aff7528,410.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,U,3899593.0,Affcha,M,41.0,sqrosgqnpifxjx,bibueqwbejem,O,1-231-342-6874,419165.0,3.0,0.0,Forest Laboratories,1.0
mfc7529,475.0,,W,2537332.0,mfcestd,S,54.0,Erqzkkllazeobgthnmgsbtj,gehpynlk,O,,396509.0,3.0,2.0,Dentsply International,10.0
Slf7530,,GVSBHGBDDVJFNNOZNNPJWCOI,,733236.0,Slfbmvc,S,11.0,Lcziayaozecoqqluasolkmmcldm,Piwlxtg,R,1-602-637-1838,145161.0,0.0,2.0,RadioShack,2.0
Cxu7531,519.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,W,,Cxuousxqyrfgjvpvuopyfguqva,,0.0,Gcnczmuxviqaxtsdzmzhtro,Ujlshmosjkid,O,1-003-982-8627,263206.0,2.0,5.0,Century Aluminum,3.0
GZO7532,841.0,BIQIOQOHLQSTBRUFOI,D,3397276.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,F,27.0,Rsoobsqytvjycob,cwburwnupuj,U,1-136-358-6852,190371.0,3.0,3.0,,5.0
DRW7533,540.0,Llfaqkbemnoy,U,2444257.0,DRWTVTDSG,A,95.0,Pjvadgt,CNEZMHTKIAEV,O,1-123-528-2965,203968.0,3.0,1.0,FPL Group,6.0
set7534,540.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,U,71520.0,setksinlvlrjwnfu,N,35.0,GUBKOKITTSKVYM,kixvppuqtd,R,1-136-565-2501,428323.0,1.0,3.0,Lockheed Martin,10.0
Pyo7535,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,M,1911091.0,Pyoixliri,,96.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,jrhynxfi,O,1-317-986-1984,159980.0,4.0,1.0,Sanmina-SCI,6.0
FSH7536,424.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,W,988775.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,,96.0,Kuteauo,dnhtjyu,O,1-265-603-1262,266852.0,0.0,0.0,Iron Mountain,6.0
Tdx7537,623.0,,M,3919363.0,Tdxyljuxporjhdumcvfmv,,49.0,Hkfofpndygljbeo,YKOVOTYB,R,,206973.0,5.0,5.0,OfficeMax,2.0
Sbn7538,792.0,atydogjpqphuwhegtbukkqiaeakrtrn,S,428918.0,Sbnxcsrozzcufdoyvckpplofysx,O,,Kengxgsu,WNNMWJ,O,1-156-668-6882,258221.0,5.0,1.0,AMR,4.0
Piq7539,718.0,Hlotorcbtobuceb,S,58134.0,Piqizouhxiw,C,27.0,Plywuoa,Oktkljv,O,1-164-648-3203,428508.0,4.0,4.0,Kohl's,6.0
IXD7540,401.0,gsrdigbqfwrahybxrtm,M,3703767.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,98.0,zfcwsxpjzyqelkxg,,O,1-839-795-1027,,4.0,0.0,Cigna,6.0
wsn7541,557.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,M,433859.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,,,Yxvczhqjwgnhowiu,GXFLSISZUY,R,1-958-412-4252,58953.0,4.0,5.0,West,2.0
Jkp7542,393.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,W,3002044.0,Jkpmtcj,A,56.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,gzexcrngivl,O,1-392-335-1020,409682.0,5.0,5.0,Monsanto,7.0
CCF7543,557.0,,M,1124168.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,94.0,Vfrdst,yzoikhwrd,,1-912-050-7605,340191.0,2.0,4.0,Reliant Energy,10.0
ylj7544,465.0,RELJYREDKQEKGOORBLRKOUIC,U,2081541.0,yljvuglvt,,98.0,Hqcswumjvwbemosmy,Gdbktega,O,1-075-551-9919,238216.0,4.0,5.0,Idearc,5.0
ZBB7545,,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,M,1897076.0,ZBBXAWVJAAL,V,8.0,Ectbhkmbvwkwdbn,Kdcqzpvf,O,1-013-611-2674,113171.0,0.0,1.0,Neiman Marcus,6.0
fqe7546,485.0,Yewxbqpnfgh,W,235172.0,fqekemquvstw,,90.0,Bdbgqpllbnrmiirpct,Tbwgwtmgcu,,1-656-865-7544,234797.0,5.0,,O'Reilly Automotive,10.0
Wpw7547,303.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,M,639573.0,Wpwhilrlzng,,34.0,Ftszluaxcsoxdfbmdd,Mwmfs,,1-879-870-7379,225322.0,4.0,2.0,Cliffs Natural Resources,2.0
vpz7548,846.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,W,2667082.0,vpzxgcwljllsq,,25.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,goelqgcts,O,1-366-625-9813,192689.0,1.0,2.0,Health Management Associates,4.0
Yfz7549,621.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,2598634.0,Yfzmtcvxc,,50.0,Kkiolpmrgzmnjanqc,ucwygjzs,O,1-359-462-7089,348685.0,5.0,4.0,Chevron,1.0
dou7550,331.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,D,1074671.0,douvwdwiwrxoivzaojazinrhswjv,,85.0,unzegilpp,fjlfqftwg,O,,401229.0,3.0,4.0,Exide Technologies,
FDJ7551,401.0,hfuyqlsmbesrylepu,M,2272997.0,FDJOVRSOCWEIKZ,,60.0,xetqkitwlh,Tocujgaiaq,R,1-153-396-8333,38597.0,5.0,4.0,Convergys,9.0
ufu7552,644.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,S,702000.0,ufutrfkevxnbupjcetrpltw,,95.0,TWRRGULRYKYUWZYBQQFMIFFKVK,kurjmmgixxfd,R,1-144-623-1308,,2.0,2.0,Dominion Resources,0.0
bbg7553,769.0,qgjnvpwvmgsqzcanzncon,M,1289800.0,bbgzmquoeecumw,H,8.0,Yqfljvgkfucafpjpamdtcppiipc,cnsavindoi,R,1-269-220-8046,161204.0,4.0,1.0,Sentry Insurance Group,5.0
Znk7554,481.0,HNBGLUDIOAJRCCIXGDUQOO,M,1007390.0,Znkkdbkvxcxeuackyodqlkpl,v,31.0,mjeasoritwctufyojamzbeeoo,MQBSAUVQRPYE,O,1-052-524-0130,202650.0,3.0,4.0,Cintas,2.0
CGQ7555,732.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,U,124290.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,T,51.0,Udxaujgiratgthwkvdibgvwfo,vadbnvz,O,1-335-871-6660,,1.0,2.0,Medtronic,7.0
add7556,802.0,dnlleihfh,M,1820002.0,addxtssyhezwro,,24.0,GHFUKZPOKMXWZF,Ljurvnigr,O,1-637-394-8083,492433.0,4.0,4.0,Pride International,2.0
Anw7557,329.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,M,2200347.0,Anwyusqezrjppzkaevffwljm,J,78.0,ybtkiifyhbgchnuctnhnqspk,BQDMQVFTNBRJ,O,1-706-795-4208,344858.0,2.0,4.0,A. Schulman,5.0
Hvt7558,839.0,Wsjaujjdexc,W,3669569.0,Hvtanebvipbdd,,56.0,Fhkymmgjsbmpduuffgavhfcxm,jkcul,R,1-622-347-5699,197290.0,5.0,0.0,Oneok,0.0
Yqj7559,539.0,Ojberg,U,2140537.0,Yqjaammjlhgpw,d,50.0,DEZDTMSMWKALBRPALCFIME,Nelny,,1-042-017-9368,283654.0,2.0,,Danaher,
Ztn7560,561.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,M,3258909.0,Ztnstwpjxatqveppicohpzilnn,,52.0,phoxfeiqoldgmnojmzunmargkla,Qsggz,R,1-829-935-5979,317423.0,4.0,5.0,Del Monte Foods,4.0
bni7561,814.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,W,1825422.0,bnizllrrofn,,14.0,Upuabfflh,Drofa,O,1-076-726-5283,399126.0,4.0,5.0,American Electric Power,2.0
swx7562,305.0,Xwtkpxqgohxwxnv,M,1845263.0,swxorhmdydwbrtdqxroghsddlpbdgi,,29.0,owagfolbfwjzeg,Ssovhtmt,R,,398180.0,5.0,0.0,TJX,7.0
DSA7563,457.0,Qpvmtkxxfef,S,1463114.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,P,50.0,Qdmppehqxloc,Tnprhljfrlj,O,1-284-129-5920,,2.0,4.0,Philip Morris International,4.0
BXZ7564,349.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,U,2354683.0,BXZUTWBUFSGPPXKR,,67.0,jqbetxkci,Bkxujhonjgjk,O,1-128-308-8886,485429.0,4.0,1.0,Cincinnati Financial,8.0
pcz7565,590.0,KRYAIAJGKHBKXBLC,M,436677.0,pczqycbwefse,,22.0,Wsmywgbvwspgdwhmdxsqjwqb,mrjrjhgnwcdu,O,1-145-469-5971,118018.0,2.0,0.0,Stryker,0.0
Zqa7566,533.0,,U,2383335.0,Zqaknviqngvemehvpzrcgkcvre,,20.0,ocgwi,Yusezkfgs,O,1-727-684-7767,309693.0,5.0,4.0,Kansas City Southern,0.0
Htl7567,686.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,W,2574739.0,Htltlfnvjctvvdvulpkhcbyfi,z,75.0,Pcotdnngmurhkcd,RKXTQAO,O,1-776-201-2472,90718.0,4.0,0.0,IDT,9.0
afw7568,582.0,VBDCWYVK,U,1596838.0,afwafvxxdr,L,60.0,bvcosqzcleknjzvkygbawlc,UBQSATXZO,O,1-767-942-1278,280645.0,2.0,0.0,Vornado Realty Trust,10.0
Wna7569,807.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,S,591965.0,Wnakgzhqfhtavtvegjtdmdosnjr,,,ECLENELTSXGTNWOP,BHRNWQLFVFA,O,1-723-062-7266,231559.0,,4.0,Dollar General,0.0
Mlh7570,819.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,S,3071440.0,Mlheqxaigtvjaynkffyqkpu,,48.0,Xdwexmrjat,Ktmzav,O,,36898.0,3.0,5.0,Safeway,3.0
Gor7571,311.0,Gwxymofcy,M,2683081.0,Gorjnqxjtefmomsbmtnogaerx,,91.0,xjwnvwdryqpcehelwzfhkkiuus,Nfpchgfj,R,1-145-314-0862,396786.0,2.0,0.0,Apache,5.0
ENX7572,734.0,Qynjnmfgwxpmrw,U,3850483.0,ENXOMNHFVPYQSABETPUEKRKCL,,98.0,RNBABCYAFMQPBOHXNUXMXNU,Wuywecohosfi,O,1-735-104-7772,344365.0,2.0,5.0,Lowe's,3.0
fgr7573,432.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,W,1870617.0,fgrdzzudzmwlluff,,51.0,Eyrtrqkljywvbcice,tibxlojrqiha,O,,1205.0,4.0,1.0,Lithia Motors,1.0
Ysh7574,394.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,S,1249534.0,Yshzkx,a,22.0,Opybrukftspofebjmspkjsgtobzsp,ogmes,O,1-518-116-1411,276666.0,5.0,0.0,CH2M Hill,3.0
Mos7575,658.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,U,3789880.0,Mosqjrkdycyygfsljqadgfqoldb,I,57.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,JUBKXDKP,O,1-696-359-4829,497953.0,0.0,0.0,Tellabs,1.0
czu7576,348.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,M,3874445.0,czuvw,,38.0,kpofwgtomgijnm,Xbgykqm,O,1-352-678-5471,156048.0,1.0,2.0,Phillips-Van Heusen,3.0
Ghr7577,598.0,BESJDYZDIOIXKDFEHBQXBPW,M,437353.0,Ghrlcuscpesuzsdwqfwwbgh,Z,68.0,Biflzgcqpqpbahquomftmjffohpwuy,NNCXIBTCXZA,O,1-906-600-9749,63617.0,1.0,5.0,Wells Fargo,8.0
Rwk7578,505.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,U,2669917.0,Rwkdeshuwhwvmvmdnckmuvdt,,93.0,ybdlwlwxispyswbiegrbsqqtywxr,mfwuio,O,1-093-018-2851,244849.0,2.0,2.0,Vornado Realty Trust,9.0
Uwi7579,839.0,Ivwhotvobwkshcixclfobqoljlaqohw,S,1466537.0,Uwinnbtdd,,48.0,Capzcewdt,Utgwrun,R,1-302-096-9321,123585.0,4.0,3.0,New York Times,7.0
VXZ7580,672.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,S,991860.0,VXZTLDNZPYIFIKTIJRXS,,96.0,XKBLVBCCYKMIXABVTOTVPZCJRII,Wgulrhctjlg,U,1-915-044-3154,391134.0,1.0,1.0,Adobe Systems,2.0
Ayk7581,696.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,M,,Aykkkc,p,58.0,wmknfemsztimaphftadowlmbnp,Srhxvxe,O,1-040-274-3474,426759.0,5.0,5.0,Valmont Industries,3.0
lho7582,448.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,W,1816368.0,lhodktal,,63.0,DHLVITRFJDXLTPAGMPMJ,Dadkihaohc,O,1-678-397-2739,451737.0,5.0,3.0,UAL,5.0
rzi7583,549.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,S,565246.0,rziprpcfwnirtuvrbfnuepq,,18.0,Jdpqutldftwykfyhukveiaimoyyk,Fpoleiod,O,1-679-345-9939,180822.0,2.0,1.0,AFLAC,9.0
Wds7584,705.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,W,1899339.0,Wdsuorykxmvfxupyyjl,,40.0,Qiwemtdba,Cuaieflmccqp,O,1-093-616-0613,205843.0,4.0,2.0,VeraSun Energy,0.0
Xsj7585,387.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,M,3873239.0,Xsjypvyfoqbiq,f,29.0,JQKEDISZ,qiraymmapgf,O,1-546-131-8988,470985.0,4.0,3.0,Magellan Health Services,6.0
Lux7586,359.0,Nhgrkzjzcrjcerkwrugwul,U,767547.0,Luxkby,v,21.0,Gfuwa,Tsynomgib,,1-477-186-7432,318225.0,2.0,1.0,Emcor Group,7.0
wxw7587,494.0,,M,1027999.0,wxwhwasadsmxchyhlgrvnurte,,41.0,CTTUYHUUMMDTX,Amudllk,O,1-965-848-6954,326044.0,2.0,2.0,Peabody Energy,9.0
pfz7588,345.0,uiaoi,M,3428495.0,pfzjoarqopfjtzjalxxxeq,e,56.0,Wvtqm,ELQKT,,1-622-866-0937,,1.0,1.0,State Farm Insurance Cos.,10.0
hlx7589,402.0,Wwonzdtvwkn,M,1827180.0,hlxshqpvshstjerwclb,,33.0,xuwgpsvzcpxtoerndtr,Oiwac,O,1-040-217-2014,187282.0,2.0,0.0,Humana,10.0
nyb7590,579.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,M,2070007.0,nybiaaw,,96.0,Hnnzpokbygacjjgybkskf,Dqgzinvuxxy,O,1-101-684-2373,,2.0,0.0,News Corp.,3.0
Ltt7591,569.0,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,,,Lttvvpjjavydrmbt,O,35.0,qsnivsknktiwjpqwnrlgftnmsrxkjc,Nchaajfkjvx,O,1-386-426-5849,,2.0,0.0,Torchmark,2.0
gsz7592,745.0,cezvfwtftwlwfrgrpxtuejvrgucexe,W,3596263.0,gszunimggpyfjzmivbwizzftuen,,40.0,pygsfvfpeofkdcugfvxdsqgmcgebfp,XEDMBUAMGXKH,O,1-598-816-0126,306946.0,0.0,4.0,Rock-Tenn,9.0
Kwp7593,320.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,D,3719999.0,Kwpztgkknktyvdks,,10.0,Zgxsuo,crxbrlj,U,1-770-379-7700,99663.0,0.0,,AGCO,1.0
AGM7594,591.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,M,3058439.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,D,59.0,ganifmdaqbltccwbqijtkypcetuq,Eytubbwi,R,,482013.0,2.0,4.0,,4.0
Ocn7595,,Ctgihaqlm,M,2592932.0,Ocnds,u,70.0,IYCOMORWDFSEKN,Lwftldizl,U,1-628-245-6238,180476.0,1.0,0.0,United Stationers,10.0
Cmw7596,417.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,M,1471273.0,Cmweamsabhudajyhpsohkpzcy,,69.0,vdvdlfz,GSSFZNBZL,,1-813-787-2611,285682.0,4.0,5.0,McCormick,5.0
Dit7597,338.0,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,M,,Ditjvpiidkjkvxssfnctzcczb,V,96.0,Sbwymtnwzhffkwjczlsnvrtcv,Nrnqtmjz,R,1-362-897-1162,455032.0,0.0,5.0,National Life Group,8.0
Rmm7598,340.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,S,2410816.0,Rmmasnivkq,S,9.0,qjjwbffbgxilxyarhjwdvo,Rzjxvum,O,1-952-919-4878,356141.0,3.0,,Hasbro,9.0
ekj7599,738.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,U,1059543.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,,39.0,JIXUQX,Accezkuzqrif,U,1-145-214-8009,165667.0,3.0,3.0,Tupperware Brands,5.0
wcq7600,597.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,S,379282.0,wcqqbslcxugdqpbzbmbqvlahw,A,31.0,Eqrxuc,LNZZPGOTEG,O,1-328-944-9786,459767.0,0.0,2.0,Covance,7.0
Klc7601,603.0,RSSNUTWWLOKIHRRTPEAFTLBF,M,3271265.0,Klcanpomjmuwosnasroukafsxtufz,,64.0,PDAXUXBMPOVTKJUR,YINOHET,R,1-899-864-9421,106459.0,2.0,2.0,Interactive Brokers Group,4.0
Jrd7602,662.0,Sachwqwddeyfxvagihsjxtcsibaejb,D,1530364.0,Jrdmn,,38.0,Adftxl,ddgkyv,U,1-877-997-8896,51021.0,,1.0,SkyWest,5.0
GDQ7603,838.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,W,3731860.0,GDQESTOSFCKVLPZEQPNFIKQLTXB,,47.0,Gaksvvggpbleteofow,Seiksuhglhj,R,1-750-900-0823,494931.0,2.0,4.0,Best Buy,0.0
fnm7604,791.0,Sbutxmtwkb,M,2488858.0,fnmqzceohwapysohiuofkhjpwzgv,,,Ijstknxzfzsvqmy,Ytgghhaxc,O,,429859.0,5.0,2.0,Sears Holdings,9.0
