gncd,ddrssln1,stt,mddlntl,ntwrth,mrtlstts,ncm,frstnm,nmbrchldrn,mplr,nmbrcrs,cntr,phn,g,crdtrtng,wnrrntflg,nmbrcrdtcrds
dbq7518,rpikmvtgwsrsoehxgmxwypaueiaheabrf,New Brunswick,l,1229655.0,M,106025.0,IHUGYGSRDWILVOFBAKUR,5.0,Newfield Exploration,4.0,United States of America,1-924-305-1666,36.0,645.0,U,7.0
Xch7519,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Alberta,,1157831.0,W,106690.0,aefotdcronamhkzsfpvifmobgchmsp,2.0,Loews,2.0,Canada,1-450-082-2122,21.0,495.0,O,1.0
oir7520,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,PA,Z,,M,29373.0,jdeyqkerjerjpht,2.0,Apache,2.0,Canada,1-573-009-1404,4.0,371.0,O,8.0
Fqb7521,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Nova Scotia,O,,S,168189.0,Lwihnxoihqqrvjydsijd,3.0,Robert Half International,2.0,United States of America,1-603-897-9894,72.0,462.0,R,1.0
qex7522,Dmyivtczopuqajpnjqvvgbhxynvduub,RI,,3467922.0,S,264756.0,nmnervucuk,,Viacom,,United States of America,1-947-161-6502,1.0,375.0,U,7.0
Hpi7523,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,OR,,46859.0,S,44480.0,hgjkxxbf,2.0,Robert Half International,1.0,Canada,1-586-826-9847,98.0,516.0,U,10.0
Fjd7524,Esuycdxsjfbrqbtluspxsehk,CA,,2937668.0,,87207.0,Zangtryzlhmxo,5.0,CSX,1.0,Canada,1-217-243-2668,35.0,703.0,R,
Cgt7525,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,MO,,2388613.0,W,238434.0,FFJGEQD,2.0,Country Financial Services,4.0,United States of America,1-857-211-5728,99.0,734.0,O,7.0
Lwx7526,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Prince Edward Island,,3116283.0,M,,Pdcxrihnl,2.0,Procter & Gamble,0.0,United States of America,1-089-966-6281,49.0,469.0,U,4.0
epy7527,vnyndcximwxhecv,Quebec,,2671950.0,S,391354.0,Zckhcacwaelzutaodqalxyjrkh,0.0,Ingles Markets,3.0,United States of America,,72.0,595.0,O,2.0
Aff7528,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,KS,M,3899593.0,U,419165.0,sqrosgqnpifxjx,0.0,Forest Laboratories,3.0,United States of America,1-231-342-6874,41.0,410.0,O,1.0
mfc7529,,NV,S,2537332.0,W,396509.0,Erqzkkllazeobgthnmgsbtj,2.0,Dentsply International,3.0,Canada,,54.0,475.0,O,10.0
Slf7530,GVSBHGBDDVJFNNOZNNPJWCOI,TN,S,733236.0,,145161.0,Lcziayaozecoqqluasolkmmcldm,2.0,RadioShack,0.0,United States of America,1-602-637-1838,11.0,,R,2.0
Cxu7531,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,WY,,,W,263206.0,Gcnczmuxviqaxtsdzmzhtro,5.0,Century Aluminum,2.0,United States of America,1-003-982-8627,0.0,519.0,O,3.0
GZO7532,BIQIOQOHLQSTBRUFOI,British Columbia,F,3397276.0,D,190371.0,Rsoobsqytvjycob,3.0,,3.0,United States of America,1-136-358-6852,27.0,841.0,U,5.0
DRW7533,Llfaqkbemnoy,LA,A,2444257.0,U,203968.0,Pjvadgt,1.0,FPL Group,3.0,United States of America,1-123-528-2965,95.0,540.0,O,6.0
set7534,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,HI,N,71520.0,U,428323.0,GUBKOKITTSKVYM,3.0,Lockheed Martin,1.0,United States of America,1-136-565-2501,35.0,540.0,R,10.0
Pyo7535,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,NY,,1911091.0,M,159980.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1.0,Sanmina-SCI,4.0,United States of America,1-317-986-1984,96.0,,O,6.0
FSH7536,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,TX,,988775.0,W,266852.0,Kuteauo,0.0,Iron Mountain,0.0,Canada,1-265-603-1262,96.0,424.0,O,6.0
Tdx7537,,AZ,,3919363.0,M,206973.0,Hkfofpndygljbeo,5.0,OfficeMax,5.0,United States of America,,49.0,623.0,R,2.0
Sbn7538,atydogjpqphuwhegtbukkqiaeakrtrn,ME,O,428918.0,S,258221.0,Kengxgsu,1.0,AMR,5.0,Canada,1-156-668-6882,,792.0,O,4.0
Piq7539,Hlotorcbtobuceb,NH,C,58134.0,S,428508.0,Plywuoa,4.0,Kohl's,4.0,United States of America,1-164-648-3203,27.0,718.0,O,6.0
IXD7540,gsrdigbqfwrahybxrtm,KY,,3703767.0,M,,zfcwsxpjzyqelkxg,0.0,Cigna,4.0,,1-839-795-1027,98.0,401.0,O,6.0
wsn7541,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Prince Edward Island,,433859.0,M,58953.0,Yxvczhqjwgnhowiu,5.0,West,4.0,United States of America,1-958-412-4252,,557.0,R,2.0
Jkp7542,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,British Columbia,A,3002044.0,W,409682.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,Monsanto,5.0,United States of America,1-392-335-1020,56.0,393.0,O,7.0
CCF7543,,CT,,1124168.0,M,340191.0,Vfrdst,4.0,Reliant Energy,2.0,United States of America,1-912-050-7605,94.0,557.0,,10.0
ylj7544,RELJYREDKQEKGOORBLRKOUIC,WA,,2081541.0,U,238216.0,Hqcswumjvwbemosmy,5.0,Idearc,4.0,United States of America,1-075-551-9919,98.0,465.0,O,5.0
ZBB7545,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ND,V,1897076.0,M,113171.0,Ectbhkmbvwkwdbn,1.0,Neiman Marcus,0.0,Canada,1-013-611-2674,8.0,,O,6.0
fqe7546,Yewxbqpnfgh,ID,,235172.0,W,234797.0,Bdbgqpllbnrmiirpct,,O'Reilly Automotive,5.0,United States of America,1-656-865-7544,90.0,485.0,,10.0
Wpw7547,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Quebec,,639573.0,M,225322.0,Ftszluaxcsoxdfbmdd,2.0,Cliffs Natural Resources,4.0,United States of America,1-879-870-7379,34.0,303.0,,2.0
vpz7548,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,ID,,2667082.0,W,192689.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,2.0,Health Management Associates,1.0,Canada,1-366-625-9813,25.0,846.0,O,4.0
Yfz7549,VDBAVRMWFYBDZUILPKFXIVIYGFUU,AL,,2598634.0,,348685.0,Kkiolpmrgzmnjanqc,4.0,Chevron,5.0,Canada,1-359-462-7089,50.0,621.0,O,1.0
dou7550,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,UT,,1074671.0,D,401229.0,unzegilpp,4.0,Exide Technologies,3.0,United States of America,,85.0,331.0,O,
FDJ7551,hfuyqlsmbesrylepu,MS,,2272997.0,M,38597.0,xetqkitwlh,4.0,Convergys,5.0,United States of America,1-153-396-8333,60.0,401.0,R,9.0
ufu7552,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,AK,,702000.0,S,,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,Dominion Resources,2.0,United States of America,1-144-623-1308,95.0,644.0,R,0.0
bbg7553,qgjnvpwvmgsqzcanzncon,VT,H,1289800.0,M,161204.0,Yqfljvgkfucafpjpamdtcppiipc,1.0,Sentry Insurance Group,4.0,United States of America,1-269-220-8046,8.0,769.0,R,5.0
Znk7554,HNBGLUDIOAJRCCIXGDUQOO,LA,v,1007390.0,M,202650.0,mjeasoritwctufyojamzbeeoo,4.0,Cintas,3.0,,1-052-524-0130,31.0,481.0,O,2.0
CGQ7555,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CT,T,124290.0,U,,Udxaujgiratgthwkvdibgvwfo,2.0,Medtronic,1.0,Canada,1-335-871-6660,51.0,732.0,O,7.0
add7556,dnlleihfh,UT,,1820002.0,M,492433.0,GHFUKZPOKMXWZF,4.0,Pride International,4.0,United States of America,1-637-394-8083,24.0,802.0,O,2.0
Anw7557,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,IN,J,2200347.0,M,344858.0,ybtkiifyhbgchnuctnhnqspk,4.0,A. Schulman,2.0,Canada,1-706-795-4208,78.0,329.0,O,5.0
Hvt7558,Wsjaujjdexc,WI,,3669569.0,W,197290.0,Fhkymmgjsbmpduuffgavhfcxm,0.0,Oneok,5.0,United States of America,1-622-347-5699,56.0,839.0,R,0.0
Yqj7559,Ojberg,WA,d,2140537.0,U,283654.0,DEZDTMSMWKALBRPALCFIME,,Danaher,2.0,United States of America,1-042-017-9368,50.0,539.0,,
Ztn7560,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,LA,,3258909.0,M,317423.0,phoxfeiqoldgmnojmzunmargkla,5.0,Del Monte Foods,4.0,United States of America,1-829-935-5979,52.0,561.0,R,4.0
bni7561,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,VT,,1825422.0,W,399126.0,Upuabfflh,5.0,American Electric Power,4.0,United States of America,1-076-726-5283,14.0,814.0,O,2.0
swx7562,Xwtkpxqgohxwxnv,CT,,1845263.0,M,398180.0,owagfolbfwjzeg,0.0,TJX,5.0,United States of America,,29.0,305.0,R,7.0
DSA7563,Qpvmtkxxfef,RI,P,1463114.0,S,,Qdmppehqxloc,4.0,Philip Morris International,2.0,United States of America,1-284-129-5920,50.0,457.0,O,4.0
BXZ7564,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,SC,,2354683.0,U,485429.0,jqbetxkci,1.0,Cincinnati Financial,4.0,United States of America,1-128-308-8886,67.0,349.0,O,8.0
pcz7565,KRYAIAJGKHBKXBLC,British Columbia,,436677.0,M,118018.0,Wsmywgbvwspgdwhmdxsqjwqb,0.0,Stryker,2.0,United States of America,1-145-469-5971,22.0,590.0,O,0.0
Zqa7566,,CO,,2383335.0,U,309693.0,ocgwi,4.0,Kansas City Southern,5.0,United States of America,1-727-684-7767,20.0,533.0,O,0.0
Htl7567,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,TN,z,2574739.0,W,90718.0,Pcotdnngmurhkcd,0.0,IDT,4.0,Canada,1-776-201-2472,75.0,686.0,O,9.0
afw7568,VBDCWYVK,CA,L,1596838.0,U,280645.0,bvcosqzcleknjzvkygbawlc,0.0,Vornado Realty Trust,2.0,United States of America,1-767-942-1278,60.0,582.0,O,10.0
Wna7569,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,WY,,591965.0,S,231559.0,ECLENELTSXGTNWOP,4.0,Dollar General,,United States of America,1-723-062-7266,,807.0,O,0.0
Mlh7570,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,SD,,3071440.0,S,36898.0,Xdwexmrjat,5.0,Safeway,3.0,United States of America,,48.0,819.0,O,3.0
Gor7571,Gwxymofcy,British Columbia,,2683081.0,M,396786.0,xjwnvwdryqpcehelwzfhkkiuus,0.0,Apache,2.0,United States of America,1-145-314-0862,91.0,311.0,R,5.0
ENX7572,Qynjnmfgwxpmrw,NJ,,3850483.0,U,344365.0,RNBABCYAFMQPBOHXNUXMXNU,5.0,Lowe's,2.0,United States of America,1-735-104-7772,98.0,734.0,O,3.0
fgr7573,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,AK,,1870617.0,W,1205.0,Eyrtrqkljywvbcice,1.0,Lithia Motors,4.0,United States of America,,51.0,432.0,O,1.0
Ysh7574,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,OH,a,1249534.0,S,276666.0,Opybrukftspofebjmspkjsgtobzsp,0.0,CH2M Hill,5.0,United States of America,1-518-116-1411,22.0,394.0,O,3.0
Mos7575,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,New Brunswick,I,3789880.0,U,497953.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,0.0,Tellabs,0.0,United States of America,1-696-359-4829,57.0,658.0,O,1.0
czu7576,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,IL,,3874445.0,M,156048.0,kpofwgtomgijnm,2.0,Phillips-Van Heusen,1.0,Canada,1-352-678-5471,38.0,348.0,O,3.0
Ghr7577,BESJDYZDIOIXKDFEHBQXBPW,AZ,Z,437353.0,M,63617.0,Biflzgcqpqpbahquomftmjffohpwuy,5.0,Wells Fargo,1.0,United States of America,1-906-600-9749,68.0,598.0,O,8.0
Rwk7578,Ouopoqztakszwsfkthdbwndfjuqaelyd,NY,,2669917.0,U,244849.0,ybdlwlwxispyswbiegrbsqqtywxr,2.0,Vornado Realty Trust,2.0,United States of America,1-093-018-2851,93.0,505.0,O,9.0
Uwi7579,Ivwhotvobwkshcixclfobqoljlaqohw,WA,,1466537.0,S,123585.0,Capzcewdt,3.0,New York Times,4.0,United States of America,1-302-096-9321,48.0,839.0,R,7.0
VXZ7580,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,GA,,991860.0,S,391134.0,XKBLVBCCYKMIXABVTOTVPZCJRII,1.0,Adobe Systems,1.0,United States of America,1-915-044-3154,96.0,672.0,U,2.0
Ayk7581,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,AZ,p,,M,426759.0,wmknfemsztimaphftadowlmbnp,5.0,Valmont Industries,5.0,United States of America,1-040-274-3474,58.0,696.0,O,3.0
lho7582,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,NV,,1816368.0,W,451737.0,DHLVITRFJDXLTPAGMPMJ,3.0,UAL,5.0,United States of America,1-678-397-2739,63.0,448.0,O,5.0
rzi7583,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,TN,,565246.0,S,180822.0,Jdpqutldftwykfyhukveiaimoyyk,1.0,AFLAC,2.0,United States of America,1-679-345-9939,18.0,549.0,O,9.0
Wds7584,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,AL,,1899339.0,W,205843.0,Qiwemtdba,2.0,VeraSun Energy,4.0,United States of America,1-093-616-0613,40.0,705.0,O,0.0
Xsj7585,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,TX,f,3873239.0,M,470985.0,JQKEDISZ,3.0,Magellan Health Services,4.0,United States of America,1-546-131-8988,29.0,387.0,O,6.0
Lux7586,Nhgrkzjzcrjcerkwrugwul,WV,v,767547.0,U,318225.0,Gfuwa,1.0,Emcor Group,2.0,United States of America,1-477-186-7432,21.0,359.0,,7.0
wxw7587,,ND,,1027999.0,M,326044.0,CTTUYHUUMMDTX,2.0,Peabody Energy,2.0,Canada,1-965-848-6954,41.0,494.0,O,9.0
pfz7588,uiaoi,Saskatchewan,e,3428495.0,M,,Wvtqm,1.0,State Farm Insurance Cos.,1.0,United States of America,1-622-866-0937,56.0,345.0,,10.0
hlx7589,Wwonzdtvwkn,VA,,1827180.0,M,187282.0,xuwgpsvzcpxtoerndtr,0.0,Humana,2.0,United States of America,1-040-217-2014,33.0,402.0,O,10.0
nyb7590,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,ND,,2070007.0,M,,Hnnzpokbygacjjgybkskf,0.0,News Corp.,2.0,United States of America,1-101-684-2373,96.0,579.0,O,3.0
Ltt7591,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,ND,O,,,,qsnivsknktiwjpqwnrlgftnmsrxkjc,0.0,Torchmark,2.0,United States of America,1-386-426-5849,35.0,569.0,O,2.0
gsz7592,cezvfwtftwlwfrgrpxtuejvrgucexe,MS,,3596263.0,W,306946.0,pygsfvfpeofkdcugfvxdsqgmcgebfp,4.0,Rock-Tenn,0.0,United States of America,1-598-816-0126,40.0,745.0,O,9.0
Kwp7593,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,WY,,3719999.0,D,99663.0,Zgxsuo,,AGCO,0.0,,1-770-379-7700,10.0,320.0,U,1.0
AGM7594,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,MA,D,3058439.0,M,482013.0,ganifmdaqbltccwbqijtkypcetuq,4.0,,2.0,United States of America,,59.0,591.0,R,4.0
Ocn7595,Ctgihaqlm,AK,u,2592932.0,M,180476.0,IYCOMORWDFSEKN,0.0,United Stationers,1.0,United States of America,1-628-245-6238,70.0,,U,10.0
Cmw7596,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,PA,,1471273.0,M,285682.0,vdvdlfz,5.0,McCormick,4.0,United States of America,1-813-787-2611,69.0,417.0,,5.0
Dit7597,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,MA,V,,M,455032.0,Sbwymtnwzhffkwjczlsnvrtcv,5.0,National Life Group,0.0,United States of America,1-362-897-1162,96.0,338.0,R,8.0
Rmm7598,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,DC,S,2410816.0,S,356141.0,qjjwbffbgxilxyarhjwdvo,,Hasbro,3.0,United States of America,1-952-919-4878,9.0,340.0,O,9.0
ekj7599,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,RI,,1059543.0,U,165667.0,JIXUQX,3.0,Tupperware Brands,3.0,Canada,1-145-214-8009,39.0,738.0,U,5.0
wcq7600,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,MA,A,379282.0,S,459767.0,Eqrxuc,2.0,Covance,0.0,United States of America,1-328-944-9786,31.0,597.0,O,7.0
Klc7601,RSSNUTWWLOKIHRRTPEAFTLBF,Alberta,,3271265.0,M,106459.0,PDAXUXBMPOVTKJUR,2.0,Interactive Brokers Group,2.0,United States of America,1-899-864-9421,64.0,603.0,R,4.0
Jrd7602,Sachwqwddeyfxvagihsjxtcsibaejb,AR,,1530364.0,D,51021.0,Adftxl,1.0,SkyWest,,,1-877-997-8896,38.0,662.0,U,5.0
GDQ7603,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,VA,,3731860.0,W,494931.0,Gaksvvggpbleteofow,4.0,Best Buy,2.0,United States of America,1-750-900-0823,47.0,838.0,R,0.0
fnm7604,Sbutxmtwkb,OR,,2488858.0,M,429859.0,Ijstknxzfzsvqmy,2.0,Sears Holdings,5.0,United States of America,,,791.0,O,9.0
Ymu7605,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,ID,e,2301347.0,S,,jvhwyzbcwdrrqmlbvpjwbohhemm,4.0,Frontier Oil,1.0,Canada,1-347-704-7823,76.0,692.0,O,7.0
Pxj7606,mnkidgiyajigobghpnkdvauwiubpjb,IA,R,1736571.0,W,464086.0,nhhjbqktsr,3.0,Automatic Data Processing,0.0,,1-228-976-2888,60.0,673.0,O,8.0
Rsd7607,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,TN,M,2399483.0,U,207651.0,Lmhtjwddyqbzlxgv,,,3.0,Canada,,73.0,331.0,O,7.0
Qqh7608,Fmrydeogisvvtrpsfonolelpnqcbkrr,Nova Scotia,,2982744.0,U,260418.0,BXFLGQTJSJDQAUCXXJXWHTQU,,Comerica,4.0,United States of America,1-760-429-1328,37.0,744.0,O,2.0
udq7609,Xhggtfwyslxvgeiuzjfxewcsweefq,Ontario,Q,1611011.0,M,,Tlaihggmhfiuezhjgps,1.0,Baldor Electric,5.0,United States of America,1-253-879-8833,50.0,446.0,U,6.0
Ghl7610,,MD,M,2999167.0,M,316963.0,DSRXJZKFJTIVXLBAX,4.0,Commercial Metals,0.0,Canada,1-401-256-3483,0.0,,O,0.0
mtk7611,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,AR,,,W,84046.0,Annsrbdzywmpqvigpn,,,5.0,Canada,1-175-910-8245,,,O,
QIY7612,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,Saskatchewan,,3307491.0,M,368990.0,Mrawpcvb,3.0,Molina Healthcare,0.0,United States of America,1-565-191-3419,,723.0,O,9.0
Ohz7613,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,OH,,2057260.0,S,124382.0,yociu,0.0,Plains All American Pipeline,2.0,Canada,1-921-688-5401,81.0,348.0,O,2.0
djg7614,Gvdteormavfflajkedaclod,VA,,53179.0,M,9263.0,DQNVNWPYSMLDGXJVBUHUKDLRSLN,0.0,Agilent Technologies,2.0,United States of America,1-925-155-0170,52.0,666.0,O,
Iad7615,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,ID,,690086.0,M,334181.0,wfnjfn,4.0,AutoZone,2.0,United States of America,1-185-691-2951,68.0,,U,3.0
EMG7616,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,WI,H,2025465.0,M,314001.0,WWWEN,1.0,,0.0,United States of America,1-067-518-3854,,844.0,R,8.0
Hjn7617,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,MS,,695307.0,M,168309.0,Krjcfgq,4.0,Universal Health Services,1.0,Canada,1-188-554-1671,36.0,766.0,O,8.0
CYP7618,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,OK,D,3238398.0,M,322765.0,Fxmpengjsaf,4.0,Time Warner,2.0,United States of America,1-168-215-2223,31.0,521.0,O,10.0
KPN7619,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,GA,h,1213578.0,W,311253.0,Eobtk,5.0,Sealed Air,1.0,United States of America,1-228-022-3056,55.0,306.0,O,7.0
Vbi7620,Blsmawjjdmdamrhqyqgzmbkfa,TN,x,103708.0,W,140296.0,Abahrdfcbtscoblhaovnjkbx,5.0,Sprint Nextel,5.0,United States of America,1-926-766-1124,66.0,411.0,R,9.0
