prospect_gncd,prospect_ct,prospect_ddrssln2,prospect_crdtrtng,prospect_wnrrntflg,prospect_ncm,prospect_frstnm,prospect_nmbrchldrn,prospect_ntwrth,prospect_mddlntl,prospect_mplr,prospect_cntr,prospect_phn,prospect_nmbrcrs,prospect_mrtlstts,prospect_g,prospect_nmbrcrdtcrds
lql7512,Concord,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,318.0,O,307402.0,Mdwdjpdfmbqjaygkfqzqx,5.0,3348923.0,,eBay,Canada,1-268-630-3843,4.0,M,40.0,9.0
Wsk7513,Colorado Springs,ucxdpiwilpxxhv,613.0,R,,Ccbccgvldfvoqtzestvkwunn,1.0,331799.0,,Boise,United States of America,1-915-548-9541,4.0,D,8.0,4.0
Ffs7514,Mobile,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,786.0,R,432425.0,nyakrhdyxravdnhgbtol,1.0,1167013.0,v,MDU Resources Group,,1-536-880-0961,4.0,U,10.0,4.0
Kvv7515,Thousand Oaks,,,O,122041.0,NDNBTVCLKSC,3.0,3960216.0,F,Freescale Semiconductor,United States of America,1-494-335-6022,0.0,U,24.0,10.0
mpz7516,Rochester,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,623.0,O,302205.0,Zmstbluqkipzaojfsomtbdddguq,4.0,242246.0,G,Superior Energy Services,United States of America,1-814-158-3550,1.0,M,18.0,5.0
Jhc7517,Garden Grove,Havgczldcpfmwfzj,845.0,O,367555.0,dpqgvuaoijmkxsesvililpxcrwqe,1.0,1217660.0,s,Monsanto,United States of America,1-420-580-0795,1.0,S,79.0,1.0
dbq7518,Tampa,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,645.0,U,106025.0,IHUGYGSRDWILVOFBAKUR,5.0,1229655.0,l,Newfield Exploration,United States of America,1-924-305-1666,4.0,M,36.0,7.0
Xch7519,Fullerton,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,495.0,O,106690.0,aefotdcronamhkzsfpvifmobgchmsp,2.0,1157831.0,,Loews,Canada,1-450-082-2122,2.0,W,21.0,1.0
oir7520,Washington,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,371.0,O,29373.0,jdeyqkerjerjpht,2.0,,Z,Apache,Canada,1-573-009-1404,2.0,M,4.0,8.0
Fqb7521,Norfolk,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,462.0,R,168189.0,Lwihnxoihqqrvjydsijd,3.0,,O,Robert Half International,United States of America,1-603-897-9894,2.0,S,72.0,1.0
qex7522,Sydney,Rirmrpvlknyho,375.0,U,264756.0,nmnervucuk,,3467922.0,,Viacom,United States of America,1-947-161-6502,,S,1.0,7.0
Hpi7523,Winnipeg,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,516.0,U,44480.0,hgjkxxbf,2.0,46859.0,,Robert Half International,Canada,1-586-826-9847,1.0,S,98.0,10.0
Fjd7524,Wilmington,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,703.0,R,87207.0,Zangtryzlhmxo,5.0,2937668.0,,CSX,Canada,1-217-243-2668,1.0,,35.0,
Cgt7525,El Monte,Rpzwirgfyiw,734.0,O,238434.0,FFJGEQD,2.0,2388613.0,,Country Financial Services,United States of America,1-857-211-5728,4.0,W,99.0,7.0
Lwx7526,Sterling Heights,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,469.0,U,,Pdcxrihnl,2.0,3116283.0,,Procter & Gamble,United States of America,1-089-966-6281,0.0,M,49.0,4.0
epy7527,Pembroke Pines,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,595.0,O,391354.0,Zckhcacwaelzutaodqalxyjrkh,0.0,2671950.0,,Ingles Markets,United States of America,,3.0,S,72.0,2.0
Aff7528,Philadelphia,Acdrcqabtcdgmgl,410.0,O,419165.0,sqrosgqnpifxjx,0.0,3899593.0,M,Forest Laboratories,United States of America,1-231-342-6874,3.0,U,41.0,1.0
mfc7529,Glendale,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,475.0,O,396509.0,Erqzkkllazeobgthnmgsbtj,2.0,2537332.0,S,Dentsply International,Canada,,3.0,W,54.0,10.0
Slf7530,El Monte,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,R,145161.0,Lcziayaozecoqqluasolkmmcldm,2.0,733236.0,S,RadioShack,United States of America,1-602-637-1838,0.0,,11.0,2.0
Cxu7531,Warwick,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,519.0,O,263206.0,Gcnczmuxviqaxtsdzmzhtro,5.0,,,Century Aluminum,United States of America,1-003-982-8627,2.0,W,0.0,3.0
GZO7532,Milwaukee,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,841.0,U,190371.0,Rsoobsqytvjycob,3.0,3397276.0,F,,United States of America,1-136-358-6852,3.0,D,27.0,5.0
DRW7533,Phoenix,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,540.0,O,203968.0,Pjvadgt,1.0,2444257.0,A,FPL Group,United States of America,1-123-528-2965,3.0,U,95.0,6.0
set7534,Anchorage,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,540.0,R,428323.0,GUBKOKITTSKVYM,3.0,71520.0,N,Lockheed Martin,United States of America,1-136-565-2501,1.0,U,35.0,10.0
Pyo7535,Madison,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,O,159980.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1.0,1911091.0,,Sanmina-SCI,United States of America,1-317-986-1984,4.0,M,96.0,6.0
FSH7536,Fontana,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,424.0,O,266852.0,Kuteauo,0.0,988775.0,,Iron Mountain,Canada,1-265-603-1262,0.0,W,96.0,6.0
Tdx7537,Charlotte,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,623.0,R,206973.0,Hkfofpndygljbeo,5.0,3919363.0,,OfficeMax,United States of America,,5.0,M,49.0,2.0
Sbn7538,Richmond,XHQNMCEJKXOQYVSZVESLKC,792.0,O,258221.0,Kengxgsu,1.0,428918.0,O,AMR,Canada,1-156-668-6882,5.0,S,,4.0
Piq7539,Santa Clarita,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,718.0,O,428508.0,Plywuoa,4.0,58134.0,C,Kohl's,United States of America,1-164-648-3203,4.0,S,27.0,6.0
IXD7540,Yellow Knife,Toumjfbsumpgfuskpydjeibaxi,401.0,O,,zfcwsxpjzyqelkxg,0.0,3703767.0,,Cigna,,1-839-795-1027,4.0,M,98.0,6.0
wsn7541,Oxnard,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,557.0,R,58953.0,Yxvczhqjwgnhowiu,5.0,433859.0,,West,United States of America,1-958-412-4252,4.0,M,,2.0
Jkp7542,Huntington Beach,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,393.0,O,409682.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,3002044.0,A,Monsanto,United States of America,1-392-335-1020,5.0,W,56.0,7.0
CCF7543,Durham,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,557.0,,340191.0,Vfrdst,4.0,1124168.0,,Reliant Energy,United States of America,1-912-050-7605,2.0,M,94.0,10.0
ylj7544,Naperville,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,465.0,O,238216.0,Hqcswumjvwbemosmy,5.0,2081541.0,,Idearc,United States of America,1-075-551-9919,4.0,U,98.0,5.0
ZBB7545,Albuquerque,hkyochorqgtokxgozmoncalaaiw,,O,113171.0,Ectbhkmbvwkwdbn,1.0,1897076.0,V,Neiman Marcus,Canada,1-013-611-2674,0.0,M,8.0,6.0
fqe7546,Newark,Datdnghoiymltcayulgkgxywi,485.0,,234797.0,Bdbgqpllbnrmiirpct,,235172.0,,O'Reilly Automotive,United States of America,1-656-865-7544,5.0,W,90.0,10.0
Wpw7547,Miami,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,303.0,,225322.0,Ftszluaxcsoxdfbmdd,2.0,639573.0,,Cliffs Natural Resources,United States of America,1-879-870-7379,4.0,M,34.0,2.0
vpz7548,London,,846.0,O,192689.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,2.0,2667082.0,,Health Management Associates,Canada,1-366-625-9813,1.0,W,25.0,4.0
Yfz7549,Worcester,,621.0,O,348685.0,Kkiolpmrgzmnjanqc,4.0,2598634.0,,Chevron,Canada,1-359-462-7089,5.0,,50.0,1.0
dou7550,Jacksonville,,331.0,O,401229.0,unzegilpp,4.0,1074671.0,,Exide Technologies,United States of America,,3.0,D,85.0,
FDJ7551,Nashua,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,401.0,R,38597.0,xetqkitwlh,4.0,2272997.0,,Convergys,United States of America,1-153-396-8333,5.0,M,60.0,9.0
ufu7552,Newport News,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,644.0,R,,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,702000.0,,Dominion Resources,United States of America,1-144-623-1308,2.0,S,95.0,0.0
bbg7553,Corona,NBSHKLXYVUUWXEQSGXR,769.0,R,161204.0,Yqfljvgkfucafpjpamdtcppiipc,1.0,1289800.0,H,Sentry Insurance Group,United States of America,1-269-220-8046,4.0,M,8.0,5.0
Znk7554,Lincoln,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,481.0,O,202650.0,mjeasoritwctufyojamzbeeoo,4.0,1007390.0,v,Cintas,,1-052-524-0130,3.0,M,31.0,2.0
CGQ7555,Toronto,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,732.0,O,,Udxaujgiratgthwkvdibgvwfo,2.0,124290.0,T,Medtronic,Canada,1-335-871-6660,1.0,U,51.0,7.0
add7556,Fayetteville,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,802.0,O,492433.0,GHFUKZPOKMXWZF,4.0,1820002.0,,Pride International,United States of America,1-637-394-8083,4.0,M,24.0,2.0
Anw7557,Charlotte,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,329.0,O,344858.0,ybtkiifyhbgchnuctnhnqspk,4.0,2200347.0,J,A. Schulman,Canada,1-706-795-4208,2.0,M,78.0,5.0
Hvt7558,Tulsa,nqcozjievwzk,839.0,R,197290.0,Fhkymmgjsbmpduuffgavhfcxm,0.0,3669569.0,,Oneok,United States of America,1-622-347-5699,5.0,W,56.0,0.0
Yqj7559,Winston-Salem,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,539.0,,283654.0,DEZDTMSMWKALBRPALCFIME,,2140537.0,d,Danaher,United States of America,1-042-017-9368,2.0,U,50.0,
Ztn7560,Thousand Oaks,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,561.0,R,317423.0,phoxfeiqoldgmnojmzunmargkla,5.0,3258909.0,,Del Monte Foods,United States of America,1-829-935-5979,4.0,M,52.0,4.0
bni7561,Lubbock,Lfrjkyblujmbxigmylpsxieswspmei,814.0,O,399126.0,Upuabfflh,5.0,1825422.0,,American Electric Power,United States of America,1-076-726-5283,4.0,W,14.0,2.0
swx7562,Winnipeg,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,305.0,R,398180.0,owagfolbfwjzeg,0.0,1845263.0,,TJX,United States of America,,5.0,M,29.0,7.0
DSA7563,Laredo,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,457.0,O,,Qdmppehqxloc,4.0,1463114.0,P,Philip Morris International,United States of America,1-284-129-5920,2.0,S,50.0,4.0
BXZ7564,Overland Park,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,349.0,O,485429.0,jqbetxkci,1.0,2354683.0,,Cincinnati Financial,United States of America,1-128-308-8886,4.0,U,67.0,8.0
pcz7565,Calgary,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,590.0,O,118018.0,Wsmywgbvwspgdwhmdxsqjwqb,0.0,436677.0,,Stryker,United States of America,1-145-469-5971,2.0,M,22.0,0.0
Zqa7566,Peoria,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,533.0,O,309693.0,ocgwi,4.0,2383335.0,,Kansas City Southern,United States of America,1-727-684-7767,5.0,U,20.0,0.0
Htl7567,Durham,IBQIDE,686.0,O,90718.0,Pcotdnngmurhkcd,0.0,2574739.0,z,IDT,Canada,1-776-201-2472,4.0,W,75.0,9.0
afw7568,Pueblo,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,582.0,O,280645.0,bvcosqzcleknjzvkygbawlc,0.0,1596838.0,L,Vornado Realty Trust,United States of America,1-767-942-1278,2.0,U,60.0,10.0
Wna7569,Las Cruces,Lrebujnrg,807.0,O,231559.0,ECLENELTSXGTNWOP,4.0,591965.0,,Dollar General,United States of America,1-723-062-7266,,S,,0.0
Mlh7570,Chula Vista,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,819.0,O,36898.0,Xdwexmrjat,5.0,3071440.0,,Safeway,United States of America,,3.0,S,48.0,3.0
Gor7571,San Diego,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,311.0,R,396786.0,xjwnvwdryqpcehelwzfhkkiuus,0.0,2683081.0,,Apache,United States of America,1-145-314-0862,2.0,M,91.0,5.0
ENX7572,Chicago,Hxutrprq,734.0,O,344365.0,RNBABCYAFMQPBOHXNUXMXNU,5.0,3850483.0,,Lowe's,United States of America,1-735-104-7772,2.0,U,98.0,3.0
fgr7573,Worcester,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,432.0,O,1205.0,Eyrtrqkljywvbcice,1.0,1870617.0,,Lithia Motors,United States of America,,4.0,W,51.0,1.0
Ysh7574,Honolulu,JRHXPUUHAFHDPF,394.0,O,276666.0,Opybrukftspofebjmspkjsgtobzsp,0.0,1249534.0,a,CH2M Hill,United States of America,1-518-116-1411,5.0,S,22.0,3.0
Mos7575,Albuquerque,yvntcqjqqmbftwetvbqgclcdbxspvk,658.0,O,497953.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,0.0,3789880.0,I,Tellabs,United States of America,1-696-359-4829,0.0,U,57.0,1.0
czu7576,Oakland,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,348.0,O,156048.0,kpofwgtomgijnm,2.0,3874445.0,,Phillips-Van Heusen,Canada,1-352-678-5471,1.0,M,38.0,3.0
Ghr7577,Billings,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,598.0,O,63617.0,Biflzgcqpqpbahquomftmjffohpwuy,5.0,437353.0,Z,Wells Fargo,United States of America,1-906-600-9749,1.0,M,68.0,8.0
Rwk7578,Pueblo,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,505.0,O,244849.0,ybdlwlwxispyswbiegrbsqqtywxr,2.0,2669917.0,,Vornado Realty Trust,United States of America,1-093-018-2851,2.0,U,93.0,9.0
Uwi7579,Sherbrooke,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,839.0,R,123585.0,Capzcewdt,3.0,1466537.0,,New York Times,United States of America,1-302-096-9321,4.0,S,48.0,7.0
VXZ7580,Sacramento,CYQWJKJB,672.0,U,391134.0,XKBLVBCCYKMIXABVTOTVPZCJRII,1.0,991860.0,,Adobe Systems,United States of America,1-915-044-3154,1.0,S,96.0,2.0
Ayk7581,Charlotte,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,696.0,O,426759.0,wmknfemsztimaphftadowlmbnp,5.0,,p,Valmont Industries,United States of America,1-040-274-3474,5.0,M,58.0,3.0
lho7582,El Paso,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,448.0,O,451737.0,DHLVITRFJDXLTPAGMPMJ,3.0,1816368.0,,UAL,United States of America,1-678-397-2739,5.0,W,63.0,5.0
rzi7583,Mesa,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,549.0,O,180822.0,Jdpqutldftwykfyhukveiaimoyyk,1.0,565246.0,,AFLAC,United States of America,1-679-345-9939,2.0,S,18.0,9.0
Wds7584,Simi Valley,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,705.0,O,205843.0,Qiwemtdba,2.0,1899339.0,,VeraSun Energy,United States of America,1-093-616-0613,4.0,W,40.0,0.0
Xsj7585,St. Catharines,ccfzcxohrhrcnypedmhjovjyjrxi,387.0,O,470985.0,JQKEDISZ,3.0,3873239.0,f,Magellan Health Services,United States of America,1-546-131-8988,4.0,M,29.0,6.0
Lux7586,Washington,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,359.0,,318225.0,Gfuwa,1.0,767547.0,v,Emcor Group,United States of America,1-477-186-7432,2.0,U,21.0,7.0
wxw7587,Chula Vista,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,494.0,O,326044.0,CTTUYHUUMMDTX,2.0,1027999.0,,Peabody Energy,Canada,1-965-848-6954,2.0,M,41.0,9.0
pfz7588,Montpelier,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,345.0,,,Wvtqm,1.0,3428495.0,e,State Farm Insurance Cos.,United States of America,1-622-866-0937,1.0,M,56.0,10.0
hlx7589,Mesa,REHWDWEP,402.0,O,187282.0,xuwgpsvzcpxtoerndtr,0.0,1827180.0,,Humana,United States of America,1-040-217-2014,2.0,M,33.0,10.0
nyb7590,New Haven,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,579.0,O,,Hnnzpokbygacjjgybkskf,0.0,2070007.0,,News Corp.,United States of America,1-101-684-2373,2.0,M,96.0,3.0
Ltt7591,Indianapolis,DIMPFMEBDNHBCT,569.0,O,,qsnivsknktiwjpqwnrlgftnmsrxkjc,0.0,,O,Torchmark,United States of America,1-386-426-5849,2.0,,35.0,2.0
gsz7592,Stockton,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,745.0,O,306946.0,pygsfvfpeofkdcugfvxdsqgmcgebfp,4.0,3596263.0,,Rock-Tenn,United States of America,1-598-816-0126,0.0,W,40.0,9.0
Kwp7593,Louisville,DVYTEPWCABNSGPTLJEMPQLTEWM,320.0,U,99663.0,Zgxsuo,,3719999.0,,AGCO,,1-770-379-7700,0.0,D,10.0,1.0
AGM7594,Atlanta,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,591.0,R,482013.0,ganifmdaqbltccwbqijtkypcetuq,4.0,3058439.0,D,,United States of America,,2.0,M,59.0,4.0
Ocn7595,Milwaukee,,,U,180476.0,IYCOMORWDFSEKN,0.0,2592932.0,u,United Stationers,United States of America,1-628-245-6238,1.0,M,70.0,10.0
Cmw7596,Fort Smith,qlgnszfowrbrkuurrmjrfnfaeulhneecv,417.0,,285682.0,vdvdlfz,5.0,1471273.0,,McCormick,United States of America,1-813-787-2611,4.0,M,69.0,5.0
Dit7597,Knoxville,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,338.0,R,455032.0,Sbwymtnwzhffkwjczlsnvrtcv,5.0,,V,National Life Group,United States of America,1-362-897-1162,0.0,M,96.0,8.0
Rmm7598,Idaho Falls,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,340.0,O,356141.0,qjjwbffbgxilxyarhjwdvo,,2410816.0,S,Hasbro,United States of America,1-952-919-4878,3.0,S,9.0,9.0
ekj7599,Jacksonville,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,738.0,U,165667.0,JIXUQX,3.0,1059543.0,,Tupperware Brands,Canada,1-145-214-8009,3.0,U,39.0,5.0
wcq7600,Stockton,MIMWGPPF,597.0,O,459767.0,Eqrxuc,2.0,379282.0,A,Covance,United States of America,1-328-944-9786,0.0,S,31.0,7.0
Klc7601,Thousand Oaks,Xpannac,603.0,R,106459.0,PDAXUXBMPOVTKJUR,2.0,3271265.0,,Interactive Brokers Group,United States of America,1-899-864-9421,2.0,M,64.0,4.0
Jrd7602,Nashua,Pspmoftnashzvtfxfiuuzjpcvugdlvvezjgojjmvkgaqxqriw,662.0,U,51021.0,Adftxl,1.0,1530364.0,,SkyWest,,1-877-997-8896,,D,38.0,5.0
GDQ7603,Tallahassee,RUVLQHPKIECWUMXVAJLEIVCCDFYFEMUNTJAJ,838.0,R,494931.0,Gaksvvggpbleteofow,4.0,3731860.0,,Best Buy,United States of America,1-750-900-0823,2.0,W,47.0,0.0
fnm7604,Brownsville,Tgduloxjkccxdbsfdbssvgjtovxnpmmufkdwbhtgolrddejglsgeds,791.0,O,429859.0,Ijstknxzfzsvqmy,2.0,2488858.0,,Sears Holdings,United States of America,,5.0,M,,9.0
Ymu7605,Charlotte,Axjkrkrawohwcuinpapcyjweaijfinacyiwajxirccyh,692.0,O,,jvhwyzbcwdrrqmlbvpjwbohhemm,4.0,2301347.0,e,Frontier Oil,Canada,1-347-704-7823,1.0,S,76.0,7.0
Pxj7606,Oakland,WONBQPUKDIDRBXJQPKRNCTWJZIQEVS,673.0,O,464086.0,nhhjbqktsr,3.0,1736571.0,R,Automatic Data Processing,,1-228-976-2888,0.0,W,60.0,8.0
Rsd7607,Fort Wayne,Mbkljdwjmcmljajvikytmadyqikaodunvvwefxnbvjquurcokfmbhtjirkox,331.0,O,207651.0,Lmhtjwddyqbzlxgv,,2399483.0,M,,Canada,,3.0,U,73.0,7.0
Qqh7608,Chula Vista,BPPKDY,744.0,O,260418.0,BXFLGQTJSJDQAUCXXJXWHTQU,,2982744.0,,Comerica,United States of America,1-760-429-1328,4.0,U,37.0,2.0
udq7609,Peoria,eapjgyvomnplzitwttydublguuocfdcksfgxlvoziqblbgdr,446.0,U,,Tlaihggmhfiuezhjgps,1.0,1611011.0,Q,Baldor Electric,United States of America,1-253-879-8833,5.0,M,50.0,6.0
Ghl7610,Lexington,Nbhshnkkfusbintuaomfozzlzlrqvcnszantpkgtdkpeezeygucvpain,,O,316963.0,DSRXJZKFJTIVXLBAX,4.0,2999167.0,M,Commercial Metals,Canada,1-401-256-3483,0.0,M,0.0,0.0
mtk7611,Salem,Xuqmcmxaigbk,,O,84046.0,Annsrbdzywmpqvigpn,,,,,Canada,1-175-910-8245,5.0,W,,
QIY7612,San Jose,cjnjhkatetnmjfhafbopqgnqxuyyigzhvcscq,723.0,O,368990.0,Mrawpcvb,3.0,3307491.0,,Molina Healthcare,United States of America,1-565-191-3419,0.0,M,,9.0
Ohz7613,Kansas City,HBKYXCKDWMWYBLFBULAVFJRDDWSJVEIRZWMRPJI,348.0,O,124382.0,yociu,0.0,2057260.0,,Plains All American Pipeline,Canada,1-921-688-5401,2.0,S,81.0,2.0
djg7614,Windsor,EECYCMJAJGNQBRSKW,666.0,O,9263.0,DQNVNWPYSMLDGXJVBUHUKDLRSLN,0.0,53179.0,,Agilent Technologies,United States of America,1-925-155-0170,2.0,M,52.0,
Iad7615,Chicago,Gzqqapoggafoymlrsdrpgoprvegwwopsfzocffghlyukaydviarcohmehmyeirotvnrvtpi,,U,334181.0,wfnjfn,4.0,690086.0,,AutoZone,United States of America,1-185-691-2951,2.0,M,68.0,3.0
EMG7616,Evansville,hgandkyzsnb,844.0,R,314001.0,WWWEN,1.0,2025465.0,H,,United States of America,1-067-518-3854,0.0,M,,8.0
