Employer,MaritalStatus,Income,LastName,Country,Gender,NetWorth,PostalCode,NumberCreditCards,NumberChildren,Age,AddressLine2,NumberCars,AddressLine1,Phone,CreditRating,City,FirstName,State,MiddleInitial,AgencyID,OwnOrRentFlag
Broadcom,,320820.0,DIOGO,United States of America,,353495.0,91174,7.0,2.0,52.0,,2.0,22501 SUMMIT RUE,1-530-117-0497,412.0,Gary,Tracee,TX,X,DIO29,
Discover Financial Services,S,195835.0,Merrick,Canada,m,295647.0,49515,1.0,0.0,98.0,,4.0,291 frances rue,1-051-257-2719,583.0,Beaumont,CANADIAN,WA,,Mer30,O
UAL,U,108085.0,Atchison,United States of America,,408941.0,16506,5.0,3.0,47.0,,5.0,16264 sanders east,1-171-989-1363,710.0,Nashua,Oue,MN,R,Atc31,O
Charles Schwab,M,260185.0,Plamondon,United States of America,m,362523.0,94383,9.0,1.0,47.0,,2.0,16068 cantey way,1-042-705-3246,380.0,San Jose,wallie,WY,X,Pla32,O
Coach,M,258323.0,SELCHOW,United States of America,F,2102359.0,T6d 1b3,2.0,0.0,9.0,,0.0,21170 EDLOE BOULEVARD,1-098-328-2026,796.0,Nashua,Andromache,NY,E,SEL33,R
DaVita,M,79476.0,shane,United States of America,f,3480265.0,25339,2.0,3.0,85.0,,1.0,885 CROSBY LANE,1-209-754-5635,818.0,Fort Smith,THOR,SC,Z,sha34,U
Marshall & Ilsley Corp.,M,102156.0,MERWIN,United States of America,,3648900.0,V6o 1v4,3.0,3.0,81.0,,5.0,12235 jay street,1-498-781-3456,766.0,Lancaster,SALAH,MS,,MER35,U
Cablevision Systems,M,221481.0,conrad,United States of America,,1161790.0,01852,2.0,3.0,0.0,,2.0,20340 LOMBARD CRESCENT,1-615-241-0440,359.0,Colorado Springs,HOR-LAM,UT,,con36,O
Barnes & Noble,S,41836.0,onsiteteam,United States of America,M,2050587.0,78230,2.0,5.0,28.0,,1.0,22074 dexter upper,1-995-449-5200,401.0,Washington,Vania,PA,,ons37,R
EMC,U,72389.0,Summerlin,Canada,M,3579198.0,93770,0.0,1.0,65.0,,1.0,1540 MURIE RUE,1-295-673-4452,609.0,Lowell,Niel,OK,,Sum38,O
Fluor,S,66486.0,grooms,United States of America,,889494.0,m4l 1n4,2.0,0.0,20.0,,3.0,7075 glen loch drive,1-914-675-2986,630.0,Frederick,ziad,WY,F,gro39,O
Dollar General,M,200185.0,dilkie,United States of America,,2205682.0,22335,9.0,1.0,55.0,Apt. 382,3.0,11237 balmoral way,,671.0,Mesa,Claude,RI,I,dil40,O
Lear,U,289215.0,DOLSON,United States of America,,1140117.0,V6C 1T4,10.0,2.0,76.0,,0.0,8316 GARDEN BROOK NORTH,1-825-739-0336,715.0,Lakewood,AVTAR,HI,,DOL41,O
J.P. Morgan Chase & Co.,M,322484.0,Posthumus,United States of America,,1421319.0,M6t 1h3,9.0,1.0,1.0,,4.0,2240 clifton lower,1-956-713-3802,707.0,Cleveland,Donny,VA,,Pos42,O
Affinia Group Intermediate,M,83458.0,Machika,United States of America,,3525204.0,95263,0.0,2.0,3.0,,4.0,20907 NOTINGHAM LOWER,1-814-932-1579,329.0,Grand Rapids,Cocos,OK,,Mac43,O
,D,,chenoweth,United States of America,,468976.0,v5b 1p5,8.0,3.0,100.0,,0.0,601 carroll lower,1-135-443-7282,601.0,Peoria,ruud,Prince Edward Island,,che44,R
Goldman Sachs Group,W,492407.0,holbrooks,United States of America,,1685443.0,32318,2.0,1.0,81.0,,5.0,18267 state drive,1-720-975-0667,623.0,Inglewood,Belvia,SD,,hol45,O
E*Trade Financial,S,346630.0,pfieffer,United States of America,f,337564.0,93872,2.0,4.0,76.0,,4.0,9270 LEAF SOUTH,1-871-598-3505,376.0,Akron,ATHAR,OH,,pfi46,O
Pfizer,W,9572.0,elkington,Canada,,84777.0,92824,0.0,3.0,51.0,,1.0,18582 PERIMETER BOULEVARD,1-607-222-4809,560.0,Charlottetown,Cherey,MA,Y,elk47,O
Safeway,,265369.0,Labenek,United States of America,F,3146477.0,e4a 1r2,4.0,5.0,,,1.0,9612 park stream upper,1-965-046-0642,693.0,Bellevue,RAZ,MD,,Lab48,O
Simon Property Group,S,104172.0,laferriere,United States of America,,495277.0,H7G 1V4,0.0,2.0,58.0,,1.0,2803 clearwater north,1-155-441-3579,346.0,Dover,kishore,Saskatchewan,Y,laf49,U
Trinity Industries,M,65550.0,Norment,United States of America,,746904.0,85039,0.0,3.0,52.0,,0.0,11103 BISSONNET WEST,,342.0,Fullerton,Nelleke,WA,I,Nor50,O
Solutia,M,,hagar,Canada,,1219620.0,v6m 1q3,8.0,0.0,91.0,,2.0,4652 outervale lane,1-544-132-7237,563.0,Denver,sibby,OH,,hag51,R
,M,,Betcher,United States of America,m,1718910.0,X7j 1r1,4.0,3.0,17.0,,2.0,341 dunbar west,1-821-089-2089,391.0,Dallas,ericha,WY,,Bet52,O
A.O. Smith,S,66244.0,Van der,United States of America,m,,B8b 1z5,8.0,4.0,6.0,,4.0,16176 vernon drive,1-135-391-9787,381.0,San Jose,Janson,NJ,,Van53,O
AptarGroup,S,426954.0,O'LEARY,United States of America,F,2636424.0,t5d 1v4,9.0,3.0,89.0,,0.0,23131 clint way,1-776-182-6215,539.0,Bellevue,Dorotea,ND,,O'L54,U
Coca-Cola,M,126891.0,anderson,United States of America,m,1326305.0,V6t 1r2,0.0,4.0,99.0,,5.0,11640 baltic upper,1-079-780-7761,497.0,San Buenaventura,Denice,NC,,and55,O
Kimberly-Clark,M,454196.0,starks,Canada,,2241997.0,91177,,2.0,77.0,,4.0,20796 dolores drive,1-504-346-4393,661.0,St. Louis,Myron,WV,,sta56,O
Visteon,S,163940.0,CHASSE,United States of America,,1542891.0,T5c 1t1,0.0,3.0,,Apt. 275,5.0,14359 COMMERCE WEST,1-985-538-4351,558.0,Pueblo,Barby,GA,,CHA57,R
TECO Energy,W,365213.0,ASING,Canada,R,797918.0,35862,,1.0,90.0,,,21448 hampton boulevard,1-254-097-9398,534.0,Regina,Ariella,Ontario,,ASI58,O
Bemis,M,428739.0,askins,United States of America,f,347654.0,96820,6.0,0.0,82.0,,0.0,7637 pershing way,1-545-924-9552,373.0,Saskatoon,ADEY,MA,,ask59,U
Wyeth,M,142444.0,Kikuta,United States of America,,2456397.0,75238,8.0,0.0,,,4.0,11529 arcana boulevard,1-984-233-8818,382.0,Jackson,GAYEL,CA,K,Kik60,O
United Technologies,S,416168.0,Chane,United States of America,F,1284229.0,85769,10.0,3.0,15.0,,3.0,2700 windwood north,1-528-691-1642,475.0,St. Petersburg,Man,SD,,Cha61,O
Clorox,D,291420.0,KILLEN,United States of America,m,618787.0,H5i 1o9,3.0,0.0,,,2.0,22279 gramercy road,,539.0,Scottsdale,Klara,Saskatchewan,U,KIL62,O
Discovery Communications,M,413501.0,kinley,United States of America,f,1171606.0,90849,6.0,5.0,96.0,,4.0,9828 west east,1-171-807-8213,711.0,Charlotte,Abdalla,RI,,kin63,O
Williams-Sonoma,M,,MALAHER,United States of America,,3983261.0,43644,1.0,,38.0,,4.0,5935 mcafee park,1-056-241-7009,606.0,Waterbury,bal,NC,,MAL64,O
Manitowoc,W,419143.0,Odum,United States of America,,2328568.0,99213,0.0,3.0,10.0,,3.0,12460 CLAYTON STREET,1-389-414-0570,494.0,Chesapeake,Romy,SD,J,Odu65,O
Henry Schein,M,155057.0,DI NINNO,United States of America,,2078600.0,72226,3.0,5.0,72.0,,1.0,275 3rd drive,1-583-542-1656,309.0,Hialeah,KORAL,IL,,DI 66,O
Trinity Industries,M,313859.0,STUBBLEFIELD,United States of America,,2986155.0,V6Z 1Q9,3.0,5.0,97.0,,2.0,6907 FERNCLIFF CRESCENT,1-269-712-0672,630.0,Charleston,YUKIHIKO,OR,K,STU67,O
Pepsi Bottling,S,265907.0,HAMBALI,United States of America,,1864039.0,20082,10.0,1.0,48.0,,4.0,885 crosby lane,1-670-102-0463,330.0,Salem,Khanh,Ontario,,HAM68,O
UGI,S,283481.0,LIBRARIAN,Canada,m,1293721.0,35827,9.0,0.0,97.0,,,2344 kalani west,1-699-726-3895,710.0,Sacramento,Darnell,FL,,LIB69,O
Greif,M,200635.0,ohsone,United States of America,M,3850114.0,99692,7.0,0.0,73.0,,4.0,22870 LA CIENEGA STREET,1-640-666-2876,475.0,Santa Clarita,feridoun,NM,,ohs70,R
Equifax,U,434519.0,HUMMEL,United States of America,,1618743.0,V6c 1q5,3.0,1.0,71.0,APT. 143,0.0,8478 green avenue,1-540-639-1311,596.0,Sherbrooke,Magdy,NE,O,HUM71,O
,W,392315.0,BRADD,United States of America,,3383487.0,80158,9.0,1.0,93.0,,5.0,23639 purdue rue,1-285-874-8492,670.0,Colorado Springs,jiri,MI,,BRA72,O
Freescale Semiconductor,U,493829.0,Boarder,United States of America,,2981876.0,t6d 1b6,,3.0,53.0,,5.0,19202 ansley park,1-121-904-0040,722.0,Berkeley,AILA,New Brunswick,X,Boa73,O
Aleris International,U,97489.0,Mcnally,United States of America,,2109339.0,33120,7.0,2.0,32.0,,3.0,11319 devonshire rue,1-017-842-3201,587.0,San Buenaventura,Vincenzo,NJ,,Mcn74,O
,S,,MARKOVICH,United States of America,F,791803.0,99742,4.0,3.0,1.0,,4.0,23665 deerwood park,1-215-859-3206,609.0,New Haven,Minnnie,ND,,MAR75,O
World Fuel Services,S,383046.0,Willekes,United States of America,f,3523678.0,V6N 1T1,7.0,1.0,39.0,,0.0,4855 union north,1-764-520-7470,401.0,Shreveport,alfonzo,Saskatchewan,,Wil76,O
R.R. Donnelley & Sons,M,1190.0,Deacetis,United States of America,m,1681902.0,44104,0.0,0.0,77.0,,4.0,9466 SHADOWBRIAR WEST,1-414-130-0162,335.0,Lansing,Swandi,KS,S,Dea77,
Brinker International,U,85733.0,Houk,United States of America,,3851455.0,14605,7.0,5.0,18.0,,5.0,3504 regency avenue,1-970-240-9990,569.0,Pembroke Pines,Anya,SD,,Hou78,O
Temple-Inland,M,387890.0,Goyette,Canada,,2339382.0,80076,9.0,2.0,70.0,,0.0,7281 northland lower,1-408-684-6459,,Palmdale,Enrika,FL,,Goy79,R
Psychiatric Solutions,S,16808.0,Mok-fung,United States of America,f,,V6I 1V6,7.0,0.0,26.0,,2.0,12481 hayden lower,1-330-353-5908,679.0,Savannah,SONJA,Saskatchewan,Z,Mok80,O
Nash-Finch,M,304589.0,Rundle,United States of America,,2065016.0,97307,10.0,4.0,,,,2328 gracie avenue,1-766-726-2675,356.0,Amarillo,Liem,FL,I,Run81,
AMR,S,48506.0,BELLEY,United States of America,o,2454049.0,46237,9.0,5.0,58.0,,2.0,4737 campbell street,1-938-425-7509,308.0,Anchorage,COLLETTE,UT,,BEL82,R
Spartan Stores,M,,BAER,United States of America,,2423395.0,V6B 1S6,4.0,4.0,43.0,,0.0,2401 stratmore lower,1-527-308-8874,412.0,Louisville,SIAMACK,WY,Y,BAE83,O
Cigna,D,358862.0,MAULDIN,United States of America,f,1342045.0,H2d 1x1,4.0,3.0,65.0,,2.0,21477 JUNIPER CRESCENT,1-810-590-0635,618.0,Hilo,Toshihiro,NH,,MAU84,O
General Cable,S,477614.0,Koohgoli,United States of America,,861756.0,95108,5.0,3.0,24.0,,5.0,19214 YAUPON BOULEVARD,1-274-548-2512,429.0,Sudbury,Casey,AR,,Koo85,O
Dun & Bradstreet,S,175414.0,Lauriston,United States of America,,1215349.0,80050,3.0,1.0,79.0,,3.0,7785 rusk boulevard,1-649-754-4601,819.0,Orlando,Daryn,CT,,Lau86,O
Casey's General Stores,M,427598.0,Mangum,Canada,F,3981554.0,90122,7.0,1.0,48.0,,0.0,18002 cantrell upper,1-905-932-1785,552.0,Missoula,Adrianna,VT,L,Man87,O
Jack in the Box,S,368207.0,PIERCY,United States of America,,3865937.0,43614,9.0,4.0,69.0,,0.0,23341 brookside upper,1-031-004-7697,587.0,Abilene,Cortney,Manitoba,,PIE88,O
Assurant,S,449944.0,Buscaglia,United States of America,M,2804700.0,61110,6.0,1.0,91.0,,3.0,20494 ROSS WEST,1-994-812-4796,304.0,Saskatoon,Duane,NJ,,Bus89,O
Psychiatric Solutions,,166247.0,BABIONE,United States of America,,3283558.0,70174,4.0,5.0,75.0,,5.0,17552 SAVANNAH NORTH,1-176-513-4041,795.0,Irvine,Tele,KY,,BAB90,U
Danaher,S,391165.0,Burkard,United States of America,M,450524.0,90324,2.0,3.0,85.0,APT. 373,1.0,4462 pace crescent,1-072-244-6337,830.0,Reno,Ophelia,GA,,Bur91,O
Clorox,M,165854.0,Kinsella,United States of America,,,s7d 1n1,3.0,3.0,76.0,,5.0,7161 tallowood upper,1-924-669-9328,709.0,Sacramento,lorine,NJ,,Kin92,R
Boyd Gaming,S,326181.0,POMMAINVILLE,United States of America,,,93829,8.0,1.0,68.0,,2.0,3489 silver sage west,1-598-488-3541,493.0,Topeka,Viole,SC,,POM93,O
Eaton,M,173387.0,BOATWRIGHT,United States of America,M,633760.0,89116,,,95.0,,3.0,12481 hayden lower,1-295-539-3868,680.0,Rancho Cucamonga,Nani,TN,,BOA94,O
Dynegy,M,301127.0,Ronald,United States of America,,3634954.0,94315,,5.0,15.0,,1.0,13210 3RD DRIVE,1-554-020-0267,800.0,Hilo,cherey,WY,R,Ron95,R
AmeriCredit,M,487230.0,weihs,United States of America,,799268.0,T5b 1u9,4.0,5.0,17.0,,1.0,8899 starling lane,1-793-621-4566,614.0,Saint John,Redgie,Ontario,A,wei96,R
SLM,,425747.0,Helpb,Canada,M,39093.0,T6b 1a5,6.0,0.0,94.0,,4.0,11480 fennel south,1-787-267-4261,763.0,Torrance,Yousef,DC,P,Hel97,R
NV Energy,S,401946.0,moghe,United States of America,m,2705353.0,60699,3.0,4.0,70.0,,4.0,7266 cherry upper,1-668-247-1597,561.0,Santa Clara,Damaris,Alberta,,mog98,O
Landstar System,S,425422.0,bozicevich,United States of America,,3565153.0,V6p 1s8,4.0,2.0,29.0,,1.0,10678 ENGLEWOOD WEST,1-901-346-8890,569.0,Torrance,Ilyssa,ME,,boz99,O
Pacific Life,M,208890.0,Zaharychuk,United States of America,,2832204.0,v6i 1p1,5.0,1.0,52.0,,4.0,21181 2ND RUE,1-451-273-3803,634.0,Stockton,Moselle,MA,R,Zah100,O
Textron,U,67880.0,Andric,United States of America,F,2194345.0,79423,10.0,3.0,51.0,,5.0,22963 hanover road,1-129-499-9136,488.0,Paterson,Dulsea,NV,,And101,O
Pfizer,W,133412.0,Bamfo,Canada,,3737140.0,H5j 1o6,5.0,3.0,24.0,,2.0,8268 cliffbrook boulevard,1-899-319-0772,788.0,Mesa,Lyndsie,WA,L,Bam102,O
Cigna,D,144829.0,frondozo,United States of America,,464753.0,93761,8.0,4.0,98.0,,3.0,5118 montview court,1-053-396-0441,333.0,Anchorage,KESLEY,WY,,fro103,O
Ameren,M,,Caron,United States of America,,596696.0,76150,,1.0,59.0,,1.0,17442 tallowood upper,1-239-665-9540,601.0,Miami,LAUREL,NJ,J,Car104,U
Consolidated Edison,U,143682.0,muchow,Canada,f,1504753.0,99717,2.0,4.0,49.0,,3.0,4038 WEDGEWOOD STREET,1-605-888-3403,595.0,Great Falls,Steen,LA,V,muc105,O
Occidental Petroleum,U,350020.0,gateau,United States of America,,3049281.0,60608,10.0,1.0,1.0,,0.0,20334 anaconda avenue,1-630-604-2543,433.0,Erie,noel,TX,,gat106,O
Sherwin-Williams,U,435103.0,Schaefer,United States of America,F,247478.0,v6w 1u4,10.0,,79.0,,0.0,5385 young west,1-851-862-7928,403.0,Hollywood,Tracey,SC,M,Sch107,O
Affiliated Computer Services,,207768.0,pomerleau,United States of America,,2750301.0,T5b 1t6,3.0,5.0,6.0,,1.0,2747 SINCLAIR LANE,1-065-415-5724,615.0,Tulsa,Sarajane,TX,,pom108,R
Valassis Communications,M,407512.0,cucuzzella,United States of America,F,721333.0,23298,1.0,4.0,70.0,,0.0,8622 BROWNWAY PARK,1-408-512-1007,735.0,Tucson,Geoffrey,MN,K,cuc109,O
,S,403366.0,SUGARMAN,United States of America,q,669440.0,32803,1.0,0.0,23.0,,3.0,18048 GREEN NORTH,1-083-902-4184,668.0,Anchorage,loralyn,ID,Z,SUG110,O
Smithfield Foods,M,384095.0,Pepe,Canada,,2473979.0,64122,,5.0,78.0,,3.0,18994 country boulevard,1-568-403-7081,349.0,Sandy,andrei,MI,,Pep111,O
,S,288969.0,Chandrashekar,United States of America,f,3545170.0,T6b 1h2,,,79.0,SUITE 7,4.0,16063 ashland road,1-824-389-0618,654.0,Boston,javad,OK,,Cha112,
TD Ameritrade,U,233665.0,SEIFERS,United States of America,m,1494871.0,22222,6.0,3.0,72.0,Apt. 971,2.0,19309 mcfarlin north,1-174-210-2058,361.0,Vancouver,Karna,UT,U,SEI113,O
Comerica,S,147236.0,GARTLEY,Canada,F,436164.0,T6a 1d2,1.0,0.0,31.0,,4.0,2454 cliffbrook west,1-425-503-7952,427.0,Akron,Jocelyn,PA,S,GAR114,U
Steel Dynamics,W,452557.0,Touchette,United States of America,M,1069481.0,v5d 1n9,1.0,3.0,86.0,,0.0,15865 strand west,1-012-389-9089,322.0,Lancaster,Elvera,New Brunswick,,Tou115,O
Coca-Cola Enterprises,S,179305.0,Kurdziel,United States of America,M,,23321,9.0,0.0,,,2.0,13776 east boulevard,1-909-472-6704,792.0,Concord,Nessy,UT,V,Kur116,R
News Corp.,U,205817.0,Herod,Canada,,2957261.0,90505,2.0,0.0,87.0,,3.0,10570 WEIZMANN LOWER,1-622-167-5411,478.0,Chesapeake,lona,VA,,Her117,O
,M,262711.0,MCVICAR,United States of America,,228459.0,19066,1.0,5.0,92.0,,,15278 walnut hill road,1-164-511-9338,477.0,Flint,RHEA,NH,P,MCV118,O
Stater Bros. Holdings,M,84810.0,LABFIVE,Canada,F,67267.0,v6s 1r3,6.0,5.0,4.0,,1.0,23007 WAKEFOREST WAY,1-804-532-9163,449.0,Chattanooga,Josefa,VT,,LAB119,O
BorgWarner,U,96441.0,butta,United States of America,,1087978.0,78769,2.0,4.0,8.0,,2.0,9088 rivas way,1-197-370-0297,466.0,Billings,alikee,FL,,but120,O
CB Richard Ellis Group,M,462762.0,Projects,United States of America,m,3885967.0,53769,2.0,5.0,97.0,,0.0,18798 ullrich road,1-337-042-5687,483.0,Scottsdale,dolorita,NC,,Pro121,O
Zimmer Holdings,D,141890.0,Irc,United States of America,,3271101.0,H7E 1U6,4.0,4.0,,,5.0,18517 HULEN LOWER,1-056-138-5321,588.0,Oshawa,Marilyn,VA,,Irc122,O
Mohawk Industries,,156610.0,Zivkovic,Canada,,,e7o 1k1,2.0,5.0,40.0,,5.0,11474 dodd lane,1-776-191-2031,313.0,Naperville,robertson,DC,G,Ziv123,O
Berkshire Hathaway,U,164752.0,simser,United States of America,,1999133.0,90374,1.0,4.0,95.0,,1.0,9375 wood south,1-280-696-2706,647.0,Tampa,Ilsa,NC,H,sim124,R
Saks,S,278949.0,keifer,United States of America,,1100786.0,63169,2.0,5.0,92.0,,1.0,20479 wise avenue,1-857-581-6346,430.0,Jackson,Pen,MS,I,kei125,O
Gardner Denver,W,,arvin,United States of America,f,563992.0,16515,8.0,5.0,67.0,,0.0,19918 ROGERS NORTH,,467.0,Hay River,AUBRETTE,SC,P,arv126,O
Hasbro,M,463736.0,Praeuner,United States of America,F,962397.0,85309,7.0,2.0,24.0,,3.0,9284 coffey lower,1-716-343-0884,399.0,Irvine,Cole,KS,,Pra127,O
CBS,M,,lue,United States of America,m,1064169.0,92158,5.0,3.0,26.0,,2.0,2929 north crescent,1-101-776-2496,654.0,Idaho Falls,liva,VT,C,lue128,O
Synnex,S,86667.0,Przybycien,United States of America,f,2100059.0,33152,3.0,0.0,62.0,,2.0,15404 queen street,1-769-028-0589,378.0,Moreno Valley,Ayaz,IL,,Prz129,O
Belden,W,193470.0,penn,United States of America,f,99025.0,83729,10.0,1.0,37.0,,5.0,1619 greenspoint road,1-005-833-8970,338.0,Ontario,YETTY,FL,J,pen130,O
Broadcom,S,406379.0,Guay,United States of America,,3865481.0,B8b 1z6,10.0,0.0,71.0,,5.0,21477 WARREN PARK,1-884-215-4243,695.0,Concord,Mary-michelle,MI,S,Gua131,R
Reynolds American,M,480595.0,brennand,Canada,F,804544.0,53717,7.0,3.0,29.0,,1.0,6503 ROBBINS STREET,,614.0,Phoenix,agretha,Newfoundland,,bre132,U
Wells Fargo,S,181718.0,Savanh,United States of America,f,3143356.0,t5c 1w7,7.0,5.0,89.0,,4.0,3958 GLEN LOCH BOULEVARD,1-725-177-7815,307.0,Coral Springs,LOTTY,ME,X,Sav133,O
Retail Ventures,M,468310.0,ABBATANTUONO,United States of America,,,37245,2.0,3.0,11.0,,0.0,13640 ethridge lower,1-277-496-5396,331.0,Oxnard,Kassey,AL,Z,ABB134,O
AT&T,S,354987.0,OP,United States of America,M,2311953.0,94401,2.0,0.0,20.0,,2.0,3981 imperial lower,1-756-463-2201,638.0,Brownsville,Adria,IN,N,OP135,O
Wynn Resorts,W,284539.0,Mersinger,Canada,,3120608.0,B8a 1y3,3.0,5.0,75.0,,3.0,13210 3rd drive,1-261-338-7463,703.0,Memphis,audivox,NH,,Mer136,O
Eastman Kodak,S,213725.0,rutt,United States of America,F,2058270.0,t6b 1k2,7.0,5.0,95.0,,0.0,9297 THROCKMORTON SOUTH,1-811-086-4675,302.0,Flint,SUE,DC,,rut137,O
Aramark,U,74195.0,bemis,United States of America,,1511983.0,85306,,3.0,0.0,,2.0,8935 YOUNG UPPER,1-338-771-1185,522.0,Lafayette,Lorenza,DC,I,bem138,O
ENSCO International,M,169295.0,Pennington,United States of America,,439080.0,V6R 1R7,,1.0,73.0,,5.0,3797 RUTGERS PARK,1-554-231-5318,,Greensboro,Enzo,MD,,Pen139,O
Auto-Owners Insurance,W,307832.0,torok,United States of America,M,921255.0,68513,5.0,0.0,39.0,,1.0,8285 tamarind crescent,1-733-886-5227,833.0,Sterling Heights,claudina,Prince Edward Island,Y,tor140,R
