gncd,ddrssln1,nmbrcrs,wnrrntflg,gndr,lstnm,ncm,nmbrchldrn,mrtlstts,g,crdtrtng,mplr,nmbrcrdtcrds,ntwrth
De 18,1111 norden street,2.0,O,,De witte,72444.0,3.0,M,85.0,848.0,Gardner Denver,6.0,2789368.0
Mck19,2798 1st east,3.0,R,m,Mckeegan,77290.0,3.0,U,86.0,843.0,Family Dollar Stores,8.0,2784776.0
WIN20,11358 elle lee street,2.0,R,M,WINTERS,395066.0,0.0,U,59.0,,,,288747.0
BIT21,21074 MALLORY LOWER,5.0,O,,BITTMAN,119283.0,3.0,U,94.0,300.0,Sun Microsystems,0.0,876575.0
luz22,16124 weyland park,1.0,O,f,luzarraga,330991.0,1.0,U,,795.0,Costco Wholesale,8.0,2041224.0
don23,23822 marvin crescent,4.0,U,,donovan,,0.0,,5.0,367.0,Illinois Tool Works,5.0,2231509.0
Gia24,2203 valita boulevard,1.0,O,,Giallo,252031.0,5.0,M,23.0,507.0,Southern Union,1.0,3206409.0
SPR25,11538 COLLINWOOD AVENUE,3.0,O,M,SPRUELL,101800.0,1.0,M,61.0,362.0,Moog,9.0,3850037.0
SKA26,7818 EAST STREET,0.0,O,F,SKALSKI,436977.0,1.0,D,,527.0,Old Republic International,7.0,528440.0
Gar27,10013 shaw road,0.0,O,m,Gargul,495334.0,,S,51.0,354.0,,0.0,597140.0
Dor28,6802 AMES STREET,1.0,O,,Dore,274685.0,1.0,M,97.0,511.0,Great Plains Energy,1.0,146931.0
DIO29,22501 SUMMIT RUE,2.0,,,DIOGO,320820.0,2.0,,52.0,412.0,Broadcom,7.0,353495.0
Mer30,291 frances rue,4.0,O,m,Merrick,195835.0,0.0,S,98.0,583.0,Discover Financial Services,1.0,295647.0
Atc31,16264 sanders east,5.0,O,,Atchison,108085.0,3.0,U,47.0,710.0,UAL,5.0,408941.0
Pla32,16068 cantey way,2.0,O,m,Plamondon,260185.0,1.0,M,47.0,380.0,Charles Schwab,9.0,362523.0
SEL33,21170 EDLOE BOULEVARD,0.0,R,F,SELCHOW,258323.0,0.0,M,9.0,796.0,Coach,2.0,2102359.0
sha34,885 CROSBY LANE,1.0,U,f,shane,79476.0,3.0,M,85.0,818.0,DaVita,2.0,3480265.0
MER35,12235 jay street,5.0,U,,MERWIN,102156.0,3.0,M,81.0,766.0,Marshall & Ilsley Corp.,3.0,3648900.0
con36,20340 LOMBARD CRESCENT,2.0,O,,conrad,221481.0,3.0,M,0.0,359.0,Cablevision Systems,2.0,1161790.0
ons37,22074 dexter upper,1.0,R,M,onsiteteam,41836.0,5.0,S,28.0,401.0,Barnes & Noble,2.0,2050587.0
Sum38,1540 MURIE RUE,1.0,O,M,Summerlin,72389.0,1.0,U,65.0,609.0,EMC,0.0,3579198.0
gro39,7075 glen loch drive,3.0,O,,grooms,66486.0,0.0,S,20.0,630.0,Fluor,2.0,889494.0
dil40,11237 balmoral way,3.0,O,,dilkie,200185.0,1.0,M,55.0,671.0,Dollar General,9.0,2205682.0
DOL41,8316 GARDEN BROOK NORTH,0.0,O,,DOLSON,289215.0,2.0,U,76.0,715.0,Lear,10.0,1140117.0
Pos42,2240 clifton lower,4.0,O,,Posthumus,322484.0,1.0,M,1.0,707.0,J.P. Morgan Chase & Co.,9.0,1421319.0
Mac43,20907 NOTINGHAM LOWER,4.0,O,,Machika,83458.0,2.0,M,3.0,329.0,Affinia Group Intermediate,0.0,3525204.0
che44,601 carroll lower,0.0,R,,chenoweth,,3.0,D,100.0,601.0,,8.0,468976.0
hol45,18267 state drive,5.0,O,,holbrooks,492407.0,1.0,W,81.0,623.0,Goldman Sachs Group,2.0,1685443.0
pfi46,9270 LEAF SOUTH,4.0,O,f,pfieffer,346630.0,4.0,S,76.0,376.0,E*Trade Financial,2.0,337564.0
elk47,18582 PERIMETER BOULEVARD,1.0,O,,elkington,9572.0,3.0,W,51.0,560.0,Pfizer,0.0,84777.0
Lab48,9612 park stream upper,1.0,O,F,Labenek,265369.0,5.0,,,693.0,Safeway,4.0,3146477.0
laf49,2803 clearwater north,1.0,U,,laferriere,104172.0,2.0,S,58.0,346.0,Simon Property Group,0.0,495277.0
Nor50,11103 BISSONNET WEST,0.0,O,,Norment,65550.0,3.0,M,52.0,342.0,Trinity Industries,0.0,746904.0
hag51,4652 outervale lane,2.0,R,,hagar,,0.0,M,91.0,563.0,Solutia,8.0,1219620.0
Bet52,341 dunbar west,2.0,O,m,Betcher,,3.0,M,17.0,391.0,,4.0,1718910.0
Van53,16176 vernon drive,4.0,O,m,Van der,66244.0,4.0,S,6.0,381.0,A.O. Smith,8.0,
O'L54,23131 clint way,0.0,U,F,O'LEARY,426954.0,3.0,S,89.0,539.0,AptarGroup,9.0,2636424.0
and55,11640 baltic upper,5.0,O,m,anderson,126891.0,4.0,M,99.0,497.0,Coca-Cola,0.0,1326305.0
sta56,20796 dolores drive,4.0,O,,starks,454196.0,2.0,M,77.0,661.0,Kimberly-Clark,,2241997.0
CHA57,14359 COMMERCE WEST,5.0,R,,CHASSE,163940.0,3.0,S,,558.0,Visteon,0.0,1542891.0
ASI58,21448 hampton boulevard,,O,R,ASING,365213.0,1.0,W,90.0,534.0,TECO Energy,,797918.0
ask59,7637 pershing way,0.0,U,f,askins,428739.0,0.0,M,82.0,373.0,Bemis,6.0,347654.0
Kik60,11529 arcana boulevard,4.0,O,,Kikuta,142444.0,0.0,M,,382.0,Wyeth,8.0,2456397.0
Cha61,2700 windwood north,3.0,O,F,Chane,416168.0,3.0,S,15.0,475.0,United Technologies,10.0,1284229.0
KIL62,22279 gramercy road,2.0,O,m,KILLEN,291420.0,0.0,D,,539.0,Clorox,3.0,618787.0
kin63,9828 west east,4.0,O,f,kinley,413501.0,5.0,M,96.0,711.0,Discovery Communications,6.0,1171606.0
MAL64,5935 mcafee park,4.0,O,,MALAHER,,,M,38.0,606.0,Williams-Sonoma,1.0,3983261.0
Odu65,12460 CLAYTON STREET,3.0,O,,Odum,419143.0,3.0,W,10.0,494.0,Manitowoc,0.0,2328568.0
DI 66,275 3rd drive,1.0,O,,DI NINNO,155057.0,5.0,M,72.0,309.0,Henry Schein,3.0,2078600.0
STU67,6907 FERNCLIFF CRESCENT,2.0,O,,STUBBLEFIELD,313859.0,5.0,M,97.0,630.0,Trinity Industries,3.0,2986155.0
HAM68,885 crosby lane,4.0,O,,HAMBALI,265907.0,1.0,S,48.0,330.0,Pepsi Bottling,10.0,1864039.0
LIB69,2344 kalani west,,O,m,LIBRARIAN,283481.0,0.0,S,97.0,710.0,UGI,9.0,1293721.0
ohs70,22870 LA CIENEGA STREET,4.0,R,M,ohsone,200635.0,0.0,M,73.0,475.0,Greif,7.0,3850114.0
HUM71,8478 green avenue,0.0,O,,HUMMEL,434519.0,1.0,U,71.0,596.0,Equifax,3.0,1618743.0
BRA72,23639 purdue rue,5.0,O,,BRADD,392315.0,1.0,W,93.0,670.0,,9.0,3383487.0
Boa73,19202 ansley park,5.0,O,,Boarder,493829.0,3.0,U,53.0,722.0,Freescale Semiconductor,,2981876.0
Mcn74,11319 devonshire rue,3.0,O,,Mcnally,97489.0,2.0,U,32.0,587.0,Aleris International,7.0,2109339.0
MAR75,23665 deerwood park,4.0,O,F,MARKOVICH,,3.0,S,1.0,609.0,,4.0,791803.0
Wil76,4855 union north,0.0,O,f,Willekes,383046.0,1.0,S,39.0,401.0,World Fuel Services,7.0,3523678.0
Dea77,9466 SHADOWBRIAR WEST,4.0,,m,Deacetis,1190.0,0.0,M,77.0,335.0,R.R. Donnelley & Sons,0.0,1681902.0
Hou78,3504 regency avenue,5.0,O,,Houk,85733.0,5.0,U,18.0,569.0,Brinker International,7.0,3851455.0
Goy79,7281 northland lower,0.0,R,,Goyette,387890.0,2.0,M,70.0,,Temple-Inland,9.0,2339382.0
Mok80,12481 hayden lower,2.0,O,f,Mok-fung,16808.0,0.0,S,26.0,679.0,Psychiatric Solutions,7.0,
Run81,2328 gracie avenue,,,,Rundle,304589.0,4.0,M,,356.0,Nash-Finch,10.0,2065016.0
BEL82,4737 campbell street,2.0,R,o,BELLEY,48506.0,5.0,S,58.0,308.0,AMR,9.0,2454049.0
BAE83,2401 stratmore lower,0.0,O,,BAER,,4.0,M,43.0,412.0,Spartan Stores,4.0,2423395.0
MAU84,21477 JUNIPER CRESCENT,2.0,O,f,MAULDIN,358862.0,3.0,D,65.0,618.0,Cigna,4.0,1342045.0
Koo85,19214 YAUPON BOULEVARD,5.0,O,,Koohgoli,477614.0,3.0,S,24.0,429.0,General Cable,5.0,861756.0
Lau86,7785 rusk boulevard,3.0,O,,Lauriston,175414.0,1.0,S,79.0,819.0,Dun & Bradstreet,3.0,1215349.0
Man87,18002 cantrell upper,0.0,O,F,Mangum,427598.0,1.0,M,48.0,552.0,Casey's General Stores,7.0,3981554.0
PIE88,23341 brookside upper,0.0,O,,PIERCY,368207.0,4.0,S,69.0,587.0,Jack in the Box,9.0,3865937.0
Bus89,20494 ROSS WEST,3.0,O,M,Buscaglia,449944.0,1.0,S,91.0,304.0,Assurant,6.0,2804700.0
BAB90,17552 SAVANNAH NORTH,5.0,U,,BABIONE,166247.0,5.0,,75.0,795.0,Psychiatric Solutions,4.0,3283558.0
Bur91,4462 pace crescent,1.0,O,M,Burkard,391165.0,3.0,S,85.0,830.0,Danaher,2.0,450524.0
Kin92,7161 tallowood upper,5.0,R,,Kinsella,165854.0,3.0,M,76.0,709.0,Clorox,3.0,
POM93,3489 silver sage west,2.0,O,,POMMAINVILLE,326181.0,1.0,S,68.0,493.0,Boyd Gaming,8.0,
BOA94,12481 hayden lower,3.0,O,M,BOATWRIGHT,173387.0,,M,95.0,680.0,Eaton,,633760.0
Ron95,13210 3RD DRIVE,1.0,R,,Ronald,301127.0,5.0,M,15.0,800.0,Dynegy,,3634954.0
wei96,8899 starling lane,1.0,R,,weihs,487230.0,5.0,M,17.0,614.0,AmeriCredit,4.0,799268.0
Hel97,11480 fennel south,4.0,R,M,Helpb,425747.0,0.0,,94.0,763.0,SLM,6.0,39093.0
mog98,7266 cherry upper,4.0,O,m,moghe,401946.0,4.0,S,70.0,561.0,NV Energy,3.0,2705353.0
boz99,10678 ENGLEWOOD WEST,1.0,O,,bozicevich,425422.0,2.0,S,29.0,569.0,Landstar System,4.0,3565153.0
Zah100,21181 2ND RUE,4.0,O,,Zaharychuk,208890.0,1.0,M,52.0,634.0,Pacific Life,5.0,2832204.0
And101,22963 hanover road,5.0,O,F,Andric,67880.0,3.0,U,51.0,488.0,Textron,10.0,2194345.0
Bam102,8268 cliffbrook boulevard,2.0,O,,Bamfo,133412.0,3.0,W,24.0,788.0,Pfizer,5.0,3737140.0
fro103,5118 montview court,3.0,O,,frondozo,144829.0,4.0,D,98.0,333.0,Cigna,8.0,464753.0
Car104,17442 tallowood upper,1.0,U,,Caron,,1.0,M,59.0,601.0,Ameren,,596696.0
muc105,4038 WEDGEWOOD STREET,3.0,O,f,muchow,143682.0,4.0,U,49.0,595.0,Consolidated Edison,2.0,1504753.0
gat106,20334 anaconda avenue,0.0,O,,gateau,350020.0,1.0,U,1.0,433.0,Occidental Petroleum,10.0,3049281.0
Sch107,5385 young west,0.0,O,F,Schaefer,435103.0,,U,79.0,403.0,Sherwin-Williams,10.0,247478.0
pom108,2747 SINCLAIR LANE,1.0,R,,pomerleau,207768.0,5.0,,6.0,615.0,Affiliated Computer Services,3.0,2750301.0
cuc109,8622 BROWNWAY PARK,0.0,O,F,cucuzzella,407512.0,4.0,M,70.0,735.0,Valassis Communications,1.0,721333.0
SUG110,18048 GREEN NORTH,3.0,O,q,SUGARMAN,403366.0,0.0,S,23.0,668.0,,1.0,669440.0
Pep111,18994 country boulevard,3.0,O,,Pepe,384095.0,5.0,M,78.0,349.0,Smithfield Foods,,2473979.0
Cha112,16063 ashland road,4.0,,f,Chandrashekar,288969.0,,S,79.0,654.0,,,3545170.0
SEI113,19309 mcfarlin north,2.0,O,m,SEIFERS,233665.0,3.0,U,72.0,361.0,TD Ameritrade,6.0,1494871.0
GAR114,2454 cliffbrook west,4.0,U,F,GARTLEY,147236.0,0.0,S,31.0,427.0,Comerica,1.0,436164.0
Tou115,15865 strand west,0.0,O,M,Touchette,452557.0,3.0,W,86.0,322.0,Steel Dynamics,1.0,1069481.0
Kur116,13776 east boulevard,2.0,R,M,Kurdziel,179305.0,0.0,S,,792.0,Coca-Cola Enterprises,9.0,
Her117,10570 WEIZMANN LOWER,3.0,O,,Herod,205817.0,0.0,U,87.0,478.0,News Corp.,2.0,2957261.0
MCV118,15278 walnut hill road,,O,,MCVICAR,262711.0,5.0,M,92.0,477.0,,1.0,228459.0
LAB119,23007 WAKEFOREST WAY,1.0,O,F,LABFIVE,84810.0,5.0,M,4.0,449.0,Stater Bros. Holdings,6.0,67267.0
but120,9088 rivas way,2.0,O,,butta,96441.0,4.0,U,8.0,466.0,BorgWarner,2.0,1087978.0
Pro121,18798 ullrich road,0.0,O,m,Projects,462762.0,5.0,M,97.0,483.0,CB Richard Ellis Group,2.0,3885967.0
Irc122,18517 HULEN LOWER,5.0,O,,Irc,141890.0,4.0,D,,588.0,Zimmer Holdings,4.0,3271101.0
Ziv123,11474 dodd lane,5.0,O,,Zivkovic,156610.0,5.0,,40.0,313.0,Mohawk Industries,2.0,
sim124,9375 wood south,1.0,R,,simser,164752.0,4.0,U,95.0,647.0,Berkshire Hathaway,1.0,1999133.0
kei125,20479 wise avenue,1.0,O,,keifer,278949.0,5.0,S,92.0,430.0,Saks,2.0,1100786.0
arv126,19918 ROGERS NORTH,0.0,O,f,arvin,,5.0,W,67.0,467.0,Gardner Denver,8.0,563992.0
Pra127,9284 coffey lower,3.0,O,F,Praeuner,463736.0,2.0,M,24.0,399.0,Hasbro,7.0,962397.0
lue128,2929 north crescent,2.0,O,m,lue,,3.0,M,26.0,654.0,CBS,5.0,1064169.0
Prz129,15404 queen street,2.0,O,f,Przybycien,86667.0,0.0,S,62.0,378.0,Synnex,3.0,2100059.0
pen130,1619 greenspoint road,5.0,O,f,penn,193470.0,1.0,W,37.0,338.0,Belden,10.0,99025.0
Gua131,21477 WARREN PARK,5.0,R,,Guay,406379.0,0.0,S,71.0,695.0,Broadcom,10.0,3865481.0
bre132,6503 ROBBINS STREET,1.0,U,F,brennand,480595.0,3.0,M,29.0,614.0,Reynolds American,7.0,804544.0
Sav133,3958 GLEN LOCH BOULEVARD,4.0,O,f,Savanh,181718.0,5.0,S,89.0,307.0,Wells Fargo,7.0,3143356.0
ABB134,13640 ethridge lower,0.0,O,,ABBATANTUONO,468310.0,3.0,M,11.0,331.0,Retail Ventures,2.0,
OP135,3981 imperial lower,2.0,O,M,OP,354987.0,0.0,S,20.0,638.0,AT&T,2.0,2311953.0
Mer136,13210 3rd drive,3.0,O,,Mersinger,284539.0,5.0,W,75.0,703.0,Wynn Resorts,3.0,3120608.0
rut137,9297 THROCKMORTON SOUTH,0.0,O,F,rutt,213725.0,5.0,S,95.0,302.0,Eastman Kodak,7.0,2058270.0
bem138,8935 YOUNG UPPER,2.0,O,,bemis,74195.0,3.0,U,0.0,522.0,Aramark,,1511983.0
Pen139,3797 RUTGERS PARK,5.0,O,,Pennington,169295.0,1.0,M,73.0,,ENSCO International,,439080.0
tor140,8285 tamarind crescent,1.0,R,M,torok,307832.0,0.0,W,39.0,833.0,Auto-Owners Insurance,5.0,921255.0
law141,20025 routh crescent,1.0,O,m,lawlis,20397.0,1.0,U,76.0,,Bemis,2.0,3810365.0
Bee142,4144 LAKE PARK LANE,2.0,O,m,Beebe,463094.0,2.0,U,5.0,664.0,Securian Financial Group,6.0,2641938.0
sch143,3375 sakowitz lane,4.0,O,m,schlange,331900.0,1.0,U,65.0,789.0,Ford Motor,7.0,3857323.0
Wit144,7255 berry way,5.0,U,,Witchlow,8421.0,0.0,S,94.0,803.0,ConAgra Foods,0.0,1636212.0
MER145,3131 WATHAN SOUTH,4.0,,F,MEREDITH,35780.0,4.0,M,95.0,720.0,Charter Communications,3.0,2999082.0
bia146,18440 RYAN NORTH,1.0,R,m,bialkenius,139897.0,0.0,M,28.0,839.0,Calpine,4.0,2280820.0
Swi147,13222 glen loch road,4.0,O,m,Swiat,414119.0,1.0,D,76.0,621.0,Crane,0.0,1050866.0
bul148,7889 MURRAY WAY,5.0,O,,bullinger,234035.0,4.0,D,81.0,628.0,Textron,3.0,
TYR149,7527 whale drive,3.0,O,F,TYRRELL,144405.0,5.0,W,38.0,813.0,Idearc,6.0,603001.0
Fyf150,17788 eagle trace park,5.0,R,,Fyfe,55441.0,3.0,W,25.0,367.0,Cabela's,3.0,3368239.0
Sic151,7661 GRANT WAY,4.0,O,,Sicard,392869.0,2.0,D,0.0,807.0,EOG Resources,10.0,1042629.0
CAS152,4806 crystal hills street,3.0,O,F,CASTEN,402416.0,4.0,U,61.0,501.0,,8.0,1948746.0
Cho153,4211 WILLS NORTH,0.0,O,,Choy,89984.0,2.0,U,3.0,490.0,Burlington Coat Factory,10.0,3113862.0
CHA154,7524 linberg north,2.0,O,,CHACKO,395773.0,3.0,W,77.0,321.0,Southwest Airlines,3.0,2777290.0
bei155,14266 lemming south,1.0,R,f,beil,126662.0,0.0,U,8.0,,RPM International,6.0,2210073.0
Ele156,1427 ADDAX LANE,4.0,O,m,Eleftheriou,132008.0,1.0,U,34.0,446.0,Amazon.com,7.0,1999684.0
o'g157,1625 fernando court,5.0,O,F,o'grady,417218.0,5.0,M,15.0,428.0,Neiman Marcus,2.0,2119678.0
Kat158,335 floresta north,0.0,O,,Katchmar,360063.0,0.0,S,66.0,423.0,Goldman Sachs Group,5.0,169808.0
Lui159,22806 garson east,5.0,O,,Luin,100516.0,4.0,U,55.0,499.0,Boeing,6.0,1072732.0
Kla160,5524 vermack street,1.0,O,f,Klavkalns,16814.0,1.0,S,8.0,342.0,United Refining,7.0,2261442.0
Bru161,18105 electra street,1.0,U,,Brunsting,,3.0,M,7.0,632.0,D.R. Horton,1.0,2234368.0
Apt162,719 holman court,3.0,O,,Apter,315962.0,1.0,M,97.0,525.0,Jarden,6.0,575288.0
sch163,23553 MEMORIAL RUE,5.0,R,f,schuette,299268.0,1.0,M,95.0,371.0,Systemax,9.0,1102479.0
Lan164,16759 park avenue,1.0,O,,Lanava,301490.0,3.0,U,92.0,699.0,Marriott International,4.0,2995388.0
Fus165,12296 WILLIAMS LOWER,3.0,O,F,Fusca,36052.0,2.0,M,17.0,435.0,Expeditors International,8.0,1147193.0
Nev166,9625 ALLEN BOULEVARD,1.0,U,F,Nevardauskis,437483.0,4.0,U,81.0,512.0,Great Plains Energy,2.0,1136540.0
SHA167,10340 jarvis road,5.0,O,f,SHACKLEFORD,152971.0,,M,13.0,552.0,Danaher,6.0,1677669.0
Sau168,13143 goodwin lane,0.0,O,,Sauck,449495.0,2.0,M,78.0,,,8.0,2160706.0
fri169,7160 BEATTY RUE,4.0,O,,frischknecht,349827.0,1.0,M,78.0,687.0,Watson Wyatt Worldwide,5.0,2525665.0
fer170,22679 chimney rock west,3.0,R,,fernandez,9562.0,1.0,M,85.0,433.0,Yahoo,0.0,3517622.0
LAN171,6769 pasadena upper,1.0,,M,LANDERS,24514.0,2.0,U,68.0,746.0,Convergys,7.0,
Bha172,20622 MCAFEE COURT,0.0,R,,Bhasin,407985.0,0.0,M,1.0,405.0,Celanese,9.0,97675.0
Jor173,10526 LINWOOD LANE,5.0,O,M,Jordan,,5.0,M,83.0,805.0,Dana Holding,,
KNU174,21088 vessey crescent,4.0,O,F,KNUDSEN,257897.0,4.0,M,78.0,819.0,XTO Energy,5.0,3569070.0
Ham175,10884 ryan avenue,0.0,O,F,Hamelin,261143.0,5.0,M,,648.0,Alliance Data Systems,0.0,1507616.0
MAU176,1481 gale court,5.0,R,,MAUER,110615.0,5.0,U,5.0,401.0,Franklin Resources,10.0,514151.0
Rez177,18390 martins east,2.0,U,F,Rezansoff,407799.0,0.0,U,43.0,484.0,Fidelity National Financial,8.0,2903408.0
Koa178,23208 porter crescent,4.0,O,,Koa,195242.0,4.0,U,53.0,463.0,FirstEnergy,1.0,1695814.0
HAN179,17026 durand north,3.0,O,m,HANNEMAN,315490.0,0.0,U,13.0,335.0,Commercial Metals,5.0,868465.0
jak180,16533 devonshire park,5.0,O,,jakim,22201.0,4.0,U,7.0,,Genzyme,10.0,2810709.0
ump181,8965 griffin east,4.0,R,,umphres,441579.0,5.0,M,17.0,381.0,US Airways Group,7.0,3593363.0
Wic182,22451 larner court,2.0,O,,Wickham,342730.0,2.0,M,67.0,708.0,Advanced Micro Devices,1.0,2607636.0
Gat183,3681 HOLLY KNOLL CRESCENT,5.0,R,F,Gates,117267.0,4.0,M,54.0,354.0,United Parcel Service,8.0,2735642.0
bot184,5678 dayton street,1.0,,,bott,260107.0,4.0,S,5.0,547.0,Fastenal,10.0,1501732.0
DAV185,15591 holgate lane,1.0,O,,DAVID-YERUMO,166760.0,1.0,D,28.0,761.0,Core-Mark Holding,9.0,397072.0
HIL186,23477 havenridge rue,4.0,O,F,HILLARD,401021.0,1.0,M,5.0,659.0,Boise,1.0,3399757.0
war187,18267 cape lane,4.0,R,,warburton,70945.0,2.0,M,,351.0,DST Systems,9.0,2684548.0
MAC188,2928 POTOMAC UPPER,3.0,O,m,MACHNICKI-HYNES,389391.0,3.0,S,72.0,608.0,United States Steel,7.0,3041622.0
lev189,14656 pasadena park,4.0,O,F,levitin,63226.0,2.0,S,12.0,706.0,Pepco Holdings,3.0,3211816.0
Goo190,16983 flagler drive,0.0,O,,Gooderham,206220.0,4.0,M,71.0,391.0,Acuity Brands,8.0,127026.0
Koh191,17212 LANDER SOUTH,5.0,R,,Kohalmi-hill,,4.0,W,90.0,461.0,Baker Hughes,2.0,588945.0
AYL192,23764 sabine west,4.0,O,M,AYLWIN,337152.0,4.0,U,20.0,510.0,Newell Rubbermaid,2.0,1962620.0
CHO193,16271 vista south,,O,F,CHOUHAN,312074.0,2.0,W,58.0,805.0,Westlake Chemical,5.0,178193.0
DIT194,1080 LAVENDER LANE,2.0,O,,DITKO,68551.0,4.0,M,57.0,702.0,Jones Lang LaSalle,7.0,2102811.0
EMI195,10856 summer street,4.0,O,,EMIG,488800.0,1.0,W,43.0,368.0,Burger King Holdings,3.0,2246854.0
Ryd196,17021 edwards crescent,3.0,R,m,Ryder,431633.0,2.0,W,39.0,520.0,Hovnanian Enterprises,8.0,1312448.0
mei197,7726 TALLOWOOD UPPER,0.0,O,,meisner,72797.0,3.0,S,87.0,666.0,Medical Mutual of Ohio,2.0,295993.0
Ceg198,19097 foxfire north,0.0,O,,Cegelski,260576.0,1.0,S,57.0,587.0,Lockheed Martin,9.0,1220003.0
hai199,8161 PINTO ROAD,4.0,O,,haigh,200096.0,5.0,U,58.0,643.0,Yum Brands,4.0,2400476.0
cle200,9659 sakowitz west,,R,,clendening,,4.0,,28.0,484.0,Wesco International,5.0,2900897.0
Cie201,15306 pike park,3.0,R,,Ciesielski,267656.0,1.0,U,95.0,,Volt Information Sciences,3.0,3942140.0
Par202,21891 dewey street,1.0,R,f,Parypa,35253.0,2.0,S,98.0,676.0,Western Union,8.0,2118119.0
LOZ203,8155 storeywood road,5.0,O,f,LOZINSKI,113159.0,2.0,M,55.0,300.0,,4.0,338540.0
Pas204,20871 dewdrop street,2.0,R,,Pascal,297444.0,3.0,,14.0,,Lubrizol,8.0,2617116.0
Aul205,1121 GREENE PARK,3.0,O,,Aula,52092.0,1.0,M,30.0,831.0,C.H. Robinson Worldwide,9.0,1459711.0
bar206,23849 westerley south,3.0,O,F,barnes,30249.0,1.0,M,90.0,609.0,Celgene,7.0,1804959.0
ELL207,1540 murie rue,2.0,O,,ELLIOTT,483052.0,0.0,S,69.0,679.0,Leggett & Platt,2.0,2957472.0
for208,16633 raymond road,4.0,O,m,forslund,287060.0,0.0,U,67.0,634.0,Fidelity National Information,6.0,2919293.0
Bur209,18676 turman drive,1.0,O,,Burbidge,274154.0,1.0,W,41.0,338.0,Arch Coal,4.0,3610130.0
FOL210,1808 HARDY STREET,5.0,O,F,FOLLMER,379659.0,5.0,M,2.0,332.0,Affinia Group Intermediate,4.0,1209441.0
Led211,11115 midland avenue,0.0,O,m,Leder,,0.0,M,89.0,721.0,Kellogg,8.0,1058712.0
kop212,24950 sheppard lane,4.0,O,,kopke,100796.0,1.0,,88.0,351.0,PerkinElmer,3.0,1946028.0
pay213,6450 LEMMING RUE,1.0,O,,paylor,128277.0,1.0,M,90.0,564.0,Limited Brands,6.0,1420984.0
PAL214,19342 wycliffe park,1.0,O,,PALACEK,147414.0,3.0,M,54.0,379.0,OfficeMax,9.0,213235.0
fel215,7582 woodway south,1.0,O,,felton,51559.0,2.0,S,53.0,727.0,J.B. Hunt Transport Services,8.0,472425.0
ATW216,22526 QUEENSBURY LOWER,2.0,O,,ATWELL-BYRNE,355622.0,3.0,U,89.0,578.0,American Express,2.0,1160132.0
Mcb217,18833 3rd park,5.0,O,M,Mcbeth,468116.0,1.0,W,31.0,642.0,Occidental Petroleum,10.0,2869995.0
Jal218,19394 canoas west,1.0,O,M,Jalaie,276728.0,0.0,M,1.0,,Shaw Group,1.0,3727044.0
vem219,9941 ROYALTON DRIVE,3.0,R,,vempati,135306.0,0.0,S,57.0,554.0,W.W. Grainger,,2293241.0
BAR220,10177 pecos crescent,1.0,U,,BARNICKEL,99566.0,0.0,U,10.0,733.0,IDT,6.0,2846515.0
