Ag,LaNa,Sta,Pho,MidInit,AdLi2,Inc,NumCa,C,AdL1,Coun,PoC,NumCrCar,FirNa,MariSt,Em,Gen,NeWor,OOReF,NuChi,CreRa,AgeID
24.0,Kvvverfkpazpzzkrqniixrhnw,VA,1-494-335-6022,F,,122041.0,0.0,Thousand Oaks,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,United States of America,Ppsrzjdtg,10.0,NDNBTVCLKSC,U,Freescale Semiconductor,,3960216.0,O,3.0,,Kvv7515
18.0,mpzqnwnrmaozfsstcqtrc,ID,1-814-158-3550,G,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,302205.0,1.0,Rochester,,United States of America,,5.0,Zmstbluqkipzaojfsomtbdddguq,M,Superior Energy Services,f,242246.0,O,4.0,623.0,mpz7516
79.0,Jhcbaxyzijphmmvpampdgvgisnab,TX,1-420-580-0795,s,Havgczldcpfmwfzj,367555.0,1.0,Garden Grove,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,United States of America,,1.0,dpqgvuaoijmkxsesvililpxcrwqe,S,Monsanto,F,1217660.0,O,1.0,845.0,Jhc7517
36.0,dbqcukoddoiwg,New Brunswick,1-924-305-1666,l,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,106025.0,4.0,Tampa,rpikmvtgwsrsoehxgmxwypaueiaheabrf,United States of America,Rxdsunq,7.0,IHUGYGSRDWILVOFBAKUR,M,Newfield Exploration,M,1229655.0,U,5.0,645.0,dbq7518
21.0,Xchoxlbkffuvox,Alberta,1-450-082-2122,,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,106690.0,2.0,Fullerton,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Canada,JXHVEEOU,1.0,aefotdcronamhkzsfpvifmobgchmsp,W,Loews,m,1157831.0,O,2.0,495.0,Xch7519
4.0,oirfujtvl,PA,1-573-009-1404,Z,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,29373.0,2.0,Washington,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,Canada,XHJQCDPOO,8.0,jdeyqkerjerjpht,M,Apache,m,,O,2.0,371.0,oir7520
72.0,Fqbovz,Nova Scotia,1-603-897-9894,O,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,168189.0,2.0,Norfolk,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,United States of America,rapkjpmvp,1.0,Lwihnxoihqqrvjydsijd,S,Robert Half International,M,,R,3.0,462.0,Fqb7521
1.0,qextfjyytqwbmdrlykbfnhvqrmota,RI,1-947-161-6502,,Rirmrpvlknyho,264756.0,,Sydney,Dmyivtczopuqajpnjqvvgbhxynvduub,United States of America,Slskxm,7.0,nmnervucuk,S,Viacom,,3467922.0,U,,375.0,qex7522
98.0,Hpiedhvkedqqdxsoedt,OR,1-586-826-9847,,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,44480.0,1.0,Winnipeg,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Canada,FXHXLG,10.0,hgjkxxbf,S,Robert Half International,,46859.0,U,2.0,516.0,Hpi7523
35.0,Fjdafgbcrml,CA,1-217-243-2668,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,87207.0,1.0,Wilmington,Esuycdxsjfbrqbtluspxsehk,Canada,ovlziicdezok,,Zangtryzlhmxo,,CSX,,2937668.0,R,5.0,703.0,Fjd7524
99.0,Cgtcmbl,MO,1-857-211-5728,,Rpzwirgfyiw,238434.0,4.0,El Monte,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,United States of America,jsxcpvao,7.0,FFJGEQD,W,Country Financial Services,,2388613.0,O,2.0,734.0,Cgt7525
49.0,Lwxudfgcqawccntqaucdaeym,Prince Edward Island,1-089-966-6281,,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,,0.0,Sterling Heights,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,United States of America,Ykerbceq,4.0,Pdcxrihnl,M,Procter & Gamble,M,3116283.0,U,2.0,469.0,Lwx7526
72.0,epyxtfsrijhddstgaxkbgmlayjtk,Quebec,,,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,391354.0,3.0,Pembroke Pines,vnyndcximwxhecv,United States of America,VVMSNWEBT,2.0,Zckhcacwaelzutaodqalxyjrkh,S,Ingles Markets,,2671950.0,O,0.0,595.0,epy7527
41.0,Affcha,KS,1-231-342-6874,M,Acdrcqabtcdgmgl,419165.0,3.0,Philadelphia,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,United States of America,bibueqwbejem,1.0,sqrosgqnpifxjx,U,Forest Laboratories,m,3899593.0,O,0.0,410.0,Aff7528
54.0,mfcestd,NV,,S,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,396509.0,3.0,Glendale,,Canada,gehpynlk,10.0,Erqzkkllazeobgthnmgsbtj,W,Dentsply International,,2537332.0,O,2.0,475.0,mfc7529
11.0,Slfbmvc,TN,1-602-637-1838,S,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,145161.0,0.0,El Monte,GVSBHGBDDVJFNNOZNNPJWCOI,United States of America,Piwlxtg,2.0,Lcziayaozecoqqluasolkmmcldm,,RadioShack,,733236.0,R,2.0,,Slf7530
0.0,Cxuousxqyrfgjvpvuopyfguqva,WY,1-003-982-8627,,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,263206.0,2.0,Warwick,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,United States of America,Ujlshmosjkid,3.0,Gcnczmuxviqaxtsdzmzhtro,W,Century Aluminum,,,O,5.0,519.0,Cxu7531
27.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,British Columbia,1-136-358-6852,F,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,190371.0,3.0,Milwaukee,BIQIOQOHLQSTBRUFOI,United States of America,cwburwnupuj,5.0,Rsoobsqytvjycob,D,,,3397276.0,U,3.0,841.0,GZO7532
95.0,DRWTVTDSG,LA,1-123-528-2965,A,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,203968.0,3.0,Phoenix,Llfaqkbemnoy,United States of America,CNEZMHTKIAEV,6.0,Pjvadgt,U,FPL Group,,2444257.0,O,1.0,540.0,DRW7533
35.0,setksinlvlrjwnfu,HI,1-136-565-2501,N,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,428323.0,1.0,Anchorage,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,United States of America,kixvppuqtd,10.0,GUBKOKITTSKVYM,U,Lockheed Martin,f,71520.0,R,3.0,540.0,set7534
96.0,Pyoixliri,NY,1-317-986-1984,,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,159980.0,4.0,Madison,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,United States of America,jrhynxfi,6.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,M,Sanmina-SCI,,1911091.0,O,1.0,,Pyo7535
96.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,TX,1-265-603-1262,,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,266852.0,0.0,Fontana,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Canada,dnhtjyu,6.0,Kuteauo,W,Iron Mountain,M,988775.0,O,0.0,424.0,FSH7536
49.0,Tdxyljuxporjhdumcvfmv,AZ,,,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,206973.0,5.0,Charlotte,,United States of America,YKOVOTYB,2.0,Hkfofpndygljbeo,M,OfficeMax,,3919363.0,R,5.0,623.0,Tdx7537
,Sbnxcsrozzcufdoyvckpplofysx,ME,1-156-668-6882,O,XHQNMCEJKXOQYVSZVESLKC,258221.0,5.0,Richmond,atydogjpqphuwhegtbukkqiaeakrtrn,Canada,WNNMWJ,4.0,Kengxgsu,S,AMR,,428918.0,O,1.0,792.0,Sbn7538
27.0,Piqizouhxiw,NH,1-164-648-3203,C,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,428508.0,4.0,Santa Clarita,Hlotorcbtobuceb,United States of America,Oktkljv,6.0,Plywuoa,S,Kohl's,f,58134.0,O,4.0,718.0,Piq7539
98.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,KY,1-839-795-1027,,Toumjfbsumpgfuskpydjeibaxi,,4.0,Yellow Knife,gsrdigbqfwrahybxrtm,,,6.0,zfcwsxpjzyqelkxg,M,Cigna,M,3703767.0,O,0.0,401.0,IXD7540
,wsnjomkxbtybfnmtcjhvmblfwamnwd,Prince Edward Island,1-958-412-4252,,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,58953.0,4.0,Oxnard,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,United States of America,GXFLSISZUY,2.0,Yxvczhqjwgnhowiu,M,West,,433859.0,R,5.0,557.0,wsn7541
56.0,Jkpmtcj,British Columbia,1-392-335-1020,A,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,409682.0,5.0,Huntington Beach,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,United States of America,gzexcrngivl,7.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,W,Monsanto,M,3002044.0,O,5.0,393.0,Jkp7542
94.0,CCFFVCOHCLUUXZIQTCFCUHEYN,CT,1-912-050-7605,,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,340191.0,2.0,Durham,,United States of America,yzoikhwrd,10.0,Vfrdst,M,Reliant Energy,M,1124168.0,,4.0,557.0,CCF7543
98.0,yljvuglvt,WA,1-075-551-9919,,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,238216.0,4.0,Naperville,RELJYREDKQEKGOORBLRKOUIC,United States of America,Gdbktega,5.0,Hqcswumjvwbemosmy,U,Idearc,,2081541.0,O,5.0,465.0,ylj7544
8.0,ZBBXAWVJAAL,ND,1-013-611-2674,V,hkyochorqgtokxgozmoncalaaiw,113171.0,0.0,Albuquerque,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Canada,Kdcqzpvf,6.0,Ectbhkmbvwkwdbn,M,Neiman Marcus,F,1897076.0,O,1.0,,ZBB7545
90.0,fqekemquvstw,ID,1-656-865-7544,,Datdnghoiymltcayulgkgxywi,234797.0,5.0,Newark,Yewxbqpnfgh,United States of America,Tbwgwtmgcu,10.0,Bdbgqpllbnrmiirpct,W,O'Reilly Automotive,m,235172.0,,,485.0,fqe7546
34.0,Wpwhilrlzng,Quebec,1-879-870-7379,,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,225322.0,4.0,Miami,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,United States of America,Mwmfs,2.0,Ftszluaxcsoxdfbmdd,M,Cliffs Natural Resources,,639573.0,,2.0,303.0,Wpw7547
25.0,vpzxgcwljllsq,ID,1-366-625-9813,,,192689.0,1.0,London,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,Canada,goelqgcts,4.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,W,Health Management Associates,,2667082.0,O,2.0,846.0,vpz7548
50.0,Yfzmtcvxc,AL,1-359-462-7089,,,348685.0,5.0,Worcester,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Canada,ucwygjzs,1.0,Kkiolpmrgzmnjanqc,,Chevron,,2598634.0,O,4.0,621.0,Yfz7549
85.0,douvwdwiwrxoivzaojazinrhswjv,UT,,,,401229.0,3.0,Jacksonville,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,United States of America,fjlfqftwg,,unzegilpp,D,Exide Technologies,,1074671.0,O,4.0,331.0,dou7550
60.0,FDJOVRSOCWEIKZ,MS,1-153-396-8333,,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,38597.0,5.0,Nashua,hfuyqlsmbesrylepu,United States of America,Tocujgaiaq,9.0,xetqkitwlh,M,Convergys,M,2272997.0,R,4.0,401.0,FDJ7551
95.0,ufutrfkevxnbupjcetrpltw,AK,1-144-623-1308,,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,2.0,Newport News,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,United States of America,kurjmmgixxfd,0.0,TWRRGULRYKYUWZYBQQFMIFFKVK,S,Dominion Resources,,702000.0,R,2.0,644.0,ufu7552
8.0,bbgzmquoeecumw,VT,1-269-220-8046,H,NBSHKLXYVUUWXEQSGXR,161204.0,4.0,Corona,qgjnvpwvmgsqzcanzncon,United States of America,cnsavindoi,5.0,Yqfljvgkfucafpjpamdtcppiipc,M,Sentry Insurance Group,m,1289800.0,R,1.0,769.0,bbg7553
31.0,Znkkdbkvxcxeuackyodqlkpl,LA,1-052-524-0130,v,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,202650.0,3.0,Lincoln,HNBGLUDIOAJRCCIXGDUQOO,,MQBSAUVQRPYE,2.0,mjeasoritwctufyojamzbeeoo,M,Cintas,f,1007390.0,O,4.0,481.0,Znk7554
51.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,CT,1-335-871-6660,T,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,,1.0,Toronto,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Canada,vadbnvz,7.0,Udxaujgiratgthwkvdibgvwfo,U,Medtronic,F,124290.0,O,2.0,732.0,CGQ7555
24.0,addxtssyhezwro,UT,1-637-394-8083,,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,492433.0,4.0,Fayetteville,dnlleihfh,United States of America,Ljurvnigr,2.0,GHFUKZPOKMXWZF,M,Pride International,,1820002.0,O,4.0,802.0,add7556
78.0,Anwyusqezrjppzkaevffwljm,IN,1-706-795-4208,J,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,344858.0,2.0,Charlotte,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,Canada,BQDMQVFTNBRJ,5.0,ybtkiifyhbgchnuctnhnqspk,M,A. Schulman,,2200347.0,O,4.0,329.0,Anw7557
56.0,Hvtanebvipbdd,WI,1-622-347-5699,,nqcozjievwzk,197290.0,5.0,Tulsa,Wsjaujjdexc,United States of America,jkcul,0.0,Fhkymmgjsbmpduuffgavhfcxm,W,Oneok,m,3669569.0,R,0.0,839.0,Hvt7558
50.0,Yqjaammjlhgpw,WA,1-042-017-9368,d,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,283654.0,2.0,Winston-Salem,Ojberg,United States of America,Nelny,,DEZDTMSMWKALBRPALCFIME,U,Danaher,,2140537.0,,,539.0,Yqj7559
52.0,Ztnstwpjxatqveppicohpzilnn,LA,1-829-935-5979,,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,317423.0,4.0,Thousand Oaks,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,United States of America,Qsggz,4.0,phoxfeiqoldgmnojmzunmargkla,M,Del Monte Foods,F,3258909.0,R,5.0,561.0,Ztn7560
14.0,bnizllrrofn,VT,1-076-726-5283,,Lfrjkyblujmbxigmylpsxieswspmei,399126.0,4.0,Lubbock,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,United States of America,Drofa,2.0,Upuabfflh,W,American Electric Power,F,1825422.0,O,5.0,814.0,bni7561
29.0,swxorhmdydwbrtdqxroghsddlpbdgi,CT,,,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,398180.0,5.0,Winnipeg,Xwtkpxqgohxwxnv,United States of America,Ssovhtmt,7.0,owagfolbfwjzeg,M,TJX,,1845263.0,R,0.0,305.0,swx7562
50.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,RI,1-284-129-5920,P,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,,2.0,Laredo,Qpvmtkxxfef,United States of America,Tnprhljfrlj,4.0,Qdmppehqxloc,S,Philip Morris International,f,1463114.0,O,4.0,457.0,DSA7563
67.0,BXZUTWBUFSGPPXKR,SC,1-128-308-8886,,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,485429.0,4.0,Overland Park,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,United States of America,Bkxujhonjgjk,8.0,jqbetxkci,U,Cincinnati Financial,,2354683.0,O,1.0,349.0,BXZ7564
22.0,pczqycbwefse,British Columbia,1-145-469-5971,,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,118018.0,2.0,Calgary,KRYAIAJGKHBKXBLC,United States of America,mrjrjhgnwcdu,0.0,Wsmywgbvwspgdwhmdxsqjwqb,M,Stryker,,436677.0,O,0.0,590.0,pcz7565
20.0,Zqaknviqngvemehvpzrcgkcvre,CO,1-727-684-7767,,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,309693.0,5.0,Peoria,,United States of America,Yusezkfgs,0.0,ocgwi,U,Kansas City Southern,m,2383335.0,O,4.0,533.0,Zqa7566
75.0,Htltlfnvjctvvdvulpkhcbyfi,TN,1-776-201-2472,z,IBQIDE,90718.0,4.0,Durham,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Canada,RKXTQAO,9.0,Pcotdnngmurhkcd,W,IDT,,2574739.0,O,0.0,686.0,Htl7567
60.0,afwafvxxdr,CA,1-767-942-1278,L,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,280645.0,2.0,Pueblo,VBDCWYVK,United States of America,UBQSATXZO,10.0,bvcosqzcleknjzvkygbawlc,U,Vornado Realty Trust,F,1596838.0,O,0.0,582.0,afw7568
,Wnakgzhqfhtavtvegjtdmdosnjr,WY,1-723-062-7266,,Lrebujnrg,231559.0,,Las Cruces,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,United States of America,BHRNWQLFVFA,0.0,ECLENELTSXGTNWOP,S,Dollar General,,591965.0,O,4.0,807.0,Wna7569
48.0,Mlheqxaigtvjaynkffyqkpu,SD,,,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,36898.0,3.0,Chula Vista,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,United States of America,Ktmzav,3.0,Xdwexmrjat,S,Safeway,,3071440.0,O,5.0,819.0,Mlh7570
91.0,Gorjnqxjtefmomsbmtnogaerx,British Columbia,1-145-314-0862,,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,396786.0,2.0,San Diego,Gwxymofcy,United States of America,Nfpchgfj,5.0,xjwnvwdryqpcehelwzfhkkiuus,M,Apache,,2683081.0,R,0.0,311.0,Gor7571
98.0,ENXOMNHFVPYQSABETPUEKRKCL,NJ,1-735-104-7772,,Hxutrprq,344365.0,2.0,Chicago,Qynjnmfgwxpmrw,United States of America,Wuywecohosfi,3.0,RNBABCYAFMQPBOHXNUXMXNU,U,Lowe's,f,3850483.0,O,5.0,734.0,ENX7572
51.0,fgrdzzudzmwlluff,AK,,,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1205.0,4.0,Worcester,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,United States of America,tibxlojrqiha,1.0,Eyrtrqkljywvbcice,W,Lithia Motors,,1870617.0,O,1.0,432.0,fgr7573
22.0,Yshzkx,OH,1-518-116-1411,a,JRHXPUUHAFHDPF,276666.0,5.0,Honolulu,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,United States of America,ogmes,3.0,Opybrukftspofebjmspkjsgtobzsp,S,CH2M Hill,m,1249534.0,O,0.0,394.0,Ysh7574
57.0,Mosqjrkdycyygfsljqadgfqoldb,New Brunswick,1-696-359-4829,I,yvntcqjqqmbftwetvbqgclcdbxspvk,497953.0,0.0,Albuquerque,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,United States of America,JUBKXDKP,1.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,U,Tellabs,,3789880.0,O,0.0,658.0,Mos7575
38.0,czuvw,IL,1-352-678-5471,,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,156048.0,1.0,Oakland,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,Canada,Xbgykqm,3.0,kpofwgtomgijnm,M,Phillips-Van Heusen,,3874445.0,O,2.0,348.0,czu7576
