prospect_AgencyID,prospect_Country,prospect_Gender,prospect_FirstName,prospect_MiddleInitial,prospect_Income,prospect_Age,prospect_LastName,prospect_State,prospect_NumberCreditCards,prospect_NetWorth,prospect_NumberCars,prospect_NumberChildren,prospect_MaritalStatus,prospect_CreditRating,prospect_OwnOrRentFlag,prospect_Employer
Wsk7513,United States of America,m,Ccbccgvldfvoqtzestvkwunn,,,8.0,Wskjvrujdwku,AR,4.0,331799.0,4.0,1.0,D,613.0,R,Boise
Ffs7514,,,nyakrhdyxravdnhgbtol,v,432425.0,10.0,Ffshsiomkzjonhxjhunfsao,IL,4.0,1167013.0,4.0,1.0,U,786.0,R,MDU Resources Group
Kvv7515,United States of America,,NDNBTVCLKSC,F,122041.0,24.0,Kvvverfkpazpzzkrqniixrhnw,VA,10.0,3960216.0,0.0,3.0,U,,O,Freescale Semiconductor
mpz7516,United States of America,f,Zmstbluqkipzaojfsomtbdddguq,G,302205.0,18.0,mpzqnwnrmaozfsstcqtrc,ID,5.0,242246.0,1.0,4.0,M,623.0,O,Superior Energy Services
Jhc7517,United States of America,F,dpqgvuaoijmkxsesvililpxcrwqe,s,367555.0,79.0,Jhcbaxyzijphmmvpampdgvgisnab,TX,1.0,1217660.0,1.0,1.0,S,845.0,O,Monsanto
dbq7518,United States of America,M,IHUGYGSRDWILVOFBAKUR,l,106025.0,36.0,dbqcukoddoiwg,New Brunswick,7.0,1229655.0,4.0,5.0,M,645.0,U,Newfield Exploration
Xch7519,Canada,m,aefotdcronamhkzsfpvifmobgchmsp,,106690.0,21.0,Xchoxlbkffuvox,Alberta,1.0,1157831.0,2.0,2.0,W,495.0,O,Loews
oir7520,Canada,m,jdeyqkerjerjpht,Z,29373.0,4.0,oirfujtvl,PA,8.0,,2.0,2.0,M,371.0,O,Apache
Fqb7521,United States of America,M,Lwihnxoihqqrvjydsijd,O,168189.0,72.0,Fqbovz,Nova Scotia,1.0,,2.0,3.0,S,462.0,R,Robert Half International
qex7522,United States of America,,nmnervucuk,,264756.0,1.0,qextfjyytqwbmdrlykbfnhvqrmota,RI,7.0,3467922.0,,,S,375.0,U,Viacom
Hpi7523,Canada,,hgjkxxbf,,44480.0,98.0,Hpiedhvkedqqdxsoedt,OR,10.0,46859.0,1.0,2.0,S,516.0,U,Robert Half International
Fjd7524,Canada,,Zangtryzlhmxo,,87207.0,35.0,Fjdafgbcrml,CA,,2937668.0,1.0,5.0,,703.0,R,CSX
Cgt7525,United States of America,,FFJGEQD,,238434.0,99.0,Cgtcmbl,MO,7.0,2388613.0,4.0,2.0,W,734.0,O,Country Financial Services
Lwx7526,United States of America,M,Pdcxrihnl,,,49.0,Lwxudfgcqawccntqaucdaeym,Prince Edward Island,4.0,3116283.0,0.0,2.0,M,469.0,U,Procter & Gamble
epy7527,United States of America,,Zckhcacwaelzutaodqalxyjrkh,,391354.0,72.0,epyxtfsrijhddstgaxkbgmlayjtk,Quebec,2.0,2671950.0,3.0,0.0,S,595.0,O,Ingles Markets
Aff7528,United States of America,m,sqrosgqnpifxjx,M,419165.0,41.0,Affcha,KS,1.0,3899593.0,3.0,0.0,U,410.0,O,Forest Laboratories
mfc7529,Canada,,Erqzkkllazeobgthnmgsbtj,S,396509.0,54.0,mfcestd,NV,10.0,2537332.0,3.0,2.0,W,475.0,O,Dentsply International
Slf7530,United States of America,,Lcziayaozecoqqluasolkmmcldm,S,145161.0,11.0,Slfbmvc,TN,2.0,733236.0,0.0,2.0,,,R,RadioShack
Cxu7531,United States of America,,Gcnczmuxviqaxtsdzmzhtro,,263206.0,0.0,Cxuousxqyrfgjvpvuopyfguqva,WY,3.0,,2.0,5.0,W,519.0,O,Century Aluminum
GZO7532,United States of America,,Rsoobsqytvjycob,F,190371.0,27.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,British Columbia,5.0,3397276.0,3.0,3.0,D,841.0,U,
DRW7533,United States of America,,Pjvadgt,A,203968.0,95.0,DRWTVTDSG,LA,6.0,2444257.0,3.0,1.0,U,540.0,O,FPL Group
set7534,United States of America,f,GUBKOKITTSKVYM,N,428323.0,35.0,setksinlvlrjwnfu,HI,10.0,71520.0,1.0,3.0,U,540.0,R,Lockheed Martin
Pyo7535,United States of America,,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,,159980.0,96.0,Pyoixliri,NY,6.0,1911091.0,4.0,1.0,M,,O,Sanmina-SCI
FSH7536,Canada,M,Kuteauo,,266852.0,96.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,TX,6.0,988775.0,0.0,0.0,W,424.0,O,Iron Mountain
Tdx7537,United States of America,,Hkfofpndygljbeo,,206973.0,49.0,Tdxyljuxporjhdumcvfmv,AZ,2.0,3919363.0,5.0,5.0,M,623.0,R,OfficeMax
Sbn7538,Canada,,Kengxgsu,O,258221.0,,Sbnxcsrozzcufdoyvckpplofysx,ME,4.0,428918.0,5.0,1.0,S,792.0,O,AMR
Piq7539,United States of America,f,Plywuoa,C,428508.0,27.0,Piqizouhxiw,NH,6.0,58134.0,4.0,4.0,S,718.0,O,Kohl's
IXD7540,,M,zfcwsxpjzyqelkxg,,,98.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,KY,6.0,3703767.0,4.0,0.0,M,401.0,O,Cigna
wsn7541,United States of America,,Yxvczhqjwgnhowiu,,58953.0,,wsnjomkxbtybfnmtcjhvmblfwamnwd,Prince Edward Island,2.0,433859.0,4.0,5.0,M,557.0,R,West
Jkp7542,United States of America,M,Grkknjyfgbhtyrhxzeaoeoyirwfa,A,409682.0,56.0,Jkpmtcj,British Columbia,7.0,3002044.0,5.0,5.0,W,393.0,O,Monsanto
CCF7543,United States of America,M,Vfrdst,,340191.0,94.0,CCFFVCOHCLUUXZIQTCFCUHEYN,CT,10.0,1124168.0,2.0,4.0,M,557.0,,Reliant Energy
ylj7544,United States of America,,Hqcswumjvwbemosmy,,238216.0,98.0,yljvuglvt,WA,5.0,2081541.0,4.0,5.0,U,465.0,O,Idearc
ZBB7545,Canada,F,Ectbhkmbvwkwdbn,V,113171.0,8.0,ZBBXAWVJAAL,ND,6.0,1897076.0,0.0,1.0,M,,O,Neiman Marcus
fqe7546,United States of America,m,Bdbgqpllbnrmiirpct,,234797.0,90.0,fqekemquvstw,ID,10.0,235172.0,5.0,,W,485.0,,O'Reilly Automotive
Wpw7547,United States of America,,Ftszluaxcsoxdfbmdd,,225322.0,34.0,Wpwhilrlzng,Quebec,2.0,639573.0,4.0,2.0,M,303.0,,Cliffs Natural Resources
vpz7548,Canada,,Qrdnpjquwnixfocqhsrlkcxmelwijl,,192689.0,25.0,vpzxgcwljllsq,ID,4.0,2667082.0,1.0,2.0,W,846.0,O,Health Management Associates
Yfz7549,Canada,,Kkiolpmrgzmnjanqc,,348685.0,50.0,Yfzmtcvxc,AL,1.0,2598634.0,5.0,4.0,,621.0,O,Chevron
dou7550,United States of America,,unzegilpp,,401229.0,85.0,douvwdwiwrxoivzaojazinrhswjv,UT,,1074671.0,3.0,4.0,D,331.0,O,Exide Technologies
FDJ7551,United States of America,M,xetqkitwlh,,38597.0,60.0,FDJOVRSOCWEIKZ,MS,9.0,2272997.0,5.0,4.0,M,401.0,R,Convergys
ufu7552,United States of America,,TWRRGULRYKYUWZYBQQFMIFFKVK,,,95.0,ufutrfkevxnbupjcetrpltw,AK,0.0,702000.0,2.0,2.0,S,644.0,R,Dominion Resources
bbg7553,United States of America,m,Yqfljvgkfucafpjpamdtcppiipc,H,161204.0,8.0,bbgzmquoeecumw,VT,5.0,1289800.0,4.0,1.0,M,769.0,R,Sentry Insurance Group
Znk7554,,f,mjeasoritwctufyojamzbeeoo,v,202650.0,31.0,Znkkdbkvxcxeuackyodqlkpl,LA,2.0,1007390.0,3.0,4.0,M,481.0,O,Cintas
CGQ7555,Canada,F,Udxaujgiratgthwkvdibgvwfo,T,,51.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,CT,7.0,124290.0,1.0,2.0,U,732.0,O,Medtronic
add7556,United States of America,,GHFUKZPOKMXWZF,,492433.0,24.0,addxtssyhezwro,UT,2.0,1820002.0,4.0,4.0,M,802.0,O,Pride International
Anw7557,Canada,,ybtkiifyhbgchnuctnhnqspk,J,344858.0,78.0,Anwyusqezrjppzkaevffwljm,IN,5.0,2200347.0,2.0,4.0,M,329.0,O,A. Schulman
Hvt7558,United States of America,m,Fhkymmgjsbmpduuffgavhfcxm,,197290.0,56.0,Hvtanebvipbdd,WI,0.0,3669569.0,5.0,0.0,W,839.0,R,Oneok
Yqj7559,United States of America,,DEZDTMSMWKALBRPALCFIME,d,283654.0,50.0,Yqjaammjlhgpw,WA,,2140537.0,2.0,,U,539.0,,Danaher
Ztn7560,United States of America,F,phoxfeiqoldgmnojmzunmargkla,,317423.0,52.0,Ztnstwpjxatqveppicohpzilnn,LA,4.0,3258909.0,4.0,5.0,M,561.0,R,Del Monte Foods
bni7561,United States of America,F,Upuabfflh,,399126.0,14.0,bnizllrrofn,VT,2.0,1825422.0,4.0,5.0,W,814.0,O,American Electric Power
swx7562,United States of America,,owagfolbfwjzeg,,398180.0,29.0,swxorhmdydwbrtdqxroghsddlpbdgi,CT,7.0,1845263.0,5.0,0.0,M,305.0,R,TJX
DSA7563,United States of America,f,Qdmppehqxloc,P,,50.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,RI,4.0,1463114.0,2.0,4.0,S,457.0,O,Philip Morris International
BXZ7564,United States of America,,jqbetxkci,,485429.0,67.0,BXZUTWBUFSGPPXKR,SC,8.0,2354683.0,4.0,1.0,U,349.0,O,Cincinnati Financial
pcz7565,United States of America,,Wsmywgbvwspgdwhmdxsqjwqb,,118018.0,22.0,pczqycbwefse,British Columbia,0.0,436677.0,2.0,0.0,M,590.0,O,Stryker
Zqa7566,United States of America,m,ocgwi,,309693.0,20.0,Zqaknviqngvemehvpzrcgkcvre,CO,0.0,2383335.0,5.0,4.0,U,533.0,O,Kansas City Southern
Htl7567,Canada,,Pcotdnngmurhkcd,z,90718.0,75.0,Htltlfnvjctvvdvulpkhcbyfi,TN,9.0,2574739.0,4.0,0.0,W,686.0,O,IDT
afw7568,United States of America,F,bvcosqzcleknjzvkygbawlc,L,280645.0,60.0,afwafvxxdr,CA,10.0,1596838.0,2.0,0.0,U,582.0,O,Vornado Realty Trust
Wna7569,United States of America,,ECLENELTSXGTNWOP,,231559.0,,Wnakgzhqfhtavtvegjtdmdosnjr,WY,0.0,591965.0,,4.0,S,807.0,O,Dollar General
Mlh7570,United States of America,,Xdwexmrjat,,36898.0,48.0,Mlheqxaigtvjaynkffyqkpu,SD,3.0,3071440.0,3.0,5.0,S,819.0,O,Safeway
Gor7571,United States of America,,xjwnvwdryqpcehelwzfhkkiuus,,396786.0,91.0,Gorjnqxjtefmomsbmtnogaerx,British Columbia,5.0,2683081.0,2.0,0.0,M,311.0,R,Apache
ENX7572,United States of America,f,RNBABCYAFMQPBOHXNUXMXNU,,344365.0,98.0,ENXOMNHFVPYQSABETPUEKRKCL,NJ,3.0,3850483.0,2.0,5.0,U,734.0,O,Lowe's
fgr7573,United States of America,,Eyrtrqkljywvbcice,,1205.0,51.0,fgrdzzudzmwlluff,AK,1.0,1870617.0,4.0,1.0,W,432.0,O,Lithia Motors
Ysh7574,United States of America,m,Opybrukftspofebjmspkjsgtobzsp,a,276666.0,22.0,Yshzkx,OH,3.0,1249534.0,5.0,0.0,S,394.0,O,CH2M Hill
Mos7575,United States of America,,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,I,497953.0,57.0,Mosqjrkdycyygfsljqadgfqoldb,New Brunswick,1.0,3789880.0,0.0,0.0,U,658.0,O,Tellabs
czu7576,Canada,,kpofwgtomgijnm,,156048.0,38.0,czuvw,IL,3.0,3874445.0,1.0,2.0,M,348.0,O,Phillips-Van Heusen
Ghr7577,United States of America,,Biflzgcqpqpbahquomftmjffohpwuy,Z,63617.0,68.0,Ghrlcuscpesuzsdwqfwwbgh,AZ,8.0,437353.0,1.0,5.0,M,598.0,O,Wells Fargo
Rwk7578,United States of America,,ybdlwlwxispyswbiegrbsqqtywxr,,244849.0,93.0,Rwkdeshuwhwvmvmdnckmuvdt,NY,9.0,2669917.0,2.0,2.0,U,505.0,O,Vornado Realty Trust
Uwi7579,United States of America,,Capzcewdt,,123585.0,48.0,Uwinnbtdd,WA,7.0,1466537.0,4.0,3.0,S,839.0,R,New York Times
VXZ7580,United States of America,,XKBLVBCCYKMIXABVTOTVPZCJRII,,391134.0,96.0,VXZTLDNZPYIFIKTIJRXS,GA,2.0,991860.0,1.0,1.0,S,672.0,U,Adobe Systems
Ayk7581,United States of America,f,wmknfemsztimaphftadowlmbnp,p,426759.0,58.0,Aykkkc,AZ,3.0,,5.0,5.0,M,696.0,O,Valmont Industries
lho7582,United States of America,M,DHLVITRFJDXLTPAGMPMJ,,451737.0,63.0,lhodktal,NV,5.0,1816368.0,5.0,3.0,W,448.0,O,UAL
rzi7583,United States of America,,Jdpqutldftwykfyhukveiaimoyyk,,180822.0,18.0,rziprpcfwnirtuvrbfnuepq,TN,9.0,565246.0,2.0,1.0,S,549.0,O,AFLAC
Wds7584,United States of America,,Qiwemtdba,,205843.0,40.0,Wdsuorykxmvfxupyyjl,AL,0.0,1899339.0,4.0,2.0,W,705.0,O,VeraSun Energy
Xsj7585,United States of America,M,JQKEDISZ,f,470985.0,29.0,Xsjypvyfoqbiq,TX,6.0,3873239.0,4.0,3.0,M,387.0,O,Magellan Health Services
Lux7586,United States of America,,Gfuwa,v,318225.0,21.0,Luxkby,WV,7.0,767547.0,2.0,1.0,U,359.0,,Emcor Group
wxw7587,Canada,f,CTTUYHUUMMDTX,,326044.0,41.0,wxwhwasadsmxchyhlgrvnurte,ND,9.0,1027999.0,2.0,2.0,M,494.0,O,Peabody Energy
pfz7588,United States of America,m,Wvtqm,e,,56.0,pfzjoarqopfjtzjalxxxeq,Saskatchewan,10.0,3428495.0,1.0,1.0,M,345.0,,State Farm Insurance Cos.
hlx7589,United States of America,M,xuwgpsvzcpxtoerndtr,,187282.0,33.0,hlxshqpvshstjerwclb,VA,10.0,1827180.0,2.0,0.0,M,402.0,O,Humana
nyb7590,United States of America,,Hnnzpokbygacjjgybkskf,,,96.0,nybiaaw,ND,3.0,2070007.0,2.0,0.0,M,579.0,O,News Corp.
Ltt7591,United States of America,,qsnivsknktiwjpqwnrlgftnmsrxkjc,O,,35.0,Lttvvpjjavydrmbt,ND,2.0,,2.0,0.0,,569.0,O,Torchmark
gsz7592,United States of America,,pygsfvfpeofkdcugfvxdsqgmcgebfp,,306946.0,40.0,gszunimggpyfjzmivbwizzftuen,MS,9.0,3596263.0,0.0,4.0,W,745.0,O,Rock-Tenn
Kwp7593,,,Zgxsuo,,99663.0,10.0,Kwpztgkknktyvdks,WY,1.0,3719999.0,0.0,,D,320.0,U,AGCO
AGM7594,United States of America,,ganifmdaqbltccwbqijtkypcetuq,D,482013.0,59.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,MA,4.0,3058439.0,2.0,4.0,M,591.0,R,
Ocn7595,United States of America,m,IYCOMORWDFSEKN,u,180476.0,70.0,Ocnds,AK,10.0,2592932.0,1.0,0.0,M,,U,United Stationers
Cmw7596,United States of America,F,vdvdlfz,,285682.0,69.0,Cmweamsabhudajyhpsohkpzcy,PA,5.0,1471273.0,4.0,5.0,M,417.0,,McCormick
Dit7597,United States of America,,Sbwymtnwzhffkwjczlsnvrtcv,V,455032.0,96.0,Ditjvpiidkjkvxssfnctzcczb,MA,8.0,,0.0,5.0,M,338.0,R,National Life Group
Rmm7598,United States of America,,qjjwbffbgxilxyarhjwdvo,S,356141.0,9.0,Rmmasnivkq,DC,9.0,2410816.0,3.0,,S,340.0,O,Hasbro
ekj7599,Canada,,JIXUQX,,165667.0,39.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,RI,5.0,1059543.0,3.0,3.0,U,738.0,U,Tupperware Brands
wcq7600,United States of America,,Eqrxuc,A,459767.0,31.0,wcqqbslcxugdqpbzbmbqvlahw,MA,7.0,379282.0,0.0,2.0,S,597.0,O,Covance
Klc7601,United States of America,f,PDAXUXBMPOVTKJUR,,106459.0,64.0,Klcanpomjmuwosnasroukafsxtufz,Alberta,4.0,3271265.0,2.0,2.0,M,603.0,R,Interactive Brokers Group
Jrd7602,,,Adftxl,,51021.0,38.0,Jrdmn,AR,5.0,1530364.0,,1.0,D,662.0,U,SkyWest
GDQ7603,United States of America,,Gaksvvggpbleteofow,,494931.0,47.0,GDQESTOSFCKVLPZEQPNFIKQLTXB,VA,0.0,3731860.0,2.0,4.0,W,838.0,R,Best Buy
fnm7604,United States of America,,Ijstknxzfzsvqmy,,429859.0,,fnmqzceohwapysohiuofkhjpwzgv,OR,9.0,2488858.0,5.0,2.0,M,791.0,O,Sears Holdings
Ymu7605,Canada,,jvhwyzbcwdrrqmlbvpjwbohhemm,e,,76.0,Ymuvinagbzdhiwglzfacood,ID,7.0,2301347.0,1.0,4.0,S,692.0,O,Frontier Oil
Pxj7606,,,nhhjbqktsr,R,464086.0,60.0,Pxjmfwpwm,IA,8.0,1736571.0,0.0,3.0,W,673.0,O,Automatic Data Processing
Rsd7607,Canada,,Lmhtjwddyqbzlxgv,M,207651.0,73.0,Rsdlvo,TN,7.0,2399483.0,3.0,,U,331.0,O,
Qqh7608,United States of America,,BXFLGQTJSJDQAUCXXJXWHTQU,,260418.0,37.0,Qqhwdyopkfs,Nova Scotia,2.0,2982744.0,4.0,,U,744.0,O,Comerica
udq7609,United States of America,,Tlaihggmhfiuezhjgps,Q,,50.0,udqexswxytatsvxw,Ontario,6.0,1611011.0,5.0,1.0,M,446.0,U,Baldor Electric
Ghl7610,Canada,,DSRXJZKFJTIVXLBAX,M,316963.0,0.0,Ghlflxgkavpsqvkpun,MD,0.0,2999167.0,0.0,4.0,M,,O,Commercial Metals
mtk7611,Canada,f,Annsrbdzywmpqvigpn,,84046.0,,mtkfmxripistepftjaxfosviokgqsf,AR,,,5.0,,W,,O,
QIY7612,United States of America,,Mrawpcvb,,368990.0,,QIYQRALNIIONMKDZB,Saskatchewan,9.0,3307491.0,0.0,3.0,M,723.0,O,Molina Healthcare
Ohz7613,Canada,,yociu,,124382.0,81.0,Ohzpaqjtc,OH,2.0,2057260.0,2.0,0.0,S,348.0,O,Plains All American Pipeline
djg7614,United States of America,,DQNVNWPYSMLDGXJVBUHUKDLRSLN,,9263.0,52.0,djgtucxplpftr,VA,,53179.0,2.0,0.0,M,666.0,O,Agilent Technologies
Iad7615,United States of America,,wfnjfn,,334181.0,68.0,Iaduje,ID,3.0,690086.0,2.0,4.0,M,,U,AutoZone
EMG7616,United States of America,,WWWEN,H,314001.0,,EMGQKGEOTCGAFGDZVTRUAVGZYPM,WI,8.0,2025465.0,0.0,1.0,M,844.0,R,
Hjn7617,Canada,,Krjcfgq,,168309.0,36.0,Hjnljezrxojeaoustvawackahexa,MS,8.0,695307.0,1.0,4.0,M,766.0,O,Universal Health Services
CYP7618,United States of America,M,Fxmpengjsaf,D,322765.0,31.0,CYPTBBGPWKKKFNOUHJ,OK,10.0,3238398.0,2.0,4.0,M,521.0,O,Time Warner
KPN7619,United States of America,,Eobtk,h,311253.0,55.0,KPNRNVLRFUTOWOERTCSIRQZ,GA,7.0,1213578.0,1.0,5.0,W,306.0,O,Sealed Air
Vbi7620,United States of America,,Abahrdfcbtscoblhaovnjkbx,x,140296.0,66.0,Vbimifwtrtvb,TN,9.0,103708.0,5.0,5.0,W,411.0,R,Sprint Nextel
ehb7621,United States of America,F,bhephgijqbu,,439984.0,22.0,ehbcbdctlcspuvwbqveohanmkolbw,SC,3.0,1086081.0,1.0,5.0,M,,O,
TMQ7622,United States of America,F,KECNVVPGTOXHIGOUAWLHU,C,454011.0,51.0,TMQACIIUMYYZHYX,AR,8.0,1349626.0,5.0,0.0,U,702.0,O,Quiksilver
Lsb7623,United States of America,a,xppmtvztaifqynlbmofxonnus,y,191541.0,26.0,Lsbutxufufshmkqnscnhx,MT,1.0,1083092.0,1.0,5.0,S,842.0,R,Valspar
Dpz7624,United States of America,M,kzntoukktuqqfuyeo,u,,100.0,Dpzpfctp,WY,0.0,1662799.0,2.0,1.0,U,528.0,R,Timken
Zuj7625,United States of America,,TDRLAQZARCGRAMDDMCWP,,,13.0,Zujmcfzznpfohsdp,WY,5.0,3548540.0,3.0,3.0,W,300.0,R,
Jqk7626,United States of America,,shbaeyxyrjfietruntrdeyqkc,,269215.0,11.0,Jqkozdva,WV,7.0,881414.0,2.0,1.0,S,752.0,O,Occidental Petroleum
ijb7627,Canada,m,Zururxrihusergiba,,193126.0,62.0,ijbcvbgglqupyentiqncsnswyygl,CA,0.0,1712200.0,0.0,4.0,M,303.0,O,
NMO7628,United States of America,F,QZLCPVRKZMTENMREVZT,U,462618.0,13.0,NMOXMHMVUDGY,Alberta,10.0,847446.0,3.0,5.0,M,418.0,O,Massey Energy
Tef7629,United States of America,f,dvbflygvxrizbclmqwoajkvnzoufc,,212026.0,23.0,Tefewe,New Brunswick,4.0,344294.0,3.0,3.0,W,667.0,O,Weyerhaeuser
Sdj7630,United States of America,,mtnubdnrdoivcuqmapqhtvzkixw,Z,371024.0,51.0,Sdjhq,British Columbia,7.0,1534879.0,1.0,4.0,D,441.0,U,National Fuel Gas
Pbr7631,United States of America,m,Nzljqsbgutsixlosfedpmlzl,,235810.0,2.0,Pbrfgfdwedgrmifitr,DE,0.0,3897101.0,3.0,2.0,U,471.0,O,Pep Boys
Ice7632,United States of America,m,Ealrdsynhtadihmsl,,347270.0,,Icejebxweavlnddpjz,CT,9.0,3064442.0,2.0,,W,701.0,O,Neiman Marcus
ZWG7633,United States of America,,xfjdwfentojva,,399212.0,82.0,ZWGIV,Quebec,1.0,2016524.0,5.0,2.0,D,323.0,R,BlackRock
Evw7634,United States of America,m,Zvowaelneuhpxzphpvtgvfz,,439561.0,94.0,Evwthrqmqfpsbpdqojtqzpjmpoea,NJ,10.0,37745.0,4.0,5.0,M,846.0,O,McGraw-Hill
Lhl7635,United States of America,m,fmdcjzjekrwrirumyvfuqnnkxzr,c,29980.0,16.0,Lhlatzfku,MN,8.0,503752.0,3.0,4.0,M,850.0,O,Family Dollar Stores
LYB7636,United States of America,,Ohetzpmilrphnhnasiisaypdl,N,28693.0,43.0,LYBUGCXZYJSERVQKQJKNIIW,NE,,2115180.0,2.0,5.0,M,,U,Teleflex
Ijb7637,Canada,M,VAUWGMVOILXNGKB,x,106794.0,76.0,Ijbmwiomutrflaupolplmfjsqh,VA,3.0,839222.0,1.0,2.0,M,564.0,O,
Zhf7638,United States of America,f,Tnwgmuvaaqmxskkyqnvrmnmul,,340598.0,0.0,Zhftulgpedd,PA,4.0,1851334.0,3.0,5.0,S,558.0,O,Imation
PYU7639,United States of America,m,mtovrkjvtfkennjujgpegknnck,r,490597.0,33.0,PYUHQOCHAUAWGKHHLXQNUWZTEBN,WV,0.0,1348251.0,1.0,,U,417.0,O,PPL
Iku7640,Canada,,Lwxdv,F,499685.0,62.0,Ikufiibsvk,WY,6.0,2722392.0,2.0,2.0,U,487.0,O,Smithfield Foods
HBZ7641,United States of America,m,Ftvuzjdzocqmcoxvrbqcna,,62285.0,8.0,HBZACUNNIOTFKFSTCILLC,MN,9.0,1785161.0,2.0,0.0,M,639.0,O,Macy's
Pco7642,United States of America,M,Hnbgeuii,,320885.0,4.0,Pcofbhaqeemibnkjtsoxmdibmpquo,VT,3.0,2823578.0,5.0,5.0,U,625.0,O,Torchmark
Ybv7643,United States of America,,Fykbowmpxpbb,,184669.0,39.0,Ybvjle,WV,1.0,2123972.0,5.0,3.0,D,,O,Herman Miller
Rim7644,United States of America,,Ruagwhiorgizpmbphjerywjrr,F,126989.0,90.0,Rimdakhncfjlrbor,IN,3.0,112782.0,0.0,0.0,S,,R,Kindred Healthcare
gnf7645,Canada,,teldp,,48144.0,7.0,gnfkwjxmvkbeh,MS,3.0,248311.0,1.0,4.0,M,460.0,,Arch Coal
Wxp7646,United States of America,F,Tmhxnpfgyifx,C,377787.0,95.0,Wxphiul,CO,8.0,3719851.0,5.0,4.0,,793.0,O,Whirlpool
Dxh7647,Canada,m,Fpchjcvsrkakkqqsojokdrg,N,323782.0,59.0,Dxhuevhfuceqmpoolmuhflp,PA,8.0,1920385.0,5.0,5.0,U,821.0,O,Arrow Electronics
Aqo7648,United States of America,,Heiehcgec,,31880.0,13.0,Aqopbqsxqxjj,DE,6.0,576903.0,3.0,2.0,S,,O,Rock-Tenn
fen7649,United States of America,,sgapkfrztiyyayezulvi,s,390190.0,58.0,fenowyirqcdcwwo,Prince Edward Island,8.0,1855037.0,5.0,3.0,D,643.0,O,R.H. Donnelley
CMQ7650,Canada,,Nohjtayoycptngwoitqzhmuf,,413821.0,67.0,CMQIHWYKNOLSX,TN,2.0,2954046.0,4.0,1.0,U,817.0,O,Pall
Yhb7651,United States of America,f,QIGFYQTIPFYCR,,301451.0,68.0,Yhbbdqabnbldfqhnofnxdrzrj,CA,10.0,952096.0,1.0,2.0,,702.0,O,Burlington Coat Factory
