indirizzo2,distretto,telefono,codice_postale,indirizzo_id,indirizzo,città,stato,stato_id,città_id
,Northern Cape,272572357893.0,72192.0,23,1417 Lancaster Avenue,Kimberley,South Africa,85,267
,Nothwest Border Prov,144453869132.0,21954.0,24,1688 Okara Way,Mardan,Pakistan,72,327
,Dhaka,892775750063.0,34418.0,25,262 A Coruña (La Coruña) Parkway,Tangail,Bangladesh,12,525
,Rabat-Sal-Zammour-Z,161968374323.0,37551.0,26,28 Charlotte Amalie Street,Salé,Morocco,62,443
,Liepaja,902731229323.0,7716.0,27,1780 Hino Boulevard,Liepaja,Latvia,54,303
,Córdoba,934730187245.0,99865.0,28,96 Tafuna Way,Córdoba,Argentina,6,128
,Sind,196495945706.0,99780.0,29,934 San Felipe de Puerto Plata Street,Shikarpur,Pakistan,72,472
,,998009777982.0,58327.0,30,18 Duisburg Boulevard,Città del Vaticano,Holy See (Vatican City State),41,121
,Southern Mindanao,665356572025.0,49521.0,31,217 Botshabelo Place,Davao,Philippines,75,138
,Bihar,678220867005.0,65599.0,32,1425 Shikarpur Manor,Munger (Monghyr),India,44,346
,Yamaguchi,18461860151.0,65750.0,33,786 Aurora Avenue,Shimonoseki,Japan,50,474
,Taipei,525255540978.0,50199.0,34,1668 Anápolis Street,Lungtan,Taiwan,92,316
,West Bengali,745994947458.0,30348.0,35,33 Gorontalo Way,Kamarhati,India,44,257
,Uttar Pradesh,627705991774.0,65213.0,36,176 Mandaluyong Place,Jhansi,India,44,239
,Piemonte,911872220378.0,79388.0,37,127 Purnea (Purnia) Manor,Alessandria,Italy,49,17
,Okayama,708403338270.0,94065.0,38,61 Tama Street,Kurashiki,Japan,50,284
,Midi-Pyrnes,440512153169.0,34021.0,39,391 Callao Drive,Toulouse,France,34,544
,Markazi,481183273622.0,38145.0,40,334 Munger (Monghyr) Lane,Arak,Iran,46,31
,Henan,912257250465.0,47929.0,41,1440 Fukuyama Loop,Nanyang,China,23,362
,Chisinau,489783829737.0,34689.0,42,269 Cam Ranh Parkway,Chisinau,Moldova,61,115
,Esprito Santo,378318851631.0,3989.0,43,306 Antofagasta Place,Vila Velha,Brazil,15,569
,Oriental,680768868518.0,94399.0,44,671 Graz Street,Nador,Morocco,62,353
,Yerevan,42384721397.0,16744.0,45,42 Brindisi Place,Yerevan,Armenia,7,586
,Nonthaburi,471675840679.0,61117.0,46,1632 Bislig Avenue,Pak Kret,Thailand,94,394
,Tahiti,539758313890.0,48942.0,47,1447 Imus Way,Faaa,French Polynesia,36,167
,Lipetsk,177727722820.0,76022.0,48,1998 Halifax Drive,Lipetsk,Russian Federation,80,308
,Antofagasta,675292816413.0,37359.0,49,1718 Valencia Street,Antofagasta,Chile,22,27
,Moscow (City),262076994845.0,23616.0,50,46 Pjatigorsk Lane,Moscow,Russian Federation,80,343
,Cear,69493378813.0,52535.0,51,686 Garland Manor,Juazeiro do Norte,Brazil,15,247
,Tatarstan,705800322606.0,69367.0,52,909 Garland Manor,Niznekamsk,Russian Federation,80,367
,Mekka,876295323994.0,74428.0,53,725 Isesaki Place,Jedda,Saudi Arabia,82,237
,Khartum,307703950263.0,80168.0,54,115 Hidalgo Parkway,Omdurman,Sudan,89,379
,California,171822533480.0,48150.0,55,1135 Izumisano Parkway,Fontana,United States,103,171
,Galicia,680428310138.0,4166.0,56,939 Probolinggo Loop,A Coruña (La Coruña),Spain,87,1
,Chiba,697760867968.0,38594.0,57,17 Kabul Boulevard,Nagareyama,Japan,50,355
,Yamaguchi,920811325222.0,48980.0,58,1964 Allappuzha (Alleppey) Street,Iwakuni,Japan,50,227
,Moskova,499352017190.0,57807.0,59,1697 Kowloon and New Kowloon Loop,Balašiha,Russian Federation,80,49
,Tahiti,347487831378.0,39072.0,60,1668 Saint Louis Place,Papeete,French Polynesia,36,397
,Vaduz,889318963672.0,45428.0,61,943 Tokat Street,Vaduz,Liechtenstein,55,560
,Sarawak,212869228936.0,69226.0,62,1114 Liepaja Street,Kuching,Malaysia,59,282
,Karnataka,800024380485.0,94352.0,63,1213 Ranchi Parkway,Mysore,India,44,350
,Rajasthan,250767749542.0,55561.0,64,81 Hodeida Way,Jaipur,India,44,231
,Basel-Stadt,1395251317.0,83980.0,65,915 Ponce Place,Basel,Switzerland,91,56
,Missouri,914090181665.0,85505.0,66,1717 Guadalajara Lane,Saint Louis,United States,103,441
,Nebraska,491001136577.0,67055.0,67,1214 Hanoi Way,Lincoln,United States,103,306
,Sichuan,333489324603.0,70385.0,68,1966 Amroha Avenue,Daxian,China,23,139
,Cayenne,409983924481.0,71110.0,69,698 Otsu Street,Cayenne,French Guiana,35,105
,Skne ln,663449333709.0,96109.0,70,1150 Kimchon Manor,Malmö,Sweden,90,321
,Hunan,947233365992.0,5135.0,71,1586 Guarujá Place,Xi´angtan,China,23,579
,Madhya Pradesh,990214419142.0,48960.0,72,57 Arlington Manor,Shivapuri,India,44,475
,Béchar,107137400143.0,59025.0,73,1031 Daugavpils Parkway,Béchar,Algeria,2,63
,Mekka,407733804223.0,6856.0,74,1124 Buenaventura Drive,al-Hawiya,Saudi Arabia,82,13
,Eastern Visayas,565018274456.0,50805.0,75,492 Cam Ranh Street,Baybay,Philippines,75,61
,National Capital Reg,255800440636.0,75444.0,76,89 Allappuzha (Alleppey) Manor,Taguig,Philippines,75,517
,Chiayi,427454485876.0,60951.0,77,1947 Poços de Caldas Boulevard,Chiayi,Taiwan,92,114
,São Paulo,241832790687.0,20207.0,78,1206 Dos Quebradas Place,Rio Claro,Brazil,15,431
,Changhwa,251164340471.0,72394.0,79,1551 Rampur Lane,Changhwa,Taiwan,92,108
,Pavlodar,896314772871.0,98889.0,80,602 Paarl Street,Pavlodar,Kazakstan,51,402
,São Paulo,918711376618.0,9223.0,81,1692 Ede Loop,Araçatuba,Brazil,15,30
,Uttar Pradesh,875756771675.0,96709.0,82,936 Salzburg Lane,Rae Bareli,India,44,425
,Kanagawa,18581624103.0,1079.0,83,586 Tete Way,Kamakura,Japan,50,256
,Oyo & Osun,701457319790.0,20936.0,84,1888 Kabul Drive,Ife,Nigeria,69,217
,Mahajanga,223664661973.0,37307.0,85,320 Baiyin Parkway,Mahajanga,Madagascar,57,319
,Krim,821972242086.0,9495.0,86,927 Bahía Blanca Parkway,Simferopol,Ukraine,100,479
,Gauteng,800716535041.0,74671.0,87,929 Tallahassee Loop,Springs,South Africa,85,497
,Puebla,48417642933.0,67912.0,88,125 Città del Vaticano Boulevard,Atlixco,Mexico,60,40
,England,720998247660.0,88002.0,89,1557 Kütahya Boulevard,Bradford,United Kingdom,102,88
,Songkhla,135117278909.0,84931.0,90,870 Ashqelon Loop,Songkhla,Thailand,94,489
,Sucre,198123170793.0,29932.0,91,1740 Portoviejo Avenue,Sincelejo,Colombia,24,480
,Cheju,978987363654.0,82624.0,92,1942 Ciparay Parkway,Cheju,South Korea,86,113
,Buenos Aires,846225459260.0,75543.0,93,1926 El Alto Avenue,La Plata,Argentina,6,289
,Guangdong,991562402283.0,25958.0,94,1952 Chatsworth Drive,Meixian,China,23,332
,Brunei and Muara,345679835036.0,52163.0,95,1370 Le Mans Avenue,Bandar Seri Begawan,Brunei,16,53
,Gois,132986892228.0,17119.0,96,984 Effon-Alaiye Avenue,Goiânia,Brazil,15,183
,Inner Mongolia,275595571388.0,49021.0,97,832 Nakhon Sawan Manor,Zalantun,China,23,592
,Caraga,835433605312.0,53182.0,98,152 Kitwe Parkway,Bislig,Philippines,75,82
,Punjab,4764773857.0,22870.0,99,1697 Tanauan Lane,Pathankot,India,44,399
,Georgia,6171054059.0,30695.0,100,1308 Arecibo Way,Augusta-Richmond County,United States,103,41
,Tete,817248913162.0,71986.0,101,1599 Plock Drive,Tete,Mozambique,63,534
,Abu Dhabi,412903167998.0,92265.0,102,669 Firozabad Loop,al-Ayn,United Arab Emirates,101,12
,Kyongsangbuk,333339908719.0,51540.0,103,588 Vila Velha Manor,Kimchon,South Korea,86,268
,Lipetsk,942570536750.0,97287.0,104,1913 Kamakura Place,Jelets,Russian Federation,80,238
,Asir,196568435814.0,77459.0,105,733 Mandaluyong Place,Abha,Saudi Arabia,82,2
,Ha Darom,709935135487.0,49708.0,106,659 Vaduz Drive,Ashdod,Israel,48,34
,Kwara & Kogi,484292626944.0,3305.0,107,1177 Jelets Way,Ilorin,Nigeria,69,220
,Provence-Alpes-Cte,449216226468.0,80720.0,108,1386 Yangor Avenue,Toulon,France,34,543
,Funafuti,963887147572.0,76383.0,109,454 Nakhon Sawan Boulevard,Funafuti,Tuvalu,99,173
,Ivanovo,547003310357.0,78311.0,110,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,Russian Federation,80,225
,Buenos Aires,330838016880.0,9599.0,111,1532 Dzerzinsk Way,Merlo,Argentina,6,334
,Mxico,371490777743.0,93026.0,112,1002 Ahmadnagar Manor,Huixquilucan,Mexico,60,213
,North West,622255216127.0,30418.0,113,682 Junan Way,Klerksdorp,South Africa,85,273
,Hubei,379804592943.0,61069.0,114,804 Elista Drive,Enshi,China,23,159
,Distrito Federal,272234298332.0,75834.0,115,1378 Alvorada Avenue,Caracas,Venezuela,104,102
,California,824370924746.0,87057.0,116,793 Cam Ranh Avenue,Lancaster,United States,103,292
,Sucre,358178933857.0,10885.0,117,1079 Tel Aviv-Jaffa Boulevard,Cumaná,Venezuela,104,132
,Nordrhein-Westfalen,886636413768.0,24321.0,118,442 Rae Bareli Place,Duisburg,Germany,38,148
,Mxico,867546627903.0,75149.0,119,1107 Nakhon Sawan Avenue,Nezahualcóyotl,Mexico,60,365
,Central Java,386759646229.0,63502.0,120,544 Malmö Parkway,Pemalang,Indonesia,45,403
,Gujarat,577812616052.0,73644.0,121,1967 Sincelejo Place,Gandhinagar,India,44,176
,Texas,909029256431.0,78625.0,122,333 Goiânia Way,Grand Prairie,United States,103,185
,al-Qalyubiya,787654415858.0,96065.0,123,1987 Coacalco de Berriozábal Loop,Shubra al-Khayma,Egypt,29,476
,Risaralda,765345144779.0,76157.0,124,241 Mosul Lane,Dos Quebradas,Colombia,24,147
,Uttar Pradesh,665993880048.0,58186.0,125,211 Chiayi Drive,Etawah,India,44,164
,Lima,937222955822.0,64615.0,126,1175 Tanauan Way,Lima,Peru,74,305
,Uttar Pradesh,677976133614.0,6804.0,127,117 Boa Vista Way,Varanasi (Benares),India,44,566
,Kütahya,614935229095.0,45142.0,128,848 Tafuna Manor,Kütahya,Turkey,97,281
,Gauteng,490211944645.0,60304.0,129,569 Baicheng Lane,Boksburg,South Africa,85,85
,São Paulo,582835362905.0,66255.0,130,1666 Qomsheh Drive,Poá,Brazil,15,410
,Smolensk,237426099212.0,8439.0,131,801 Hagonoy Drive,Smolensk,Russian Federation,80,484
,Slaskie,973047364353.0,4999.0,132,1050 Garden Grove Avenue,Jastrzebie-Zdrój,Poland,76,236
,Shandong,509492324775.0,15819.0,133,1854 Tieli Street,Liaocheng,China,23,302
,Gois,935448624185.0,82639.0,134,758 Junan Lane,Águas Lindas de Goiás,Brazil,15,190
,Taka-Karpatia,252265130067.0,14014.0,135,1752 São Leopoldo Parkway,Mukatševe,Ukraine,100,345
,Free State,707169393853.0,49757.0,136,898 Belém Manor,Botshabelo,South Africa,85,87
,Coahuila de Zaragoza,321944036800.0,83401.0,137,261 Saint Louis Way,Torreón,Mexico,60,541
,al-Qalyubiya,23712411567.0,4285.0,138,765 Southampton Drive,Qalyub,Egypt,29,421
,Maharashtra,90921003005.0,5892.0,139,943 Johannesburg Avenue,Pune,India,44,417
,Karnataka,146497509724.0,81691.0,140,788 Atšinsk Street,Hubli-Dharwad,India,44,211
,Gelderland,963369996279.0,11044.0,141,1749 Daxian Place,Apeldoorn,Netherlands,67,29
,Inner Mongolia,468060467018.0,85769.0,142,1587 Sullana Lane,Hohhot,China,23,207
,Ynlin,33173584456.0,57519.0,143,1029 Dzerzinsk Manor,Touliu,Taiwan,92,542
,Tennessee,9099941466.0,13377.0,144,1666 Beni-Mellal Place,Clarksville,United States,103,123
,Hiroshima,581852137991.0,93762.0,145,928 Jaffna Loop,Fukuyama,Japan,50,172
,Scotland,581174211853.0,60562.0,146,483 Ljubertsy Parkway,Dundee,United Kingdom,102,149
,Kilis,923261616249.0,97700.0,147,374 Bat Yam Boulevard,Kilis,Turkey,97,266
,Minsk,563660187896.0,30861.0,148,1027 Songkhla Manor,Molodetšno,Belarus,13,340
,Gauteng,918032330119.0,3439.0,149,999 Sanaa Loop,Soshanguve,South Africa,85,491
,Michigan,206841104594.0,90732.0,150,879 Newcastle Way,Sterling Heights,United States,103,499
,Saitama,597815221267.0,99457.0,151,1337 Lincoln Parkway,Urawa,Japan,50,555
,Saint-Denis,354615066969.0,92150.0,152,1952 Pune Lane,Saint-Denis,Réunion,79,442
,Massachusetts,885899703621.0,25545.0,153,782 Mosul Street,Brockton,United States,103,94
,Michoacn de Ocampo,632316273199.0,95444.0,154,781 Shimonoseki Drive,Hidalgo,Mexico,60,202
,Shandong,189446090264.0,77777.0,155,1560 Jelets Boulevard,Laiwu,China,23,291
,Assam,761379480249.0,64863.0,156,1963 Moscow Place,Nagaon,India,44,354
,Jakarta Raya,719202533520.0,36061.0,157,456 Escobar Way,Jakarta,Indonesia,45,232
,Shanxi,499408708580.0,76990.0,158,798 Cianjur Avenue,Yuncheng,China,23,590
,Bern,904253967161.0,41778.0,159,185 Novi Sad Place,Bern,Switzerland,91,72
,Ondo & Ekiti,889538496300.0,21294.0,160,1367 Yantai Manor,Ondo,Nigeria,69,381
,Pyongyang-si,368899174225.0,53502.0,161,1386 Nakhon Sawan Boulevard,Pyongyang,North Korea,70,420
,North Carolina,170117068815.0,66639.0,162,369 Papeete Way,Greensboro,United States,103,187
,North Austria,931059836497.0,81037.0,163,1440 Compton Place,Linz,Austria,9,307
,Moskova,149981248346.0,81511.0,164,1623 Bahía Blanca Manor,Ljubertsy,Russian Federation,80,310
,Tel Aviv,177167004331.0,44660.0,165,97 Shimoga Avenue,Tel Aviv-Jaffa,Israel,48,533
,Pays de la Loire,168476538960.0,22853.0,166,1740 Le Mans Loop,Le Mans,France,34,297
,Gifu,819416131190.0,57844.0,167,1287 Xi´angfan Boulevard,Kakamigahara,Japan,50,253
,Adana,697151428760.0,3313.0,168,842 Salzburg Lane,Tarsus,Turkey,97,529
,Xinxiang,935508855935.0,62250.0,169,154 Tallahassee Loop,Hami,China,23,199
,Lilongwe,843801144113.0,76901.0,170,710 San Felipe del Progreso Avenue,Lilongwe,Malawi,58,304
,Maharashtra,182363341674.0,62686.0,171,1540 Wroclaw Drive,Chandrapur,India,44,107
,Gansu,201705577290.0,59571.0,172,475 Atšinsk Way,Jinchang,China,23,240
,Ji´angxi,161801569569.0,70618.0,173,1294 Firozabad Drive,Pingxiang,China,23,407
,Rajasthan,264541743403.0,63337.0,174,1877 Ezhou Lane,Udaipur,India,44,550
,Perak,275788967899.0,58194.0,175,316 Uruapan Street,Ipoh,Malaysia,59,223
,Batman,734780743462.0,47753.0,176,29 Pyongyang Loop,Batman,Turkey,97,58
,Steiermark,493008546874.0,6802.0,177,1010 Klerksdorp Way,Graz,Austria,9,186
,Miranda,48265851133.0,25220.0,178,1848 Salala Boulevard,Ocumare del Tuy,Venezuela,104,373
,Kerala,230250973122.0,4854.0,179,431 Xi´angtan Avenue,Allappuzha (Alleppey),India,44,18
,Skikda,506134035434.0,89668.0,180,757 Rustenburg Avenue,Skikda,Algeria,2,483
,Tamaulipas,953689007081.0,54132.0,181,146 Johannesburg Way,Matamoros,Mexico,60,330
,São Paulo,391065549876.0,47288.0,182,1891 Rizhao Boulevard,Santa Bárbara d´Oeste,Brazil,15,456
,Kirov,866092335135.0,35109.0,183,1089 Iwatsuki Avenue,Kirovo-Tšepetsk,Russian Federation,80,270
,Risaralda,104150372603.0,29747.0,184,1410 Benin City Parkway,Pereira,Colombia,24,405
,Tennessee,72136330362.0,67497.0,185,682 Garden Grove Place,Memphis,United States,103,333
,California,662227486184.0,8862.0,186,533 al-Ayn Boulevard,Compton,United States,103,126
,Gois,947468818183.0,55709.0,187,1839 Székesfehérvár Parkway,Luziânia,Brazil,15,317
,Noord-Brabant,302590383819.0,43310.0,188,741 Ambattur Manor,´s-Hertogenbosch,Netherlands,67,438
,Chaharmahal va Bakht,951486492670.0,65121.0,189,927 Barcelona Street,Shahr-e Kord,Iran,46,467
,West Bengali,760171523969.0,74750.0,190,435 0 Way,Haldia,India,44,195
,Sumy,855863906434.0,38982.0,191,140 Chiayi Parkway,Sumy,Ukraine,100,506
,Caraga,650752094490.0,58852.0,192,1166 Changhwa Street,Bayugan,Philippines,75,62
,Ontario,247646995453.0,5379.0,193,891 Novi Sad Manor,Oshawa,Canada,20,383
,Tabora,352469351088.0,49348.0,194,605 Rio Claro Parkway,Tabora,Tanzania,93,513
,Rostov-na-Donu,812824036424.0,65387.0,195,1077 San Felipe de Puerto Plata Place,Novotšerkassk,Russian Federation,80,369
,Uttar Pradesh,956188728558.0,90845.0,196,9 San Miguel de Tucumán Manor,Firozabad,India,44,169
,Nyanza,940830176580.0,10428.0,197,447 Surakarta Loop,Kisumu,Kenya,52,271
,Tokyo-to,104491201771.0,32114.0,198,345 Oshawa Boulevard,Hino,Japan,50,204
,Nordrhein-Westfalen,419419591240.0,15540.0,199,1792 Valle de la Pascua Place,Siegen,Germany,38,477
,Baden-Wrttemberg,331132568928.0,36490.0,200,1074 Binzhou Manor,Mannheim,Germany,38,325
,Ji´angsu,264286442804.0,89459.0,201,817 Bradford Loop,Changzhou,China,23,109
,Ondo & Ekiti,768481779568.0,1545.0,202,955 Bamenda Way,Ikerre,Nigeria,69,218
,Haiphong,470884141195.0,95824.0,203,1149 A Coruña (La Coruña) Boulevard,Haiphong,Vietnam,105,194
,Ahal,764477681869.0,8073.0,204,387 Mwene-Ditu Drive,Ashgabat,Turkmenistan,98,35
,Nordrhein-Westfalen,146640639760.0,4662.0,205,68 Molodetšno Manor,Witten,Germany,38,575
,Maharashtra,369050085652.0,3924.0,206,642 Nador Drive,Bhusawal,India,44,77
,Sulawesi Utara,652218196731.0,61613.0,207,1688 Nador Lane,Gorontalo,Indonesia,45,184
,Usak,646237101779.0,25238.0,208,1215 Pyongyang Parkway,Usak,Turkey,97,557
,Alto Paran,905903574913.0,86599.0,209,1679 Antofagasta Street,Ciudad del Este,Paraguay,73,122
,Santa Catarina,90336226227.0,10925.0,210,1304 ´s-Hertogenbosch Way,Blumenau,Brazil,15,83
,Kitaa,403404780639.0,10800.0,211,850 Salala Loop,Nuuk,Greenland,40,371
,West Bengali,49677664184.0,89959.0,212,624 Oshawa Boulevard,Balurghat,India,44,51
,Rajasthan,95666951770.0,4855.0,213,43 Dadu Avenue,Bhilwara,India,44,74
,Aden,756460337785.0,99405.0,214,751 Lima Loop,Aden,Yemen,107,7
,Jilin,408304391718.0,82161.0,215,1333 Haldia Street,Fuyu,China,23,174
,Taizz,584316724815.0,67924.0,217,1001 Miyakonojo Lane,Taizz,Yemen,107,518
,California,785881412500.0,2299.0,218,226 Brest Manor,Sunnyvale,United States,103,508
,Haskovo,352679173732.0,99124.0,219,1229 Valencia Parkway,Stara Zagora,Bulgaria,17,498
,Gois,873492228462.0,21464.0,220,1201 Qomsheh Manor,Aparecida de Goiânia,Brazil,15,28
,Uttar Pradesh,778502731092.0,22474.0,221,866 Shivapuri Manor,Sambhal,India,44,448
,Kabol,886649065861.0,40301.0,222,1168 Najafabad Parkway,Kabul,Afghanistan,1,251
,Buenos Aires,991802825778.0,20657.0,223,1244 Allappuzha (Alleppey) Place,Vicente López,Argentina,6,567
,Zanzibar West,706878974831.0,94420.0,224,1842 Luziânia Boulevard,Zanzibar,Tanzania,93,593
,Sisilia,469738825391.0,22824.0,225,1926 Gingoog Street,Syrakusa,Italy,49,511
,Punjab,99760893676.0,88307.0,227,1820 Maringá Parkway,Mandi Bahauddin,Pakistan,72,324
,Rajasthan,963063788669.0,82338.0,228,60 Poços de Caldas Street,Jodhpur,India,44,243
,Tamil Nadu,460795526514.0,66851.0,229,1014 Loja Manor,Ambattur,India,44,22
,Asunción,684192903087.0,64344.0,230,201 Effon-Alaiye Way,Asunción,Paraguay,73,37
,Saarland,669828224459.0,47446.0,231,430 Alessandria Loop,Saarbrücken,Germany,38,439
,Phnom Penh,594319417514.0,87911.0,232,754 Valencia Place,Phnom Penh,Cambodia,18,406
,Gois,22326410776.0,93323.0,233,356 Olomouc Manor,Anápolis,Brazil,15,26
,Botosani,479007229460.0,50598.0,234,1256 Bislig Boulevard,Botosani,Romania,78,86
,West Bengali,541327526474.0,42420.0,235,954 Kimchon Place,Uttarpara-Kotrung,India,44,559
,Kaduna,588964509072.0,31390.0,236,885 Yingkou Manor,Zaria,Nigeria,69,596
,Qina,431770603551.0,98775.0,237,1736 Cavite Place,Idfu,Egypt,29,216
,Hawalli,630424482919.0,90628.0,238,346 Skikda Parkway,Jalib al-Shuyukh,Kuwait,53,233
,Valle,610173756082.0,76448.0,239,98 Stara Zagora Boulevard,Buenaventura,Colombia,24,96
,Southern Tagalog,727785483194.0,18727.0,240,1479 Rustenburg Boulevard,Tanza,Philippines,75,527
,Chollanam,792557457753.0,36971.0,241,647 A Coruña (La Coruña) Street,Naju,South Korea,86,357
,Karnataka,918119601885.0,14408.0,242,1964 Gijón Manor,Shimoga,India,44,473
,West Java,63937119031.0,22236.0,243,47 Syktyvkar Lane,Ciomas,Indonesia,45,118
,Fukushima,137773001988.0,1921.0,244,1148 Saarbrücken Parkway,Iwaki,Japan,50,226
,Hubei,279979529227.0,87660.0,245,1103 Bilbays Parkway,Xi´angfan,China,23,578
,Hebei,890283544295.0,28349.0,246,1246 Boksburg Parkway,Qinhuangdao,China,23,422
,Tucumn,686015532180.0,37288.0,247,1483 Pathankot Street,San Miguel de Tucumán,Argentina,6,454
,Central Visayas,569868543137.0,27722.0,248,582 Papeete Loop,Lapu-Lapu,Philippines,75,294
,Kyonggi,890289150158.0,81314.0,249,300 Junan Street,Uijongbu,South Korea,86,553
,Paraná,741070712873.0,6461.0,250,829 Grand Prairie Way,Maringá,Brazil,15,328
,Mxico,266798132374.0,75933.0,251,1473 Changhwa Parkway,Coacalco de Berriozábal,Mexico,60,124
,Florida,435785045362.0,57338.0,252,1309 Weifang Street,Tallahassee,United States,103,520
,Tianjin,56257502250.0,38140.0,253,1760 Oshawa Manor,Tianjin,China,23,535
,Oyo & Osun,716256596301.0,98332.0,254,786 Stara Zagora Way,Oyo,Nigeria,69,390
,Anhalt Sachsen,567359279425.0,36481.0,255,1966 Tonghae Street,Halle/Saale,Germany,38,198
,England,246810237916.0,3433.0,256,1497 Yuzhou Drive,London,United Kingdom,102,312
,Miyazaki,134673576619.0,32474.0,258,752 Ondo Loop,Miyakonojo,Japan,50,338
,Minas Gerais,840522972766.0,45403.0,259,1338 Zalantun Lane,Poços de Caldas,Brazil,15,413
,Central Luzon,987442542471.0,20777.0,260,127 Iwakuni Boulevard,Hagonoy,Philippines,75,192
,Sagaing,884536620568.0,68146.0,261,51 Laredo Avenue,Monywa,Myanmar,64,342
,Sofala,245477603573.0,86768.0,262,771 Yaoundé Manor,Beira,Mozambique,63,64
,Santiago,46871694740.0,69517.0,263,532 Toulon Street,Santiago de los Caballeros,Dominican Republic,27,460
,West Bengali,538241037443.0,50390.0,264,1027 Banjul Place,Halisahar,India,44,197
,Shanxi,276555730211.0,98484.0,265,1158 Mandi Bahauddin Parkway,Datong,China,23,136
,Cagayan Valley,265153400632.0,30065.0,266,862 Xintai Lane,Tuguegarao,Philippines,75,548
,Manab,282874611748.0,93629.0,267,816 Cayenne Parkway,Portoviejo,Ecuador,28,414
,National Capital Reg,322888976727.0,51990.0,268,1831 Nam Dinh Loop,Mandaluyong,Philippines,75,323
,Osaka,303967439816.0,19428.0,269,446 Kirovo-Tšepetsk Lane,Higashiosaka,Japan,50,203
,Severn Morava,475553436330.0,20536.0,270,682 Halisahar Place,Olomouc,Czech Republic,26,378
,Salzburg,621625204422.0,5410.0,271,1587 Loja Manor,Salzburg,Austria,9,447
,Hunan,192459639410.0,53928.0,272,1762 Paarl Parkway,Lengshuijiang,China,23,298
,Kerala,357445645426.0,49298.0,273,1519 Ilorin Place,Palghat (Palakkad),India,44,395
,California,685010736240.0,75090.0,274,920 Kumbakonam Loop,Salinas,United States,103,446
,Wielkopolskie,701767622697.0,83565.0,275,906 Goiânia Way,Kalisz,Poland,76,255
,Tamil Nadu,271149517630.0,11763.0,276,1675 Xi´angfan Manor,Kumbakonam,India,44,283
,Shandong,170739645687.0,46063.0,277,85 San Felipe de Puerto Plata Drive,Yantai,China,23,584
,Guanajuato,45387294817.0,2012.0,278,144 South Hill Loop,Salamanca,Mexico,60,445
,Haryana,959949395183.0,85548.0,279,1884 Shikarpur Avenue,Karnal,India,44,263
,Illinois,874337098891.0,89502.0,280,1980 Kamjanets-Podilskyi Street,Peoria,United States,103,404
,Michigan,75975221996.0,24645.0,281,1944 Bamenda Way,Warren,United States,103,573
,Oyo & Osun,363982224739.0,55802.0,282,556 Baybay Manor,Ogbomosho,Nigeria,69,374
,Bursa,880756161823.0,56254.0,283,457 Tongliao Loop,Inegöl,Turkey,97,222
,East Azerbaidzan,117592274996.0,96204.0,284,600 Bradford Street,Tabriz,Iran,46,514
,Ondo & Ekiti,85059738746.0,36229.0,285,1006 Santa Bárbara d´Oeste Manor,Owo,Nigeria,69,389
,Ponce,62781725285.0,8160.0,287,1405 Chisinau Place,Ponce,Puerto Rico,77,411
,Xinxiang,790651020929.0,58492.0,288,226 Halifax Street,Korla,China,23,277
,Edo & Delta,195003555232.0,75860.0,289,1279 Udine Parkway,Benin City,Nigeria,69,69
