AgID,St,NuCh,OwOReFl,Inc,PoC,Co,AdL2,MiIni,AddrL1,MarSt,NumC,NWor,LN,Em,Ph,A,CreRat,NumCreCar
Ffs7514,IL,1.0,R,432425.0,Lwbawk,,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,v,,U,4.0,1167013.0,Ffshsiomkzjonhxjhunfsao,MDU Resources Group,1-536-880-0961,10.0,786.0,4.0
Kvv7515,VA,3.0,O,122041.0,Ppsrzjdtg,United States of America,,F,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,U,0.0,3960216.0,Kvvverfkpazpzzkrqniixrhnw,Freescale Semiconductor,1-494-335-6022,24.0,,10.0
mpz7516,ID,4.0,O,302205.0,,United States of America,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,G,,M,1.0,242246.0,mpzqnwnrmaozfsstcqtrc,Superior Energy Services,1-814-158-3550,18.0,623.0,5.0
Jhc7517,TX,1.0,O,367555.0,,United States of America,Havgczldcpfmwfzj,s,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,S,1.0,1217660.0,Jhcbaxyzijphmmvpampdgvgisnab,Monsanto,1-420-580-0795,79.0,845.0,1.0
dbq7518,New Brunswick,5.0,U,106025.0,Rxdsunq,United States of America,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,l,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,4.0,1229655.0,dbqcukoddoiwg,Newfield Exploration,1-924-305-1666,36.0,645.0,7.0
Xch7519,Alberta,2.0,O,106690.0,JXHVEEOU,Canada,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,W,2.0,1157831.0,Xchoxlbkffuvox,Loews,1-450-082-2122,21.0,495.0,1.0
oir7520,PA,2.0,O,29373.0,XHJQCDPOO,Canada,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Z,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,M,2.0,,oirfujtvl,Apache,1-573-009-1404,4.0,371.0,8.0
Fqb7521,Nova Scotia,3.0,R,168189.0,rapkjpmvp,United States of America,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,O,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,S,2.0,,Fqbovz,Robert Half International,1-603-897-9894,72.0,462.0,1.0
qex7522,RI,,U,264756.0,Slskxm,United States of America,Rirmrpvlknyho,,Dmyivtczopuqajpnjqvvgbhxynvduub,S,,3467922.0,qextfjyytqwbmdrlykbfnhvqrmota,Viacom,1-947-161-6502,1.0,375.0,7.0
Hpi7523,OR,2.0,U,44480.0,FXHXLG,Canada,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,S,1.0,46859.0,Hpiedhvkedqqdxsoedt,Robert Half International,1-586-826-9847,98.0,516.0,10.0
Fjd7524,CA,5.0,R,87207.0,ovlziicdezok,Canada,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,Esuycdxsjfbrqbtluspxsehk,,1.0,2937668.0,Fjdafgbcrml,CSX,1-217-243-2668,35.0,703.0,
Cgt7525,MO,2.0,O,238434.0,jsxcpvao,United States of America,Rpzwirgfyiw,,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,W,4.0,2388613.0,Cgtcmbl,Country Financial Services,1-857-211-5728,99.0,734.0,7.0
Lwx7526,Prince Edward Island,2.0,U,,Ykerbceq,United States of America,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,0.0,3116283.0,Lwxudfgcqawccntqaucdaeym,Procter & Gamble,1-089-966-6281,49.0,469.0,4.0
epy7527,Quebec,0.0,O,391354.0,VVMSNWEBT,United States of America,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,,vnyndcximwxhecv,S,3.0,2671950.0,epyxtfsrijhddstgaxkbgmlayjtk,Ingles Markets,,72.0,595.0,2.0
Aff7528,KS,0.0,O,419165.0,bibueqwbejem,United States of America,Acdrcqabtcdgmgl,M,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,U,3.0,3899593.0,Affcha,Forest Laboratories,1-231-342-6874,41.0,410.0,1.0
mfc7529,NV,2.0,O,396509.0,gehpynlk,Canada,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,S,,W,3.0,2537332.0,mfcestd,Dentsply International,,54.0,475.0,10.0
Slf7530,TN,2.0,R,145161.0,Piwlxtg,United States of America,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,S,GVSBHGBDDVJFNNOZNNPJWCOI,,0.0,733236.0,Slfbmvc,RadioShack,1-602-637-1838,11.0,,2.0
Cxu7531,WY,5.0,O,263206.0,Ujlshmosjkid,United States of America,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,W,2.0,,Cxuousxqyrfgjvpvuopyfguqva,Century Aluminum,1-003-982-8627,0.0,519.0,3.0
GZO7532,British Columbia,3.0,U,190371.0,cwburwnupuj,United States of America,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,F,BIQIOQOHLQSTBRUFOI,D,3.0,3397276.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,,1-136-358-6852,27.0,841.0,5.0
DRW7533,LA,1.0,O,203968.0,CNEZMHTKIAEV,United States of America,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,A,Llfaqkbemnoy,U,3.0,2444257.0,DRWTVTDSG,FPL Group,1-123-528-2965,95.0,540.0,6.0
set7534,HI,3.0,R,428323.0,kixvppuqtd,United States of America,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,N,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,U,1.0,71520.0,setksinlvlrjwnfu,Lockheed Martin,1-136-565-2501,35.0,540.0,10.0
Pyo7535,NY,1.0,O,159980.0,jrhynxfi,United States of America,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,M,4.0,1911091.0,Pyoixliri,Sanmina-SCI,1-317-986-1984,96.0,,6.0
FSH7536,TX,0.0,O,266852.0,dnhtjyu,Canada,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,W,0.0,988775.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,Iron Mountain,1-265-603-1262,96.0,424.0,6.0
Tdx7537,AZ,5.0,R,206973.0,YKOVOTYB,United States of America,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,,M,5.0,3919363.0,Tdxyljuxporjhdumcvfmv,OfficeMax,,49.0,623.0,2.0
Sbn7538,ME,1.0,O,258221.0,WNNMWJ,Canada,XHQNMCEJKXOQYVSZVESLKC,O,atydogjpqphuwhegtbukkqiaeakrtrn,S,5.0,428918.0,Sbnxcsrozzcufdoyvckpplofysx,AMR,1-156-668-6882,,792.0,4.0
Piq7539,NH,4.0,O,428508.0,Oktkljv,United States of America,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,C,Hlotorcbtobuceb,S,4.0,58134.0,Piqizouhxiw,Kohl's,1-164-648-3203,27.0,718.0,6.0
IXD7540,KY,0.0,O,,,,Toumjfbsumpgfuskpydjeibaxi,,gsrdigbqfwrahybxrtm,M,4.0,3703767.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,Cigna,1-839-795-1027,98.0,401.0,6.0
wsn7541,Prince Edward Island,5.0,R,58953.0,GXFLSISZUY,United States of America,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,M,4.0,433859.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,West,1-958-412-4252,,557.0,2.0
Jkp7542,British Columbia,5.0,O,409682.0,gzexcrngivl,United States of America,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,A,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,W,5.0,3002044.0,Jkpmtcj,Monsanto,1-392-335-1020,56.0,393.0,7.0
CCF7543,CT,4.0,,340191.0,yzoikhwrd,United States of America,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,,,M,2.0,1124168.0,CCFFVCOHCLUUXZIQTCFCUHEYN,Reliant Energy,1-912-050-7605,94.0,557.0,10.0
ylj7544,WA,5.0,O,238216.0,Gdbktega,United States of America,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,,RELJYREDKQEKGOORBLRKOUIC,U,4.0,2081541.0,yljvuglvt,Idearc,1-075-551-9919,98.0,465.0,5.0
ZBB7545,ND,1.0,O,113171.0,Kdcqzpvf,Canada,hkyochorqgtokxgozmoncalaaiw,V,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,M,0.0,1897076.0,ZBBXAWVJAAL,Neiman Marcus,1-013-611-2674,8.0,,6.0
fqe7546,ID,,,234797.0,Tbwgwtmgcu,United States of America,Datdnghoiymltcayulgkgxywi,,Yewxbqpnfgh,W,5.0,235172.0,fqekemquvstw,O'Reilly Automotive,1-656-865-7544,90.0,485.0,10.0
Wpw7547,Quebec,2.0,,225322.0,Mwmfs,United States of America,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,M,4.0,639573.0,Wpwhilrlzng,Cliffs Natural Resources,1-879-870-7379,34.0,303.0,2.0
vpz7548,ID,2.0,O,192689.0,goelqgcts,Canada,,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,W,1.0,2667082.0,vpzxgcwljllsq,Health Management Associates,1-366-625-9813,25.0,846.0,4.0
Yfz7549,AL,4.0,O,348685.0,ucwygjzs,Canada,,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,5.0,2598634.0,Yfzmtcvxc,Chevron,1-359-462-7089,50.0,621.0,1.0
dou7550,UT,4.0,O,401229.0,fjlfqftwg,United States of America,,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,D,3.0,1074671.0,douvwdwiwrxoivzaojazinrhswjv,Exide Technologies,,85.0,331.0,
FDJ7551,MS,4.0,R,38597.0,Tocujgaiaq,United States of America,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,,hfuyqlsmbesrylepu,M,5.0,2272997.0,FDJOVRSOCWEIKZ,Convergys,1-153-396-8333,60.0,401.0,9.0
ufu7552,AK,2.0,R,,kurjmmgixxfd,United States of America,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,S,2.0,702000.0,ufutrfkevxnbupjcetrpltw,Dominion Resources,1-144-623-1308,95.0,644.0,0.0
bbg7553,VT,1.0,R,161204.0,cnsavindoi,United States of America,NBSHKLXYVUUWXEQSGXR,H,qgjnvpwvmgsqzcanzncon,M,4.0,1289800.0,bbgzmquoeecumw,Sentry Insurance Group,1-269-220-8046,8.0,769.0,5.0
Znk7554,LA,4.0,O,202650.0,MQBSAUVQRPYE,,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,v,HNBGLUDIOAJRCCIXGDUQOO,M,3.0,1007390.0,Znkkdbkvxcxeuackyodqlkpl,Cintas,1-052-524-0130,31.0,481.0,2.0
CGQ7555,CT,2.0,O,,vadbnvz,Canada,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,T,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,U,1.0,124290.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,Medtronic,1-335-871-6660,51.0,732.0,7.0
add7556,UT,4.0,O,492433.0,Ljurvnigr,United States of America,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,,dnlleihfh,M,4.0,1820002.0,addxtssyhezwro,Pride International,1-637-394-8083,24.0,802.0,2.0
Anw7557,IN,4.0,O,344858.0,BQDMQVFTNBRJ,Canada,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,J,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,M,2.0,2200347.0,Anwyusqezrjppzkaevffwljm,A. Schulman,1-706-795-4208,78.0,329.0,5.0
Hvt7558,WI,0.0,R,197290.0,jkcul,United States of America,nqcozjievwzk,,Wsjaujjdexc,W,5.0,3669569.0,Hvtanebvipbdd,Oneok,1-622-347-5699,56.0,839.0,0.0
Yqj7559,WA,,,283654.0,Nelny,United States of America,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,d,Ojberg,U,2.0,2140537.0,Yqjaammjlhgpw,Danaher,1-042-017-9368,50.0,539.0,
Ztn7560,LA,5.0,R,317423.0,Qsggz,United States of America,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,M,4.0,3258909.0,Ztnstwpjxatqveppicohpzilnn,Del Monte Foods,1-829-935-5979,52.0,561.0,4.0
bni7561,VT,5.0,O,399126.0,Drofa,United States of America,Lfrjkyblujmbxigmylpsxieswspmei,,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,W,4.0,1825422.0,bnizllrrofn,American Electric Power,1-076-726-5283,14.0,814.0,2.0
swx7562,CT,0.0,R,398180.0,Ssovhtmt,United States of America,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,,Xwtkpxqgohxwxnv,M,5.0,1845263.0,swxorhmdydwbrtdqxroghsddlpbdgi,TJX,,29.0,305.0,7.0
DSA7563,RI,4.0,O,,Tnprhljfrlj,United States of America,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,P,Qpvmtkxxfef,S,2.0,1463114.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Philip Morris International,1-284-129-5920,50.0,457.0,4.0
BXZ7564,SC,1.0,O,485429.0,Bkxujhonjgjk,United States of America,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,U,4.0,2354683.0,BXZUTWBUFSGPPXKR,Cincinnati Financial,1-128-308-8886,67.0,349.0,8.0
pcz7565,British Columbia,0.0,O,118018.0,mrjrjhgnwcdu,United States of America,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,,KRYAIAJGKHBKXBLC,M,2.0,436677.0,pczqycbwefse,Stryker,1-145-469-5971,22.0,590.0,0.0
Zqa7566,CO,4.0,O,309693.0,Yusezkfgs,United States of America,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,,,U,5.0,2383335.0,Zqaknviqngvemehvpzrcgkcvre,Kansas City Southern,1-727-684-7767,20.0,533.0,0.0
Htl7567,TN,0.0,O,90718.0,RKXTQAO,Canada,IBQIDE,z,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,W,4.0,2574739.0,Htltlfnvjctvvdvulpkhcbyfi,IDT,1-776-201-2472,75.0,686.0,9.0
afw7568,CA,0.0,O,280645.0,UBQSATXZO,United States of America,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,L,VBDCWYVK,U,2.0,1596838.0,afwafvxxdr,Vornado Realty Trust,1-767-942-1278,60.0,582.0,10.0
Wna7569,WY,4.0,O,231559.0,BHRNWQLFVFA,United States of America,Lrebujnrg,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,S,,591965.0,Wnakgzhqfhtavtvegjtdmdosnjr,Dollar General,1-723-062-7266,,807.0,0.0
Mlh7570,SD,5.0,O,36898.0,Ktmzav,United States of America,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,S,3.0,3071440.0,Mlheqxaigtvjaynkffyqkpu,Safeway,,48.0,819.0,3.0
Gor7571,British Columbia,0.0,R,396786.0,Nfpchgfj,United States of America,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,,Gwxymofcy,M,2.0,2683081.0,Gorjnqxjtefmomsbmtnogaerx,Apache,1-145-314-0862,91.0,311.0,5.0
ENX7572,NJ,5.0,O,344365.0,Wuywecohosfi,United States of America,Hxutrprq,,Qynjnmfgwxpmrw,U,2.0,3850483.0,ENXOMNHFVPYQSABETPUEKRKCL,Lowe's,1-735-104-7772,98.0,734.0,3.0
fgr7573,AK,1.0,O,1205.0,tibxlojrqiha,United States of America,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,W,4.0,1870617.0,fgrdzzudzmwlluff,Lithia Motors,,51.0,432.0,1.0
Ysh7574,OH,0.0,O,276666.0,ogmes,United States of America,JRHXPUUHAFHDPF,a,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,S,5.0,1249534.0,Yshzkx,CH2M Hill,1-518-116-1411,22.0,394.0,3.0
Mos7575,New Brunswick,0.0,O,497953.0,JUBKXDKP,United States of America,yvntcqjqqmbftwetvbqgclcdbxspvk,I,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,U,0.0,3789880.0,Mosqjrkdycyygfsljqadgfqoldb,Tellabs,1-696-359-4829,57.0,658.0,1.0
czu7576,IL,2.0,O,156048.0,Xbgykqm,Canada,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,M,1.0,3874445.0,czuvw,Phillips-Van Heusen,1-352-678-5471,38.0,348.0,3.0
Ghr7577,AZ,5.0,O,63617.0,NNCXIBTCXZA,United States of America,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,Z,BESJDYZDIOIXKDFEHBQXBPW,M,1.0,437353.0,Ghrlcuscpesuzsdwqfwwbgh,Wells Fargo,1-906-600-9749,68.0,598.0,8.0
Rwk7578,NY,2.0,O,244849.0,mfwuio,United States of America,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,,Ouopoqztakszwsfkthdbwndfjuqaelyd,U,2.0,2669917.0,Rwkdeshuwhwvmvmdnckmuvdt,Vornado Realty Trust,1-093-018-2851,93.0,505.0,9.0
Uwi7579,WA,3.0,R,123585.0,Utgwrun,United States of America,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,,Ivwhotvobwkshcixclfobqoljlaqohw,S,4.0,1466537.0,Uwinnbtdd,New York Times,1-302-096-9321,48.0,839.0,7.0
VXZ7580,GA,1.0,U,391134.0,Wgulrhctjlg,United States of America,CYQWJKJB,,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,S,1.0,991860.0,VXZTLDNZPYIFIKTIJRXS,Adobe Systems,1-915-044-3154,96.0,672.0,2.0
Ayk7581,AZ,5.0,O,426759.0,Srhxvxe,United States of America,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,p,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,M,5.0,,Aykkkc,Valmont Industries,1-040-274-3474,58.0,696.0,3.0
lho7582,NV,3.0,O,451737.0,Dadkihaohc,United States of America,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,W,5.0,1816368.0,lhodktal,UAL,1-678-397-2739,63.0,448.0,5.0
rzi7583,TN,1.0,O,180822.0,Fpoleiod,United States of America,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,S,2.0,565246.0,rziprpcfwnirtuvrbfnuepq,AFLAC,1-679-345-9939,18.0,549.0,9.0
Wds7584,AL,2.0,O,205843.0,Cuaieflmccqp,United States of America,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,W,4.0,1899339.0,Wdsuorykxmvfxupyyjl,VeraSun Energy,1-093-616-0613,40.0,705.0,0.0
Xsj7585,TX,3.0,O,470985.0,qiraymmapgf,United States of America,ccfzcxohrhrcnypedmhjovjyjrxi,f,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,M,4.0,3873239.0,Xsjypvyfoqbiq,Magellan Health Services,1-546-131-8988,29.0,387.0,6.0
Lux7586,WV,1.0,,318225.0,Tsynomgib,United States of America,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,v,Nhgrkzjzcrjcerkwrugwul,U,2.0,767547.0,Luxkby,Emcor Group,1-477-186-7432,21.0,359.0,7.0
wxw7587,ND,2.0,O,326044.0,Amudllk,Canada,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,,,M,2.0,1027999.0,wxwhwasadsmxchyhlgrvnurte,Peabody Energy,1-965-848-6954,41.0,494.0,9.0
