AgencyID,Phone,CreditRating,FirstName,Age,OwnOrRentFlag,LastName,MiddleInitial,Gender,AddressLine1,AddressLine2,PostalCode,City,State
pfi46,1-871-598-3505,376.0,ATHAR,76.0,O,pfieffer,,f,9270 LEAF SOUTH,,93872,Akron,OH
elk47,1-607-222-4809,560.0,Cherey,51.0,O,elkington,Y,,18582 PERIMETER BOULEVARD,,92824,Charlottetown,MA
Lab48,1-965-046-0642,693.0,RAZ,,O,Labenek,,F,9612 park stream upper,,e4a 1r2,Bellevue,MD
laf49,1-155-441-3579,346.0,kishore,58.0,U,laferriere,Y,,2803 clearwater north,,H7G 1V4,Dover,Saskatchewan
Nor50,,342.0,Nelleke,52.0,O,Norment,I,,11103 BISSONNET WEST,,85039,Fullerton,WA
hag51,1-544-132-7237,563.0,sibby,91.0,R,hagar,,,4652 outervale lane,,v6m 1q3,Denver,OH
Bet52,1-821-089-2089,391.0,ericha,17.0,O,Betcher,,m,341 dunbar west,,X7j 1r1,Dallas,WY
Van53,1-135-391-9787,381.0,Janson,6.0,O,Van der,,m,16176 vernon drive,,B8b 1z5,San Jose,NJ
O'L54,1-776-182-6215,539.0,Dorotea,89.0,U,O'LEARY,,F,23131 clint way,,t5d 1v4,Bellevue,ND
and55,1-079-780-7761,497.0,Denice,99.0,O,anderson,,m,11640 baltic upper,,V6t 1r2,San Buenaventura,NC
sta56,1-504-346-4393,661.0,Myron,77.0,O,starks,,,20796 dolores drive,,91177,St. Louis,WV
CHA57,1-985-538-4351,558.0,Barby,,R,CHASSE,,,14359 COMMERCE WEST,Apt. 275,T5c 1t1,Pueblo,GA
ASI58,1-254-097-9398,534.0,Ariella,90.0,O,ASING,,R,21448 hampton boulevard,,35862,Regina,Ontario
ask59,1-545-924-9552,373.0,ADEY,82.0,U,askins,,f,7637 pershing way,,96820,Saskatoon,MA
Kik60,1-984-233-8818,382.0,GAYEL,,O,Kikuta,K,,11529 arcana boulevard,,75238,Jackson,CA
Cha61,1-528-691-1642,475.0,Man,15.0,O,Chane,,F,2700 windwood north,,85769,St. Petersburg,SD
KIL62,,539.0,Klara,,O,KILLEN,U,m,22279 gramercy road,,H5i 1o9,Scottsdale,Saskatchewan
kin63,1-171-807-8213,711.0,Abdalla,96.0,O,kinley,,f,9828 west east,,90849,Charlotte,RI
MAL64,1-056-241-7009,606.0,bal,38.0,O,MALAHER,,,5935 mcafee park,,43644,Waterbury,NC
Odu65,1-389-414-0570,494.0,Romy,10.0,O,Odum,J,,12460 CLAYTON STREET,,99213,Chesapeake,SD
DI 66,1-583-542-1656,309.0,KORAL,72.0,O,DI NINNO,,,275 3rd drive,,72226,Hialeah,IL
STU67,1-269-712-0672,630.0,YUKIHIKO,97.0,O,STUBBLEFIELD,K,,6907 FERNCLIFF CRESCENT,,V6Z 1Q9,Charleston,OR
HAM68,1-670-102-0463,330.0,Khanh,48.0,O,HAMBALI,,,885 crosby lane,,20082,Salem,Ontario
LIB69,1-699-726-3895,710.0,Darnell,97.0,O,LIBRARIAN,,m,2344 kalani west,,35827,Sacramento,FL
ohs70,1-640-666-2876,475.0,feridoun,73.0,R,ohsone,,M,22870 LA CIENEGA STREET,,99692,Santa Clarita,NM
HUM71,1-540-639-1311,596.0,Magdy,71.0,O,HUMMEL,O,,8478 green avenue,APT. 143,V6c 1q5,Sherbrooke,NE
BRA72,1-285-874-8492,670.0,jiri,93.0,O,BRADD,,,23639 purdue rue,,80158,Colorado Springs,MI
Boa73,1-121-904-0040,722.0,AILA,53.0,O,Boarder,X,,19202 ansley park,,t6d 1b6,Berkeley,New Brunswick
Mcn74,1-017-842-3201,587.0,Vincenzo,32.0,O,Mcnally,,,11319 devonshire rue,,33120,San Buenaventura,NJ
MAR75,1-215-859-3206,609.0,Minnnie,1.0,O,MARKOVICH,,F,23665 deerwood park,,99742,New Haven,ND
Wil76,1-764-520-7470,401.0,alfonzo,39.0,O,Willekes,,f,4855 union north,,V6N 1T1,Shreveport,Saskatchewan
Dea77,1-414-130-0162,335.0,Swandi,77.0,,Deacetis,S,m,9466 SHADOWBRIAR WEST,,44104,Lansing,KS
Hou78,1-970-240-9990,569.0,Anya,18.0,O,Houk,,,3504 regency avenue,,14605,Pembroke Pines,SD
Goy79,1-408-684-6459,,Enrika,70.0,R,Goyette,,,7281 northland lower,,80076,Palmdale,FL
Mok80,1-330-353-5908,679.0,SONJA,26.0,O,Mok-fung,Z,f,12481 hayden lower,,V6I 1V6,Savannah,Saskatchewan
Run81,1-766-726-2675,356.0,Liem,,,Rundle,I,,2328 gracie avenue,,97307,Amarillo,FL
BEL82,1-938-425-7509,308.0,COLLETTE,58.0,R,BELLEY,,o,4737 campbell street,,46237,Anchorage,UT
BAE83,1-527-308-8874,412.0,SIAMACK,43.0,O,BAER,Y,,2401 stratmore lower,,V6B 1S6,Louisville,WY
MAU84,1-810-590-0635,618.0,Toshihiro,65.0,O,MAULDIN,,f,21477 JUNIPER CRESCENT,,H2d 1x1,Hilo,NH
Koo85,1-274-548-2512,429.0,Casey,24.0,O,Koohgoli,,,19214 YAUPON BOULEVARD,,95108,Sudbury,AR
Lau86,1-649-754-4601,819.0,Daryn,79.0,O,Lauriston,,,7785 rusk boulevard,,80050,Orlando,CT
Man87,1-905-932-1785,552.0,Adrianna,48.0,O,Mangum,L,F,18002 cantrell upper,,90122,Missoula,VT
PIE88,1-031-004-7697,587.0,Cortney,69.0,O,PIERCY,,,23341 brookside upper,,43614,Abilene,Manitoba
Bus89,1-994-812-4796,304.0,Duane,91.0,O,Buscaglia,,M,20494 ROSS WEST,,61110,Saskatoon,NJ
BAB90,1-176-513-4041,795.0,Tele,75.0,U,BABIONE,,,17552 SAVANNAH NORTH,,70174,Irvine,KY
Bur91,1-072-244-6337,830.0,Ophelia,85.0,O,Burkard,,M,4462 pace crescent,APT. 373,90324,Reno,GA
Kin92,1-924-669-9328,709.0,lorine,76.0,R,Kinsella,,,7161 tallowood upper,,s7d 1n1,Sacramento,NJ
POM93,1-598-488-3541,493.0,Viole,68.0,O,POMMAINVILLE,,,3489 silver sage west,,93829,Topeka,SC
BOA94,1-295-539-3868,680.0,Nani,95.0,O,BOATWRIGHT,,M,12481 hayden lower,,89116,Rancho Cucamonga,TN
Ron95,1-554-020-0267,800.0,cherey,15.0,R,Ronald,R,,13210 3RD DRIVE,,94315,Hilo,WY
wei96,1-793-621-4566,614.0,Redgie,17.0,R,weihs,A,,8899 starling lane,,T5b 1u9,Saint John,Ontario
Hel97,1-787-267-4261,763.0,Yousef,94.0,R,Helpb,P,M,11480 fennel south,,T6b 1a5,Torrance,DC
mog98,1-668-247-1597,561.0,Damaris,70.0,O,moghe,,m,7266 cherry upper,,60699,Santa Clara,Alberta
boz99,1-901-346-8890,569.0,Ilyssa,29.0,O,bozicevich,,,10678 ENGLEWOOD WEST,,V6p 1s8,Torrance,ME
Zah100,1-451-273-3803,634.0,Moselle,52.0,O,Zaharychuk,R,,21181 2ND RUE,,v6i 1p1,Stockton,MA
And101,1-129-499-9136,488.0,Dulsea,51.0,O,Andric,,F,22963 hanover road,,79423,Paterson,NV
Bam102,1-899-319-0772,788.0,Lyndsie,24.0,O,Bamfo,L,,8268 cliffbrook boulevard,,H5j 1o6,Mesa,WA
fro103,1-053-396-0441,333.0,KESLEY,98.0,O,frondozo,,,5118 montview court,,93761,Anchorage,WY
Car104,1-239-665-9540,601.0,LAUREL,59.0,U,Caron,J,,17442 tallowood upper,,76150,Miami,NJ
muc105,1-605-888-3403,595.0,Steen,49.0,O,muchow,V,f,4038 WEDGEWOOD STREET,,99717,Great Falls,LA
gat106,1-630-604-2543,433.0,noel,1.0,O,gateau,,,20334 anaconda avenue,,60608,Erie,TX
Sch107,1-851-862-7928,403.0,Tracey,79.0,O,Schaefer,M,F,5385 young west,,v6w 1u4,Hollywood,SC
pom108,1-065-415-5724,615.0,Sarajane,6.0,R,pomerleau,,,2747 SINCLAIR LANE,,T5b 1t6,Tulsa,TX
cuc109,1-408-512-1007,735.0,Geoffrey,70.0,O,cucuzzella,K,F,8622 BROWNWAY PARK,,23298,Tucson,MN
SUG110,1-083-902-4184,668.0,loralyn,23.0,O,SUGARMAN,Z,q,18048 GREEN NORTH,,32803,Anchorage,ID
Pep111,1-568-403-7081,349.0,andrei,78.0,O,Pepe,,,18994 country boulevard,,64122,Sandy,MI
Cha112,1-824-389-0618,654.0,javad,79.0,,Chandrashekar,,f,16063 ashland road,SUITE 7,T6b 1h2,Boston,OK
SEI113,1-174-210-2058,361.0,Karna,72.0,O,SEIFERS,U,m,19309 mcfarlin north,Apt. 971,22222,Vancouver,UT
GAR114,1-425-503-7952,427.0,Jocelyn,31.0,U,GARTLEY,S,F,2454 cliffbrook west,,T6a 1d2,Akron,PA
Tou115,1-012-389-9089,322.0,Elvera,86.0,O,Touchette,,M,15865 strand west,,v5d 1n9,Lancaster,New Brunswick
Kur116,1-909-472-6704,792.0,Nessy,,R,Kurdziel,V,M,13776 east boulevard,,23321,Concord,UT
Her117,1-622-167-5411,478.0,lona,87.0,O,Herod,,,10570 WEIZMANN LOWER,,90505,Chesapeake,VA
MCV118,1-164-511-9338,477.0,RHEA,92.0,O,MCVICAR,P,,15278 walnut hill road,,19066,Flint,NH
LAB119,1-804-532-9163,449.0,Josefa,4.0,O,LABFIVE,,F,23007 WAKEFOREST WAY,,v6s 1r3,Chattanooga,VT
but120,1-197-370-0297,466.0,alikee,8.0,O,butta,,,9088 rivas way,,78769,Billings,FL
Pro121,1-337-042-5687,483.0,dolorita,97.0,O,Projects,,m,18798 ullrich road,,53769,Scottsdale,NC
Irc122,1-056-138-5321,588.0,Marilyn,,O,Irc,,,18517 HULEN LOWER,,H7E 1U6,Oshawa,VA
Ziv123,1-776-191-2031,313.0,robertson,40.0,O,Zivkovic,G,,11474 dodd lane,,e7o 1k1,Naperville,DC
sim124,1-280-696-2706,647.0,Ilsa,95.0,R,simser,H,,9375 wood south,,90374,Tampa,NC
kei125,1-857-581-6346,430.0,Pen,92.0,O,keifer,I,,20479 wise avenue,,63169,Jackson,MS
arv126,,467.0,AUBRETTE,67.0,O,arvin,P,f,19918 ROGERS NORTH,,16515,Hay River,SC
Pra127,1-716-343-0884,399.0,Cole,24.0,O,Praeuner,,F,9284 coffey lower,,85309,Irvine,KS
lue128,1-101-776-2496,654.0,liva,26.0,O,lue,C,m,2929 north crescent,,92158,Idaho Falls,VT
Prz129,1-769-028-0589,378.0,Ayaz,62.0,O,Przybycien,,f,15404 queen street,,33152,Moreno Valley,IL
pen130,1-005-833-8970,338.0,YETTY,37.0,O,penn,J,f,1619 greenspoint road,,83729,Ontario,FL
Gua131,1-884-215-4243,695.0,Mary-michelle,71.0,R,Guay,S,,21477 WARREN PARK,,B8b 1z6,Concord,MI
bre132,,614.0,agretha,29.0,U,brennand,,F,6503 ROBBINS STREET,,53717,Phoenix,Newfoundland
Sav133,1-725-177-7815,307.0,LOTTY,89.0,O,Savanh,X,f,3958 GLEN LOCH BOULEVARD,,t5c 1w7,Coral Springs,ME
ABB134,1-277-496-5396,331.0,Kassey,11.0,O,ABBATANTUONO,Z,,13640 ethridge lower,,37245,Oxnard,AL
OP135,1-756-463-2201,638.0,Adria,20.0,O,OP,N,M,3981 imperial lower,,94401,Brownsville,IN
Mer136,1-261-338-7463,703.0,audivox,75.0,O,Mersinger,,,13210 3rd drive,,B8a 1y3,Memphis,NH
rut137,1-811-086-4675,302.0,SUE,95.0,O,rutt,,F,9297 THROCKMORTON SOUTH,,t6b 1k2,Flint,DC
bem138,1-338-771-1185,522.0,Lorenza,0.0,O,bemis,I,,8935 YOUNG UPPER,,85306,Lafayette,DC
Pen139,1-554-231-5318,,Enzo,73.0,O,Pennington,,,3797 RUTGERS PARK,,V6R 1R7,Greensboro,MD
tor140,1-733-886-5227,833.0,claudina,39.0,R,torok,Y,M,8285 tamarind crescent,,68513,Sterling Heights,Prince Edward Island
law141,1-267-357-1943,,Otha,76.0,O,lawlis,L,m,20025 routh crescent,,v6n 1v9,Costa Mesa,MD
Bee142,1-602-756-7919,664.0,Rodie,5.0,O,Beebe,D,m,4144 LAKE PARK LANE,Suite 397,83702,Houston,New Brunswick
sch143,1-793-864-7010,789.0,DULCE,65.0,O,schlange,,m,3375 sakowitz lane,,80125,Bakersfield,HI
Wit144,1-637-020-2921,803.0,Win,94.0,U,Witchlow,,,7255 berry way,,M5G 1Y7,Chesapeake,ND
MER145,1-428-797-6325,720.0,Roselin,95.0,,MEREDITH,Q,F,3131 WATHAN SOUTH,,80213,Sandy,Nova Scotia
bia146,1-011-549-5618,839.0,Malanie,28.0,R,bialkenius,,m,18440 RYAN NORTH,,60737,Lewiston,ME
Swi147,1-993-255-5481,621.0,TARYN,76.0,O,Swiat,P,m,13222 glen loch road,SUITE 464,90510,Elizabeth,Alberta
bul148,1-487-749-4448,628.0,MALENA,81.0,O,bullinger,,,7889 MURRAY WAY,,92882,Sudbury,VT
TYR149,1-192-352-2184,813.0,Dorie,38.0,O,TYRRELL,,F,7527 whale drive,,98121,Austin,DE
Fyf150,1-293-442-4224,367.0,Liese,25.0,R,Fyfe,,,17788 eagle trace park,,H2e 1x9,Salinas,MA
Sic151,1-078-502-6700,807.0,tele,0.0,O,Sicard,,,7661 GRANT WAY,,23503,Peoria,CA
CAS152,1-430-909-3001,501.0,astra,61.0,O,CASTEN,,F,4806 crystal hills street,,40208,Sydney,Manitoba
Cho153,1-392-455-0895,490.0,marnia,3.0,O,Choy,S,,4211 WILLS NORTH,,75201,San Antonio,TN
CHA154,1-273-921-9787,321.0,AMY,77.0,O,CHACKO,,,7524 linberg north,,93852,Oklahoma City,FL
bei155,1-012-993-4538,,HAMILTON,8.0,R,beil,E,f,14266 lemming south,,32312,Miami,CA
Ele156,1-890-859-4211,446.0,Kuldip,34.0,O,Eleftheriou,J,m,1427 ADDAX LANE,,90059,Yonkers,CO
o'g157,1-080-032-3031,428.0,krystalle,15.0,O,o'grady,,F,1625 fernando court,,77006,Columbia,Saskatchewan
Kat158,1-561-620-7173,423.0,Stella,66.0,O,Katchmar,,,335 floresta north,,23224,Lubbock,UT
Lui159,1-017-439-0362,499.0,Marie-josee,55.0,O,Luin,O,,22806 garson east,,10055,Chattanooga,ME
Kla160,1-248-539-6621,342.0,Nashib,8.0,O,Klavkalns,,f,5524 vermack street,,35830,Fargo,NH
Bru161,1-611-789-5569,632.0,Annette,7.0,U,Brunsting,Z,,18105 electra street,,v6m 1s9,Omaha,VA
Apt162,1-023-151-8130,525.0,LENA,97.0,O,Apter,Q,,719 holman court,,22304,Yonkers,TX
sch163,1-005-574-3523,371.0,Christian,95.0,R,schuette,,f,23553 MEMORIAL RUE,,06101,Spokane,Saskatchewan
Lan164,1-550-487-1571,699.0,Morrie,92.0,O,Lanava,,,16759 park avenue,,78756,Tulsa,NH
Fus165,1-280-494-1415,435.0,LYMAN,17.0,O,Fusca,,F,12296 WILLIAMS LOWER,,93003,Garden Grove,VA
Nev166,1-803-438-4141,512.0,REUBEN,81.0,U,Nevardauskis,R,F,9625 ALLEN BOULEVARD,,T5D 1P2,Fort Lauderdale,IA
SHA167,1-566-299-2351,552.0,Hermon,13.0,O,SHACKLEFORD,,f,10340 jarvis road,,10108,Philadelphia,NC
Sau168,1-586-363-4189,,Paqs,78.0,O,Sauck,P,,13143 goodwin lane,,t5c 1l3,Sydney,NH
fri169,1-505-124-9029,687.0,GAETAN,78.0,O,frischknecht,,,7160 BEATTY RUE,,M5B 1Z8,Waterbury,AL
fer170,1-897-996-9812,433.0,leese,85.0,R,fernandez,O,,22679 chimney rock west,,V6H 1W2,Tacoma,British Columbia
LAN171,1-922-919-5858,746.0,Amelie,68.0,,LANDERS,,M,6769 pasadena upper,,90308,Charlottetown,MD
Bha172,1-326-572-2988,405.0,TAMRA,1.0,R,Bhasin,,,20622 MCAFEE COURT,,M5e 1y2,Independence,IA
Jor173,1-076-972-4311,805.0,bang,83.0,O,Jordan,,M,10526 LINWOOD LANE,,80029,Escondido,ND
KNU174,1-341-595-8408,819.0,HILDEGARDE,78.0,O,KNUDSEN,,F,21088 vessey crescent,,30350,Lansing,NY
Ham175,,648.0,Carmody,,O,Hamelin,,F,10884 ryan avenue,,97240,Anaheim,OR
MAU176,1-536-952-5040,401.0,Dareen,5.0,R,MAUER,,,1481 gale court,,R3A 1M1,Glendale,MO
Rez177,1-663-917-0422,484.0,WEN,43.0,U,Rezansoff,,F,18390 martins east,Apt. 426,73172,Chula Vista,CT
Koa178,1-843-773-1791,463.0,MOT,53.0,O,Koa,,,23208 porter crescent,,V6s 1p9,Orlando,MO
HAN179,1-823-567-1252,335.0,leese,13.0,O,HANNEMAN,B,m,17026 durand north,,90140,Cleveland,MN
jak180,1-744-421-7512,,nettie,7.0,O,jakim,I,,16533 devonshire park,,94639,Huntington,NC
ump181,1-621-744-1484,381.0,AILEE,17.0,R,umphres,C,,8965 griffin east,,22307,Fayetteville,TN
Wic182,1-973-214-3381,708.0,chan,67.0,O,Wickham,G,,22451 larner court,,55116,Riverside,NV
Gat183,1-428-266-1600,354.0,RAY,54.0,R,Gates,,F,3681 HOLLY KNOLL CRESCENT,Apt. 540,M6s 1i5,Dayton,AL
bot184,1-334-466-5299,547.0,Robinette,5.0,,bott,,,5678 dayton street,,92708,Corona,NE
DAV185,1-249-478-5643,761.0,Rocke,28.0,O,DAVID-YERUMO,T,,15591 holgate lane,,V6r 1q6,Oklahoma City,KS
HIL186,1-804-228-8548,659.0,Suzette,5.0,O,HILLARD,,F,23477 havenridge rue,,63178,Dallas,NY
war187,1-564-230-0062,351.0,Myla,,R,warburton,,,18267 cape lane,,x7j 1r5,Durham,NY
MAC188,1-781-339-9073,608.0,dacia,72.0,O,MACHNICKI-HYNES,,m,2928 POTOMAC UPPER,apt. 48,M5e 1y7,Tacoma,Saskatchewan
lev189,1-096-116-9962,706.0,CHELSIE,12.0,O,levitin,A,F,14656 pasadena park,,23257,Alexandria,Prince Edward Island
Goo190,1-914-194-6997,391.0,abbas,71.0,O,Gooderham,,,16983 flagler drive,apt. 968,V6I 1U7,Hialeah,Alberta
Koh191,1-733-360-9116,461.0,Rec,90.0,R,Kohalmi-hill,E,,17212 LANDER SOUTH,,94539,Denver,Ontario
AYL192,1-591-402-8026,510.0,Elaine,20.0,O,AYLWIN,,M,23764 sabine west,,H7h 1v4,Fort Lauderdale,TN
CHO193,1-326-180-9322,805.0,Katharine,58.0,O,CHOUHAN,E,F,16271 vista south,,15201,Mesa,VA
DIT194,1-784-796-6844,702.0,LILIAN,57.0,O,DITKO,G,,1080 LAVENDER LANE,,t5a 1n6,Cleveland,TX
EMI195,1-662-625-4671,368.0,CATI,43.0,O,EMIG,,,10856 summer street,,78784,Lewiston,MT
Ryd196,1-627-590-4931,520.0,Luong,39.0,R,Ryder,,m,17021 edwards crescent,APT. 392,H6d 1w8,Tallahassee,IL
mei197,1-055-694-7984,666.0,JUOZAS,87.0,O,meisner,S,,7726 TALLOWOOD UPPER,,06705,El Monte,WY
Ceg198,1-166-844-7429,587.0,Lysy,57.0,O,Cegelski,,,19097 foxfire north,,M5c 1v9,Sioux Falls,NC
hai199,1-516-930-4640,643.0,ULA,58.0,O,haigh,Z,,8161 PINTO ROAD,,90759,Columbia,ND
cle200,1-261-215-4290,484.0,Francesca,28.0,R,clendening,J,,9659 sakowitz west,,22301,San Francisco,GA
Cie201,1-681-572-7662,,emili,95.0,R,Ciesielski,W,,15306 pike park,,19165,Santa Clara,VA
Par202,1-288-967-5460,676.0,yogesh,98.0,R,Parypa,,f,21891 dewey street,,75007,Greensboro,Prince Edward Island
LOZ203,1-315-022-2148,300.0,Xantippe,55.0,O,LOZINSKI,K,f,8155 storeywood road,,90302,Waco,OR
Pas204,1-707-402-6121,,TINO,14.0,R,Pascal,,,20871 dewdrop street,APT. 630,84092,Rochester,WI
Aul205,1-186-893-7846,831.0,AGGIE,30.0,O,Aula,,,1121 GREENE PARK,,v6d 1u1,Tampa,ID
bar206,1-571-918-3795,609.0,Alane,90.0,O,barnes,N,F,23849 westerley south,,99503,Paterson,MT
ELL207,1-206-055-2128,679.0,ABBYE,69.0,O,ELLIOTT,,,1540 murie rue,,80960,Fullerton,MD
for208,1-963-724-8044,634.0,aleen,67.0,O,forslund,P,m,16633 raymond road,suite 344,53743,London,NY
Bur209,1-050-641-8503,338.0,collen,41.0,O,Burbidge,U,,18676 turman drive,,t6d 1k1,Newark,HI
FOL210,1-020-258-1680,332.0,NEALA,2.0,O,FOLLMER,,F,1808 HARDY STREET,,91350,Buffalo,DE
Led211,,721.0,CELISSE,89.0,O,Leder,,m,11115 midland avenue,,37916,El Paso,PA
kop212,1-886-961-7857,351.0,MEHMET,88.0,O,kopke,N,,24950 sheppard lane,,22329,Toledo,IN
pay213,1-999-799-7384,564.0,Carlis,90.0,O,paylor,,,6450 LEMMING RUE,,M1i 1r8,Sterling Heights,MT
PAL214,1-362-078-4138,379.0,marshal,54.0,O,PALACEK,,,19342 wycliffe park,,h5i 1p1,New Haven,WY
fel215,1-174-723-5263,727.0,Fabien,53.0,O,felton,,,7582 woodway south,,M1I 1R5,Dallas,FL
ATW216,1-898-789-3598,578.0,basia,89.0,O,ATWELL-BYRNE,,,22526 QUEENSBURY LOWER,,53739,Milwaukee,RI
Mcb217,1-482-305-5399,642.0,FARID,31.0,O,Mcbeth,S,M,18833 3rd park,,06603,Anaheim,CO
Jal218,1-834-784-7657,,jyoti,1.0,O,Jalaie,B,M,19394 canoas west,apt. 3,28247,Huntington Beach,SD
vem219,1-864-555-5341,554.0,Jandy,57.0,R,vempati,,,9941 ROYALTON DRIVE,,h7g 1u9,Naperville,TX
BAR220,1-475-209-3369,733.0,VO,10.0,U,BARNICKEL,D,,10177 pecos crescent,,90831,Iqaluit,VT
PES221,1-459-456-1848,345.0,Kien,74.0,O,PESOLD,U,M,20823 WEST CHAPEL AVENUE,,M4j 1o7,Winnipeg,IN
