prospect_OwnOrRentFlag,prospect_MaritalStatus,prospect_FirstName,prospect_NumberCars,prospect_Employer,prospect_AddressLine1,prospect_Income,prospect_AgencyID,prospect_NumberChildren,prospect_AddressLine2,prospect_Phone,prospect_NumberCreditCards,prospect_NetWorth,prospect_City,prospect_Gender,prospect_LastName,prospect_Age,prospect_Country,prospect_PostalCode,prospect_MiddleInitial,prospect_CreditRating,prospect_State
O,W,aefotdcronamhkzsfpvifmobgchmsp,2.0,Loews,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,106690.0,Xch7519,2.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,1-450-082-2122,1.0,1157831.0,Fullerton,m,Xchoxlbkffuvox,21.0,Canada,JXHVEEOU,,495.0,Alberta
O,M,jdeyqkerjerjpht,2.0,Apache,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,29373.0,oir7520,2.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,1-573-009-1404,8.0,,Washington,m,oirfujtvl,4.0,Canada,XHJQCDPOO,Z,371.0,PA
R,S,Lwihnxoihqqrvjydsijd,2.0,Robert Half International,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,168189.0,Fqb7521,3.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,1-603-897-9894,1.0,,Norfolk,M,Fqbovz,72.0,United States of America,rapkjpmvp,O,462.0,Nova Scotia
U,S,nmnervucuk,,Viacom,Dmyivtczopuqajpnjqvvgbhxynvduub,264756.0,qex7522,,Rirmrpvlknyho,1-947-161-6502,7.0,3467922.0,Sydney,,qextfjyytqwbmdrlykbfnhvqrmota,1.0,United States of America,Slskxm,,375.0,RI
U,S,hgjkxxbf,1.0,Robert Half International,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,44480.0,Hpi7523,2.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,1-586-826-9847,10.0,46859.0,Winnipeg,,Hpiedhvkedqqdxsoedt,98.0,Canada,FXHXLG,,516.0,OR
R,,Zangtryzlhmxo,1.0,CSX,Esuycdxsjfbrqbtluspxsehk,87207.0,Fjd7524,5.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,1-217-243-2668,,2937668.0,Wilmington,,Fjdafgbcrml,35.0,Canada,ovlziicdezok,,703.0,CA
O,W,FFJGEQD,4.0,Country Financial Services,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,238434.0,Cgt7525,2.0,Rpzwirgfyiw,1-857-211-5728,7.0,2388613.0,El Monte,,Cgtcmbl,99.0,United States of America,jsxcpvao,,734.0,MO
U,M,Pdcxrihnl,0.0,Procter & Gamble,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,,Lwx7526,2.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,1-089-966-6281,4.0,3116283.0,Sterling Heights,M,Lwxudfgcqawccntqaucdaeym,49.0,United States of America,Ykerbceq,,469.0,Prince Edward Island
O,S,Zckhcacwaelzutaodqalxyjrkh,3.0,Ingles Markets,vnyndcximwxhecv,391354.0,epy7527,0.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,,2.0,2671950.0,Pembroke Pines,,epyxtfsrijhddstgaxkbgmlayjtk,72.0,United States of America,VVMSNWEBT,,595.0,Quebec
O,U,sqrosgqnpifxjx,3.0,Forest Laboratories,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,419165.0,Aff7528,0.0,Acdrcqabtcdgmgl,1-231-342-6874,1.0,3899593.0,Philadelphia,m,Affcha,41.0,United States of America,bibueqwbejem,M,410.0,KS
O,W,Erqzkkllazeobgthnmgsbtj,3.0,Dentsply International,,396509.0,mfc7529,2.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,,10.0,2537332.0,Glendale,,mfcestd,54.0,Canada,gehpynlk,S,475.0,NV
R,,Lcziayaozecoqqluasolkmmcldm,0.0,RadioShack,GVSBHGBDDVJFNNOZNNPJWCOI,145161.0,Slf7530,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,1-602-637-1838,2.0,733236.0,El Monte,,Slfbmvc,11.0,United States of America,Piwlxtg,S,,TN
O,W,Gcnczmuxviqaxtsdzmzhtro,2.0,Century Aluminum,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,263206.0,Cxu7531,5.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,1-003-982-8627,3.0,,Warwick,,Cxuousxqyrfgjvpvuopyfguqva,0.0,United States of America,Ujlshmosjkid,,519.0,WY
U,D,Rsoobsqytvjycob,3.0,,BIQIOQOHLQSTBRUFOI,190371.0,GZO7532,3.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,1-136-358-6852,5.0,3397276.0,Milwaukee,,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,27.0,United States of America,cwburwnupuj,F,841.0,British Columbia
O,U,Pjvadgt,3.0,FPL Group,Llfaqkbemnoy,203968.0,DRW7533,1.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,1-123-528-2965,6.0,2444257.0,Phoenix,,DRWTVTDSG,95.0,United States of America,CNEZMHTKIAEV,A,540.0,LA
R,U,GUBKOKITTSKVYM,1.0,Lockheed Martin,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,428323.0,set7534,3.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,1-136-565-2501,10.0,71520.0,Anchorage,f,setksinlvlrjwnfu,35.0,United States of America,kixvppuqtd,N,540.0,HI
O,M,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,4.0,Sanmina-SCI,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,159980.0,Pyo7535,1.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,1-317-986-1984,6.0,1911091.0,Madison,,Pyoixliri,96.0,United States of America,jrhynxfi,,,NY
O,W,Kuteauo,0.0,Iron Mountain,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,266852.0,FSH7536,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,1-265-603-1262,6.0,988775.0,Fontana,M,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,96.0,Canada,dnhtjyu,,424.0,TX
R,M,Hkfofpndygljbeo,5.0,OfficeMax,,206973.0,Tdx7537,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,2.0,3919363.0,Charlotte,,Tdxyljuxporjhdumcvfmv,49.0,United States of America,YKOVOTYB,,623.0,AZ
O,S,Kengxgsu,5.0,AMR,atydogjpqphuwhegtbukkqiaeakrtrn,258221.0,Sbn7538,1.0,XHQNMCEJKXOQYVSZVESLKC,1-156-668-6882,4.0,428918.0,Richmond,,Sbnxcsrozzcufdoyvckpplofysx,,Canada,WNNMWJ,O,792.0,ME
O,S,Plywuoa,4.0,Kohl's,Hlotorcbtobuceb,428508.0,Piq7539,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,1-164-648-3203,6.0,58134.0,Santa Clarita,f,Piqizouhxiw,27.0,United States of America,Oktkljv,C,718.0,NH
O,M,zfcwsxpjzyqelkxg,4.0,Cigna,gsrdigbqfwrahybxrtm,,IXD7540,0.0,Toumjfbsumpgfuskpydjeibaxi,1-839-795-1027,6.0,3703767.0,Yellow Knife,M,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,98.0,,,,401.0,KY
R,M,Yxvczhqjwgnhowiu,4.0,West,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,58953.0,wsn7541,5.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,1-958-412-4252,2.0,433859.0,Oxnard,,wsnjomkxbtybfnmtcjhvmblfwamnwd,,United States of America,GXFLSISZUY,,557.0,Prince Edward Island
O,W,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,Monsanto,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,409682.0,Jkp7542,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,1-392-335-1020,7.0,3002044.0,Huntington Beach,M,Jkpmtcj,56.0,United States of America,gzexcrngivl,A,393.0,British Columbia
,M,Vfrdst,2.0,Reliant Energy,,340191.0,CCF7543,4.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,1-912-050-7605,10.0,1124168.0,Durham,M,CCFFVCOHCLUUXZIQTCFCUHEYN,94.0,United States of America,yzoikhwrd,,557.0,CT
O,U,Hqcswumjvwbemosmy,4.0,Idearc,RELJYREDKQEKGOORBLRKOUIC,238216.0,ylj7544,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,1-075-551-9919,5.0,2081541.0,Naperville,,yljvuglvt,98.0,United States of America,Gdbktega,,465.0,WA
O,M,Ectbhkmbvwkwdbn,0.0,Neiman Marcus,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,113171.0,ZBB7545,1.0,hkyochorqgtokxgozmoncalaaiw,1-013-611-2674,6.0,1897076.0,Albuquerque,F,ZBBXAWVJAAL,8.0,Canada,Kdcqzpvf,V,,ND
,W,Bdbgqpllbnrmiirpct,5.0,O'Reilly Automotive,Yewxbqpnfgh,234797.0,fqe7546,,Datdnghoiymltcayulgkgxywi,1-656-865-7544,10.0,235172.0,Newark,m,fqekemquvstw,90.0,United States of America,Tbwgwtmgcu,,485.0,ID
,M,Ftszluaxcsoxdfbmdd,4.0,Cliffs Natural Resources,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,225322.0,Wpw7547,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,1-879-870-7379,2.0,639573.0,Miami,,Wpwhilrlzng,34.0,United States of America,Mwmfs,,303.0,Quebec
O,W,Qrdnpjquwnixfocqhsrlkcxmelwijl,1.0,Health Management Associates,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,192689.0,vpz7548,2.0,,1-366-625-9813,4.0,2667082.0,London,,vpzxgcwljllsq,25.0,Canada,goelqgcts,,846.0,ID
O,,Kkiolpmrgzmnjanqc,5.0,Chevron,VDBAVRMWFYBDZUILPKFXIVIYGFUU,348685.0,Yfz7549,4.0,,1-359-462-7089,1.0,2598634.0,Worcester,,Yfzmtcvxc,50.0,Canada,ucwygjzs,,621.0,AL
O,D,unzegilpp,3.0,Exide Technologies,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,401229.0,dou7550,4.0,,,,1074671.0,Jacksonville,,douvwdwiwrxoivzaojazinrhswjv,85.0,United States of America,fjlfqftwg,,331.0,UT
R,M,xetqkitwlh,5.0,Convergys,hfuyqlsmbesrylepu,38597.0,FDJ7551,4.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,1-153-396-8333,9.0,2272997.0,Nashua,M,FDJOVRSOCWEIKZ,60.0,United States of America,Tocujgaiaq,,401.0,MS
R,S,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,Dominion Resources,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,ufu7552,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,1-144-623-1308,0.0,702000.0,Newport News,,ufutrfkevxnbupjcetrpltw,95.0,United States of America,kurjmmgixxfd,,644.0,AK
R,M,Yqfljvgkfucafpjpamdtcppiipc,4.0,Sentry Insurance Group,qgjnvpwvmgsqzcanzncon,161204.0,bbg7553,1.0,NBSHKLXYVUUWXEQSGXR,1-269-220-8046,5.0,1289800.0,Corona,m,bbgzmquoeecumw,8.0,United States of America,cnsavindoi,H,769.0,VT
O,M,mjeasoritwctufyojamzbeeoo,3.0,Cintas,HNBGLUDIOAJRCCIXGDUQOO,202650.0,Znk7554,4.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,1-052-524-0130,2.0,1007390.0,Lincoln,f,Znkkdbkvxcxeuackyodqlkpl,31.0,,MQBSAUVQRPYE,v,481.0,LA
O,U,Udxaujgiratgthwkvdibgvwfo,1.0,Medtronic,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,,CGQ7555,2.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,1-335-871-6660,7.0,124290.0,Toronto,F,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,51.0,Canada,vadbnvz,T,732.0,CT
O,M,GHFUKZPOKMXWZF,4.0,Pride International,dnlleihfh,492433.0,add7556,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,1-637-394-8083,2.0,1820002.0,Fayetteville,,addxtssyhezwro,24.0,United States of America,Ljurvnigr,,802.0,UT
O,M,ybtkiifyhbgchnuctnhnqspk,2.0,A. Schulman,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,344858.0,Anw7557,4.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,1-706-795-4208,5.0,2200347.0,Charlotte,,Anwyusqezrjppzkaevffwljm,78.0,Canada,BQDMQVFTNBRJ,J,329.0,IN
R,W,Fhkymmgjsbmpduuffgavhfcxm,5.0,Oneok,Wsjaujjdexc,197290.0,Hvt7558,0.0,nqcozjievwzk,1-622-347-5699,0.0,3669569.0,Tulsa,m,Hvtanebvipbdd,56.0,United States of America,jkcul,,839.0,WI
,U,DEZDTMSMWKALBRPALCFIME,2.0,Danaher,Ojberg,283654.0,Yqj7559,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,1-042-017-9368,,2140537.0,Winston-Salem,,Yqjaammjlhgpw,50.0,United States of America,Nelny,d,539.0,WA
R,M,phoxfeiqoldgmnojmzunmargkla,4.0,Del Monte Foods,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,317423.0,Ztn7560,5.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,1-829-935-5979,4.0,3258909.0,Thousand Oaks,F,Ztnstwpjxatqveppicohpzilnn,52.0,United States of America,Qsggz,,561.0,LA
O,W,Upuabfflh,4.0,American Electric Power,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,399126.0,bni7561,5.0,Lfrjkyblujmbxigmylpsxieswspmei,1-076-726-5283,2.0,1825422.0,Lubbock,F,bnizllrrofn,14.0,United States of America,Drofa,,814.0,VT
R,M,owagfolbfwjzeg,5.0,TJX,Xwtkpxqgohxwxnv,398180.0,swx7562,0.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,,7.0,1845263.0,Winnipeg,,swxorhmdydwbrtdqxroghsddlpbdgi,29.0,United States of America,Ssovhtmt,,305.0,CT
O,S,Qdmppehqxloc,2.0,Philip Morris International,Qpvmtkxxfef,,DSA7563,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,1-284-129-5920,4.0,1463114.0,Laredo,f,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,50.0,United States of America,Tnprhljfrlj,P,457.0,RI
O,U,jqbetxkci,4.0,Cincinnati Financial,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,485429.0,BXZ7564,1.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,1-128-308-8886,8.0,2354683.0,Overland Park,,BXZUTWBUFSGPPXKR,67.0,United States of America,Bkxujhonjgjk,,349.0,SC
O,M,Wsmywgbvwspgdwhmdxsqjwqb,2.0,Stryker,KRYAIAJGKHBKXBLC,118018.0,pcz7565,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,1-145-469-5971,0.0,436677.0,Calgary,,pczqycbwefse,22.0,United States of America,mrjrjhgnwcdu,,590.0,British Columbia
O,U,ocgwi,5.0,Kansas City Southern,,309693.0,Zqa7566,4.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,1-727-684-7767,0.0,2383335.0,Peoria,m,Zqaknviqngvemehvpzrcgkcvre,20.0,United States of America,Yusezkfgs,,533.0,CO
O,W,Pcotdnngmurhkcd,4.0,IDT,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,90718.0,Htl7567,0.0,IBQIDE,1-776-201-2472,9.0,2574739.0,Durham,,Htltlfnvjctvvdvulpkhcbyfi,75.0,Canada,RKXTQAO,z,686.0,TN
O,U,bvcosqzcleknjzvkygbawlc,2.0,Vornado Realty Trust,VBDCWYVK,280645.0,afw7568,0.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,1-767-942-1278,10.0,1596838.0,Pueblo,F,afwafvxxdr,60.0,United States of America,UBQSATXZO,L,582.0,CA
O,S,ECLENELTSXGTNWOP,,Dollar General,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,231559.0,Wna7569,4.0,Lrebujnrg,1-723-062-7266,0.0,591965.0,Las Cruces,,Wnakgzhqfhtavtvegjtdmdosnjr,,United States of America,BHRNWQLFVFA,,807.0,WY
O,S,Xdwexmrjat,3.0,Safeway,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,36898.0,Mlh7570,5.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,,3.0,3071440.0,Chula Vista,,Mlheqxaigtvjaynkffyqkpu,48.0,United States of America,Ktmzav,,819.0,SD
R,M,xjwnvwdryqpcehelwzfhkkiuus,2.0,Apache,Gwxymofcy,396786.0,Gor7571,0.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,1-145-314-0862,5.0,2683081.0,San Diego,,Gorjnqxjtefmomsbmtnogaerx,91.0,United States of America,Nfpchgfj,,311.0,British Columbia
O,U,RNBABCYAFMQPBOHXNUXMXNU,2.0,Lowe's,Qynjnmfgwxpmrw,344365.0,ENX7572,5.0,Hxutrprq,1-735-104-7772,3.0,3850483.0,Chicago,f,ENXOMNHFVPYQSABETPUEKRKCL,98.0,United States of America,Wuywecohosfi,,734.0,NJ
O,W,Eyrtrqkljywvbcice,4.0,Lithia Motors,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1205.0,fgr7573,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,,1.0,1870617.0,Worcester,,fgrdzzudzmwlluff,51.0,United States of America,tibxlojrqiha,,432.0,AK
O,S,Opybrukftspofebjmspkjsgtobzsp,5.0,CH2M Hill,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,276666.0,Ysh7574,0.0,JRHXPUUHAFHDPF,1-518-116-1411,3.0,1249534.0,Honolulu,m,Yshzkx,22.0,United States of America,ogmes,a,394.0,OH
