NumberChildren,AgencyID,MiddleInitial,CreditRating,OwnOrRentFlag,NumberCars,Income,Age,NumberCreditCards,MaritalStatus,City,State,FirstName,NetWorth,Phone,Country,AddressLine1,AddressLine2,PostalCode,Employer,Gender,LastName
,Gar27,,354.0,O,0.0,495334.0,51.0,0.0,S,Palmdale,FL,Anica,597140.0,1-431-122-8597,United States of America,10013 shaw road,,93686,,m,Gargul
1.0,Dor28,,511.0,O,1.0,274685.0,97.0,1.0,M,Phoenix,Newfoundland,Melba,146931.0,1-822-836-7200,United States of America,6802 AMES STREET,,75218,Great Plains Energy,,Dore
2.0,DIO29,X,412.0,,2.0,320820.0,52.0,7.0,,Gary,TX,Tracee,353495.0,1-530-117-0497,United States of America,22501 SUMMIT RUE,,91174,Broadcom,,DIOGO
0.0,Mer30,,583.0,O,4.0,195835.0,98.0,1.0,S,Beaumont,WA,CANADIAN,295647.0,1-051-257-2719,Canada,291 frances rue,,49515,Discover Financial Services,m,Merrick
3.0,Atc31,R,710.0,O,5.0,108085.0,47.0,5.0,U,Nashua,MN,Oue,408941.0,1-171-989-1363,United States of America,16264 sanders east,,16506,UAL,,Atchison
1.0,Pla32,X,380.0,O,2.0,260185.0,47.0,9.0,M,San Jose,WY,wallie,362523.0,1-042-705-3246,United States of America,16068 cantey way,,94383,Charles Schwab,m,Plamondon
0.0,SEL33,E,796.0,R,0.0,258323.0,9.0,2.0,M,Nashua,NY,Andromache,2102359.0,1-098-328-2026,United States of America,21170 EDLOE BOULEVARD,,T6d 1b3,Coach,F,SELCHOW
3.0,sha34,Z,818.0,U,1.0,79476.0,85.0,2.0,M,Fort Smith,SC,THOR,3480265.0,1-209-754-5635,United States of America,885 CROSBY LANE,,25339,DaVita,f,shane
3.0,MER35,,766.0,U,5.0,102156.0,81.0,3.0,M,Lancaster,MS,SALAH,3648900.0,1-498-781-3456,United States of America,12235 jay street,,V6o 1v4,Marshall & Ilsley Corp.,,MERWIN
3.0,con36,,359.0,O,2.0,221481.0,0.0,2.0,M,Colorado Springs,UT,HOR-LAM,1161790.0,1-615-241-0440,United States of America,20340 LOMBARD CRESCENT,,01852,Cablevision Systems,,conrad
5.0,ons37,,401.0,R,1.0,41836.0,28.0,2.0,S,Washington,PA,Vania,2050587.0,1-995-449-5200,United States of America,22074 dexter upper,,78230,Barnes & Noble,M,onsiteteam
1.0,Sum38,,609.0,O,1.0,72389.0,65.0,0.0,U,Lowell,OK,Niel,3579198.0,1-295-673-4452,Canada,1540 MURIE RUE,,93770,EMC,M,Summerlin
0.0,gro39,F,630.0,O,3.0,66486.0,20.0,2.0,S,Frederick,WY,ziad,889494.0,1-914-675-2986,United States of America,7075 glen loch drive,,m4l 1n4,Fluor,,grooms
1.0,dil40,I,671.0,O,3.0,200185.0,55.0,9.0,M,Mesa,RI,Claude,2205682.0,,United States of America,11237 balmoral way,Apt. 382,22335,Dollar General,,dilkie
2.0,DOL41,,715.0,O,0.0,289215.0,76.0,10.0,U,Lakewood,HI,AVTAR,1140117.0,1-825-739-0336,United States of America,8316 GARDEN BROOK NORTH,,V6C 1T4,Lear,,DOLSON
1.0,Pos42,,707.0,O,4.0,322484.0,1.0,9.0,M,Cleveland,VA,Donny,1421319.0,1-956-713-3802,United States of America,2240 clifton lower,,M6t 1h3,J.P. Morgan Chase & Co.,,Posthumus
2.0,Mac43,,329.0,O,4.0,83458.0,3.0,0.0,M,Grand Rapids,OK,Cocos,3525204.0,1-814-932-1579,United States of America,20907 NOTINGHAM LOWER,,95263,Affinia Group Intermediate,,Machika
3.0,che44,,601.0,R,0.0,,100.0,8.0,D,Peoria,Prince Edward Island,ruud,468976.0,1-135-443-7282,United States of America,601 carroll lower,,v5b 1p5,,,chenoweth
1.0,hol45,,623.0,O,5.0,492407.0,81.0,2.0,W,Inglewood,SD,Belvia,1685443.0,1-720-975-0667,United States of America,18267 state drive,,32318,Goldman Sachs Group,,holbrooks
4.0,pfi46,,376.0,O,4.0,346630.0,76.0,2.0,S,Akron,OH,ATHAR,337564.0,1-871-598-3505,United States of America,9270 LEAF SOUTH,,93872,E*Trade Financial,f,pfieffer
3.0,elk47,Y,560.0,O,1.0,9572.0,51.0,0.0,W,Charlottetown,MA,Cherey,84777.0,1-607-222-4809,Canada,18582 PERIMETER BOULEVARD,,92824,Pfizer,,elkington
5.0,Lab48,,693.0,O,1.0,265369.0,,4.0,,Bellevue,MD,RAZ,3146477.0,1-965-046-0642,United States of America,9612 park stream upper,,e4a 1r2,Safeway,F,Labenek
2.0,laf49,Y,346.0,U,1.0,104172.0,58.0,0.0,S,Dover,Saskatchewan,kishore,495277.0,1-155-441-3579,United States of America,2803 clearwater north,,H7G 1V4,Simon Property Group,,laferriere
3.0,Nor50,I,342.0,O,0.0,65550.0,52.0,0.0,M,Fullerton,WA,Nelleke,746904.0,,United States of America,11103 BISSONNET WEST,,85039,Trinity Industries,,Norment
0.0,hag51,,563.0,R,2.0,,91.0,8.0,M,Denver,OH,sibby,1219620.0,1-544-132-7237,Canada,4652 outervale lane,,v6m 1q3,Solutia,,hagar
3.0,Bet52,,391.0,O,2.0,,17.0,4.0,M,Dallas,WY,ericha,1718910.0,1-821-089-2089,United States of America,341 dunbar west,,X7j 1r1,,m,Betcher
4.0,Van53,,381.0,O,4.0,66244.0,6.0,8.0,S,San Jose,NJ,Janson,,1-135-391-9787,United States of America,16176 vernon drive,,B8b 1z5,A.O. Smith,m,Van der
3.0,O'L54,,539.0,U,0.0,426954.0,89.0,9.0,S,Bellevue,ND,Dorotea,2636424.0,1-776-182-6215,United States of America,23131 clint way,,t5d 1v4,AptarGroup,F,O'LEARY
4.0,and55,,497.0,O,5.0,126891.0,99.0,0.0,M,San Buenaventura,NC,Denice,1326305.0,1-079-780-7761,United States of America,11640 baltic upper,,V6t 1r2,Coca-Cola,m,anderson
2.0,sta56,,661.0,O,4.0,454196.0,77.0,,M,St. Louis,WV,Myron,2241997.0,1-504-346-4393,Canada,20796 dolores drive,,91177,Kimberly-Clark,,starks
3.0,CHA57,,558.0,R,5.0,163940.0,,0.0,S,Pueblo,GA,Barby,1542891.0,1-985-538-4351,United States of America,14359 COMMERCE WEST,Apt. 275,T5c 1t1,Visteon,,CHASSE
1.0,ASI58,,534.0,O,,365213.0,90.0,,W,Regina,Ontario,Ariella,797918.0,1-254-097-9398,Canada,21448 hampton boulevard,,35862,TECO Energy,R,ASING
0.0,ask59,,373.0,U,0.0,428739.0,82.0,6.0,M,Saskatoon,MA,ADEY,347654.0,1-545-924-9552,United States of America,7637 pershing way,,96820,Bemis,f,askins
0.0,Kik60,K,382.0,O,4.0,142444.0,,8.0,M,Jackson,CA,GAYEL,2456397.0,1-984-233-8818,United States of America,11529 arcana boulevard,,75238,Wyeth,,Kikuta
3.0,Cha61,,475.0,O,3.0,416168.0,15.0,10.0,S,St. Petersburg,SD,Man,1284229.0,1-528-691-1642,United States of America,2700 windwood north,,85769,United Technologies,F,Chane
0.0,KIL62,U,539.0,O,2.0,291420.0,,3.0,D,Scottsdale,Saskatchewan,Klara,618787.0,,United States of America,22279 gramercy road,,H5i 1o9,Clorox,m,KILLEN
5.0,kin63,,711.0,O,4.0,413501.0,96.0,6.0,M,Charlotte,RI,Abdalla,1171606.0,1-171-807-8213,United States of America,9828 west east,,90849,Discovery Communications,f,kinley
,MAL64,,606.0,O,4.0,,38.0,1.0,M,Waterbury,NC,bal,3983261.0,1-056-241-7009,United States of America,5935 mcafee park,,43644,Williams-Sonoma,,MALAHER
3.0,Odu65,J,494.0,O,3.0,419143.0,10.0,0.0,W,Chesapeake,SD,Romy,2328568.0,1-389-414-0570,United States of America,12460 CLAYTON STREET,,99213,Manitowoc,,Odum
5.0,DI 66,,309.0,O,1.0,155057.0,72.0,3.0,M,Hialeah,IL,KORAL,2078600.0,1-583-542-1656,United States of America,275 3rd drive,,72226,Henry Schein,,DI NINNO
5.0,STU67,K,630.0,O,2.0,313859.0,97.0,3.0,M,Charleston,OR,YUKIHIKO,2986155.0,1-269-712-0672,United States of America,6907 FERNCLIFF CRESCENT,,V6Z 1Q9,Trinity Industries,,STUBBLEFIELD
1.0,HAM68,,330.0,O,4.0,265907.0,48.0,10.0,S,Salem,Ontario,Khanh,1864039.0,1-670-102-0463,United States of America,885 crosby lane,,20082,Pepsi Bottling,,HAMBALI
0.0,LIB69,,710.0,O,,283481.0,97.0,9.0,S,Sacramento,FL,Darnell,1293721.0,1-699-726-3895,Canada,2344 kalani west,,35827,UGI,m,LIBRARIAN
0.0,ohs70,,475.0,R,4.0,200635.0,73.0,7.0,M,Santa Clarita,NM,feridoun,3850114.0,1-640-666-2876,United States of America,22870 LA CIENEGA STREET,,99692,Greif,M,ohsone
1.0,HUM71,O,596.0,O,0.0,434519.0,71.0,3.0,U,Sherbrooke,NE,Magdy,1618743.0,1-540-639-1311,United States of America,8478 green avenue,APT. 143,V6c 1q5,Equifax,,HUMMEL
1.0,BRA72,,670.0,O,5.0,392315.0,93.0,9.0,W,Colorado Springs,MI,jiri,3383487.0,1-285-874-8492,United States of America,23639 purdue rue,,80158,,,BRADD
3.0,Boa73,X,722.0,O,5.0,493829.0,53.0,,U,Berkeley,New Brunswick,AILA,2981876.0,1-121-904-0040,United States of America,19202 ansley park,,t6d 1b6,Freescale Semiconductor,,Boarder
2.0,Mcn74,,587.0,O,3.0,97489.0,32.0,7.0,U,San Buenaventura,NJ,Vincenzo,2109339.0,1-017-842-3201,United States of America,11319 devonshire rue,,33120,Aleris International,,Mcnally
3.0,MAR75,,609.0,O,4.0,,1.0,4.0,S,New Haven,ND,Minnnie,791803.0,1-215-859-3206,United States of America,23665 deerwood park,,99742,,F,MARKOVICH
1.0,Wil76,,401.0,O,0.0,383046.0,39.0,7.0,S,Shreveport,Saskatchewan,alfonzo,3523678.0,1-764-520-7470,United States of America,4855 union north,,V6N 1T1,World Fuel Services,f,Willekes
0.0,Dea77,S,335.0,,4.0,1190.0,77.0,0.0,M,Lansing,KS,Swandi,1681902.0,1-414-130-0162,United States of America,9466 SHADOWBRIAR WEST,,44104,R.R. Donnelley & Sons,m,Deacetis
5.0,Hou78,,569.0,O,5.0,85733.0,18.0,7.0,U,Pembroke Pines,SD,Anya,3851455.0,1-970-240-9990,United States of America,3504 regency avenue,,14605,Brinker International,,Houk
2.0,Goy79,,,R,0.0,387890.0,70.0,9.0,M,Palmdale,FL,Enrika,2339382.0,1-408-684-6459,Canada,7281 northland lower,,80076,Temple-Inland,,Goyette
0.0,Mok80,Z,679.0,O,2.0,16808.0,26.0,7.0,S,Savannah,Saskatchewan,SONJA,,1-330-353-5908,United States of America,12481 hayden lower,,V6I 1V6,Psychiatric Solutions,f,Mok-fung
4.0,Run81,I,356.0,,,304589.0,,10.0,M,Amarillo,FL,Liem,2065016.0,1-766-726-2675,United States of America,2328 gracie avenue,,97307,Nash-Finch,,Rundle
5.0,BEL82,,308.0,R,2.0,48506.0,58.0,9.0,S,Anchorage,UT,COLLETTE,2454049.0,1-938-425-7509,United States of America,4737 campbell street,,46237,AMR,o,BELLEY
4.0,BAE83,Y,412.0,O,0.0,,43.0,4.0,M,Louisville,WY,SIAMACK,2423395.0,1-527-308-8874,United States of America,2401 stratmore lower,,V6B 1S6,Spartan Stores,,BAER
3.0,MAU84,,618.0,O,2.0,358862.0,65.0,4.0,D,Hilo,NH,Toshihiro,1342045.0,1-810-590-0635,United States of America,21477 JUNIPER CRESCENT,,H2d 1x1,Cigna,f,MAULDIN
3.0,Koo85,,429.0,O,5.0,477614.0,24.0,5.0,S,Sudbury,AR,Casey,861756.0,1-274-548-2512,United States of America,19214 YAUPON BOULEVARD,,95108,General Cable,,Koohgoli
1.0,Lau86,,819.0,O,3.0,175414.0,79.0,3.0,S,Orlando,CT,Daryn,1215349.0,1-649-754-4601,United States of America,7785 rusk boulevard,,80050,Dun & Bradstreet,,Lauriston
1.0,Man87,L,552.0,O,0.0,427598.0,48.0,7.0,M,Missoula,VT,Adrianna,3981554.0,1-905-932-1785,Canada,18002 cantrell upper,,90122,Casey's General Stores,F,Mangum
4.0,PIE88,,587.0,O,0.0,368207.0,69.0,9.0,S,Abilene,Manitoba,Cortney,3865937.0,1-031-004-7697,United States of America,23341 brookside upper,,43614,Jack in the Box,,PIERCY
1.0,Bus89,,304.0,O,3.0,449944.0,91.0,6.0,S,Saskatoon,NJ,Duane,2804700.0,1-994-812-4796,United States of America,20494 ROSS WEST,,61110,Assurant,M,Buscaglia
5.0,BAB90,,795.0,U,5.0,166247.0,75.0,4.0,,Irvine,KY,Tele,3283558.0,1-176-513-4041,United States of America,17552 SAVANNAH NORTH,,70174,Psychiatric Solutions,,BABIONE
3.0,Bur91,,830.0,O,1.0,391165.0,85.0,2.0,S,Reno,GA,Ophelia,450524.0,1-072-244-6337,United States of America,4462 pace crescent,APT. 373,90324,Danaher,M,Burkard
3.0,Kin92,,709.0,R,5.0,165854.0,76.0,3.0,M,Sacramento,NJ,lorine,,1-924-669-9328,United States of America,7161 tallowood upper,,s7d 1n1,Clorox,,Kinsella
1.0,POM93,,493.0,O,2.0,326181.0,68.0,8.0,S,Topeka,SC,Viole,,1-598-488-3541,United States of America,3489 silver sage west,,93829,Boyd Gaming,,POMMAINVILLE
,BOA94,,680.0,O,3.0,173387.0,95.0,,M,Rancho Cucamonga,TN,Nani,633760.0,1-295-539-3868,United States of America,12481 hayden lower,,89116,Eaton,M,BOATWRIGHT
5.0,Ron95,R,800.0,R,1.0,301127.0,15.0,,M,Hilo,WY,cherey,3634954.0,1-554-020-0267,United States of America,13210 3RD DRIVE,,94315,Dynegy,,Ronald
5.0,wei96,A,614.0,R,1.0,487230.0,17.0,4.0,M,Saint John,Ontario,Redgie,799268.0,1-793-621-4566,United States of America,8899 starling lane,,T5b 1u9,AmeriCredit,,weihs
0.0,Hel97,P,763.0,R,4.0,425747.0,94.0,6.0,,Torrance,DC,Yousef,39093.0,1-787-267-4261,Canada,11480 fennel south,,T6b 1a5,SLM,M,Helpb
4.0,mog98,,561.0,O,4.0,401946.0,70.0,3.0,S,Santa Clara,Alberta,Damaris,2705353.0,1-668-247-1597,United States of America,7266 cherry upper,,60699,NV Energy,m,moghe
2.0,boz99,,569.0,O,1.0,425422.0,29.0,4.0,S,Torrance,ME,Ilyssa,3565153.0,1-901-346-8890,United States of America,10678 ENGLEWOOD WEST,,V6p 1s8,Landstar System,,bozicevich
1.0,Zah100,R,634.0,O,4.0,208890.0,52.0,5.0,M,Stockton,MA,Moselle,2832204.0,1-451-273-3803,United States of America,21181 2ND RUE,,v6i 1p1,Pacific Life,,Zaharychuk
3.0,And101,,488.0,O,5.0,67880.0,51.0,10.0,U,Paterson,NV,Dulsea,2194345.0,1-129-499-9136,United States of America,22963 hanover road,,79423,Textron,F,Andric
3.0,Bam102,L,788.0,O,2.0,133412.0,24.0,5.0,W,Mesa,WA,Lyndsie,3737140.0,1-899-319-0772,Canada,8268 cliffbrook boulevard,,H5j 1o6,Pfizer,,Bamfo
4.0,fro103,,333.0,O,3.0,144829.0,98.0,8.0,D,Anchorage,WY,KESLEY,464753.0,1-053-396-0441,United States of America,5118 montview court,,93761,Cigna,,frondozo
1.0,Car104,J,601.0,U,1.0,,59.0,,M,Miami,NJ,LAUREL,596696.0,1-239-665-9540,United States of America,17442 tallowood upper,,76150,Ameren,,Caron
4.0,muc105,V,595.0,O,3.0,143682.0,49.0,2.0,U,Great Falls,LA,Steen,1504753.0,1-605-888-3403,Canada,4038 WEDGEWOOD STREET,,99717,Consolidated Edison,f,muchow
1.0,gat106,,433.0,O,0.0,350020.0,1.0,10.0,U,Erie,TX,noel,3049281.0,1-630-604-2543,United States of America,20334 anaconda avenue,,60608,Occidental Petroleum,,gateau
,Sch107,M,403.0,O,0.0,435103.0,79.0,10.0,U,Hollywood,SC,Tracey,247478.0,1-851-862-7928,United States of America,5385 young west,,v6w 1u4,Sherwin-Williams,F,Schaefer
5.0,pom108,,615.0,R,1.0,207768.0,6.0,3.0,,Tulsa,TX,Sarajane,2750301.0,1-065-415-5724,United States of America,2747 SINCLAIR LANE,,T5b 1t6,Affiliated Computer Services,,pomerleau
4.0,cuc109,K,735.0,O,0.0,407512.0,70.0,1.0,M,Tucson,MN,Geoffrey,721333.0,1-408-512-1007,United States of America,8622 BROWNWAY PARK,,23298,Valassis Communications,F,cucuzzella
0.0,SUG110,Z,668.0,O,3.0,403366.0,23.0,1.0,S,Anchorage,ID,loralyn,669440.0,1-083-902-4184,United States of America,18048 GREEN NORTH,,32803,,q,SUGARMAN
5.0,Pep111,,349.0,O,3.0,384095.0,78.0,,M,Sandy,MI,andrei,2473979.0,1-568-403-7081,Canada,18994 country boulevard,,64122,Smithfield Foods,,Pepe
,Cha112,,654.0,,4.0,288969.0,79.0,,S,Boston,OK,javad,3545170.0,1-824-389-0618,United States of America,16063 ashland road,SUITE 7,T6b 1h2,,f,Chandrashekar
3.0,SEI113,U,361.0,O,2.0,233665.0,72.0,6.0,U,Vancouver,UT,Karna,1494871.0,1-174-210-2058,United States of America,19309 mcfarlin north,Apt. 971,22222,TD Ameritrade,m,SEIFERS
0.0,GAR114,S,427.0,U,4.0,147236.0,31.0,1.0,S,Akron,PA,Jocelyn,436164.0,1-425-503-7952,Canada,2454 cliffbrook west,,T6a 1d2,Comerica,F,GARTLEY
3.0,Tou115,,322.0,O,0.0,452557.0,86.0,1.0,W,Lancaster,New Brunswick,Elvera,1069481.0,1-012-389-9089,United States of America,15865 strand west,,v5d 1n9,Steel Dynamics,M,Touchette
0.0,Kur116,V,792.0,R,2.0,179305.0,,9.0,S,Concord,UT,Nessy,,1-909-472-6704,United States of America,13776 east boulevard,,23321,Coca-Cola Enterprises,M,Kurdziel
0.0,Her117,,478.0,O,3.0,205817.0,87.0,2.0,U,Chesapeake,VA,lona,2957261.0,1-622-167-5411,Canada,10570 WEIZMANN LOWER,,90505,News Corp.,,Herod
5.0,MCV118,P,477.0,O,,262711.0,92.0,1.0,M,Flint,NH,RHEA,228459.0,1-164-511-9338,United States of America,15278 walnut hill road,,19066,,,MCVICAR
5.0,LAB119,,449.0,O,1.0,84810.0,4.0,6.0,M,Chattanooga,VT,Josefa,67267.0,1-804-532-9163,Canada,23007 WAKEFOREST WAY,,v6s 1r3,Stater Bros. Holdings,F,LABFIVE
4.0,but120,,466.0,O,2.0,96441.0,8.0,2.0,U,Billings,FL,alikee,1087978.0,1-197-370-0297,United States of America,9088 rivas way,,78769,BorgWarner,,butta
5.0,Pro121,,483.0,O,0.0,462762.0,97.0,2.0,M,Scottsdale,NC,dolorita,3885967.0,1-337-042-5687,United States of America,18798 ullrich road,,53769,CB Richard Ellis Group,m,Projects
4.0,Irc122,,588.0,O,5.0,141890.0,,4.0,D,Oshawa,VA,Marilyn,3271101.0,1-056-138-5321,United States of America,18517 HULEN LOWER,,H7E 1U6,Zimmer Holdings,,Irc
5.0,Ziv123,G,313.0,O,5.0,156610.0,40.0,2.0,,Naperville,DC,robertson,,1-776-191-2031,Canada,11474 dodd lane,,e7o 1k1,Mohawk Industries,,Zivkovic
4.0,sim124,H,647.0,R,1.0,164752.0,95.0,1.0,U,Tampa,NC,Ilsa,1999133.0,1-280-696-2706,United States of America,9375 wood south,,90374,Berkshire Hathaway,,simser
5.0,kei125,I,430.0,O,1.0,278949.0,92.0,2.0,S,Jackson,MS,Pen,1100786.0,1-857-581-6346,United States of America,20479 wise avenue,,63169,Saks,,keifer
5.0,arv126,P,467.0,O,0.0,,67.0,8.0,W,Hay River,SC,AUBRETTE,563992.0,,United States of America,19918 ROGERS NORTH,,16515,Gardner Denver,f,arvin
2.0,Pra127,,399.0,O,3.0,463736.0,24.0,7.0,M,Irvine,KS,Cole,962397.0,1-716-343-0884,United States of America,9284 coffey lower,,85309,Hasbro,F,Praeuner
3.0,lue128,C,654.0,O,2.0,,26.0,5.0,M,Idaho Falls,VT,liva,1064169.0,1-101-776-2496,United States of America,2929 north crescent,,92158,CBS,m,lue
0.0,Prz129,,378.0,O,2.0,86667.0,62.0,3.0,S,Moreno Valley,IL,Ayaz,2100059.0,1-769-028-0589,United States of America,15404 queen street,,33152,Synnex,f,Przybycien
1.0,pen130,J,338.0,O,5.0,193470.0,37.0,10.0,W,Ontario,FL,YETTY,99025.0,1-005-833-8970,United States of America,1619 greenspoint road,,83729,Belden,f,penn
0.0,Gua131,S,695.0,R,5.0,406379.0,71.0,10.0,S,Concord,MI,Mary-michelle,3865481.0,1-884-215-4243,United States of America,21477 WARREN PARK,,B8b 1z6,Broadcom,,Guay
3.0,bre132,,614.0,U,1.0,480595.0,29.0,7.0,M,Phoenix,Newfoundland,agretha,804544.0,,Canada,6503 ROBBINS STREET,,53717,Reynolds American,F,brennand
5.0,Sav133,X,307.0,O,4.0,181718.0,89.0,7.0,S,Coral Springs,ME,LOTTY,3143356.0,1-725-177-7815,United States of America,3958 GLEN LOCH BOULEVARD,,t5c 1w7,Wells Fargo,f,Savanh
3.0,ABB134,Z,331.0,O,0.0,468310.0,11.0,2.0,M,Oxnard,AL,Kassey,,1-277-496-5396,United States of America,13640 ethridge lower,,37245,Retail Ventures,,ABBATANTUONO
0.0,OP135,N,638.0,O,2.0,354987.0,20.0,2.0,S,Brownsville,IN,Adria,2311953.0,1-756-463-2201,United States of America,3981 imperial lower,,94401,AT&T,M,OP
5.0,Mer136,,703.0,O,3.0,284539.0,75.0,3.0,W,Memphis,NH,audivox,3120608.0,1-261-338-7463,Canada,13210 3rd drive,,B8a 1y3,Wynn Resorts,,Mersinger
5.0,rut137,,302.0,O,0.0,213725.0,95.0,7.0,S,Flint,DC,SUE,2058270.0,1-811-086-4675,United States of America,9297 THROCKMORTON SOUTH,,t6b 1k2,Eastman Kodak,F,rutt
3.0,bem138,I,522.0,O,2.0,74195.0,0.0,,U,Lafayette,DC,Lorenza,1511983.0,1-338-771-1185,United States of America,8935 YOUNG UPPER,,85306,Aramark,,bemis
1.0,Pen139,,,O,5.0,169295.0,73.0,,M,Greensboro,MD,Enzo,439080.0,1-554-231-5318,United States of America,3797 RUTGERS PARK,,V6R 1R7,ENSCO International,,Pennington
0.0,tor140,Y,833.0,R,1.0,307832.0,39.0,5.0,W,Sterling Heights,Prince Edward Island,claudina,921255.0,1-733-886-5227,United States of America,8285 tamarind crescent,,68513,Auto-Owners Insurance,M,torok
