AgencyID,Income,City,AddressLine1,NumberCreditCards,PostalCode,NumberCars,NumberChildren,MaritalStatus,Age,CreditRating,OwnOrRentFlag,Employer,NetWorth
dgc7511,210038.0,Greensboro,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,3.0,NCEVKLQEEWTA,5.0,1.0,M,72.0,,O,Interstate Bakeries,490443.0
lql7512,307402.0,Concord,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,9.0,DODDIDDHXS,4.0,5.0,M,40.0,318.0,O,eBay,3348923.0
Wsk7513,,Colorado Springs,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,4.0,Oqnzttrldq,4.0,1.0,D,8.0,613.0,R,Boise,331799.0
Ffs7514,432425.0,Mobile,,4.0,Lwbawk,4.0,1.0,U,10.0,786.0,R,MDU Resources Group,1167013.0
Kvv7515,122041.0,Thousand Oaks,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,10.0,Ppsrzjdtg,0.0,3.0,U,24.0,,O,Freescale Semiconductor,3960216.0
mpz7516,302205.0,Rochester,,5.0,,1.0,4.0,M,18.0,623.0,O,Superior Energy Services,242246.0
Jhc7517,367555.0,Garden Grove,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,,1.0,1.0,S,79.0,845.0,O,Monsanto,1217660.0
dbq7518,106025.0,Tampa,rpikmvtgwsrsoehxgmxwypaueiaheabrf,7.0,Rxdsunq,4.0,5.0,M,36.0,645.0,U,Newfield Exploration,1229655.0
Xch7519,106690.0,Fullerton,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1.0,JXHVEEOU,2.0,2.0,W,21.0,495.0,O,Loews,1157831.0
oir7520,29373.0,Washington,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,8.0,XHJQCDPOO,2.0,2.0,M,4.0,371.0,O,Apache,
Fqb7521,168189.0,Norfolk,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,1.0,rapkjpmvp,2.0,3.0,S,72.0,462.0,R,Robert Half International,
qex7522,264756.0,Sydney,Dmyivtczopuqajpnjqvvgbhxynvduub,7.0,Slskxm,,,S,1.0,375.0,U,Viacom,3467922.0
Hpi7523,44480.0,Winnipeg,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,10.0,FXHXLG,1.0,2.0,S,98.0,516.0,U,Robert Half International,46859.0
Fjd7524,87207.0,Wilmington,Esuycdxsjfbrqbtluspxsehk,,ovlziicdezok,1.0,5.0,,35.0,703.0,R,CSX,2937668.0
Cgt7525,238434.0,El Monte,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,7.0,jsxcpvao,4.0,2.0,W,99.0,734.0,O,Country Financial Services,2388613.0
Lwx7526,,Sterling Heights,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,4.0,Ykerbceq,0.0,2.0,M,49.0,469.0,U,Procter & Gamble,3116283.0
epy7527,391354.0,Pembroke Pines,vnyndcximwxhecv,2.0,VVMSNWEBT,3.0,0.0,S,72.0,595.0,O,Ingles Markets,2671950.0
Aff7528,419165.0,Philadelphia,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,1.0,bibueqwbejem,3.0,0.0,U,41.0,410.0,O,Forest Laboratories,3899593.0
mfc7529,396509.0,Glendale,,10.0,gehpynlk,3.0,2.0,W,54.0,475.0,O,Dentsply International,2537332.0
Slf7530,145161.0,El Monte,GVSBHGBDDVJFNNOZNNPJWCOI,2.0,Piwlxtg,0.0,2.0,,11.0,,R,RadioShack,733236.0
Cxu7531,263206.0,Warwick,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,3.0,Ujlshmosjkid,2.0,5.0,W,0.0,519.0,O,Century Aluminum,
GZO7532,190371.0,Milwaukee,BIQIOQOHLQSTBRUFOI,5.0,cwburwnupuj,3.0,3.0,D,27.0,841.0,U,,3397276.0
DRW7533,203968.0,Phoenix,Llfaqkbemnoy,6.0,CNEZMHTKIAEV,3.0,1.0,U,95.0,540.0,O,FPL Group,2444257.0
set7534,428323.0,Anchorage,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,10.0,kixvppuqtd,1.0,3.0,U,35.0,540.0,R,Lockheed Martin,71520.0
Pyo7535,159980.0,Madison,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,6.0,jrhynxfi,4.0,1.0,M,96.0,,O,Sanmina-SCI,1911091.0
FSH7536,266852.0,Fontana,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,6.0,dnhtjyu,0.0,0.0,W,96.0,424.0,O,Iron Mountain,988775.0
Tdx7537,206973.0,Charlotte,,2.0,YKOVOTYB,5.0,5.0,M,49.0,623.0,R,OfficeMax,3919363.0
Sbn7538,258221.0,Richmond,atydogjpqphuwhegtbukkqiaeakrtrn,4.0,WNNMWJ,5.0,1.0,S,,792.0,O,AMR,428918.0
Piq7539,428508.0,Santa Clarita,Hlotorcbtobuceb,6.0,Oktkljv,4.0,4.0,S,27.0,718.0,O,Kohl's,58134.0
IXD7540,,Yellow Knife,gsrdigbqfwrahybxrtm,6.0,,4.0,0.0,M,98.0,401.0,O,Cigna,3703767.0
wsn7541,58953.0,Oxnard,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,2.0,GXFLSISZUY,4.0,5.0,M,,557.0,R,West,433859.0
Jkp7542,409682.0,Huntington Beach,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,7.0,gzexcrngivl,5.0,5.0,W,56.0,393.0,O,Monsanto,3002044.0
CCF7543,340191.0,Durham,,10.0,yzoikhwrd,2.0,4.0,M,94.0,557.0,,Reliant Energy,1124168.0
ylj7544,238216.0,Naperville,RELJYREDKQEKGOORBLRKOUIC,5.0,Gdbktega,4.0,5.0,U,98.0,465.0,O,Idearc,2081541.0
ZBB7545,113171.0,Albuquerque,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,6.0,Kdcqzpvf,0.0,1.0,M,8.0,,O,Neiman Marcus,1897076.0
fqe7546,234797.0,Newark,Yewxbqpnfgh,10.0,Tbwgwtmgcu,5.0,,W,90.0,485.0,,O'Reilly Automotive,235172.0
Wpw7547,225322.0,Miami,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,2.0,Mwmfs,4.0,2.0,M,34.0,303.0,,Cliffs Natural Resources,639573.0
vpz7548,192689.0,London,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,4.0,goelqgcts,1.0,2.0,W,25.0,846.0,O,Health Management Associates,2667082.0
Yfz7549,348685.0,Worcester,VDBAVRMWFYBDZUILPKFXIVIYGFUU,1.0,ucwygjzs,5.0,4.0,,50.0,621.0,O,Chevron,2598634.0
dou7550,401229.0,Jacksonville,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,fjlfqftwg,3.0,4.0,D,85.0,331.0,O,Exide Technologies,1074671.0
FDJ7551,38597.0,Nashua,hfuyqlsmbesrylepu,9.0,Tocujgaiaq,5.0,4.0,M,60.0,401.0,R,Convergys,2272997.0
ufu7552,,Newport News,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,0.0,kurjmmgixxfd,2.0,2.0,S,95.0,644.0,R,Dominion Resources,702000.0
bbg7553,161204.0,Corona,qgjnvpwvmgsqzcanzncon,5.0,cnsavindoi,4.0,1.0,M,8.0,769.0,R,Sentry Insurance Group,1289800.0
Znk7554,202650.0,Lincoln,HNBGLUDIOAJRCCIXGDUQOO,2.0,MQBSAUVQRPYE,3.0,4.0,M,31.0,481.0,O,Cintas,1007390.0
CGQ7555,,Toronto,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,7.0,vadbnvz,1.0,2.0,U,51.0,732.0,O,Medtronic,124290.0
add7556,492433.0,Fayetteville,dnlleihfh,2.0,Ljurvnigr,4.0,4.0,M,24.0,802.0,O,Pride International,1820002.0
Anw7557,344858.0,Charlotte,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,5.0,BQDMQVFTNBRJ,2.0,4.0,M,78.0,329.0,O,A. Schulman,2200347.0
Hvt7558,197290.0,Tulsa,Wsjaujjdexc,0.0,jkcul,5.0,0.0,W,56.0,839.0,R,Oneok,3669569.0
Yqj7559,283654.0,Winston-Salem,Ojberg,,Nelny,2.0,,U,50.0,539.0,,Danaher,2140537.0
Ztn7560,317423.0,Thousand Oaks,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,4.0,Qsggz,4.0,5.0,M,52.0,561.0,R,Del Monte Foods,3258909.0
bni7561,399126.0,Lubbock,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,2.0,Drofa,4.0,5.0,W,14.0,814.0,O,American Electric Power,1825422.0
swx7562,398180.0,Winnipeg,Xwtkpxqgohxwxnv,7.0,Ssovhtmt,5.0,0.0,M,29.0,305.0,R,TJX,1845263.0
DSA7563,,Laredo,Qpvmtkxxfef,4.0,Tnprhljfrlj,2.0,4.0,S,50.0,457.0,O,Philip Morris International,1463114.0
BXZ7564,485429.0,Overland Park,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,8.0,Bkxujhonjgjk,4.0,1.0,U,67.0,349.0,O,Cincinnati Financial,2354683.0
pcz7565,118018.0,Calgary,KRYAIAJGKHBKXBLC,0.0,mrjrjhgnwcdu,2.0,0.0,M,22.0,590.0,O,Stryker,436677.0
Zqa7566,309693.0,Peoria,,0.0,Yusezkfgs,5.0,4.0,U,20.0,533.0,O,Kansas City Southern,2383335.0
Htl7567,90718.0,Durham,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,9.0,RKXTQAO,4.0,0.0,W,75.0,686.0,O,IDT,2574739.0
afw7568,280645.0,Pueblo,VBDCWYVK,10.0,UBQSATXZO,2.0,0.0,U,60.0,582.0,O,Vornado Realty Trust,1596838.0
Wna7569,231559.0,Las Cruces,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,0.0,BHRNWQLFVFA,,4.0,S,,807.0,O,Dollar General,591965.0
Mlh7570,36898.0,Chula Vista,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,3.0,Ktmzav,3.0,5.0,S,48.0,819.0,O,Safeway,3071440.0
Gor7571,396786.0,San Diego,Gwxymofcy,5.0,Nfpchgfj,2.0,0.0,M,91.0,311.0,R,Apache,2683081.0
ENX7572,344365.0,Chicago,Qynjnmfgwxpmrw,3.0,Wuywecohosfi,2.0,5.0,U,98.0,734.0,O,Lowe's,3850483.0
fgr7573,1205.0,Worcester,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1.0,tibxlojrqiha,4.0,1.0,W,51.0,432.0,O,Lithia Motors,1870617.0
Ysh7574,276666.0,Honolulu,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,3.0,ogmes,5.0,0.0,S,22.0,394.0,O,CH2M Hill,1249534.0
Mos7575,497953.0,Albuquerque,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,1.0,JUBKXDKP,0.0,0.0,U,57.0,658.0,O,Tellabs,3789880.0
czu7576,156048.0,Oakland,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,3.0,Xbgykqm,1.0,2.0,M,38.0,348.0,O,Phillips-Van Heusen,3874445.0
Ghr7577,63617.0,Billings,BESJDYZDIOIXKDFEHBQXBPW,8.0,NNCXIBTCXZA,1.0,5.0,M,68.0,598.0,O,Wells Fargo,437353.0
Rwk7578,244849.0,Pueblo,Ouopoqztakszwsfkthdbwndfjuqaelyd,9.0,mfwuio,2.0,2.0,U,93.0,505.0,O,Vornado Realty Trust,2669917.0
Uwi7579,123585.0,Sherbrooke,Ivwhotvobwkshcixclfobqoljlaqohw,7.0,Utgwrun,4.0,3.0,S,48.0,839.0,R,New York Times,1466537.0
VXZ7580,391134.0,Sacramento,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,2.0,Wgulrhctjlg,1.0,1.0,S,96.0,672.0,U,Adobe Systems,991860.0
Ayk7581,426759.0,Charlotte,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,3.0,Srhxvxe,5.0,5.0,M,58.0,696.0,O,Valmont Industries,
lho7582,451737.0,El Paso,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,5.0,Dadkihaohc,5.0,3.0,W,63.0,448.0,O,UAL,1816368.0
rzi7583,180822.0,Mesa,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,9.0,Fpoleiod,2.0,1.0,S,18.0,549.0,O,AFLAC,565246.0
Wds7584,205843.0,Simi Valley,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,0.0,Cuaieflmccqp,4.0,2.0,W,40.0,705.0,O,VeraSun Energy,1899339.0
Xsj7585,470985.0,St. Catharines,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,6.0,qiraymmapgf,4.0,3.0,M,29.0,387.0,O,Magellan Health Services,3873239.0
Lux7586,318225.0,Washington,Nhgrkzjzcrjcerkwrugwul,7.0,Tsynomgib,2.0,1.0,U,21.0,359.0,,Emcor Group,767547.0
wxw7587,326044.0,Chula Vista,,9.0,Amudllk,2.0,2.0,M,41.0,494.0,O,Peabody Energy,1027999.0
pfz7588,,Montpelier,uiaoi,10.0,ELQKT,1.0,1.0,M,56.0,345.0,,State Farm Insurance Cos.,3428495.0
hlx7589,187282.0,Mesa,Wwonzdtvwkn,10.0,Oiwac,2.0,0.0,M,33.0,402.0,O,Humana,1827180.0
nyb7590,,New Haven,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,3.0,Dqgzinvuxxy,2.0,0.0,M,96.0,579.0,O,News Corp.,2070007.0
Ltt7591,,Indianapolis,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,2.0,Nchaajfkjvx,2.0,0.0,,35.0,569.0,O,Torchmark,
gsz7592,306946.0,Stockton,cezvfwtftwlwfrgrpxtuejvrgucexe,9.0,XEDMBUAMGXKH,0.0,4.0,W,40.0,745.0,O,Rock-Tenn,3596263.0
Kwp7593,99663.0,Louisville,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,1.0,crxbrlj,0.0,,D,10.0,320.0,U,AGCO,3719999.0
AGM7594,482013.0,Atlanta,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,4.0,Eytubbwi,2.0,4.0,M,59.0,591.0,R,,3058439.0
Ocn7595,180476.0,Milwaukee,Ctgihaqlm,10.0,Lwftldizl,1.0,0.0,M,70.0,,U,United Stationers,2592932.0
Cmw7596,285682.0,Fort Smith,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,5.0,GSSFZNBZL,4.0,5.0,M,69.0,417.0,,McCormick,1471273.0
Dit7597,455032.0,Knoxville,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,8.0,Nrnqtmjz,0.0,5.0,M,96.0,338.0,R,National Life Group,
Rmm7598,356141.0,Idaho Falls,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,9.0,Rzjxvum,3.0,,S,9.0,340.0,O,Hasbro,2410816.0
ekj7599,165667.0,Jacksonville,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,5.0,Accezkuzqrif,3.0,3.0,U,39.0,738.0,U,Tupperware Brands,1059543.0
wcq7600,459767.0,Stockton,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,7.0,LNZZPGOTEG,0.0,2.0,S,31.0,597.0,O,Covance,379282.0
Klc7601,106459.0,Thousand Oaks,RSSNUTWWLOKIHRRTPEAFTLBF,4.0,YINOHET,2.0,2.0,M,64.0,603.0,R,Interactive Brokers Group,3271265.0
Jrd7602,51021.0,Nashua,Sachwqwddeyfxvagihsjxtcsibaejb,5.0,ddgkyv,,1.0,D,38.0,662.0,U,SkyWest,1530364.0
GDQ7603,494931.0,Tallahassee,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,0.0,Seiksuhglhj,2.0,4.0,W,47.0,838.0,R,Best Buy,3731860.0
fnm7604,429859.0,Brownsville,Sbutxmtwkb,9.0,Ytgghhaxc,5.0,2.0,M,,791.0,O,Sears Holdings,2488858.0
Ymu7605,,Charlotte,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,7.0,Ajlcdadx,1.0,4.0,S,76.0,692.0,O,Frontier Oil,2301347.0
Pxj7606,464086.0,Oakland,mnkidgiyajigobghpnkdvauwiubpjb,8.0,Daivf,0.0,3.0,W,60.0,673.0,O,Automatic Data Processing,1736571.0
Rsd7607,207651.0,Fort Wayne,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,7.0,xrquzcptycg,3.0,,U,73.0,331.0,O,,2399483.0
Qqh7608,260418.0,Chula Vista,Fmrydeogisvvtrpsfonolelpnqcbkrr,2.0,shigmwk,4.0,,U,37.0,744.0,O,Comerica,2982744.0
udq7609,,Peoria,Xhggtfwyslxvgeiuzjfxewcsweefq,6.0,enehob,5.0,1.0,M,50.0,446.0,U,Baldor Electric,1611011.0
Ghl7610,316963.0,Lexington,,0.0,RNLAKRXSPA,0.0,4.0,M,0.0,,O,Commercial Metals,2999167.0
mtk7611,84046.0,Salem,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,,Hlezt,5.0,,W,,,O,,
QIY7612,368990.0,San Jose,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,9.0,Iyqmkpcjx,0.0,3.0,M,,723.0,O,Molina Healthcare,3307491.0
Ohz7613,124382.0,Kansas City,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,2.0,klgnkcaedht,2.0,0.0,S,81.0,348.0,O,Plains All American Pipeline,2057260.0
djg7614,9263.0,Windsor,Gvdteormavfflajkedaclod,,Jsombikj,2.0,0.0,M,52.0,666.0,O,Agilent Technologies,53179.0
Iad7615,334181.0,Chicago,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,3.0,Xtckbvng,2.0,4.0,M,68.0,,U,AutoZone,690086.0
EMG7616,314001.0,Evansville,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,8.0,YPUWSVRD,0.0,1.0,M,,844.0,R,,2025465.0
Hjn7617,168309.0,Honolulu,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,8.0,Ifxvsnt,1.0,4.0,M,36.0,766.0,O,Universal Health Services,695307.0
CYP7618,322765.0,Cleveland,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,10.0,EAOJPQVWBNZ,2.0,4.0,M,31.0,521.0,O,Time Warner,3238398.0
KPN7619,311253.0,Livonia,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,7.0,fhirgl,1.0,5.0,W,55.0,306.0,O,Sealed Air,1213578.0
Vbi7620,140296.0,Little Rock,Blsmawjjdmdamrhqyqgzmbkfa,9.0,Lahfziy,5.0,5.0,W,66.0,411.0,R,Sprint Nextel,103708.0
ehb7621,439984.0,Halifax,Stofpzwyhkpmuq,3.0,tofdjef,1.0,5.0,M,22.0,,O,,1086081.0
TMQ7622,454011.0,Peoria,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,8.0,rckzx,5.0,0.0,U,51.0,702.0,O,Quiksilver,1349626.0
Lsb7623,191541.0,San Jose,,1.0,MMLJKBGXD,1.0,5.0,S,26.0,842.0,R,Valspar,1083092.0
Dpz7624,,Charlotte,Twfsibyhrvrnvcygkdiwyokzoikvjbawfwpiachehbzcinnvdgevmbuozxru,0.0,banusio,2.0,1.0,U,100.0,528.0,R,Timken,1662799.0
Zuj7625,,Hilo,cnckvldjedzgdqhy,5.0,Safkd,3.0,3.0,W,13.0,300.0,R,,3548540.0
Jqk7626,269215.0,Yonkers,,7.0,DHTLWJDXLRW,2.0,1.0,S,11.0,752.0,O,Occidental Petroleum,881414.0
ijb7627,193126.0,Modesto,VITKCZSDQUXZTMLICIBDHMBKLDLCTRVNDXMCHYEHGKHEVTWIYGOYVVMGCSUTKYDEVACOBPWCJYA,0.0,RORIUHK,0.0,4.0,M,62.0,303.0,O,,1712200.0
NMO7628,462618.0,Louisville,qehomraquwxrkb,10.0,bxgwhohh,3.0,5.0,M,13.0,418.0,O,Massey Energy,847446.0
Tef7629,212026.0,Eugene,pqcvwpsrvpzvqbvhsmxgvaigjfvoqwnjrzcpnlwqcqhzedfjoqpahrugzhperwh,4.0,SRARKMXOD,3.0,3.0,W,23.0,667.0,O,Weyerhaeuser,344294.0
Sdj7630,371024.0,Buffalo,Vhixcyutfffwnvhjcajyuzaqshhtpkcdxkxayylwdfdvwdqejppkxhwfe,7.0,hwugfvlttol,1.0,4.0,D,51.0,441.0,U,National Fuel Gas,1534879.0
Pbr7631,235810.0,Santa Fe,kxnhxkeruywqzmkpbwatzrjybxepmuyrnmxtcjblsbdaewnizpa,0.0,zgsllav,3.0,2.0,U,2.0,471.0,O,Pep Boys,3897101.0
Ice7632,347270.0,Springfield,Kobkgkfebuucmenkiwfomkpzvbqksljtanzpffqcbmerezuplwjemxtcbgfijlplqkbvt,9.0,Mszwfhpj,2.0,,W,,701.0,O,Neiman Marcus,3064442.0
ZWG7633,399212.0,Anchorage,TAIWTM,1.0,Yqfxb,5.0,2.0,D,82.0,323.0,R,BlackRock,2016524.0
Evw7634,439561.0,Winnipeg,Twqwqcihxcqtsikjrbkpdkcjvilxxwufcseemmxkpaevfnnugdvcqakfvfskapafcnvyd,10.0,ypmuep,4.0,5.0,M,94.0,846.0,O,McGraw-Hill,37745.0
Lhl7635,29980.0,Waco,Wvsmbbadsaukihzirleqmihmfjfafpipekvdkefyphameghcopkjeesgzzrbcermehabkebgrek,8.0,Xthtecuu,3.0,4.0,M,16.0,850.0,O,Family Dollar Stores,503752.0
LYB7636,28693.0,Stockton,gftdszadvqouvqfmwwscgcdqwrqbpwtnqurrsyiwhkcvhuocznwtwvy,,Xjzpdio,2.0,5.0,M,43.0,,U,Teleflex,2115180.0
Ijb7637,106794.0,Boston,Phqspowfoiqmszxy,3.0,Rgthehdvvlh,1.0,2.0,M,76.0,564.0,O,,839222.0
Zhf7638,340598.0,Memphis,XDPEFDQIMFNMCO,4.0,ysexit,3.0,5.0,S,0.0,558.0,O,Imation,1851334.0
PYU7639,490597.0,Sydney,FSSAAXLAMAPBOMTNUFG,0.0,Wscgcsbwlzj,1.0,,U,33.0,417.0,O,PPL,1348251.0
Iku7640,499685.0,Shreveport,AKWOIATLDDKU,6.0,AUQJTIMK,2.0,2.0,U,62.0,487.0,O,Smithfield Foods,2722392.0
HBZ7641,62285.0,Modesto,Awzdulnpokgxmcpktscqulqpvxabgunakhqq,9.0,Weqnwrwrbcgx,2.0,0.0,M,8.0,639.0,O,Macy's,1785161.0
Pco7642,320885.0,Hull,VANVGDDSYEK,3.0,facqrtjqjmd,5.0,5.0,U,4.0,625.0,O,Torchmark,2823578.0
Ybv7643,184669.0,Yonkers,TVTDULLNHUZPDNEEKSXEGPXDNE,1.0,OCNCREZ,5.0,3.0,D,39.0,,O,Herman Miller,2123972.0
Rim7644,126989.0,Atlanta,phbmzmktzmjbzbkqsvgsvojcoukqnfkdnyszoeqyprkqroesnbjv,3.0,JXOGSVJ,0.0,0.0,S,90.0,,R,Kindred Healthcare,112782.0
gnf7645,48144.0,Hayward,HWAWSSEUGGKEXQDESYXFHWZ,3.0,Iqtso,1.0,4.0,M,7.0,460.0,,Arch Coal,248311.0
