NumberChildren,NumberCars,PostalCode,LastName,Income,Country,Gender,Employer,Phone,NetWorth,State,AddressLine1,AddressLine2,AgencyID,FirstName,OwnOrRentFlag,MaritalStatus,NumberCreditCards,MiddleInitial,CreditRating,City,Age
0.0,0.0,T6d 1b3,SELCHOW,258323.0,United States of America,F,Coach,1-098-328-2026,2102359.0,NY,21170 EDLOE BOULEVARD,,SEL33,Andromache,R,M,2.0,E,796.0,Nashua,9.0
3.0,1.0,25339,shane,79476.0,United States of America,f,DaVita,1-209-754-5635,3480265.0,SC,885 CROSBY LANE,,sha34,THOR,U,M,2.0,Z,818.0,Fort Smith,85.0
3.0,5.0,V6o 1v4,MERWIN,102156.0,United States of America,,Marshall & Ilsley Corp.,1-498-781-3456,3648900.0,MS,12235 jay street,,MER35,SALAH,U,M,3.0,,766.0,Lancaster,81.0
3.0,2.0,01852,conrad,221481.0,United States of America,,Cablevision Systems,1-615-241-0440,1161790.0,UT,20340 LOMBARD CRESCENT,,con36,HOR-LAM,O,M,2.0,,359.0,Colorado Springs,0.0
5.0,1.0,78230,onsiteteam,41836.0,United States of America,M,Barnes & Noble,1-995-449-5200,2050587.0,PA,22074 dexter upper,,ons37,Vania,R,S,2.0,,401.0,Washington,28.0
1.0,1.0,93770,Summerlin,72389.0,Canada,M,EMC,1-295-673-4452,3579198.0,OK,1540 MURIE RUE,,Sum38,Niel,O,U,0.0,,609.0,Lowell,65.0
0.0,3.0,m4l 1n4,grooms,66486.0,United States of America,,Fluor,1-914-675-2986,889494.0,WY,7075 glen loch drive,,gro39,ziad,O,S,2.0,F,630.0,Frederick,20.0
1.0,3.0,22335,dilkie,200185.0,United States of America,,Dollar General,,2205682.0,RI,11237 balmoral way,Apt. 382,dil40,Claude,O,M,9.0,I,671.0,Mesa,55.0
2.0,0.0,V6C 1T4,DOLSON,289215.0,United States of America,,Lear,1-825-739-0336,1140117.0,HI,8316 GARDEN BROOK NORTH,,DOL41,AVTAR,O,U,10.0,,715.0,Lakewood,76.0
1.0,4.0,M6t 1h3,Posthumus,322484.0,United States of America,,J.P. Morgan Chase & Co.,1-956-713-3802,1421319.0,VA,2240 clifton lower,,Pos42,Donny,O,M,9.0,,707.0,Cleveland,1.0
2.0,4.0,95263,Machika,83458.0,United States of America,,Affinia Group Intermediate,1-814-932-1579,3525204.0,OK,20907 NOTINGHAM LOWER,,Mac43,Cocos,O,M,0.0,,329.0,Grand Rapids,3.0
3.0,0.0,v5b 1p5,chenoweth,,United States of America,,,1-135-443-7282,468976.0,Prince Edward Island,601 carroll lower,,che44,ruud,R,D,8.0,,601.0,Peoria,100.0
1.0,5.0,32318,holbrooks,492407.0,United States of America,,Goldman Sachs Group,1-720-975-0667,1685443.0,SD,18267 state drive,,hol45,Belvia,O,W,2.0,,623.0,Inglewood,81.0
4.0,4.0,93872,pfieffer,346630.0,United States of America,f,E*Trade Financial,1-871-598-3505,337564.0,OH,9270 LEAF SOUTH,,pfi46,ATHAR,O,S,2.0,,376.0,Akron,76.0
3.0,1.0,92824,elkington,9572.0,Canada,,Pfizer,1-607-222-4809,84777.0,MA,18582 PERIMETER BOULEVARD,,elk47,Cherey,O,W,0.0,Y,560.0,Charlottetown,51.0
5.0,1.0,e4a 1r2,Labenek,265369.0,United States of America,F,Safeway,1-965-046-0642,3146477.0,MD,9612 park stream upper,,Lab48,RAZ,O,,4.0,,693.0,Bellevue,
2.0,1.0,H7G 1V4,laferriere,104172.0,United States of America,,Simon Property Group,1-155-441-3579,495277.0,Saskatchewan,2803 clearwater north,,laf49,kishore,U,S,0.0,Y,346.0,Dover,58.0
3.0,0.0,85039,Norment,65550.0,United States of America,,Trinity Industries,,746904.0,WA,11103 BISSONNET WEST,,Nor50,Nelleke,O,M,0.0,I,342.0,Fullerton,52.0
0.0,2.0,v6m 1q3,hagar,,Canada,,Solutia,1-544-132-7237,1219620.0,OH,4652 outervale lane,,hag51,sibby,R,M,8.0,,563.0,Denver,91.0
3.0,2.0,X7j 1r1,Betcher,,United States of America,m,,1-821-089-2089,1718910.0,WY,341 dunbar west,,Bet52,ericha,O,M,4.0,,391.0,Dallas,17.0
4.0,4.0,B8b 1z5,Van der,66244.0,United States of America,m,A.O. Smith,1-135-391-9787,,NJ,16176 vernon drive,,Van53,Janson,O,S,8.0,,381.0,San Jose,6.0
3.0,0.0,t5d 1v4,O'LEARY,426954.0,United States of America,F,AptarGroup,1-776-182-6215,2636424.0,ND,23131 clint way,,O'L54,Dorotea,U,S,9.0,,539.0,Bellevue,89.0
4.0,5.0,V6t 1r2,anderson,126891.0,United States of America,m,Coca-Cola,1-079-780-7761,1326305.0,NC,11640 baltic upper,,and55,Denice,O,M,0.0,,497.0,San Buenaventura,99.0
2.0,4.0,91177,starks,454196.0,Canada,,Kimberly-Clark,1-504-346-4393,2241997.0,WV,20796 dolores drive,,sta56,Myron,O,M,,,661.0,St. Louis,77.0
3.0,5.0,T5c 1t1,CHASSE,163940.0,United States of America,,Visteon,1-985-538-4351,1542891.0,GA,14359 COMMERCE WEST,Apt. 275,CHA57,Barby,R,S,0.0,,558.0,Pueblo,
1.0,,35862,ASING,365213.0,Canada,R,TECO Energy,1-254-097-9398,797918.0,Ontario,21448 hampton boulevard,,ASI58,Ariella,O,W,,,534.0,Regina,90.0
0.0,0.0,96820,askins,428739.0,United States of America,f,Bemis,1-545-924-9552,347654.0,MA,7637 pershing way,,ask59,ADEY,U,M,6.0,,373.0,Saskatoon,82.0
0.0,4.0,75238,Kikuta,142444.0,United States of America,,Wyeth,1-984-233-8818,2456397.0,CA,11529 arcana boulevard,,Kik60,GAYEL,O,M,8.0,K,382.0,Jackson,
3.0,3.0,85769,Chane,416168.0,United States of America,F,United Technologies,1-528-691-1642,1284229.0,SD,2700 windwood north,,Cha61,Man,O,S,10.0,,475.0,St. Petersburg,15.0
0.0,2.0,H5i 1o9,KILLEN,291420.0,United States of America,m,Clorox,,618787.0,Saskatchewan,22279 gramercy road,,KIL62,Klara,O,D,3.0,U,539.0,Scottsdale,
5.0,4.0,90849,kinley,413501.0,United States of America,f,Discovery Communications,1-171-807-8213,1171606.0,RI,9828 west east,,kin63,Abdalla,O,M,6.0,,711.0,Charlotte,96.0
,4.0,43644,MALAHER,,United States of America,,Williams-Sonoma,1-056-241-7009,3983261.0,NC,5935 mcafee park,,MAL64,bal,O,M,1.0,,606.0,Waterbury,38.0
3.0,3.0,99213,Odum,419143.0,United States of America,,Manitowoc,1-389-414-0570,2328568.0,SD,12460 CLAYTON STREET,,Odu65,Romy,O,W,0.0,J,494.0,Chesapeake,10.0
5.0,1.0,72226,DI NINNO,155057.0,United States of America,,Henry Schein,1-583-542-1656,2078600.0,IL,275 3rd drive,,DI 66,KORAL,O,M,3.0,,309.0,Hialeah,72.0
5.0,2.0,V6Z 1Q9,STUBBLEFIELD,313859.0,United States of America,,Trinity Industries,1-269-712-0672,2986155.0,OR,6907 FERNCLIFF CRESCENT,,STU67,YUKIHIKO,O,M,3.0,K,630.0,Charleston,97.0
1.0,4.0,20082,HAMBALI,265907.0,United States of America,,Pepsi Bottling,1-670-102-0463,1864039.0,Ontario,885 crosby lane,,HAM68,Khanh,O,S,10.0,,330.0,Salem,48.0
0.0,,35827,LIBRARIAN,283481.0,Canada,m,UGI,1-699-726-3895,1293721.0,FL,2344 kalani west,,LIB69,Darnell,O,S,9.0,,710.0,Sacramento,97.0
0.0,4.0,99692,ohsone,200635.0,United States of America,M,Greif,1-640-666-2876,3850114.0,NM,22870 LA CIENEGA STREET,,ohs70,feridoun,R,M,7.0,,475.0,Santa Clarita,73.0
1.0,0.0,V6c 1q5,HUMMEL,434519.0,United States of America,,Equifax,1-540-639-1311,1618743.0,NE,8478 green avenue,APT. 143,HUM71,Magdy,O,U,3.0,O,596.0,Sherbrooke,71.0
1.0,5.0,80158,BRADD,392315.0,United States of America,,,1-285-874-8492,3383487.0,MI,23639 purdue rue,,BRA72,jiri,O,W,9.0,,670.0,Colorado Springs,93.0
3.0,5.0,t6d 1b6,Boarder,493829.0,United States of America,,Freescale Semiconductor,1-121-904-0040,2981876.0,New Brunswick,19202 ansley park,,Boa73,AILA,O,U,,X,722.0,Berkeley,53.0
2.0,3.0,33120,Mcnally,97489.0,United States of America,,Aleris International,1-017-842-3201,2109339.0,NJ,11319 devonshire rue,,Mcn74,Vincenzo,O,U,7.0,,587.0,San Buenaventura,32.0
3.0,4.0,99742,MARKOVICH,,United States of America,F,,1-215-859-3206,791803.0,ND,23665 deerwood park,,MAR75,Minnnie,O,S,4.0,,609.0,New Haven,1.0
1.0,0.0,V6N 1T1,Willekes,383046.0,United States of America,f,World Fuel Services,1-764-520-7470,3523678.0,Saskatchewan,4855 union north,,Wil76,alfonzo,O,S,7.0,,401.0,Shreveport,39.0
0.0,4.0,44104,Deacetis,1190.0,United States of America,m,R.R. Donnelley & Sons,1-414-130-0162,1681902.0,KS,9466 SHADOWBRIAR WEST,,Dea77,Swandi,,M,0.0,S,335.0,Lansing,77.0
5.0,5.0,14605,Houk,85733.0,United States of America,,Brinker International,1-970-240-9990,3851455.0,SD,3504 regency avenue,,Hou78,Anya,O,U,7.0,,569.0,Pembroke Pines,18.0
2.0,0.0,80076,Goyette,387890.0,Canada,,Temple-Inland,1-408-684-6459,2339382.0,FL,7281 northland lower,,Goy79,Enrika,R,M,9.0,,,Palmdale,70.0
0.0,2.0,V6I 1V6,Mok-fung,16808.0,United States of America,f,Psychiatric Solutions,1-330-353-5908,,Saskatchewan,12481 hayden lower,,Mok80,SONJA,O,S,7.0,Z,679.0,Savannah,26.0
4.0,,97307,Rundle,304589.0,United States of America,,Nash-Finch,1-766-726-2675,2065016.0,FL,2328 gracie avenue,,Run81,Liem,,M,10.0,I,356.0,Amarillo,
5.0,2.0,46237,BELLEY,48506.0,United States of America,o,AMR,1-938-425-7509,2454049.0,UT,4737 campbell street,,BEL82,COLLETTE,R,S,9.0,,308.0,Anchorage,58.0
4.0,0.0,V6B 1S6,BAER,,United States of America,,Spartan Stores,1-527-308-8874,2423395.0,WY,2401 stratmore lower,,BAE83,SIAMACK,O,M,4.0,Y,412.0,Louisville,43.0
3.0,2.0,H2d 1x1,MAULDIN,358862.0,United States of America,f,Cigna,1-810-590-0635,1342045.0,NH,21477 JUNIPER CRESCENT,,MAU84,Toshihiro,O,D,4.0,,618.0,Hilo,65.0
3.0,5.0,95108,Koohgoli,477614.0,United States of America,,General Cable,1-274-548-2512,861756.0,AR,19214 YAUPON BOULEVARD,,Koo85,Casey,O,S,5.0,,429.0,Sudbury,24.0
1.0,3.0,80050,Lauriston,175414.0,United States of America,,Dun & Bradstreet,1-649-754-4601,1215349.0,CT,7785 rusk boulevard,,Lau86,Daryn,O,S,3.0,,819.0,Orlando,79.0
1.0,0.0,90122,Mangum,427598.0,Canada,F,Casey's General Stores,1-905-932-1785,3981554.0,VT,18002 cantrell upper,,Man87,Adrianna,O,M,7.0,L,552.0,Missoula,48.0
4.0,0.0,43614,PIERCY,368207.0,United States of America,,Jack in the Box,1-031-004-7697,3865937.0,Manitoba,23341 brookside upper,,PIE88,Cortney,O,S,9.0,,587.0,Abilene,69.0
1.0,3.0,61110,Buscaglia,449944.0,United States of America,M,Assurant,1-994-812-4796,2804700.0,NJ,20494 ROSS WEST,,Bus89,Duane,O,S,6.0,,304.0,Saskatoon,91.0
5.0,5.0,70174,BABIONE,166247.0,United States of America,,Psychiatric Solutions,1-176-513-4041,3283558.0,KY,17552 SAVANNAH NORTH,,BAB90,Tele,U,,4.0,,795.0,Irvine,75.0
3.0,1.0,90324,Burkard,391165.0,United States of America,M,Danaher,1-072-244-6337,450524.0,GA,4462 pace crescent,APT. 373,Bur91,Ophelia,O,S,2.0,,830.0,Reno,85.0
3.0,5.0,s7d 1n1,Kinsella,165854.0,United States of America,,Clorox,1-924-669-9328,,NJ,7161 tallowood upper,,Kin92,lorine,R,M,3.0,,709.0,Sacramento,76.0
1.0,2.0,93829,POMMAINVILLE,326181.0,United States of America,,Boyd Gaming,1-598-488-3541,,SC,3489 silver sage west,,POM93,Viole,O,S,8.0,,493.0,Topeka,68.0
,3.0,89116,BOATWRIGHT,173387.0,United States of America,M,Eaton,1-295-539-3868,633760.0,TN,12481 hayden lower,,BOA94,Nani,O,M,,,680.0,Rancho Cucamonga,95.0
5.0,1.0,94315,Ronald,301127.0,United States of America,,Dynegy,1-554-020-0267,3634954.0,WY,13210 3RD DRIVE,,Ron95,cherey,R,M,,R,800.0,Hilo,15.0
5.0,1.0,T5b 1u9,weihs,487230.0,United States of America,,AmeriCredit,1-793-621-4566,799268.0,Ontario,8899 starling lane,,wei96,Redgie,R,M,4.0,A,614.0,Saint John,17.0
0.0,4.0,T6b 1a5,Helpb,425747.0,Canada,M,SLM,1-787-267-4261,39093.0,DC,11480 fennel south,,Hel97,Yousef,R,,6.0,P,763.0,Torrance,94.0
4.0,4.0,60699,moghe,401946.0,United States of America,m,NV Energy,1-668-247-1597,2705353.0,Alberta,7266 cherry upper,,mog98,Damaris,O,S,3.0,,561.0,Santa Clara,70.0
2.0,1.0,V6p 1s8,bozicevich,425422.0,United States of America,,Landstar System,1-901-346-8890,3565153.0,ME,10678 ENGLEWOOD WEST,,boz99,Ilyssa,O,S,4.0,,569.0,Torrance,29.0
1.0,4.0,v6i 1p1,Zaharychuk,208890.0,United States of America,,Pacific Life,1-451-273-3803,2832204.0,MA,21181 2ND RUE,,Zah100,Moselle,O,M,5.0,R,634.0,Stockton,52.0
3.0,5.0,79423,Andric,67880.0,United States of America,F,Textron,1-129-499-9136,2194345.0,NV,22963 hanover road,,And101,Dulsea,O,U,10.0,,488.0,Paterson,51.0
3.0,2.0,H5j 1o6,Bamfo,133412.0,Canada,,Pfizer,1-899-319-0772,3737140.0,WA,8268 cliffbrook boulevard,,Bam102,Lyndsie,O,W,5.0,L,788.0,Mesa,24.0
4.0,3.0,93761,frondozo,144829.0,United States of America,,Cigna,1-053-396-0441,464753.0,WY,5118 montview court,,fro103,KESLEY,O,D,8.0,,333.0,Anchorage,98.0
1.0,1.0,76150,Caron,,United States of America,,Ameren,1-239-665-9540,596696.0,NJ,17442 tallowood upper,,Car104,LAUREL,U,M,,J,601.0,Miami,59.0
4.0,3.0,99717,muchow,143682.0,Canada,f,Consolidated Edison,1-605-888-3403,1504753.0,LA,4038 WEDGEWOOD STREET,,muc105,Steen,O,U,2.0,V,595.0,Great Falls,49.0
1.0,0.0,60608,gateau,350020.0,United States of America,,Occidental Petroleum,1-630-604-2543,3049281.0,TX,20334 anaconda avenue,,gat106,noel,O,U,10.0,,433.0,Erie,1.0
,0.0,v6w 1u4,Schaefer,435103.0,United States of America,F,Sherwin-Williams,1-851-862-7928,247478.0,SC,5385 young west,,Sch107,Tracey,O,U,10.0,M,403.0,Hollywood,79.0
5.0,1.0,T5b 1t6,pomerleau,207768.0,United States of America,,Affiliated Computer Services,1-065-415-5724,2750301.0,TX,2747 SINCLAIR LANE,,pom108,Sarajane,R,,3.0,,615.0,Tulsa,6.0
4.0,0.0,23298,cucuzzella,407512.0,United States of America,F,Valassis Communications,1-408-512-1007,721333.0,MN,8622 BROWNWAY PARK,,cuc109,Geoffrey,O,M,1.0,K,735.0,Tucson,70.0
0.0,3.0,32803,SUGARMAN,403366.0,United States of America,q,,1-083-902-4184,669440.0,ID,18048 GREEN NORTH,,SUG110,loralyn,O,S,1.0,Z,668.0,Anchorage,23.0
5.0,3.0,64122,Pepe,384095.0,Canada,,Smithfield Foods,1-568-403-7081,2473979.0,MI,18994 country boulevard,,Pep111,andrei,O,M,,,349.0,Sandy,78.0
,4.0,T6b 1h2,Chandrashekar,288969.0,United States of America,f,,1-824-389-0618,3545170.0,OK,16063 ashland road,SUITE 7,Cha112,javad,,S,,,654.0,Boston,79.0
3.0,2.0,22222,SEIFERS,233665.0,United States of America,m,TD Ameritrade,1-174-210-2058,1494871.0,UT,19309 mcfarlin north,Apt. 971,SEI113,Karna,O,U,6.0,U,361.0,Vancouver,72.0
0.0,4.0,T6a 1d2,GARTLEY,147236.0,Canada,F,Comerica,1-425-503-7952,436164.0,PA,2454 cliffbrook west,,GAR114,Jocelyn,U,S,1.0,S,427.0,Akron,31.0
3.0,0.0,v5d 1n9,Touchette,452557.0,United States of America,M,Steel Dynamics,1-012-389-9089,1069481.0,New Brunswick,15865 strand west,,Tou115,Elvera,O,W,1.0,,322.0,Lancaster,86.0
0.0,2.0,23321,Kurdziel,179305.0,United States of America,M,Coca-Cola Enterprises,1-909-472-6704,,UT,13776 east boulevard,,Kur116,Nessy,R,S,9.0,V,792.0,Concord,
0.0,3.0,90505,Herod,205817.0,Canada,,News Corp.,1-622-167-5411,2957261.0,VA,10570 WEIZMANN LOWER,,Her117,lona,O,U,2.0,,478.0,Chesapeake,87.0
5.0,,19066,MCVICAR,262711.0,United States of America,,,1-164-511-9338,228459.0,NH,15278 walnut hill road,,MCV118,RHEA,O,M,1.0,P,477.0,Flint,92.0
5.0,1.0,v6s 1r3,LABFIVE,84810.0,Canada,F,Stater Bros. Holdings,1-804-532-9163,67267.0,VT,23007 WAKEFOREST WAY,,LAB119,Josefa,O,M,6.0,,449.0,Chattanooga,4.0
4.0,2.0,78769,butta,96441.0,United States of America,,BorgWarner,1-197-370-0297,1087978.0,FL,9088 rivas way,,but120,alikee,O,U,2.0,,466.0,Billings,8.0
5.0,0.0,53769,Projects,462762.0,United States of America,m,CB Richard Ellis Group,1-337-042-5687,3885967.0,NC,18798 ullrich road,,Pro121,dolorita,O,M,2.0,,483.0,Scottsdale,97.0
4.0,5.0,H7E 1U6,Irc,141890.0,United States of America,,Zimmer Holdings,1-056-138-5321,3271101.0,VA,18517 HULEN LOWER,,Irc122,Marilyn,O,D,4.0,,588.0,Oshawa,
5.0,5.0,e7o 1k1,Zivkovic,156610.0,Canada,,Mohawk Industries,1-776-191-2031,,DC,11474 dodd lane,,Ziv123,robertson,O,,2.0,G,313.0,Naperville,40.0
4.0,1.0,90374,simser,164752.0,United States of America,,Berkshire Hathaway,1-280-696-2706,1999133.0,NC,9375 wood south,,sim124,Ilsa,R,U,1.0,H,647.0,Tampa,95.0
5.0,1.0,63169,keifer,278949.0,United States of America,,Saks,1-857-581-6346,1100786.0,MS,20479 wise avenue,,kei125,Pen,O,S,2.0,I,430.0,Jackson,92.0
5.0,0.0,16515,arvin,,United States of America,f,Gardner Denver,,563992.0,SC,19918 ROGERS NORTH,,arv126,AUBRETTE,O,W,8.0,P,467.0,Hay River,67.0
2.0,3.0,85309,Praeuner,463736.0,United States of America,F,Hasbro,1-716-343-0884,962397.0,KS,9284 coffey lower,,Pra127,Cole,O,M,7.0,,399.0,Irvine,24.0
3.0,2.0,92158,lue,,United States of America,m,CBS,1-101-776-2496,1064169.0,VT,2929 north crescent,,lue128,liva,O,M,5.0,C,654.0,Idaho Falls,26.0
0.0,2.0,33152,Przybycien,86667.0,United States of America,f,Synnex,1-769-028-0589,2100059.0,IL,15404 queen street,,Prz129,Ayaz,O,S,3.0,,378.0,Moreno Valley,62.0
1.0,5.0,83729,penn,193470.0,United States of America,f,Belden,1-005-833-8970,99025.0,FL,1619 greenspoint road,,pen130,YETTY,O,W,10.0,J,338.0,Ontario,37.0
0.0,5.0,B8b 1z6,Guay,406379.0,United States of America,,Broadcom,1-884-215-4243,3865481.0,MI,21477 WARREN PARK,,Gua131,Mary-michelle,R,S,10.0,S,695.0,Concord,71.0
3.0,1.0,53717,brennand,480595.0,Canada,F,Reynolds American,,804544.0,Newfoundland,6503 ROBBINS STREET,,bre132,agretha,U,M,7.0,,614.0,Phoenix,29.0
5.0,4.0,t5c 1w7,Savanh,181718.0,United States of America,f,Wells Fargo,1-725-177-7815,3143356.0,ME,3958 GLEN LOCH BOULEVARD,,Sav133,LOTTY,O,S,7.0,X,307.0,Coral Springs,89.0
3.0,0.0,37245,ABBATANTUONO,468310.0,United States of America,,Retail Ventures,1-277-496-5396,,AL,13640 ethridge lower,,ABB134,Kassey,O,M,2.0,Z,331.0,Oxnard,11.0
0.0,2.0,94401,OP,354987.0,United States of America,M,AT&T,1-756-463-2201,2311953.0,IN,3981 imperial lower,,OP135,Adria,O,S,2.0,N,638.0,Brownsville,20.0
5.0,3.0,B8a 1y3,Mersinger,284539.0,Canada,,Wynn Resorts,1-261-338-7463,3120608.0,NH,13210 3rd drive,,Mer136,audivox,O,W,3.0,,703.0,Memphis,75.0
5.0,0.0,t6b 1k2,rutt,213725.0,United States of America,F,Eastman Kodak,1-811-086-4675,2058270.0,DC,9297 THROCKMORTON SOUTH,,rut137,SUE,O,S,7.0,,302.0,Flint,95.0
3.0,2.0,85306,bemis,74195.0,United States of America,,Aramark,1-338-771-1185,1511983.0,DC,8935 YOUNG UPPER,,bem138,Lorenza,O,U,,I,522.0,Lafayette,0.0
1.0,5.0,V6R 1R7,Pennington,169295.0,United States of America,,ENSCO International,1-554-231-5318,439080.0,MD,3797 RUTGERS PARK,,Pen139,Enzo,O,M,,,,Greensboro,73.0
0.0,1.0,68513,torok,307832.0,United States of America,M,Auto-Owners Insurance,1-733-886-5227,921255.0,Prince Edward Island,8285 tamarind crescent,,tor140,claudina,R,W,5.0,Y,833.0,Sterling Heights,39.0
