indirizzo2,codice_postale,città,stato_id,indirizzo,telefono,città_id,distretto,indirizzo_id,stato
,79047.0,Callao,74,827 Yuncheng Drive,504434452842.0,99,Callao,309,Peru
,55566.0,Allende,60,397 Sunnyvale Avenue,680851640676.0,19,Guanajuato,419,Mexico
,53145.0,Valle de la Pascua,104,544 Tarsus Boulevard,892523334.0,562,Gurico,295,Venezuela
,61960.0,Lausanne,91,1331 Usak Boulevard,145308717464.0,296,Vaud,604,Switzerland
,22813.0,Binzhou,23,1332 Gaziantep Lane,383353187467.0,80,Shandong,539,China
,70385.0,Daxian,23,1966 Amroha Avenue,333489324603.0,139,Sichuan,68,China
,98332.0,Oyo,69,786 Stara Zagora Way,716256596301.0,390,Oyo & Osun,254,Nigeria
,70664.0,Florencia,24,734 Tanshui Avenue,366776723320.0,170,Caquet,465,Colombia
,92568.0,Coquimbo,22,568 Dhule (Dhulia) Loop,602101369463.0,127,Coquimbo,521,Chile
,75474.0,Vijayawada,44,758 Korolev Parkway,441628280920.0,568,Andhra Pradesh,513,India
,41545.0,Cuauhtémoc,60,1447 Chatsworth Place,769370126331.0,129,Chihuahua,472,Mexico
,63667.0,Ríobamba,28,1954 Kowloon and New Kowloon Way,898559280434.0,434,Chimborazo,499,Ecuador
,69504.0,Madiun,45,519 Brescia Parkway,793996678771.0,318,East Java,505,Indonesia
,80184.0,Angra dos Reis,15,1354 Siegen Street,573441801529.0,25,Rio de Janeiro,312,Brazil
,85548.0,Karnal,44,1884 Shikarpur Avenue,959949395183.0,263,Haryana,279,India
,25238.0,Usak,97,1215 Pyongyang Parkway,646237101779.0,557,Usak,208,Turkey
,5373.0,Ranchi,44,604 Bern Place,620719383725.0,429,Jharkhand,363,India
,9668.0,Johannesburg,85,270 Tambaram Parkway,248446668735.0,244,Gauteng,476,South Africa
,22236.0,Ciomas,45,47 Syktyvkar Lane,63937119031.0,118,West Java,243,Indonesia
,17119.0,Goiânia,15,984 Effon-Alaiye Avenue,132986892228.0,183,Gois,96,Brazil
,49757.0,Botshabelo,85,898 Belém Manor,707169393853.0,87,Free State,136,South Africa
,57197.0,York,102,1515 Korla Way,959467760895.0,589,England,502,United Kingdom
,67912.0,Atlixco,60,125 Città del Vaticano Boulevard,48417642933.0,40,Puebla,88,Mexico
,48960.0,Shivapuri,44,57 Arlington Manor,990214419142.0,475,Madhya Pradesh,72,India
,49708.0,Ashdod,48,659 Vaduz Drive,709935135487.0,34,Ha Darom,106,Israel
,8816.0,Korolev,80,954 Lapu-Lapu Way,737229003916.0,278,Moskova,398,Russian Federation
,25787.0,Bydgoszcz,76,1769 Iwaki Lane,556100547674.0,97,Kujawsko-Pomorskie,323,Poland
,62250.0,Hami,23,154 Tallahassee Loop,935508855935.0,199,Xinxiang,169,China
,47446.0,Saarbrücken,38,430 Alessandria Loop,669828224459.0,439,Saarland,231,Germany
,19450.0,Kamyšin,80,886 Tonghae Place,711928348157.0,259,Volgograd,515,Russian Federation
,65952.0,Yangor,65,962 Tama Loop,282667506728.0,583,,519,Nauru
,58124.0,Kowloon and New Kowloon,42,1912 Allende Manor,172262454487.0,279,Kowloon and New Kowl,294,Hong Kong
,31342.0,Cape Coral,103,1427 Tabuk Place,214756839122.0,101,Florida,532,United States
,22025.0,Mwene-Ditu,25,1519 Santiago de los Caballeros Loop,409315295763.0,348,East Kasai,380,"Congo, The Democratic Republic of the"
,58327.0,Città del Vaticano,41,18 Duisburg Boulevard,998009777982.0,121,,30,Holy See (Vatican City State)
,41775.0,Ozamis,75,1351 Aparecida de Goiânia Parkway,959834530529.0,391,Northern Mindanao,439,Philippines
,69973.0,Lubumbashi,25,514 Ife Way,900235712074.0,315,Shaba,392,"Congo, The Democratic Republic of the"
,44274.0,Xintai,23,415 Pune Avenue,203202500108.0,580,Shandong,570,China
,98775.0,Idfu,29,1736 Cavite Place,431770603551.0,216,Qina,237,Egypt
,64709.0,Tegal,45,935 Aden Boulevard,335052544020.0,532,Central Java,463,Indonesia
,63337.0,Udaipur,44,1877 Ezhou Lane,264541743403.0,550,Rajasthan,174,India
,49348.0,Tabora,93,605 Rio Claro Parkway,352469351088.0,513,Tabora,194,Tanzania
,10428.0,Kisumu,52,447 Surakarta Loop,940830176580.0,271,Nyanza,197,Kenya
,73942.0,Escobar,6,203 Tambaram Street,411549550611.0,161,Buenos Aires,450,Argentina
,60562.0,Dundee,102,483 Ljubertsy Parkway,581174211853.0,149,Scotland,146,United Kingdom
,73824.0,Iwatsuki,50,168 Cianjur Manor,679095087143.0,228,Saitama,401,Japan
,53928.0,Lengshuijiang,23,1762 Paarl Parkway,192459639410.0,298,Hunan,272,China
,33711.0,Amersfoort,67,992 Klerksdorp Loop,855290087237.0,23,Utrecht,420,Netherlands
,99780.0,Shikarpur,72,934 San Felipe de Puerto Plata Street,196495945706.0,472,Sind,29,Pakistan
,13203.0,Najafabad,46,1922 Miraj Way,320471479776.0,356,Esfahan,373,Iran
,70618.0,Pingxiang,23,1294 Firozabad Drive,161801569569.0,407,Ji´angxi,173,China
,43310.0,´s-Hertogenbosch,67,741 Ambattur Manor,302590383819.0,438,Noord-Brabant,188,Netherlands
,37815.0,Monclova,60,1351 Sousse Lane,203804046132.0,341,Coahuila de Zaragoza,576,Mexico
,2012.0,Salamanca,60,144 South Hill Loop,45387294817.0,445,Guanajuato,278,Mexico
,77459.0,Abha,82,733 Mandaluyong Place,196568435814.0,2,Asir,105,Saudi Arabia
,41214.0,Yingkou,23,1993 0 Loop,25865528181.0,588,Liaoning,527,China
,67521.0,Amroha,44,949 Allende Lane,122981120653.0,24,Uttar Pradesh,540,India
,47288.0,Santa Bárbara d´Oeste,15,1891 Rizhao Boulevard,391065549876.0,456,São Paulo,182,Brazil
,55709.0,Luziânia,15,1839 Székesfehérvár Parkway,947468818183.0,317,Gois,187,Brazil
,26284.0,Alvorada,15,1407 Pachuca de Soto Place,380077794770.0,21,Rio Grande do Sul,557,Brazil
,40301.0,Kabul,1,1168 Najafabad Parkway,886649065861.0,251,Kabol,222,Afghanistan
,4285.0,Qalyub,29,765 Southampton Drive,23712411567.0,421,al-Qalyubiya,138,Egypt
,93896.0,Kragujevac,108,900 Santiago de Compostela Parkway,716571220373.0,280,Central Serbia,11,Yugoslavia
,46875.0,Laohekou,23,1557 Cape Coral Parkway,368284120423.0,293,Hubei,427,China
,9223.0,Araçatuba,15,1692 Ede Loop,918711376618.0,30,São Paulo,81,Brazil
,11363.0,Šostka,100,421 Yaoundé Street,726875628268.0,385,Sumy,480,Ukraine
,68146.0,Monywa,64,51 Laredo Avenue,884536620568.0,342,Sagaing,261,Myanmar
,10714.0,Bucuresti,78,1342 Abha Boulevard,997453607116.0,95,Bukarest,569,Romania
,8862.0,Compton,103,533 al-Ayn Boulevard,662227486184.0,126,California,186,United States
,34750.0,Fengshan,92,1568 Celaya Parkway,278669994384.0,168,Kaohsiung,582,Taiwan
,45428.0,Vaduz,55,943 Tokat Street,889318963672.0,560,Vaduz,61,Liechtenstein
,61391.0,Donostia-San Sebastián,87,44 Najafabad Way,96604821070.0,146,Baskimaa,298,Spain
,29932.0,Sincelejo,24,1740 Portoviejo Avenue,198123170793.0,480,Sucre,91,Colombia
,10800.0,Nuuk,40,850 Salala Loop,403404780639.0,371,Kitaa,211,Greenland
,20336.0,Gatineau,20,1153 Allende Way,856872225376.0,179,Québec,481,Canada
,11839.0,Yinchuan,23,1297 Alvorada Parkway,508348602835.0,587,Ningxia,489,China
,7431.0,Satna,44,45 Aparecida de Goiânia Place,650496654258.0,464,Madhya Pradesh,361,India
,75149.0,Nezahualcóyotl,60,1107 Nakhon Sawan Avenue,867546627903.0,365,Mxico,119,Mexico
,65213.0,Jhansi,44,176 Mandaluyong Place,627705991774.0,239,Uttar Pradesh,36,India
,,Lethbridge,20,23 Workhaven Lane,14033335568.0,300,Alberta,3,Canada
,30065.0,Tuguegarao,75,862 Xintai Lane,265153400632.0,548,Cagayan Valley,266,Philippines
,47394.0,Shanwei,23,1269 Botosani Manor,736517327853.0,468,Guangdong,429,China
,29610.0,Osmaniye,97,270 Amroha Parkway,695479687538.0,384,Osmaniye,17,Turkey
,73170.0,San Felipe del Progreso,60,1145 Vilnius Manor,674805712553.0,451,Mxico,324,Mexico
,89420.0,El Monte,103,1866 al-Qatif Avenue,546793516940.0,155,California,425,United States
,32474.0,Miyakonojo,50,752 Ondo Loop,134673576619.0,338,Miyazaki,258,Japan
,93655.0,Sokoto,69,1342 Sharja Way,946114054231.0,488,Sokoto & Kebbi & Zam,568,Nigeria
,61507.0,Brest,34,1346 Mysore Drive,516647474029.0,92,Bretagne,407,France
,35109.0,Kirovo-Tšepetsk,80,1089 Iwatsuki Avenue,866092335135.0,270,Kirov,183,Russian Federation
,98030.0,Baiyin,23,362 Rajkot Lane,962020153680.0,47,Gansu,500,China
,25053.0,Bellevue,103,660 Jedda Boulevard,168758068397.0,65,Washington,216,United States
,60079.0,San Lorenzo,73,1628 Nagareyama Lane,20064292617.0,453,Central,350,Paraguay
,4854.0,Allappuzha (Alleppey),44,431 Xi´angtan Avenue,230250973122.0,18,Kerala,179,India
,11763.0,Kumbakonam,44,1675 Xi´angfan Manor,271149517630.0,283,Tamil Nadu,276,India
,77464.0,Garland,103,1894 Boa Vista Way,239357986667.0,178,Texas,567,United States
,45750.0,Okinawa,50,1565 Tangail Manor,634445428822.0,377,Okinawa,370,Japan
,28165.0,Gaziantep,97,984 Novotšerkassk Loop,435118527255.0,180,Gaziantep,485,Turkey
,87212.0,Tsuyama,50,1404 Taguig Drive,572068624538.0,547,Okayama,434,Japan
,15414.0,Konotop,100,182 Nuku´alofa Drive,426346224043.0,275,Sumy,551,Ukraine
,27107.0,Tieli,23,1325 Fukuyama Street,288241215394.0,537,Heilongjiang,605,China
,29810.0,Nakhon Sawan,94,1337 Mit Ghamr Avenue,175283210378.0,358,Nakhon Sawan,395,Thailand
,4662.0,Witten,38,68 Molodetšno Manor,146640639760.0,575,Nordrhein-Westfalen,205,Germany
,74428.0,Jedda,82,725 Isesaki Place,876295323994.0,237,Mekka,53,Saudi Arabia
,77642.0,Santiago de Compostela,87,1764 Jalib al-Shuyukh Parkway,84794532510.0,459,Galicia,555,Spain
,50805.0,Baybay,75,492 Cam Ranh Street,565018274456.0,61,Eastern Visayas,75,Philippines
,60304.0,Boksburg,85,569 Baicheng Lane,490211944645.0,85,Gauteng,129,South Africa
,12905.0,Rajkot,44,1447 Imus Place,62127829280.0,426,Gujarat,560,India
,89668.0,Skikda,2,757 Rustenburg Avenue,506134035434.0,483,Skikda,180,Algeria
,54674.0,Eskisehir,97,1269 Ipoh Avenue,402630109080.0,163,Eskisehir,512,Turkey
,32114.0,Hino,50,345 Oshawa Boulevard,104491201771.0,204,Tokyo-to,198,Japan
,3305.0,Ilorin,69,1177 Jelets Way,484292626944.0,220,Kwara & Kogi,107,Nigeria
,59025.0,Béchar,2,1031 Daugavpils Parkway,107137400143.0,63,Béchar,73,Algeria
,58979.0,Tiefa,23,1908 Gaziantep Place,108053751300.0,536,Liaoning,307,China
,61195.0,Roanoke,103,1936 Cumaná Avenue,976798660411.0,433,Virginia,296,United States
,82639.0,Águas Lindas de Goiás,15,758 Junan Lane,935448624185.0,190,Gois,134,Brazil
,72771.0,Probolinggo,45,154 Oshawa Manor,440365973660.0,415,East Java,377,Indonesia
,71583.0,Boa Vista,15,1293 Nam Dinh Way,697656479977.0,84,Roraima,347,Brazil
,3.0,Dhule (Dhulia),44,495 Bhimavaram Lane,82088937724.0,144,Maharashtra,445,India
,77777.0,Laiwu,23,1560 Jelets Boulevard,189446090264.0,291,Shandong,155,China
,40509.0,Hoshiarpur,44,791 Salinas Street,129953030512.0,208,Punjab,417,India
,77397.0,Leshan,23,1052 Pathankot Avenue,128499386727.0,299,Sichuan,575,China
,94065.0,Kurashiki,50,61 Tama Street,708403338270.0,284,Okayama,38,Japan
,42123.0,Emmen,67,1854 Okara Boulevard,131912793873.0,158,Drenthe,479,Netherlands
,27722.0,Lapu-Lapu,75,582 Papeete Loop,569868543137.0,294,Central Visayas,248,Philippines
,76990.0,Yuncheng,23,798 Cianjur Avenue,499408708580.0,590,Shanxi,158,China
,5379.0,Oshawa,20,891 Novi Sad Manor,247646995453.0,383,Ontario,193,Canada
,79388.0,Alessandria,49,127 Purnea (Purnia) Manor,911872220378.0,17,Piemonte,37,Italy
,40070.0,Oulu,33,898 Jining Lane,161643343536.0,387,Pohjois-Pohjanmaa,303,Finland
,75090.0,Salinas,103,920 Kumbakonam Loop,685010736240.0,446,California,274,United States
,20536.0,Olomouc,26,682 Halisahar Place,475553436330.0,378,Severn Morava,270,Czech Republic
,90797.0,Ueda,50,496 Celaya Drive,759586584889.0,552,Nagano,508,Japan
,52368.0,Onomichi,50,124 al-Manama Way,647899404952.0,382,Hiroshima,342,Japan
,14684.0,Székesfehérvár,43,42 Fontana Avenue,437829801725.0,512,Fejr,598,Hungary
,36061.0,Jakarta,45,456 Escobar Way,719202533520.0,232,Jakarta Raya,157,Indonesia
,22870.0,Pathankot,44,1697 Tanauan Lane,4764773857.0,399,Punjab,99,India
,13629.0,Ruse,17,191 José Azueta Parkway,932156667696.0,436,Ruse,546,Bulgaria
,20936.0,Ife,69,1888 Kabul Drive,701457319790.0,217,Oyo & Osun,84,Nigeria
,55676.0,São Bernardo do Campo,15,1715 Okayama Street,169352919175.0,485,São Paulo,550,Brazil
,22853.0,Le Mans,34,1740 Le Mans Loop,168476538960.0,297,Pays de la Loire,166,France
,31483.0,Paarl,85,1443 Mardan Street,231383037471.0,392,Western Cape,343,South Africa
,48980.0,Iwakuni,50,1964 Allappuzha (Alleppey) Street,920811325222.0,227,Yamaguchi,58,Japan
,28349.0,Qinhuangdao,23,1246 Boksburg Parkway,890283544295.0,422,Hebei,246,China
,99124.0,Stara Zagora,17,1229 Valencia Parkway,352679173732.0,498,Haskovo,219,Bulgaria
,16744.0,Yerevan,7,42 Brindisi Place,42384721397.0,586,Yerevan,45,Armenia
,14073.0,Tama,50,102 Chapra Drive,776031833752.0,521,Ibaragi,390,Japan
,49812.0,Sumqayit,10,503 Sogamoso Loop,834626715837.0,505,Sumqayit,339,Azerbaijan
,88002.0,Bradford,102,1557 Kütahya Boulevard,720998247660.0,88,England,89,United Kingdom
,20207.0,Rio Claro,15,1206 Dos Quebradas Place,241832790687.0,431,São Paulo,78,Brazil
,841.0,Tarlac,75,947 Tórshavn Place,50898428626.0,528,Central Luzon,554,Philippines
,9827.0,Rustenburg,85,1639 Saarbrücken Drive,328494873422.0,437,North West,412,South Africa
,70809.0,Cianjur,45,1445 Carmen Parkway,598912394463.0,117,West Java,416,Indonesia
,18841.0,Imus,75,953 Hodeida Street,53912826864.0,221,Southern Tagalog,354,Philippines
,53561.0,Myingyan,64,1566 Inegöl Manor,705814003527.0,349,Mandalay,8,Myanmar
,2299.0,Sunnyvale,103,226 Brest Manor,785881412500.0,508,California,218,United States
,21872.0,Sirjan,46,956 Nam Dinh Manor,474047727727.0,481,Kerman,454,Iran
,14408.0,Shimoga,44,1964 Gijón Manor,918119601885.0,473,Karnataka,242,India
,37359.0,Antofagasta,22,1718 Valencia Street,675292816413.0,27,Antofagasta,49,Chile
,91299.0,Almirante Brown,6,1623 Kingstown Drive,296394569728.0,20,Buenos Aires,364,Argentina
,2800.0,Vitória de Santo Antão,15,1133 Rizhao Avenue,600264533987.0,572,Pernambuco,379,Brazil
,52671.0,Nabereznyje Tšelny,80,207 Cuernavaca Loop,782900030287.0,352,Tatarstan,452,Russian Federation
,52625.0,Batna,2,1924 Shimonoseki Drive,406784385440.0,59,Batna,446,Algeria
,85769.0,Hohhot,23,1587 Sullana Lane,468060467018.0,207,Inner Mongolia,142,China
,25972.0,Purwakarta,45,1003 Qinhuangdao Street,35533115997.0,419,West Java,530,Indonesia
,69953.0,Baicheng,23,183 Haiphong Street,488600270038.0,46,Jilin,544,China
,20777.0,Hagonoy,75,127 Iwakuni Boulevard,987442542471.0,192,Central Luzon,260,Philippines
,46069.0,Nuku´alofa,95,1516 Escobar Drive,64536069371.0,370,Tongatapu,349,Tonga
,96065.0,Shubra al-Khayma,29,1987 Coacalco de Berriozábal Loop,787654415858.0,476,al-Qalyubiya,123,Egypt
,9599.0,Merlo,6,1532 Dzerzinsk Way,330838016880.0,334,Buenos Aires,111,Argentina
,71182.0,Coatzacoalcos,60,1785 São Bernardo do Campo Street,684529463244.0,125,Veracruz,487,Mexico
,30418.0,Klerksdorp,85,682 Junan Way,622255216127.0,273,North West,113,South Africa
,92265.0,al-Ayn,101,669 Firozabad Loop,412903167998.0,12,Abu Dhabi,102,United Arab Emirates
,1195.0,Dhaka,12,1838 Tabriz Lane,38988715447.0,143,Dhaka,337,Bangladesh
,99405.0,Aden,107,751 Lima Loop,756460337785.0,7,Aden,214,Yemen
,53829.0,Carmen,60,1819 Alessandria Loop,377633994405.0,103,Campeche,584,Mexico
,95093.0,Zhezqazghan,51,521 San Juan Bautista Tuxtepec Place,844018348565.0,598,Qaraghandy,579,Kazakstan
,6802.0,Graz,9,1010 Klerksdorp Way,493008546874.0,186,Steiermark,177,Austria
,58194.0,Ipoh,59,316 Uruapan Street,275788967899.0,223,Perak,175,Malaysia
,,Woodridge,8,1411 Lillydale Drive,6172235589.0,576,QLD,4,Australia
,51990.0,Mandaluyong,75,1831 Nam Dinh Loop,322888976727.0,323,National Capital Reg,268,Philippines
,59489.0,San Felipe de Puerto Plata,27,437 Chungho Drive,491271355190.0,450,Puerto Plata,423,Dominican Republic
,97056.0,Bratislava,84,482 Kowloon and New Kowloon Manor,738968474939.0,90,Bratislava,362,Slovakia
,83980.0,Basel,91,915 Ponce Place,1395251317.0,56,Basel-Stadt,65,Switzerland
,2834.0,Uluberia,44,1704 Tambaram Manor,39463554936.0,554,West Bengali,451,India
,94018.0,Dadu,72,966 Arecibo Loop,15273765306.0,134,Sind,421,Pakistan
,95509.0,Huai´an,23,500 Lincoln Parkway,550306965159.0,210,Ji´angsu,389,China
,40195.0,Avellaneda,6,1229 Varanasi (Benares) Manor,817740355461.0,43,Buenos Aires,566,Argentina
,36490.0,Mannheim,38,1074 Binzhou Manor,331132568928.0,325,Baden-Wrttemberg,200,Germany
,4166.0,A Coruña (La Coruña),87,939 Probolinggo Loop,680428310138.0,1,Galicia,56,Spain
,26385.0,Kurgan,80,1618 Olomouc Manor,96846695220.0,285,Kurgan,381,Russian Federation
,11067.0,Dallas,103,530 Lausanne Lane,775235029633.0,135,Texas,405,United States
,89294.0,Bhavnagar,44,97 Mogiljov Lane,924815207181.0,73,Gujarat,384,India
,49833.0,Kingstown,81,1016 Iwakuni Street,961370847344.0,269,St George,331,Saint Vincent and the Grenadines
,46400.0,Okayama,50,591 Sungai Petani Drive,37247325001.0,376,Okayama,494,Japan
,29763.0,Tórshavn,32,1359 Zhoushan Parkway,46568045367.0,545,Streymoyar,322,Faroe Islands
,3313.0,Tarsus,97,842 Salzburg Lane,697151428760.0,529,Adana,168,Turkey
,8073.0,Ashgabat,98,387 Mwene-Ditu Drive,764477681869.0,35,Ahal,204,Turkmenistan
,55802.0,Ogbomosho,69,556 Baybay Manor,363982224739.0,374,Oyo & Osun,282,Nigeria
,39976.0,Zhoushan,23,346 Cam Ranh Avenue,978430786151.0,599,Zhejiang,556,China
,73085.0,Ashqelon,48,632 Usolje-Sibirskoje Parkway,667648979883.0,36,Ha Darom,483,Israel
,10417.0,Bagé,15,1190 0 Place,841876514789.0,44,Rio Grande do Sul,403,Brazil
,55561.0,Jaipur,44,81 Hodeida Way,250767749542.0,231,Rajasthan,64,India
,18743.0,Laredo,103,1795 Santiago de Compostela Way,860452626434.0,295,Texas,10,United States
,81511.0,Ljubertsy,80,1623 Bahía Blanca Manor,149981248346.0,310,Moskova,164,Russian Federation
,78311.0,Ivanovo,80,1867 San Juan Bautista Tuxtepec Avenue,547003310357.0,225,Ivanovo,110,Russian Federation
,94352.0,Mysore,44,1213 Ranchi Parkway,800024380485.0,350,Karnataka,63,India
,23616.0,Moscow,80,46 Pjatigorsk Lane,262076994845.0,343,Moscow (City),50,Russian Federation
,58888.0,Berhampore (Baharampur),44,126 Acuña Parkway,480039662421.0,71,West Bengali,418,India
,33224.0,Serpuhov,80,1407 Surakarta Manor,324346485054.0,466,Moskova,573,Russian Federation
,64344.0,Asunción,73,201 Effon-Alaiye Way,684192903087.0,37,Asunción,230,Paraguay
,23343.0,Qomsheh,46,76 Kermanshah Manor,762361821578.0,423,Esfahan,464,Iran
,23661.0,Pjatigorsk,80,185 Mannheim Lane,589377568313.0,408,Stavropol,492,Russian Federation
,79940.0,Valparai,44,990 Etawah Loop,206169448769.0,564,Tamil Nadu,408,India
,91400.0,Ezhou,23,1774 Yaoundé Place,613124286867.0,166,Hubei,318,China
,84931.0,Songkhla,94,870 Ashqelon Loop,135117278909.0,489,Songkhla,90,Thailand
,24321.0,Duisburg,38,442 Rae Bareli Place,886636413768.0,148,Nordrhein-Westfalen,118,Germany
,35156.0,Zaoyang,23,1778 Gijón Manor,288910576761.0,594,Hubei,520,China
,10447.0,Gingoog,75,118 Jaffna Loop,325526730021.0,182,Northern Mindanao,466,Philippines
,65750.0,Shimonoseki,50,786 Aurora Avenue,18461860151.0,474,Yamaguchi,33,Japan
,54949.0,Cuautla,60,479 San Felipe del Progreso Avenue,869051782691.0,130,Morelos,328,Mexico
,53182.0,Bislig,75,152 Kitwe Parkway,835433605312.0,82,Caraga,98,Philippines
,72878.0,Bhopal,44,419 Iligan Lane,990911107354.0,76,Madhya Pradesh,19,India
,83183.0,Rockford,103,1485 Bratislava Place,924663855568.0,435,Illinois,462,United States
,55405.0,Kitwe,109,1836 Korla Parkway,689681677428.0,272,Copperbelt,443,Zambia
,97287.0,Jelets,80,1913 Kamakura Place,942570536750.0,238,Lipetsk,104,Russian Federation
,19428.0,Higashiosaka,50,446 Kirovo-Tšepetsk Lane,303967439816.0,203,Osaka,269,Japan
,87057.0,Lancaster,103,793 Cam Ranh Avenue,824370924746.0,292,California,116,United States
,88408.0,Kuwana,50,958 Sagamihara Lane,427274926505.0,287,Mie,537,Japan
