prospect_AgeID,prospect_Em,prospect_CrRat,prospect_PoCo,prospect_FirN,prospect_AdLi2,prospect_In,prospect_NumC,prospect_NuChil,prospect_MarSta,prospect_Ag,prospect_OwOReF,prospect_NumCrCar,prospect_NWor
O'L54,AptarGroup,539.0,t5d 1v4,Dorotea,,426954.0,0.0,3.0,S,89.0,U,9.0,2636424.0
and55,Coca-Cola,497.0,V6t 1r2,Denice,,126891.0,5.0,4.0,M,99.0,O,0.0,1326305.0
sta56,Kimberly-Clark,661.0,91177,Myron,,454196.0,4.0,2.0,M,77.0,O,,2241997.0
CHA57,Visteon,558.0,T5c 1t1,Barby,Apt. 275,163940.0,5.0,3.0,S,,R,0.0,1542891.0
ASI58,TECO Energy,534.0,35862,Ariella,,365213.0,,1.0,W,90.0,O,,797918.0
ask59,Bemis,373.0,96820,ADEY,,428739.0,0.0,0.0,M,82.0,U,6.0,347654.0
Kik60,Wyeth,382.0,75238,GAYEL,,142444.0,4.0,0.0,M,,O,8.0,2456397.0
Cha61,United Technologies,475.0,85769,Man,,416168.0,3.0,3.0,S,15.0,O,10.0,1284229.0
KIL62,Clorox,539.0,H5i 1o9,Klara,,291420.0,2.0,0.0,D,,O,3.0,618787.0
kin63,Discovery Communications,711.0,90849,Abdalla,,413501.0,4.0,5.0,M,96.0,O,6.0,1171606.0
MAL64,Williams-Sonoma,606.0,43644,bal,,,4.0,,M,38.0,O,1.0,3983261.0
Odu65,Manitowoc,494.0,99213,Romy,,419143.0,3.0,3.0,W,10.0,O,0.0,2328568.0
DI 66,Henry Schein,309.0,72226,KORAL,,155057.0,1.0,5.0,M,72.0,O,3.0,2078600.0
STU67,Trinity Industries,630.0,V6Z 1Q9,YUKIHIKO,,313859.0,2.0,5.0,M,97.0,O,3.0,2986155.0
HAM68,Pepsi Bottling,330.0,20082,Khanh,,265907.0,4.0,1.0,S,48.0,O,10.0,1864039.0
LIB69,UGI,710.0,35827,Darnell,,283481.0,,0.0,S,97.0,O,9.0,1293721.0
ohs70,Greif,475.0,99692,feridoun,,200635.0,4.0,0.0,M,73.0,R,7.0,3850114.0
HUM71,Equifax,596.0,V6c 1q5,Magdy,APT. 143,434519.0,0.0,1.0,U,71.0,O,3.0,1618743.0
BRA72,,670.0,80158,jiri,,392315.0,5.0,1.0,W,93.0,O,9.0,3383487.0
Boa73,Freescale Semiconductor,722.0,t6d 1b6,AILA,,493829.0,5.0,3.0,U,53.0,O,,2981876.0
Mcn74,Aleris International,587.0,33120,Vincenzo,,97489.0,3.0,2.0,U,32.0,O,7.0,2109339.0
MAR75,,609.0,99742,Minnnie,,,4.0,3.0,S,1.0,O,4.0,791803.0
Wil76,World Fuel Services,401.0,V6N 1T1,alfonzo,,383046.0,0.0,1.0,S,39.0,O,7.0,3523678.0
Dea77,R.R. Donnelley & Sons,335.0,44104,Swandi,,1190.0,4.0,0.0,M,77.0,,0.0,1681902.0
Hou78,Brinker International,569.0,14605,Anya,,85733.0,5.0,5.0,U,18.0,O,7.0,3851455.0
Goy79,Temple-Inland,,80076,Enrika,,387890.0,0.0,2.0,M,70.0,R,9.0,2339382.0
Mok80,Psychiatric Solutions,679.0,V6I 1V6,SONJA,,16808.0,2.0,0.0,S,26.0,O,7.0,
Run81,Nash-Finch,356.0,97307,Liem,,304589.0,,4.0,M,,,10.0,2065016.0
BEL82,AMR,308.0,46237,COLLETTE,,48506.0,2.0,5.0,S,58.0,R,9.0,2454049.0
BAE83,Spartan Stores,412.0,V6B 1S6,SIAMACK,,,0.0,4.0,M,43.0,O,4.0,2423395.0
MAU84,Cigna,618.0,H2d 1x1,Toshihiro,,358862.0,2.0,3.0,D,65.0,O,4.0,1342045.0
Koo85,General Cable,429.0,95108,Casey,,477614.0,5.0,3.0,S,24.0,O,5.0,861756.0
Lau86,Dun & Bradstreet,819.0,80050,Daryn,,175414.0,3.0,1.0,S,79.0,O,3.0,1215349.0
Man87,Casey's General Stores,552.0,90122,Adrianna,,427598.0,0.0,1.0,M,48.0,O,7.0,3981554.0
PIE88,Jack in the Box,587.0,43614,Cortney,,368207.0,0.0,4.0,S,69.0,O,9.0,3865937.0
Bus89,Assurant,304.0,61110,Duane,,449944.0,3.0,1.0,S,91.0,O,6.0,2804700.0
BAB90,Psychiatric Solutions,795.0,70174,Tele,,166247.0,5.0,5.0,,75.0,U,4.0,3283558.0
Bur91,Danaher,830.0,90324,Ophelia,APT. 373,391165.0,1.0,3.0,S,85.0,O,2.0,450524.0
Kin92,Clorox,709.0,s7d 1n1,lorine,,165854.0,5.0,3.0,M,76.0,R,3.0,
POM93,Boyd Gaming,493.0,93829,Viole,,326181.0,2.0,1.0,S,68.0,O,8.0,
BOA94,Eaton,680.0,89116,Nani,,173387.0,3.0,,M,95.0,O,,633760.0
Ron95,Dynegy,800.0,94315,cherey,,301127.0,1.0,5.0,M,15.0,R,,3634954.0
wei96,AmeriCredit,614.0,T5b 1u9,Redgie,,487230.0,1.0,5.0,M,17.0,R,4.0,799268.0
Hel97,SLM,763.0,T6b 1a5,Yousef,,425747.0,4.0,0.0,,94.0,R,6.0,39093.0
mog98,NV Energy,561.0,60699,Damaris,,401946.0,4.0,4.0,S,70.0,O,3.0,2705353.0
boz99,Landstar System,569.0,V6p 1s8,Ilyssa,,425422.0,1.0,2.0,S,29.0,O,4.0,3565153.0
Zah100,Pacific Life,634.0,v6i 1p1,Moselle,,208890.0,4.0,1.0,M,52.0,O,5.0,2832204.0
And101,Textron,488.0,79423,Dulsea,,67880.0,5.0,3.0,U,51.0,O,10.0,2194345.0
Bam102,Pfizer,788.0,H5j 1o6,Lyndsie,,133412.0,2.0,3.0,W,24.0,O,5.0,3737140.0
fro103,Cigna,333.0,93761,KESLEY,,144829.0,3.0,4.0,D,98.0,O,8.0,464753.0
Car104,Ameren,601.0,76150,LAUREL,,,1.0,1.0,M,59.0,U,,596696.0
muc105,Consolidated Edison,595.0,99717,Steen,,143682.0,3.0,4.0,U,49.0,O,2.0,1504753.0
gat106,Occidental Petroleum,433.0,60608,noel,,350020.0,0.0,1.0,U,1.0,O,10.0,3049281.0
Sch107,Sherwin-Williams,403.0,v6w 1u4,Tracey,,435103.0,0.0,,U,79.0,O,10.0,247478.0
pom108,Affiliated Computer Services,615.0,T5b 1t6,Sarajane,,207768.0,1.0,5.0,,6.0,R,3.0,2750301.0
cuc109,Valassis Communications,735.0,23298,Geoffrey,,407512.0,0.0,4.0,M,70.0,O,1.0,721333.0
SUG110,,668.0,32803,loralyn,,403366.0,3.0,0.0,S,23.0,O,1.0,669440.0
Pep111,Smithfield Foods,349.0,64122,andrei,,384095.0,3.0,5.0,M,78.0,O,,2473979.0
Cha112,,654.0,T6b 1h2,javad,SUITE 7,288969.0,4.0,,S,79.0,,,3545170.0
SEI113,TD Ameritrade,361.0,22222,Karna,Apt. 971,233665.0,2.0,3.0,U,72.0,O,6.0,1494871.0
GAR114,Comerica,427.0,T6a 1d2,Jocelyn,,147236.0,4.0,0.0,S,31.0,U,1.0,436164.0
Tou115,Steel Dynamics,322.0,v5d 1n9,Elvera,,452557.0,0.0,3.0,W,86.0,O,1.0,1069481.0
Kur116,Coca-Cola Enterprises,792.0,23321,Nessy,,179305.0,2.0,0.0,S,,R,9.0,
Her117,News Corp.,478.0,90505,lona,,205817.0,3.0,0.0,U,87.0,O,2.0,2957261.0
MCV118,,477.0,19066,RHEA,,262711.0,,5.0,M,92.0,O,1.0,228459.0
LAB119,Stater Bros. Holdings,449.0,v6s 1r3,Josefa,,84810.0,1.0,5.0,M,4.0,O,6.0,67267.0
but120,BorgWarner,466.0,78769,alikee,,96441.0,2.0,4.0,U,8.0,O,2.0,1087978.0
Pro121,CB Richard Ellis Group,483.0,53769,dolorita,,462762.0,0.0,5.0,M,97.0,O,2.0,3885967.0
Irc122,Zimmer Holdings,588.0,H7E 1U6,Marilyn,,141890.0,5.0,4.0,D,,O,4.0,3271101.0
Ziv123,Mohawk Industries,313.0,e7o 1k1,robertson,,156610.0,5.0,5.0,,40.0,O,2.0,
sim124,Berkshire Hathaway,647.0,90374,Ilsa,,164752.0,1.0,4.0,U,95.0,R,1.0,1999133.0
kei125,Saks,430.0,63169,Pen,,278949.0,1.0,5.0,S,92.0,O,2.0,1100786.0
arv126,Gardner Denver,467.0,16515,AUBRETTE,,,0.0,5.0,W,67.0,O,8.0,563992.0
Pra127,Hasbro,399.0,85309,Cole,,463736.0,3.0,2.0,M,24.0,O,7.0,962397.0
lue128,CBS,654.0,92158,liva,,,2.0,3.0,M,26.0,O,5.0,1064169.0
Prz129,Synnex,378.0,33152,Ayaz,,86667.0,2.0,0.0,S,62.0,O,3.0,2100059.0
pen130,Belden,338.0,83729,YETTY,,193470.0,5.0,1.0,W,37.0,O,10.0,99025.0
Gua131,Broadcom,695.0,B8b 1z6,Mary-michelle,,406379.0,5.0,0.0,S,71.0,R,10.0,3865481.0
bre132,Reynolds American,614.0,53717,agretha,,480595.0,1.0,3.0,M,29.0,U,7.0,804544.0
Sav133,Wells Fargo,307.0,t5c 1w7,LOTTY,,181718.0,4.0,5.0,S,89.0,O,7.0,3143356.0
ABB134,Retail Ventures,331.0,37245,Kassey,,468310.0,0.0,3.0,M,11.0,O,2.0,
OP135,AT&T,638.0,94401,Adria,,354987.0,2.0,0.0,S,20.0,O,2.0,2311953.0
Mer136,Wynn Resorts,703.0,B8a 1y3,audivox,,284539.0,3.0,5.0,W,75.0,O,3.0,3120608.0
rut137,Eastman Kodak,302.0,t6b 1k2,SUE,,213725.0,0.0,5.0,S,95.0,O,7.0,2058270.0
bem138,Aramark,522.0,85306,Lorenza,,74195.0,2.0,3.0,U,0.0,O,,1511983.0
Pen139,ENSCO International,,V6R 1R7,Enzo,,169295.0,5.0,1.0,M,73.0,O,,439080.0
tor140,Auto-Owners Insurance,833.0,68513,claudina,,307832.0,1.0,0.0,W,39.0,R,5.0,921255.0
law141,Bemis,,v6n 1v9,Otha,,20397.0,1.0,1.0,U,76.0,O,2.0,3810365.0
Bee142,Securian Financial Group,664.0,83702,Rodie,Suite 397,463094.0,2.0,2.0,U,5.0,O,6.0,2641938.0
sch143,Ford Motor,789.0,80125,DULCE,,331900.0,4.0,1.0,U,65.0,O,7.0,3857323.0
Wit144,ConAgra Foods,803.0,M5G 1Y7,Win,,8421.0,5.0,0.0,S,94.0,U,0.0,1636212.0
MER145,Charter Communications,720.0,80213,Roselin,,35780.0,4.0,4.0,M,95.0,,3.0,2999082.0
bia146,Calpine,839.0,60737,Malanie,,139897.0,1.0,0.0,M,28.0,R,4.0,2280820.0
Swi147,Crane,621.0,90510,TARYN,SUITE 464,414119.0,4.0,1.0,D,76.0,O,0.0,1050866.0
bul148,Textron,628.0,92882,MALENA,,234035.0,5.0,4.0,D,81.0,O,3.0,
TYR149,Idearc,813.0,98121,Dorie,,144405.0,3.0,5.0,W,38.0,O,6.0,603001.0
Fyf150,Cabela's,367.0,H2e 1x9,Liese,,55441.0,5.0,3.0,W,25.0,R,3.0,3368239.0
Sic151,EOG Resources,807.0,23503,tele,,392869.0,4.0,2.0,D,0.0,O,10.0,1042629.0
CAS152,,501.0,40208,astra,,402416.0,3.0,4.0,U,61.0,O,8.0,1948746.0
Cho153,Burlington Coat Factory,490.0,75201,marnia,,89984.0,0.0,2.0,U,3.0,O,10.0,3113862.0
CHA154,Southwest Airlines,321.0,93852,AMY,,395773.0,2.0,3.0,W,77.0,O,3.0,2777290.0
bei155,RPM International,,32312,HAMILTON,,126662.0,1.0,0.0,U,8.0,R,6.0,2210073.0
Ele156,Amazon.com,446.0,90059,Kuldip,,132008.0,4.0,1.0,U,34.0,O,7.0,1999684.0
o'g157,Neiman Marcus,428.0,77006,krystalle,,417218.0,5.0,5.0,M,15.0,O,2.0,2119678.0
Kat158,Goldman Sachs Group,423.0,23224,Stella,,360063.0,0.0,0.0,S,66.0,O,5.0,169808.0
Lui159,Boeing,499.0,10055,Marie-josee,,100516.0,5.0,4.0,U,55.0,O,6.0,1072732.0
Kla160,United Refining,342.0,35830,Nashib,,16814.0,1.0,1.0,S,8.0,O,7.0,2261442.0
Bru161,D.R. Horton,632.0,v6m 1s9,Annette,,,1.0,3.0,M,7.0,U,1.0,2234368.0
Apt162,Jarden,525.0,22304,LENA,,315962.0,3.0,1.0,M,97.0,O,6.0,575288.0
sch163,Systemax,371.0,06101,Christian,,299268.0,5.0,1.0,M,95.0,R,9.0,1102479.0
Lan164,Marriott International,699.0,78756,Morrie,,301490.0,1.0,3.0,U,92.0,O,4.0,2995388.0
Fus165,Expeditors International,435.0,93003,LYMAN,,36052.0,3.0,2.0,M,17.0,O,8.0,1147193.0
Nev166,Great Plains Energy,512.0,T5D 1P2,REUBEN,,437483.0,1.0,4.0,U,81.0,U,2.0,1136540.0
SHA167,Danaher,552.0,10108,Hermon,,152971.0,5.0,,M,13.0,O,6.0,1677669.0
Sau168,,,t5c 1l3,Paqs,,449495.0,0.0,2.0,M,78.0,O,8.0,2160706.0
fri169,Watson Wyatt Worldwide,687.0,M5B 1Z8,GAETAN,,349827.0,4.0,1.0,M,78.0,O,5.0,2525665.0
fer170,Yahoo,433.0,V6H 1W2,leese,,9562.0,3.0,1.0,M,85.0,R,0.0,3517622.0
LAN171,Convergys,746.0,90308,Amelie,,24514.0,1.0,2.0,U,68.0,,7.0,
Bha172,Celanese,405.0,M5e 1y2,TAMRA,,407985.0,0.0,0.0,M,1.0,R,9.0,97675.0
Jor173,Dana Holding,805.0,80029,bang,,,5.0,5.0,M,83.0,O,,
KNU174,XTO Energy,819.0,30350,HILDEGARDE,,257897.0,4.0,4.0,M,78.0,O,5.0,3569070.0
Ham175,Alliance Data Systems,648.0,97240,Carmody,,261143.0,0.0,5.0,M,,O,0.0,1507616.0
MAU176,Franklin Resources,401.0,R3A 1M1,Dareen,,110615.0,5.0,5.0,U,5.0,R,10.0,514151.0
Rez177,Fidelity National Financial,484.0,73172,WEN,Apt. 426,407799.0,2.0,0.0,U,43.0,U,8.0,2903408.0
Koa178,FirstEnergy,463.0,V6s 1p9,MOT,,195242.0,4.0,4.0,U,53.0,O,1.0,1695814.0
HAN179,Commercial Metals,335.0,90140,leese,,315490.0,3.0,0.0,U,13.0,O,5.0,868465.0
jak180,Genzyme,,94639,nettie,,22201.0,5.0,4.0,U,7.0,O,10.0,2810709.0
ump181,US Airways Group,381.0,22307,AILEE,,441579.0,4.0,5.0,M,17.0,R,7.0,3593363.0
Wic182,Advanced Micro Devices,708.0,55116,chan,,342730.0,2.0,2.0,M,67.0,O,1.0,2607636.0
Gat183,United Parcel Service,354.0,M6s 1i5,RAY,Apt. 540,117267.0,5.0,4.0,M,54.0,R,8.0,2735642.0
bot184,Fastenal,547.0,92708,Robinette,,260107.0,1.0,4.0,S,5.0,,10.0,1501732.0
DAV185,Core-Mark Holding,761.0,V6r 1q6,Rocke,,166760.0,1.0,1.0,D,28.0,O,9.0,397072.0
HIL186,Boise,659.0,63178,Suzette,,401021.0,4.0,1.0,M,5.0,O,1.0,3399757.0
war187,DST Systems,351.0,x7j 1r5,Myla,,70945.0,4.0,2.0,M,,R,9.0,2684548.0
MAC188,United States Steel,608.0,M5e 1y7,dacia,apt. 48,389391.0,3.0,3.0,S,72.0,O,7.0,3041622.0
lev189,Pepco Holdings,706.0,23257,CHELSIE,,63226.0,4.0,2.0,S,12.0,O,3.0,3211816.0
Goo190,Acuity Brands,391.0,V6I 1U7,abbas,apt. 968,206220.0,0.0,4.0,M,71.0,O,8.0,127026.0
Koh191,Baker Hughes,461.0,94539,Rec,,,5.0,4.0,W,90.0,R,2.0,588945.0
AYL192,Newell Rubbermaid,510.0,H7h 1v4,Elaine,,337152.0,4.0,4.0,U,20.0,O,2.0,1962620.0
CHO193,Westlake Chemical,805.0,15201,Katharine,,312074.0,,2.0,W,58.0,O,5.0,178193.0
DIT194,Jones Lang LaSalle,702.0,t5a 1n6,LILIAN,,68551.0,2.0,4.0,M,57.0,O,7.0,2102811.0
EMI195,Burger King Holdings,368.0,78784,CATI,,488800.0,4.0,1.0,W,43.0,O,3.0,2246854.0
Ryd196,Hovnanian Enterprises,520.0,H6d 1w8,Luong,APT. 392,431633.0,3.0,2.0,W,39.0,R,8.0,1312448.0
mei197,Medical Mutual of Ohio,666.0,06705,JUOZAS,,72797.0,0.0,3.0,S,87.0,O,2.0,295993.0
Ceg198,Lockheed Martin,587.0,M5c 1v9,Lysy,,260576.0,0.0,1.0,S,57.0,O,9.0,1220003.0
hai199,Yum Brands,643.0,90759,ULA,,200096.0,4.0,5.0,U,58.0,O,4.0,2400476.0
cle200,Wesco International,484.0,22301,Francesca,,,,4.0,,28.0,R,5.0,2900897.0
Cie201,Volt Information Sciences,,19165,emili,,267656.0,3.0,1.0,U,95.0,R,3.0,3942140.0
Par202,Western Union,676.0,75007,yogesh,,35253.0,1.0,2.0,S,98.0,R,8.0,2118119.0
LOZ203,,300.0,90302,Xantippe,,113159.0,5.0,2.0,M,55.0,O,4.0,338540.0
Pas204,Lubrizol,,84092,TINO,APT. 630,297444.0,2.0,3.0,,14.0,R,8.0,2617116.0
Aul205,C.H. Robinson Worldwide,831.0,v6d 1u1,AGGIE,,52092.0,3.0,1.0,M,30.0,O,9.0,1459711.0
bar206,Celgene,609.0,99503,Alane,,30249.0,3.0,1.0,M,90.0,O,7.0,1804959.0
ELL207,Leggett & Platt,679.0,80960,ABBYE,,483052.0,2.0,0.0,S,69.0,O,2.0,2957472.0
for208,Fidelity National Information,634.0,53743,aleen,suite 344,287060.0,4.0,0.0,U,67.0,O,6.0,2919293.0
Bur209,Arch Coal,338.0,t6d 1k1,collen,,274154.0,1.0,1.0,W,41.0,O,4.0,3610130.0
FOL210,Affinia Group Intermediate,332.0,91350,NEALA,,379659.0,5.0,5.0,M,2.0,O,4.0,1209441.0
Led211,Kellogg,721.0,37916,CELISSE,,,0.0,0.0,M,89.0,O,8.0,1058712.0
kop212,PerkinElmer,351.0,22329,MEHMET,,100796.0,4.0,1.0,,88.0,O,3.0,1946028.0
pay213,Limited Brands,564.0,M1i 1r8,Carlis,,128277.0,1.0,1.0,M,90.0,O,6.0,1420984.0
PAL214,OfficeMax,379.0,h5i 1p1,marshal,,147414.0,1.0,3.0,M,54.0,O,9.0,213235.0
fel215,J.B. Hunt Transport Services,727.0,M1I 1R5,Fabien,,51559.0,1.0,2.0,S,53.0,O,8.0,472425.0
ATW216,American Express,578.0,53739,basia,,355622.0,2.0,3.0,U,89.0,O,2.0,1160132.0
Mcb217,Occidental Petroleum,642.0,06603,FARID,,468116.0,5.0,1.0,W,31.0,O,10.0,2869995.0
Jal218,Shaw Group,,28247,jyoti,apt. 3,276728.0,1.0,0.0,M,1.0,O,1.0,3727044.0
vem219,W.W. Grainger,554.0,h7g 1u9,Jandy,,135306.0,3.0,0.0,S,57.0,R,,2293241.0
BAR220,IDT,733.0,90831,VO,,99566.0,1.0,0.0,U,10.0,U,6.0,2846515.0
PES221,General Mills,345.0,M4j 1o7,Kien,,263959.0,2.0,4.0,M,74.0,O,10.0,1619956.0
Sha222,RBS Global,644.0,77288,Tybi,,441498.0,2.0,0.0,M,28.0,R,6.0,2367607.0
Sch223,Realogy,564.0,77117,Nhien,,429621.0,3.0,0.0,S,96.0,U,3.0,3795566.0
Mat224,ArvinMeritor,465.0,45263,Florance,,181214.0,1.0,3.0,M,42.0,O,10.0,734762.0
JAI225,Amkor Technology,652.0,v6g 1p4,Ros,,212502.0,,4.0,D,64.0,O,8.0,908994.0
KAR226,Lear,714.0,72247,Genevieve,,244545.0,5.0,4.0,M,,O,6.0,2561296.0
gus227,Asbury Automotive Group,383.0,E7n 1j9,EMILIO,APT. 587,218681.0,5.0,4.0,M,49.0,R,10.0,3181069.0
Ann228,Limited Brands,336.0,45272,JANEEN,,296916.0,,5.0,,81.0,O,7.0,2632226.0
lab229,Beazer Homes USA,626.0,x7j 1q2,cathrin,,453659.0,0.0,2.0,,57.0,O,9.0,
fli230,,549.0,80952,kirstin,,194450.0,3.0,0.0,S,42.0,U,0.0,1151333.0
sat231,Acuity Brands,492.0,38157,giles,,49533.0,5.0,4.0,U,30.0,O,0.0,2763939.0
tho232,ABM Industries,327.0,06703,Ted,,394819.0,2.0,4.0,M,56.0,O,0.0,370710.0
CRI233,,545.0,v6u 1r8,hayden,,342754.0,3.0,3.0,S,3.0,O,10.0,1192164.0
Gas234,Southwestern Energy,571.0,28231,Gail,,224435.0,1.0,0.0,M,53.0,O,0.0,223487.0
Cha235,Delta Air Lines,423.0,63107,las,,37717.0,0.0,2.0,W,67.0,O,7.0,2341143.0
Net236,ITT,655.0,H2g 1w7,Noelyn,,286483.0,1.0,0.0,,94.0,O,4.0,1774784.0
WOO237,Health Management Associates,488.0,55416,izak,,185412.0,0.0,5.0,M,37.0,O,0.0,3951308.0
val238,Western Union,352.0,V6d 1u5,bernita,,472518.0,4.0,,M,75.0,,6.0,2756025.0
Ber239,Family Insurance Group,810.0,93782,Karmen,,425307.0,,1.0,M,51.0,O,0.0,1833112.0
lab240,Advance Auto Parts,686.0,90252,Rio,,304909.0,2.0,2.0,D,74.0,O,8.0,698884.0
VRE241,J.P. Morgan Chase & Co.,389.0,85759,ISABELLE,,231226.0,0.0,2.0,M,100.0,R,0.0,3287261.0
GOO242,Fidelity National Financial,761.0,M5g 1x8,Micro,,219026.0,0.0,0.0,M,,U,,3337290.0
cha243,Toro,589.0,78746,maribel,,414993.0,0.0,1.0,D,28.0,O,4.0,2963197.0
