prospect_mrtlstts,prospect_mplr,prospect_g,prospect_frstnm,prospect_ct,prospect_cntr,prospect_ncm,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_wnrrntflg,prospect_ddrssln1,prospect_ntwrth,prospect_crdtrtng,prospect_pstlcd,prospect_gncd,prospect_phn,prospect_lstnm,prospect_mddlntl,prospect_nmbrcrs,prospect_nmbrchldrn,prospect_stt,prospect_gndr
M,Procter & Gamble,49.0,Pdcxrihnl,Sterling Heights,United States of America,,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,4.0,U,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,3116283.0,469.0,Ykerbceq,Lwx7526,1-089-966-6281,Lwxudfgcqawccntqaucdaeym,,0.0,2.0,Prince Edward Island,M
S,Ingles Markets,72.0,Zckhcacwaelzutaodqalxyjrkh,Pembroke Pines,United States of America,391354.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,2.0,O,vnyndcximwxhecv,2671950.0,595.0,VVMSNWEBT,epy7527,,epyxtfsrijhddstgaxkbgmlayjtk,,3.0,0.0,Quebec,
U,Forest Laboratories,41.0,sqrosgqnpifxjx,Philadelphia,United States of America,419165.0,Acdrcqabtcdgmgl,1.0,O,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,3899593.0,410.0,bibueqwbejem,Aff7528,1-231-342-6874,Affcha,M,3.0,0.0,KS,m
W,Dentsply International,54.0,Erqzkkllazeobgthnmgsbtj,Glendale,Canada,396509.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,10.0,O,,2537332.0,475.0,gehpynlk,mfc7529,,mfcestd,S,3.0,2.0,NV,
,RadioShack,11.0,Lcziayaozecoqqluasolkmmcldm,El Monte,United States of America,145161.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,2.0,R,GVSBHGBDDVJFNNOZNNPJWCOI,733236.0,,Piwlxtg,Slf7530,1-602-637-1838,Slfbmvc,S,0.0,2.0,TN,
W,Century Aluminum,0.0,Gcnczmuxviqaxtsdzmzhtro,Warwick,United States of America,263206.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,3.0,O,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,,519.0,Ujlshmosjkid,Cxu7531,1-003-982-8627,Cxuousxqyrfgjvpvuopyfguqva,,2.0,5.0,WY,
D,,27.0,Rsoobsqytvjycob,Milwaukee,United States of America,190371.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,5.0,U,BIQIOQOHLQSTBRUFOI,3397276.0,841.0,cwburwnupuj,GZO7532,1-136-358-6852,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,F,3.0,3.0,British Columbia,
U,FPL Group,95.0,Pjvadgt,Phoenix,United States of America,203968.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,6.0,O,Llfaqkbemnoy,2444257.0,540.0,CNEZMHTKIAEV,DRW7533,1-123-528-2965,DRWTVTDSG,A,3.0,1.0,LA,
U,Lockheed Martin,35.0,GUBKOKITTSKVYM,Anchorage,United States of America,428323.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,10.0,R,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,71520.0,540.0,kixvppuqtd,set7534,1-136-565-2501,setksinlvlrjwnfu,N,1.0,3.0,HI,f
M,Sanmina-SCI,96.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Madison,United States of America,159980.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,6.0,O,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1911091.0,,jrhynxfi,Pyo7535,1-317-986-1984,Pyoixliri,,4.0,1.0,NY,
W,Iron Mountain,96.0,Kuteauo,Fontana,Canada,266852.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,6.0,O,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,988775.0,424.0,dnhtjyu,FSH7536,1-265-603-1262,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,,0.0,0.0,TX,M
M,OfficeMax,49.0,Hkfofpndygljbeo,Charlotte,United States of America,206973.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,2.0,R,,3919363.0,623.0,YKOVOTYB,Tdx7537,,Tdxyljuxporjhdumcvfmv,,5.0,5.0,AZ,
S,AMR,,Kengxgsu,Richmond,Canada,258221.0,XHQNMCEJKXOQYVSZVESLKC,4.0,O,atydogjpqphuwhegtbukkqiaeakrtrn,428918.0,792.0,WNNMWJ,Sbn7538,1-156-668-6882,Sbnxcsrozzcufdoyvckpplofysx,O,5.0,1.0,ME,
S,Kohl's,27.0,Plywuoa,Santa Clarita,United States of America,428508.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,6.0,O,Hlotorcbtobuceb,58134.0,718.0,Oktkljv,Piq7539,1-164-648-3203,Piqizouhxiw,C,4.0,4.0,NH,f
M,Cigna,98.0,zfcwsxpjzyqelkxg,Yellow Knife,,,Toumjfbsumpgfuskpydjeibaxi,6.0,O,gsrdigbqfwrahybxrtm,3703767.0,401.0,,IXD7540,1-839-795-1027,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,4.0,0.0,KY,M
M,West,,Yxvczhqjwgnhowiu,Oxnard,United States of America,58953.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,2.0,R,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,433859.0,557.0,GXFLSISZUY,wsn7541,1-958-412-4252,wsnjomkxbtybfnmtcjhvmblfwamnwd,,4.0,5.0,Prince Edward Island,
W,Monsanto,56.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,Huntington Beach,United States of America,409682.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,7.0,O,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,3002044.0,393.0,gzexcrngivl,Jkp7542,1-392-335-1020,Jkpmtcj,A,5.0,5.0,British Columbia,M
M,Reliant Energy,94.0,Vfrdst,Durham,United States of America,340191.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,10.0,,,1124168.0,557.0,yzoikhwrd,CCF7543,1-912-050-7605,CCFFVCOHCLUUXZIQTCFCUHEYN,,2.0,4.0,CT,M
U,Idearc,98.0,Hqcswumjvwbemosmy,Naperville,United States of America,238216.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,5.0,O,RELJYREDKQEKGOORBLRKOUIC,2081541.0,465.0,Gdbktega,ylj7544,1-075-551-9919,yljvuglvt,,4.0,5.0,WA,
M,Neiman Marcus,8.0,Ectbhkmbvwkwdbn,Albuquerque,Canada,113171.0,hkyochorqgtokxgozmoncalaaiw,6.0,O,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1897076.0,,Kdcqzpvf,ZBB7545,1-013-611-2674,ZBBXAWVJAAL,V,0.0,1.0,ND,F
W,O'Reilly Automotive,90.0,Bdbgqpllbnrmiirpct,Newark,United States of America,234797.0,Datdnghoiymltcayulgkgxywi,10.0,,Yewxbqpnfgh,235172.0,485.0,Tbwgwtmgcu,fqe7546,1-656-865-7544,fqekemquvstw,,5.0,,ID,m
M,Cliffs Natural Resources,34.0,Ftszluaxcsoxdfbmdd,Miami,United States of America,225322.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,2.0,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,639573.0,303.0,Mwmfs,Wpw7547,1-879-870-7379,Wpwhilrlzng,,4.0,2.0,Quebec,
W,Health Management Associates,25.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,London,Canada,192689.0,,4.0,O,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,2667082.0,846.0,goelqgcts,vpz7548,1-366-625-9813,vpzxgcwljllsq,,1.0,2.0,ID,
,Chevron,50.0,Kkiolpmrgzmnjanqc,Worcester,Canada,348685.0,,1.0,O,VDBAVRMWFYBDZUILPKFXIVIYGFUU,2598634.0,621.0,ucwygjzs,Yfz7549,1-359-462-7089,Yfzmtcvxc,,5.0,4.0,AL,
D,Exide Technologies,85.0,unzegilpp,Jacksonville,United States of America,401229.0,,,O,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,1074671.0,331.0,fjlfqftwg,dou7550,,douvwdwiwrxoivzaojazinrhswjv,,3.0,4.0,UT,
M,Convergys,60.0,xetqkitwlh,Nashua,United States of America,38597.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,9.0,R,hfuyqlsmbesrylepu,2272997.0,401.0,Tocujgaiaq,FDJ7551,1-153-396-8333,FDJOVRSOCWEIKZ,,5.0,4.0,MS,M
S,Dominion Resources,95.0,TWRRGULRYKYUWZYBQQFMIFFKVK,Newport News,United States of America,,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,0.0,R,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,702000.0,644.0,kurjmmgixxfd,ufu7552,1-144-623-1308,ufutrfkevxnbupjcetrpltw,,2.0,2.0,AK,
M,Sentry Insurance Group,8.0,Yqfljvgkfucafpjpamdtcppiipc,Corona,United States of America,161204.0,NBSHKLXYVUUWXEQSGXR,5.0,R,qgjnvpwvmgsqzcanzncon,1289800.0,769.0,cnsavindoi,bbg7553,1-269-220-8046,bbgzmquoeecumw,H,4.0,1.0,VT,m
M,Cintas,31.0,mjeasoritwctufyojamzbeeoo,Lincoln,,202650.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,2.0,O,HNBGLUDIOAJRCCIXGDUQOO,1007390.0,481.0,MQBSAUVQRPYE,Znk7554,1-052-524-0130,Znkkdbkvxcxeuackyodqlkpl,v,3.0,4.0,LA,f
U,Medtronic,51.0,Udxaujgiratgthwkvdibgvwfo,Toronto,Canada,,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,7.0,O,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,124290.0,732.0,vadbnvz,CGQ7555,1-335-871-6660,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,T,1.0,2.0,CT,F
M,Pride International,24.0,GHFUKZPOKMXWZF,Fayetteville,United States of America,492433.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,2.0,O,dnlleihfh,1820002.0,802.0,Ljurvnigr,add7556,1-637-394-8083,addxtssyhezwro,,4.0,4.0,UT,
M,A. Schulman,78.0,ybtkiifyhbgchnuctnhnqspk,Charlotte,Canada,344858.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,5.0,O,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,2200347.0,329.0,BQDMQVFTNBRJ,Anw7557,1-706-795-4208,Anwyusqezrjppzkaevffwljm,J,2.0,4.0,IN,
W,Oneok,56.0,Fhkymmgjsbmpduuffgavhfcxm,Tulsa,United States of America,197290.0,nqcozjievwzk,0.0,R,Wsjaujjdexc,3669569.0,839.0,jkcul,Hvt7558,1-622-347-5699,Hvtanebvipbdd,,5.0,0.0,WI,m
U,Danaher,50.0,DEZDTMSMWKALBRPALCFIME,Winston-Salem,United States of America,283654.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,,,Ojberg,2140537.0,539.0,Nelny,Yqj7559,1-042-017-9368,Yqjaammjlhgpw,d,2.0,,WA,
M,Del Monte Foods,52.0,phoxfeiqoldgmnojmzunmargkla,Thousand Oaks,United States of America,317423.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,4.0,R,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,3258909.0,561.0,Qsggz,Ztn7560,1-829-935-5979,Ztnstwpjxatqveppicohpzilnn,,4.0,5.0,LA,F
W,American Electric Power,14.0,Upuabfflh,Lubbock,United States of America,399126.0,Lfrjkyblujmbxigmylpsxieswspmei,2.0,O,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,1825422.0,814.0,Drofa,bni7561,1-076-726-5283,bnizllrrofn,,4.0,5.0,VT,F
M,TJX,29.0,owagfolbfwjzeg,Winnipeg,United States of America,398180.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,7.0,R,Xwtkpxqgohxwxnv,1845263.0,305.0,Ssovhtmt,swx7562,,swxorhmdydwbrtdqxroghsddlpbdgi,,5.0,0.0,CT,
S,Philip Morris International,50.0,Qdmppehqxloc,Laredo,United States of America,,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,4.0,O,Qpvmtkxxfef,1463114.0,457.0,Tnprhljfrlj,DSA7563,1-284-129-5920,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,P,2.0,4.0,RI,f
U,Cincinnati Financial,67.0,jqbetxkci,Overland Park,United States of America,485429.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,8.0,O,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,2354683.0,349.0,Bkxujhonjgjk,BXZ7564,1-128-308-8886,BXZUTWBUFSGPPXKR,,4.0,1.0,SC,
M,Stryker,22.0,Wsmywgbvwspgdwhmdxsqjwqb,Calgary,United States of America,118018.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,0.0,O,KRYAIAJGKHBKXBLC,436677.0,590.0,mrjrjhgnwcdu,pcz7565,1-145-469-5971,pczqycbwefse,,2.0,0.0,British Columbia,
U,Kansas City Southern,20.0,ocgwi,Peoria,United States of America,309693.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,0.0,O,,2383335.0,533.0,Yusezkfgs,Zqa7566,1-727-684-7767,Zqaknviqngvemehvpzrcgkcvre,,5.0,4.0,CO,m
W,IDT,75.0,Pcotdnngmurhkcd,Durham,Canada,90718.0,IBQIDE,9.0,O,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,2574739.0,686.0,RKXTQAO,Htl7567,1-776-201-2472,Htltlfnvjctvvdvulpkhcbyfi,z,4.0,0.0,TN,
U,Vornado Realty Trust,60.0,bvcosqzcleknjzvkygbawlc,Pueblo,United States of America,280645.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,10.0,O,VBDCWYVK,1596838.0,582.0,UBQSATXZO,afw7568,1-767-942-1278,afwafvxxdr,L,2.0,0.0,CA,F
S,Dollar General,,ECLENELTSXGTNWOP,Las Cruces,United States of America,231559.0,Lrebujnrg,0.0,O,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,591965.0,807.0,BHRNWQLFVFA,Wna7569,1-723-062-7266,Wnakgzhqfhtavtvegjtdmdosnjr,,,4.0,WY,
S,Safeway,48.0,Xdwexmrjat,Chula Vista,United States of America,36898.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3.0,O,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,3071440.0,819.0,Ktmzav,Mlh7570,,Mlheqxaigtvjaynkffyqkpu,,3.0,5.0,SD,
M,Apache,91.0,xjwnvwdryqpcehelwzfhkkiuus,San Diego,United States of America,396786.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,5.0,R,Gwxymofcy,2683081.0,311.0,Nfpchgfj,Gor7571,1-145-314-0862,Gorjnqxjtefmomsbmtnogaerx,,2.0,0.0,British Columbia,
U,Lowe's,98.0,RNBABCYAFMQPBOHXNUXMXNU,Chicago,United States of America,344365.0,Hxutrprq,3.0,O,Qynjnmfgwxpmrw,3850483.0,734.0,Wuywecohosfi,ENX7572,1-735-104-7772,ENXOMNHFVPYQSABETPUEKRKCL,,2.0,5.0,NJ,f
W,Lithia Motors,51.0,Eyrtrqkljywvbcice,Worcester,United States of America,1205.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1.0,O,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1870617.0,432.0,tibxlojrqiha,fgr7573,,fgrdzzudzmwlluff,,4.0,1.0,AK,
S,CH2M Hill,22.0,Opybrukftspofebjmspkjsgtobzsp,Honolulu,United States of America,276666.0,JRHXPUUHAFHDPF,3.0,O,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,1249534.0,394.0,ogmes,Ysh7574,1-518-116-1411,Yshzkx,a,5.0,0.0,OH,m
