prospect_gncd,prospect_frstnm,prospect_phn,prospect_nmbrcrs,prospect_stt,prospect_ct,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Kvv7515,NDNBTVCLKSC,1-494-335-6022,0.0,VA,Thousand Oaks,3.0,U,24.0,,O,Freescale Semiconductor,10.0,3960216.0
mpz7516,Zmstbluqkipzaojfsomtbdddguq,1-814-158-3550,1.0,ID,Rochester,4.0,M,18.0,623.0,O,Superior Energy Services,5.0,242246.0
Jhc7517,dpqgvuaoijmkxsesvililpxcrwqe,1-420-580-0795,1.0,TX,Garden Grove,1.0,S,79.0,845.0,O,Monsanto,1.0,1217660.0
dbq7518,IHUGYGSRDWILVOFBAKUR,1-924-305-1666,4.0,New Brunswick,Tampa,5.0,M,36.0,645.0,U,Newfield Exploration,7.0,1229655.0
Xch7519,aefotdcronamhkzsfpvifmobgchmsp,1-450-082-2122,2.0,Alberta,Fullerton,2.0,W,21.0,495.0,O,Loews,1.0,1157831.0
oir7520,jdeyqkerjerjpht,1-573-009-1404,2.0,PA,Washington,2.0,M,4.0,371.0,O,Apache,8.0,
Fqb7521,Lwihnxoihqqrvjydsijd,1-603-897-9894,2.0,Nova Scotia,Norfolk,3.0,S,72.0,462.0,R,Robert Half International,1.0,
qex7522,nmnervucuk,1-947-161-6502,,RI,Sydney,,S,1.0,375.0,U,Viacom,7.0,3467922.0
Hpi7523,hgjkxxbf,1-586-826-9847,1.0,OR,Winnipeg,2.0,S,98.0,516.0,U,Robert Half International,10.0,46859.0
Fjd7524,Zangtryzlhmxo,1-217-243-2668,1.0,CA,Wilmington,5.0,,35.0,703.0,R,CSX,,2937668.0
Cgt7525,FFJGEQD,1-857-211-5728,4.0,MO,El Monte,2.0,W,99.0,734.0,O,Country Financial Services,7.0,2388613.0
Lwx7526,Pdcxrihnl,1-089-966-6281,0.0,Prince Edward Island,Sterling Heights,2.0,M,49.0,469.0,U,Procter & Gamble,4.0,3116283.0
epy7527,Zckhcacwaelzutaodqalxyjrkh,,3.0,Quebec,Pembroke Pines,0.0,S,72.0,595.0,O,Ingles Markets,2.0,2671950.0
Aff7528,sqrosgqnpifxjx,1-231-342-6874,3.0,KS,Philadelphia,0.0,U,41.0,410.0,O,Forest Laboratories,1.0,3899593.0
mfc7529,Erqzkkllazeobgthnmgsbtj,,3.0,NV,Glendale,2.0,W,54.0,475.0,O,Dentsply International,10.0,2537332.0
Slf7530,Lcziayaozecoqqluasolkmmcldm,1-602-637-1838,0.0,TN,El Monte,2.0,,11.0,,R,RadioShack,2.0,733236.0
Cxu7531,Gcnczmuxviqaxtsdzmzhtro,1-003-982-8627,2.0,WY,Warwick,5.0,W,0.0,519.0,O,Century Aluminum,3.0,
GZO7532,Rsoobsqytvjycob,1-136-358-6852,3.0,British Columbia,Milwaukee,3.0,D,27.0,841.0,U,,5.0,3397276.0
DRW7533,Pjvadgt,1-123-528-2965,3.0,LA,Phoenix,1.0,U,95.0,540.0,O,FPL Group,6.0,2444257.0
set7534,GUBKOKITTSKVYM,1-136-565-2501,1.0,HI,Anchorage,3.0,U,35.0,540.0,R,Lockheed Martin,10.0,71520.0
Pyo7535,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1-317-986-1984,4.0,NY,Madison,1.0,M,96.0,,O,Sanmina-SCI,6.0,1911091.0
FSH7536,Kuteauo,1-265-603-1262,0.0,TX,Fontana,0.0,W,96.0,424.0,O,Iron Mountain,6.0,988775.0
Tdx7537,Hkfofpndygljbeo,,5.0,AZ,Charlotte,5.0,M,49.0,623.0,R,OfficeMax,2.0,3919363.0
Sbn7538,Kengxgsu,1-156-668-6882,5.0,ME,Richmond,1.0,S,,792.0,O,AMR,4.0,428918.0
Piq7539,Plywuoa,1-164-648-3203,4.0,NH,Santa Clarita,4.0,S,27.0,718.0,O,Kohl's,6.0,58134.0
IXD7540,zfcwsxpjzyqelkxg,1-839-795-1027,4.0,KY,Yellow Knife,0.0,M,98.0,401.0,O,Cigna,6.0,3703767.0
wsn7541,Yxvczhqjwgnhowiu,1-958-412-4252,4.0,Prince Edward Island,Oxnard,5.0,M,,557.0,R,West,2.0,433859.0
Jkp7542,Grkknjyfgbhtyrhxzeaoeoyirwfa,1-392-335-1020,5.0,British Columbia,Huntington Beach,5.0,W,56.0,393.0,O,Monsanto,7.0,3002044.0
CCF7543,Vfrdst,1-912-050-7605,2.0,CT,Durham,4.0,M,94.0,557.0,,Reliant Energy,10.0,1124168.0
ylj7544,Hqcswumjvwbemosmy,1-075-551-9919,4.0,WA,Naperville,5.0,U,98.0,465.0,O,Idearc,5.0,2081541.0
ZBB7545,Ectbhkmbvwkwdbn,1-013-611-2674,0.0,ND,Albuquerque,1.0,M,8.0,,O,Neiman Marcus,6.0,1897076.0
fqe7546,Bdbgqpllbnrmiirpct,1-656-865-7544,5.0,ID,Newark,,W,90.0,485.0,,O'Reilly Automotive,10.0,235172.0
Wpw7547,Ftszluaxcsoxdfbmdd,1-879-870-7379,4.0,Quebec,Miami,2.0,M,34.0,303.0,,Cliffs Natural Resources,2.0,639573.0
vpz7548,Qrdnpjquwnixfocqhsrlkcxmelwijl,1-366-625-9813,1.0,ID,London,2.0,W,25.0,846.0,O,Health Management Associates,4.0,2667082.0
Yfz7549,Kkiolpmrgzmnjanqc,1-359-462-7089,5.0,AL,Worcester,4.0,,50.0,621.0,O,Chevron,1.0,2598634.0
dou7550,unzegilpp,,3.0,UT,Jacksonville,4.0,D,85.0,331.0,O,Exide Technologies,,1074671.0
FDJ7551,xetqkitwlh,1-153-396-8333,5.0,MS,Nashua,4.0,M,60.0,401.0,R,Convergys,9.0,2272997.0
ufu7552,TWRRGULRYKYUWZYBQQFMIFFKVK,1-144-623-1308,2.0,AK,Newport News,2.0,S,95.0,644.0,R,Dominion Resources,0.0,702000.0
bbg7553,Yqfljvgkfucafpjpamdtcppiipc,1-269-220-8046,4.0,VT,Corona,1.0,M,8.0,769.0,R,Sentry Insurance Group,5.0,1289800.0
Znk7554,mjeasoritwctufyojamzbeeoo,1-052-524-0130,3.0,LA,Lincoln,4.0,M,31.0,481.0,O,Cintas,2.0,1007390.0
CGQ7555,Udxaujgiratgthwkvdibgvwfo,1-335-871-6660,1.0,CT,Toronto,2.0,U,51.0,732.0,O,Medtronic,7.0,124290.0
add7556,GHFUKZPOKMXWZF,1-637-394-8083,4.0,UT,Fayetteville,4.0,M,24.0,802.0,O,Pride International,2.0,1820002.0
Anw7557,ybtkiifyhbgchnuctnhnqspk,1-706-795-4208,2.0,IN,Charlotte,4.0,M,78.0,329.0,O,A. Schulman,5.0,2200347.0
Hvt7558,Fhkymmgjsbmpduuffgavhfcxm,1-622-347-5699,5.0,WI,Tulsa,0.0,W,56.0,839.0,R,Oneok,0.0,3669569.0
Yqj7559,DEZDTMSMWKALBRPALCFIME,1-042-017-9368,2.0,WA,Winston-Salem,,U,50.0,539.0,,Danaher,,2140537.0
Ztn7560,phoxfeiqoldgmnojmzunmargkla,1-829-935-5979,4.0,LA,Thousand Oaks,5.0,M,52.0,561.0,R,Del Monte Foods,4.0,3258909.0
bni7561,Upuabfflh,1-076-726-5283,4.0,VT,Lubbock,5.0,W,14.0,814.0,O,American Electric Power,2.0,1825422.0
swx7562,owagfolbfwjzeg,,5.0,CT,Winnipeg,0.0,M,29.0,305.0,R,TJX,7.0,1845263.0
DSA7563,Qdmppehqxloc,1-284-129-5920,2.0,RI,Laredo,4.0,S,50.0,457.0,O,Philip Morris International,4.0,1463114.0
BXZ7564,jqbetxkci,1-128-308-8886,4.0,SC,Overland Park,1.0,U,67.0,349.0,O,Cincinnati Financial,8.0,2354683.0
pcz7565,Wsmywgbvwspgdwhmdxsqjwqb,1-145-469-5971,2.0,British Columbia,Calgary,0.0,M,22.0,590.0,O,Stryker,0.0,436677.0
Zqa7566,ocgwi,1-727-684-7767,5.0,CO,Peoria,4.0,U,20.0,533.0,O,Kansas City Southern,0.0,2383335.0
Htl7567,Pcotdnngmurhkcd,1-776-201-2472,4.0,TN,Durham,0.0,W,75.0,686.0,O,IDT,9.0,2574739.0
afw7568,bvcosqzcleknjzvkygbawlc,1-767-942-1278,2.0,CA,Pueblo,0.0,U,60.0,582.0,O,Vornado Realty Trust,10.0,1596838.0
Wna7569,ECLENELTSXGTNWOP,1-723-062-7266,,WY,Las Cruces,4.0,S,,807.0,O,Dollar General,0.0,591965.0
Mlh7570,Xdwexmrjat,,3.0,SD,Chula Vista,5.0,S,48.0,819.0,O,Safeway,3.0,3071440.0
Gor7571,xjwnvwdryqpcehelwzfhkkiuus,1-145-314-0862,2.0,British Columbia,San Diego,0.0,M,91.0,311.0,R,Apache,5.0,2683081.0
ENX7572,RNBABCYAFMQPBOHXNUXMXNU,1-735-104-7772,2.0,NJ,Chicago,5.0,U,98.0,734.0,O,Lowe's,3.0,3850483.0
fgr7573,Eyrtrqkljywvbcice,,4.0,AK,Worcester,1.0,W,51.0,432.0,O,Lithia Motors,1.0,1870617.0
Ysh7574,Opybrukftspofebjmspkjsgtobzsp,1-518-116-1411,5.0,OH,Honolulu,0.0,S,22.0,394.0,O,CH2M Hill,3.0,1249534.0
Mos7575,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,1-696-359-4829,0.0,New Brunswick,Albuquerque,0.0,U,57.0,658.0,O,Tellabs,1.0,3789880.0
czu7576,kpofwgtomgijnm,1-352-678-5471,1.0,IL,Oakland,2.0,M,38.0,348.0,O,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,Biflzgcqpqpbahquomftmjffohpwuy,1-906-600-9749,1.0,AZ,Billings,5.0,M,68.0,598.0,O,Wells Fargo,8.0,437353.0
Rwk7578,ybdlwlwxispyswbiegrbsqqtywxr,1-093-018-2851,2.0,NY,Pueblo,2.0,U,93.0,505.0,O,Vornado Realty Trust,9.0,2669917.0
Uwi7579,Capzcewdt,1-302-096-9321,4.0,WA,Sherbrooke,3.0,S,48.0,839.0,R,New York Times,7.0,1466537.0
VXZ7580,XKBLVBCCYKMIXABVTOTVPZCJRII,1-915-044-3154,1.0,GA,Sacramento,1.0,S,96.0,672.0,U,Adobe Systems,2.0,991860.0
Ayk7581,wmknfemsztimaphftadowlmbnp,1-040-274-3474,5.0,AZ,Charlotte,5.0,M,58.0,696.0,O,Valmont Industries,3.0,
lho7582,DHLVITRFJDXLTPAGMPMJ,1-678-397-2739,5.0,NV,El Paso,3.0,W,63.0,448.0,O,UAL,5.0,1816368.0
rzi7583,Jdpqutldftwykfyhukveiaimoyyk,1-679-345-9939,2.0,TN,Mesa,1.0,S,18.0,549.0,O,AFLAC,9.0,565246.0
Wds7584,Qiwemtdba,1-093-616-0613,4.0,AL,Simi Valley,2.0,W,40.0,705.0,O,VeraSun Energy,0.0,1899339.0
Xsj7585,JQKEDISZ,1-546-131-8988,4.0,TX,St. Catharines,3.0,M,29.0,387.0,O,Magellan Health Services,6.0,3873239.0
Lux7586,Gfuwa,1-477-186-7432,2.0,WV,Washington,1.0,U,21.0,359.0,,Emcor Group,7.0,767547.0
wxw7587,CTTUYHUUMMDTX,1-965-848-6954,2.0,ND,Chula Vista,2.0,M,41.0,494.0,O,Peabody Energy,9.0,1027999.0
pfz7588,Wvtqm,1-622-866-0937,1.0,Saskatchewan,Montpelier,1.0,M,56.0,345.0,,State Farm Insurance Cos.,10.0,3428495.0
hlx7589,xuwgpsvzcpxtoerndtr,1-040-217-2014,2.0,VA,Mesa,0.0,M,33.0,402.0,O,Humana,10.0,1827180.0
nyb7590,Hnnzpokbygacjjgybkskf,1-101-684-2373,2.0,ND,New Haven,0.0,M,96.0,579.0,O,News Corp.,3.0,2070007.0
Ltt7591,qsnivsknktiwjpqwnrlgftnmsrxkjc,1-386-426-5849,2.0,ND,Indianapolis,0.0,,35.0,569.0,O,Torchmark,2.0,
gsz7592,pygsfvfpeofkdcugfvxdsqgmcgebfp,1-598-816-0126,0.0,MS,Stockton,4.0,W,40.0,745.0,O,Rock-Tenn,9.0,3596263.0
Kwp7593,Zgxsuo,1-770-379-7700,0.0,WY,Louisville,,D,10.0,320.0,U,AGCO,1.0,3719999.0
AGM7594,ganifmdaqbltccwbqijtkypcetuq,,2.0,MA,Atlanta,4.0,M,59.0,591.0,R,,4.0,3058439.0
Ocn7595,IYCOMORWDFSEKN,1-628-245-6238,1.0,AK,Milwaukee,0.0,M,70.0,,U,United Stationers,10.0,2592932.0
Cmw7596,vdvdlfz,1-813-787-2611,4.0,PA,Fort Smith,5.0,M,69.0,417.0,,McCormick,5.0,1471273.0
Dit7597,Sbwymtnwzhffkwjczlsnvrtcv,1-362-897-1162,0.0,MA,Knoxville,5.0,M,96.0,338.0,R,National Life Group,8.0,
Rmm7598,qjjwbffbgxilxyarhjwdvo,1-952-919-4878,3.0,DC,Idaho Falls,,S,9.0,340.0,O,Hasbro,9.0,2410816.0
ekj7599,JIXUQX,1-145-214-8009,3.0,RI,Jacksonville,3.0,U,39.0,738.0,U,Tupperware Brands,5.0,1059543.0
wcq7600,Eqrxuc,1-328-944-9786,0.0,MA,Stockton,2.0,S,31.0,597.0,O,Covance,7.0,379282.0
Klc7601,PDAXUXBMPOVTKJUR,1-899-864-9421,2.0,Alberta,Thousand Oaks,2.0,M,64.0,603.0,R,Interactive Brokers Group,4.0,3271265.0
Jrd7602,Adftxl,1-877-997-8896,,AR,Nashua,1.0,D,38.0,662.0,U,SkyWest,5.0,1530364.0
GDQ7603,Gaksvvggpbleteofow,1-750-900-0823,2.0,VA,Tallahassee,4.0,W,47.0,838.0,R,Best Buy,0.0,3731860.0
fnm7604,Ijstknxzfzsvqmy,,5.0,OR,Brownsville,2.0,M,,791.0,O,Sears Holdings,9.0,2488858.0
Ymu7605,jvhwyzbcwdrrqmlbvpjwbohhemm,1-347-704-7823,1.0,ID,Charlotte,4.0,S,76.0,692.0,O,Frontier Oil,7.0,2301347.0
Pxj7606,nhhjbqktsr,1-228-976-2888,0.0,IA,Oakland,3.0,W,60.0,673.0,O,Automatic Data Processing,8.0,1736571.0
Rsd7607,Lmhtjwddyqbzlxgv,,3.0,TN,Fort Wayne,,U,73.0,331.0,O,,7.0,2399483.0
Qqh7608,BXFLGQTJSJDQAUCXXJXWHTQU,1-760-429-1328,4.0,Nova Scotia,Chula Vista,,U,37.0,744.0,O,Comerica,2.0,2982744.0
udq7609,Tlaihggmhfiuezhjgps,1-253-879-8833,5.0,Ontario,Peoria,1.0,M,50.0,446.0,U,Baldor Electric,6.0,1611011.0
Ghl7610,DSRXJZKFJTIVXLBAX,1-401-256-3483,0.0,MD,Lexington,4.0,M,0.0,,O,Commercial Metals,0.0,2999167.0
mtk7611,Annsrbdzywmpqvigpn,1-175-910-8245,5.0,AR,Salem,,W,,,O,,,
QIY7612,Mrawpcvb,1-565-191-3419,0.0,Saskatchewan,San Jose,3.0,M,,723.0,O,Molina Healthcare,9.0,3307491.0
Ohz7613,yociu,1-921-688-5401,2.0,OH,Kansas City,0.0,S,81.0,348.0,O,Plains All American Pipeline,2.0,2057260.0
djg7614,DQNVNWPYSMLDGXJVBUHUKDLRSLN,1-925-155-0170,2.0,VA,Windsor,0.0,M,52.0,666.0,O,Agilent Technologies,,53179.0
Iad7615,wfnjfn,1-185-691-2951,2.0,ID,Chicago,4.0,M,68.0,,U,AutoZone,3.0,690086.0
EMG7616,WWWEN,1-067-518-3854,0.0,WI,Evansville,1.0,M,,844.0,R,,8.0,2025465.0
Hjn7617,Krjcfgq,1-188-554-1671,1.0,MS,Honolulu,4.0,M,36.0,766.0,O,Universal Health Services,8.0,695307.0
CYP7618,Fxmpengjsaf,1-168-215-2223,2.0,OK,Cleveland,4.0,M,31.0,521.0,O,Time Warner,10.0,3238398.0
KPN7619,Eobtk,1-228-022-3056,1.0,GA,Livonia,5.0,W,55.0,306.0,O,Sealed Air,7.0,1213578.0
Vbi7620,Abahrdfcbtscoblhaovnjkbx,1-926-766-1124,5.0,TN,Little Rock,5.0,W,66.0,411.0,R,Sprint Nextel,9.0,103708.0
ehb7621,bhephgijqbu,1-538-797-1948,1.0,SC,Halifax,5.0,M,22.0,,O,,3.0,1086081.0
TMQ7622,KECNVVPGTOXHIGOUAWLHU,1-627-234-0841,5.0,AR,Peoria,0.0,U,51.0,702.0,O,Quiksilver,8.0,1349626.0
Lsb7623,xppmtvztaifqynlbmofxonnus,1-876-492-0782,1.0,MT,San Jose,5.0,S,26.0,842.0,R,Valspar,1.0,1083092.0
Dpz7624,kzntoukktuqqfuyeo,1-436-946-7319,2.0,WY,Charlotte,1.0,U,100.0,528.0,R,Timken,0.0,1662799.0
Zuj7625,TDRLAQZARCGRAMDDMCWP,1-281-780-2897,3.0,WY,Hilo,3.0,W,13.0,300.0,R,,5.0,3548540.0
Jqk7626,shbaeyxyrjfietruntrdeyqkc,1-421-286-4139,2.0,WV,Yonkers,1.0,S,11.0,752.0,O,Occidental Petroleum,7.0,881414.0
ijb7627,Zururxrihusergiba,1-908-354-2709,0.0,CA,Modesto,4.0,M,62.0,303.0,O,,0.0,1712200.0
NMO7628,QZLCPVRKZMTENMREVZT,1-466-560-2530,3.0,Alberta,Louisville,5.0,M,13.0,418.0,O,Massey Energy,10.0,847446.0
Tef7629,dvbflygvxrizbclmqwoajkvnzoufc,1-578-686-8082,3.0,New Brunswick,Eugene,3.0,W,23.0,667.0,O,Weyerhaeuser,4.0,344294.0
Sdj7630,mtnubdnrdoivcuqmapqhtvzkixw,1-166-077-1436,1.0,British Columbia,Buffalo,4.0,D,51.0,441.0,U,National Fuel Gas,7.0,1534879.0
Pbr7631,Nzljqsbgutsixlosfedpmlzl,1-535-320-1881,3.0,DE,Santa Fe,2.0,U,2.0,471.0,O,Pep Boys,0.0,3897101.0
Ice7632,Ealrdsynhtadihmsl,1-633-495-6478,2.0,CT,Springfield,,W,,701.0,O,Neiman Marcus,9.0,3064442.0
ZWG7633,xfjdwfentojva,1-398-680-0278,5.0,Quebec,Anchorage,2.0,D,82.0,323.0,R,BlackRock,1.0,2016524.0
Evw7634,Zvowaelneuhpxzphpvtgvfz,1-185-976-7770,4.0,NJ,Winnipeg,5.0,M,94.0,846.0,O,McGraw-Hill,10.0,37745.0
Lhl7635,fmdcjzjekrwrirumyvfuqnnkxzr,1-490-238-8219,3.0,MN,Waco,4.0,M,16.0,850.0,O,Family Dollar Stores,8.0,503752.0
LYB7636,Ohetzpmilrphnhnasiisaypdl,1-891-741-2112,2.0,NE,Stockton,5.0,M,43.0,,U,Teleflex,,2115180.0
Ijb7637,VAUWGMVOILXNGKB,1-849-918-0984,1.0,VA,Boston,2.0,M,76.0,564.0,O,,3.0,839222.0
Zhf7638,Tnwgmuvaaqmxskkyqnvrmnmul,1-426-168-3142,3.0,PA,Memphis,5.0,S,0.0,558.0,O,Imation,4.0,1851334.0
PYU7639,mtovrkjvtfkennjujgpegknnck,1-757-910-8931,1.0,WV,Sydney,,U,33.0,417.0,O,PPL,0.0,1348251.0
Iku7640,Lwxdv,1-468-325-0119,2.0,WY,Shreveport,2.0,U,62.0,487.0,O,Smithfield Foods,6.0,2722392.0
HBZ7641,Ftvuzjdzocqmcoxvrbqcna,1-383-310-7894,2.0,MN,Modesto,0.0,M,8.0,639.0,O,Macy's,9.0,1785161.0
Pco7642,Hnbgeuii,1-353-727-2029,5.0,VT,Hull,5.0,U,4.0,625.0,O,Torchmark,3.0,2823578.0
Ybv7643,Fykbowmpxpbb,1-028-849-5461,5.0,WV,Yonkers,3.0,D,39.0,,O,Herman Miller,1.0,2123972.0
Rim7644,Ruagwhiorgizpmbphjerywjrr,1-480-785-4021,0.0,IN,Atlanta,0.0,S,90.0,,R,Kindred Healthcare,3.0,112782.0
gnf7645,teldp,1-443-132-4138,1.0,MS,Hayward,4.0,M,7.0,460.0,,Arch Coal,3.0,248311.0
Wxp7646,Tmhxnpfgyifx,1-143-020-1234,5.0,CO,Savannah,4.0,,95.0,793.0,O,Whirlpool,8.0,3719851.0
Dxh7647,Fpchjcvsrkakkqqsojokdrg,1-475-304-3486,5.0,PA,Fullerton,5.0,U,59.0,821.0,O,Arrow Electronics,8.0,1920385.0
Aqo7648,Heiehcgec,1-677-882-6792,3.0,DE,Overland Park,2.0,S,13.0,,O,Rock-Tenn,6.0,576903.0
fen7649,sgapkfrztiyyayezulvi,1-151-067-7411,5.0,Prince Edward Island,Alexandria,3.0,D,58.0,643.0,O,R.H. Donnelley,8.0,1855037.0
CMQ7650,Nohjtayoycptngwoitqzhmuf,1-645-553-4591,4.0,TN,Fort Collins,1.0,U,67.0,817.0,O,Pall,2.0,2954046.0
Yhb7651,QIGFYQTIPFYCR,1-670-793-5351,1.0,CA,Santa Fe,2.0,,68.0,702.0,O,Burlington Coat Factory,10.0,952096.0
mbw7652,evwjgjrsttnkbmhmmrswodkvwdqo,1-049-843-6473,1.0,TN,Simi Valley,0.0,D,17.0,409.0,O,Forest Laboratories,2.0,3382998.0
xas7653,SMOQFUQUOWABMRDKJPFC,1-739-185-6579,2.0,FL,Mesa,2.0,,44.0,617.0,O,Moody's,6.0,3772196.0
MKM7654,Jzwgkirmjeznhbniytvkxnhhar,1-215-295-5893,3.0,TN,Simi Valley,0.0,M,16.0,,O,Fidelity National Financial,5.0,3180080.0
Jgi7655,IMPCDEPQTVPBRBNJNLWAPSYUW,,5.0,OR,Charlotte,5.0,M,27.0,756.0,O,Amphenol,,3971412.0
Mwv7656,Ewwyolurheysjpusipgrmydspux,1-515-341-8405,2.0,ME,St. Petersburg,4.0,D,59.0,484.0,R,Int. Business Machines,5.0,1488210.0
YOY7657,Indhpnqswpoplupdlejxhjm,1-249-978-7278,1.0,SC,Washington,4.0,S,8.0,589.0,O,Int. Flavors & Fragrances,9.0,2621373.0
Gja7658,Dahur,1-471-716-6210,1.0,Ontario,Tallahassee,4.0,S,98.0,380.0,O,Gilead Sciences,0.0,1021949.0
rcx7659,JLZXMAOFICNNT,,1.0,GA,Mesa,1.0,S,35.0,541.0,R,United Rentals,10.0,2444319.0
IPA7660,Rvrfuknkgeyb,1-982-617-1421,1.0,VA,Portland,,M,57.0,474.0,,Convergys,7.0,362567.0
rbj7661,Ruihhbkdjniajgrvwos,1-068-568-6056,2.0,KY,Las Vegas,1.0,,69.0,685.0,O,Mueller Water Products,4.0,462234.0
ebw7662,Gkirgeljoajnkshohjinbooco,,4.0,SC,Sudbury,3.0,M,33.0,363.0,R,Shaw Group,10.0,3936622.0
SQY7663,cgqpaxicnbhaaufmao,1-772-155-4468,1.0,NC,Sunnyvale,1.0,M,33.0,605.0,O,Energy Future Holdings,9.0,2116904.0
nqw7664,beidygiakhaztngnhqsrjhxs,1-551-833-6226,4.0,KS,Birmingham,4.0,W,1.0,394.0,,PHH,6.0,63883.0
Fyz7665,XXILDDNLYSINLOGZNXHQKGLMEAR,1-894-068-7775,0.0,MO,Orlando,2.0,U,19.0,812.0,R,Simon Property Group,6.0,2747738.0
Hds7666,MLHCHSATXNEQIRSMEHAM,,3.0,OK,Albuquerque,3.0,M,63.0,688.0,R,World Fuel Services,3.0,938329.0
ksz7667,Qqgzzbefkm,1-942-682-4165,5.0,LA,Nashville,5.0,M,27.0,808.0,O,Andersons,9.0,976093.0
Wzm7668,qdjedjylsojhngornkkgmozdbb,,,Saskatchewan,Akron,4.0,,12.0,492.0,O,L-3 Communications,1.0,2031908.0
Xna7669,Vszkppbmlhgmjgeiss,1-316-836-0322,4.0,KY,Lubbock,3.0,D,26.0,734.0,O,CACI International,6.0,660066.0
ugr7670,Yizitnh,1-746-466-6593,1.0,NH,St. Paul,5.0,M,2.0,579.0,O,M&T Bank Corp.,7.0,2777991.0
Qao7671,Jkrhfalisxualvrritesxm,1-306-508-0916,0.0,NM,Columbus,4.0,M,34.0,410.0,U,Family Dollar Stores,10.0,3148815.0
MXH7672,Hfhsubkrpir,1-049-405-9872,0.0,NE,Abilene,4.0,D,86.0,743.0,O,Medco Health Solutions,7.0,3714775.0
KQU7673,Htbblpuiuynkio,1-539-901-1797,1.0,New Brunswick,Biloxi,,M,47.0,431.0,O,Crosstex Energy,9.0,2203195.0
bxn7674,odfxd,1-976-507-8347,0.0,MD,Cincinnati,0.0,M,73.0,805.0,O,Reynolds American,4.0,3708645.0
Opu7675,Znewofyktnzry,1-902-376-9596,1.0,WV,Tulsa,0.0,U,83.0,688.0,O,PolyOne,9.0,2954852.0
Ceo7676,obgrwipkwotv,1-532-161-3458,1.0,MA,Oakland,,D,99.0,483.0,O,"Toys ""R"" Us",1.0,2421534.0
DZH7677,llbtndfaert,1-943-745-8094,0.0,MT,McAllen,0.0,U,49.0,844.0,O,Sonoco Products,7.0,941243.0
Ocd7678,Vowvlsbsbfokxbljqxz,1-162-078-3859,3.0,NM,Laredo,3.0,M,96.0,436.0,O,Newfield Exploration,5.0,3133101.0
Uyj7679,qafdyn,1-881-265-1012,5.0,TN,Fort Collins,2.0,D,12.0,336.0,U,IAC/InterActiveCorp,3.0,2070834.0
mhz7680,aqococfdutcrxipsdiizyfbigy,1-781-682-4447,1.0,PA,Sudbury,1.0,S,75.0,688.0,O,MGIC Investment,1.0,2617194.0
Sft7681,Radeyutyf,1-716-288-6722,3.0,NC,Simi Valley,0.0,U,29.0,581.0,O,American International Group,9.0,2752340.0
