gncd,cntr,ntwrth,ddrssln2,phn,mplr,ncm,nmbrcrdtcrds,mddlntl,wnrrntflg,frstnm,stt,nmbrcrs,nmbrchldrn,mrtlstts,g,crdtrtng
Pla32,United States of America,362523.0,,1-042-705-3246,Charles Schwab,260185.0,9.0,X,O,wallie,WY,2.0,1.0,M,47.0,380.0
SEL33,United States of America,2102359.0,,1-098-328-2026,Coach,258323.0,2.0,E,R,Andromache,NY,0.0,0.0,M,9.0,796.0
sha34,United States of America,3480265.0,,1-209-754-5635,DaVita,79476.0,2.0,Z,U,THOR,SC,1.0,3.0,M,85.0,818.0
MER35,United States of America,3648900.0,,1-498-781-3456,Marshall & Ilsley Corp.,102156.0,3.0,,U,SALAH,MS,5.0,3.0,M,81.0,766.0
con36,United States of America,1161790.0,,1-615-241-0440,Cablevision Systems,221481.0,2.0,,O,HOR-LAM,UT,2.0,3.0,M,0.0,359.0
ons37,United States of America,2050587.0,,1-995-449-5200,Barnes & Noble,41836.0,2.0,,R,Vania,PA,1.0,5.0,S,28.0,401.0
Sum38,Canada,3579198.0,,1-295-673-4452,EMC,72389.0,0.0,,O,Niel,OK,1.0,1.0,U,65.0,609.0
gro39,United States of America,889494.0,,1-914-675-2986,Fluor,66486.0,2.0,F,O,ziad,WY,3.0,0.0,S,20.0,630.0
dil40,United States of America,2205682.0,Apt. 382,,Dollar General,200185.0,9.0,I,O,Claude,RI,3.0,1.0,M,55.0,671.0
DOL41,United States of America,1140117.0,,1-825-739-0336,Lear,289215.0,10.0,,O,AVTAR,HI,0.0,2.0,U,76.0,715.0
Pos42,United States of America,1421319.0,,1-956-713-3802,J.P. Morgan Chase & Co.,322484.0,9.0,,O,Donny,VA,4.0,1.0,M,1.0,707.0
Mac43,United States of America,3525204.0,,1-814-932-1579,Affinia Group Intermediate,83458.0,0.0,,O,Cocos,OK,4.0,2.0,M,3.0,329.0
che44,United States of America,468976.0,,1-135-443-7282,,,8.0,,R,ruud,Prince Edward Island,0.0,3.0,D,100.0,601.0
hol45,United States of America,1685443.0,,1-720-975-0667,Goldman Sachs Group,492407.0,2.0,,O,Belvia,SD,5.0,1.0,W,81.0,623.0
pfi46,United States of America,337564.0,,1-871-598-3505,E*Trade Financial,346630.0,2.0,,O,ATHAR,OH,4.0,4.0,S,76.0,376.0
elk47,Canada,84777.0,,1-607-222-4809,Pfizer,9572.0,0.0,Y,O,Cherey,MA,1.0,3.0,W,51.0,560.0
Lab48,United States of America,3146477.0,,1-965-046-0642,Safeway,265369.0,4.0,,O,RAZ,MD,1.0,5.0,,,693.0
laf49,United States of America,495277.0,,1-155-441-3579,Simon Property Group,104172.0,0.0,Y,U,kishore,Saskatchewan,1.0,2.0,S,58.0,346.0
Nor50,United States of America,746904.0,,,Trinity Industries,65550.0,0.0,I,O,Nelleke,WA,0.0,3.0,M,52.0,342.0
hag51,Canada,1219620.0,,1-544-132-7237,Solutia,,8.0,,R,sibby,OH,2.0,0.0,M,91.0,563.0
Bet52,United States of America,1718910.0,,1-821-089-2089,,,4.0,,O,ericha,WY,2.0,3.0,M,17.0,391.0
Van53,United States of America,,,1-135-391-9787,A.O. Smith,66244.0,8.0,,O,Janson,NJ,4.0,4.0,S,6.0,381.0
O'L54,United States of America,2636424.0,,1-776-182-6215,AptarGroup,426954.0,9.0,,U,Dorotea,ND,0.0,3.0,S,89.0,539.0
and55,United States of America,1326305.0,,1-079-780-7761,Coca-Cola,126891.0,0.0,,O,Denice,NC,5.0,4.0,M,99.0,497.0
sta56,Canada,2241997.0,,1-504-346-4393,Kimberly-Clark,454196.0,,,O,Myron,WV,4.0,2.0,M,77.0,661.0
CHA57,United States of America,1542891.0,Apt. 275,1-985-538-4351,Visteon,163940.0,0.0,,R,Barby,GA,5.0,3.0,S,,558.0
ASI58,Canada,797918.0,,1-254-097-9398,TECO Energy,365213.0,,,O,Ariella,Ontario,,1.0,W,90.0,534.0
ask59,United States of America,347654.0,,1-545-924-9552,Bemis,428739.0,6.0,,U,ADEY,MA,0.0,0.0,M,82.0,373.0
Kik60,United States of America,2456397.0,,1-984-233-8818,Wyeth,142444.0,8.0,K,O,GAYEL,CA,4.0,0.0,M,,382.0
Cha61,United States of America,1284229.0,,1-528-691-1642,United Technologies,416168.0,10.0,,O,Man,SD,3.0,3.0,S,15.0,475.0
KIL62,United States of America,618787.0,,,Clorox,291420.0,3.0,U,O,Klara,Saskatchewan,2.0,0.0,D,,539.0
kin63,United States of America,1171606.0,,1-171-807-8213,Discovery Communications,413501.0,6.0,,O,Abdalla,RI,4.0,5.0,M,96.0,711.0
MAL64,United States of America,3983261.0,,1-056-241-7009,Williams-Sonoma,,1.0,,O,bal,NC,4.0,,M,38.0,606.0
Odu65,United States of America,2328568.0,,1-389-414-0570,Manitowoc,419143.0,0.0,J,O,Romy,SD,3.0,3.0,W,10.0,494.0
DI 66,United States of America,2078600.0,,1-583-542-1656,Henry Schein,155057.0,3.0,,O,KORAL,IL,1.0,5.0,M,72.0,309.0
STU67,United States of America,2986155.0,,1-269-712-0672,Trinity Industries,313859.0,3.0,K,O,YUKIHIKO,OR,2.0,5.0,M,97.0,630.0
HAM68,United States of America,1864039.0,,1-670-102-0463,Pepsi Bottling,265907.0,10.0,,O,Khanh,Ontario,4.0,1.0,S,48.0,330.0
LIB69,Canada,1293721.0,,1-699-726-3895,UGI,283481.0,9.0,,O,Darnell,FL,,0.0,S,97.0,710.0
ohs70,United States of America,3850114.0,,1-640-666-2876,Greif,200635.0,7.0,,R,feridoun,NM,4.0,0.0,M,73.0,475.0
HUM71,United States of America,1618743.0,APT. 143,1-540-639-1311,Equifax,434519.0,3.0,O,O,Magdy,NE,0.0,1.0,U,71.0,596.0
BRA72,United States of America,3383487.0,,1-285-874-8492,,392315.0,9.0,,O,jiri,MI,5.0,1.0,W,93.0,670.0
Boa73,United States of America,2981876.0,,1-121-904-0040,Freescale Semiconductor,493829.0,,X,O,AILA,New Brunswick,5.0,3.0,U,53.0,722.0
Mcn74,United States of America,2109339.0,,1-017-842-3201,Aleris International,97489.0,7.0,,O,Vincenzo,NJ,3.0,2.0,U,32.0,587.0
MAR75,United States of America,791803.0,,1-215-859-3206,,,4.0,,O,Minnnie,ND,4.0,3.0,S,1.0,609.0
Wil76,United States of America,3523678.0,,1-764-520-7470,World Fuel Services,383046.0,7.0,,O,alfonzo,Saskatchewan,0.0,1.0,S,39.0,401.0
Dea77,United States of America,1681902.0,,1-414-130-0162,R.R. Donnelley & Sons,1190.0,0.0,S,,Swandi,KS,4.0,0.0,M,77.0,335.0
Hou78,United States of America,3851455.0,,1-970-240-9990,Brinker International,85733.0,7.0,,O,Anya,SD,5.0,5.0,U,18.0,569.0
Goy79,Canada,2339382.0,,1-408-684-6459,Temple-Inland,387890.0,9.0,,R,Enrika,FL,0.0,2.0,M,70.0,
Mok80,United States of America,,,1-330-353-5908,Psychiatric Solutions,16808.0,7.0,Z,O,SONJA,Saskatchewan,2.0,0.0,S,26.0,679.0
Run81,United States of America,2065016.0,,1-766-726-2675,Nash-Finch,304589.0,10.0,I,,Liem,FL,,4.0,M,,356.0
BEL82,United States of America,2454049.0,,1-938-425-7509,AMR,48506.0,9.0,,R,COLLETTE,UT,2.0,5.0,S,58.0,308.0
BAE83,United States of America,2423395.0,,1-527-308-8874,Spartan Stores,,4.0,Y,O,SIAMACK,WY,0.0,4.0,M,43.0,412.0
MAU84,United States of America,1342045.0,,1-810-590-0635,Cigna,358862.0,4.0,,O,Toshihiro,NH,2.0,3.0,D,65.0,618.0
Koo85,United States of America,861756.0,,1-274-548-2512,General Cable,477614.0,5.0,,O,Casey,AR,5.0,3.0,S,24.0,429.0
Lau86,United States of America,1215349.0,,1-649-754-4601,Dun & Bradstreet,175414.0,3.0,,O,Daryn,CT,3.0,1.0,S,79.0,819.0
Man87,Canada,3981554.0,,1-905-932-1785,Casey's General Stores,427598.0,7.0,L,O,Adrianna,VT,0.0,1.0,M,48.0,552.0
PIE88,United States of America,3865937.0,,1-031-004-7697,Jack in the Box,368207.0,9.0,,O,Cortney,Manitoba,0.0,4.0,S,69.0,587.0
Bus89,United States of America,2804700.0,,1-994-812-4796,Assurant,449944.0,6.0,,O,Duane,NJ,3.0,1.0,S,91.0,304.0
BAB90,United States of America,3283558.0,,1-176-513-4041,Psychiatric Solutions,166247.0,4.0,,U,Tele,KY,5.0,5.0,,75.0,795.0
Bur91,United States of America,450524.0,APT. 373,1-072-244-6337,Danaher,391165.0,2.0,,O,Ophelia,GA,1.0,3.0,S,85.0,830.0
Kin92,United States of America,,,1-924-669-9328,Clorox,165854.0,3.0,,R,lorine,NJ,5.0,3.0,M,76.0,709.0
POM93,United States of America,,,1-598-488-3541,Boyd Gaming,326181.0,8.0,,O,Viole,SC,2.0,1.0,S,68.0,493.0
BOA94,United States of America,633760.0,,1-295-539-3868,Eaton,173387.0,,,O,Nani,TN,3.0,,M,95.0,680.0
Ron95,United States of America,3634954.0,,1-554-020-0267,Dynegy,301127.0,,R,R,cherey,WY,1.0,5.0,M,15.0,800.0
wei96,United States of America,799268.0,,1-793-621-4566,AmeriCredit,487230.0,4.0,A,R,Redgie,Ontario,1.0,5.0,M,17.0,614.0
Hel97,Canada,39093.0,,1-787-267-4261,SLM,425747.0,6.0,P,R,Yousef,DC,4.0,0.0,,94.0,763.0
mog98,United States of America,2705353.0,,1-668-247-1597,NV Energy,401946.0,3.0,,O,Damaris,Alberta,4.0,4.0,S,70.0,561.0
boz99,United States of America,3565153.0,,1-901-346-8890,Landstar System,425422.0,4.0,,O,Ilyssa,ME,1.0,2.0,S,29.0,569.0
Zah100,United States of America,2832204.0,,1-451-273-3803,Pacific Life,208890.0,5.0,R,O,Moselle,MA,4.0,1.0,M,52.0,634.0
And101,United States of America,2194345.0,,1-129-499-9136,Textron,67880.0,10.0,,O,Dulsea,NV,5.0,3.0,U,51.0,488.0
Bam102,Canada,3737140.0,,1-899-319-0772,Pfizer,133412.0,5.0,L,O,Lyndsie,WA,2.0,3.0,W,24.0,788.0
fro103,United States of America,464753.0,,1-053-396-0441,Cigna,144829.0,8.0,,O,KESLEY,WY,3.0,4.0,D,98.0,333.0
Car104,United States of America,596696.0,,1-239-665-9540,Ameren,,,J,U,LAUREL,NJ,1.0,1.0,M,59.0,601.0
muc105,Canada,1504753.0,,1-605-888-3403,Consolidated Edison,143682.0,2.0,V,O,Steen,LA,3.0,4.0,U,49.0,595.0
gat106,United States of America,3049281.0,,1-630-604-2543,Occidental Petroleum,350020.0,10.0,,O,noel,TX,0.0,1.0,U,1.0,433.0
Sch107,United States of America,247478.0,,1-851-862-7928,Sherwin-Williams,435103.0,10.0,M,O,Tracey,SC,0.0,,U,79.0,403.0
pom108,United States of America,2750301.0,,1-065-415-5724,Affiliated Computer Services,207768.0,3.0,,R,Sarajane,TX,1.0,5.0,,6.0,615.0
cuc109,United States of America,721333.0,,1-408-512-1007,Valassis Communications,407512.0,1.0,K,O,Geoffrey,MN,0.0,4.0,M,70.0,735.0
SUG110,United States of America,669440.0,,1-083-902-4184,,403366.0,1.0,Z,O,loralyn,ID,3.0,0.0,S,23.0,668.0
Pep111,Canada,2473979.0,,1-568-403-7081,Smithfield Foods,384095.0,,,O,andrei,MI,3.0,5.0,M,78.0,349.0
Cha112,United States of America,3545170.0,SUITE 7,1-824-389-0618,,288969.0,,,,javad,OK,4.0,,S,79.0,654.0
SEI113,United States of America,1494871.0,Apt. 971,1-174-210-2058,TD Ameritrade,233665.0,6.0,U,O,Karna,UT,2.0,3.0,U,72.0,361.0
GAR114,Canada,436164.0,,1-425-503-7952,Comerica,147236.0,1.0,S,U,Jocelyn,PA,4.0,0.0,S,31.0,427.0
Tou115,United States of America,1069481.0,,1-012-389-9089,Steel Dynamics,452557.0,1.0,,O,Elvera,New Brunswick,0.0,3.0,W,86.0,322.0
Kur116,United States of America,,,1-909-472-6704,Coca-Cola Enterprises,179305.0,9.0,V,R,Nessy,UT,2.0,0.0,S,,792.0
Her117,Canada,2957261.0,,1-622-167-5411,News Corp.,205817.0,2.0,,O,lona,VA,3.0,0.0,U,87.0,478.0
MCV118,United States of America,228459.0,,1-164-511-9338,,262711.0,1.0,P,O,RHEA,NH,,5.0,M,92.0,477.0
LAB119,Canada,67267.0,,1-804-532-9163,Stater Bros. Holdings,84810.0,6.0,,O,Josefa,VT,1.0,5.0,M,4.0,449.0
but120,United States of America,1087978.0,,1-197-370-0297,BorgWarner,96441.0,2.0,,O,alikee,FL,2.0,4.0,U,8.0,466.0
Pro121,United States of America,3885967.0,,1-337-042-5687,CB Richard Ellis Group,462762.0,2.0,,O,dolorita,NC,0.0,5.0,M,97.0,483.0
Irc122,United States of America,3271101.0,,1-056-138-5321,Zimmer Holdings,141890.0,4.0,,O,Marilyn,VA,5.0,4.0,D,,588.0
Ziv123,Canada,,,1-776-191-2031,Mohawk Industries,156610.0,2.0,G,O,robertson,DC,5.0,5.0,,40.0,313.0
sim124,United States of America,1999133.0,,1-280-696-2706,Berkshire Hathaway,164752.0,1.0,H,R,Ilsa,NC,1.0,4.0,U,95.0,647.0
kei125,United States of America,1100786.0,,1-857-581-6346,Saks,278949.0,2.0,I,O,Pen,MS,1.0,5.0,S,92.0,430.0
arv126,United States of America,563992.0,,,Gardner Denver,,8.0,P,O,AUBRETTE,SC,0.0,5.0,W,67.0,467.0
Pra127,United States of America,962397.0,,1-716-343-0884,Hasbro,463736.0,7.0,,O,Cole,KS,3.0,2.0,M,24.0,399.0
lue128,United States of America,1064169.0,,1-101-776-2496,CBS,,5.0,C,O,liva,VT,2.0,3.0,M,26.0,654.0
Prz129,United States of America,2100059.0,,1-769-028-0589,Synnex,86667.0,3.0,,O,Ayaz,IL,2.0,0.0,S,62.0,378.0
pen130,United States of America,99025.0,,1-005-833-8970,Belden,193470.0,10.0,J,O,YETTY,FL,5.0,1.0,W,37.0,338.0
Gua131,United States of America,3865481.0,,1-884-215-4243,Broadcom,406379.0,10.0,S,R,Mary-michelle,MI,5.0,0.0,S,71.0,695.0
bre132,Canada,804544.0,,,Reynolds American,480595.0,7.0,,U,agretha,Newfoundland,1.0,3.0,M,29.0,614.0
Sav133,United States of America,3143356.0,,1-725-177-7815,Wells Fargo,181718.0,7.0,X,O,LOTTY,ME,4.0,5.0,S,89.0,307.0
ABB134,United States of America,,,1-277-496-5396,Retail Ventures,468310.0,2.0,Z,O,Kassey,AL,0.0,3.0,M,11.0,331.0
OP135,United States of America,2311953.0,,1-756-463-2201,AT&T,354987.0,2.0,N,O,Adria,IN,2.0,0.0,S,20.0,638.0
Mer136,Canada,3120608.0,,1-261-338-7463,Wynn Resorts,284539.0,3.0,,O,audivox,NH,3.0,5.0,W,75.0,703.0
rut137,United States of America,2058270.0,,1-811-086-4675,Eastman Kodak,213725.0,7.0,,O,SUE,DC,0.0,5.0,S,95.0,302.0
bem138,United States of America,1511983.0,,1-338-771-1185,Aramark,74195.0,,I,O,Lorenza,DC,2.0,3.0,U,0.0,522.0
Pen139,United States of America,439080.0,,1-554-231-5318,ENSCO International,169295.0,,,O,Enzo,MD,5.0,1.0,M,73.0,
tor140,United States of America,921255.0,,1-733-886-5227,Auto-Owners Insurance,307832.0,5.0,Y,R,claudina,Prince Edward Island,1.0,0.0,W,39.0,833.0
law141,United States of America,3810365.0,,1-267-357-1943,Bemis,20397.0,2.0,L,O,Otha,MD,1.0,1.0,U,76.0,
Bee142,United States of America,2641938.0,Suite 397,1-602-756-7919,Securian Financial Group,463094.0,6.0,D,O,Rodie,New Brunswick,2.0,2.0,U,5.0,664.0
sch143,United States of America,3857323.0,,1-793-864-7010,Ford Motor,331900.0,7.0,,O,DULCE,HI,4.0,1.0,U,65.0,789.0
Wit144,United States of America,1636212.0,,1-637-020-2921,ConAgra Foods,8421.0,0.0,,U,Win,ND,5.0,0.0,S,94.0,803.0
MER145,United States of America,2999082.0,,1-428-797-6325,Charter Communications,35780.0,3.0,Q,,Roselin,Nova Scotia,4.0,4.0,M,95.0,720.0
bia146,United States of America,2280820.0,,1-011-549-5618,Calpine,139897.0,4.0,,R,Malanie,ME,1.0,0.0,M,28.0,839.0
Swi147,United States of America,1050866.0,SUITE 464,1-993-255-5481,Crane,414119.0,0.0,P,O,TARYN,Alberta,4.0,1.0,D,76.0,621.0
bul148,United States of America,,,1-487-749-4448,Textron,234035.0,3.0,,O,MALENA,VT,5.0,4.0,D,81.0,628.0
TYR149,Canada,603001.0,,1-192-352-2184,Idearc,144405.0,6.0,,O,Dorie,DE,3.0,5.0,W,38.0,813.0
Fyf150,United States of America,3368239.0,,1-293-442-4224,Cabela's,55441.0,3.0,,R,Liese,MA,5.0,3.0,W,25.0,367.0
Sic151,United States of America,1042629.0,,1-078-502-6700,EOG Resources,392869.0,10.0,,O,tele,CA,4.0,2.0,D,0.0,807.0
CAS152,United States of America,1948746.0,,1-430-909-3001,,402416.0,8.0,,O,astra,Manitoba,3.0,4.0,U,61.0,501.0
Cho153,United States of America,3113862.0,,1-392-455-0895,Burlington Coat Factory,89984.0,10.0,S,O,marnia,TN,0.0,2.0,U,3.0,490.0
CHA154,United States of America,2777290.0,,1-273-921-9787,Southwest Airlines,395773.0,3.0,,O,AMY,FL,2.0,3.0,W,77.0,321.0
bei155,United States of America,2210073.0,,1-012-993-4538,RPM International,126662.0,6.0,E,R,HAMILTON,CA,1.0,0.0,U,8.0,
Ele156,United States of America,1999684.0,,1-890-859-4211,Amazon.com,132008.0,7.0,J,O,Kuldip,CO,4.0,1.0,U,34.0,446.0
o'g157,United States of America,2119678.0,,1-080-032-3031,Neiman Marcus,417218.0,2.0,,O,krystalle,Saskatchewan,5.0,5.0,M,15.0,428.0
Kat158,United States of America,169808.0,,1-561-620-7173,Goldman Sachs Group,360063.0,5.0,,O,Stella,UT,0.0,0.0,S,66.0,423.0
Lui159,United States of America,1072732.0,,1-017-439-0362,Boeing,100516.0,6.0,O,O,Marie-josee,ME,5.0,4.0,U,55.0,499.0
Kla160,United States of America,2261442.0,,1-248-539-6621,United Refining,16814.0,7.0,,O,Nashib,NH,1.0,1.0,S,8.0,342.0
Bru161,United States of America,2234368.0,,1-611-789-5569,D.R. Horton,,1.0,Z,U,Annette,VA,1.0,3.0,M,7.0,632.0
Apt162,United States of America,575288.0,,1-023-151-8130,Jarden,315962.0,6.0,Q,O,LENA,TX,3.0,1.0,M,97.0,525.0
sch163,United States of America,1102479.0,,1-005-574-3523,Systemax,299268.0,9.0,,R,Christian,Saskatchewan,5.0,1.0,M,95.0,371.0
Lan164,United States of America,2995388.0,,1-550-487-1571,Marriott International,301490.0,4.0,,O,Morrie,NH,1.0,3.0,U,92.0,699.0
Fus165,United States of America,1147193.0,,1-280-494-1415,Expeditors International,36052.0,8.0,,O,LYMAN,VA,3.0,2.0,M,17.0,435.0
Nev166,United States of America,1136540.0,,1-803-438-4141,Great Plains Energy,437483.0,2.0,R,U,REUBEN,IA,1.0,4.0,U,81.0,512.0
SHA167,Canada,1677669.0,,1-566-299-2351,Danaher,152971.0,6.0,,O,Hermon,NC,5.0,,M,13.0,552.0
Sau168,Canada,2160706.0,,1-586-363-4189,,449495.0,8.0,P,O,Paqs,NH,0.0,2.0,M,78.0,
fri169,United States of America,2525665.0,,1-505-124-9029,Watson Wyatt Worldwide,349827.0,5.0,,O,GAETAN,AL,4.0,1.0,M,78.0,687.0
fer170,United States of America,3517622.0,,1-897-996-9812,Yahoo,9562.0,0.0,O,R,leese,British Columbia,3.0,1.0,M,85.0,433.0
LAN171,United States of America,,,1-922-919-5858,Convergys,24514.0,7.0,,,Amelie,MD,1.0,2.0,U,68.0,746.0
Bha172,Canada,97675.0,,1-326-572-2988,Celanese,407985.0,9.0,,R,TAMRA,IA,0.0,0.0,M,1.0,405.0
Jor173,United States of America,,,1-076-972-4311,Dana Holding,,,,O,bang,ND,5.0,5.0,M,83.0,805.0
KNU174,United States of America,3569070.0,,1-341-595-8408,XTO Energy,257897.0,5.0,,O,HILDEGARDE,NY,4.0,4.0,M,78.0,819.0
Ham175,United States of America,1507616.0,,,Alliance Data Systems,261143.0,0.0,,O,Carmody,OR,0.0,5.0,M,,648.0
MAU176,United States of America,514151.0,,1-536-952-5040,Franklin Resources,110615.0,10.0,,R,Dareen,MO,5.0,5.0,U,5.0,401.0
Rez177,United States of America,2903408.0,Apt. 426,1-663-917-0422,Fidelity National Financial,407799.0,8.0,,U,WEN,CT,2.0,0.0,U,43.0,484.0
Koa178,Canada,1695814.0,,1-843-773-1791,FirstEnergy,195242.0,1.0,,O,MOT,MO,4.0,4.0,U,53.0,463.0
HAN179,United States of America,868465.0,,1-823-567-1252,Commercial Metals,315490.0,5.0,B,O,leese,MN,3.0,0.0,U,13.0,335.0
jak180,United States of America,2810709.0,,1-744-421-7512,Genzyme,22201.0,10.0,I,O,nettie,NC,5.0,4.0,U,7.0,
ump181,United States of America,3593363.0,,1-621-744-1484,US Airways Group,441579.0,7.0,C,R,AILEE,TN,4.0,5.0,M,17.0,381.0
Wic182,Canada,2607636.0,,1-973-214-3381,Advanced Micro Devices,342730.0,1.0,G,O,chan,NV,2.0,2.0,M,67.0,708.0
Gat183,Canada,2735642.0,Apt. 540,1-428-266-1600,United Parcel Service,117267.0,8.0,,R,RAY,AL,5.0,4.0,M,54.0,354.0
bot184,United States of America,1501732.0,,1-334-466-5299,Fastenal,260107.0,10.0,,,Robinette,NE,1.0,4.0,S,5.0,547.0
DAV185,United States of America,397072.0,,1-249-478-5643,Core-Mark Holding,166760.0,9.0,T,O,Rocke,KS,1.0,1.0,D,28.0,761.0
HIL186,United States of America,3399757.0,,1-804-228-8548,Boise,401021.0,1.0,,O,Suzette,NY,4.0,1.0,M,5.0,659.0
war187,United States of America,2684548.0,,1-564-230-0062,DST Systems,70945.0,9.0,,R,Myla,NY,4.0,2.0,M,,351.0
MAC188,United States of America,3041622.0,apt. 48,1-781-339-9073,United States Steel,389391.0,7.0,,O,dacia,Saskatchewan,3.0,3.0,S,72.0,608.0
lev189,United States of America,3211816.0,,1-096-116-9962,Pepco Holdings,63226.0,3.0,A,O,CHELSIE,Prince Edward Island,4.0,2.0,S,12.0,706.0
Goo190,United States of America,127026.0,apt. 968,1-914-194-6997,Acuity Brands,206220.0,8.0,,O,abbas,Alberta,0.0,4.0,M,71.0,391.0
Koh191,United States of America,588945.0,,1-733-360-9116,Baker Hughes,,2.0,E,R,Rec,Ontario,5.0,4.0,W,90.0,461.0
AYL192,United States of America,1962620.0,,1-591-402-8026,Newell Rubbermaid,337152.0,2.0,,O,Elaine,TN,4.0,4.0,U,20.0,510.0
CHO193,United States of America,178193.0,,1-326-180-9322,Westlake Chemical,312074.0,5.0,E,O,Katharine,VA,,2.0,W,58.0,805.0
DIT194,United States of America,2102811.0,,1-784-796-6844,Jones Lang LaSalle,68551.0,7.0,G,O,LILIAN,TX,2.0,4.0,M,57.0,702.0
EMI195,United States of America,2246854.0,,1-662-625-4671,Burger King Holdings,488800.0,3.0,,O,CATI,MT,4.0,1.0,W,43.0,368.0
Ryd196,United States of America,1312448.0,APT. 392,1-627-590-4931,Hovnanian Enterprises,431633.0,8.0,,R,Luong,IL,3.0,2.0,W,39.0,520.0
