State,NumberCreditCards,AgencyID,LastName,Age,AddressLine1,OwnOrRentFlag,MiddleInitial,Country,CreditRating,Income,NetWorth,NumberChildren,MaritalStatus,Gender,NumberCars,City,PostalCode,AddressLine2,Employer,Phone,FirstName
SD,2.0,hol45,holbrooks,81.0,18267 state drive,O,,United States of America,623.0,492407.0,1685443.0,1.0,W,,5.0,Inglewood,32318,,Goldman Sachs Group,1-720-975-0667,Belvia
OH,2.0,pfi46,pfieffer,76.0,9270 LEAF SOUTH,O,,United States of America,376.0,346630.0,337564.0,4.0,S,f,4.0,Akron,93872,,E*Trade Financial,1-871-598-3505,ATHAR
MA,0.0,elk47,elkington,51.0,18582 PERIMETER BOULEVARD,O,Y,Canada,560.0,9572.0,84777.0,3.0,W,,1.0,Charlottetown,92824,,Pfizer,1-607-222-4809,Cherey
MD,4.0,Lab48,Labenek,,9612 park stream upper,O,,United States of America,693.0,265369.0,3146477.0,5.0,,F,1.0,Bellevue,e4a 1r2,,Safeway,1-965-046-0642,RAZ
Saskatchewan,0.0,laf49,laferriere,58.0,2803 clearwater north,U,Y,United States of America,346.0,104172.0,495277.0,2.0,S,,1.0,Dover,H7G 1V4,,Simon Property Group,1-155-441-3579,kishore
WA,0.0,Nor50,Norment,52.0,11103 BISSONNET WEST,O,I,United States of America,342.0,65550.0,746904.0,3.0,M,,0.0,Fullerton,85039,,Trinity Industries,,Nelleke
OH,8.0,hag51,hagar,91.0,4652 outervale lane,R,,Canada,563.0,,1219620.0,0.0,M,,2.0,Denver,v6m 1q3,,Solutia,1-544-132-7237,sibby
WY,4.0,Bet52,Betcher,17.0,341 dunbar west,O,,United States of America,391.0,,1718910.0,3.0,M,m,2.0,Dallas,X7j 1r1,,,1-821-089-2089,ericha
NJ,8.0,Van53,Van der,6.0,16176 vernon drive,O,,United States of America,381.0,66244.0,,4.0,S,m,4.0,San Jose,B8b 1z5,,A.O. Smith,1-135-391-9787,Janson
ND,9.0,O'L54,O'LEARY,89.0,23131 clint way,U,,United States of America,539.0,426954.0,2636424.0,3.0,S,F,0.0,Bellevue,t5d 1v4,,AptarGroup,1-776-182-6215,Dorotea
NC,0.0,and55,anderson,99.0,11640 baltic upper,O,,United States of America,497.0,126891.0,1326305.0,4.0,M,m,5.0,San Buenaventura,V6t 1r2,,Coca-Cola,1-079-780-7761,Denice
WV,,sta56,starks,77.0,20796 dolores drive,O,,Canada,661.0,454196.0,2241997.0,2.0,M,,4.0,St. Louis,91177,,Kimberly-Clark,1-504-346-4393,Myron
GA,0.0,CHA57,CHASSE,,14359 COMMERCE WEST,R,,United States of America,558.0,163940.0,1542891.0,3.0,S,,5.0,Pueblo,T5c 1t1,Apt. 275,Visteon,1-985-538-4351,Barby
Ontario,,ASI58,ASING,90.0,21448 hampton boulevard,O,,Canada,534.0,365213.0,797918.0,1.0,W,R,,Regina,35862,,TECO Energy,1-254-097-9398,Ariella
MA,6.0,ask59,askins,82.0,7637 pershing way,U,,United States of America,373.0,428739.0,347654.0,0.0,M,f,0.0,Saskatoon,96820,,Bemis,1-545-924-9552,ADEY
CA,8.0,Kik60,Kikuta,,11529 arcana boulevard,O,K,United States of America,382.0,142444.0,2456397.0,0.0,M,,4.0,Jackson,75238,,Wyeth,1-984-233-8818,GAYEL
SD,10.0,Cha61,Chane,15.0,2700 windwood north,O,,United States of America,475.0,416168.0,1284229.0,3.0,S,F,3.0,St. Petersburg,85769,,United Technologies,1-528-691-1642,Man
Saskatchewan,3.0,KIL62,KILLEN,,22279 gramercy road,O,U,United States of America,539.0,291420.0,618787.0,0.0,D,m,2.0,Scottsdale,H5i 1o9,,Clorox,,Klara
RI,6.0,kin63,kinley,96.0,9828 west east,O,,United States of America,711.0,413501.0,1171606.0,5.0,M,f,4.0,Charlotte,90849,,Discovery Communications,1-171-807-8213,Abdalla
NC,1.0,MAL64,MALAHER,38.0,5935 mcafee park,O,,United States of America,606.0,,3983261.0,,M,,4.0,Waterbury,43644,,Williams-Sonoma,1-056-241-7009,bal
SD,0.0,Odu65,Odum,10.0,12460 CLAYTON STREET,O,J,United States of America,494.0,419143.0,2328568.0,3.0,W,,3.0,Chesapeake,99213,,Manitowoc,1-389-414-0570,Romy
IL,3.0,DI 66,DI NINNO,72.0,275 3rd drive,O,,United States of America,309.0,155057.0,2078600.0,5.0,M,,1.0,Hialeah,72226,,Henry Schein,1-583-542-1656,KORAL
OR,3.0,STU67,STUBBLEFIELD,97.0,6907 FERNCLIFF CRESCENT,O,K,United States of America,630.0,313859.0,2986155.0,5.0,M,,2.0,Charleston,V6Z 1Q9,,Trinity Industries,1-269-712-0672,YUKIHIKO
Ontario,10.0,HAM68,HAMBALI,48.0,885 crosby lane,O,,United States of America,330.0,265907.0,1864039.0,1.0,S,,4.0,Salem,20082,,Pepsi Bottling,1-670-102-0463,Khanh
FL,9.0,LIB69,LIBRARIAN,97.0,2344 kalani west,O,,Canada,710.0,283481.0,1293721.0,0.0,S,m,,Sacramento,35827,,UGI,1-699-726-3895,Darnell
NM,7.0,ohs70,ohsone,73.0,22870 LA CIENEGA STREET,R,,United States of America,475.0,200635.0,3850114.0,0.0,M,M,4.0,Santa Clarita,99692,,Greif,1-640-666-2876,feridoun
NE,3.0,HUM71,HUMMEL,71.0,8478 green avenue,O,O,United States of America,596.0,434519.0,1618743.0,1.0,U,,0.0,Sherbrooke,V6c 1q5,APT. 143,Equifax,1-540-639-1311,Magdy
MI,9.0,BRA72,BRADD,93.0,23639 purdue rue,O,,United States of America,670.0,392315.0,3383487.0,1.0,W,,5.0,Colorado Springs,80158,,,1-285-874-8492,jiri
New Brunswick,,Boa73,Boarder,53.0,19202 ansley park,O,X,United States of America,722.0,493829.0,2981876.0,3.0,U,,5.0,Berkeley,t6d 1b6,,Freescale Semiconductor,1-121-904-0040,AILA
NJ,7.0,Mcn74,Mcnally,32.0,11319 devonshire rue,O,,United States of America,587.0,97489.0,2109339.0,2.0,U,,3.0,San Buenaventura,33120,,Aleris International,1-017-842-3201,Vincenzo
ND,4.0,MAR75,MARKOVICH,1.0,23665 deerwood park,O,,United States of America,609.0,,791803.0,3.0,S,F,4.0,New Haven,99742,,,1-215-859-3206,Minnnie
Saskatchewan,7.0,Wil76,Willekes,39.0,4855 union north,O,,United States of America,401.0,383046.0,3523678.0,1.0,S,f,0.0,Shreveport,V6N 1T1,,World Fuel Services,1-764-520-7470,alfonzo
KS,0.0,Dea77,Deacetis,77.0,9466 SHADOWBRIAR WEST,,S,United States of America,335.0,1190.0,1681902.0,0.0,M,m,4.0,Lansing,44104,,R.R. Donnelley & Sons,1-414-130-0162,Swandi
SD,7.0,Hou78,Houk,18.0,3504 regency avenue,O,,United States of America,569.0,85733.0,3851455.0,5.0,U,,5.0,Pembroke Pines,14605,,Brinker International,1-970-240-9990,Anya
FL,9.0,Goy79,Goyette,70.0,7281 northland lower,R,,Canada,,387890.0,2339382.0,2.0,M,,0.0,Palmdale,80076,,Temple-Inland,1-408-684-6459,Enrika
Saskatchewan,7.0,Mok80,Mok-fung,26.0,12481 hayden lower,O,Z,United States of America,679.0,16808.0,,0.0,S,f,2.0,Savannah,V6I 1V6,,Psychiatric Solutions,1-330-353-5908,SONJA
FL,10.0,Run81,Rundle,,2328 gracie avenue,,I,United States of America,356.0,304589.0,2065016.0,4.0,M,,,Amarillo,97307,,Nash-Finch,1-766-726-2675,Liem
UT,9.0,BEL82,BELLEY,58.0,4737 campbell street,R,,United States of America,308.0,48506.0,2454049.0,5.0,S,o,2.0,Anchorage,46237,,AMR,1-938-425-7509,COLLETTE
WY,4.0,BAE83,BAER,43.0,2401 stratmore lower,O,Y,United States of America,412.0,,2423395.0,4.0,M,,0.0,Louisville,V6B 1S6,,Spartan Stores,1-527-308-8874,SIAMACK
NH,4.0,MAU84,MAULDIN,65.0,21477 JUNIPER CRESCENT,O,,United States of America,618.0,358862.0,1342045.0,3.0,D,f,2.0,Hilo,H2d 1x1,,Cigna,1-810-590-0635,Toshihiro
AR,5.0,Koo85,Koohgoli,24.0,19214 YAUPON BOULEVARD,O,,United States of America,429.0,477614.0,861756.0,3.0,S,,5.0,Sudbury,95108,,General Cable,1-274-548-2512,Casey
CT,3.0,Lau86,Lauriston,79.0,7785 rusk boulevard,O,,United States of America,819.0,175414.0,1215349.0,1.0,S,,3.0,Orlando,80050,,Dun & Bradstreet,1-649-754-4601,Daryn
VT,7.0,Man87,Mangum,48.0,18002 cantrell upper,O,L,Canada,552.0,427598.0,3981554.0,1.0,M,F,0.0,Missoula,90122,,Casey's General Stores,1-905-932-1785,Adrianna
Manitoba,9.0,PIE88,PIERCY,69.0,23341 brookside upper,O,,United States of America,587.0,368207.0,3865937.0,4.0,S,,0.0,Abilene,43614,,Jack in the Box,1-031-004-7697,Cortney
NJ,6.0,Bus89,Buscaglia,91.0,20494 ROSS WEST,O,,United States of America,304.0,449944.0,2804700.0,1.0,S,M,3.0,Saskatoon,61110,,Assurant,1-994-812-4796,Duane
KY,4.0,BAB90,BABIONE,75.0,17552 SAVANNAH NORTH,U,,United States of America,795.0,166247.0,3283558.0,5.0,,,5.0,Irvine,70174,,Psychiatric Solutions,1-176-513-4041,Tele
GA,2.0,Bur91,Burkard,85.0,4462 pace crescent,O,,United States of America,830.0,391165.0,450524.0,3.0,S,M,1.0,Reno,90324,APT. 373,Danaher,1-072-244-6337,Ophelia
NJ,3.0,Kin92,Kinsella,76.0,7161 tallowood upper,R,,United States of America,709.0,165854.0,,3.0,M,,5.0,Sacramento,s7d 1n1,,Clorox,1-924-669-9328,lorine
SC,8.0,POM93,POMMAINVILLE,68.0,3489 silver sage west,O,,United States of America,493.0,326181.0,,1.0,S,,2.0,Topeka,93829,,Boyd Gaming,1-598-488-3541,Viole
TN,,BOA94,BOATWRIGHT,95.0,12481 hayden lower,O,,United States of America,680.0,173387.0,633760.0,,M,M,3.0,Rancho Cucamonga,89116,,Eaton,1-295-539-3868,Nani
WY,,Ron95,Ronald,15.0,13210 3RD DRIVE,R,R,United States of America,800.0,301127.0,3634954.0,5.0,M,,1.0,Hilo,94315,,Dynegy,1-554-020-0267,cherey
Ontario,4.0,wei96,weihs,17.0,8899 starling lane,R,A,United States of America,614.0,487230.0,799268.0,5.0,M,,1.0,Saint John,T5b 1u9,,AmeriCredit,1-793-621-4566,Redgie
DC,6.0,Hel97,Helpb,94.0,11480 fennel south,R,P,Canada,763.0,425747.0,39093.0,0.0,,M,4.0,Torrance,T6b 1a5,,SLM,1-787-267-4261,Yousef
Alberta,3.0,mog98,moghe,70.0,7266 cherry upper,O,,United States of America,561.0,401946.0,2705353.0,4.0,S,m,4.0,Santa Clara,60699,,NV Energy,1-668-247-1597,Damaris
ME,4.0,boz99,bozicevich,29.0,10678 ENGLEWOOD WEST,O,,United States of America,569.0,425422.0,3565153.0,2.0,S,,1.0,Torrance,V6p 1s8,,Landstar System,1-901-346-8890,Ilyssa
MA,5.0,Zah100,Zaharychuk,52.0,21181 2ND RUE,O,R,United States of America,634.0,208890.0,2832204.0,1.0,M,,4.0,Stockton,v6i 1p1,,Pacific Life,1-451-273-3803,Moselle
NV,10.0,And101,Andric,51.0,22963 hanover road,O,,United States of America,488.0,67880.0,2194345.0,3.0,U,F,5.0,Paterson,79423,,Textron,1-129-499-9136,Dulsea
WA,5.0,Bam102,Bamfo,24.0,8268 cliffbrook boulevard,O,L,Canada,788.0,133412.0,3737140.0,3.0,W,,2.0,Mesa,H5j 1o6,,Pfizer,1-899-319-0772,Lyndsie
WY,8.0,fro103,frondozo,98.0,5118 montview court,O,,United States of America,333.0,144829.0,464753.0,4.0,D,,3.0,Anchorage,93761,,Cigna,1-053-396-0441,KESLEY
NJ,,Car104,Caron,59.0,17442 tallowood upper,U,J,United States of America,601.0,,596696.0,1.0,M,,1.0,Miami,76150,,Ameren,1-239-665-9540,LAUREL
LA,2.0,muc105,muchow,49.0,4038 WEDGEWOOD STREET,O,V,Canada,595.0,143682.0,1504753.0,4.0,U,f,3.0,Great Falls,99717,,Consolidated Edison,1-605-888-3403,Steen
TX,10.0,gat106,gateau,1.0,20334 anaconda avenue,O,,United States of America,433.0,350020.0,3049281.0,1.0,U,,0.0,Erie,60608,,Occidental Petroleum,1-630-604-2543,noel
SC,10.0,Sch107,Schaefer,79.0,5385 young west,O,M,United States of America,403.0,435103.0,247478.0,,U,F,0.0,Hollywood,v6w 1u4,,Sherwin-Williams,1-851-862-7928,Tracey
TX,3.0,pom108,pomerleau,6.0,2747 SINCLAIR LANE,R,,United States of America,615.0,207768.0,2750301.0,5.0,,,1.0,Tulsa,T5b 1t6,,Affiliated Computer Services,1-065-415-5724,Sarajane
MN,1.0,cuc109,cucuzzella,70.0,8622 BROWNWAY PARK,O,K,United States of America,735.0,407512.0,721333.0,4.0,M,F,0.0,Tucson,23298,,Valassis Communications,1-408-512-1007,Geoffrey
ID,1.0,SUG110,SUGARMAN,23.0,18048 GREEN NORTH,O,Z,United States of America,668.0,403366.0,669440.0,0.0,S,q,3.0,Anchorage,32803,,,1-083-902-4184,loralyn
MI,,Pep111,Pepe,78.0,18994 country boulevard,O,,Canada,349.0,384095.0,2473979.0,5.0,M,,3.0,Sandy,64122,,Smithfield Foods,1-568-403-7081,andrei
OK,,Cha112,Chandrashekar,79.0,16063 ashland road,,,United States of America,654.0,288969.0,3545170.0,,S,f,4.0,Boston,T6b 1h2,SUITE 7,,1-824-389-0618,javad
UT,6.0,SEI113,SEIFERS,72.0,19309 mcfarlin north,O,U,United States of America,361.0,233665.0,1494871.0,3.0,U,m,2.0,Vancouver,22222,Apt. 971,TD Ameritrade,1-174-210-2058,Karna
PA,1.0,GAR114,GARTLEY,31.0,2454 cliffbrook west,U,S,Canada,427.0,147236.0,436164.0,0.0,S,F,4.0,Akron,T6a 1d2,,Comerica,1-425-503-7952,Jocelyn
New Brunswick,1.0,Tou115,Touchette,86.0,15865 strand west,O,,United States of America,322.0,452557.0,1069481.0,3.0,W,M,0.0,Lancaster,v5d 1n9,,Steel Dynamics,1-012-389-9089,Elvera
UT,9.0,Kur116,Kurdziel,,13776 east boulevard,R,V,United States of America,792.0,179305.0,,0.0,S,M,2.0,Concord,23321,,Coca-Cola Enterprises,1-909-472-6704,Nessy
VA,2.0,Her117,Herod,87.0,10570 WEIZMANN LOWER,O,,Canada,478.0,205817.0,2957261.0,0.0,U,,3.0,Chesapeake,90505,,News Corp.,1-622-167-5411,lona
NH,1.0,MCV118,MCVICAR,92.0,15278 walnut hill road,O,P,United States of America,477.0,262711.0,228459.0,5.0,M,,,Flint,19066,,,1-164-511-9338,RHEA
VT,6.0,LAB119,LABFIVE,4.0,23007 WAKEFOREST WAY,O,,Canada,449.0,84810.0,67267.0,5.0,M,F,1.0,Chattanooga,v6s 1r3,,Stater Bros. Holdings,1-804-532-9163,Josefa
FL,2.0,but120,butta,8.0,9088 rivas way,O,,United States of America,466.0,96441.0,1087978.0,4.0,U,,2.0,Billings,78769,,BorgWarner,1-197-370-0297,alikee
NC,2.0,Pro121,Projects,97.0,18798 ullrich road,O,,United States of America,483.0,462762.0,3885967.0,5.0,M,m,0.0,Scottsdale,53769,,CB Richard Ellis Group,1-337-042-5687,dolorita
VA,4.0,Irc122,Irc,,18517 HULEN LOWER,O,,United States of America,588.0,141890.0,3271101.0,4.0,D,,5.0,Oshawa,H7E 1U6,,Zimmer Holdings,1-056-138-5321,Marilyn
DC,2.0,Ziv123,Zivkovic,40.0,11474 dodd lane,O,G,Canada,313.0,156610.0,,5.0,,,5.0,Naperville,e7o 1k1,,Mohawk Industries,1-776-191-2031,robertson
NC,1.0,sim124,simser,95.0,9375 wood south,R,H,United States of America,647.0,164752.0,1999133.0,4.0,U,,1.0,Tampa,90374,,Berkshire Hathaway,1-280-696-2706,Ilsa
MS,2.0,kei125,keifer,92.0,20479 wise avenue,O,I,United States of America,430.0,278949.0,1100786.0,5.0,S,,1.0,Jackson,63169,,Saks,1-857-581-6346,Pen
SC,8.0,arv126,arvin,67.0,19918 ROGERS NORTH,O,P,United States of America,467.0,,563992.0,5.0,W,f,0.0,Hay River,16515,,Gardner Denver,,AUBRETTE
KS,7.0,Pra127,Praeuner,24.0,9284 coffey lower,O,,United States of America,399.0,463736.0,962397.0,2.0,M,F,3.0,Irvine,85309,,Hasbro,1-716-343-0884,Cole
VT,5.0,lue128,lue,26.0,2929 north crescent,O,C,United States of America,654.0,,1064169.0,3.0,M,m,2.0,Idaho Falls,92158,,CBS,1-101-776-2496,liva
IL,3.0,Prz129,Przybycien,62.0,15404 queen street,O,,United States of America,378.0,86667.0,2100059.0,0.0,S,f,2.0,Moreno Valley,33152,,Synnex,1-769-028-0589,Ayaz
FL,10.0,pen130,penn,37.0,1619 greenspoint road,O,J,United States of America,338.0,193470.0,99025.0,1.0,W,f,5.0,Ontario,83729,,Belden,1-005-833-8970,YETTY
MI,10.0,Gua131,Guay,71.0,21477 WARREN PARK,R,S,United States of America,695.0,406379.0,3865481.0,0.0,S,,5.0,Concord,B8b 1z6,,Broadcom,1-884-215-4243,Mary-michelle
Newfoundland,7.0,bre132,brennand,29.0,6503 ROBBINS STREET,U,,Canada,614.0,480595.0,804544.0,3.0,M,F,1.0,Phoenix,53717,,Reynolds American,,agretha
ME,7.0,Sav133,Savanh,89.0,3958 GLEN LOCH BOULEVARD,O,X,United States of America,307.0,181718.0,3143356.0,5.0,S,f,4.0,Coral Springs,t5c 1w7,,Wells Fargo,1-725-177-7815,LOTTY
AL,2.0,ABB134,ABBATANTUONO,11.0,13640 ethridge lower,O,Z,United States of America,331.0,468310.0,,3.0,M,,0.0,Oxnard,37245,,Retail Ventures,1-277-496-5396,Kassey
IN,2.0,OP135,OP,20.0,3981 imperial lower,O,N,United States of America,638.0,354987.0,2311953.0,0.0,S,M,2.0,Brownsville,94401,,AT&T,1-756-463-2201,Adria
NH,3.0,Mer136,Mersinger,75.0,13210 3rd drive,O,,Canada,703.0,284539.0,3120608.0,5.0,W,,3.0,Memphis,B8a 1y3,,Wynn Resorts,1-261-338-7463,audivox
DC,7.0,rut137,rutt,95.0,9297 THROCKMORTON SOUTH,O,,United States of America,302.0,213725.0,2058270.0,5.0,S,F,0.0,Flint,t6b 1k2,,Eastman Kodak,1-811-086-4675,SUE
DC,,bem138,bemis,0.0,8935 YOUNG UPPER,O,I,United States of America,522.0,74195.0,1511983.0,3.0,U,,2.0,Lafayette,85306,,Aramark,1-338-771-1185,Lorenza
MD,,Pen139,Pennington,73.0,3797 RUTGERS PARK,O,,United States of America,,169295.0,439080.0,1.0,M,,5.0,Greensboro,V6R 1R7,,ENSCO International,1-554-231-5318,Enzo
Prince Edward Island,5.0,tor140,torok,39.0,8285 tamarind crescent,R,Y,United States of America,833.0,307832.0,921255.0,0.0,W,M,1.0,Sterling Heights,68513,,Auto-Owners Insurance,1-733-886-5227,claudina
