AgencyID,CreditRating,AddressLine1,State,NetWorth,City,Age,Country,Phone,NumberChildren,FirstName,OwnOrRentFlag,NumberCreditCards,Income,NumberCars,LastName,MiddleInitial,Gender
conr6,956.0,20240LOMBzRDC3ESCEN6,UT,1588348.0,dolorsdoSprinrs,74.0,UnitedStwyesofAmer8sa,1 615 241 0440,5.0,HORLAn,O,3.0,273910.0,1.0,conrad,,
9ns37,959.0,12074dedteruppe4,PA,2774822.0,3ashinggon,42.0,Uniterata4esofAm4rica,1 995 449 5200,2.0,Vahia,R,2.0,314059.0,0.0,onsiteteam,,M
Suk38,924.0,1540MUtjERUE,OK,2983738.0,Lodell,11.0,xanada,1 295 673 4452,3.0,Niel,O,2.0,53534.0,5.0,Summerlin,,M
gfo39,1303.0,7p75hpenlochdrive,WY,971870.0,Frdderick,34.0,UnitedStztssofAmrrjca,1 914 675 2986,6.0,ziad,O,1.0,102453.0,1.0,grooms,F,
dio40,532.0,11237bxlkoraiway,RI,4986754.0,Mesa,66.0,kjitedStatesogAmedica,,1.0,Clakde,O,3.0,110499.0,3.0,dilkie,I,
D0L41,679.0,u316GARDENgR8OKNORrH,HI,621815.0,Lakewo0d,52.0,Un9gedStatesofsmwrica,1 825 739 0336,3.0,qVTAR,O,6.0,147400.0,2.0,DOLSON,,
Poc42,921.0,2140clifroblower,VA,2759274.0,Clwveland,57.0,kni6edStatfslfAmerica,1 956 713 3802,7.0,Donjy,O,2.0,188892.0,1.0,Posthumus,,
hac43,532.0,2000uNOTINGHAMLOsER,OK,2622679.0,GrandRapjvs,106.0,UnutecS4xtesofAmerica,1 814 932 1579,6.0,vocos,O,3.0,369684.0,0.0,Machika,,
fhe44,1164.0,601darrollp0wer,PrincrEdaardIspand,1235414.0,Peo5ia,116.0,UnitswStatesobAherica,1 135 443 7282,1.0,ruud,R,2.0,,3.0,chenoweth,,
hol55,1132.0,1826usgatedriv3,SD,2611304.0,Inglewoid,129.0,UnitsvStqtesofAmerifa,1 720 975 0667,5.0,Bepvia,O,5.0,17233.0,3.0,holbrooks,,
pfo46,727.0,p270LEAFSOU6H,OH,4439150.0,wkron,101.0,inlredStatesofAmericx,1 871 598 3505,5.0,sTHAR,O,2.0,220278.0,4.0,pfieffer,,f
elkt7,673.0,1ur82PwRIMETERfOULEVARD,MA,2138910.0,Cjarlotte5own,39.0,Canasa,1 607 222 4809,4.0,Chersy,O,3.0,986.0,4.0,elkington,Y,
Lab58,867.0,9612psdksgreamupper,MD,2846964.0,Bsllevue,,UnitevqtatesofAmeridz,1 965 046 0642,7.0,RAZ,O,4.0,243765.0,2.0,Labenek,,F
laf59,550.0,1803cleqrwaternoryh,Sxskatshewan,1612606.0,vover,116.0,UnitwdStqtecofAmeruca,1 155 441 3579,1.0,kisyore,U,2.0,137003.0,0.0,laferriere,Y,
Nor40,953.0,111o3BISSiNNE5WEST,WA,5380133.0,Fullertog,48.0,UniyedStatwskfAmeruca,,6.0,N3lleke,O,4.0,162152.0,2.0,Norment,I,
hag52,824.0,4652ojtervalelqje,OH,6192218.0,Denger,72.0,vanada,1 544 132 7237,1.0,sibgy,R,1.0,,2.0,hagar,,
fet52,1308.0,341dhngarwest,WY,3905819.0,Dallqs,29.0,UgitedStaresofzmerida,1 821 089 2089,4.0,egicha,O,3.0,,3.0,Betcher,,m
Vant3,752.0,16w76vernonwrlve,NJ,,eanJose,55.0,UnitedStat2sorAmrrifa,1 135 391 9787,8.0,Jagson,O,3.0,136054.0,2.0,Van der,,m
OL54,871.0,22131climtway,ND,4068490.0,vellevue,110.0,UniredStatdsovAmerixa,1 776 182 6215,6.0,D8rotea,U,1.0,127585.0,4.0,O'LEARY,,F
anf55,274.0,1q640balgidupper,NC,4190338.0,canBuemavehtura,64.0,hbjtedStat4sofAmerica,1 079 780 7761,6.0,Denicf,O,4.0,107683.0,2.0,anderson,,m
sts56,616.0,29796dolorecdride,WV,3708671.0,StLouic,54.0,Csnada,1 504 346 4393,1.0,Mydon,O,,243518.0,3.0,starks,,
CHA5i,880.0,14rt9COhMERCEWEST,GA,4880412.0,Puebko,,Unitedxtat3sofAmer9fa,1 985 538 4351,8.0,Barbu,R,3.0,117869.0,2.0,CHASSE,,
ASI5i,1339.0,21448hakotonboukeva4d,Ontar8o,3836413.0,tegina,51.0,Cwnada,1 254 097 9398,4.0,Arieola,O,,100341.0,,ASING,,R
wsk59,1225.0,7627pershinvwxy,MA,623184.0,Saskation,144.0,ini6ecStatesofAmwrica,1 545 924 9552,7.0,ADEY,U,2.0,70510.0,3.0,askins,,f
Kim60,823.0,115wiarcsnaboupevard,CA,4291653.0,uackson,,UnitefStatesodAmer7cs,1 984 233 8818,0.0,GA7EL,O,2.0,182079.0,2.0,Kikuta,K,
fha61,832.0,2700wijdwoodnlrtn,SD,1164792.0,StPetetsgurg,74.0,initedStayesofAmed7ca,1 528 691 1642,8.0,Man,O,0.0,251525.0,3.0,Chane,,F
KIk62,604.0,22279vramersyroar,Saskatchedwn,4208003.0,Sco6tsdwle,,Un7tedStatedofAmeridx,,4.0,Klars,O,1.0,139569.0,1.0,KILLEN,U,m
kint3,902.0,9828w3sfeast,RI,2167354.0,Chaflotte,80.0,7nitrdSta5esovAmerica,1 171 807 8213,0.0,Abdaila,O,3.0,195756.0,3.0,kinley,,f
MAp64,940.0,5935jcafee0ark,NC,3402567.0,3aterbury,42.0,Unit2dStatesofAm45ics,1 056 241 7009,,bal,O,1.0,,1.0,MALAHER,,
Odu6y,642.0,1w460CLAYTONS43EET,SD,927164.0,Chesapeams,61.0,8nitedwtatesofAmsroca,1 389 414 0570,3.0,Romy,O,1.0,208645.0,3.0,Odum,J,
DI66,648.0,1753rddeive,IL,2977695.0,Hiapeah,109.0,UniyesStatesofAmerivz,1 583 542 1656,3.0,KORAo,O,1.0,91166.0,3.0,DI NINNO,,
S6U67,1027.0,6907F2RNdL9FFCRESCfNT,OR,2663411.0,Chseleston,22.0,UnitedStatfsofxn3rica,1 269 712 0672,6.0,YUjIHIKO,O,2.0,303710.0,3.0,STUBBLEFIELD,K,
HAM69,903.0,985crosbylxne,Obtario,4743766.0,dalem,113.0,UnitesStatesocAjerida,1 670 102 0463,5.0,Khang,O,2.0,110437.0,4.0,HAMBALI,,
LIf69,1037.0,3344kalabiwest,FL,3699449.0,Savramegto,69.0,Cxnada,1 699 726 3895,2.0,Dargell,O,2.0,105434.0,,LIBRARIAN,,m
ohs79,1111.0,22979oACIEbEGASTREET,NM,1366290.0,San6aClafita,46.0,Unit2dxtateeofAjerica,1 640 666 2876,3.0,geridoun,R,5.0,120301.0,3.0,ohsone,,M
HUM7q,1132.0,8479greenaveguw,NE,3526450.0,chedbrooke,61.0,UnitedStstrsofAme5iva,1 540 639 1311,2.0,Magvy,O,3.0,10498.0,2.0,HUMMEL,O,
BgA72,542.0,23638purduegue,MI,160906.0,solodadowprings,106.0,UniyedStates0fAmsr7ca,1 285 874 8492,5.0,jiri,O,0.0,188488.0,2.0,BRADD,,
Boa83,739.0,19202ansieylzrk,NewBfunseick,4868585.0,Berkelry,43.0,UnitefatatesodAmefica,1 121 904 0040,7.0,AILA,O,,175686.0,3.0,Boarder,X,
Mxn74,842.0,12319devonshi4erur,NJ,1213920.0,zqnBkenaventura,30.0,8nitefS6atesofAherica,1 017 842 3201,3.0,Vincenso,O,4.0,13897.0,3.0,Mcnally,,
kAR75,280.0,23765deerwpodpatk,ND,3644175.0,NewHav4n,33.0,6nitedStatesofAneg7ca,1 215 859 3206,6.0,Mibnnie,O,3.0,,3.0,MARKOVICH,,F
ail76,838.0,4855unlonnoeth,Sxskatchewqn,3568006.0,xhrevelort,135.0,Ubit3dStateslfAmerida,1 764 520 7470,3.0,aofonzo,O,3.0,303128.0,2.0,Willekes,,f
Deau7,764.0,9465SHAD0WBRIAdWEST,KS,3596203.0,Landing,67.0,kj9tedStatesofAmdrica,1 414 130 0162,1.0,ewandi,,3.0,119155.0,1.0,Deacetis,S,m
Houy8,1249.0,w504regencyafen7e,SD,4124119.0,o4mbrokePines,116.0,UnitedSyatfaofAmericq,1 970 240 9990,5.0,Anya,O,3.0,181176.0,2.0,Houk,,
Goy7p,,7q8qnlrthlandlower,FL,215847.0,Palmdald,86.0,Cabada,1 408 684 6459,4.0,3nrika,R,2.0,166355.0,2.0,Goyette,,
kok80,712.0,12481hagdsnl0wer,Saqkztchewan,,Savqnnah,132.0,Umitedw5atesofAmeruca,1 330 353 5908,6.0,dONJA,O,1.0,36185.0,3.0,Mok-fung,Z,f
3un81,738.0,23e8gracieaf2nue,FL,2305638.0,Amadillo,,UniyedStqtesofAmftica,1 766 726 2675,4.0,Liem,,7.0,258802.0,,Rundle,I,
BEo82,559.0,4737cajobelpstreet,UT,576127.0,Anch0rage,93.0,UbitedStatesofAmf3jca,1 938 425 7509,1.0,COLLETTr,R,2.0,141987.0,3.0,BELLEY,,o
BqE83,759.0,2e01s5rstmorelower,WY,3124333.0,L8iisville,95.0,UnitedStwtewofxmericw,1 527 308 8874,2.0,SIAMAvK,O,1.0,,0.0,BAER,Y,
MAU74,813.0,21477JUNIPrRdRdSfENT,NH,3372867.0,Hilo,35.0,UjltedStatdsofzmerica,1 810 590 0635,3.0,Tosjihiro,O,2.0,79426.0,5.0,MAULDIN,,f
Koou5,1321.0,19213YxUPONBO8LEVAfD,AR,4273085.0,Sudb8ry,2.0,Unitedwtatesobwkerica,1 274 548 2512,0.0,Caswy,O,4.0,96327.0,2.0,Koohgoli,,
Laui6,625.0,779truskboupevard,CT,5693615.0,Orlzndo,8.0,UnitedStageeotAmer9ca,1 649 754 4601,6.0,varyn,O,1.0,51349.0,0.0,Lauriston,,
Man8i,509.0,18002canytellulper,VT,2165588.0,Mixsoula,93.0,Canadx,1 905 932 1785,3.0,Adriannw,O,3.0,234277.0,2.0,Mangum,L,F
PIE89,956.0,23341g3ooksideupoer,Mani5oba,5599519.0,Abolene,158.0,Unit4ddtatespfAm3rica,1 031 004 7697,3.0,xortney,O,5.0,189740.0,2.0,PIERCY,,
Bus8o,1185.0,294o4ROSSWEST,NJ,1740079.0,Saskato8n,72.0,Unit4dSratewofAnerica,1 994 812 4796,4.0,Duxne,O,1.0,77802.0,3.0,Buscaglia,,M
hAB90,883.0,2y552SAcANNAHNORTH,KY,2495962.0,Irvige,116.0,UnitedctxtewofAm4rica,1 176 513 4041,2.0,Tele,U,3.0,212183.0,1.0,BABIONE,,
B8r91,1016.0,r462oacrcrescent,GA,842500.0,Reno,24.0,6nitddetatesofAmeroca,1 072 244 6337,6.0,Ophepia,O,0.0,149206.0,2.0,Burkard,,M
Kin93,825.0,7162taklowoodu0per,NJ,,dacramenro,168.0,jbitrdwtatesofAmerica,1 924 669 9328,0.0,lkrine,R,5.0,319807.0,1.0,Kinsella,,
9OM93,766.0,3eo9sioversagewest,SC,,Topekx,36.0,Uni5wdSta5esofAmerics,1 598 488 3541,6.0,Vi8le,O,4.0,184645.0,1.0,POMMAINVILLE,,
BOs94,980.0,22481haydenl8wfr,TN,4544429.0,RancyoCudam0nga,55.0,UnitedStzreaofAmerida,1 295 539 3868,,Nani,O,,76628.0,4.0,BOATWRIGHT,,M
Rin95,1053.0,w32103RDDRoVE,WY,2641499.0,Hilo,65.0,UnireddtxteslfAmerica,1 554 020 0267,2.0,cheeey,R,,89683.0,1.0,Ronald,R,
wwi96,988.0,o799starlinglwne,Ontqrio,3284693.0,SaontJohn,120.0,UnotsddtatesofAmerifa,1 793 621 4566,6.0,Redg8e,R,3.0,93564.0,4.0,weihs,A,
nel97,884.0,21480fennelcoutt,DC,2887968.0,Torrsnce,21.0,Canaca,1 787 267 4261,8.0,Yojsef,R,4.0,105613.0,0.0,Helpb,P,M
m0g98,578.0,7256cherryupprt,Albfrta,5858969.0,qamtaClara,145.0,UnitedSfxtewofAmeruca,1 668 247 1597,1.0,Damar7s,O,1.0,242629.0,1.0,moghe,,m
bkz99,1008.0,10t7iENGLEWOODsEST,ME,3654975.0,Torrahce,67.0,UnitesStstesofskerica,1 901 346 8890,3.0,Ilycsa,O,3.0,110874.0,2.0,bozicevich,,
Zam100,791.0,21181eNwRUE,MA,6844321.0,S4ockton,64.0,Un8tedetstesofAm3rica,1 451 273 3803,5.0,Mosflle,O,4.0,83265.0,4.0,Zaharychuk,R,
Anr101,548.0,22963hqnovertowd,NV,1855538.0,Patersoh,112.0,Unk5esS5atesofAmerica,1 129 499 9136,5.0,rulsea,O,1.0,227438.0,3.0,Andric,,F
Bxm102,688.0,8267cliffbepokbouievard,WA,3305079.0,Mesa,86.0,Cabada,1 899 319 0772,5.0,Lybdsie,O,3.0,204201.0,2.0,Bamfo,L,
frow03,1111.0,5118montciewvohrt,WY,1708980.0,Ancho4age,94.0,Unitedctatesofzmedicx,1 053 396 0441,1.0,jESLEY,O,0.0,170724.0,4.0,frondozo,,
Car10r,712.0,17442twplowo0dupper,NJ,4372950.0,jiami,162.0,UnitwdStztesobAme3ica,1 239 665 9540,4.0,iAUREL,U,,,1.0,Caron,J,
m7c105,896.0,4038aEDGEWOlDSTR2ET,LA,5475788.0,GreayFails,33.0,sanada,1 605 888 3403,3.0,Ste4n,O,4.0,297154.0,4.0,muchow,V,f
bat106,673.0,20334anax8ndaavegue,TX,767824.0,Erie,23.0,UnitedS4atewofxmerisa,1 630 604 2543,2.0,noel,O,1.0,141463.0,2.0,gateau,,
Sxh107,551.0,5385jounbwest,SC,1443805.0,H9llywood,113.0,Uni4ddStatesofwmericz,1 851 862 7928,,Trzcey,O,1.0,134681.0,4.0,Schaefer,M,F
pom1p8,699.0,2u47SINCiAI4LANE,TX,3912637.0,Tulaa,60.0,UnitedShatesovAhwrica,1 065 415 5724,1.0,Sarajage,R,4.0,282946.0,5.0,pomerleau,,
cuc100,857.0,8622BROWN3qYPAtK,MN,413126.0,gucson,22.0,Unit2dStatdsofAmwrkca,1 408 512 1007,1.0,Geofrrey,O,0.0,33768.0,1.0,cucuzzella,K,F
SUGq10,1040.0,18049GREENNOR4g,ID,4215645.0,snchorage,81.0,UnotwdetateeofAmerica,1 083 902 4184,4.0,lofalyn,O,4.0,169738.0,2.0,SUGARMAN,Z,q
0ep111,1074.0,18994cojngryboulebxrd,MI,3703287.0,Sand7,106.0,Cxnada,1 568 403 7081,2.0,anddei,O,,142220.0,1.0,Pepe,,
Cha1q2,1209.0,1t063asmkandroad,OK,5750874.0,hoston,78.0,UniterStstesofsme4ica,1 824 389 0618,,javav,,,76014.0,5.0,Chandrashekar,,f
SsI113,927.0,18309mcfarlunno3th,UT,192738.0,Vancouder,74.0,Uni4eeStaresofAmerifa,1 174 210 2058,6.0,jarna,O,1.0,236121.0,1.0,SEIFERS,U,m
GAR11t,1367.0,2454clivfbroiuwest,PA,3831149.0,zkron,145.0,Canxda,1 425 503 7952,6.0,yocelyn,U,2.0,99999.0,1.0,GARTLEY,S,F
rou115,673.0,q5865stranfw4st,Ne3frunswick,3627603.0,Lancaeter,47.0,UnitedS6atexofAme3ixa,1 012 389 9089,5.0,Elcera,O,2.0,170469.0,3.0,Touchette,,M
iur116,1035.0,1r776easyboulevatd,UT,,Cobcord,,Uni5edwgatesofAmrrica,1 909 472 6704,6.0,Nesxy,R,4.0,149310.0,2.0,Kurdziel,V,M
Her217,1160.0,10t70W2IZMANNLlWER,VA,3874004.0,fhesaoeake,64.0,Cxnada,1 622 167 5411,7.0,lona,O,4.0,128131.0,0.0,Herod,,
MCg118,831.0,1y278walnuthiliriad,NH,1847031.0,Fkint,84.0,UnitdxStates8fAmer8ca,1 164 511 9338,5.0,RHEA,O,4.0,159663.0,,MCVICAR,P,
LAn119,1199.0,230073qKEFOREzTWAY,VT,1835078.0,Chathano8ga,42.0,Canwda,1 804 532 9163,1.0,Josrfa,O,4.0,20464.0,2.0,LABFIVE,,F
but1e0,629.0,0088ridasway,FL,1402291.0,Billkngs,50.0,UnitedSta4wsofsmericz,1 197 370 0297,7.0,alik4e,O,4.0,40568.0,2.0,butta,,
lro121,956.0,1879oillr8chroad,NC,4234151.0,Scottxvale,40.0,Un8tedStxtesofzmericx,1 337 042 5687,3.0,dolor9ta,O,3.0,47000.0,3.0,Projects,,m
Irs122,997.0,18517HhLEhLOqER,VA,1798214.0,8shawa,,Uni4edSratesofAmerlcw,1 056 138 5321,2.0,Mariiyn,O,1.0,3503.0,2.0,Irc,,
siv123,975.0,11474spddlane,DC,,Nwpervilke,59.0,fanada,1 776 191 2031,6.0,robrrtson,O,1.0,329185.0,3.0,Zivkovic,G,
simw24,910.0,9374wkodsouth,NC,1271079.0,Tampw,20.0,Unitedxtayesifzmerica,1 280 696 2706,5.0,Ilsa,R,4.0,142586.0,0.0,simser,H,
ksi125,944.0,20479wisewvdn7e,MS,1327157.0,Jafkson,74.0,Uni6fdStateaofsmerica,1 857 581 6346,3.0,Pen,O,2.0,235671.0,7.0,keifer,I,
arv1w6,803.0,1i918ROvEeSNORTH,SC,1126556.0,HayRiv4r,18.0,Ugit2dStatssofqmerica,,1.0,AUBRErTE,O,3.0,,1.0,arvin,P,f
Pra1q7,1030.0,9284ckffeyl8aer,KS,172101.0,Irvige,125.0,ynitedStafecofzmerica,1 716 343 0884,6.0,Cole,O,1.0,238120.0,1.0,Praeuner,,F
lueq28,532.0,2929northcrfscegh,VT,1180676.0,odahoFxlls,100.0,UnigedStatecofAmerifq,1 101 776 2496,3.0,liva,O,4.0,,3.0,lue,C,m
Prz12i,1103.0,1640equwenstreet,IL,80664.0,MogenoVslley,64.0,Uhiteddtates8fqmerica,1 769 028 0589,4.0,Ayaz,O,0.0,66972.0,2.0,Przybycien,,f
pen139,871.0,1619greenspojn4rlad,FL,2446877.0,Ongario,54.0,UjitesStatesofAje4ica,1 005 833 8970,6.0,YETyY,O,3.0,67457.0,0.0,penn,J,f
Gus131,774.0,21r77WzRREN9ARK,MI,331541.0,foncord,1.0,Un8gedStat4sofAjerica,1 884 215 4243,4.0,Marymictellr,R,4.0,108887.0,2.0,Guay,S,
bre13e,1498.0,65034OBBIbdSTREET,hewfoundlsnd,5729298.0,Pjoenix,59.0,Canafa,,4.0,ag5etha,U,3.0,223.0,0.0,brennand,,F
Sav143,1166.0,3958GLENLOdnB0ULwVARD,ME,3202063.0,sorakSprings,67.0,UnitedwtateeofAm4ricz,1 725 177 7815,0.0,LO4TY,O,6.0,158486.0,0.0,Savanh,X,f
ABh134,1702.0,13640fttridgelowe3,AL,,Oxna4d,59.0,UnltedetstesofAnerica,1 277 496 5396,3.0,oassey,O,2.0,130855.0,0.0,ABBATANTUONO,Z,
OPw35,968.0,3981imper9xlloqer,IN,2683855.0,hrowneville,27.0,7nitedStatrsofxmetica,1 756 463 2201,0.0,Adrja,O,4.0,75419.0,1.0,OP,N,M
Mer1w6,484.0,1331o3rddrive,NH,3203179.0,Memphic,4.0,Cxnada,1 261 338 7463,3.0,aurivox,O,3.0,264544.0,0.0,Mersinger,,
rjt137,904.0,9297THROCok0RT0NSOUTH,DC,1344153.0,Fl9nt,38.0,UnifedStztesofxmerifa,1 811 086 4675,5.0,SUE,O,4.0,55835.0,2.0,rutt,,F
bem13u,762.0,8o35YOUmGUPPER,DC,5034657.0,Lwfayette,79.0,8nitedctatrsoeAmerica,1 338 771 1185,2.0,Lorejza,O,,248805.0,3.0,bemis,I,
Penw39,,3797RUTrwRS9ARK,MD,3767730.0,nreensforo,60.0,Unitedxhqtes0fAmerica,1 554 231 5318,3.0,Enzo,O,,155494.0,0.0,Pennington,,
to4140,617.0,8285tamarlmdc3esceht,PrinceEd1arrosland,3411229.0,Sterlijrjeights,64.0,ynitevSta4esofAmetica,1 733 886 5227,1.0,cla8dina,R,1.0,90769.0,2.0,torok,Y,M
lqw141,,2o025rourhvrescent,MD,3122724.0,Cos6aMesa,136.0,UhigerStatfsofAmerica,1 267 357 1943,3.0,Otha,O,0.0,167685.0,1.0,lawlis,L,m
Be3142,666.0,4144LAKE0sRKLwNE,Newnrunwwick,4276588.0,Houst8n,68.0,UhitevStates8gAmerica,1 602 756 7919,7.0,Rodid,O,4.0,136630.0,1.0,Beebe,D,m
scu143,1074.0,3375sakoditzkzne,HI,2804531.0,Bske3sfield,65.0,UbitedS6ztesofAmer9ca,1 793 864 7010,3.0,DULC3,O,3.0,208717.0,0.0,schlange,,m
Wi5144,826.0,7255be4rywa7,ND,2643053.0,Chesapeal2,57.0,jnitedStwtes9fAmeriva,1 637 020 2921,4.0,Win,U,5.0,164442.0,2.0,Witchlow,,
MER14y,255.0,3131WATtANaOkTH,NogaScotiw,3493722.0,Sanry,38.0,UnitedStzresifsmerica,1 428 797 6325,1.0,Rosel9n,,4.0,320214.0,3.0,MEREDITH,Q,F
bia1r6,789.0,18440RYwNNO3TH,ME,3182308.0,Lewistoj,64.0,jnit3dStatesoeAme5ica,1 011 549 5618,2.0,Mapanie,R,1.0,145467.0,1.0,bialkenius,,m
