State,MaritalStatus,NumberChildren,NumberCreditCards,NetWorth,PostalCode,City,FirstName,MiddleInitial,AgencyID,Country,OwnOrRentFlag,Phone,CreditRating,LastName,Age,Gender,Employer,AddressLine1,AddressLine2,NumberCars,Income
MA,W,3.0,0.0,84777.0,92824,Charlottetown,Cherey,Y,elk47,Canada,O,1-607-222-4809,560.0,elkington,51.0,,Pfizer,18582 PERIMETER BOULEVARD,,1.0,9572.0
MD,,5.0,4.0,3146477.0,e4a 1r2,Bellevue,RAZ,,Lab48,United States of America,O,1-965-046-0642,693.0,Labenek,,F,Safeway,9612 park stream upper,,1.0,265369.0
Saskatchewan,S,2.0,0.0,495277.0,H7G 1V4,Dover,kishore,Y,laf49,United States of America,U,1-155-441-3579,346.0,laferriere,58.0,,Simon Property Group,2803 clearwater north,,1.0,104172.0
WA,M,3.0,0.0,746904.0,85039,Fullerton,Nelleke,I,Nor50,United States of America,O,,342.0,Norment,52.0,,Trinity Industries,11103 BISSONNET WEST,,0.0,65550.0
OH,M,0.0,8.0,1219620.0,v6m 1q3,Denver,sibby,,hag51,Canada,R,1-544-132-7237,563.0,hagar,91.0,,Solutia,4652 outervale lane,,2.0,
WY,M,3.0,4.0,1718910.0,X7j 1r1,Dallas,ericha,,Bet52,United States of America,O,1-821-089-2089,391.0,Betcher,17.0,m,,341 dunbar west,,2.0,
NJ,S,4.0,8.0,,B8b 1z5,San Jose,Janson,,Van53,United States of America,O,1-135-391-9787,381.0,Van der,6.0,m,A.O. Smith,16176 vernon drive,,4.0,66244.0
ND,S,3.0,9.0,2636424.0,t5d 1v4,Bellevue,Dorotea,,O'L54,United States of America,U,1-776-182-6215,539.0,O'LEARY,89.0,F,AptarGroup,23131 clint way,,0.0,426954.0
NC,M,4.0,0.0,1326305.0,V6t 1r2,San Buenaventura,Denice,,and55,United States of America,O,1-079-780-7761,497.0,anderson,99.0,m,Coca-Cola,11640 baltic upper,,5.0,126891.0
WV,M,2.0,,2241997.0,91177,St. Louis,Myron,,sta56,Canada,O,1-504-346-4393,661.0,starks,77.0,,Kimberly-Clark,20796 dolores drive,,4.0,454196.0
GA,S,3.0,0.0,1542891.0,T5c 1t1,Pueblo,Barby,,CHA57,United States of America,R,1-985-538-4351,558.0,CHASSE,,,Visteon,14359 COMMERCE WEST,Apt. 275,5.0,163940.0
Ontario,W,1.0,,797918.0,35862,Regina,Ariella,,ASI58,Canada,O,1-254-097-9398,534.0,ASING,90.0,R,TECO Energy,21448 hampton boulevard,,,365213.0
MA,M,0.0,6.0,347654.0,96820,Saskatoon,ADEY,,ask59,United States of America,U,1-545-924-9552,373.0,askins,82.0,f,Bemis,7637 pershing way,,0.0,428739.0
CA,M,0.0,8.0,2456397.0,75238,Jackson,GAYEL,K,Kik60,United States of America,O,1-984-233-8818,382.0,Kikuta,,,Wyeth,11529 arcana boulevard,,4.0,142444.0
SD,S,3.0,10.0,1284229.0,85769,St. Petersburg,Man,,Cha61,United States of America,O,1-528-691-1642,475.0,Chane,15.0,F,United Technologies,2700 windwood north,,3.0,416168.0
Saskatchewan,D,0.0,3.0,618787.0,H5i 1o9,Scottsdale,Klara,U,KIL62,United States of America,O,,539.0,KILLEN,,m,Clorox,22279 gramercy road,,2.0,291420.0
RI,M,5.0,6.0,1171606.0,90849,Charlotte,Abdalla,,kin63,United States of America,O,1-171-807-8213,711.0,kinley,96.0,f,Discovery Communications,9828 west east,,4.0,413501.0
NC,M,,1.0,3983261.0,43644,Waterbury,bal,,MAL64,United States of America,O,1-056-241-7009,606.0,MALAHER,38.0,,Williams-Sonoma,5935 mcafee park,,4.0,
SD,W,3.0,0.0,2328568.0,99213,Chesapeake,Romy,J,Odu65,United States of America,O,1-389-414-0570,494.0,Odum,10.0,,Manitowoc,12460 CLAYTON STREET,,3.0,419143.0
IL,M,5.0,3.0,2078600.0,72226,Hialeah,KORAL,,DI 66,United States of America,O,1-583-542-1656,309.0,DI NINNO,72.0,,Henry Schein,275 3rd drive,,1.0,155057.0
OR,M,5.0,3.0,2986155.0,V6Z 1Q9,Charleston,YUKIHIKO,K,STU67,United States of America,O,1-269-712-0672,630.0,STUBBLEFIELD,97.0,,Trinity Industries,6907 FERNCLIFF CRESCENT,,2.0,313859.0
Ontario,S,1.0,10.0,1864039.0,20082,Salem,Khanh,,HAM68,United States of America,O,1-670-102-0463,330.0,HAMBALI,48.0,,Pepsi Bottling,885 crosby lane,,4.0,265907.0
FL,S,0.0,9.0,1293721.0,35827,Sacramento,Darnell,,LIB69,Canada,O,1-699-726-3895,710.0,LIBRARIAN,97.0,m,UGI,2344 kalani west,,,283481.0
NM,M,0.0,7.0,3850114.0,99692,Santa Clarita,feridoun,,ohs70,United States of America,R,1-640-666-2876,475.0,ohsone,73.0,M,Greif,22870 LA CIENEGA STREET,,4.0,200635.0
NE,U,1.0,3.0,1618743.0,V6c 1q5,Sherbrooke,Magdy,O,HUM71,United States of America,O,1-540-639-1311,596.0,HUMMEL,71.0,,Equifax,8478 green avenue,APT. 143,0.0,434519.0
MI,W,1.0,9.0,3383487.0,80158,Colorado Springs,jiri,,BRA72,United States of America,O,1-285-874-8492,670.0,BRADD,93.0,,,23639 purdue rue,,5.0,392315.0
New Brunswick,U,3.0,,2981876.0,t6d 1b6,Berkeley,AILA,X,Boa73,United States of America,O,1-121-904-0040,722.0,Boarder,53.0,,Freescale Semiconductor,19202 ansley park,,5.0,493829.0
NJ,U,2.0,7.0,2109339.0,33120,San Buenaventura,Vincenzo,,Mcn74,United States of America,O,1-017-842-3201,587.0,Mcnally,32.0,,Aleris International,11319 devonshire rue,,3.0,97489.0
ND,S,3.0,4.0,791803.0,99742,New Haven,Minnnie,,MAR75,United States of America,O,1-215-859-3206,609.0,MARKOVICH,1.0,F,,23665 deerwood park,,4.0,
Saskatchewan,S,1.0,7.0,3523678.0,V6N 1T1,Shreveport,alfonzo,,Wil76,United States of America,O,1-764-520-7470,401.0,Willekes,39.0,f,World Fuel Services,4855 union north,,0.0,383046.0
KS,M,0.0,0.0,1681902.0,44104,Lansing,Swandi,S,Dea77,United States of America,,1-414-130-0162,335.0,Deacetis,77.0,m,R.R. Donnelley & Sons,9466 SHADOWBRIAR WEST,,4.0,1190.0
SD,U,5.0,7.0,3851455.0,14605,Pembroke Pines,Anya,,Hou78,United States of America,O,1-970-240-9990,569.0,Houk,18.0,,Brinker International,3504 regency avenue,,5.0,85733.0
FL,M,2.0,9.0,2339382.0,80076,Palmdale,Enrika,,Goy79,Canada,R,1-408-684-6459,,Goyette,70.0,,Temple-Inland,7281 northland lower,,0.0,387890.0
Saskatchewan,S,0.0,7.0,,V6I 1V6,Savannah,SONJA,Z,Mok80,United States of America,O,1-330-353-5908,679.0,Mok-fung,26.0,f,Psychiatric Solutions,12481 hayden lower,,2.0,16808.0
FL,M,4.0,10.0,2065016.0,97307,Amarillo,Liem,I,Run81,United States of America,,1-766-726-2675,356.0,Rundle,,,Nash-Finch,2328 gracie avenue,,,304589.0
UT,S,5.0,9.0,2454049.0,46237,Anchorage,COLLETTE,,BEL82,United States of America,R,1-938-425-7509,308.0,BELLEY,58.0,o,AMR,4737 campbell street,,2.0,48506.0
WY,M,4.0,4.0,2423395.0,V6B 1S6,Louisville,SIAMACK,Y,BAE83,United States of America,O,1-527-308-8874,412.0,BAER,43.0,,Spartan Stores,2401 stratmore lower,,0.0,
NH,D,3.0,4.0,1342045.0,H2d 1x1,Hilo,Toshihiro,,MAU84,United States of America,O,1-810-590-0635,618.0,MAULDIN,65.0,f,Cigna,21477 JUNIPER CRESCENT,,2.0,358862.0
AR,S,3.0,5.0,861756.0,95108,Sudbury,Casey,,Koo85,United States of America,O,1-274-548-2512,429.0,Koohgoli,24.0,,General Cable,19214 YAUPON BOULEVARD,,5.0,477614.0
CT,S,1.0,3.0,1215349.0,80050,Orlando,Daryn,,Lau86,United States of America,O,1-649-754-4601,819.0,Lauriston,79.0,,Dun & Bradstreet,7785 rusk boulevard,,3.0,175414.0
VT,M,1.0,7.0,3981554.0,90122,Missoula,Adrianna,L,Man87,Canada,O,1-905-932-1785,552.0,Mangum,48.0,F,Casey's General Stores,18002 cantrell upper,,0.0,427598.0
Manitoba,S,4.0,9.0,3865937.0,43614,Abilene,Cortney,,PIE88,United States of America,O,1-031-004-7697,587.0,PIERCY,69.0,,Jack in the Box,23341 brookside upper,,0.0,368207.0
NJ,S,1.0,6.0,2804700.0,61110,Saskatoon,Duane,,Bus89,United States of America,O,1-994-812-4796,304.0,Buscaglia,91.0,M,Assurant,20494 ROSS WEST,,3.0,449944.0
KY,,5.0,4.0,3283558.0,70174,Irvine,Tele,,BAB90,United States of America,U,1-176-513-4041,795.0,BABIONE,75.0,,Psychiatric Solutions,17552 SAVANNAH NORTH,,5.0,166247.0
GA,S,3.0,2.0,450524.0,90324,Reno,Ophelia,,Bur91,United States of America,O,1-072-244-6337,830.0,Burkard,85.0,M,Danaher,4462 pace crescent,APT. 373,1.0,391165.0
NJ,M,3.0,3.0,,s7d 1n1,Sacramento,lorine,,Kin92,United States of America,R,1-924-669-9328,709.0,Kinsella,76.0,,Clorox,7161 tallowood upper,,5.0,165854.0
SC,S,1.0,8.0,,93829,Topeka,Viole,,POM93,United States of America,O,1-598-488-3541,493.0,POMMAINVILLE,68.0,,Boyd Gaming,3489 silver sage west,,2.0,326181.0
TN,M,,,633760.0,89116,Rancho Cucamonga,Nani,,BOA94,United States of America,O,1-295-539-3868,680.0,BOATWRIGHT,95.0,M,Eaton,12481 hayden lower,,3.0,173387.0
WY,M,5.0,,3634954.0,94315,Hilo,cherey,R,Ron95,United States of America,R,1-554-020-0267,800.0,Ronald,15.0,,Dynegy,13210 3RD DRIVE,,1.0,301127.0
Ontario,M,5.0,4.0,799268.0,T5b 1u9,Saint John,Redgie,A,wei96,United States of America,R,1-793-621-4566,614.0,weihs,17.0,,AmeriCredit,8899 starling lane,,1.0,487230.0
DC,,0.0,6.0,39093.0,T6b 1a5,Torrance,Yousef,P,Hel97,Canada,R,1-787-267-4261,763.0,Helpb,94.0,M,SLM,11480 fennel south,,4.0,425747.0
Alberta,S,4.0,3.0,2705353.0,60699,Santa Clara,Damaris,,mog98,United States of America,O,1-668-247-1597,561.0,moghe,70.0,m,NV Energy,7266 cherry upper,,4.0,401946.0
ME,S,2.0,4.0,3565153.0,V6p 1s8,Torrance,Ilyssa,,boz99,United States of America,O,1-901-346-8890,569.0,bozicevich,29.0,,Landstar System,10678 ENGLEWOOD WEST,,1.0,425422.0
MA,M,1.0,5.0,2832204.0,v6i 1p1,Stockton,Moselle,R,Zah100,United States of America,O,1-451-273-3803,634.0,Zaharychuk,52.0,,Pacific Life,21181 2ND RUE,,4.0,208890.0
NV,U,3.0,10.0,2194345.0,79423,Paterson,Dulsea,,And101,United States of America,O,1-129-499-9136,488.0,Andric,51.0,F,Textron,22963 hanover road,,5.0,67880.0
WA,W,3.0,5.0,3737140.0,H5j 1o6,Mesa,Lyndsie,L,Bam102,Canada,O,1-899-319-0772,788.0,Bamfo,24.0,,Pfizer,8268 cliffbrook boulevard,,2.0,133412.0
WY,D,4.0,8.0,464753.0,93761,Anchorage,KESLEY,,fro103,United States of America,O,1-053-396-0441,333.0,frondozo,98.0,,Cigna,5118 montview court,,3.0,144829.0
NJ,M,1.0,,596696.0,76150,Miami,LAUREL,J,Car104,United States of America,U,1-239-665-9540,601.0,Caron,59.0,,Ameren,17442 tallowood upper,,1.0,
LA,U,4.0,2.0,1504753.0,99717,Great Falls,Steen,V,muc105,Canada,O,1-605-888-3403,595.0,muchow,49.0,f,Consolidated Edison,4038 WEDGEWOOD STREET,,3.0,143682.0
TX,U,1.0,10.0,3049281.0,60608,Erie,noel,,gat106,United States of America,O,1-630-604-2543,433.0,gateau,1.0,,Occidental Petroleum,20334 anaconda avenue,,0.0,350020.0
SC,U,,10.0,247478.0,v6w 1u4,Hollywood,Tracey,M,Sch107,United States of America,O,1-851-862-7928,403.0,Schaefer,79.0,F,Sherwin-Williams,5385 young west,,0.0,435103.0
TX,,5.0,3.0,2750301.0,T5b 1t6,Tulsa,Sarajane,,pom108,United States of America,R,1-065-415-5724,615.0,pomerleau,6.0,,Affiliated Computer Services,2747 SINCLAIR LANE,,1.0,207768.0
MN,M,4.0,1.0,721333.0,23298,Tucson,Geoffrey,K,cuc109,United States of America,O,1-408-512-1007,735.0,cucuzzella,70.0,F,Valassis Communications,8622 BROWNWAY PARK,,0.0,407512.0
ID,S,0.0,1.0,669440.0,32803,Anchorage,loralyn,Z,SUG110,United States of America,O,1-083-902-4184,668.0,SUGARMAN,23.0,q,,18048 GREEN NORTH,,3.0,403366.0
MI,M,5.0,,2473979.0,64122,Sandy,andrei,,Pep111,Canada,O,1-568-403-7081,349.0,Pepe,78.0,,Smithfield Foods,18994 country boulevard,,3.0,384095.0
OK,S,,,3545170.0,T6b 1h2,Boston,javad,,Cha112,United States of America,,1-824-389-0618,654.0,Chandrashekar,79.0,f,,16063 ashland road,SUITE 7,4.0,288969.0
UT,U,3.0,6.0,1494871.0,22222,Vancouver,Karna,U,SEI113,United States of America,O,1-174-210-2058,361.0,SEIFERS,72.0,m,TD Ameritrade,19309 mcfarlin north,Apt. 971,2.0,233665.0
PA,S,0.0,1.0,436164.0,T6a 1d2,Akron,Jocelyn,S,GAR114,Canada,U,1-425-503-7952,427.0,GARTLEY,31.0,F,Comerica,2454 cliffbrook west,,4.0,147236.0
New Brunswick,W,3.0,1.0,1069481.0,v5d 1n9,Lancaster,Elvera,,Tou115,United States of America,O,1-012-389-9089,322.0,Touchette,86.0,M,Steel Dynamics,15865 strand west,,0.0,452557.0
UT,S,0.0,9.0,,23321,Concord,Nessy,V,Kur116,United States of America,R,1-909-472-6704,792.0,Kurdziel,,M,Coca-Cola Enterprises,13776 east boulevard,,2.0,179305.0
VA,U,0.0,2.0,2957261.0,90505,Chesapeake,lona,,Her117,Canada,O,1-622-167-5411,478.0,Herod,87.0,,News Corp.,10570 WEIZMANN LOWER,,3.0,205817.0
NH,M,5.0,1.0,228459.0,19066,Flint,RHEA,P,MCV118,United States of America,O,1-164-511-9338,477.0,MCVICAR,92.0,,,15278 walnut hill road,,,262711.0
VT,M,5.0,6.0,67267.0,v6s 1r3,Chattanooga,Josefa,,LAB119,Canada,O,1-804-532-9163,449.0,LABFIVE,4.0,F,Stater Bros. Holdings,23007 WAKEFOREST WAY,,1.0,84810.0
FL,U,4.0,2.0,1087978.0,78769,Billings,alikee,,but120,United States of America,O,1-197-370-0297,466.0,butta,8.0,,BorgWarner,9088 rivas way,,2.0,96441.0
NC,M,5.0,2.0,3885967.0,53769,Scottsdale,dolorita,,Pro121,United States of America,O,1-337-042-5687,483.0,Projects,97.0,m,CB Richard Ellis Group,18798 ullrich road,,0.0,462762.0
VA,D,4.0,4.0,3271101.0,H7E 1U6,Oshawa,Marilyn,,Irc122,United States of America,O,1-056-138-5321,588.0,Irc,,,Zimmer Holdings,18517 HULEN LOWER,,5.0,141890.0
DC,,5.0,2.0,,e7o 1k1,Naperville,robertson,G,Ziv123,Canada,O,1-776-191-2031,313.0,Zivkovic,40.0,,Mohawk Industries,11474 dodd lane,,5.0,156610.0
NC,U,4.0,1.0,1999133.0,90374,Tampa,Ilsa,H,sim124,United States of America,R,1-280-696-2706,647.0,simser,95.0,,Berkshire Hathaway,9375 wood south,,1.0,164752.0
MS,S,5.0,2.0,1100786.0,63169,Jackson,Pen,I,kei125,United States of America,O,1-857-581-6346,430.0,keifer,92.0,,Saks,20479 wise avenue,,1.0,278949.0
SC,W,5.0,8.0,563992.0,16515,Hay River,AUBRETTE,P,arv126,United States of America,O,,467.0,arvin,67.0,f,Gardner Denver,19918 ROGERS NORTH,,0.0,
KS,M,2.0,7.0,962397.0,85309,Irvine,Cole,,Pra127,United States of America,O,1-716-343-0884,399.0,Praeuner,24.0,F,Hasbro,9284 coffey lower,,3.0,463736.0
VT,M,3.0,5.0,1064169.0,92158,Idaho Falls,liva,C,lue128,United States of America,O,1-101-776-2496,654.0,lue,26.0,m,CBS,2929 north crescent,,2.0,
IL,S,0.0,3.0,2100059.0,33152,Moreno Valley,Ayaz,,Prz129,United States of America,O,1-769-028-0589,378.0,Przybycien,62.0,f,Synnex,15404 queen street,,2.0,86667.0
FL,W,1.0,10.0,99025.0,83729,Ontario,YETTY,J,pen130,United States of America,O,1-005-833-8970,338.0,penn,37.0,f,Belden,1619 greenspoint road,,5.0,193470.0
MI,S,0.0,10.0,3865481.0,B8b 1z6,Concord,Mary-michelle,S,Gua131,United States of America,R,1-884-215-4243,695.0,Guay,71.0,,Broadcom,21477 WARREN PARK,,5.0,406379.0
Newfoundland,M,3.0,7.0,804544.0,53717,Phoenix,agretha,,bre132,Canada,U,,614.0,brennand,29.0,F,Reynolds American,6503 ROBBINS STREET,,1.0,480595.0
ME,S,5.0,7.0,3143356.0,t5c 1w7,Coral Springs,LOTTY,X,Sav133,United States of America,O,1-725-177-7815,307.0,Savanh,89.0,f,Wells Fargo,3958 GLEN LOCH BOULEVARD,,4.0,181718.0
AL,M,3.0,2.0,,37245,Oxnard,Kassey,Z,ABB134,United States of America,O,1-277-496-5396,331.0,ABBATANTUONO,11.0,,Retail Ventures,13640 ethridge lower,,0.0,468310.0
IN,S,0.0,2.0,2311953.0,94401,Brownsville,Adria,N,OP135,United States of America,O,1-756-463-2201,638.0,OP,20.0,M,AT&T,3981 imperial lower,,2.0,354987.0
NH,W,5.0,3.0,3120608.0,B8a 1y3,Memphis,audivox,,Mer136,Canada,O,1-261-338-7463,703.0,Mersinger,75.0,,Wynn Resorts,13210 3rd drive,,3.0,284539.0
DC,S,5.0,7.0,2058270.0,t6b 1k2,Flint,SUE,,rut137,United States of America,O,1-811-086-4675,302.0,rutt,95.0,F,Eastman Kodak,9297 THROCKMORTON SOUTH,,0.0,213725.0
DC,U,3.0,,1511983.0,85306,Lafayette,Lorenza,I,bem138,United States of America,O,1-338-771-1185,522.0,bemis,0.0,,Aramark,8935 YOUNG UPPER,,2.0,74195.0
MD,M,1.0,,439080.0,V6R 1R7,Greensboro,Enzo,,Pen139,United States of America,O,1-554-231-5318,,Pennington,73.0,,ENSCO International,3797 RUTGERS PARK,,5.0,169295.0
Prince Edward Island,W,0.0,5.0,921255.0,68513,Sterling Heights,claudina,Y,tor140,United States of America,R,1-733-886-5227,833.0,torok,39.0,M,Auto-Owners Insurance,8285 tamarind crescent,,1.0,307832.0
