distretto,indirizzo2,codice_postale,indirizzo,città,telefono,stato_id,città_id,stato,indirizzo_id
Sind,,99780.0,934 San Felipe de Puerto Plata Street,Shikarpur,196495945706.0,72,472,Pakistan,29
,,58327.0,18 Duisburg Boulevard,Città del Vaticano,998009777982.0,41,121,Holy See (Vatican City State),30
Southern Mindanao,,49521.0,217 Botshabelo Place,Davao,665356572025.0,75,138,Philippines,31
Bihar,,65599.0,1425 Shikarpur Manor,Munger (Monghyr),678220867005.0,44,346,India,32
Yamaguchi,,65750.0,786 Aurora Avenue,Shimonoseki,18461860151.0,50,474,Japan,33
Taipei,,50199.0,1668 Anápolis Street,Lungtan,525255540978.0,92,316,Taiwan,34
West Bengali,,30348.0,33 Gorontalo Way,Kamarhati,745994947458.0,44,257,India,35
Uttar Pradesh,,65213.0,176 Mandaluyong Place,Jhansi,627705991774.0,44,239,India,36
Piemonte,,79388.0,127 Purnea (Purnia) Manor,Alessandria,911872220378.0,49,17,Italy,37
Okayama,,94065.0,61 Tama Street,Kurashiki,708403338270.0,50,284,Japan,38
Midi-Pyrnes,,34021.0,391 Callao Drive,Toulouse,440512153169.0,34,544,France,39
Markazi,,38145.0,334 Munger (Monghyr) Lane,Arak,481183273622.0,46,31,Iran,40
Henan,,47929.0,1440 Fukuyama Loop,Nanyang,912257250465.0,23,362,China,41
Chisinau,,34689.0,269 Cam Ranh Parkway,Chisinau,489783829737.0,61,115,Moldova,42
Esprito Santo,,3989.0,306 Antofagasta Place,Vila Velha,378318851631.0,15,569,Brazil,43
Oriental,,94399.0,671 Graz Street,Nador,680768868518.0,62,353,Morocco,44
Yerevan,,16744.0,42 Brindisi Place,Yerevan,42384721397.0,7,586,Armenia,45
Nonthaburi,,61117.0,1632 Bislig Avenue,Pak Kret,471675840679.0,94,394,Thailand,46
Tahiti,,48942.0,1447 Imus Way,Faaa,539758313890.0,36,167,French Polynesia,47
Lipetsk,,76022.0,1998 Halifax Drive,Lipetsk,177727722820.0,80,308,Russian Federation,48
Antofagasta,,37359.0,1718 Valencia Street,Antofagasta,675292816413.0,22,27,Chile,49
Moscow (City),,23616.0,46 Pjatigorsk Lane,Moscow,262076994845.0,80,343,Russian Federation,50
Cear,,52535.0,686 Garland Manor,Juazeiro do Norte,69493378813.0,15,247,Brazil,51
Tatarstan,,69367.0,909 Garland Manor,Niznekamsk,705800322606.0,80,367,Russian Federation,52
Mekka,,74428.0,725 Isesaki Place,Jedda,876295323994.0,82,237,Saudi Arabia,53
Khartum,,80168.0,115 Hidalgo Parkway,Omdurman,307703950263.0,89,379,Sudan,54
California,,48150.0,1135 Izumisano Parkway,Fontana,171822533480.0,103,171,United States,55
Galicia,,4166.0,939 Probolinggo Loop,A Coruña (La Coruña),680428310138.0,87,1,Spain,56
Chiba,,38594.0,17 Kabul Boulevard,Nagareyama,697760867968.0,50,355,Japan,57
Yamaguchi,,48980.0,1964 Allappuzha (Alleppey) Street,Iwakuni,920811325222.0,50,227,Japan,58
Moskova,,57807.0,1697 Kowloon and New Kowloon Loop,Balašiha,499352017190.0,80,49,Russian Federation,59
Tahiti,,39072.0,1668 Saint Louis Place,Papeete,347487831378.0,36,397,French Polynesia,60
Vaduz,,45428.0,943 Tokat Street,Vaduz,889318963672.0,55,560,Liechtenstein,61
Sarawak,,69226.0,1114 Liepaja Street,Kuching,212869228936.0,59,282,Malaysia,62
Karnataka,,94352.0,1213 Ranchi Parkway,Mysore,800024380485.0,44,350,India,63
Rajasthan,,55561.0,81 Hodeida Way,Jaipur,250767749542.0,44,231,India,64
Basel-Stadt,,83980.0,915 Ponce Place,Basel,1395251317.0,91,56,Switzerland,65
Missouri,,85505.0,1717 Guadalajara Lane,Saint Louis,914090181665.0,103,441,United States,66
Nebraska,,67055.0,1214 Hanoi Way,Lincoln,491001136577.0,103,306,United States,67
Sichuan,,70385.0,1966 Amroha Avenue,Daxian,333489324603.0,23,139,China,68
Cayenne,,71110.0,698 Otsu Street,Cayenne,409983924481.0,35,105,French Guiana,69
Skne ln,,96109.0,1150 Kimchon Manor,Malmö,663449333709.0,90,321,Sweden,70
Hunan,,5135.0,1586 Guarujá Place,Xi´angtan,947233365992.0,23,579,China,71
Madhya Pradesh,,48960.0,57 Arlington Manor,Shivapuri,990214419142.0,44,475,India,72
Béchar,,59025.0,1031 Daugavpils Parkway,Béchar,107137400143.0,2,63,Algeria,73
Mekka,,6856.0,1124 Buenaventura Drive,al-Hawiya,407733804223.0,82,13,Saudi Arabia,74
Eastern Visayas,,50805.0,492 Cam Ranh Street,Baybay,565018274456.0,75,61,Philippines,75
National Capital Reg,,75444.0,89 Allappuzha (Alleppey) Manor,Taguig,255800440636.0,75,517,Philippines,76
Chiayi,,60951.0,1947 Poços de Caldas Boulevard,Chiayi,427454485876.0,92,114,Taiwan,77
São Paulo,,20207.0,1206 Dos Quebradas Place,Rio Claro,241832790687.0,15,431,Brazil,78
Changhwa,,72394.0,1551 Rampur Lane,Changhwa,251164340471.0,92,108,Taiwan,79
Pavlodar,,98889.0,602 Paarl Street,Pavlodar,896314772871.0,51,402,Kazakstan,80
São Paulo,,9223.0,1692 Ede Loop,Araçatuba,918711376618.0,15,30,Brazil,81
Uttar Pradesh,,96709.0,936 Salzburg Lane,Rae Bareli,875756771675.0,44,425,India,82
Kanagawa,,1079.0,586 Tete Way,Kamakura,18581624103.0,50,256,Japan,83
Oyo & Osun,,20936.0,1888 Kabul Drive,Ife,701457319790.0,69,217,Nigeria,84
Mahajanga,,37307.0,320 Baiyin Parkway,Mahajanga,223664661973.0,57,319,Madagascar,85
Krim,,9495.0,927 Bahía Blanca Parkway,Simferopol,821972242086.0,100,479,Ukraine,86
Gauteng,,74671.0,929 Tallahassee Loop,Springs,800716535041.0,85,497,South Africa,87
Puebla,,67912.0,125 Città del Vaticano Boulevard,Atlixco,48417642933.0,60,40,Mexico,88
England,,88002.0,1557 Kütahya Boulevard,Bradford,720998247660.0,102,88,United Kingdom,89
Songkhla,,84931.0,870 Ashqelon Loop,Songkhla,135117278909.0,94,489,Thailand,90
Sucre,,29932.0,1740 Portoviejo Avenue,Sincelejo,198123170793.0,24,480,Colombia,91
Cheju,,82624.0,1942 Ciparay Parkway,Cheju,978987363654.0,86,113,South Korea,92
Buenos Aires,,75543.0,1926 El Alto Avenue,La Plata,846225459260.0,6,289,Argentina,93
Guangdong,,25958.0,1952 Chatsworth Drive,Meixian,991562402283.0,23,332,China,94
Brunei and Muara,,52163.0,1370 Le Mans Avenue,Bandar Seri Begawan,345679835036.0,16,53,Brunei,95
Gois,,17119.0,984 Effon-Alaiye Avenue,Goiânia,132986892228.0,15,183,Brazil,96
Inner Mongolia,,49021.0,832 Nakhon Sawan Manor,Zalantun,275595571388.0,23,592,China,97
Caraga,,53182.0,152 Kitwe Parkway,Bislig,835433605312.0,75,82,Philippines,98
Punjab,,22870.0,1697 Tanauan Lane,Pathankot,4764773857.0,44,399,India,99
Georgia,,30695.0,1308 Arecibo Way,Augusta-Richmond County,6171054059.0,103,41,United States,100
Tete,,71986.0,1599 Plock Drive,Tete,817248913162.0,63,534,Mozambique,101
Abu Dhabi,,92265.0,669 Firozabad Loop,al-Ayn,412903167998.0,101,12,United Arab Emirates,102
Kyongsangbuk,,51540.0,588 Vila Velha Manor,Kimchon,333339908719.0,86,268,South Korea,103
Lipetsk,,97287.0,1913 Kamakura Place,Jelets,942570536750.0,80,238,Russian Federation,104
Asir,,77459.0,733 Mandaluyong Place,Abha,196568435814.0,82,2,Saudi Arabia,105
Ha Darom,,49708.0,659 Vaduz Drive,Ashdod,709935135487.0,48,34,Israel,106
Kwara & Kogi,,3305.0,1177 Jelets Way,Ilorin,484292626944.0,69,220,Nigeria,107
Provence-Alpes-Cte,,80720.0,1386 Yangor Avenue,Toulon,449216226468.0,34,543,France,108
Funafuti,,76383.0,454 Nakhon Sawan Boulevard,Funafuti,963887147572.0,99,173,Tuvalu,109
Ivanovo,,78311.0,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,547003310357.0,80,225,Russian Federation,110
Buenos Aires,,9599.0,1532 Dzerzinsk Way,Merlo,330838016880.0,6,334,Argentina,111
Mxico,,93026.0,1002 Ahmadnagar Manor,Huixquilucan,371490777743.0,60,213,Mexico,112
North West,,30418.0,682 Junan Way,Klerksdorp,622255216127.0,85,273,South Africa,113
Hubei,,61069.0,804 Elista Drive,Enshi,379804592943.0,23,159,China,114
Distrito Federal,,75834.0,1378 Alvorada Avenue,Caracas,272234298332.0,104,102,Venezuela,115
California,,87057.0,793 Cam Ranh Avenue,Lancaster,824370924746.0,103,292,United States,116
Sucre,,10885.0,1079 Tel Aviv-Jaffa Boulevard,Cumaná,358178933857.0,104,132,Venezuela,117
Nordrhein-Westfalen,,24321.0,442 Rae Bareli Place,Duisburg,886636413768.0,38,148,Germany,118
Mxico,,75149.0,1107 Nakhon Sawan Avenue,Nezahualcóyotl,867546627903.0,60,365,Mexico,119
Central Java,,63502.0,544 Malmö Parkway,Pemalang,386759646229.0,45,403,Indonesia,120
Gujarat,,73644.0,1967 Sincelejo Place,Gandhinagar,577812616052.0,44,176,India,121
Texas,,78625.0,333 Goiânia Way,Grand Prairie,909029256431.0,103,185,United States,122
al-Qalyubiya,,96065.0,1987 Coacalco de Berriozábal Loop,Shubra al-Khayma,787654415858.0,29,476,Egypt,123
Risaralda,,76157.0,241 Mosul Lane,Dos Quebradas,765345144779.0,24,147,Colombia,124
Uttar Pradesh,,58186.0,211 Chiayi Drive,Etawah,665993880048.0,44,164,India,125
Lima,,64615.0,1175 Tanauan Way,Lima,937222955822.0,74,305,Peru,126
Uttar Pradesh,,6804.0,117 Boa Vista Way,Varanasi (Benares),677976133614.0,44,566,India,127
Kütahya,,45142.0,848 Tafuna Manor,Kütahya,614935229095.0,97,281,Turkey,128
Gauteng,,60304.0,569 Baicheng Lane,Boksburg,490211944645.0,85,85,South Africa,129
São Paulo,,66255.0,1666 Qomsheh Drive,Poá,582835362905.0,15,410,Brazil,130
Smolensk,,8439.0,801 Hagonoy Drive,Smolensk,237426099212.0,80,484,Russian Federation,131
Slaskie,,4999.0,1050 Garden Grove Avenue,Jastrzebie-Zdrój,973047364353.0,76,236,Poland,132
Shandong,,15819.0,1854 Tieli Street,Liaocheng,509492324775.0,23,302,China,133
Gois,,82639.0,758 Junan Lane,Águas Lindas de Goiás,935448624185.0,15,190,Brazil,134
Taka-Karpatia,,14014.0,1752 São Leopoldo Parkway,Mukatševe,252265130067.0,100,345,Ukraine,135
Free State,,49757.0,898 Belém Manor,Botshabelo,707169393853.0,85,87,South Africa,136
Coahuila de Zaragoza,,83401.0,261 Saint Louis Way,Torreón,321944036800.0,60,541,Mexico,137
al-Qalyubiya,,4285.0,765 Southampton Drive,Qalyub,23712411567.0,29,421,Egypt,138
Maharashtra,,5892.0,943 Johannesburg Avenue,Pune,90921003005.0,44,417,India,139
Karnataka,,81691.0,788 Atšinsk Street,Hubli-Dharwad,146497509724.0,44,211,India,140
Gelderland,,11044.0,1749 Daxian Place,Apeldoorn,963369996279.0,67,29,Netherlands,141
Inner Mongolia,,85769.0,1587 Sullana Lane,Hohhot,468060467018.0,23,207,China,142
Ynlin,,57519.0,1029 Dzerzinsk Manor,Touliu,33173584456.0,92,542,Taiwan,143
Tennessee,,13377.0,1666 Beni-Mellal Place,Clarksville,9099941466.0,103,123,United States,144
Hiroshima,,93762.0,928 Jaffna Loop,Fukuyama,581852137991.0,50,172,Japan,145
Scotland,,60562.0,483 Ljubertsy Parkway,Dundee,581174211853.0,102,149,United Kingdom,146
Kilis,,97700.0,374 Bat Yam Boulevard,Kilis,923261616249.0,97,266,Turkey,147
Minsk,,30861.0,1027 Songkhla Manor,Molodetšno,563660187896.0,13,340,Belarus,148
Gauteng,,3439.0,999 Sanaa Loop,Soshanguve,918032330119.0,85,491,South Africa,149
Michigan,,90732.0,879 Newcastle Way,Sterling Heights,206841104594.0,103,499,United States,150
Saitama,,99457.0,1337 Lincoln Parkway,Urawa,597815221267.0,50,555,Japan,151
Saint-Denis,,92150.0,1952 Pune Lane,Saint-Denis,354615066969.0,79,442,Réunion,152
Massachusetts,,25545.0,782 Mosul Street,Brockton,885899703621.0,103,94,United States,153
Michoacn de Ocampo,,95444.0,781 Shimonoseki Drive,Hidalgo,632316273199.0,60,202,Mexico,154
Shandong,,77777.0,1560 Jelets Boulevard,Laiwu,189446090264.0,23,291,China,155
Assam,,64863.0,1963 Moscow Place,Nagaon,761379480249.0,44,354,India,156
Jakarta Raya,,36061.0,456 Escobar Way,Jakarta,719202533520.0,45,232,Indonesia,157
Shanxi,,76990.0,798 Cianjur Avenue,Yuncheng,499408708580.0,23,590,China,158
Bern,,41778.0,185 Novi Sad Place,Bern,904253967161.0,91,72,Switzerland,159
Ondo & Ekiti,,21294.0,1367 Yantai Manor,Ondo,889538496300.0,69,381,Nigeria,160
Pyongyang-si,,53502.0,1386 Nakhon Sawan Boulevard,Pyongyang,368899174225.0,70,420,North Korea,161
North Carolina,,66639.0,369 Papeete Way,Greensboro,170117068815.0,103,187,United States,162
North Austria,,81037.0,1440 Compton Place,Linz,931059836497.0,9,307,Austria,163
Moskova,,81511.0,1623 Bahía Blanca Manor,Ljubertsy,149981248346.0,80,310,Russian Federation,164
Tel Aviv,,44660.0,97 Shimoga Avenue,Tel Aviv-Jaffa,177167004331.0,48,533,Israel,165
Pays de la Loire,,22853.0,1740 Le Mans Loop,Le Mans,168476538960.0,34,297,France,166
Gifu,,57844.0,1287 Xi´angfan Boulevard,Kakamigahara,819416131190.0,50,253,Japan,167
Adana,,3313.0,842 Salzburg Lane,Tarsus,697151428760.0,97,529,Turkey,168
Xinxiang,,62250.0,154 Tallahassee Loop,Hami,935508855935.0,23,199,China,169
Lilongwe,,76901.0,710 San Felipe del Progreso Avenue,Lilongwe,843801144113.0,58,304,Malawi,170
Maharashtra,,62686.0,1540 Wroclaw Drive,Chandrapur,182363341674.0,44,107,India,171
Gansu,,59571.0,475 Atšinsk Way,Jinchang,201705577290.0,23,240,China,172
Ji´angxi,,70618.0,1294 Firozabad Drive,Pingxiang,161801569569.0,23,407,China,173
Rajasthan,,63337.0,1877 Ezhou Lane,Udaipur,264541743403.0,44,550,India,174
Perak,,58194.0,316 Uruapan Street,Ipoh,275788967899.0,59,223,Malaysia,175
Batman,,47753.0,29 Pyongyang Loop,Batman,734780743462.0,97,58,Turkey,176
Steiermark,,6802.0,1010 Klerksdorp Way,Graz,493008546874.0,9,186,Austria,177
Miranda,,25220.0,1848 Salala Boulevard,Ocumare del Tuy,48265851133.0,104,373,Venezuela,178
Kerala,,4854.0,431 Xi´angtan Avenue,Allappuzha (Alleppey),230250973122.0,44,18,India,179
Skikda,,89668.0,757 Rustenburg Avenue,Skikda,506134035434.0,2,483,Algeria,180
Tamaulipas,,54132.0,146 Johannesburg Way,Matamoros,953689007081.0,60,330,Mexico,181
São Paulo,,47288.0,1891 Rizhao Boulevard,Santa Bárbara d´Oeste,391065549876.0,15,456,Brazil,182
Kirov,,35109.0,1089 Iwatsuki Avenue,Kirovo-Tšepetsk,866092335135.0,80,270,Russian Federation,183
Risaralda,,29747.0,1410 Benin City Parkway,Pereira,104150372603.0,24,405,Colombia,184
Tennessee,,67497.0,682 Garden Grove Place,Memphis,72136330362.0,103,333,United States,185
California,,8862.0,533 al-Ayn Boulevard,Compton,662227486184.0,103,126,United States,186
Gois,,55709.0,1839 Székesfehérvár Parkway,Luziânia,947468818183.0,15,317,Brazil,187
Noord-Brabant,,43310.0,741 Ambattur Manor,´s-Hertogenbosch,302590383819.0,67,438,Netherlands,188
Chaharmahal va Bakht,,65121.0,927 Barcelona Street,Shahr-e Kord,951486492670.0,46,467,Iran,189
West Bengali,,74750.0,435 0 Way,Haldia,760171523969.0,44,195,India,190
Sumy,,38982.0,140 Chiayi Parkway,Sumy,855863906434.0,100,506,Ukraine,191
Caraga,,58852.0,1166 Changhwa Street,Bayugan,650752094490.0,75,62,Philippines,192
Ontario,,5379.0,891 Novi Sad Manor,Oshawa,247646995453.0,20,383,Canada,193
Tabora,,49348.0,605 Rio Claro Parkway,Tabora,352469351088.0,93,513,Tanzania,194
Rostov-na-Donu,,65387.0,1077 San Felipe de Puerto Plata Place,Novotšerkassk,812824036424.0,80,369,Russian Federation,195
Uttar Pradesh,,90845.0,9 San Miguel de Tucumán Manor,Firozabad,956188728558.0,44,169,India,196
Nyanza,,10428.0,447 Surakarta Loop,Kisumu,940830176580.0,52,271,Kenya,197
Tokyo-to,,32114.0,345 Oshawa Boulevard,Hino,104491201771.0,50,204,Japan,198
Nordrhein-Westfalen,,15540.0,1792 Valle de la Pascua Place,Siegen,419419591240.0,38,477,Germany,199
Baden-Wrttemberg,,36490.0,1074 Binzhou Manor,Mannheim,331132568928.0,38,325,Germany,200
Ji´angsu,,89459.0,817 Bradford Loop,Changzhou,264286442804.0,23,109,China,201
Ondo & Ekiti,,1545.0,955 Bamenda Way,Ikerre,768481779568.0,69,218,Nigeria,202
Haiphong,,95824.0,1149 A Coruña (La Coruña) Boulevard,Haiphong,470884141195.0,105,194,Vietnam,203
Ahal,,8073.0,387 Mwene-Ditu Drive,Ashgabat,764477681869.0,98,35,Turkmenistan,204
Nordrhein-Westfalen,,4662.0,68 Molodetšno Manor,Witten,146640639760.0,38,575,Germany,205
Maharashtra,,3924.0,642 Nador Drive,Bhusawal,369050085652.0,44,77,India,206
Sulawesi Utara,,61613.0,1688 Nador Lane,Gorontalo,652218196731.0,45,184,Indonesia,207
Usak,,25238.0,1215 Pyongyang Parkway,Usak,646237101779.0,97,557,Turkey,208
Alto Paran,,86599.0,1679 Antofagasta Street,Ciudad del Este,905903574913.0,73,122,Paraguay,209
Santa Catarina,,10925.0,1304 ´s-Hertogenbosch Way,Blumenau,90336226227.0,15,83,Brazil,210
Kitaa,,10800.0,850 Salala Loop,Nuuk,403404780639.0,40,371,Greenland,211
West Bengali,,89959.0,624 Oshawa Boulevard,Balurghat,49677664184.0,44,51,India,212
Rajasthan,,4855.0,43 Dadu Avenue,Bhilwara,95666951770.0,44,74,India,213
Aden,,99405.0,751 Lima Loop,Aden,756460337785.0,107,7,Yemen,214
Jilin,,82161.0,1333 Haldia Street,Fuyu,408304391718.0,23,174,China,215
Taizz,,67924.0,1001 Miyakonojo Lane,Taizz,584316724815.0,107,518,Yemen,217
California,,2299.0,226 Brest Manor,Sunnyvale,785881412500.0,103,508,United States,218
Haskovo,,99124.0,1229 Valencia Parkway,Stara Zagora,352679173732.0,17,498,Bulgaria,219
Gois,,21464.0,1201 Qomsheh Manor,Aparecida de Goiânia,873492228462.0,15,28,Brazil,220
Uttar Pradesh,,22474.0,866 Shivapuri Manor,Sambhal,778502731092.0,44,448,India,221
Kabol,,40301.0,1168 Najafabad Parkway,Kabul,886649065861.0,1,251,Afghanistan,222
Buenos Aires,,20657.0,1244 Allappuzha (Alleppey) Place,Vicente López,991802825778.0,6,567,Argentina,223
Zanzibar West,,94420.0,1842 Luziânia Boulevard,Zanzibar,706878974831.0,93,593,Tanzania,224
Sisilia,,22824.0,1926 Gingoog Street,Syrakusa,469738825391.0,49,511,Italy,225
Punjab,,88307.0,1820 Maringá Parkway,Mandi Bahauddin,99760893676.0,72,324,Pakistan,227
Rajasthan,,82338.0,60 Poços de Caldas Street,Jodhpur,963063788669.0,44,243,India,228
Tamil Nadu,,66851.0,1014 Loja Manor,Ambattur,460795526514.0,44,22,India,229
Asunción,,64344.0,201 Effon-Alaiye Way,Asunción,684192903087.0,73,37,Paraguay,230
Saarland,,47446.0,430 Alessandria Loop,Saarbrücken,669828224459.0,38,439,Germany,231
Phnom Penh,,87911.0,754 Valencia Place,Phnom Penh,594319417514.0,18,406,Cambodia,232
Gois,,93323.0,356 Olomouc Manor,Anápolis,22326410776.0,15,26,Brazil,233
Botosani,,50598.0,1256 Bislig Boulevard,Botosani,479007229460.0,78,86,Romania,234
West Bengali,,42420.0,954 Kimchon Place,Uttarpara-Kotrung,541327526474.0,44,559,India,235
Kaduna,,31390.0,885 Yingkou Manor,Zaria,588964509072.0,69,596,Nigeria,236
Qina,,98775.0,1736 Cavite Place,Idfu,431770603551.0,29,216,Egypt,237
Hawalli,,90628.0,346 Skikda Parkway,Jalib al-Shuyukh,630424482919.0,53,233,Kuwait,238
Valle,,76448.0,98 Stara Zagora Boulevard,Buenaventura,610173756082.0,24,96,Colombia,239
Southern Tagalog,,18727.0,1479 Rustenburg Boulevard,Tanza,727785483194.0,75,527,Philippines,240
Chollanam,,36971.0,647 A Coruña (La Coruña) Street,Naju,792557457753.0,86,357,South Korea,241
Karnataka,,14408.0,1964 Gijón Manor,Shimoga,918119601885.0,44,473,India,242
West Java,,22236.0,47 Syktyvkar Lane,Ciomas,63937119031.0,45,118,Indonesia,243
Fukushima,,1921.0,1148 Saarbrücken Parkway,Iwaki,137773001988.0,50,226,Japan,244
Hubei,,87660.0,1103 Bilbays Parkway,Xi´angfan,279979529227.0,23,578,China,245
Hebei,,28349.0,1246 Boksburg Parkway,Qinhuangdao,890283544295.0,23,422,China,246
Tucumn,,37288.0,1483 Pathankot Street,San Miguel de Tucumán,686015532180.0,6,454,Argentina,247
Central Visayas,,27722.0,582 Papeete Loop,Lapu-Lapu,569868543137.0,75,294,Philippines,248
Kyonggi,,81314.0,300 Junan Street,Uijongbu,890289150158.0,86,553,South Korea,249
Paraná,,6461.0,829 Grand Prairie Way,Maringá,741070712873.0,15,328,Brazil,250
Mxico,,75933.0,1473 Changhwa Parkway,Coacalco de Berriozábal,266798132374.0,60,124,Mexico,251
Florida,,57338.0,1309 Weifang Street,Tallahassee,435785045362.0,103,520,United States,252
Tianjin,,38140.0,1760 Oshawa Manor,Tianjin,56257502250.0,23,535,China,253
Oyo & Osun,,98332.0,786 Stara Zagora Way,Oyo,716256596301.0,69,390,Nigeria,254
Anhalt Sachsen,,36481.0,1966 Tonghae Street,Halle/Saale,567359279425.0,38,198,Germany,255
England,,3433.0,1497 Yuzhou Drive,London,246810237916.0,102,312,United Kingdom,256
Miyazaki,,32474.0,752 Ondo Loop,Miyakonojo,134673576619.0,50,338,Japan,258
Minas Gerais,,45403.0,1338 Zalantun Lane,Poços de Caldas,840522972766.0,15,413,Brazil,259
Central Luzon,,20777.0,127 Iwakuni Boulevard,Hagonoy,987442542471.0,75,192,Philippines,260
Sagaing,,68146.0,51 Laredo Avenue,Monywa,884536620568.0,64,342,Myanmar,261
Sofala,,86768.0,771 Yaoundé Manor,Beira,245477603573.0,63,64,Mozambique,262
Santiago,,69517.0,532 Toulon Street,Santiago de los Caballeros,46871694740.0,27,460,Dominican Republic,263
West Bengali,,50390.0,1027 Banjul Place,Halisahar,538241037443.0,44,197,India,264
Shanxi,,98484.0,1158 Mandi Bahauddin Parkway,Datong,276555730211.0,23,136,China,265
Cagayan Valley,,30065.0,862 Xintai Lane,Tuguegarao,265153400632.0,75,548,Philippines,266
Manab,,93629.0,816 Cayenne Parkway,Portoviejo,282874611748.0,28,414,Ecuador,267
National Capital Reg,,51990.0,1831 Nam Dinh Loop,Mandaluyong,322888976727.0,75,323,Philippines,268
Osaka,,19428.0,446 Kirovo-Tšepetsk Lane,Higashiosaka,303967439816.0,50,203,Japan,269
Severn Morava,,20536.0,682 Halisahar Place,Olomouc,475553436330.0,26,378,Czech Republic,270
Salzburg,,5410.0,1587 Loja Manor,Salzburg,621625204422.0,9,447,Austria,271
Hunan,,53928.0,1762 Paarl Parkway,Lengshuijiang,192459639410.0,23,298,China,272
Kerala,,49298.0,1519 Ilorin Place,Palghat (Palakkad),357445645426.0,44,395,India,273
California,,75090.0,920 Kumbakonam Loop,Salinas,685010736240.0,103,446,United States,274
Wielkopolskie,,83565.0,906 Goiânia Way,Kalisz,701767622697.0,76,255,Poland,275
Tamil Nadu,,11763.0,1675 Xi´angfan Manor,Kumbakonam,271149517630.0,44,283,India,276
Shandong,,46063.0,85 San Felipe de Puerto Plata Drive,Yantai,170739645687.0,23,584,China,277
Guanajuato,,2012.0,144 South Hill Loop,Salamanca,45387294817.0,60,445,Mexico,278
Haryana,,85548.0,1884 Shikarpur Avenue,Karnal,959949395183.0,44,263,India,279
Illinois,,89502.0,1980 Kamjanets-Podilskyi Street,Peoria,874337098891.0,103,404,United States,280
Michigan,,24645.0,1944 Bamenda Way,Warren,75975221996.0,103,573,United States,281
Oyo & Osun,,55802.0,556 Baybay Manor,Ogbomosho,363982224739.0,69,374,Nigeria,282
Bursa,,56254.0,457 Tongliao Loop,Inegöl,880756161823.0,97,222,Turkey,283
East Azerbaidzan,,96204.0,600 Bradford Street,Tabriz,117592274996.0,46,514,Iran,284
Ondo & Ekiti,,36229.0,1006 Santa Bárbara d´Oeste Manor,Owo,85059738746.0,69,389,Nigeria,285
Ponce,,8160.0,1405 Chisinau Place,Ponce,62781725285.0,77,411,Puerto Rico,287
Xinxiang,,58492.0,226 Halifax Street,Korla,790651020929.0,23,277,China,288
Edo & Delta,,75860.0,1279 Udine Parkway,Benin City,195003555232.0,69,69,Nigeria,289
