gncd,ncm,mrtlstts,mddlntl,nmbrchldrn,mplr,ntwrth,ddrssln1,crdtrtng,nmbrcrdtcrds,cntr,ct,stt,phn,nmbrcrs,g,wnrrntflg
mpz7516,302205.0,M,G,4.0,Superior Energy Services,242246.0,,623.0,5.0,United States of America,Rochester,ID,1-814-158-3550,1.0,18.0,O
Jhc7517,367555.0,S,s,1.0,Monsanto,1217660.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,845.0,1.0,United States of America,Garden Grove,TX,1-420-580-0795,1.0,79.0,O
dbq7518,106025.0,M,l,5.0,Newfield Exploration,1229655.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,645.0,7.0,United States of America,Tampa,New Brunswick,1-924-305-1666,4.0,36.0,U
Xch7519,106690.0,W,,2.0,Loews,1157831.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,495.0,1.0,Canada,Fullerton,Alberta,1-450-082-2122,2.0,21.0,O
oir7520,29373.0,M,Z,2.0,Apache,,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,371.0,8.0,Canada,Washington,PA,1-573-009-1404,2.0,4.0,O
Fqb7521,168189.0,S,O,3.0,Robert Half International,,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,462.0,1.0,United States of America,Norfolk,Nova Scotia,1-603-897-9894,2.0,72.0,R
qex7522,264756.0,S,,,Viacom,3467922.0,Dmyivtczopuqajpnjqvvgbhxynvduub,375.0,7.0,United States of America,Sydney,RI,1-947-161-6502,,1.0,U
Hpi7523,44480.0,S,,2.0,Robert Half International,46859.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,516.0,10.0,Canada,Winnipeg,OR,1-586-826-9847,1.0,98.0,U
Fjd7524,87207.0,,,5.0,CSX,2937668.0,Esuycdxsjfbrqbtluspxsehk,703.0,,Canada,Wilmington,CA,1-217-243-2668,1.0,35.0,R
Cgt7525,238434.0,W,,2.0,Country Financial Services,2388613.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,734.0,7.0,United States of America,El Monte,MO,1-857-211-5728,4.0,99.0,O
Lwx7526,,M,,2.0,Procter & Gamble,3116283.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,469.0,4.0,United States of America,Sterling Heights,Prince Edward Island,1-089-966-6281,0.0,49.0,U
epy7527,391354.0,S,,0.0,Ingles Markets,2671950.0,vnyndcximwxhecv,595.0,2.0,United States of America,Pembroke Pines,Quebec,,3.0,72.0,O
Aff7528,419165.0,U,M,0.0,Forest Laboratories,3899593.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,410.0,1.0,United States of America,Philadelphia,KS,1-231-342-6874,3.0,41.0,O
mfc7529,396509.0,W,S,2.0,Dentsply International,2537332.0,,475.0,10.0,Canada,Glendale,NV,,3.0,54.0,O
Slf7530,145161.0,,S,2.0,RadioShack,733236.0,GVSBHGBDDVJFNNOZNNPJWCOI,,2.0,United States of America,El Monte,TN,1-602-637-1838,0.0,11.0,R
Cxu7531,263206.0,W,,5.0,Century Aluminum,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,519.0,3.0,United States of America,Warwick,WY,1-003-982-8627,2.0,0.0,O
GZO7532,190371.0,D,F,3.0,,3397276.0,BIQIOQOHLQSTBRUFOI,841.0,5.0,United States of America,Milwaukee,British Columbia,1-136-358-6852,3.0,27.0,U
DRW7533,203968.0,U,A,1.0,FPL Group,2444257.0,Llfaqkbemnoy,540.0,6.0,United States of America,Phoenix,LA,1-123-528-2965,3.0,95.0,O
set7534,428323.0,U,N,3.0,Lockheed Martin,71520.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,540.0,10.0,United States of America,Anchorage,HI,1-136-565-2501,1.0,35.0,R
Pyo7535,159980.0,M,,1.0,Sanmina-SCI,1911091.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,6.0,United States of America,Madison,NY,1-317-986-1984,4.0,96.0,O
FSH7536,266852.0,W,,0.0,Iron Mountain,988775.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,424.0,6.0,Canada,Fontana,TX,1-265-603-1262,0.0,96.0,O
Tdx7537,206973.0,M,,5.0,OfficeMax,3919363.0,,623.0,2.0,United States of America,Charlotte,AZ,,5.0,49.0,R
Sbn7538,258221.0,S,O,1.0,AMR,428918.0,atydogjpqphuwhegtbukkqiaeakrtrn,792.0,4.0,Canada,Richmond,ME,1-156-668-6882,5.0,,O
Piq7539,428508.0,S,C,4.0,Kohl's,58134.0,Hlotorcbtobuceb,718.0,6.0,United States of America,Santa Clarita,NH,1-164-648-3203,4.0,27.0,O
IXD7540,,M,,0.0,Cigna,3703767.0,gsrdigbqfwrahybxrtm,401.0,6.0,,Yellow Knife,KY,1-839-795-1027,4.0,98.0,O
wsn7541,58953.0,M,,5.0,West,433859.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,557.0,2.0,United States of America,Oxnard,Prince Edward Island,1-958-412-4252,4.0,,R
Jkp7542,409682.0,W,A,5.0,Monsanto,3002044.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,393.0,7.0,United States of America,Huntington Beach,British Columbia,1-392-335-1020,5.0,56.0,O
CCF7543,340191.0,M,,4.0,Reliant Energy,1124168.0,,557.0,10.0,United States of America,Durham,CT,1-912-050-7605,2.0,94.0,
ylj7544,238216.0,U,,5.0,Idearc,2081541.0,RELJYREDKQEKGOORBLRKOUIC,465.0,5.0,United States of America,Naperville,WA,1-075-551-9919,4.0,98.0,O
ZBB7545,113171.0,M,V,1.0,Neiman Marcus,1897076.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,,6.0,Canada,Albuquerque,ND,1-013-611-2674,0.0,8.0,O
fqe7546,234797.0,W,,,O'Reilly Automotive,235172.0,Yewxbqpnfgh,485.0,10.0,United States of America,Newark,ID,1-656-865-7544,5.0,90.0,
Wpw7547,225322.0,M,,2.0,Cliffs Natural Resources,639573.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,303.0,2.0,United States of America,Miami,Quebec,1-879-870-7379,4.0,34.0,
vpz7548,192689.0,W,,2.0,Health Management Associates,2667082.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,846.0,4.0,Canada,London,ID,1-366-625-9813,1.0,25.0,O
Yfz7549,348685.0,,,4.0,Chevron,2598634.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,621.0,1.0,Canada,Worcester,AL,1-359-462-7089,5.0,50.0,O
dou7550,401229.0,D,,4.0,Exide Technologies,1074671.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,331.0,,United States of America,Jacksonville,UT,,3.0,85.0,O
FDJ7551,38597.0,M,,4.0,Convergys,2272997.0,hfuyqlsmbesrylepu,401.0,9.0,United States of America,Nashua,MS,1-153-396-8333,5.0,60.0,R
ufu7552,,S,,2.0,Dominion Resources,702000.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,644.0,0.0,United States of America,Newport News,AK,1-144-623-1308,2.0,95.0,R
bbg7553,161204.0,M,H,1.0,Sentry Insurance Group,1289800.0,qgjnvpwvmgsqzcanzncon,769.0,5.0,United States of America,Corona,VT,1-269-220-8046,4.0,8.0,R
Znk7554,202650.0,M,v,4.0,Cintas,1007390.0,HNBGLUDIOAJRCCIXGDUQOO,481.0,2.0,,Lincoln,LA,1-052-524-0130,3.0,31.0,O
CGQ7555,,U,T,2.0,Medtronic,124290.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,732.0,7.0,Canada,Toronto,CT,1-335-871-6660,1.0,51.0,O
add7556,492433.0,M,,4.0,Pride International,1820002.0,dnlleihfh,802.0,2.0,United States of America,Fayetteville,UT,1-637-394-8083,4.0,24.0,O
Anw7557,344858.0,M,J,4.0,A. Schulman,2200347.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,329.0,5.0,Canada,Charlotte,IN,1-706-795-4208,2.0,78.0,O
Hvt7558,197290.0,W,,0.0,Oneok,3669569.0,Wsjaujjdexc,839.0,0.0,United States of America,Tulsa,WI,1-622-347-5699,5.0,56.0,R
Yqj7559,283654.0,U,d,,Danaher,2140537.0,Ojberg,539.0,,United States of America,Winston-Salem,WA,1-042-017-9368,2.0,50.0,
Ztn7560,317423.0,M,,5.0,Del Monte Foods,3258909.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,561.0,4.0,United States of America,Thousand Oaks,LA,1-829-935-5979,4.0,52.0,R
bni7561,399126.0,W,,5.0,American Electric Power,1825422.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,814.0,2.0,United States of America,Lubbock,VT,1-076-726-5283,4.0,14.0,O
swx7562,398180.0,M,,0.0,TJX,1845263.0,Xwtkpxqgohxwxnv,305.0,7.0,United States of America,Winnipeg,CT,,5.0,29.0,R
DSA7563,,S,P,4.0,Philip Morris International,1463114.0,Qpvmtkxxfef,457.0,4.0,United States of America,Laredo,RI,1-284-129-5920,2.0,50.0,O
BXZ7564,485429.0,U,,1.0,Cincinnati Financial,2354683.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,349.0,8.0,United States of America,Overland Park,SC,1-128-308-8886,4.0,67.0,O
pcz7565,118018.0,M,,0.0,Stryker,436677.0,KRYAIAJGKHBKXBLC,590.0,0.0,United States of America,Calgary,British Columbia,1-145-469-5971,2.0,22.0,O
Zqa7566,309693.0,U,,4.0,Kansas City Southern,2383335.0,,533.0,0.0,United States of America,Peoria,CO,1-727-684-7767,5.0,20.0,O
Htl7567,90718.0,W,z,0.0,IDT,2574739.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,686.0,9.0,Canada,Durham,TN,1-776-201-2472,4.0,75.0,O
afw7568,280645.0,U,L,0.0,Vornado Realty Trust,1596838.0,VBDCWYVK,582.0,10.0,United States of America,Pueblo,CA,1-767-942-1278,2.0,60.0,O
Wna7569,231559.0,S,,4.0,Dollar General,591965.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,807.0,0.0,United States of America,Las Cruces,WY,1-723-062-7266,,,O
Mlh7570,36898.0,S,,5.0,Safeway,3071440.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,819.0,3.0,United States of America,Chula Vista,SD,,3.0,48.0,O
Gor7571,396786.0,M,,0.0,Apache,2683081.0,Gwxymofcy,311.0,5.0,United States of America,San Diego,British Columbia,1-145-314-0862,2.0,91.0,R
ENX7572,344365.0,U,,5.0,Lowe's,3850483.0,Qynjnmfgwxpmrw,734.0,3.0,United States of America,Chicago,NJ,1-735-104-7772,2.0,98.0,O
fgr7573,1205.0,W,,1.0,Lithia Motors,1870617.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,432.0,1.0,United States of America,Worcester,AK,,4.0,51.0,O
Ysh7574,276666.0,S,a,0.0,CH2M Hill,1249534.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,394.0,3.0,United States of America,Honolulu,OH,1-518-116-1411,5.0,22.0,O
Mos7575,497953.0,U,I,0.0,Tellabs,3789880.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,658.0,1.0,United States of America,Albuquerque,New Brunswick,1-696-359-4829,0.0,57.0,O
czu7576,156048.0,M,,2.0,Phillips-Van Heusen,3874445.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,348.0,3.0,Canada,Oakland,IL,1-352-678-5471,1.0,38.0,O
Ghr7577,63617.0,M,Z,5.0,Wells Fargo,437353.0,BESJDYZDIOIXKDFEHBQXBPW,598.0,8.0,United States of America,Billings,AZ,1-906-600-9749,1.0,68.0,O
Rwk7578,244849.0,U,,2.0,Vornado Realty Trust,2669917.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,505.0,9.0,United States of America,Pueblo,NY,1-093-018-2851,2.0,93.0,O
Uwi7579,123585.0,S,,3.0,New York Times,1466537.0,Ivwhotvobwkshcixclfobqoljlaqohw,839.0,7.0,United States of America,Sherbrooke,WA,1-302-096-9321,4.0,48.0,R
VXZ7580,391134.0,S,,1.0,Adobe Systems,991860.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,672.0,2.0,United States of America,Sacramento,GA,1-915-044-3154,1.0,96.0,U
Ayk7581,426759.0,M,p,5.0,Valmont Industries,,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,696.0,3.0,United States of America,Charlotte,AZ,1-040-274-3474,5.0,58.0,O
lho7582,451737.0,W,,3.0,UAL,1816368.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,448.0,5.0,United States of America,El Paso,NV,1-678-397-2739,5.0,63.0,O
rzi7583,180822.0,S,,1.0,AFLAC,565246.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,549.0,9.0,United States of America,Mesa,TN,1-679-345-9939,2.0,18.0,O
Wds7584,205843.0,W,,2.0,VeraSun Energy,1899339.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,705.0,0.0,United States of America,Simi Valley,AL,1-093-616-0613,4.0,40.0,O
Xsj7585,470985.0,M,f,3.0,Magellan Health Services,3873239.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,387.0,6.0,United States of America,St. Catharines,TX,1-546-131-8988,4.0,29.0,O
Lux7586,318225.0,U,v,1.0,Emcor Group,767547.0,Nhgrkzjzcrjcerkwrugwul,359.0,7.0,United States of America,Washington,WV,1-477-186-7432,2.0,21.0,
wxw7587,326044.0,M,,2.0,Peabody Energy,1027999.0,,494.0,9.0,Canada,Chula Vista,ND,1-965-848-6954,2.0,41.0,O
pfz7588,,M,e,1.0,State Farm Insurance Cos.,3428495.0,uiaoi,345.0,10.0,United States of America,Montpelier,Saskatchewan,1-622-866-0937,1.0,56.0,
hlx7589,187282.0,M,,0.0,Humana,1827180.0,Wwonzdtvwkn,402.0,10.0,United States of America,Mesa,VA,1-040-217-2014,2.0,33.0,O
nyb7590,,M,,0.0,News Corp.,2070007.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,579.0,3.0,United States of America,New Haven,ND,1-101-684-2373,2.0,96.0,O
Ltt7591,,,O,0.0,Torchmark,,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,569.0,2.0,United States of America,Indianapolis,ND,1-386-426-5849,2.0,35.0,O
gsz7592,306946.0,W,,4.0,Rock-Tenn,3596263.0,cezvfwtftwlwfrgrpxtuejvrgucexe,745.0,9.0,United States of America,Stockton,MS,1-598-816-0126,0.0,40.0,O
Kwp7593,99663.0,D,,,AGCO,3719999.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,320.0,1.0,,Louisville,WY,1-770-379-7700,0.0,10.0,U
AGM7594,482013.0,M,D,4.0,,3058439.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,591.0,4.0,United States of America,Atlanta,MA,,2.0,59.0,R
Ocn7595,180476.0,M,u,0.0,United Stationers,2592932.0,Ctgihaqlm,,10.0,United States of America,Milwaukee,AK,1-628-245-6238,1.0,70.0,U
Cmw7596,285682.0,M,,5.0,McCormick,1471273.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,417.0,5.0,United States of America,Fort Smith,PA,1-813-787-2611,4.0,69.0,
Dit7597,455032.0,M,V,5.0,National Life Group,,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,338.0,8.0,United States of America,Knoxville,MA,1-362-897-1162,0.0,96.0,R
Rmm7598,356141.0,S,S,,Hasbro,2410816.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,340.0,9.0,United States of America,Idaho Falls,DC,1-952-919-4878,3.0,9.0,O
ekj7599,165667.0,U,,3.0,Tupperware Brands,1059543.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,738.0,5.0,Canada,Jacksonville,RI,1-145-214-8009,3.0,39.0,U
wcq7600,459767.0,S,A,2.0,Covance,379282.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,597.0,7.0,United States of America,Stockton,MA,1-328-944-9786,0.0,31.0,O
Klc7601,106459.0,M,,2.0,Interactive Brokers Group,3271265.0,RSSNUTWWLOKIHRRTPEAFTLBF,603.0,4.0,United States of America,Thousand Oaks,Alberta,1-899-864-9421,2.0,64.0,R
Jrd7602,51021.0,D,,1.0,SkyWest,1530364.0,Sachwqwddeyfxvagihsjxtcsibaejb,662.0,5.0,,Nashua,AR,1-877-997-8896,,38.0,U
GDQ7603,494931.0,W,,4.0,Best Buy,3731860.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,838.0,0.0,United States of America,Tallahassee,VA,1-750-900-0823,2.0,47.0,R
fnm7604,429859.0,M,,2.0,Sears Holdings,2488858.0,Sbutxmtwkb,791.0,9.0,United States of America,Brownsville,OR,,5.0,,O
Ymu7605,,S,e,4.0,Frontier Oil,2301347.0,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,692.0,7.0,Canada,Charlotte,ID,1-347-704-7823,1.0,76.0,O
Pxj7606,464086.0,W,R,3.0,Automatic Data Processing,1736571.0,mnkidgiyajigobghpnkdvauwiubpjb,673.0,8.0,,Oakland,IA,1-228-976-2888,0.0,60.0,O
Rsd7607,207651.0,U,M,,,2399483.0,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,331.0,7.0,Canada,Fort Wayne,TN,,3.0,73.0,O
Qqh7608,260418.0,U,,,Comerica,2982744.0,Fmrydeogisvvtrpsfonolelpnqcbkrr,744.0,2.0,United States of America,Chula Vista,Nova Scotia,1-760-429-1328,4.0,37.0,O
udq7609,,M,Q,1.0,Baldor Electric,1611011.0,Xhggtfwyslxvgeiuzjfxewcsweefq,446.0,6.0,United States of America,Peoria,Ontario,1-253-879-8833,5.0,50.0,U
Ghl7610,316963.0,M,M,4.0,Commercial Metals,2999167.0,,,0.0,Canada,Lexington,MD,1-401-256-3483,0.0,0.0,O
mtk7611,84046.0,W,,,,,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,,,Canada,Salem,AR,1-175-910-8245,5.0,,O
QIY7612,368990.0,M,,3.0,Molina Healthcare,3307491.0,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,723.0,9.0,United States of America,San Jose,Saskatchewan,1-565-191-3419,0.0,,O
Ohz7613,124382.0,S,,0.0,Plains All American Pipeline,2057260.0,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,348.0,2.0,Canada,Kansas City,OH,1-921-688-5401,2.0,81.0,O
djg7614,9263.0,M,,0.0,Agilent Technologies,53179.0,Gvdteormavfflajkedaclod,666.0,,United States of America,Windsor,VA,1-925-155-0170,2.0,52.0,O
Iad7615,334181.0,M,,4.0,AutoZone,690086.0,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,,3.0,United States of America,Chicago,ID,1-185-691-2951,2.0,68.0,U
EMG7616,314001.0,M,H,1.0,,2025465.0,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,844.0,8.0,United States of America,Evansville,WI,1-067-518-3854,0.0,,R
Hjn7617,168309.0,M,,4.0,Universal Health Services,695307.0,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,766.0,8.0,Canada,Honolulu,MS,1-188-554-1671,1.0,36.0,O
CYP7618,322765.0,M,D,4.0,Time Warner,3238398.0,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,521.0,10.0,United States of America,Cleveland,OK,1-168-215-2223,2.0,31.0,O
KPN7619,311253.0,W,h,5.0,Sealed Air,1213578.0,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,306.0,7.0,United States of America,Livonia,GA,1-228-022-3056,1.0,55.0,O
Vbi7620,140296.0,W,x,5.0,Sprint Nextel,103708.0,Blsmawjjdmdamrhqyqgzmbkfa,411.0,9.0,United States of America,Little Rock,TN,1-926-766-1124,5.0,66.0,R
ehb7621,439984.0,M,,5.0,,1086081.0,Stofpzwyhkpmuq,,3.0,United States of America,Halifax,SC,1-538-797-1948,1.0,22.0,O
TMQ7622,454011.0,U,C,0.0,Quiksilver,1349626.0,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,702.0,8.0,United States of America,Peoria,AR,1-627-234-0841,5.0,51.0,O
Lsb7623,191541.0,S,y,5.0,Valspar,1083092.0,,842.0,1.0,United States of America,San Jose,MT,1-876-492-0782,1.0,26.0,R
Dpz7624,,U,u,1.0,Timken,1662799.0,Twfsibyhrvrnvcygkdiwyokzoikvjbawfwpiachehbzcinnvdgevmbuozxru,528.0,0.0,United States of America,Charlotte,WY,1-436-946-7319,2.0,100.0,R
Zuj7625,,W,,3.0,,3548540.0,cnckvldjedzgdqhy,300.0,5.0,United States of America,Hilo,WY,1-281-780-2897,3.0,13.0,R
Jqk7626,269215.0,S,,1.0,Occidental Petroleum,881414.0,,752.0,7.0,United States of America,Yonkers,WV,1-421-286-4139,2.0,11.0,O
ijb7627,193126.0,M,,4.0,,1712200.0,VITKCZSDQUXZTMLICIBDHMBKLDLCTRVNDXMCHYEHGKHEVTWIYGOYVVMGCSUTKYDEVACOBPWCJYA,303.0,0.0,Canada,Modesto,CA,1-908-354-2709,0.0,62.0,O
NMO7628,462618.0,M,U,5.0,Massey Energy,847446.0,qehomraquwxrkb,418.0,10.0,United States of America,Louisville,Alberta,1-466-560-2530,3.0,13.0,O
Tef7629,212026.0,W,,3.0,Weyerhaeuser,344294.0,pqcvwpsrvpzvqbvhsmxgvaigjfvoqwnjrzcpnlwqcqhzedfjoqpahrugzhperwh,667.0,4.0,United States of America,Eugene,New Brunswick,1-578-686-8082,3.0,23.0,O
Sdj7630,371024.0,D,Z,4.0,National Fuel Gas,1534879.0,Vhixcyutfffwnvhjcajyuzaqshhtpkcdxkxayylwdfdvwdqejppkxhwfe,441.0,7.0,United States of America,Buffalo,British Columbia,1-166-077-1436,1.0,51.0,U
Pbr7631,235810.0,U,,2.0,Pep Boys,3897101.0,kxnhxkeruywqzmkpbwatzrjybxepmuyrnmxtcjblsbdaewnizpa,471.0,0.0,United States of America,Santa Fe,DE,1-535-320-1881,3.0,2.0,O
