Phone,PostalCode,NumberChildren,OwnOrRentFlag,Employer,Gender,Income,AgencyID,NumberCreditCards,CreditRating,City,AddressLine2,LastName,FirstName,MiddleInitial,AddressLine1,NetWorth,Age,State,Country,MaritalStatus,NumberCars
,95118,4.0,U,Embarq,,267901.0,cra12,0.0,817.0,Lexington,,crawley,Mary-pat,,15306 pike park,582378.0,6.0,AR,United States of America,U,1.0
1-207-867-4589,H2f 1v7,5.0,R,Advanced Micro Devices,m,487273.0,dac13,8.0,653.0,Hay River,,dacal,Catherin,,1540 crestmere north,3458824.0,39.0,MI,United States of America,U,3.0
1-478-629-9641,19217,4.0,O,Cenveo,,34013.0,HIV14,2.0,587.0,Toronto,,HIVELY,annissa,W,10790 bonita crescent,469408.0,73.0,MA,United States of America,M,3.0
1-026-208-8595,21228,2.0,O,Kelly Services,,473462.0,Pes15,6.0,472.0,Denver,Apt. 290,Peschke,Amour,,24679 AIRPORT CRESCENT,1504480.0,26.0,TN,United States of America,S,0.0
1-432-681-4853,85097,4.0,O,Viacom,,499493.0,CHI16,4.0,817.0,St. Paul,,CHILDERHOSE,jenica,,7627 douglas road,2763009.0,54.0,TN,Canada,M,5.0
,V6j 1q8,4.0,R,Macy's,,266928.0,Din17,0.0,441.0,Bellevue,,Dinnin,KATTIE,,6106 ashland east,2787199.0,87.0,OK,United States of America,M,5.0
1-357-207-6320,43207,3.0,O,Gardner Denver,,72444.0,De 18,6.0,848.0,Detroit,,De witte,Roselle,M,1111 norden street,2789368.0,85.0,Ontario,United States of America,M,2.0
1-462-774-1277,V6t 1q8,3.0,R,Family Dollar Stores,m,77290.0,Mck19,8.0,843.0,Omaha,,Mckeegan,arlyne,,2798 1st east,2784776.0,86.0,KY,United States of America,U,3.0
1-702-382-2898,94467,0.0,R,,M,395066.0,WIN20,,,Costa Mesa,,WINTERS,Rong-chin,P,11358 elle lee street,288747.0,59.0,PA,United States of America,U,2.0
1-909-554-7120,94321,3.0,O,Sun Microsystems,,119283.0,BIT21,0.0,300.0,Berkeley,,BITTMAN,Darlleen,,21074 MALLORY LOWER,876575.0,94.0,MD,United States of America,U,5.0
1-752-296-7940,C2a 4w7,1.0,O,Costco Wholesale,f,330991.0,luz22,8.0,795.0,St. Louis,,luzarraga,Radoslav,V,16124 weyland park,2041224.0,,TX,United States of America,U,1.0
1-995-554-5056,35808,0.0,U,Illinois Tool Works,,,don23,5.0,367.0,Colorado Springs,,donovan,Aryn,S,23822 marvin crescent,2231509.0,5.0,IN,United States of America,,4.0
1-090-303-3807,M5f 1v6,5.0,O,Southern Union,,252031.0,Gia24,1.0,507.0,Fontana,,Giallo,Allisan,T,2203 valita boulevard,3206409.0,23.0,MD,United States of America,M,1.0
1-492-968-0932,99539,1.0,O,Moog,M,101800.0,SPR25,9.0,362.0,St. Catharines,,SPRUELL,Ammamaria,,11538 COLLINWOOD AVENUE,3850037.0,61.0,KY,United States of America,M,3.0
1-960-227-2020,95055,1.0,O,Old Republic International,F,436977.0,SKA26,7.0,527.0,Hayward,,SKALSKI,Mari,,7818 EAST STREET,528440.0,,CA,United States of America,D,0.0
1-431-122-8597,93686,,O,,m,495334.0,Gar27,0.0,354.0,Palmdale,,Gargul,Anica,,10013 shaw road,597140.0,51.0,FL,United States of America,S,0.0
1-822-836-7200,75218,1.0,O,Great Plains Energy,,274685.0,Dor28,1.0,511.0,Phoenix,,Dore,Melba,,6802 AMES STREET,146931.0,97.0,Newfoundland,United States of America,M,1.0
1-530-117-0497,91174,2.0,,Broadcom,,320820.0,DIO29,7.0,412.0,Gary,,DIOGO,Tracee,X,22501 SUMMIT RUE,353495.0,52.0,TX,United States of America,,2.0
1-051-257-2719,49515,0.0,O,Discover Financial Services,m,195835.0,Mer30,1.0,583.0,Beaumont,,Merrick,CANADIAN,,291 frances rue,295647.0,98.0,WA,Canada,S,4.0
1-171-989-1363,16506,3.0,O,UAL,,108085.0,Atc31,5.0,710.0,Nashua,,Atchison,Oue,R,16264 sanders east,408941.0,47.0,MN,United States of America,U,5.0
1-042-705-3246,94383,1.0,O,Charles Schwab,m,260185.0,Pla32,9.0,380.0,San Jose,,Plamondon,wallie,X,16068 cantey way,362523.0,47.0,WY,United States of America,M,2.0
1-098-328-2026,T6d 1b3,0.0,R,Coach,F,258323.0,SEL33,2.0,796.0,Nashua,,SELCHOW,Andromache,E,21170 EDLOE BOULEVARD,2102359.0,9.0,NY,United States of America,M,0.0
1-209-754-5635,25339,3.0,U,DaVita,f,79476.0,sha34,2.0,818.0,Fort Smith,,shane,THOR,Z,885 CROSBY LANE,3480265.0,85.0,SC,United States of America,M,1.0
1-498-781-3456,V6o 1v4,3.0,U,Marshall & Ilsley Corp.,,102156.0,MER35,3.0,766.0,Lancaster,,MERWIN,SALAH,,12235 jay street,3648900.0,81.0,MS,United States of America,M,5.0
1-615-241-0440,01852,3.0,O,Cablevision Systems,,221481.0,con36,2.0,359.0,Colorado Springs,,conrad,HOR-LAM,,20340 LOMBARD CRESCENT,1161790.0,0.0,UT,United States of America,M,2.0
1-995-449-5200,78230,5.0,R,Barnes & Noble,M,41836.0,ons37,2.0,401.0,Washington,,onsiteteam,Vania,,22074 dexter upper,2050587.0,28.0,PA,United States of America,S,1.0
1-295-673-4452,93770,1.0,O,EMC,M,72389.0,Sum38,0.0,609.0,Lowell,,Summerlin,Niel,,1540 MURIE RUE,3579198.0,65.0,OK,Canada,U,1.0
1-914-675-2986,m4l 1n4,0.0,O,Fluor,,66486.0,gro39,2.0,630.0,Frederick,,grooms,ziad,F,7075 glen loch drive,889494.0,20.0,WY,United States of America,S,3.0
,22335,1.0,O,Dollar General,,200185.0,dil40,9.0,671.0,Mesa,Apt. 382,dilkie,Claude,I,11237 balmoral way,2205682.0,55.0,RI,United States of America,M,3.0
1-825-739-0336,V6C 1T4,2.0,O,Lear,,289215.0,DOL41,10.0,715.0,Lakewood,,DOLSON,AVTAR,,8316 GARDEN BROOK NORTH,1140117.0,76.0,HI,United States of America,U,0.0
1-956-713-3802,M6t 1h3,1.0,O,J.P. Morgan Chase & Co.,,322484.0,Pos42,9.0,707.0,Cleveland,,Posthumus,Donny,,2240 clifton lower,1421319.0,1.0,VA,United States of America,M,4.0
1-814-932-1579,95263,2.0,O,Affinia Group Intermediate,,83458.0,Mac43,0.0,329.0,Grand Rapids,,Machika,Cocos,,20907 NOTINGHAM LOWER,3525204.0,3.0,OK,United States of America,M,4.0
1-135-443-7282,v5b 1p5,3.0,R,,,,che44,8.0,601.0,Peoria,,chenoweth,ruud,,601 carroll lower,468976.0,100.0,Prince Edward Island,United States of America,D,0.0
1-720-975-0667,32318,1.0,O,Goldman Sachs Group,,492407.0,hol45,2.0,623.0,Inglewood,,holbrooks,Belvia,,18267 state drive,1685443.0,81.0,SD,United States of America,W,5.0
1-871-598-3505,93872,4.0,O,E*Trade Financial,f,346630.0,pfi46,2.0,376.0,Akron,,pfieffer,ATHAR,,9270 LEAF SOUTH,337564.0,76.0,OH,United States of America,S,4.0
1-607-222-4809,92824,3.0,O,Pfizer,,9572.0,elk47,0.0,560.0,Charlottetown,,elkington,Cherey,Y,18582 PERIMETER BOULEVARD,84777.0,51.0,MA,Canada,W,1.0
1-965-046-0642,e4a 1r2,5.0,O,Safeway,F,265369.0,Lab48,4.0,693.0,Bellevue,,Labenek,RAZ,,9612 park stream upper,3146477.0,,MD,United States of America,,1.0
1-155-441-3579,H7G 1V4,2.0,U,Simon Property Group,,104172.0,laf49,0.0,346.0,Dover,,laferriere,kishore,Y,2803 clearwater north,495277.0,58.0,Saskatchewan,United States of America,S,1.0
,85039,3.0,O,Trinity Industries,,65550.0,Nor50,0.0,342.0,Fullerton,,Norment,Nelleke,I,11103 BISSONNET WEST,746904.0,52.0,WA,United States of America,M,0.0
1-544-132-7237,v6m 1q3,0.0,R,Solutia,,,hag51,8.0,563.0,Denver,,hagar,sibby,,4652 outervale lane,1219620.0,91.0,OH,Canada,M,2.0
1-821-089-2089,X7j 1r1,3.0,O,,m,,Bet52,4.0,391.0,Dallas,,Betcher,ericha,,341 dunbar west,1718910.0,17.0,WY,United States of America,M,2.0
1-135-391-9787,B8b 1z5,4.0,O,A.O. Smith,m,66244.0,Van53,8.0,381.0,San Jose,,Van der,Janson,,16176 vernon drive,,6.0,NJ,United States of America,S,4.0
1-776-182-6215,t5d 1v4,3.0,U,AptarGroup,F,426954.0,O'L54,9.0,539.0,Bellevue,,O'LEARY,Dorotea,,23131 clint way,2636424.0,89.0,ND,United States of America,S,0.0
1-079-780-7761,V6t 1r2,4.0,O,Coca-Cola,m,126891.0,and55,0.0,497.0,San Buenaventura,,anderson,Denice,,11640 baltic upper,1326305.0,99.0,NC,United States of America,M,5.0
1-504-346-4393,91177,2.0,O,Kimberly-Clark,,454196.0,sta56,,661.0,St. Louis,,starks,Myron,,20796 dolores drive,2241997.0,77.0,WV,Canada,M,4.0
1-985-538-4351,T5c 1t1,3.0,R,Visteon,,163940.0,CHA57,0.0,558.0,Pueblo,Apt. 275,CHASSE,Barby,,14359 COMMERCE WEST,1542891.0,,GA,United States of America,S,5.0
1-254-097-9398,35862,1.0,O,TECO Energy,R,365213.0,ASI58,,534.0,Regina,,ASING,Ariella,,21448 hampton boulevard,797918.0,90.0,Ontario,Canada,W,
1-545-924-9552,96820,0.0,U,Bemis,f,428739.0,ask59,6.0,373.0,Saskatoon,,askins,ADEY,,7637 pershing way,347654.0,82.0,MA,United States of America,M,0.0
1-984-233-8818,75238,0.0,O,Wyeth,,142444.0,Kik60,8.0,382.0,Jackson,,Kikuta,GAYEL,K,11529 arcana boulevard,2456397.0,,CA,United States of America,M,4.0
1-528-691-1642,85769,3.0,O,United Technologies,F,416168.0,Cha61,10.0,475.0,St. Petersburg,,Chane,Man,,2700 windwood north,1284229.0,15.0,SD,United States of America,S,3.0
,H5i 1o9,0.0,O,Clorox,m,291420.0,KIL62,3.0,539.0,Scottsdale,,KILLEN,Klara,U,22279 gramercy road,618787.0,,Saskatchewan,United States of America,D,2.0
1-171-807-8213,90849,5.0,O,Discovery Communications,f,413501.0,kin63,6.0,711.0,Charlotte,,kinley,Abdalla,,9828 west east,1171606.0,96.0,RI,United States of America,M,4.0
1-056-241-7009,43644,,O,Williams-Sonoma,,,MAL64,1.0,606.0,Waterbury,,MALAHER,bal,,5935 mcafee park,3983261.0,38.0,NC,United States of America,M,4.0
1-389-414-0570,99213,3.0,O,Manitowoc,,419143.0,Odu65,0.0,494.0,Chesapeake,,Odum,Romy,J,12460 CLAYTON STREET,2328568.0,10.0,SD,United States of America,W,3.0
1-583-542-1656,72226,5.0,O,Henry Schein,,155057.0,DI 66,3.0,309.0,Hialeah,,DI NINNO,KORAL,,275 3rd drive,2078600.0,72.0,IL,United States of America,M,1.0
1-269-712-0672,V6Z 1Q9,5.0,O,Trinity Industries,,313859.0,STU67,3.0,630.0,Charleston,,STUBBLEFIELD,YUKIHIKO,K,6907 FERNCLIFF CRESCENT,2986155.0,97.0,OR,United States of America,M,2.0
1-670-102-0463,20082,1.0,O,Pepsi Bottling,,265907.0,HAM68,10.0,330.0,Salem,,HAMBALI,Khanh,,885 crosby lane,1864039.0,48.0,Ontario,United States of America,S,4.0
1-699-726-3895,35827,0.0,O,UGI,m,283481.0,LIB69,9.0,710.0,Sacramento,,LIBRARIAN,Darnell,,2344 kalani west,1293721.0,97.0,FL,Canada,S,
1-640-666-2876,99692,0.0,R,Greif,M,200635.0,ohs70,7.0,475.0,Santa Clarita,,ohsone,feridoun,,22870 LA CIENEGA STREET,3850114.0,73.0,NM,United States of America,M,4.0
1-540-639-1311,V6c 1q5,1.0,O,Equifax,,434519.0,HUM71,3.0,596.0,Sherbrooke,APT. 143,HUMMEL,Magdy,O,8478 green avenue,1618743.0,71.0,NE,United States of America,U,0.0
1-285-874-8492,80158,1.0,O,,,392315.0,BRA72,9.0,670.0,Colorado Springs,,BRADD,jiri,,23639 purdue rue,3383487.0,93.0,MI,United States of America,W,5.0
1-121-904-0040,t6d 1b6,3.0,O,Freescale Semiconductor,,493829.0,Boa73,,722.0,Berkeley,,Boarder,AILA,X,19202 ansley park,2981876.0,53.0,New Brunswick,United States of America,U,5.0
1-017-842-3201,33120,2.0,O,Aleris International,,97489.0,Mcn74,7.0,587.0,San Buenaventura,,Mcnally,Vincenzo,,11319 devonshire rue,2109339.0,32.0,NJ,United States of America,U,3.0
1-215-859-3206,99742,3.0,O,,F,,MAR75,4.0,609.0,New Haven,,MARKOVICH,Minnnie,,23665 deerwood park,791803.0,1.0,ND,United States of America,S,4.0
1-764-520-7470,V6N 1T1,1.0,O,World Fuel Services,f,383046.0,Wil76,7.0,401.0,Shreveport,,Willekes,alfonzo,,4855 union north,3523678.0,39.0,Saskatchewan,United States of America,S,0.0
1-414-130-0162,44104,0.0,,R.R. Donnelley & Sons,m,1190.0,Dea77,0.0,335.0,Lansing,,Deacetis,Swandi,S,9466 SHADOWBRIAR WEST,1681902.0,77.0,KS,United States of America,M,4.0
1-970-240-9990,14605,5.0,O,Brinker International,,85733.0,Hou78,7.0,569.0,Pembroke Pines,,Houk,Anya,,3504 regency avenue,3851455.0,18.0,SD,United States of America,U,5.0
1-408-684-6459,80076,2.0,R,Temple-Inland,,387890.0,Goy79,9.0,,Palmdale,,Goyette,Enrika,,7281 northland lower,2339382.0,70.0,FL,Canada,M,0.0
1-330-353-5908,V6I 1V6,0.0,O,Psychiatric Solutions,f,16808.0,Mok80,7.0,679.0,Savannah,,Mok-fung,SONJA,Z,12481 hayden lower,,26.0,Saskatchewan,United States of America,S,2.0
1-766-726-2675,97307,4.0,,Nash-Finch,,304589.0,Run81,10.0,356.0,Amarillo,,Rundle,Liem,I,2328 gracie avenue,2065016.0,,FL,United States of America,M,
1-938-425-7509,46237,5.0,R,AMR,o,48506.0,BEL82,9.0,308.0,Anchorage,,BELLEY,COLLETTE,,4737 campbell street,2454049.0,58.0,UT,United States of America,S,2.0
1-527-308-8874,V6B 1S6,4.0,O,Spartan Stores,,,BAE83,4.0,412.0,Louisville,,BAER,SIAMACK,Y,2401 stratmore lower,2423395.0,43.0,WY,United States of America,M,0.0
1-810-590-0635,H2d 1x1,3.0,O,Cigna,f,358862.0,MAU84,4.0,618.0,Hilo,,MAULDIN,Toshihiro,,21477 JUNIPER CRESCENT,1342045.0,65.0,NH,United States of America,D,2.0
1-274-548-2512,95108,3.0,O,General Cable,,477614.0,Koo85,5.0,429.0,Sudbury,,Koohgoli,Casey,,19214 YAUPON BOULEVARD,861756.0,24.0,AR,United States of America,S,5.0
1-649-754-4601,80050,1.0,O,Dun & Bradstreet,,175414.0,Lau86,3.0,819.0,Orlando,,Lauriston,Daryn,,7785 rusk boulevard,1215349.0,79.0,CT,United States of America,S,3.0
1-905-932-1785,90122,1.0,O,Casey's General Stores,F,427598.0,Man87,7.0,552.0,Missoula,,Mangum,Adrianna,L,18002 cantrell upper,3981554.0,48.0,VT,Canada,M,0.0
1-031-004-7697,43614,4.0,O,Jack in the Box,,368207.0,PIE88,9.0,587.0,Abilene,,PIERCY,Cortney,,23341 brookside upper,3865937.0,69.0,Manitoba,United States of America,S,0.0
1-994-812-4796,61110,1.0,O,Assurant,M,449944.0,Bus89,6.0,304.0,Saskatoon,,Buscaglia,Duane,,20494 ROSS WEST,2804700.0,91.0,NJ,United States of America,S,3.0
1-176-513-4041,70174,5.0,U,Psychiatric Solutions,,166247.0,BAB90,4.0,795.0,Irvine,,BABIONE,Tele,,17552 SAVANNAH NORTH,3283558.0,75.0,KY,United States of America,,5.0
1-072-244-6337,90324,3.0,O,Danaher,M,391165.0,Bur91,2.0,830.0,Reno,APT. 373,Burkard,Ophelia,,4462 pace crescent,450524.0,85.0,GA,United States of America,S,1.0
1-924-669-9328,s7d 1n1,3.0,R,Clorox,,165854.0,Kin92,3.0,709.0,Sacramento,,Kinsella,lorine,,7161 tallowood upper,,76.0,NJ,United States of America,M,5.0
1-598-488-3541,93829,1.0,O,Boyd Gaming,,326181.0,POM93,8.0,493.0,Topeka,,POMMAINVILLE,Viole,,3489 silver sage west,,68.0,SC,United States of America,S,2.0
1-295-539-3868,89116,,O,Eaton,M,173387.0,BOA94,,680.0,Rancho Cucamonga,,BOATWRIGHT,Nani,,12481 hayden lower,633760.0,95.0,TN,United States of America,M,3.0
1-554-020-0267,94315,5.0,R,Dynegy,,301127.0,Ron95,,800.0,Hilo,,Ronald,cherey,R,13210 3RD DRIVE,3634954.0,15.0,WY,United States of America,M,1.0
1-793-621-4566,T5b 1u9,5.0,R,AmeriCredit,,487230.0,wei96,4.0,614.0,Saint John,,weihs,Redgie,A,8899 starling lane,799268.0,17.0,Ontario,United States of America,M,1.0
1-787-267-4261,T6b 1a5,0.0,R,SLM,M,425747.0,Hel97,6.0,763.0,Torrance,,Helpb,Yousef,P,11480 fennel south,39093.0,94.0,DC,Canada,,4.0
1-668-247-1597,60699,4.0,O,NV Energy,m,401946.0,mog98,3.0,561.0,Santa Clara,,moghe,Damaris,,7266 cherry upper,2705353.0,70.0,Alberta,United States of America,S,4.0
1-901-346-8890,V6p 1s8,2.0,O,Landstar System,,425422.0,boz99,4.0,569.0,Torrance,,bozicevich,Ilyssa,,10678 ENGLEWOOD WEST,3565153.0,29.0,ME,United States of America,S,1.0
1-451-273-3803,v6i 1p1,1.0,O,Pacific Life,,208890.0,Zah100,5.0,634.0,Stockton,,Zaharychuk,Moselle,R,21181 2ND RUE,2832204.0,52.0,MA,United States of America,M,4.0
1-129-499-9136,79423,3.0,O,Textron,F,67880.0,And101,10.0,488.0,Paterson,,Andric,Dulsea,,22963 hanover road,2194345.0,51.0,NV,United States of America,U,5.0
1-899-319-0772,H5j 1o6,3.0,O,Pfizer,,133412.0,Bam102,5.0,788.0,Mesa,,Bamfo,Lyndsie,L,8268 cliffbrook boulevard,3737140.0,24.0,WA,Canada,W,2.0
1-053-396-0441,93761,4.0,O,Cigna,,144829.0,fro103,8.0,333.0,Anchorage,,frondozo,KESLEY,,5118 montview court,464753.0,98.0,WY,United States of America,D,3.0
1-239-665-9540,76150,1.0,U,Ameren,,,Car104,,601.0,Miami,,Caron,LAUREL,J,17442 tallowood upper,596696.0,59.0,NJ,United States of America,M,1.0
1-605-888-3403,99717,4.0,O,Consolidated Edison,f,143682.0,muc105,2.0,595.0,Great Falls,,muchow,Steen,V,4038 WEDGEWOOD STREET,1504753.0,49.0,LA,Canada,U,3.0
1-630-604-2543,60608,1.0,O,Occidental Petroleum,,350020.0,gat106,10.0,433.0,Erie,,gateau,noel,,20334 anaconda avenue,3049281.0,1.0,TX,United States of America,U,0.0
1-851-862-7928,v6w 1u4,,O,Sherwin-Williams,F,435103.0,Sch107,10.0,403.0,Hollywood,,Schaefer,Tracey,M,5385 young west,247478.0,79.0,SC,United States of America,U,0.0
1-065-415-5724,T5b 1t6,5.0,R,Affiliated Computer Services,,207768.0,pom108,3.0,615.0,Tulsa,,pomerleau,Sarajane,,2747 SINCLAIR LANE,2750301.0,6.0,TX,United States of America,,1.0
1-408-512-1007,23298,4.0,O,Valassis Communications,F,407512.0,cuc109,1.0,735.0,Tucson,,cucuzzella,Geoffrey,K,8622 BROWNWAY PARK,721333.0,70.0,MN,United States of America,M,0.0
1-083-902-4184,32803,0.0,O,,q,403366.0,SUG110,1.0,668.0,Anchorage,,SUGARMAN,loralyn,Z,18048 GREEN NORTH,669440.0,23.0,ID,United States of America,S,3.0
1-568-403-7081,64122,5.0,O,Smithfield Foods,,384095.0,Pep111,,349.0,Sandy,,Pepe,andrei,,18994 country boulevard,2473979.0,78.0,MI,Canada,M,3.0
1-824-389-0618,T6b 1h2,,,,f,288969.0,Cha112,,654.0,Boston,SUITE 7,Chandrashekar,javad,,16063 ashland road,3545170.0,79.0,OK,United States of America,S,4.0
1-174-210-2058,22222,3.0,O,TD Ameritrade,m,233665.0,SEI113,6.0,361.0,Vancouver,Apt. 971,SEIFERS,Karna,U,19309 mcfarlin north,1494871.0,72.0,UT,United States of America,U,2.0
1-425-503-7952,T6a 1d2,0.0,U,Comerica,F,147236.0,GAR114,1.0,427.0,Akron,,GARTLEY,Jocelyn,S,2454 cliffbrook west,436164.0,31.0,PA,Canada,S,4.0
1-012-389-9089,v5d 1n9,3.0,O,Steel Dynamics,M,452557.0,Tou115,1.0,322.0,Lancaster,,Touchette,Elvera,,15865 strand west,1069481.0,86.0,New Brunswick,United States of America,W,0.0
1-909-472-6704,23321,0.0,R,Coca-Cola Enterprises,M,179305.0,Kur116,9.0,792.0,Concord,,Kurdziel,Nessy,V,13776 east boulevard,,,UT,United States of America,S,2.0
1-622-167-5411,90505,0.0,O,News Corp.,,205817.0,Her117,2.0,478.0,Chesapeake,,Herod,lona,,10570 WEIZMANN LOWER,2957261.0,87.0,VA,Canada,U,3.0
1-164-511-9338,19066,5.0,O,,,262711.0,MCV118,1.0,477.0,Flint,,MCVICAR,RHEA,P,15278 walnut hill road,228459.0,92.0,NH,United States of America,M,
1-804-532-9163,v6s 1r3,5.0,O,Stater Bros. Holdings,F,84810.0,LAB119,6.0,449.0,Chattanooga,,LABFIVE,Josefa,,23007 WAKEFOREST WAY,67267.0,4.0,VT,Canada,M,1.0
1-197-370-0297,78769,4.0,O,BorgWarner,,96441.0,but120,2.0,466.0,Billings,,butta,alikee,,9088 rivas way,1087978.0,8.0,FL,United States of America,U,2.0
1-337-042-5687,53769,5.0,O,CB Richard Ellis Group,m,462762.0,Pro121,2.0,483.0,Scottsdale,,Projects,dolorita,,18798 ullrich road,3885967.0,97.0,NC,United States of America,M,0.0
1-056-138-5321,H7E 1U6,4.0,O,Zimmer Holdings,,141890.0,Irc122,4.0,588.0,Oshawa,,Irc,Marilyn,,18517 HULEN LOWER,3271101.0,,VA,United States of America,D,5.0
1-776-191-2031,e7o 1k1,5.0,O,Mohawk Industries,,156610.0,Ziv123,2.0,313.0,Naperville,,Zivkovic,robertson,G,11474 dodd lane,,40.0,DC,Canada,,5.0
1-280-696-2706,90374,4.0,R,Berkshire Hathaway,,164752.0,sim124,1.0,647.0,Tampa,,simser,Ilsa,H,9375 wood south,1999133.0,95.0,NC,United States of America,U,1.0
1-857-581-6346,63169,5.0,O,Saks,,278949.0,kei125,2.0,430.0,Jackson,,keifer,Pen,I,20479 wise avenue,1100786.0,92.0,MS,United States of America,S,1.0
,16515,5.0,O,Gardner Denver,f,,arv126,8.0,467.0,Hay River,,arvin,AUBRETTE,P,19918 ROGERS NORTH,563992.0,67.0,SC,United States of America,W,0.0
1-716-343-0884,85309,2.0,O,Hasbro,F,463736.0,Pra127,7.0,399.0,Irvine,,Praeuner,Cole,,9284 coffey lower,962397.0,24.0,KS,United States of America,M,3.0
1-101-776-2496,92158,3.0,O,CBS,m,,lue128,5.0,654.0,Idaho Falls,,lue,liva,C,2929 north crescent,1064169.0,26.0,VT,United States of America,M,2.0
1-769-028-0589,33152,0.0,O,Synnex,f,86667.0,Prz129,3.0,378.0,Moreno Valley,,Przybycien,Ayaz,,15404 queen street,2100059.0,62.0,IL,United States of America,S,2.0
1-005-833-8970,83729,1.0,O,Belden,f,193470.0,pen130,10.0,338.0,Ontario,,penn,YETTY,J,1619 greenspoint road,99025.0,37.0,FL,United States of America,W,5.0
1-884-215-4243,B8b 1z6,0.0,R,Broadcom,,406379.0,Gua131,10.0,695.0,Concord,,Guay,Mary-michelle,S,21477 WARREN PARK,3865481.0,71.0,MI,United States of America,S,5.0
,53717,3.0,U,Reynolds American,F,480595.0,bre132,7.0,614.0,Phoenix,,brennand,agretha,,6503 ROBBINS STREET,804544.0,29.0,Newfoundland,Canada,M,1.0
1-725-177-7815,t5c 1w7,5.0,O,Wells Fargo,f,181718.0,Sav133,7.0,307.0,Coral Springs,,Savanh,LOTTY,X,3958 GLEN LOCH BOULEVARD,3143356.0,89.0,ME,United States of America,S,4.0
1-277-496-5396,37245,3.0,O,Retail Ventures,,468310.0,ABB134,2.0,331.0,Oxnard,,ABBATANTUONO,Kassey,Z,13640 ethridge lower,,11.0,AL,United States of America,M,0.0
1-756-463-2201,94401,0.0,O,AT&T,M,354987.0,OP135,2.0,638.0,Brownsville,,OP,Adria,N,3981 imperial lower,2311953.0,20.0,IN,United States of America,S,2.0
1-261-338-7463,B8a 1y3,5.0,O,Wynn Resorts,,284539.0,Mer136,3.0,703.0,Memphis,,Mersinger,audivox,,13210 3rd drive,3120608.0,75.0,NH,Canada,W,3.0
1-811-086-4675,t6b 1k2,5.0,O,Eastman Kodak,F,213725.0,rut137,7.0,302.0,Flint,,rutt,SUE,,9297 THROCKMORTON SOUTH,2058270.0,95.0,DC,United States of America,S,0.0
1-338-771-1185,85306,3.0,O,Aramark,,74195.0,bem138,,522.0,Lafayette,,bemis,Lorenza,I,8935 YOUNG UPPER,1511983.0,0.0,DC,United States of America,U,2.0
1-554-231-5318,V6R 1R7,1.0,O,ENSCO International,,169295.0,Pen139,,,Greensboro,,Pennington,Enzo,,3797 RUTGERS PARK,439080.0,73.0,MD,United States of America,M,5.0
1-733-886-5227,68513,0.0,R,Auto-Owners Insurance,M,307832.0,tor140,5.0,833.0,Sterling Heights,,torok,claudina,Y,8285 tamarind crescent,921255.0,39.0,Prince Edward Island,United States of America,W,1.0
