Age,City,Country,NumberCreditCards,AgencyID,AddressLine2,LastName,AddressLine1,NumberChildren,FirstName,OwnOrRentFlag,MaritalStatus,NumberCars,Gender,PostalCode,Employer,MiddleInitial,CreditRating,NetWorth,Phone,Income,State
23.0,Fontana,United States of America,1.0,Gia24,,Giallo,2203 valita boulevard,5.0,Allisan,O,M,1.0,,M5f 1v6,Southern Union,T,507.0,3206409.0,1-090-303-3807,252031.0,MD
61.0,St. Catharines,United States of America,9.0,SPR25,,SPRUELL,11538 COLLINWOOD AVENUE,1.0,Ammamaria,O,M,3.0,M,99539,Moog,,362.0,3850037.0,1-492-968-0932,101800.0,KY
,Hayward,United States of America,7.0,SKA26,,SKALSKI,7818 EAST STREET,1.0,Mari,O,D,0.0,F,95055,Old Republic International,,527.0,528440.0,1-960-227-2020,436977.0,CA
51.0,Palmdale,United States of America,0.0,Gar27,,Gargul,10013 shaw road,,Anica,O,S,0.0,m,93686,,,354.0,597140.0,1-431-122-8597,495334.0,FL
97.0,Phoenix,United States of America,1.0,Dor28,,Dore,6802 AMES STREET,1.0,Melba,O,M,1.0,,75218,Great Plains Energy,,511.0,146931.0,1-822-836-7200,274685.0,Newfoundland
52.0,Gary,United States of America,7.0,DIO29,,DIOGO,22501 SUMMIT RUE,2.0,Tracee,,,2.0,,91174,Broadcom,X,412.0,353495.0,1-530-117-0497,320820.0,TX
98.0,Beaumont,Canada,1.0,Mer30,,Merrick,291 frances rue,0.0,CANADIAN,O,S,4.0,m,49515,Discover Financial Services,,583.0,295647.0,1-051-257-2719,195835.0,WA
47.0,Nashua,United States of America,5.0,Atc31,,Atchison,16264 sanders east,3.0,Oue,O,U,5.0,,16506,UAL,R,710.0,408941.0,1-171-989-1363,108085.0,MN
47.0,San Jose,United States of America,9.0,Pla32,,Plamondon,16068 cantey way,1.0,wallie,O,M,2.0,m,94383,Charles Schwab,X,380.0,362523.0,1-042-705-3246,260185.0,WY
9.0,Nashua,United States of America,2.0,SEL33,,SELCHOW,21170 EDLOE BOULEVARD,0.0,Andromache,R,M,0.0,F,T6d 1b3,Coach,E,796.0,2102359.0,1-098-328-2026,258323.0,NY
85.0,Fort Smith,United States of America,2.0,sha34,,shane,885 CROSBY LANE,3.0,THOR,U,M,1.0,f,25339,DaVita,Z,818.0,3480265.0,1-209-754-5635,79476.0,SC
81.0,Lancaster,United States of America,3.0,MER35,,MERWIN,12235 jay street,3.0,SALAH,U,M,5.0,,V6o 1v4,Marshall & Ilsley Corp.,,766.0,3648900.0,1-498-781-3456,102156.0,MS
0.0,Colorado Springs,United States of America,2.0,con36,,conrad,20340 LOMBARD CRESCENT,3.0,HOR-LAM,O,M,2.0,,01852,Cablevision Systems,,359.0,1161790.0,1-615-241-0440,221481.0,UT
28.0,Washington,United States of America,2.0,ons37,,onsiteteam,22074 dexter upper,5.0,Vania,R,S,1.0,M,78230,Barnes & Noble,,401.0,2050587.0,1-995-449-5200,41836.0,PA
65.0,Lowell,Canada,0.0,Sum38,,Summerlin,1540 MURIE RUE,1.0,Niel,O,U,1.0,M,93770,EMC,,609.0,3579198.0,1-295-673-4452,72389.0,OK
20.0,Frederick,United States of America,2.0,gro39,,grooms,7075 glen loch drive,0.0,ziad,O,S,3.0,,m4l 1n4,Fluor,F,630.0,889494.0,1-914-675-2986,66486.0,WY
55.0,Mesa,United States of America,9.0,dil40,Apt. 382,dilkie,11237 balmoral way,1.0,Claude,O,M,3.0,,22335,Dollar General,I,671.0,2205682.0,,200185.0,RI
76.0,Lakewood,United States of America,10.0,DOL41,,DOLSON,8316 GARDEN BROOK NORTH,2.0,AVTAR,O,U,0.0,,V6C 1T4,Lear,,715.0,1140117.0,1-825-739-0336,289215.0,HI
1.0,Cleveland,United States of America,9.0,Pos42,,Posthumus,2240 clifton lower,1.0,Donny,O,M,4.0,,M6t 1h3,J.P. Morgan Chase & Co.,,707.0,1421319.0,1-956-713-3802,322484.0,VA
3.0,Grand Rapids,United States of America,0.0,Mac43,,Machika,20907 NOTINGHAM LOWER,2.0,Cocos,O,M,4.0,,95263,Affinia Group Intermediate,,329.0,3525204.0,1-814-932-1579,83458.0,OK
100.0,Peoria,United States of America,8.0,che44,,chenoweth,601 carroll lower,3.0,ruud,R,D,0.0,,v5b 1p5,,,601.0,468976.0,1-135-443-7282,,Prince Edward Island
81.0,Inglewood,United States of America,2.0,hol45,,holbrooks,18267 state drive,1.0,Belvia,O,W,5.0,,32318,Goldman Sachs Group,,623.0,1685443.0,1-720-975-0667,492407.0,SD
76.0,Akron,United States of America,2.0,pfi46,,pfieffer,9270 LEAF SOUTH,4.0,ATHAR,O,S,4.0,f,93872,E*Trade Financial,,376.0,337564.0,1-871-598-3505,346630.0,OH
51.0,Charlottetown,Canada,0.0,elk47,,elkington,18582 PERIMETER BOULEVARD,3.0,Cherey,O,W,1.0,,92824,Pfizer,Y,560.0,84777.0,1-607-222-4809,9572.0,MA
,Bellevue,United States of America,4.0,Lab48,,Labenek,9612 park stream upper,5.0,RAZ,O,,1.0,F,e4a 1r2,Safeway,,693.0,3146477.0,1-965-046-0642,265369.0,MD
58.0,Dover,United States of America,0.0,laf49,,laferriere,2803 clearwater north,2.0,kishore,U,S,1.0,,H7G 1V4,Simon Property Group,Y,346.0,495277.0,1-155-441-3579,104172.0,Saskatchewan
52.0,Fullerton,United States of America,0.0,Nor50,,Norment,11103 BISSONNET WEST,3.0,Nelleke,O,M,0.0,,85039,Trinity Industries,I,342.0,746904.0,,65550.0,WA
91.0,Denver,Canada,8.0,hag51,,hagar,4652 outervale lane,0.0,sibby,R,M,2.0,,v6m 1q3,Solutia,,563.0,1219620.0,1-544-132-7237,,OH
17.0,Dallas,United States of America,4.0,Bet52,,Betcher,341 dunbar west,3.0,ericha,O,M,2.0,m,X7j 1r1,,,391.0,1718910.0,1-821-089-2089,,WY
6.0,San Jose,United States of America,8.0,Van53,,Van der,16176 vernon drive,4.0,Janson,O,S,4.0,m,B8b 1z5,A.O. Smith,,381.0,,1-135-391-9787,66244.0,NJ
89.0,Bellevue,United States of America,9.0,O'L54,,O'LEARY,23131 clint way,3.0,Dorotea,U,S,0.0,F,t5d 1v4,AptarGroup,,539.0,2636424.0,1-776-182-6215,426954.0,ND
99.0,San Buenaventura,United States of America,0.0,and55,,anderson,11640 baltic upper,4.0,Denice,O,M,5.0,m,V6t 1r2,Coca-Cola,,497.0,1326305.0,1-079-780-7761,126891.0,NC
77.0,St. Louis,Canada,,sta56,,starks,20796 dolores drive,2.0,Myron,O,M,4.0,,91177,Kimberly-Clark,,661.0,2241997.0,1-504-346-4393,454196.0,WV
,Pueblo,United States of America,0.0,CHA57,Apt. 275,CHASSE,14359 COMMERCE WEST,3.0,Barby,R,S,5.0,,T5c 1t1,Visteon,,558.0,1542891.0,1-985-538-4351,163940.0,GA
90.0,Regina,Canada,,ASI58,,ASING,21448 hampton boulevard,1.0,Ariella,O,W,,R,35862,TECO Energy,,534.0,797918.0,1-254-097-9398,365213.0,Ontario
82.0,Saskatoon,United States of America,6.0,ask59,,askins,7637 pershing way,0.0,ADEY,U,M,0.0,f,96820,Bemis,,373.0,347654.0,1-545-924-9552,428739.0,MA
,Jackson,United States of America,8.0,Kik60,,Kikuta,11529 arcana boulevard,0.0,GAYEL,O,M,4.0,,75238,Wyeth,K,382.0,2456397.0,1-984-233-8818,142444.0,CA
15.0,St. Petersburg,United States of America,10.0,Cha61,,Chane,2700 windwood north,3.0,Man,O,S,3.0,F,85769,United Technologies,,475.0,1284229.0,1-528-691-1642,416168.0,SD
,Scottsdale,United States of America,3.0,KIL62,,KILLEN,22279 gramercy road,0.0,Klara,O,D,2.0,m,H5i 1o9,Clorox,U,539.0,618787.0,,291420.0,Saskatchewan
96.0,Charlotte,United States of America,6.0,kin63,,kinley,9828 west east,5.0,Abdalla,O,M,4.0,f,90849,Discovery Communications,,711.0,1171606.0,1-171-807-8213,413501.0,RI
38.0,Waterbury,United States of America,1.0,MAL64,,MALAHER,5935 mcafee park,,bal,O,M,4.0,,43644,Williams-Sonoma,,606.0,3983261.0,1-056-241-7009,,NC
10.0,Chesapeake,United States of America,0.0,Odu65,,Odum,12460 CLAYTON STREET,3.0,Romy,O,W,3.0,,99213,Manitowoc,J,494.0,2328568.0,1-389-414-0570,419143.0,SD
72.0,Hialeah,United States of America,3.0,DI 66,,DI NINNO,275 3rd drive,5.0,KORAL,O,M,1.0,,72226,Henry Schein,,309.0,2078600.0,1-583-542-1656,155057.0,IL
97.0,Charleston,United States of America,3.0,STU67,,STUBBLEFIELD,6907 FERNCLIFF CRESCENT,5.0,YUKIHIKO,O,M,2.0,,V6Z 1Q9,Trinity Industries,K,630.0,2986155.0,1-269-712-0672,313859.0,OR
48.0,Salem,United States of America,10.0,HAM68,,HAMBALI,885 crosby lane,1.0,Khanh,O,S,4.0,,20082,Pepsi Bottling,,330.0,1864039.0,1-670-102-0463,265907.0,Ontario
97.0,Sacramento,Canada,9.0,LIB69,,LIBRARIAN,2344 kalani west,0.0,Darnell,O,S,,m,35827,UGI,,710.0,1293721.0,1-699-726-3895,283481.0,FL
73.0,Santa Clarita,United States of America,7.0,ohs70,,ohsone,22870 LA CIENEGA STREET,0.0,feridoun,R,M,4.0,M,99692,Greif,,475.0,3850114.0,1-640-666-2876,200635.0,NM
71.0,Sherbrooke,United States of America,3.0,HUM71,APT. 143,HUMMEL,8478 green avenue,1.0,Magdy,O,U,0.0,,V6c 1q5,Equifax,O,596.0,1618743.0,1-540-639-1311,434519.0,NE
93.0,Colorado Springs,United States of America,9.0,BRA72,,BRADD,23639 purdue rue,1.0,jiri,O,W,5.0,,80158,,,670.0,3383487.0,1-285-874-8492,392315.0,MI
53.0,Berkeley,United States of America,,Boa73,,Boarder,19202 ansley park,3.0,AILA,O,U,5.0,,t6d 1b6,Freescale Semiconductor,X,722.0,2981876.0,1-121-904-0040,493829.0,New Brunswick
32.0,San Buenaventura,United States of America,7.0,Mcn74,,Mcnally,11319 devonshire rue,2.0,Vincenzo,O,U,3.0,,33120,Aleris International,,587.0,2109339.0,1-017-842-3201,97489.0,NJ
1.0,New Haven,United States of America,4.0,MAR75,,MARKOVICH,23665 deerwood park,3.0,Minnnie,O,S,4.0,F,99742,,,609.0,791803.0,1-215-859-3206,,ND
39.0,Shreveport,United States of America,7.0,Wil76,,Willekes,4855 union north,1.0,alfonzo,O,S,0.0,f,V6N 1T1,World Fuel Services,,401.0,3523678.0,1-764-520-7470,383046.0,Saskatchewan
77.0,Lansing,United States of America,0.0,Dea77,,Deacetis,9466 SHADOWBRIAR WEST,0.0,Swandi,,M,4.0,m,44104,R.R. Donnelley & Sons,S,335.0,1681902.0,1-414-130-0162,1190.0,KS
18.0,Pembroke Pines,United States of America,7.0,Hou78,,Houk,3504 regency avenue,5.0,Anya,O,U,5.0,,14605,Brinker International,,569.0,3851455.0,1-970-240-9990,85733.0,SD
70.0,Palmdale,Canada,9.0,Goy79,,Goyette,7281 northland lower,2.0,Enrika,R,M,0.0,,80076,Temple-Inland,,,2339382.0,1-408-684-6459,387890.0,FL
26.0,Savannah,United States of America,7.0,Mok80,,Mok-fung,12481 hayden lower,0.0,SONJA,O,S,2.0,f,V6I 1V6,Psychiatric Solutions,Z,679.0,,1-330-353-5908,16808.0,Saskatchewan
,Amarillo,United States of America,10.0,Run81,,Rundle,2328 gracie avenue,4.0,Liem,,M,,,97307,Nash-Finch,I,356.0,2065016.0,1-766-726-2675,304589.0,FL
58.0,Anchorage,United States of America,9.0,BEL82,,BELLEY,4737 campbell street,5.0,COLLETTE,R,S,2.0,o,46237,AMR,,308.0,2454049.0,1-938-425-7509,48506.0,UT
43.0,Louisville,United States of America,4.0,BAE83,,BAER,2401 stratmore lower,4.0,SIAMACK,O,M,0.0,,V6B 1S6,Spartan Stores,Y,412.0,2423395.0,1-527-308-8874,,WY
65.0,Hilo,United States of America,4.0,MAU84,,MAULDIN,21477 JUNIPER CRESCENT,3.0,Toshihiro,O,D,2.0,f,H2d 1x1,Cigna,,618.0,1342045.0,1-810-590-0635,358862.0,NH
24.0,Sudbury,United States of America,5.0,Koo85,,Koohgoli,19214 YAUPON BOULEVARD,3.0,Casey,O,S,5.0,,95108,General Cable,,429.0,861756.0,1-274-548-2512,477614.0,AR
79.0,Orlando,United States of America,3.0,Lau86,,Lauriston,7785 rusk boulevard,1.0,Daryn,O,S,3.0,,80050,Dun & Bradstreet,,819.0,1215349.0,1-649-754-4601,175414.0,CT
48.0,Missoula,Canada,7.0,Man87,,Mangum,18002 cantrell upper,1.0,Adrianna,O,M,0.0,F,90122,Casey's General Stores,L,552.0,3981554.0,1-905-932-1785,427598.0,VT
69.0,Abilene,United States of America,9.0,PIE88,,PIERCY,23341 brookside upper,4.0,Cortney,O,S,0.0,,43614,Jack in the Box,,587.0,3865937.0,1-031-004-7697,368207.0,Manitoba
91.0,Saskatoon,United States of America,6.0,Bus89,,Buscaglia,20494 ROSS WEST,1.0,Duane,O,S,3.0,M,61110,Assurant,,304.0,2804700.0,1-994-812-4796,449944.0,NJ
75.0,Irvine,United States of America,4.0,BAB90,,BABIONE,17552 SAVANNAH NORTH,5.0,Tele,U,,5.0,,70174,Psychiatric Solutions,,795.0,3283558.0,1-176-513-4041,166247.0,KY
85.0,Reno,United States of America,2.0,Bur91,APT. 373,Burkard,4462 pace crescent,3.0,Ophelia,O,S,1.0,M,90324,Danaher,,830.0,450524.0,1-072-244-6337,391165.0,GA
76.0,Sacramento,United States of America,3.0,Kin92,,Kinsella,7161 tallowood upper,3.0,lorine,R,M,5.0,,s7d 1n1,Clorox,,709.0,,1-924-669-9328,165854.0,NJ
68.0,Topeka,United States of America,8.0,POM93,,POMMAINVILLE,3489 silver sage west,1.0,Viole,O,S,2.0,,93829,Boyd Gaming,,493.0,,1-598-488-3541,326181.0,SC
95.0,Rancho Cucamonga,United States of America,,BOA94,,BOATWRIGHT,12481 hayden lower,,Nani,O,M,3.0,M,89116,Eaton,,680.0,633760.0,1-295-539-3868,173387.0,TN
15.0,Hilo,United States of America,,Ron95,,Ronald,13210 3RD DRIVE,5.0,cherey,R,M,1.0,,94315,Dynegy,R,800.0,3634954.0,1-554-020-0267,301127.0,WY
17.0,Saint John,United States of America,4.0,wei96,,weihs,8899 starling lane,5.0,Redgie,R,M,1.0,,T5b 1u9,AmeriCredit,A,614.0,799268.0,1-793-621-4566,487230.0,Ontario
94.0,Torrance,Canada,6.0,Hel97,,Helpb,11480 fennel south,0.0,Yousef,R,,4.0,M,T6b 1a5,SLM,P,763.0,39093.0,1-787-267-4261,425747.0,DC
70.0,Santa Clara,United States of America,3.0,mog98,,moghe,7266 cherry upper,4.0,Damaris,O,S,4.0,m,60699,NV Energy,,561.0,2705353.0,1-668-247-1597,401946.0,Alberta
29.0,Torrance,United States of America,4.0,boz99,,bozicevich,10678 ENGLEWOOD WEST,2.0,Ilyssa,O,S,1.0,,V6p 1s8,Landstar System,,569.0,3565153.0,1-901-346-8890,425422.0,ME
52.0,Stockton,United States of America,5.0,Zah100,,Zaharychuk,21181 2ND RUE,1.0,Moselle,O,M,4.0,,v6i 1p1,Pacific Life,R,634.0,2832204.0,1-451-273-3803,208890.0,MA
51.0,Paterson,United States of America,10.0,And101,,Andric,22963 hanover road,3.0,Dulsea,O,U,5.0,F,79423,Textron,,488.0,2194345.0,1-129-499-9136,67880.0,NV
24.0,Mesa,Canada,5.0,Bam102,,Bamfo,8268 cliffbrook boulevard,3.0,Lyndsie,O,W,2.0,,H5j 1o6,Pfizer,L,788.0,3737140.0,1-899-319-0772,133412.0,WA
98.0,Anchorage,United States of America,8.0,fro103,,frondozo,5118 montview court,4.0,KESLEY,O,D,3.0,,93761,Cigna,,333.0,464753.0,1-053-396-0441,144829.0,WY
59.0,Miami,United States of America,,Car104,,Caron,17442 tallowood upper,1.0,LAUREL,U,M,1.0,,76150,Ameren,J,601.0,596696.0,1-239-665-9540,,NJ
49.0,Great Falls,Canada,2.0,muc105,,muchow,4038 WEDGEWOOD STREET,4.0,Steen,O,U,3.0,f,99717,Consolidated Edison,V,595.0,1504753.0,1-605-888-3403,143682.0,LA
1.0,Erie,United States of America,10.0,gat106,,gateau,20334 anaconda avenue,1.0,noel,O,U,0.0,,60608,Occidental Petroleum,,433.0,3049281.0,1-630-604-2543,350020.0,TX
79.0,Hollywood,United States of America,10.0,Sch107,,Schaefer,5385 young west,,Tracey,O,U,0.0,F,v6w 1u4,Sherwin-Williams,M,403.0,247478.0,1-851-862-7928,435103.0,SC
6.0,Tulsa,United States of America,3.0,pom108,,pomerleau,2747 SINCLAIR LANE,5.0,Sarajane,R,,1.0,,T5b 1t6,Affiliated Computer Services,,615.0,2750301.0,1-065-415-5724,207768.0,TX
70.0,Tucson,United States of America,1.0,cuc109,,cucuzzella,8622 BROWNWAY PARK,4.0,Geoffrey,O,M,0.0,F,23298,Valassis Communications,K,735.0,721333.0,1-408-512-1007,407512.0,MN
23.0,Anchorage,United States of America,1.0,SUG110,,SUGARMAN,18048 GREEN NORTH,0.0,loralyn,O,S,3.0,q,32803,,Z,668.0,669440.0,1-083-902-4184,403366.0,ID
78.0,Sandy,Canada,,Pep111,,Pepe,18994 country boulevard,5.0,andrei,O,M,3.0,,64122,Smithfield Foods,,349.0,2473979.0,1-568-403-7081,384095.0,MI
79.0,Boston,United States of America,,Cha112,SUITE 7,Chandrashekar,16063 ashland road,,javad,,S,4.0,f,T6b 1h2,,,654.0,3545170.0,1-824-389-0618,288969.0,OK
72.0,Vancouver,United States of America,6.0,SEI113,Apt. 971,SEIFERS,19309 mcfarlin north,3.0,Karna,O,U,2.0,m,22222,TD Ameritrade,U,361.0,1494871.0,1-174-210-2058,233665.0,UT
31.0,Akron,Canada,1.0,GAR114,,GARTLEY,2454 cliffbrook west,0.0,Jocelyn,U,S,4.0,F,T6a 1d2,Comerica,S,427.0,436164.0,1-425-503-7952,147236.0,PA
86.0,Lancaster,United States of America,1.0,Tou115,,Touchette,15865 strand west,3.0,Elvera,O,W,0.0,M,v5d 1n9,Steel Dynamics,,322.0,1069481.0,1-012-389-9089,452557.0,New Brunswick
,Concord,United States of America,9.0,Kur116,,Kurdziel,13776 east boulevard,0.0,Nessy,R,S,2.0,M,23321,Coca-Cola Enterprises,V,792.0,,1-909-472-6704,179305.0,UT
87.0,Chesapeake,Canada,2.0,Her117,,Herod,10570 WEIZMANN LOWER,0.0,lona,O,U,3.0,,90505,News Corp.,,478.0,2957261.0,1-622-167-5411,205817.0,VA
92.0,Flint,United States of America,1.0,MCV118,,MCVICAR,15278 walnut hill road,5.0,RHEA,O,M,,,19066,,P,477.0,228459.0,1-164-511-9338,262711.0,NH
4.0,Chattanooga,Canada,6.0,LAB119,,LABFIVE,23007 WAKEFOREST WAY,5.0,Josefa,O,M,1.0,F,v6s 1r3,Stater Bros. Holdings,,449.0,67267.0,1-804-532-9163,84810.0,VT
8.0,Billings,United States of America,2.0,but120,,butta,9088 rivas way,4.0,alikee,O,U,2.0,,78769,BorgWarner,,466.0,1087978.0,1-197-370-0297,96441.0,FL
97.0,Scottsdale,United States of America,2.0,Pro121,,Projects,18798 ullrich road,5.0,dolorita,O,M,0.0,m,53769,CB Richard Ellis Group,,483.0,3885967.0,1-337-042-5687,462762.0,NC
,Oshawa,United States of America,4.0,Irc122,,Irc,18517 HULEN LOWER,4.0,Marilyn,O,D,5.0,,H7E 1U6,Zimmer Holdings,,588.0,3271101.0,1-056-138-5321,141890.0,VA
40.0,Naperville,Canada,2.0,Ziv123,,Zivkovic,11474 dodd lane,5.0,robertson,O,,5.0,,e7o 1k1,Mohawk Industries,G,313.0,,1-776-191-2031,156610.0,DC
95.0,Tampa,United States of America,1.0,sim124,,simser,9375 wood south,4.0,Ilsa,R,U,1.0,,90374,Berkshire Hathaway,H,647.0,1999133.0,1-280-696-2706,164752.0,NC
92.0,Jackson,United States of America,2.0,kei125,,keifer,20479 wise avenue,5.0,Pen,O,S,1.0,,63169,Saks,I,430.0,1100786.0,1-857-581-6346,278949.0,MS
67.0,Hay River,United States of America,8.0,arv126,,arvin,19918 ROGERS NORTH,5.0,AUBRETTE,O,W,0.0,f,16515,Gardner Denver,P,467.0,563992.0,,,SC
24.0,Irvine,United States of America,7.0,Pra127,,Praeuner,9284 coffey lower,2.0,Cole,O,M,3.0,F,85309,Hasbro,,399.0,962397.0,1-716-343-0884,463736.0,KS
26.0,Idaho Falls,United States of America,5.0,lue128,,lue,2929 north crescent,3.0,liva,O,M,2.0,m,92158,CBS,C,654.0,1064169.0,1-101-776-2496,,VT
62.0,Moreno Valley,United States of America,3.0,Prz129,,Przybycien,15404 queen street,0.0,Ayaz,O,S,2.0,f,33152,Synnex,,378.0,2100059.0,1-769-028-0589,86667.0,IL
37.0,Ontario,United States of America,10.0,pen130,,penn,1619 greenspoint road,1.0,YETTY,O,W,5.0,f,83729,Belden,J,338.0,99025.0,1-005-833-8970,193470.0,FL
71.0,Concord,United States of America,10.0,Gua131,,Guay,21477 WARREN PARK,0.0,Mary-michelle,R,S,5.0,,B8b 1z6,Broadcom,S,695.0,3865481.0,1-884-215-4243,406379.0,MI
29.0,Phoenix,Canada,7.0,bre132,,brennand,6503 ROBBINS STREET,3.0,agretha,U,M,1.0,F,53717,Reynolds American,,614.0,804544.0,,480595.0,Newfoundland
89.0,Coral Springs,United States of America,7.0,Sav133,,Savanh,3958 GLEN LOCH BOULEVARD,5.0,LOTTY,O,S,4.0,f,t5c 1w7,Wells Fargo,X,307.0,3143356.0,1-725-177-7815,181718.0,ME
11.0,Oxnard,United States of America,2.0,ABB134,,ABBATANTUONO,13640 ethridge lower,3.0,Kassey,O,M,0.0,,37245,Retail Ventures,Z,331.0,,1-277-496-5396,468310.0,AL
20.0,Brownsville,United States of America,2.0,OP135,,OP,3981 imperial lower,0.0,Adria,O,S,2.0,M,94401,AT&T,N,638.0,2311953.0,1-756-463-2201,354987.0,IN
75.0,Memphis,Canada,3.0,Mer136,,Mersinger,13210 3rd drive,5.0,audivox,O,W,3.0,,B8a 1y3,Wynn Resorts,,703.0,3120608.0,1-261-338-7463,284539.0,NH
95.0,Flint,United States of America,7.0,rut137,,rutt,9297 THROCKMORTON SOUTH,5.0,SUE,O,S,0.0,F,t6b 1k2,Eastman Kodak,,302.0,2058270.0,1-811-086-4675,213725.0,DC
0.0,Lafayette,United States of America,,bem138,,bemis,8935 YOUNG UPPER,3.0,Lorenza,O,U,2.0,,85306,Aramark,I,522.0,1511983.0,1-338-771-1185,74195.0,DC
73.0,Greensboro,United States of America,,Pen139,,Pennington,3797 RUTGERS PARK,1.0,Enzo,O,M,5.0,,V6R 1R7,ENSCO International,,,439080.0,1-554-231-5318,169295.0,MD
39.0,Sterling Heights,United States of America,5.0,tor140,,torok,8285 tamarind crescent,0.0,claudina,R,W,1.0,M,68513,Auto-Owners Insurance,Y,833.0,921255.0,1-733-886-5227,307832.0,Prince Edward Island
