prospect_AgeID,prospect_AddrL1,prospect_Ci,prospect_NeWor,prospect_Coun,prospect_Em,prospect_Inc,prospect_NumCa,prospect_NuChil,prospect_MarSta,prospect_A,prospect_CrRat,prospect_OORF,prospect_NuCreCar
Cgt7525,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,El Monte,2388613.0,United States of America,Country Financial Services,238434.0,4.0,2.0,W,99.0,734.0,O,7.0
Lwx7526,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Sterling Heights,3116283.0,United States of America,Procter & Gamble,,0.0,2.0,M,49.0,469.0,U,4.0
epy7527,vnyndcximwxhecv,Pembroke Pines,2671950.0,United States of America,Ingles Markets,391354.0,3.0,0.0,S,72.0,595.0,O,2.0
Aff7528,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Philadelphia,3899593.0,United States of America,Forest Laboratories,419165.0,3.0,0.0,U,41.0,410.0,O,1.0
mfc7529,,Glendale,2537332.0,Canada,Dentsply International,396509.0,3.0,2.0,W,54.0,475.0,O,10.0
Slf7530,GVSBHGBDDVJFNNOZNNPJWCOI,El Monte,733236.0,United States of America,RadioShack,145161.0,0.0,2.0,,11.0,,R,2.0
Cxu7531,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Warwick,,United States of America,Century Aluminum,263206.0,2.0,5.0,W,0.0,519.0,O,3.0
GZO7532,BIQIOQOHLQSTBRUFOI,Milwaukee,3397276.0,United States of America,,190371.0,3.0,3.0,D,27.0,841.0,U,5.0
DRW7533,Llfaqkbemnoy,Phoenix,2444257.0,United States of America,FPL Group,203968.0,3.0,1.0,U,95.0,540.0,O,6.0
set7534,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,Anchorage,71520.0,United States of America,Lockheed Martin,428323.0,1.0,3.0,U,35.0,540.0,R,10.0
Pyo7535,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Madison,1911091.0,United States of America,Sanmina-SCI,159980.0,4.0,1.0,M,96.0,,O,6.0
FSH7536,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Fontana,988775.0,Canada,Iron Mountain,266852.0,0.0,0.0,W,96.0,424.0,O,6.0
Tdx7537,,Charlotte,3919363.0,United States of America,OfficeMax,206973.0,5.0,5.0,M,49.0,623.0,R,2.0
Sbn7538,atydogjpqphuwhegtbukkqiaeakrtrn,Richmond,428918.0,Canada,AMR,258221.0,5.0,1.0,S,,792.0,O,4.0
Piq7539,Hlotorcbtobuceb,Santa Clarita,58134.0,United States of America,Kohl's,428508.0,4.0,4.0,S,27.0,718.0,O,6.0
IXD7540,gsrdigbqfwrahybxrtm,Yellow Knife,3703767.0,,Cigna,,4.0,0.0,M,98.0,401.0,O,6.0
wsn7541,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Oxnard,433859.0,United States of America,West,58953.0,4.0,5.0,M,,557.0,R,2.0
Jkp7542,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Huntington Beach,3002044.0,United States of America,Monsanto,409682.0,5.0,5.0,W,56.0,393.0,O,7.0
CCF7543,,Durham,1124168.0,United States of America,Reliant Energy,340191.0,2.0,4.0,M,94.0,557.0,,10.0
ylj7544,RELJYREDKQEKGOORBLRKOUIC,Naperville,2081541.0,United States of America,Idearc,238216.0,4.0,5.0,U,98.0,465.0,O,5.0
ZBB7545,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Albuquerque,1897076.0,Canada,Neiman Marcus,113171.0,0.0,1.0,M,8.0,,O,6.0
fqe7546,Yewxbqpnfgh,Newark,235172.0,United States of America,O'Reilly Automotive,234797.0,5.0,,W,90.0,485.0,,10.0
Wpw7547,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Miami,639573.0,United States of America,Cliffs Natural Resources,225322.0,4.0,2.0,M,34.0,303.0,,2.0
vpz7548,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,London,2667082.0,Canada,Health Management Associates,192689.0,1.0,2.0,W,25.0,846.0,O,4.0
Yfz7549,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Worcester,2598634.0,Canada,Chevron,348685.0,5.0,4.0,,50.0,621.0,O,1.0
dou7550,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,Jacksonville,1074671.0,United States of America,Exide Technologies,401229.0,3.0,4.0,D,85.0,331.0,O,
FDJ7551,hfuyqlsmbesrylepu,Nashua,2272997.0,United States of America,Convergys,38597.0,5.0,4.0,M,60.0,401.0,R,9.0
ufu7552,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,Newport News,702000.0,United States of America,Dominion Resources,,2.0,2.0,S,95.0,644.0,R,0.0
bbg7553,qgjnvpwvmgsqzcanzncon,Corona,1289800.0,United States of America,Sentry Insurance Group,161204.0,4.0,1.0,M,8.0,769.0,R,5.0
Znk7554,HNBGLUDIOAJRCCIXGDUQOO,Lincoln,1007390.0,,Cintas,202650.0,3.0,4.0,M,31.0,481.0,O,2.0
CGQ7555,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Toronto,124290.0,Canada,Medtronic,,1.0,2.0,U,51.0,732.0,O,7.0
add7556,dnlleihfh,Fayetteville,1820002.0,United States of America,Pride International,492433.0,4.0,4.0,M,24.0,802.0,O,2.0
Anw7557,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,Charlotte,2200347.0,Canada,A. Schulman,344858.0,2.0,4.0,M,78.0,329.0,O,5.0
Hvt7558,Wsjaujjdexc,Tulsa,3669569.0,United States of America,Oneok,197290.0,5.0,0.0,W,56.0,839.0,R,0.0
Yqj7559,Ojberg,Winston-Salem,2140537.0,United States of America,Danaher,283654.0,2.0,,U,50.0,539.0,,
Ztn7560,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Thousand Oaks,3258909.0,United States of America,Del Monte Foods,317423.0,4.0,5.0,M,52.0,561.0,R,4.0
bni7561,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Lubbock,1825422.0,United States of America,American Electric Power,399126.0,4.0,5.0,W,14.0,814.0,O,2.0
swx7562,Xwtkpxqgohxwxnv,Winnipeg,1845263.0,United States of America,TJX,398180.0,5.0,0.0,M,29.0,305.0,R,7.0
DSA7563,Qpvmtkxxfef,Laredo,1463114.0,United States of America,Philip Morris International,,2.0,4.0,S,50.0,457.0,O,4.0
BXZ7564,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Overland Park,2354683.0,United States of America,Cincinnati Financial,485429.0,4.0,1.0,U,67.0,349.0,O,8.0
pcz7565,KRYAIAJGKHBKXBLC,Calgary,436677.0,United States of America,Stryker,118018.0,2.0,0.0,M,22.0,590.0,O,0.0
Zqa7566,,Peoria,2383335.0,United States of America,Kansas City Southern,309693.0,5.0,4.0,U,20.0,533.0,O,0.0
Htl7567,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Durham,2574739.0,Canada,IDT,90718.0,4.0,0.0,W,75.0,686.0,O,9.0
afw7568,VBDCWYVK,Pueblo,1596838.0,United States of America,Vornado Realty Trust,280645.0,2.0,0.0,U,60.0,582.0,O,10.0
Wna7569,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Las Cruces,591965.0,United States of America,Dollar General,231559.0,,4.0,S,,807.0,O,0.0
Mlh7570,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Chula Vista,3071440.0,United States of America,Safeway,36898.0,3.0,5.0,S,48.0,819.0,O,3.0
Gor7571,Gwxymofcy,San Diego,2683081.0,United States of America,Apache,396786.0,2.0,0.0,M,91.0,311.0,R,5.0
ENX7572,Qynjnmfgwxpmrw,Chicago,3850483.0,United States of America,Lowe's,344365.0,2.0,5.0,U,98.0,734.0,O,3.0
fgr7573,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,Worcester,1870617.0,United States of America,Lithia Motors,1205.0,4.0,1.0,W,51.0,432.0,O,1.0
Ysh7574,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,Honolulu,1249534.0,United States of America,CH2M Hill,276666.0,5.0,0.0,S,22.0,394.0,O,3.0
Mos7575,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,Albuquerque,3789880.0,United States of America,Tellabs,497953.0,0.0,0.0,U,57.0,658.0,O,1.0
czu7576,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,Oakland,3874445.0,Canada,Phillips-Van Heusen,156048.0,1.0,2.0,M,38.0,348.0,O,3.0
Ghr7577,BESJDYZDIOIXKDFEHBQXBPW,Billings,437353.0,United States of America,Wells Fargo,63617.0,1.0,5.0,M,68.0,598.0,O,8.0
Rwk7578,Ouopoqztakszwsfkthdbwndfjuqaelyd,Pueblo,2669917.0,United States of America,Vornado Realty Trust,244849.0,2.0,2.0,U,93.0,505.0,O,9.0
Uwi7579,Ivwhotvobwkshcixclfobqoljlaqohw,Sherbrooke,1466537.0,United States of America,New York Times,123585.0,4.0,3.0,S,48.0,839.0,R,7.0
VXZ7580,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,Sacramento,991860.0,United States of America,Adobe Systems,391134.0,1.0,1.0,S,96.0,672.0,U,2.0
Ayk7581,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,Charlotte,,United States of America,Valmont Industries,426759.0,5.0,5.0,M,58.0,696.0,O,3.0
lho7582,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,El Paso,1816368.0,United States of America,UAL,451737.0,5.0,3.0,W,63.0,448.0,O,5.0
rzi7583,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,Mesa,565246.0,United States of America,AFLAC,180822.0,2.0,1.0,S,18.0,549.0,O,9.0
Wds7584,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Simi Valley,1899339.0,United States of America,VeraSun Energy,205843.0,4.0,2.0,W,40.0,705.0,O,0.0
Xsj7585,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,St. Catharines,3873239.0,United States of America,Magellan Health Services,470985.0,4.0,3.0,M,29.0,387.0,O,6.0
Lux7586,Nhgrkzjzcrjcerkwrugwul,Washington,767547.0,United States of America,Emcor Group,318225.0,2.0,1.0,U,21.0,359.0,,7.0
wxw7587,,Chula Vista,1027999.0,Canada,Peabody Energy,326044.0,2.0,2.0,M,41.0,494.0,O,9.0
pfz7588,uiaoi,Montpelier,3428495.0,United States of America,State Farm Insurance Cos.,,1.0,1.0,M,56.0,345.0,,10.0
hlx7589,Wwonzdtvwkn,Mesa,1827180.0,United States of America,Humana,187282.0,2.0,0.0,M,33.0,402.0,O,10.0
nyb7590,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,New Haven,2070007.0,United States of America,News Corp.,,2.0,0.0,M,96.0,579.0,O,3.0
Ltt7591,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,Indianapolis,,United States of America,Torchmark,,2.0,0.0,,35.0,569.0,O,2.0
gsz7592,cezvfwtftwlwfrgrpxtuejvrgucexe,Stockton,3596263.0,United States of America,Rock-Tenn,306946.0,0.0,4.0,W,40.0,745.0,O,9.0
Kwp7593,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,Louisville,3719999.0,,AGCO,99663.0,0.0,,D,10.0,320.0,U,1.0
AGM7594,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,Atlanta,3058439.0,United States of America,,482013.0,2.0,4.0,M,59.0,591.0,R,4.0
Ocn7595,Ctgihaqlm,Milwaukee,2592932.0,United States of America,United Stationers,180476.0,1.0,0.0,M,70.0,,U,10.0
Cmw7596,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,Fort Smith,1471273.0,United States of America,McCormick,285682.0,4.0,5.0,M,69.0,417.0,,5.0
Dit7597,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,Knoxville,,United States of America,National Life Group,455032.0,0.0,5.0,M,96.0,338.0,R,8.0
Rmm7598,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,Idaho Falls,2410816.0,United States of America,Hasbro,356141.0,3.0,,S,9.0,340.0,O,9.0
ekj7599,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,Jacksonville,1059543.0,Canada,Tupperware Brands,165667.0,3.0,3.0,U,39.0,738.0,U,5.0
wcq7600,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,Stockton,379282.0,United States of America,Covance,459767.0,0.0,2.0,S,31.0,597.0,O,7.0
Klc7601,RSSNUTWWLOKIHRRTPEAFTLBF,Thousand Oaks,3271265.0,United States of America,Interactive Brokers Group,106459.0,2.0,2.0,M,64.0,603.0,R,4.0
Jrd7602,Sachwqwddeyfxvagihsjxtcsibaejb,Nashua,1530364.0,,SkyWest,51021.0,,1.0,D,38.0,662.0,U,5.0
GDQ7603,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,Tallahassee,3731860.0,United States of America,Best Buy,494931.0,2.0,4.0,W,47.0,838.0,R,0.0
fnm7604,Sbutxmtwkb,Brownsville,2488858.0,United States of America,Sears Holdings,429859.0,5.0,2.0,M,,791.0,O,9.0
Ymu7605,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,Charlotte,2301347.0,Canada,Frontier Oil,,1.0,4.0,S,76.0,692.0,O,7.0
Pxj7606,mnkidgiyajigobghpnkdvauwiubpjb,Oakland,1736571.0,,Automatic Data Processing,464086.0,0.0,3.0,W,60.0,673.0,O,8.0
Rsd7607,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,Fort Wayne,2399483.0,Canada,,207651.0,3.0,,U,73.0,331.0,O,7.0
Qqh7608,Fmrydeogisvvtrpsfonolelpnqcbkrr,Chula Vista,2982744.0,United States of America,Comerica,260418.0,4.0,,U,37.0,744.0,O,2.0
udq7609,Xhggtfwyslxvgeiuzjfxewcsweefq,Peoria,1611011.0,United States of America,Baldor Electric,,5.0,1.0,M,50.0,446.0,U,6.0
Ghl7610,,Lexington,2999167.0,Canada,Commercial Metals,316963.0,0.0,4.0,M,0.0,,O,0.0
mtk7611,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,Salem,,Canada,,84046.0,5.0,,W,,,O,
QIY7612,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,San Jose,3307491.0,United States of America,Molina Healthcare,368990.0,0.0,3.0,M,,723.0,O,9.0
Ohz7613,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,Kansas City,2057260.0,Canada,Plains All American Pipeline,124382.0,2.0,0.0,S,81.0,348.0,O,2.0
djg7614,Gvdteormavfflajkedaclod,Windsor,53179.0,United States of America,Agilent Technologies,9263.0,2.0,0.0,M,52.0,666.0,O,
Iad7615,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,Chicago,690086.0,United States of America,AutoZone,334181.0,2.0,4.0,M,68.0,,U,3.0
EMG7616,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,Evansville,2025465.0,United States of America,,314001.0,0.0,1.0,M,,844.0,R,8.0
Hjn7617,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,Honolulu,695307.0,Canada,Universal Health Services,168309.0,1.0,4.0,M,36.0,766.0,O,8.0
CYP7618,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,Cleveland,3238398.0,United States of America,Time Warner,322765.0,2.0,4.0,M,31.0,521.0,O,10.0
KPN7619,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,Livonia,1213578.0,United States of America,Sealed Air,311253.0,1.0,5.0,W,55.0,306.0,O,7.0
Vbi7620,Blsmawjjdmdamrhqyqgzmbkfa,Little Rock,103708.0,United States of America,Sprint Nextel,140296.0,5.0,5.0,W,66.0,411.0,R,9.0
ehb7621,Stofpzwyhkpmuq,Halifax,1086081.0,United States of America,,439984.0,1.0,5.0,M,22.0,,O,3.0
TMQ7622,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,Peoria,1349626.0,United States of America,Quiksilver,454011.0,5.0,0.0,U,51.0,702.0,O,8.0
Lsb7623,,San Jose,1083092.0,United States of America,Valspar,191541.0,1.0,5.0,S,26.0,842.0,R,1.0
Dpz7624,Twfsibyhrvrnvcygkdiwyokzoikvjbawfwpiachehbzcinnvdgevmbuozxru,Charlotte,1662799.0,United States of America,Timken,,2.0,1.0,U,100.0,528.0,R,0.0
Zuj7625,cnckvldjedzgdqhy,Hilo,3548540.0,United States of America,,,3.0,3.0,W,13.0,300.0,R,5.0
Jqk7626,,Yonkers,881414.0,United States of America,Occidental Petroleum,269215.0,2.0,1.0,S,11.0,752.0,O,7.0
ijb7627,VITKCZSDQUXZTMLICIBDHMBKLDLCTRVNDXMCHYEHGKHEVTWIYGOYVVMGCSUTKYDEVACOBPWCJYA,Modesto,1712200.0,Canada,,193126.0,0.0,4.0,M,62.0,303.0,O,0.0
NMO7628,qehomraquwxrkb,Louisville,847446.0,United States of America,Massey Energy,462618.0,3.0,5.0,M,13.0,418.0,O,10.0
Tef7629,pqcvwpsrvpzvqbvhsmxgvaigjfvoqwnjrzcpnlwqcqhzedfjoqpahrugzhperwh,Eugene,344294.0,United States of America,Weyerhaeuser,212026.0,3.0,3.0,W,23.0,667.0,O,4.0
Sdj7630,Vhixcyutfffwnvhjcajyuzaqshhtpkcdxkxayylwdfdvwdqejppkxhwfe,Buffalo,1534879.0,United States of America,National Fuel Gas,371024.0,1.0,4.0,D,51.0,441.0,U,7.0
Pbr7631,kxnhxkeruywqzmkpbwatzrjybxepmuyrnmxtcjblsbdaewnizpa,Santa Fe,3897101.0,United States of America,Pep Boys,235810.0,3.0,2.0,U,2.0,471.0,O,0.0
Ice7632,Kobkgkfebuucmenkiwfomkpzvbqksljtanzpffqcbmerezuplwjemxtcbgfijlplqkbvt,Springfield,3064442.0,United States of America,Neiman Marcus,347270.0,2.0,,W,,701.0,O,9.0
ZWG7633,TAIWTM,Anchorage,2016524.0,United States of America,BlackRock,399212.0,5.0,2.0,D,82.0,323.0,R,1.0
Evw7634,Twqwqcihxcqtsikjrbkpdkcjvilxxwufcseemmxkpaevfnnugdvcqakfvfskapafcnvyd,Winnipeg,37745.0,United States of America,McGraw-Hill,439561.0,4.0,5.0,M,94.0,846.0,O,10.0
Lhl7635,Wvsmbbadsaukihzirleqmihmfjfafpipekvdkefyphameghcopkjeesgzzrbcermehabkebgrek,Waco,503752.0,United States of America,Family Dollar Stores,29980.0,3.0,4.0,M,16.0,850.0,O,8.0
LYB7636,gftdszadvqouvqfmwwscgcdqwrqbpwtnqurrsyiwhkcvhuocznwtwvy,Stockton,2115180.0,United States of America,Teleflex,28693.0,2.0,5.0,M,43.0,,U,
Ijb7637,Phqspowfoiqmszxy,Boston,839222.0,Canada,,106794.0,1.0,2.0,M,76.0,564.0,O,3.0
Zhf7638,XDPEFDQIMFNMCO,Memphis,1851334.0,United States of America,Imation,340598.0,3.0,5.0,S,0.0,558.0,O,4.0
PYU7639,FSSAAXLAMAPBOMTNUFG,Sydney,1348251.0,United States of America,PPL,490597.0,1.0,,U,33.0,417.0,O,0.0
Iku7640,AKWOIATLDDKU,Shreveport,2722392.0,Canada,Smithfield Foods,499685.0,2.0,2.0,U,62.0,487.0,O,6.0
HBZ7641,Awzdulnpokgxmcpktscqulqpvxabgunakhqq,Modesto,1785161.0,United States of America,Macy's,62285.0,2.0,0.0,M,8.0,639.0,O,9.0
Pco7642,VANVGDDSYEK,Hull,2823578.0,United States of America,Torchmark,320885.0,5.0,5.0,U,4.0,625.0,O,3.0
Ybv7643,TVTDULLNHUZPDNEEKSXEGPXDNE,Yonkers,2123972.0,United States of America,Herman Miller,184669.0,5.0,3.0,D,39.0,,O,1.0
Rim7644,phbmzmktzmjbzbkqsvgsvojcoukqnfkdnyszoeqyprkqroesnbjv,Atlanta,112782.0,United States of America,Kindred Healthcare,126989.0,0.0,0.0,S,90.0,,R,3.0
gnf7645,HWAWSSEUGGKEXQDESYXFHWZ,Hayward,248311.0,Canada,Arch Coal,48144.0,1.0,4.0,M,7.0,460.0,,3.0
Wxp7646,Tbgfcjvdnlvfdbsflxuslzugybolmyrvhvnmxmsmbjqjbzyhchsimsksjsmefqpcmz,Savannah,3719851.0,United States of America,Whirlpool,377787.0,5.0,4.0,,95.0,793.0,O,8.0
Dxh7647,,Fullerton,1920385.0,Canada,Arrow Electronics,323782.0,5.0,5.0,U,59.0,821.0,O,8.0
Aqo7648,NASLRGJGXPDOGNJSHNLNGBCXJVO,Overland Park,576903.0,United States of America,Rock-Tenn,31880.0,3.0,2.0,S,13.0,,O,6.0
fen7649,Qehqgkzddwjunisyacybbnmrmkunpfvrnhfizwrrzbtgfgphxpoonkwajc,Alexandria,1855037.0,United States of America,R.H. Donnelley,390190.0,5.0,3.0,D,58.0,643.0,O,8.0
CMQ7650,Wxsvopaiebzotntohnhbnlweijvcpcixjlldrgjwkkejcj,Fort Collins,2954046.0,Canada,Pall,413821.0,4.0,1.0,U,67.0,817.0,O,2.0
Yhb7651,bwkeulfgsowudelmesxzkmxymtsophjwhtgpfexigpkxyptnpyxrnkomowwfgwmynrvpawzb,Santa Fe,952096.0,United States of America,Burlington Coat Factory,301451.0,1.0,2.0,,68.0,702.0,O,10.0
