gncd,wnrrntflg,phn,mplr,mddlntl,pstlcd,gndr,nmbrcrs,stt,ncm,mrtlstts,cntr,nmbrchldrn,g,crdtrtng,nmbrcrdtcrds,ntwrth
Jkp7542,O,1-392-335-1020,Monsanto,A,gzexcrngivl,M,5.0,British Columbia,409682.0,W,United States of America,5.0,56.0,393.0,7.0,3002044.0
CCF7543,,1-912-050-7605,Reliant Energy,,yzoikhwrd,M,2.0,CT,340191.0,M,United States of America,4.0,94.0,557.0,10.0,1124168.0
ylj7544,O,1-075-551-9919,Idearc,,Gdbktega,,4.0,WA,238216.0,U,United States of America,5.0,98.0,465.0,5.0,2081541.0
ZBB7545,O,1-013-611-2674,Neiman Marcus,V,Kdcqzpvf,F,0.0,ND,113171.0,M,Canada,1.0,8.0,,6.0,1897076.0
fqe7546,,1-656-865-7544,O'Reilly Automotive,,Tbwgwtmgcu,m,5.0,ID,234797.0,W,United States of America,,90.0,485.0,10.0,235172.0
Wpw7547,,1-879-870-7379,Cliffs Natural Resources,,Mwmfs,,4.0,Quebec,225322.0,M,United States of America,2.0,34.0,303.0,2.0,639573.0
vpz7548,O,1-366-625-9813,Health Management Associates,,goelqgcts,,1.0,ID,192689.0,W,Canada,2.0,25.0,846.0,4.0,2667082.0
Yfz7549,O,1-359-462-7089,Chevron,,ucwygjzs,,5.0,AL,348685.0,,Canada,4.0,50.0,621.0,1.0,2598634.0
dou7550,O,,Exide Technologies,,fjlfqftwg,,3.0,UT,401229.0,D,United States of America,4.0,85.0,331.0,,1074671.0
FDJ7551,R,1-153-396-8333,Convergys,,Tocujgaiaq,M,5.0,MS,38597.0,M,United States of America,4.0,60.0,401.0,9.0,2272997.0
ufu7552,R,1-144-623-1308,Dominion Resources,,kurjmmgixxfd,,2.0,AK,,S,United States of America,2.0,95.0,644.0,0.0,702000.0
bbg7553,R,1-269-220-8046,Sentry Insurance Group,H,cnsavindoi,m,4.0,VT,161204.0,M,United States of America,1.0,8.0,769.0,5.0,1289800.0
Znk7554,O,1-052-524-0130,Cintas,v,MQBSAUVQRPYE,f,3.0,LA,202650.0,M,,4.0,31.0,481.0,2.0,1007390.0
CGQ7555,O,1-335-871-6660,Medtronic,T,vadbnvz,F,1.0,CT,,U,Canada,2.0,51.0,732.0,7.0,124290.0
add7556,O,1-637-394-8083,Pride International,,Ljurvnigr,,4.0,UT,492433.0,M,United States of America,4.0,24.0,802.0,2.0,1820002.0
Anw7557,O,1-706-795-4208,A. Schulman,J,BQDMQVFTNBRJ,,2.0,IN,344858.0,M,Canada,4.0,78.0,329.0,5.0,2200347.0
Hvt7558,R,1-622-347-5699,Oneok,,jkcul,m,5.0,WI,197290.0,W,United States of America,0.0,56.0,839.0,0.0,3669569.0
Yqj7559,,1-042-017-9368,Danaher,d,Nelny,,2.0,WA,283654.0,U,United States of America,,50.0,539.0,,2140537.0
Ztn7560,R,1-829-935-5979,Del Monte Foods,,Qsggz,F,4.0,LA,317423.0,M,United States of America,5.0,52.0,561.0,4.0,3258909.0
bni7561,O,1-076-726-5283,American Electric Power,,Drofa,F,4.0,VT,399126.0,W,United States of America,5.0,14.0,814.0,2.0,1825422.0
swx7562,R,,TJX,,Ssovhtmt,,5.0,CT,398180.0,M,United States of America,0.0,29.0,305.0,7.0,1845263.0
DSA7563,O,1-284-129-5920,Philip Morris International,P,Tnprhljfrlj,f,2.0,RI,,S,United States of America,4.0,50.0,457.0,4.0,1463114.0
BXZ7564,O,1-128-308-8886,Cincinnati Financial,,Bkxujhonjgjk,,4.0,SC,485429.0,U,United States of America,1.0,67.0,349.0,8.0,2354683.0
pcz7565,O,1-145-469-5971,Stryker,,mrjrjhgnwcdu,,2.0,British Columbia,118018.0,M,United States of America,0.0,22.0,590.0,0.0,436677.0
Zqa7566,O,1-727-684-7767,Kansas City Southern,,Yusezkfgs,m,5.0,CO,309693.0,U,United States of America,4.0,20.0,533.0,0.0,2383335.0
Htl7567,O,1-776-201-2472,IDT,z,RKXTQAO,,4.0,TN,90718.0,W,Canada,0.0,75.0,686.0,9.0,2574739.0
afw7568,O,1-767-942-1278,Vornado Realty Trust,L,UBQSATXZO,F,2.0,CA,280645.0,U,United States of America,0.0,60.0,582.0,10.0,1596838.0
Wna7569,O,1-723-062-7266,Dollar General,,BHRNWQLFVFA,,,WY,231559.0,S,United States of America,4.0,,807.0,0.0,591965.0
Mlh7570,O,,Safeway,,Ktmzav,,3.0,SD,36898.0,S,United States of America,5.0,48.0,819.0,3.0,3071440.0
Gor7571,R,1-145-314-0862,Apache,,Nfpchgfj,,2.0,British Columbia,396786.0,M,United States of America,0.0,91.0,311.0,5.0,2683081.0
ENX7572,O,1-735-104-7772,Lowe's,,Wuywecohosfi,f,2.0,NJ,344365.0,U,United States of America,5.0,98.0,734.0,3.0,3850483.0
fgr7573,O,,Lithia Motors,,tibxlojrqiha,,4.0,AK,1205.0,W,United States of America,1.0,51.0,432.0,1.0,1870617.0
Ysh7574,O,1-518-116-1411,CH2M Hill,a,ogmes,m,5.0,OH,276666.0,S,United States of America,0.0,22.0,394.0,3.0,1249534.0
Mos7575,O,1-696-359-4829,Tellabs,I,JUBKXDKP,,0.0,New Brunswick,497953.0,U,United States of America,0.0,57.0,658.0,1.0,3789880.0
czu7576,O,1-352-678-5471,Phillips-Van Heusen,,Xbgykqm,,1.0,IL,156048.0,M,Canada,2.0,38.0,348.0,3.0,3874445.0
Ghr7577,O,1-906-600-9749,Wells Fargo,Z,NNCXIBTCXZA,,1.0,AZ,63617.0,M,United States of America,5.0,68.0,598.0,8.0,437353.0
Rwk7578,O,1-093-018-2851,Vornado Realty Trust,,mfwuio,,2.0,NY,244849.0,U,United States of America,2.0,93.0,505.0,9.0,2669917.0
Uwi7579,R,1-302-096-9321,New York Times,,Utgwrun,,4.0,WA,123585.0,S,United States of America,3.0,48.0,839.0,7.0,1466537.0
VXZ7580,U,1-915-044-3154,Adobe Systems,,Wgulrhctjlg,,1.0,GA,391134.0,S,United States of America,1.0,96.0,672.0,2.0,991860.0
Ayk7581,O,1-040-274-3474,Valmont Industries,p,Srhxvxe,f,5.0,AZ,426759.0,M,United States of America,5.0,58.0,696.0,3.0,
lho7582,O,1-678-397-2739,UAL,,Dadkihaohc,M,5.0,NV,451737.0,W,United States of America,3.0,63.0,448.0,5.0,1816368.0
rzi7583,O,1-679-345-9939,AFLAC,,Fpoleiod,,2.0,TN,180822.0,S,United States of America,1.0,18.0,549.0,9.0,565246.0
Wds7584,O,1-093-616-0613,VeraSun Energy,,Cuaieflmccqp,,4.0,AL,205843.0,W,United States of America,2.0,40.0,705.0,0.0,1899339.0
Xsj7585,O,1-546-131-8988,Magellan Health Services,f,qiraymmapgf,M,4.0,TX,470985.0,M,United States of America,3.0,29.0,387.0,6.0,3873239.0
Lux7586,,1-477-186-7432,Emcor Group,v,Tsynomgib,,2.0,WV,318225.0,U,United States of America,1.0,21.0,359.0,7.0,767547.0
wxw7587,O,1-965-848-6954,Peabody Energy,,Amudllk,f,2.0,ND,326044.0,M,Canada,2.0,41.0,494.0,9.0,1027999.0
pfz7588,,1-622-866-0937,State Farm Insurance Cos.,e,ELQKT,m,1.0,Saskatchewan,,M,United States of America,1.0,56.0,345.0,10.0,3428495.0
hlx7589,O,1-040-217-2014,Humana,,Oiwac,M,2.0,VA,187282.0,M,United States of America,0.0,33.0,402.0,10.0,1827180.0
nyb7590,O,1-101-684-2373,News Corp.,,Dqgzinvuxxy,,2.0,ND,,M,United States of America,0.0,96.0,579.0,3.0,2070007.0
Ltt7591,O,1-386-426-5849,Torchmark,O,Nchaajfkjvx,,2.0,ND,,,United States of America,0.0,35.0,569.0,2.0,
gsz7592,O,1-598-816-0126,Rock-Tenn,,XEDMBUAMGXKH,,0.0,MS,306946.0,W,United States of America,4.0,40.0,745.0,9.0,3596263.0
Kwp7593,U,1-770-379-7700,AGCO,,crxbrlj,,0.0,WY,99663.0,D,,,10.0,320.0,1.0,3719999.0
AGM7594,R,,,D,Eytubbwi,,2.0,MA,482013.0,M,United States of America,4.0,59.0,591.0,4.0,3058439.0
Ocn7595,U,1-628-245-6238,United Stationers,u,Lwftldizl,m,1.0,AK,180476.0,M,United States of America,0.0,70.0,,10.0,2592932.0
Cmw7596,,1-813-787-2611,McCormick,,GSSFZNBZL,F,4.0,PA,285682.0,M,United States of America,5.0,69.0,417.0,5.0,1471273.0
Dit7597,R,1-362-897-1162,National Life Group,V,Nrnqtmjz,,0.0,MA,455032.0,M,United States of America,5.0,96.0,338.0,8.0,
Rmm7598,O,1-952-919-4878,Hasbro,S,Rzjxvum,,3.0,DC,356141.0,S,United States of America,,9.0,340.0,9.0,2410816.0
ekj7599,U,1-145-214-8009,Tupperware Brands,,Accezkuzqrif,,3.0,RI,165667.0,U,Canada,3.0,39.0,738.0,5.0,1059543.0
wcq7600,O,1-328-944-9786,Covance,A,LNZZPGOTEG,,0.0,MA,459767.0,S,United States of America,2.0,31.0,597.0,7.0,379282.0
Klc7601,R,1-899-864-9421,Interactive Brokers Group,,YINOHET,f,2.0,Alberta,106459.0,M,United States of America,2.0,64.0,603.0,4.0,3271265.0
Jrd7602,U,1-877-997-8896,SkyWest,,ddgkyv,,,AR,51021.0,D,,1.0,38.0,662.0,5.0,1530364.0
GDQ7603,R,1-750-900-0823,Best Buy,,Seiksuhglhj,,2.0,VA,494931.0,W,United States of America,4.0,47.0,838.0,0.0,3731860.0
fnm7604,O,,Sears Holdings,,Ytgghhaxc,,5.0,OR,429859.0,M,United States of America,2.0,,791.0,9.0,2488858.0
Ymu7605,O,1-347-704-7823,Frontier Oil,e,Ajlcdadx,,1.0,ID,,S,Canada,4.0,76.0,692.0,7.0,2301347.0
Pxj7606,O,1-228-976-2888,Automatic Data Processing,R,Daivf,,0.0,IA,464086.0,W,,3.0,60.0,673.0,8.0,1736571.0
Rsd7607,O,,,M,xrquzcptycg,,3.0,TN,207651.0,U,Canada,,73.0,331.0,7.0,2399483.0
Qqh7608,O,1-760-429-1328,Comerica,,shigmwk,,4.0,Nova Scotia,260418.0,U,United States of America,,37.0,744.0,2.0,2982744.0
udq7609,U,1-253-879-8833,Baldor Electric,Q,enehob,,5.0,Ontario,,M,United States of America,1.0,50.0,446.0,6.0,1611011.0
Ghl7610,O,1-401-256-3483,Commercial Metals,M,RNLAKRXSPA,,0.0,MD,316963.0,M,Canada,4.0,0.0,,0.0,2999167.0
mtk7611,O,1-175-910-8245,,,Hlezt,f,5.0,AR,84046.0,W,Canada,,,,,
QIY7612,O,1-565-191-3419,Molina Healthcare,,Iyqmkpcjx,,0.0,Saskatchewan,368990.0,M,United States of America,3.0,,723.0,9.0,3307491.0
Ohz7613,O,1-921-688-5401,Plains All American Pipeline,,klgnkcaedht,,2.0,OH,124382.0,S,Canada,0.0,81.0,348.0,2.0,2057260.0
djg7614,O,1-925-155-0170,Agilent Technologies,,Jsombikj,,2.0,VA,9263.0,M,United States of America,0.0,52.0,666.0,,53179.0
Iad7615,U,1-185-691-2951,AutoZone,,Xtckbvng,,2.0,ID,334181.0,M,United States of America,4.0,68.0,,3.0,690086.0
EMG7616,R,1-067-518-3854,,H,YPUWSVRD,,0.0,WI,314001.0,M,United States of America,1.0,,844.0,8.0,2025465.0
Hjn7617,O,1-188-554-1671,Universal Health Services,,Ifxvsnt,,1.0,MS,168309.0,M,Canada,4.0,36.0,766.0,8.0,695307.0
CYP7618,O,1-168-215-2223,Time Warner,D,EAOJPQVWBNZ,M,2.0,OK,322765.0,M,United States of America,4.0,31.0,521.0,10.0,3238398.0
KPN7619,O,1-228-022-3056,Sealed Air,h,fhirgl,,1.0,GA,311253.0,W,United States of America,5.0,55.0,306.0,7.0,1213578.0
Vbi7620,R,1-926-766-1124,Sprint Nextel,x,Lahfziy,,5.0,TN,140296.0,W,United States of America,5.0,66.0,411.0,9.0,103708.0
ehb7621,O,1-538-797-1948,,,tofdjef,F,1.0,SC,439984.0,M,United States of America,5.0,22.0,,3.0,1086081.0
TMQ7622,O,1-627-234-0841,Quiksilver,C,rckzx,F,5.0,AR,454011.0,U,United States of America,0.0,51.0,702.0,8.0,1349626.0
Lsb7623,R,1-876-492-0782,Valspar,y,MMLJKBGXD,a,1.0,MT,191541.0,S,United States of America,5.0,26.0,842.0,1.0,1083092.0
Dpz7624,R,1-436-946-7319,Timken,u,banusio,M,2.0,WY,,U,United States of America,1.0,100.0,528.0,0.0,1662799.0
Zuj7625,R,1-281-780-2897,,,Safkd,,3.0,WY,,W,United States of America,3.0,13.0,300.0,5.0,3548540.0
Jqk7626,O,1-421-286-4139,Occidental Petroleum,,DHTLWJDXLRW,,2.0,WV,269215.0,S,United States of America,1.0,11.0,752.0,7.0,881414.0
ijb7627,O,1-908-354-2709,,,RORIUHK,m,0.0,CA,193126.0,M,Canada,4.0,62.0,303.0,0.0,1712200.0
NMO7628,O,1-466-560-2530,Massey Energy,U,bxgwhohh,F,3.0,Alberta,462618.0,M,United States of America,5.0,13.0,418.0,10.0,847446.0
Tef7629,O,1-578-686-8082,Weyerhaeuser,,SRARKMXOD,f,3.0,New Brunswick,212026.0,W,United States of America,3.0,23.0,667.0,4.0,344294.0
Sdj7630,U,1-166-077-1436,National Fuel Gas,Z,hwugfvlttol,,1.0,British Columbia,371024.0,D,United States of America,4.0,51.0,441.0,7.0,1534879.0
Pbr7631,O,1-535-320-1881,Pep Boys,,zgsllav,m,3.0,DE,235810.0,U,United States of America,2.0,2.0,471.0,0.0,3897101.0
Ice7632,O,1-633-495-6478,Neiman Marcus,,Mszwfhpj,m,2.0,CT,347270.0,W,United States of America,,,701.0,9.0,3064442.0
ZWG7633,R,1-398-680-0278,BlackRock,,Yqfxb,,5.0,Quebec,399212.0,D,United States of America,2.0,82.0,323.0,1.0,2016524.0
Evw7634,O,1-185-976-7770,McGraw-Hill,,ypmuep,m,4.0,NJ,439561.0,M,United States of America,5.0,94.0,846.0,10.0,37745.0
Lhl7635,O,1-490-238-8219,Family Dollar Stores,c,Xthtecuu,m,3.0,MN,29980.0,M,United States of America,4.0,16.0,850.0,8.0,503752.0
LYB7636,U,1-891-741-2112,Teleflex,N,Xjzpdio,,2.0,NE,28693.0,M,United States of America,5.0,43.0,,,2115180.0
Ijb7637,O,1-849-918-0984,,x,Rgthehdvvlh,M,1.0,VA,106794.0,M,Canada,2.0,76.0,564.0,3.0,839222.0
Zhf7638,O,1-426-168-3142,Imation,,ysexit,f,3.0,PA,340598.0,S,United States of America,5.0,0.0,558.0,4.0,1851334.0
PYU7639,O,1-757-910-8931,PPL,r,Wscgcsbwlzj,m,1.0,WV,490597.0,U,United States of America,,33.0,417.0,0.0,1348251.0
Iku7640,O,1-468-325-0119,Smithfield Foods,F,AUQJTIMK,,2.0,WY,499685.0,U,Canada,2.0,62.0,487.0,6.0,2722392.0
HBZ7641,O,1-383-310-7894,Macy's,,Weqnwrwrbcgx,m,2.0,MN,62285.0,M,United States of America,0.0,8.0,639.0,9.0,1785161.0
Pco7642,O,1-353-727-2029,Torchmark,,facqrtjqjmd,M,5.0,VT,320885.0,U,United States of America,5.0,4.0,625.0,3.0,2823578.0
Ybv7643,O,1-028-849-5461,Herman Miller,,OCNCREZ,,5.0,WV,184669.0,D,United States of America,3.0,39.0,,1.0,2123972.0
Rim7644,R,1-480-785-4021,Kindred Healthcare,F,JXOGSVJ,,0.0,IN,126989.0,S,United States of America,0.0,90.0,,3.0,112782.0
gnf7645,,1-443-132-4138,Arch Coal,,Iqtso,,1.0,MS,48144.0,M,Canada,4.0,7.0,460.0,3.0,248311.0
Wxp7646,O,1-143-020-1234,Whirlpool,C,Uxgvbwop,F,5.0,CO,377787.0,,United States of America,4.0,95.0,793.0,8.0,3719851.0
Dxh7647,O,1-475-304-3486,Arrow Electronics,N,Ovsiu,m,5.0,PA,323782.0,U,Canada,5.0,59.0,821.0,8.0,1920385.0
Aqo7648,O,1-677-882-6792,Rock-Tenn,,Frqdqbs,,3.0,DE,31880.0,S,United States of America,2.0,13.0,,6.0,576903.0
fen7649,O,1-151-067-7411,R.H. Donnelley,s,waiitdv,,5.0,Prince Edward Island,390190.0,D,United States of America,3.0,58.0,643.0,8.0,1855037.0
CMQ7650,O,1-645-553-4591,Pall,,Vlmzifrfolfs,,4.0,TN,413821.0,U,Canada,1.0,67.0,817.0,2.0,2954046.0
Yhb7651,O,1-670-793-5351,Burlington Coat Factory,,DKXNSUJQRKGM,f,1.0,CA,301451.0,,United States of America,2.0,68.0,702.0,10.0,952096.0
mbw7652,O,1-049-843-6473,Forest Laboratories,L,Vzvadviukgid,,1.0,TN,5888.0,D,United States of America,0.0,17.0,409.0,2.0,3382998.0
xas7653,O,1-739-185-6579,Moody's,Y,Jjtgz,,2.0,FL,254404.0,,United States of America,2.0,44.0,617.0,6.0,3772196.0
MKM7654,O,1-215-295-5893,Fidelity National Financial,,TMWLE,M,3.0,TN,290984.0,M,United States of America,0.0,16.0,,5.0,3180080.0
Jgi7655,O,,Amphenol,,Lfmjqz,F,5.0,OR,441847.0,M,United States of America,5.0,27.0,756.0,,3971412.0
Mwv7656,R,1-515-341-8405,Int. Business Machines,,bserucmdlez,,2.0,ME,373240.0,D,United States of America,4.0,59.0,484.0,5.0,1488210.0
YOY7657,O,1-249-978-7278,Int. Flavors & Fragrances,,Nobgu,,1.0,SC,461444.0,S,United States of America,4.0,8.0,589.0,9.0,2621373.0
Gja7658,O,1-471-716-6210,Gilead Sciences,,Mynrhpyte,m,1.0,Ontario,255072.0,S,United States of America,4.0,98.0,380.0,0.0,1021949.0
rcx7659,R,,United Rentals,E,aqobdfbeu,f,1.0,GA,255019.0,S,United States of America,1.0,35.0,541.0,10.0,2444319.0
IPA7660,,1-982-617-1421,Convergys,V,jecwnfavowiu,M,1.0,VA,330718.0,M,Canada,,57.0,474.0,7.0,362567.0
rbj7661,O,1-068-568-6056,Mueller Water Products,b,Nmemytq,,2.0,KY,245130.0,,United States of America,1.0,69.0,685.0,4.0,462234.0
ebw7662,R,,Shaw Group,U,Vqvleqweftl,,4.0,SC,19691.0,M,United States of America,3.0,33.0,363.0,10.0,3936622.0
SQY7663,O,1-772-155-4468,Energy Future Holdings,,ABCSQOCHEHK,,1.0,NC,13490.0,M,United States of America,1.0,33.0,605.0,9.0,2116904.0
nqw7664,,1-551-833-6226,PHH,i,NOQIRAGYH,f,4.0,KS,90333.0,W,United States of America,4.0,1.0,394.0,6.0,63883.0
Fyz7665,R,1-894-068-7775,Simon Property Group,,Yqqldbrjvcqq,m,0.0,MO,210200.0,U,Canada,2.0,19.0,812.0,6.0,2747738.0
Hds7666,R,,World Fuel Services,J,BSICQKYPBDT,f,3.0,OK,195318.0,M,United States of America,3.0,63.0,688.0,3.0,938329.0
ksz7667,O,1-942-682-4165,Andersons,s,enurwe,F,5.0,LA,486627.0,M,United States of America,5.0,27.0,808.0,9.0,976093.0
Wzm7668,O,,L-3 Communications,,Qslfupidrch,,,Saskatchewan,142918.0,,United States of America,4.0,12.0,492.0,1.0,2031908.0
Xna7669,O,1-316-836-0322,CACI International,N,VEKXFJRNX,,4.0,KY,243364.0,D,United States of America,3.0,26.0,734.0,6.0,660066.0
ugr7670,O,1-746-466-6593,M&T Bank Corp.,,Dbkoxqpx,,1.0,NH,208343.0,M,United States of America,5.0,2.0,579.0,7.0,2777991.0
Qao7671,U,1-306-508-0916,Family Dollar Stores,a,HPYTPNH,f,0.0,NM,26787.0,M,United States of America,4.0,34.0,410.0,10.0,3148815.0
MXH7672,O,1-049-405-9872,Medco Health Solutions,G,rxcbiltuvzyh,,0.0,NE,190609.0,D,United States of America,4.0,86.0,743.0,7.0,3714775.0
KQU7673,O,1-539-901-1797,Crosstex Energy,J,jfrawlwjssge,,1.0,New Brunswick,,M,United States of America,,47.0,431.0,9.0,2203195.0
bxn7674,O,1-976-507-8347,Reynolds American,,PGIUBMUAR,,0.0,MD,,M,United States of America,0.0,73.0,805.0,4.0,3708645.0
Opu7675,O,1-902-376-9596,PolyOne,,rgqwzxsvza,M,1.0,WV,453308.0,U,United States of America,0.0,83.0,688.0,9.0,2954852.0
Ceo7676,O,1-532-161-3458,"Toys ""R"" Us",,qnxfnq,,1.0,MA,251108.0,D,United States of America,,99.0,483.0,1.0,2421534.0
DZH7677,O,1-943-745-8094,Sonoco Products,,lfjtpka,,0.0,MT,128853.0,U,United States of America,0.0,49.0,844.0,7.0,941243.0
Ocd7678,O,1-162-078-3859,Newfield Exploration,,pyeiwbftpsck,F,3.0,NM,486933.0,M,Canada,3.0,96.0,436.0,5.0,3133101.0
Uyj7679,U,1-881-265-1012,IAC/InterActiveCorp,,Enncjsox,,5.0,TN,306545.0,D,Canada,2.0,12.0,336.0,3.0,2070834.0
mhz7680,O,1-781-682-4447,MGIC Investment,P,Lnprrdeegs,,1.0,PA,7682.0,S,United States of America,1.0,75.0,688.0,1.0,2617194.0
Sft7681,O,1-716-288-6722,American International Group,,PXRXKFTOX,,3.0,NC,280763.0,U,Canada,0.0,29.0,581.0,9.0,2752340.0
gza7682,R,1-407-712-3659,Health Net,,Osanin,m,1.0,CO,296945.0,,United States of America,2.0,4.0,670.0,6.0,2611991.0
Rem7683,O,1-747-143-2305,Mueller Industries,,WWWMNN,,0.0,TX,176399.0,U,United States of America,0.0,100.0,671.0,5.0,3965576.0
cko7684,U,1-522-074-1862,American National Insurance,b,tsqtfhsh,,3.0,IN,97252.0,U,Canada,4.0,45.0,352.0,10.0,3550405.0
RLN7685,O,1-867-195-7669,Morgan Stanley,,zwyuac,f,3.0,VA,320588.0,S,United States of America,2.0,63.0,317.0,10.0,1566093.0
