prospect_AgencyID,prospect_State,prospect_City,prospect_MaritalStatus,prospect_NumberCars,prospect_Phone,prospect_Employer,prospect_Age,prospect_CreditRating,prospect_Country,prospect_NetWorth,prospect_AddressLine2,prospect_PostalCode,prospect_Income,prospect_NumberChildren,prospect_OwnOrRentFlag,prospect_NumberCreditCards
lql7512,NE,Concord,M,4.0,1-268-630-3843,eBay,40.0,318.0,Canada,3348923.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,DODDIDDHXS,307402.0,5.0,O,9.0
Wsk7513,AR,Colorado Springs,D,4.0,1-915-548-9541,Boise,8.0,613.0,United States of America,331799.0,ucxdpiwilpxxhv,Oqnzttrldq,,1.0,R,4.0
Ffs7514,IL,Mobile,U,4.0,1-536-880-0961,MDU Resources Group,10.0,786.0,,1167013.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Lwbawk,432425.0,1.0,R,4.0
Kvv7515,VA,Thousand Oaks,U,0.0,1-494-335-6022,Freescale Semiconductor,24.0,,United States of America,3960216.0,,Ppsrzjdtg,122041.0,3.0,O,10.0
mpz7516,ID,Rochester,M,1.0,1-814-158-3550,Superior Energy Services,18.0,623.0,United States of America,242246.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,,302205.0,4.0,O,5.0
Jhc7517,TX,Garden Grove,S,1.0,1-420-580-0795,Monsanto,79.0,845.0,United States of America,1217660.0,Havgczldcpfmwfzj,,367555.0,1.0,O,1.0
dbq7518,New Brunswick,Tampa,M,4.0,1-924-305-1666,Newfield Exploration,36.0,645.0,United States of America,1229655.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Rxdsunq,106025.0,5.0,U,7.0
Xch7519,Alberta,Fullerton,W,2.0,1-450-082-2122,Loews,21.0,495.0,Canada,1157831.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,JXHVEEOU,106690.0,2.0,O,1.0
oir7520,PA,Washington,M,2.0,1-573-009-1404,Apache,4.0,371.0,Canada,,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,XHJQCDPOO,29373.0,2.0,O,8.0
Fqb7521,Nova Scotia,Norfolk,S,2.0,1-603-897-9894,Robert Half International,72.0,462.0,United States of America,,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,rapkjpmvp,168189.0,3.0,R,1.0
qex7522,RI,Sydney,S,,1-947-161-6502,Viacom,1.0,375.0,United States of America,3467922.0,Rirmrpvlknyho,Slskxm,264756.0,,U,7.0
Hpi7523,OR,Winnipeg,S,1.0,1-586-826-9847,Robert Half International,98.0,516.0,Canada,46859.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,FXHXLG,44480.0,2.0,U,10.0
Fjd7524,CA,Wilmington,,1.0,1-217-243-2668,CSX,35.0,703.0,Canada,2937668.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,ovlziicdezok,87207.0,5.0,R,
Cgt7525,MO,El Monte,W,4.0,1-857-211-5728,Country Financial Services,99.0,734.0,United States of America,2388613.0,Rpzwirgfyiw,jsxcpvao,238434.0,2.0,O,7.0
Lwx7526,Prince Edward Island,Sterling Heights,M,0.0,1-089-966-6281,Procter & Gamble,49.0,469.0,United States of America,3116283.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Ykerbceq,,2.0,U,4.0
epy7527,Quebec,Pembroke Pines,S,3.0,,Ingles Markets,72.0,595.0,United States of America,2671950.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,VVMSNWEBT,391354.0,0.0,O,2.0
Aff7528,KS,Philadelphia,U,3.0,1-231-342-6874,Forest Laboratories,41.0,410.0,United States of America,3899593.0,Acdrcqabtcdgmgl,bibueqwbejem,419165.0,0.0,O,1.0
mfc7529,NV,Glendale,W,3.0,,Dentsply International,54.0,475.0,Canada,2537332.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,gehpynlk,396509.0,2.0,O,10.0
Slf7530,TN,El Monte,,0.0,1-602-637-1838,RadioShack,11.0,,United States of America,733236.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,Piwlxtg,145161.0,2.0,R,2.0
Cxu7531,WY,Warwick,W,2.0,1-003-982-8627,Century Aluminum,0.0,519.0,United States of America,,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Ujlshmosjkid,263206.0,5.0,O,3.0
GZO7532,British Columbia,Milwaukee,D,3.0,1-136-358-6852,,27.0,841.0,United States of America,3397276.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,cwburwnupuj,190371.0,3.0,U,5.0
DRW7533,LA,Phoenix,U,3.0,1-123-528-2965,FPL Group,95.0,540.0,United States of America,2444257.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,CNEZMHTKIAEV,203968.0,1.0,O,6.0
set7534,HI,Anchorage,U,1.0,1-136-565-2501,Lockheed Martin,35.0,540.0,United States of America,71520.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,kixvppuqtd,428323.0,3.0,R,10.0
Pyo7535,NY,Madison,M,4.0,1-317-986-1984,Sanmina-SCI,96.0,,United States of America,1911091.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,jrhynxfi,159980.0,1.0,O,6.0
FSH7536,TX,Fontana,W,0.0,1-265-603-1262,Iron Mountain,96.0,424.0,Canada,988775.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,dnhtjyu,266852.0,0.0,O,6.0
Tdx7537,AZ,Charlotte,M,5.0,,OfficeMax,49.0,623.0,United States of America,3919363.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,YKOVOTYB,206973.0,5.0,R,2.0
Sbn7538,ME,Richmond,S,5.0,1-156-668-6882,AMR,,792.0,Canada,428918.0,XHQNMCEJKXOQYVSZVESLKC,WNNMWJ,258221.0,1.0,O,4.0
Piq7539,NH,Santa Clarita,S,4.0,1-164-648-3203,Kohl's,27.0,718.0,United States of America,58134.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Oktkljv,428508.0,4.0,O,6.0
IXD7540,KY,Yellow Knife,M,4.0,1-839-795-1027,Cigna,98.0,401.0,,3703767.0,Toumjfbsumpgfuskpydjeibaxi,,,0.0,O,6.0
wsn7541,Prince Edward Island,Oxnard,M,4.0,1-958-412-4252,West,,557.0,United States of America,433859.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,GXFLSISZUY,58953.0,5.0,R,2.0
Jkp7542,British Columbia,Huntington Beach,W,5.0,1-392-335-1020,Monsanto,56.0,393.0,United States of America,3002044.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,gzexcrngivl,409682.0,5.0,O,7.0
CCF7543,CT,Durham,M,2.0,1-912-050-7605,Reliant Energy,94.0,557.0,United States of America,1124168.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,yzoikhwrd,340191.0,4.0,,10.0
ylj7544,WA,Naperville,U,4.0,1-075-551-9919,Idearc,98.0,465.0,United States of America,2081541.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Gdbktega,238216.0,5.0,O,5.0
ZBB7545,ND,Albuquerque,M,0.0,1-013-611-2674,Neiman Marcus,8.0,,Canada,1897076.0,hkyochorqgtokxgozmoncalaaiw,Kdcqzpvf,113171.0,1.0,O,6.0
fqe7546,ID,Newark,W,5.0,1-656-865-7544,O'Reilly Automotive,90.0,485.0,United States of America,235172.0,Datdnghoiymltcayulgkgxywi,Tbwgwtmgcu,234797.0,,,10.0
Wpw7547,Quebec,Miami,M,4.0,1-879-870-7379,Cliffs Natural Resources,34.0,303.0,United States of America,639573.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Mwmfs,225322.0,2.0,,2.0
vpz7548,ID,London,W,1.0,1-366-625-9813,Health Management Associates,25.0,846.0,Canada,2667082.0,,goelqgcts,192689.0,2.0,O,4.0
Yfz7549,AL,Worcester,,5.0,1-359-462-7089,Chevron,50.0,621.0,Canada,2598634.0,,ucwygjzs,348685.0,4.0,O,1.0
dou7550,UT,Jacksonville,D,3.0,,Exide Technologies,85.0,331.0,United States of America,1074671.0,,fjlfqftwg,401229.0,4.0,O,
FDJ7551,MS,Nashua,M,5.0,1-153-396-8333,Convergys,60.0,401.0,United States of America,2272997.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Tocujgaiaq,38597.0,4.0,R,9.0
ufu7552,AK,Newport News,S,2.0,1-144-623-1308,Dominion Resources,95.0,644.0,United States of America,702000.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,kurjmmgixxfd,,2.0,R,0.0
bbg7553,VT,Corona,M,4.0,1-269-220-8046,Sentry Insurance Group,8.0,769.0,United States of America,1289800.0,NBSHKLXYVUUWXEQSGXR,cnsavindoi,161204.0,1.0,R,5.0
Znk7554,LA,Lincoln,M,3.0,1-052-524-0130,Cintas,31.0,481.0,,1007390.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,MQBSAUVQRPYE,202650.0,4.0,O,2.0
CGQ7555,CT,Toronto,U,1.0,1-335-871-6660,Medtronic,51.0,732.0,Canada,124290.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,vadbnvz,,2.0,O,7.0
add7556,UT,Fayetteville,M,4.0,1-637-394-8083,Pride International,24.0,802.0,United States of America,1820002.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Ljurvnigr,492433.0,4.0,O,2.0
Anw7557,IN,Charlotte,M,2.0,1-706-795-4208,A. Schulman,78.0,329.0,Canada,2200347.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,BQDMQVFTNBRJ,344858.0,4.0,O,5.0
Hvt7558,WI,Tulsa,W,5.0,1-622-347-5699,Oneok,56.0,839.0,United States of America,3669569.0,nqcozjievwzk,jkcul,197290.0,0.0,R,0.0
Yqj7559,WA,Winston-Salem,U,2.0,1-042-017-9368,Danaher,50.0,539.0,United States of America,2140537.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Nelny,283654.0,,,
Ztn7560,LA,Thousand Oaks,M,4.0,1-829-935-5979,Del Monte Foods,52.0,561.0,United States of America,3258909.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Qsggz,317423.0,5.0,R,4.0
bni7561,VT,Lubbock,W,4.0,1-076-726-5283,American Electric Power,14.0,814.0,United States of America,1825422.0,Lfrjkyblujmbxigmylpsxieswspmei,Drofa,399126.0,5.0,O,2.0
swx7562,CT,Winnipeg,M,5.0,,TJX,29.0,305.0,United States of America,1845263.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Ssovhtmt,398180.0,0.0,R,7.0
DSA7563,RI,Laredo,S,2.0,1-284-129-5920,Philip Morris International,50.0,457.0,United States of America,1463114.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Tnprhljfrlj,,4.0,O,4.0
BXZ7564,SC,Overland Park,U,4.0,1-128-308-8886,Cincinnati Financial,67.0,349.0,United States of America,2354683.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Bkxujhonjgjk,485429.0,1.0,O,8.0
pcz7565,British Columbia,Calgary,M,2.0,1-145-469-5971,Stryker,22.0,590.0,United States of America,436677.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,mrjrjhgnwcdu,118018.0,0.0,O,0.0
Zqa7566,CO,Peoria,U,5.0,1-727-684-7767,Kansas City Southern,20.0,533.0,United States of America,2383335.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Yusezkfgs,309693.0,4.0,O,0.0
Htl7567,TN,Durham,W,4.0,1-776-201-2472,IDT,75.0,686.0,Canada,2574739.0,IBQIDE,RKXTQAO,90718.0,0.0,O,9.0
afw7568,CA,Pueblo,U,2.0,1-767-942-1278,Vornado Realty Trust,60.0,582.0,United States of America,1596838.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,UBQSATXZO,280645.0,0.0,O,10.0
Wna7569,WY,Las Cruces,S,,1-723-062-7266,Dollar General,,807.0,United States of America,591965.0,Lrebujnrg,BHRNWQLFVFA,231559.0,4.0,O,0.0
Mlh7570,SD,Chula Vista,S,3.0,,Safeway,48.0,819.0,United States of America,3071440.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Ktmzav,36898.0,5.0,O,3.0
Gor7571,British Columbia,San Diego,M,2.0,1-145-314-0862,Apache,91.0,311.0,United States of America,2683081.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Nfpchgfj,396786.0,0.0,R,5.0
ENX7572,NJ,Chicago,U,2.0,1-735-104-7772,Lowe's,98.0,734.0,United States of America,3850483.0,Hxutrprq,Wuywecohosfi,344365.0,5.0,O,3.0
fgr7573,AK,Worcester,W,4.0,,Lithia Motors,51.0,432.0,United States of America,1870617.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,tibxlojrqiha,1205.0,1.0,O,1.0
Ysh7574,OH,Honolulu,S,5.0,1-518-116-1411,CH2M Hill,22.0,394.0,United States of America,1249534.0,JRHXPUUHAFHDPF,ogmes,276666.0,0.0,O,3.0
Mos7575,New Brunswick,Albuquerque,U,0.0,1-696-359-4829,Tellabs,57.0,658.0,United States of America,3789880.0,yvntcqjqqmbftwetvbqgclcdbxspvk,JUBKXDKP,497953.0,0.0,O,1.0
czu7576,IL,Oakland,M,1.0,1-352-678-5471,Phillips-Van Heusen,38.0,348.0,Canada,3874445.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,Xbgykqm,156048.0,2.0,O,3.0
Ghr7577,AZ,Billings,M,1.0,1-906-600-9749,Wells Fargo,68.0,598.0,United States of America,437353.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,NNCXIBTCXZA,63617.0,5.0,O,8.0
Rwk7578,NY,Pueblo,U,2.0,1-093-018-2851,Vornado Realty Trust,93.0,505.0,United States of America,2669917.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,mfwuio,244849.0,2.0,O,9.0
Uwi7579,WA,Sherbrooke,S,4.0,1-302-096-9321,New York Times,48.0,839.0,United States of America,1466537.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,Utgwrun,123585.0,3.0,R,7.0
VXZ7580,GA,Sacramento,S,1.0,1-915-044-3154,Adobe Systems,96.0,672.0,United States of America,991860.0,CYQWJKJB,Wgulrhctjlg,391134.0,1.0,U,2.0
Ayk7581,AZ,Charlotte,M,5.0,1-040-274-3474,Valmont Industries,58.0,696.0,United States of America,,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,Srhxvxe,426759.0,5.0,O,3.0
lho7582,NV,El Paso,W,5.0,1-678-397-2739,UAL,63.0,448.0,United States of America,1816368.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,Dadkihaohc,451737.0,3.0,O,5.0
rzi7583,TN,Mesa,S,2.0,1-679-345-9939,AFLAC,18.0,549.0,United States of America,565246.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,Fpoleiod,180822.0,1.0,O,9.0
Wds7584,AL,Simi Valley,W,4.0,1-093-616-0613,VeraSun Energy,40.0,705.0,United States of America,1899339.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,Cuaieflmccqp,205843.0,2.0,O,0.0
Xsj7585,TX,St. Catharines,M,4.0,1-546-131-8988,Magellan Health Services,29.0,387.0,United States of America,3873239.0,ccfzcxohrhrcnypedmhjovjyjrxi,qiraymmapgf,470985.0,3.0,O,6.0
Lux7586,WV,Washington,U,2.0,1-477-186-7432,Emcor Group,21.0,359.0,United States of America,767547.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,Tsynomgib,318225.0,1.0,,7.0
wxw7587,ND,Chula Vista,M,2.0,1-965-848-6954,Peabody Energy,41.0,494.0,Canada,1027999.0,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,Amudllk,326044.0,2.0,O,9.0
pfz7588,Saskatchewan,Montpelier,M,1.0,1-622-866-0937,State Farm Insurance Cos.,56.0,345.0,United States of America,3428495.0,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,ELQKT,,1.0,,10.0
hlx7589,VA,Mesa,M,2.0,1-040-217-2014,Humana,33.0,402.0,United States of America,1827180.0,REHWDWEP,Oiwac,187282.0,0.0,O,10.0
nyb7590,ND,New Haven,M,2.0,1-101-684-2373,News Corp.,96.0,579.0,United States of America,2070007.0,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,Dqgzinvuxxy,,0.0,O,3.0
Ltt7591,ND,Indianapolis,,2.0,1-386-426-5849,Torchmark,35.0,569.0,United States of America,,DIMPFMEBDNHBCT,Nchaajfkjvx,,0.0,O,2.0
gsz7592,MS,Stockton,W,0.0,1-598-816-0126,Rock-Tenn,40.0,745.0,United States of America,3596263.0,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,XEDMBUAMGXKH,306946.0,4.0,O,9.0
Kwp7593,WY,Louisville,D,0.0,1-770-379-7700,AGCO,10.0,320.0,,3719999.0,DVYTEPWCABNSGPTLJEMPQLTEWM,crxbrlj,99663.0,,U,1.0
AGM7594,MA,Atlanta,M,2.0,,,59.0,591.0,United States of America,3058439.0,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,Eytubbwi,482013.0,4.0,R,4.0
Ocn7595,AK,Milwaukee,M,1.0,1-628-245-6238,United Stationers,70.0,,United States of America,2592932.0,,Lwftldizl,180476.0,0.0,U,10.0
Cmw7596,PA,Fort Smith,M,4.0,1-813-787-2611,McCormick,69.0,417.0,United States of America,1471273.0,qlgnszfowrbrkuurrmjrfnfaeulhneecv,GSSFZNBZL,285682.0,5.0,,5.0
Dit7597,MA,Knoxville,M,0.0,1-362-897-1162,National Life Group,96.0,338.0,United States of America,,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,Nrnqtmjz,455032.0,5.0,R,8.0
Rmm7598,DC,Idaho Falls,S,3.0,1-952-919-4878,Hasbro,9.0,340.0,United States of America,2410816.0,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,Rzjxvum,356141.0,,O,9.0
ekj7599,RI,Jacksonville,U,3.0,1-145-214-8009,Tupperware Brands,39.0,738.0,Canada,1059543.0,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,Accezkuzqrif,165667.0,3.0,U,5.0
wcq7600,MA,Stockton,S,0.0,1-328-944-9786,Covance,31.0,597.0,United States of America,379282.0,MIMWGPPF,LNZZPGOTEG,459767.0,2.0,O,7.0
Klc7601,Alberta,Thousand Oaks,M,2.0,1-899-864-9421,Interactive Brokers Group,64.0,603.0,United States of America,3271265.0,Xpannac,YINOHET,106459.0,2.0,R,4.0
Jrd7602,AR,Nashua,D,,1-877-997-8896,SkyWest,38.0,662.0,,1530364.0,Pspmoftnashzvtfxfiuuzjpcvugdlvvezjgojjmvkgaqxqriw,ddgkyv,51021.0,1.0,U,5.0
GDQ7603,VA,Tallahassee,W,2.0,1-750-900-0823,Best Buy,47.0,838.0,United States of America,3731860.0,RUVLQHPKIECWUMXVAJLEIVCCDFYFEMUNTJAJ,Seiksuhglhj,494931.0,4.0,R,0.0
fnm7604,OR,Brownsville,M,5.0,,Sears Holdings,,791.0,United States of America,2488858.0,Tgduloxjkccxdbsfdbssvgjtovxnpmmufkdwbhtgolrddejglsgeds,Ytgghhaxc,429859.0,2.0,O,9.0
Ymu7605,ID,Charlotte,S,1.0,1-347-704-7823,Frontier Oil,76.0,692.0,Canada,2301347.0,Axjkrkrawohwcuinpapcyjweaijfinacyiwajxirccyh,Ajlcdadx,,4.0,O,7.0
Pxj7606,IA,Oakland,W,0.0,1-228-976-2888,Automatic Data Processing,60.0,673.0,,1736571.0,WONBQPUKDIDRBXJQPKRNCTWJZIQEVS,Daivf,464086.0,3.0,O,8.0
Rsd7607,TN,Fort Wayne,U,3.0,,,73.0,331.0,Canada,2399483.0,Mbkljdwjmcmljajvikytmadyqikaodunvvwefxnbvjquurcokfmbhtjirkox,xrquzcptycg,207651.0,,O,7.0
Qqh7608,Nova Scotia,Chula Vista,U,4.0,1-760-429-1328,Comerica,37.0,744.0,United States of America,2982744.0,BPPKDY,shigmwk,260418.0,,O,2.0
udq7609,Ontario,Peoria,M,5.0,1-253-879-8833,Baldor Electric,50.0,446.0,United States of America,1611011.0,eapjgyvomnplzitwttydublguuocfdcksfgxlvoziqblbgdr,enehob,,1.0,U,6.0
Ghl7610,MD,Lexington,M,0.0,1-401-256-3483,Commercial Metals,0.0,,Canada,2999167.0,Nbhshnkkfusbintuaomfozzlzlrqvcnszantpkgtdkpeezeygucvpain,RNLAKRXSPA,316963.0,4.0,O,0.0
mtk7611,AR,Salem,W,5.0,1-175-910-8245,,,,Canada,,Xuqmcmxaigbk,Hlezt,84046.0,,O,
QIY7612,Saskatchewan,San Jose,M,0.0,1-565-191-3419,Molina Healthcare,,723.0,United States of America,3307491.0,cjnjhkatetnmjfhafbopqgnqxuyyigzhvcscq,Iyqmkpcjx,368990.0,3.0,O,9.0
Ohz7613,OH,Kansas City,S,2.0,1-921-688-5401,Plains All American Pipeline,81.0,348.0,Canada,2057260.0,HBKYXCKDWMWYBLFBULAVFJRDDWSJVEIRZWMRPJI,klgnkcaedht,124382.0,0.0,O,2.0
djg7614,VA,Windsor,M,2.0,1-925-155-0170,Agilent Technologies,52.0,666.0,United States of America,53179.0,EECYCMJAJGNQBRSKW,Jsombikj,9263.0,0.0,O,
Iad7615,ID,Chicago,M,2.0,1-185-691-2951,AutoZone,68.0,,United States of America,690086.0,Gzqqapoggafoymlrsdrpgoprvegwwopsfzocffghlyukaydviarcohmehmyeirotvnrvtpi,Xtckbvng,334181.0,4.0,U,3.0
EMG7616,WI,Evansville,M,0.0,1-067-518-3854,,,844.0,United States of America,2025465.0,hgandkyzsnb,YPUWSVRD,314001.0,1.0,R,8.0
Hjn7617,MS,Honolulu,M,1.0,1-188-554-1671,Universal Health Services,36.0,766.0,Canada,695307.0,Zdhvqoatgrajtuxyjelccetgjoccpfpsixd,Ifxvsnt,168309.0,4.0,O,8.0
CYP7618,OK,Cleveland,M,2.0,1-168-215-2223,Time Warner,31.0,521.0,United States of America,3238398.0,Qjlhsxmeblxszguipqhysmeugvxjfbogsljhnkjbyzofkptcvjsxjzk,EAOJPQVWBNZ,322765.0,4.0,O,10.0
KPN7619,GA,Livonia,W,1.0,1-228-022-3056,Sealed Air,55.0,306.0,United States of America,1213578.0,QTWXYHMLBYQ,fhirgl,311253.0,5.0,O,7.0
Vbi7620,TN,Little Rock,W,5.0,1-926-766-1124,Sprint Nextel,66.0,411.0,United States of America,103708.0,SDEAIMDWRSKXTFCPHWF,Lahfziy,140296.0,5.0,R,9.0
ehb7621,SC,Halifax,M,1.0,1-538-797-1948,,22.0,,United States of America,1086081.0,Hvihqkuiruvwtepybhnojenudorriouchghugcvjufnkzunbsrmtbcrmps,tofdjef,439984.0,5.0,O,3.0
TMQ7622,AR,Peoria,U,5.0,1-627-234-0841,Quiksilver,51.0,702.0,United States of America,1349626.0,DDYEJXZYQIMFMUBLREEDFORHJSISHQDDZPBMPYHNYWIFJDDOUOLVPBXWANDWWB,rckzx,454011.0,0.0,O,8.0
