prospect_gncd,prospect_nmbrcrs,prospect_wnrrntflg,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_frstnm,prospect_ddrssln2,prospect_ct,prospect_phn,prospect_stt,prospect_mddlntl,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_pstlcd,prospect_ncm,prospect_nmbrchldrn,prospect_mplr,prospect_ntwrth
dgc7511,5.0,O,72.0,M,United States of America,Zaijioc,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Greensboro,,Saskatchewan,,3.0,,NCEVKLQEEWTA,210038.0,1.0,Interstate Bakeries,490443.0
lql7512,4.0,O,40.0,M,Canada,Mdwdjpdfmbqjaygkfqzqx,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Concord,1-268-630-3843,NE,,9.0,318.0,DODDIDDHXS,307402.0,5.0,eBay,3348923.0
Wsk7513,4.0,R,8.0,D,United States of America,Ccbccgvldfvoqtzestvkwunn,ucxdpiwilpxxhv,Colorado Springs,1-915-548-9541,AR,,4.0,613.0,Oqnzttrldq,,1.0,Boise,331799.0
Ffs7514,4.0,R,10.0,U,,nyakrhdyxravdnhgbtol,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Mobile,1-536-880-0961,IL,v,4.0,786.0,Lwbawk,432425.0,1.0,MDU Resources Group,1167013.0
Kvv7515,0.0,O,24.0,U,United States of America,NDNBTVCLKSC,,Thousand Oaks,1-494-335-6022,VA,F,10.0,,Ppsrzjdtg,122041.0,3.0,Freescale Semiconductor,3960216.0
mpz7516,1.0,O,18.0,M,United States of America,Zmstbluqkipzaojfsomtbdddguq,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Rochester,1-814-158-3550,ID,G,5.0,623.0,,302205.0,4.0,Superior Energy Services,242246.0
Jhc7517,1.0,O,79.0,S,United States of America,dpqgvuaoijmkxsesvililpxcrwqe,Havgczldcpfmwfzj,Garden Grove,1-420-580-0795,TX,s,1.0,845.0,,367555.0,1.0,Monsanto,1217660.0
dbq7518,4.0,U,36.0,M,United States of America,IHUGYGSRDWILVOFBAKUR,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Tampa,1-924-305-1666,New Brunswick,l,7.0,645.0,Rxdsunq,106025.0,5.0,Newfield Exploration,1229655.0
Xch7519,2.0,O,21.0,W,Canada,aefotdcronamhkzsfpvifmobgchmsp,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Fullerton,1-450-082-2122,Alberta,,1.0,495.0,JXHVEEOU,106690.0,2.0,Loews,1157831.0
oir7520,2.0,O,4.0,M,Canada,jdeyqkerjerjpht,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Washington,1-573-009-1404,PA,Z,8.0,371.0,XHJQCDPOO,29373.0,2.0,Apache,
Fqb7521,2.0,R,72.0,S,United States of America,Lwihnxoihqqrvjydsijd,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Norfolk,1-603-897-9894,Nova Scotia,O,1.0,462.0,rapkjpmvp,168189.0,3.0,Robert Half International,
qex7522,,U,1.0,S,United States of America,nmnervucuk,Rirmrpvlknyho,Sydney,1-947-161-6502,RI,,7.0,375.0,Slskxm,264756.0,,Viacom,3467922.0
Hpi7523,1.0,U,98.0,S,Canada,hgjkxxbf,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Winnipeg,1-586-826-9847,OR,,10.0,516.0,FXHXLG,44480.0,2.0,Robert Half International,46859.0
Fjd7524,1.0,R,35.0,,Canada,Zangtryzlhmxo,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Wilmington,1-217-243-2668,CA,,,703.0,ovlziicdezok,87207.0,5.0,CSX,2937668.0
Cgt7525,4.0,O,99.0,W,United States of America,FFJGEQD,Rpzwirgfyiw,El Monte,1-857-211-5728,MO,,7.0,734.0,jsxcpvao,238434.0,2.0,Country Financial Services,2388613.0
Lwx7526,0.0,U,49.0,M,United States of America,Pdcxrihnl,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Sterling Heights,1-089-966-6281,Prince Edward Island,,4.0,469.0,Ykerbceq,,2.0,Procter & Gamble,3116283.0
epy7527,3.0,O,72.0,S,United States of America,Zckhcacwaelzutaodqalxyjrkh,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Pembroke Pines,,Quebec,,2.0,595.0,VVMSNWEBT,391354.0,0.0,Ingles Markets,2671950.0
Aff7528,3.0,O,41.0,U,United States of America,sqrosgqnpifxjx,Acdrcqabtcdgmgl,Philadelphia,1-231-342-6874,KS,M,1.0,410.0,bibueqwbejem,419165.0,0.0,Forest Laboratories,3899593.0
mfc7529,3.0,O,54.0,W,Canada,Erqzkkllazeobgthnmgsbtj,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Glendale,,NV,S,10.0,475.0,gehpynlk,396509.0,2.0,Dentsply International,2537332.0
Slf7530,0.0,R,11.0,,United States of America,Lcziayaozecoqqluasolkmmcldm,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,El Monte,1-602-637-1838,TN,S,2.0,,Piwlxtg,145161.0,2.0,RadioShack,733236.0
Cxu7531,2.0,O,0.0,W,United States of America,Gcnczmuxviqaxtsdzmzhtro,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Warwick,1-003-982-8627,WY,,3.0,519.0,Ujlshmosjkid,263206.0,5.0,Century Aluminum,
GZO7532,3.0,U,27.0,D,United States of America,Rsoobsqytvjycob,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,Milwaukee,1-136-358-6852,British Columbia,F,5.0,841.0,cwburwnupuj,190371.0,3.0,,3397276.0
DRW7533,3.0,O,95.0,U,United States of America,Pjvadgt,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Phoenix,1-123-528-2965,LA,A,6.0,540.0,CNEZMHTKIAEV,203968.0,1.0,FPL Group,2444257.0
set7534,1.0,R,35.0,U,United States of America,GUBKOKITTSKVYM,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,Anchorage,1-136-565-2501,HI,N,10.0,540.0,kixvppuqtd,428323.0,3.0,Lockheed Martin,71520.0
Pyo7535,4.0,O,96.0,M,United States of America,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Madison,1-317-986-1984,NY,,6.0,,jrhynxfi,159980.0,1.0,Sanmina-SCI,1911091.0
FSH7536,0.0,O,96.0,W,Canada,Kuteauo,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Fontana,1-265-603-1262,TX,,6.0,424.0,dnhtjyu,266852.0,0.0,Iron Mountain,988775.0
Tdx7537,5.0,R,49.0,M,United States of America,Hkfofpndygljbeo,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Charlotte,,AZ,,2.0,623.0,YKOVOTYB,206973.0,5.0,OfficeMax,3919363.0
Sbn7538,5.0,O,,S,Canada,Kengxgsu,XHQNMCEJKXOQYVSZVESLKC,Richmond,1-156-668-6882,ME,O,4.0,792.0,WNNMWJ,258221.0,1.0,AMR,428918.0
Piq7539,4.0,O,27.0,S,United States of America,Plywuoa,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Santa Clarita,1-164-648-3203,NH,C,6.0,718.0,Oktkljv,428508.0,4.0,Kohl's,58134.0
IXD7540,4.0,O,98.0,M,,zfcwsxpjzyqelkxg,Toumjfbsumpgfuskpydjeibaxi,Yellow Knife,1-839-795-1027,KY,,6.0,401.0,,,0.0,Cigna,3703767.0
wsn7541,4.0,R,,M,United States of America,Yxvczhqjwgnhowiu,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Oxnard,1-958-412-4252,Prince Edward Island,,2.0,557.0,GXFLSISZUY,58953.0,5.0,West,433859.0
Jkp7542,5.0,O,56.0,W,United States of America,Grkknjyfgbhtyrhxzeaoeoyirwfa,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Huntington Beach,1-392-335-1020,British Columbia,A,7.0,393.0,gzexcrngivl,409682.0,5.0,Monsanto,3002044.0
CCF7543,2.0,,94.0,M,United States of America,Vfrdst,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,Durham,1-912-050-7605,CT,,10.0,557.0,yzoikhwrd,340191.0,4.0,Reliant Energy,1124168.0
ylj7544,4.0,O,98.0,U,United States of America,Hqcswumjvwbemosmy,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Naperville,1-075-551-9919,WA,,5.0,465.0,Gdbktega,238216.0,5.0,Idearc,2081541.0
ZBB7545,0.0,O,8.0,M,Canada,Ectbhkmbvwkwdbn,hkyochorqgtokxgozmoncalaaiw,Albuquerque,1-013-611-2674,ND,V,6.0,,Kdcqzpvf,113171.0,1.0,Neiman Marcus,1897076.0
fqe7546,5.0,,90.0,W,United States of America,Bdbgqpllbnrmiirpct,Datdnghoiymltcayulgkgxywi,Newark,1-656-865-7544,ID,,10.0,485.0,Tbwgwtmgcu,234797.0,,O'Reilly Automotive,235172.0
Wpw7547,4.0,,34.0,M,United States of America,Ftszluaxcsoxdfbmdd,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Miami,1-879-870-7379,Quebec,,2.0,303.0,Mwmfs,225322.0,2.0,Cliffs Natural Resources,639573.0
vpz7548,1.0,O,25.0,W,Canada,Qrdnpjquwnixfocqhsrlkcxmelwijl,,London,1-366-625-9813,ID,,4.0,846.0,goelqgcts,192689.0,2.0,Health Management Associates,2667082.0
Yfz7549,5.0,O,50.0,,Canada,Kkiolpmrgzmnjanqc,,Worcester,1-359-462-7089,AL,,1.0,621.0,ucwygjzs,348685.0,4.0,Chevron,2598634.0
dou7550,3.0,O,85.0,D,United States of America,unzegilpp,,Jacksonville,,UT,,,331.0,fjlfqftwg,401229.0,4.0,Exide Technologies,1074671.0
FDJ7551,5.0,R,60.0,M,United States of America,xetqkitwlh,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Nashua,1-153-396-8333,MS,,9.0,401.0,Tocujgaiaq,38597.0,4.0,Convergys,2272997.0
ufu7552,2.0,R,95.0,S,United States of America,TWRRGULRYKYUWZYBQQFMIFFKVK,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Newport News,1-144-623-1308,AK,,0.0,644.0,kurjmmgixxfd,,2.0,Dominion Resources,702000.0
bbg7553,4.0,R,8.0,M,United States of America,Yqfljvgkfucafpjpamdtcppiipc,NBSHKLXYVUUWXEQSGXR,Corona,1-269-220-8046,VT,H,5.0,769.0,cnsavindoi,161204.0,1.0,Sentry Insurance Group,1289800.0
Znk7554,3.0,O,31.0,M,,mjeasoritwctufyojamzbeeoo,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Lincoln,1-052-524-0130,LA,v,2.0,481.0,MQBSAUVQRPYE,202650.0,4.0,Cintas,1007390.0
CGQ7555,1.0,O,51.0,U,Canada,Udxaujgiratgthwkvdibgvwfo,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Toronto,1-335-871-6660,CT,T,7.0,732.0,vadbnvz,,2.0,Medtronic,124290.0
add7556,4.0,O,24.0,M,United States of America,GHFUKZPOKMXWZF,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Fayetteville,1-637-394-8083,UT,,2.0,802.0,Ljurvnigr,492433.0,4.0,Pride International,1820002.0
Anw7557,2.0,O,78.0,M,Canada,ybtkiifyhbgchnuctnhnqspk,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Charlotte,1-706-795-4208,IN,J,5.0,329.0,BQDMQVFTNBRJ,344858.0,4.0,A. Schulman,2200347.0
Hvt7558,5.0,R,56.0,W,United States of America,Fhkymmgjsbmpduuffgavhfcxm,nqcozjievwzk,Tulsa,1-622-347-5699,WI,,0.0,839.0,jkcul,197290.0,0.0,Oneok,3669569.0
Yqj7559,2.0,,50.0,U,United States of America,DEZDTMSMWKALBRPALCFIME,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Winston-Salem,1-042-017-9368,WA,d,,539.0,Nelny,283654.0,,Danaher,2140537.0
Ztn7560,4.0,R,52.0,M,United States of America,phoxfeiqoldgmnojmzunmargkla,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Thousand Oaks,1-829-935-5979,LA,,4.0,561.0,Qsggz,317423.0,5.0,Del Monte Foods,3258909.0
bni7561,4.0,O,14.0,W,United States of America,Upuabfflh,Lfrjkyblujmbxigmylpsxieswspmei,Lubbock,1-076-726-5283,VT,,2.0,814.0,Drofa,399126.0,5.0,American Electric Power,1825422.0
swx7562,5.0,R,29.0,M,United States of America,owagfolbfwjzeg,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Winnipeg,,CT,,7.0,305.0,Ssovhtmt,398180.0,0.0,TJX,1845263.0
DSA7563,2.0,O,50.0,S,United States of America,Qdmppehqxloc,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Laredo,1-284-129-5920,RI,P,4.0,457.0,Tnprhljfrlj,,4.0,Philip Morris International,1463114.0
BXZ7564,4.0,O,67.0,U,United States of America,jqbetxkci,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Overland Park,1-128-308-8886,SC,,8.0,349.0,Bkxujhonjgjk,485429.0,1.0,Cincinnati Financial,2354683.0
pcz7565,2.0,O,22.0,M,United States of America,Wsmywgbvwspgdwhmdxsqjwqb,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,Calgary,1-145-469-5971,British Columbia,,0.0,590.0,mrjrjhgnwcdu,118018.0,0.0,Stryker,436677.0
Zqa7566,5.0,O,20.0,U,United States of America,ocgwi,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Peoria,1-727-684-7767,CO,,0.0,533.0,Yusezkfgs,309693.0,4.0,Kansas City Southern,2383335.0
Htl7567,4.0,O,75.0,W,Canada,Pcotdnngmurhkcd,IBQIDE,Durham,1-776-201-2472,TN,z,9.0,686.0,RKXTQAO,90718.0,0.0,IDT,2574739.0
afw7568,2.0,O,60.0,U,United States of America,bvcosqzcleknjzvkygbawlc,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,Pueblo,1-767-942-1278,CA,L,10.0,582.0,UBQSATXZO,280645.0,0.0,Vornado Realty Trust,1596838.0
Wna7569,,O,,S,United States of America,ECLENELTSXGTNWOP,Lrebujnrg,Las Cruces,1-723-062-7266,WY,,0.0,807.0,BHRNWQLFVFA,231559.0,4.0,Dollar General,591965.0
Mlh7570,3.0,O,48.0,S,United States of America,Xdwexmrjat,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Chula Vista,,SD,,3.0,819.0,Ktmzav,36898.0,5.0,Safeway,3071440.0
Gor7571,2.0,R,91.0,M,United States of America,xjwnvwdryqpcehelwzfhkkiuus,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,San Diego,1-145-314-0862,British Columbia,,5.0,311.0,Nfpchgfj,396786.0,0.0,Apache,2683081.0
ENX7572,2.0,O,98.0,U,United States of America,RNBABCYAFMQPBOHXNUXMXNU,Hxutrprq,Chicago,1-735-104-7772,NJ,,3.0,734.0,Wuywecohosfi,344365.0,5.0,Lowe's,3850483.0
fgr7573,4.0,O,51.0,W,United States of America,Eyrtrqkljywvbcice,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Worcester,,AK,,1.0,432.0,tibxlojrqiha,1205.0,1.0,Lithia Motors,1870617.0
Ysh7574,5.0,O,22.0,S,United States of America,Opybrukftspofebjmspkjsgtobzsp,JRHXPUUHAFHDPF,Honolulu,1-518-116-1411,OH,a,3.0,394.0,ogmes,276666.0,0.0,CH2M Hill,1249534.0
Mos7575,0.0,O,57.0,U,United States of America,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,yvntcqjqqmbftwetvbqgclcdbxspvk,Albuquerque,1-696-359-4829,New Brunswick,I,1.0,658.0,JUBKXDKP,497953.0,0.0,Tellabs,3789880.0
czu7576,1.0,O,38.0,M,Canada,kpofwgtomgijnm,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,Oakland,1-352-678-5471,IL,,3.0,348.0,Xbgykqm,156048.0,2.0,Phillips-Van Heusen,3874445.0
Ghr7577,1.0,O,68.0,M,United States of America,Biflzgcqpqpbahquomftmjffohpwuy,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,Billings,1-906-600-9749,AZ,Z,8.0,598.0,NNCXIBTCXZA,63617.0,5.0,Wells Fargo,437353.0
Rwk7578,2.0,O,93.0,U,United States of America,ybdlwlwxispyswbiegrbsqqtywxr,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,Pueblo,1-093-018-2851,NY,,9.0,505.0,mfwuio,244849.0,2.0,Vornado Realty Trust,2669917.0
Uwi7579,4.0,R,48.0,S,United States of America,Capzcewdt,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,Sherbrooke,1-302-096-9321,WA,,7.0,839.0,Utgwrun,123585.0,3.0,New York Times,1466537.0
VXZ7580,1.0,U,96.0,S,United States of America,XKBLVBCCYKMIXABVTOTVPZCJRII,CYQWJKJB,Sacramento,1-915-044-3154,GA,,2.0,672.0,Wgulrhctjlg,391134.0,1.0,Adobe Systems,991860.0
Ayk7581,5.0,O,58.0,M,United States of America,wmknfemsztimaphftadowlmbnp,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,Charlotte,1-040-274-3474,AZ,p,3.0,696.0,Srhxvxe,426759.0,5.0,Valmont Industries,
lho7582,5.0,O,63.0,W,United States of America,DHLVITRFJDXLTPAGMPMJ,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,El Paso,1-678-397-2739,NV,,5.0,448.0,Dadkihaohc,451737.0,3.0,UAL,1816368.0
rzi7583,2.0,O,18.0,S,United States of America,Jdpqutldftwykfyhukveiaimoyyk,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,Mesa,1-679-345-9939,TN,,9.0,549.0,Fpoleiod,180822.0,1.0,AFLAC,565246.0
Wds7584,4.0,O,40.0,W,United States of America,Qiwemtdba,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,Simi Valley,1-093-616-0613,AL,,0.0,705.0,Cuaieflmccqp,205843.0,2.0,VeraSun Energy,1899339.0
Xsj7585,4.0,O,29.0,M,United States of America,JQKEDISZ,ccfzcxohrhrcnypedmhjovjyjrxi,St. Catharines,1-546-131-8988,TX,f,6.0,387.0,qiraymmapgf,470985.0,3.0,Magellan Health Services,3873239.0
Lux7586,2.0,,21.0,U,United States of America,Gfuwa,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,Washington,1-477-186-7432,WV,v,7.0,359.0,Tsynomgib,318225.0,1.0,Emcor Group,767547.0
wxw7587,2.0,O,41.0,M,Canada,CTTUYHUUMMDTX,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,Chula Vista,1-965-848-6954,ND,,9.0,494.0,Amudllk,326044.0,2.0,Peabody Energy,1027999.0
pfz7588,1.0,,56.0,M,United States of America,Wvtqm,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,Montpelier,1-622-866-0937,Saskatchewan,e,10.0,345.0,ELQKT,,1.0,State Farm Insurance Cos.,3428495.0
hlx7589,2.0,O,33.0,M,United States of America,xuwgpsvzcpxtoerndtr,REHWDWEP,Mesa,1-040-217-2014,VA,,10.0,402.0,Oiwac,187282.0,0.0,Humana,1827180.0
nyb7590,2.0,O,96.0,M,United States of America,Hnnzpokbygacjjgybkskf,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,New Haven,1-101-684-2373,ND,,3.0,579.0,Dqgzinvuxxy,,0.0,News Corp.,2070007.0
Ltt7591,2.0,O,35.0,,United States of America,qsnivsknktiwjpqwnrlgftnmsrxkjc,DIMPFMEBDNHBCT,Indianapolis,1-386-426-5849,ND,O,2.0,569.0,Nchaajfkjvx,,0.0,Torchmark,
gsz7592,0.0,O,40.0,W,United States of America,pygsfvfpeofkdcugfvxdsqgmcgebfp,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,Stockton,1-598-816-0126,MS,,9.0,745.0,XEDMBUAMGXKH,306946.0,4.0,Rock-Tenn,3596263.0
Kwp7593,0.0,U,10.0,D,,Zgxsuo,DVYTEPWCABNSGPTLJEMPQLTEWM,Louisville,1-770-379-7700,WY,,1.0,320.0,crxbrlj,99663.0,,AGCO,3719999.0
AGM7594,2.0,R,59.0,M,United States of America,ganifmdaqbltccwbqijtkypcetuq,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,Atlanta,,MA,D,4.0,591.0,Eytubbwi,482013.0,4.0,,3058439.0
Ocn7595,1.0,U,70.0,M,United States of America,IYCOMORWDFSEKN,,Milwaukee,1-628-245-6238,AK,u,10.0,,Lwftldizl,180476.0,0.0,United Stationers,2592932.0
Cmw7596,4.0,,69.0,M,United States of America,vdvdlfz,qlgnszfowrbrkuurrmjrfnfaeulhneecv,Fort Smith,1-813-787-2611,PA,,5.0,417.0,GSSFZNBZL,285682.0,5.0,McCormick,1471273.0
Dit7597,0.0,R,96.0,M,United States of America,Sbwymtnwzhffkwjczlsnvrtcv,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,Knoxville,1-362-897-1162,MA,V,8.0,338.0,Nrnqtmjz,455032.0,5.0,National Life Group,
Rmm7598,3.0,O,9.0,S,United States of America,qjjwbffbgxilxyarhjwdvo,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,Idaho Falls,1-952-919-4878,DC,S,9.0,340.0,Rzjxvum,356141.0,,Hasbro,2410816.0
ekj7599,3.0,U,39.0,U,Canada,JIXUQX,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,Jacksonville,1-145-214-8009,RI,,5.0,738.0,Accezkuzqrif,165667.0,3.0,Tupperware Brands,1059543.0
wcq7600,0.0,O,31.0,S,United States of America,Eqrxuc,MIMWGPPF,Stockton,1-328-944-9786,MA,A,7.0,597.0,LNZZPGOTEG,459767.0,2.0,Covance,379282.0
Klc7601,2.0,R,64.0,M,United States of America,PDAXUXBMPOVTKJUR,Xpannac,Thousand Oaks,1-899-864-9421,Alberta,,4.0,603.0,YINOHET,106459.0,2.0,Interactive Brokers Group,3271265.0
Jrd7602,,U,38.0,D,,Adftxl,Pspmoftnashzvtfxfiuuzjpcvugdlvvezjgojjmvkgaqxqriw,Nashua,1-877-997-8896,AR,,5.0,662.0,ddgkyv,51021.0,1.0,SkyWest,1530364.0
GDQ7603,2.0,R,47.0,W,United States of America,Gaksvvggpbleteofow,RUVLQHPKIECWUMXVAJLEIVCCDFYFEMUNTJAJ,Tallahassee,1-750-900-0823,VA,,0.0,838.0,Seiksuhglhj,494931.0,4.0,Best Buy,3731860.0
fnm7604,5.0,O,,M,United States of America,Ijstknxzfzsvqmy,Tgduloxjkccxdbsfdbssvgjtovxnpmmufkdwbhtgolrddejglsgeds,Brownsville,,OR,,9.0,791.0,Ytgghhaxc,429859.0,2.0,Sears Holdings,2488858.0
