gncd,pstlcd,mddlntl,gndr,wnrrntflg,ncm,cntr,ddrssln2,ddrssln1,stt,mrtlstts,ct,phn,nmbrcrdtcrds,lstnm,g,crdtrtng,mplr,ntwrth
Pla32,94383,X,m,O,260185.0,United States of America,,16068 cantey way,WY,M,San Jose,1-042-705-3246,9.0,Plamondon,47.0,380.0,Charles Schwab,362523.0
SEL33,T6d 1b3,E,F,R,258323.0,United States of America,,21170 EDLOE BOULEVARD,NY,M,Nashua,1-098-328-2026,2.0,SELCHOW,9.0,796.0,Coach,2102359.0
sha34,25339,Z,f,U,79476.0,United States of America,,885 CROSBY LANE,SC,M,Fort Smith,1-209-754-5635,2.0,shane,85.0,818.0,DaVita,3480265.0
MER35,V6o 1v4,,,U,102156.0,United States of America,,12235 jay street,MS,M,Lancaster,1-498-781-3456,3.0,MERWIN,81.0,766.0,Marshall & Ilsley Corp.,3648900.0
con36,01852,,,O,221481.0,United States of America,,20340 LOMBARD CRESCENT,UT,M,Colorado Springs,1-615-241-0440,2.0,conrad,0.0,359.0,Cablevision Systems,1161790.0
ons37,78230,,M,R,41836.0,United States of America,,22074 dexter upper,PA,S,Washington,1-995-449-5200,2.0,onsiteteam,28.0,401.0,Barnes & Noble,2050587.0
Sum38,93770,,M,O,72389.0,Canada,,1540 MURIE RUE,OK,U,Lowell,1-295-673-4452,0.0,Summerlin,65.0,609.0,EMC,3579198.0
gro39,m4l 1n4,F,,O,66486.0,United States of America,,7075 glen loch drive,WY,S,Frederick,1-914-675-2986,2.0,grooms,20.0,630.0,Fluor,889494.0
dil40,22335,I,,O,200185.0,United States of America,Apt. 382,11237 balmoral way,RI,M,Mesa,,9.0,dilkie,55.0,671.0,Dollar General,2205682.0
DOL41,V6C 1T4,,,O,289215.0,United States of America,,8316 GARDEN BROOK NORTH,HI,U,Lakewood,1-825-739-0336,10.0,DOLSON,76.0,715.0,Lear,1140117.0
Pos42,M6t 1h3,,,O,322484.0,United States of America,,2240 clifton lower,VA,M,Cleveland,1-956-713-3802,9.0,Posthumus,1.0,707.0,J.P. Morgan Chase & Co.,1421319.0
Mac43,95263,,,O,83458.0,United States of America,,20907 NOTINGHAM LOWER,OK,M,Grand Rapids,1-814-932-1579,0.0,Machika,3.0,329.0,Affinia Group Intermediate,3525204.0
che44,v5b 1p5,,,R,,United States of America,,601 carroll lower,Prince Edward Island,D,Peoria,1-135-443-7282,8.0,chenoweth,100.0,601.0,,468976.0
hol45,32318,,,O,492407.0,United States of America,,18267 state drive,SD,W,Inglewood,1-720-975-0667,2.0,holbrooks,81.0,623.0,Goldman Sachs Group,1685443.0
pfi46,93872,,f,O,346630.0,United States of America,,9270 LEAF SOUTH,OH,S,Akron,1-871-598-3505,2.0,pfieffer,76.0,376.0,E*Trade Financial,337564.0
elk47,92824,Y,,O,9572.0,Canada,,18582 PERIMETER BOULEVARD,MA,W,Charlottetown,1-607-222-4809,0.0,elkington,51.0,560.0,Pfizer,84777.0
Lab48,e4a 1r2,,F,O,265369.0,United States of America,,9612 park stream upper,MD,,Bellevue,1-965-046-0642,4.0,Labenek,,693.0,Safeway,3146477.0
laf49,H7G 1V4,Y,,U,104172.0,United States of America,,2803 clearwater north,Saskatchewan,S,Dover,1-155-441-3579,0.0,laferriere,58.0,346.0,Simon Property Group,495277.0
Nor50,85039,I,,O,65550.0,United States of America,,11103 BISSONNET WEST,WA,M,Fullerton,,0.0,Norment,52.0,342.0,Trinity Industries,746904.0
hag51,v6m 1q3,,,R,,Canada,,4652 outervale lane,OH,M,Denver,1-544-132-7237,8.0,hagar,91.0,563.0,Solutia,1219620.0
Bet52,X7j 1r1,,m,O,,United States of America,,341 dunbar west,WY,M,Dallas,1-821-089-2089,4.0,Betcher,17.0,391.0,,1718910.0
Van53,B8b 1z5,,m,O,66244.0,United States of America,,16176 vernon drive,NJ,S,San Jose,1-135-391-9787,8.0,Van der,6.0,381.0,A.O. Smith,
O'L54,t5d 1v4,,F,U,426954.0,United States of America,,23131 clint way,ND,S,Bellevue,1-776-182-6215,9.0,O'LEARY,89.0,539.0,AptarGroup,2636424.0
and55,V6t 1r2,,m,O,126891.0,United States of America,,11640 baltic upper,NC,M,San Buenaventura,1-079-780-7761,0.0,anderson,99.0,497.0,Coca-Cola,1326305.0
sta56,91177,,,O,454196.0,Canada,,20796 dolores drive,WV,M,St. Louis,1-504-346-4393,,starks,77.0,661.0,Kimberly-Clark,2241997.0
CHA57,T5c 1t1,,,R,163940.0,United States of America,Apt. 275,14359 COMMERCE WEST,GA,S,Pueblo,1-985-538-4351,0.0,CHASSE,,558.0,Visteon,1542891.0
ASI58,35862,,R,O,365213.0,Canada,,21448 hampton boulevard,Ontario,W,Regina,1-254-097-9398,,ASING,90.0,534.0,TECO Energy,797918.0
ask59,96820,,f,U,428739.0,United States of America,,7637 pershing way,MA,M,Saskatoon,1-545-924-9552,6.0,askins,82.0,373.0,Bemis,347654.0
Kik60,75238,K,,O,142444.0,United States of America,,11529 arcana boulevard,CA,M,Jackson,1-984-233-8818,8.0,Kikuta,,382.0,Wyeth,2456397.0
Cha61,85769,,F,O,416168.0,United States of America,,2700 windwood north,SD,S,St. Petersburg,1-528-691-1642,10.0,Chane,15.0,475.0,United Technologies,1284229.0
KIL62,H5i 1o9,U,m,O,291420.0,United States of America,,22279 gramercy road,Saskatchewan,D,Scottsdale,,3.0,KILLEN,,539.0,Clorox,618787.0
kin63,90849,,f,O,413501.0,United States of America,,9828 west east,RI,M,Charlotte,1-171-807-8213,6.0,kinley,96.0,711.0,Discovery Communications,1171606.0
MAL64,43644,,,O,,United States of America,,5935 mcafee park,NC,M,Waterbury,1-056-241-7009,1.0,MALAHER,38.0,606.0,Williams-Sonoma,3983261.0
Odu65,99213,J,,O,419143.0,United States of America,,12460 CLAYTON STREET,SD,W,Chesapeake,1-389-414-0570,0.0,Odum,10.0,494.0,Manitowoc,2328568.0
DI 66,72226,,,O,155057.0,United States of America,,275 3rd drive,IL,M,Hialeah,1-583-542-1656,3.0,DI NINNO,72.0,309.0,Henry Schein,2078600.0
STU67,V6Z 1Q9,K,,O,313859.0,United States of America,,6907 FERNCLIFF CRESCENT,OR,M,Charleston,1-269-712-0672,3.0,STUBBLEFIELD,97.0,630.0,Trinity Industries,2986155.0
HAM68,20082,,,O,265907.0,United States of America,,885 crosby lane,Ontario,S,Salem,1-670-102-0463,10.0,HAMBALI,48.0,330.0,Pepsi Bottling,1864039.0
LIB69,35827,,m,O,283481.0,Canada,,2344 kalani west,FL,S,Sacramento,1-699-726-3895,9.0,LIBRARIAN,97.0,710.0,UGI,1293721.0
ohs70,99692,,M,R,200635.0,United States of America,,22870 LA CIENEGA STREET,NM,M,Santa Clarita,1-640-666-2876,7.0,ohsone,73.0,475.0,Greif,3850114.0
HUM71,V6c 1q5,O,,O,434519.0,United States of America,APT. 143,8478 green avenue,NE,U,Sherbrooke,1-540-639-1311,3.0,HUMMEL,71.0,596.0,Equifax,1618743.0
BRA72,80158,,,O,392315.0,United States of America,,23639 purdue rue,MI,W,Colorado Springs,1-285-874-8492,9.0,BRADD,93.0,670.0,,3383487.0
Boa73,t6d 1b6,X,,O,493829.0,United States of America,,19202 ansley park,New Brunswick,U,Berkeley,1-121-904-0040,,Boarder,53.0,722.0,Freescale Semiconductor,2981876.0
Mcn74,33120,,,O,97489.0,United States of America,,11319 devonshire rue,NJ,U,San Buenaventura,1-017-842-3201,7.0,Mcnally,32.0,587.0,Aleris International,2109339.0
MAR75,99742,,F,O,,United States of America,,23665 deerwood park,ND,S,New Haven,1-215-859-3206,4.0,MARKOVICH,1.0,609.0,,791803.0
Wil76,V6N 1T1,,f,O,383046.0,United States of America,,4855 union north,Saskatchewan,S,Shreveport,1-764-520-7470,7.0,Willekes,39.0,401.0,World Fuel Services,3523678.0
Dea77,44104,S,m,,1190.0,United States of America,,9466 SHADOWBRIAR WEST,KS,M,Lansing,1-414-130-0162,0.0,Deacetis,77.0,335.0,R.R. Donnelley & Sons,1681902.0
Hou78,14605,,,O,85733.0,United States of America,,3504 regency avenue,SD,U,Pembroke Pines,1-970-240-9990,7.0,Houk,18.0,569.0,Brinker International,3851455.0
Goy79,80076,,,R,387890.0,Canada,,7281 northland lower,FL,M,Palmdale,1-408-684-6459,9.0,Goyette,70.0,,Temple-Inland,2339382.0
Mok80,V6I 1V6,Z,f,O,16808.0,United States of America,,12481 hayden lower,Saskatchewan,S,Savannah,1-330-353-5908,7.0,Mok-fung,26.0,679.0,Psychiatric Solutions,
Run81,97307,I,,,304589.0,United States of America,,2328 gracie avenue,FL,M,Amarillo,1-766-726-2675,10.0,Rundle,,356.0,Nash-Finch,2065016.0
BEL82,46237,,o,R,48506.0,United States of America,,4737 campbell street,UT,S,Anchorage,1-938-425-7509,9.0,BELLEY,58.0,308.0,AMR,2454049.0
BAE83,V6B 1S6,Y,,O,,United States of America,,2401 stratmore lower,WY,M,Louisville,1-527-308-8874,4.0,BAER,43.0,412.0,Spartan Stores,2423395.0
MAU84,H2d 1x1,,f,O,358862.0,United States of America,,21477 JUNIPER CRESCENT,NH,D,Hilo,1-810-590-0635,4.0,MAULDIN,65.0,618.0,Cigna,1342045.0
Koo85,95108,,,O,477614.0,United States of America,,19214 YAUPON BOULEVARD,AR,S,Sudbury,1-274-548-2512,5.0,Koohgoli,24.0,429.0,General Cable,861756.0
Lau86,80050,,,O,175414.0,United States of America,,7785 rusk boulevard,CT,S,Orlando,1-649-754-4601,3.0,Lauriston,79.0,819.0,Dun & Bradstreet,1215349.0
Man87,90122,L,F,O,427598.0,Canada,,18002 cantrell upper,VT,M,Missoula,1-905-932-1785,7.0,Mangum,48.0,552.0,Casey's General Stores,3981554.0
PIE88,43614,,,O,368207.0,United States of America,,23341 brookside upper,Manitoba,S,Abilene,1-031-004-7697,9.0,PIERCY,69.0,587.0,Jack in the Box,3865937.0
Bus89,61110,,M,O,449944.0,United States of America,,20494 ROSS WEST,NJ,S,Saskatoon,1-994-812-4796,6.0,Buscaglia,91.0,304.0,Assurant,2804700.0
BAB90,70174,,,U,166247.0,United States of America,,17552 SAVANNAH NORTH,KY,,Irvine,1-176-513-4041,4.0,BABIONE,75.0,795.0,Psychiatric Solutions,3283558.0
Bur91,90324,,M,O,391165.0,United States of America,APT. 373,4462 pace crescent,GA,S,Reno,1-072-244-6337,2.0,Burkard,85.0,830.0,Danaher,450524.0
Kin92,s7d 1n1,,,R,165854.0,United States of America,,7161 tallowood upper,NJ,M,Sacramento,1-924-669-9328,3.0,Kinsella,76.0,709.0,Clorox,
POM93,93829,,,O,326181.0,United States of America,,3489 silver sage west,SC,S,Topeka,1-598-488-3541,8.0,POMMAINVILLE,68.0,493.0,Boyd Gaming,
BOA94,89116,,M,O,173387.0,United States of America,,12481 hayden lower,TN,M,Rancho Cucamonga,1-295-539-3868,,BOATWRIGHT,95.0,680.0,Eaton,633760.0
Ron95,94315,R,,R,301127.0,United States of America,,13210 3RD DRIVE,WY,M,Hilo,1-554-020-0267,,Ronald,15.0,800.0,Dynegy,3634954.0
wei96,T5b 1u9,A,,R,487230.0,United States of America,,8899 starling lane,Ontario,M,Saint John,1-793-621-4566,4.0,weihs,17.0,614.0,AmeriCredit,799268.0
Hel97,T6b 1a5,P,M,R,425747.0,Canada,,11480 fennel south,DC,,Torrance,1-787-267-4261,6.0,Helpb,94.0,763.0,SLM,39093.0
mog98,60699,,m,O,401946.0,United States of America,,7266 cherry upper,Alberta,S,Santa Clara,1-668-247-1597,3.0,moghe,70.0,561.0,NV Energy,2705353.0
boz99,V6p 1s8,,,O,425422.0,United States of America,,10678 ENGLEWOOD WEST,ME,S,Torrance,1-901-346-8890,4.0,bozicevich,29.0,569.0,Landstar System,3565153.0
Zah100,v6i 1p1,R,,O,208890.0,United States of America,,21181 2ND RUE,MA,M,Stockton,1-451-273-3803,5.0,Zaharychuk,52.0,634.0,Pacific Life,2832204.0
And101,79423,,F,O,67880.0,United States of America,,22963 hanover road,NV,U,Paterson,1-129-499-9136,10.0,Andric,51.0,488.0,Textron,2194345.0
Bam102,H5j 1o6,L,,O,133412.0,Canada,,8268 cliffbrook boulevard,WA,W,Mesa,1-899-319-0772,5.0,Bamfo,24.0,788.0,Pfizer,3737140.0
fro103,93761,,,O,144829.0,United States of America,,5118 montview court,WY,D,Anchorage,1-053-396-0441,8.0,frondozo,98.0,333.0,Cigna,464753.0
Car104,76150,J,,U,,United States of America,,17442 tallowood upper,NJ,M,Miami,1-239-665-9540,,Caron,59.0,601.0,Ameren,596696.0
muc105,99717,V,f,O,143682.0,Canada,,4038 WEDGEWOOD STREET,LA,U,Great Falls,1-605-888-3403,2.0,muchow,49.0,595.0,Consolidated Edison,1504753.0
gat106,60608,,,O,350020.0,United States of America,,20334 anaconda avenue,TX,U,Erie,1-630-604-2543,10.0,gateau,1.0,433.0,Occidental Petroleum,3049281.0
Sch107,v6w 1u4,M,F,O,435103.0,United States of America,,5385 young west,SC,U,Hollywood,1-851-862-7928,10.0,Schaefer,79.0,403.0,Sherwin-Williams,247478.0
pom108,T5b 1t6,,,R,207768.0,United States of America,,2747 SINCLAIR LANE,TX,,Tulsa,1-065-415-5724,3.0,pomerleau,6.0,615.0,Affiliated Computer Services,2750301.0
cuc109,23298,K,F,O,407512.0,United States of America,,8622 BROWNWAY PARK,MN,M,Tucson,1-408-512-1007,1.0,cucuzzella,70.0,735.0,Valassis Communications,721333.0
SUG110,32803,Z,q,O,403366.0,United States of America,,18048 GREEN NORTH,ID,S,Anchorage,1-083-902-4184,1.0,SUGARMAN,23.0,668.0,,669440.0
Pep111,64122,,,O,384095.0,Canada,,18994 country boulevard,MI,M,Sandy,1-568-403-7081,,Pepe,78.0,349.0,Smithfield Foods,2473979.0
Cha112,T6b 1h2,,f,,288969.0,United States of America,SUITE 7,16063 ashland road,OK,S,Boston,1-824-389-0618,,Chandrashekar,79.0,654.0,,3545170.0
SEI113,22222,U,m,O,233665.0,United States of America,Apt. 971,19309 mcfarlin north,UT,U,Vancouver,1-174-210-2058,6.0,SEIFERS,72.0,361.0,TD Ameritrade,1494871.0
GAR114,T6a 1d2,S,F,U,147236.0,Canada,,2454 cliffbrook west,PA,S,Akron,1-425-503-7952,1.0,GARTLEY,31.0,427.0,Comerica,436164.0
Tou115,v5d 1n9,,M,O,452557.0,United States of America,,15865 strand west,New Brunswick,W,Lancaster,1-012-389-9089,1.0,Touchette,86.0,322.0,Steel Dynamics,1069481.0
Kur116,23321,V,M,R,179305.0,United States of America,,13776 east boulevard,UT,S,Concord,1-909-472-6704,9.0,Kurdziel,,792.0,Coca-Cola Enterprises,
Her117,90505,,,O,205817.0,Canada,,10570 WEIZMANN LOWER,VA,U,Chesapeake,1-622-167-5411,2.0,Herod,87.0,478.0,News Corp.,2957261.0
MCV118,19066,P,,O,262711.0,United States of America,,15278 walnut hill road,NH,M,Flint,1-164-511-9338,1.0,MCVICAR,92.0,477.0,,228459.0
LAB119,v6s 1r3,,F,O,84810.0,Canada,,23007 WAKEFOREST WAY,VT,M,Chattanooga,1-804-532-9163,6.0,LABFIVE,4.0,449.0,Stater Bros. Holdings,67267.0
but120,78769,,,O,96441.0,United States of America,,9088 rivas way,FL,U,Billings,1-197-370-0297,2.0,butta,8.0,466.0,BorgWarner,1087978.0
Pro121,53769,,m,O,462762.0,United States of America,,18798 ullrich road,NC,M,Scottsdale,1-337-042-5687,2.0,Projects,97.0,483.0,CB Richard Ellis Group,3885967.0
Irc122,H7E 1U6,,,O,141890.0,United States of America,,18517 HULEN LOWER,VA,D,Oshawa,1-056-138-5321,4.0,Irc,,588.0,Zimmer Holdings,3271101.0
Ziv123,e7o 1k1,G,,O,156610.0,Canada,,11474 dodd lane,DC,,Naperville,1-776-191-2031,2.0,Zivkovic,40.0,313.0,Mohawk Industries,
sim124,90374,H,,R,164752.0,United States of America,,9375 wood south,NC,U,Tampa,1-280-696-2706,1.0,simser,95.0,647.0,Berkshire Hathaway,1999133.0
kei125,63169,I,,O,278949.0,United States of America,,20479 wise avenue,MS,S,Jackson,1-857-581-6346,2.0,keifer,92.0,430.0,Saks,1100786.0
arv126,16515,P,f,O,,United States of America,,19918 ROGERS NORTH,SC,W,Hay River,,8.0,arvin,67.0,467.0,Gardner Denver,563992.0
Pra127,85309,,F,O,463736.0,United States of America,,9284 coffey lower,KS,M,Irvine,1-716-343-0884,7.0,Praeuner,24.0,399.0,Hasbro,962397.0
lue128,92158,C,m,O,,United States of America,,2929 north crescent,VT,M,Idaho Falls,1-101-776-2496,5.0,lue,26.0,654.0,CBS,1064169.0
Prz129,33152,,f,O,86667.0,United States of America,,15404 queen street,IL,S,Moreno Valley,1-769-028-0589,3.0,Przybycien,62.0,378.0,Synnex,2100059.0
pen130,83729,J,f,O,193470.0,United States of America,,1619 greenspoint road,FL,W,Ontario,1-005-833-8970,10.0,penn,37.0,338.0,Belden,99025.0
Gua131,B8b 1z6,S,,R,406379.0,United States of America,,21477 WARREN PARK,MI,S,Concord,1-884-215-4243,10.0,Guay,71.0,695.0,Broadcom,3865481.0
bre132,53717,,F,U,480595.0,Canada,,6503 ROBBINS STREET,Newfoundland,M,Phoenix,,7.0,brennand,29.0,614.0,Reynolds American,804544.0
Sav133,t5c 1w7,X,f,O,181718.0,United States of America,,3958 GLEN LOCH BOULEVARD,ME,S,Coral Springs,1-725-177-7815,7.0,Savanh,89.0,307.0,Wells Fargo,3143356.0
ABB134,37245,Z,,O,468310.0,United States of America,,13640 ethridge lower,AL,M,Oxnard,1-277-496-5396,2.0,ABBATANTUONO,11.0,331.0,Retail Ventures,
OP135,94401,N,M,O,354987.0,United States of America,,3981 imperial lower,IN,S,Brownsville,1-756-463-2201,2.0,OP,20.0,638.0,AT&T,2311953.0
Mer136,B8a 1y3,,,O,284539.0,Canada,,13210 3rd drive,NH,W,Memphis,1-261-338-7463,3.0,Mersinger,75.0,703.0,Wynn Resorts,3120608.0
rut137,t6b 1k2,,F,O,213725.0,United States of America,,9297 THROCKMORTON SOUTH,DC,S,Flint,1-811-086-4675,7.0,rutt,95.0,302.0,Eastman Kodak,2058270.0
bem138,85306,I,,O,74195.0,United States of America,,8935 YOUNG UPPER,DC,U,Lafayette,1-338-771-1185,,bemis,0.0,522.0,Aramark,1511983.0
Pen139,V6R 1R7,,,O,169295.0,United States of America,,3797 RUTGERS PARK,MD,M,Greensboro,1-554-231-5318,,Pennington,73.0,,ENSCO International,439080.0
tor140,68513,Y,M,R,307832.0,United States of America,,8285 tamarind crescent,Prince Edward Island,W,Sterling Heights,1-733-886-5227,5.0,torok,39.0,833.0,Auto-Owners Insurance,921255.0
law141,v6n 1v9,L,m,O,20397.0,United States of America,,20025 routh crescent,MD,U,Costa Mesa,1-267-357-1943,2.0,lawlis,76.0,,Bemis,3810365.0
Bee142,83702,D,m,O,463094.0,United States of America,Suite 397,4144 LAKE PARK LANE,New Brunswick,U,Houston,1-602-756-7919,6.0,Beebe,5.0,664.0,Securian Financial Group,2641938.0
sch143,80125,,m,O,331900.0,United States of America,,3375 sakowitz lane,HI,U,Bakersfield,1-793-864-7010,7.0,schlange,65.0,789.0,Ford Motor,3857323.0
Wit144,M5G 1Y7,,,U,8421.0,United States of America,,7255 berry way,ND,S,Chesapeake,1-637-020-2921,0.0,Witchlow,94.0,803.0,ConAgra Foods,1636212.0
MER145,80213,Q,F,,35780.0,United States of America,,3131 WATHAN SOUTH,Nova Scotia,M,Sandy,1-428-797-6325,3.0,MEREDITH,95.0,720.0,Charter Communications,2999082.0
bia146,60737,,m,R,139897.0,United States of America,,18440 RYAN NORTH,ME,M,Lewiston,1-011-549-5618,4.0,bialkenius,28.0,839.0,Calpine,2280820.0
Swi147,90510,P,m,O,414119.0,United States of America,SUITE 464,13222 glen loch road,Alberta,D,Elizabeth,1-993-255-5481,0.0,Swiat,76.0,621.0,Crane,1050866.0
bul148,92882,,,O,234035.0,United States of America,,7889 MURRAY WAY,VT,D,Sudbury,1-487-749-4448,3.0,bullinger,81.0,628.0,Textron,
TYR149,98121,,F,O,144405.0,Canada,,7527 whale drive,DE,W,Austin,1-192-352-2184,6.0,TYRRELL,38.0,813.0,Idearc,603001.0
Fyf150,H2e 1x9,,,R,55441.0,United States of America,,17788 eagle trace park,MA,W,Salinas,1-293-442-4224,3.0,Fyfe,25.0,367.0,Cabela's,3368239.0
Sic151,23503,,,O,392869.0,United States of America,,7661 GRANT WAY,CA,D,Peoria,1-078-502-6700,10.0,Sicard,0.0,807.0,EOG Resources,1042629.0
CAS152,40208,,F,O,402416.0,United States of America,,4806 crystal hills street,Manitoba,U,Sydney,1-430-909-3001,8.0,CASTEN,61.0,501.0,,1948746.0
Cho153,75201,S,,O,89984.0,United States of America,,4211 WILLS NORTH,TN,U,San Antonio,1-392-455-0895,10.0,Choy,3.0,490.0,Burlington Coat Factory,3113862.0
CHA154,93852,,,O,395773.0,United States of America,,7524 linberg north,FL,W,Oklahoma City,1-273-921-9787,3.0,CHACKO,77.0,321.0,Southwest Airlines,2777290.0
bei155,32312,E,f,R,126662.0,United States of America,,14266 lemming south,CA,U,Miami,1-012-993-4538,6.0,beil,8.0,,RPM International,2210073.0
Ele156,90059,J,m,O,132008.0,United States of America,,1427 ADDAX LANE,CO,U,Yonkers,1-890-859-4211,7.0,Eleftheriou,34.0,446.0,Amazon.com,1999684.0
o'g157,77006,,F,O,417218.0,United States of America,,1625 fernando court,Saskatchewan,M,Columbia,1-080-032-3031,2.0,o'grady,15.0,428.0,Neiman Marcus,2119678.0
Kat158,23224,,,O,360063.0,United States of America,,335 floresta north,UT,S,Lubbock,1-561-620-7173,5.0,Katchmar,66.0,423.0,Goldman Sachs Group,169808.0
Lui159,10055,O,,O,100516.0,United States of America,,22806 garson east,ME,U,Chattanooga,1-017-439-0362,6.0,Luin,55.0,499.0,Boeing,1072732.0
Kla160,35830,,f,O,16814.0,United States of America,,5524 vermack street,NH,S,Fargo,1-248-539-6621,7.0,Klavkalns,8.0,342.0,United Refining,2261442.0
Bru161,v6m 1s9,Z,,U,,United States of America,,18105 electra street,VA,M,Omaha,1-611-789-5569,1.0,Brunsting,7.0,632.0,D.R. Horton,2234368.0
