prospect_AgID,prospect_FirNa,prospect_Cou,prospect_Emp,prospect_Inc,prospect_Ph,prospect_LaNa,prospect_PosC,prospect_OOReF,prospect_AddL2,prospect_NumChil,prospect_Ge,prospect_NumCrCa,prospect_Sta,prospect_NumC,prospect_MaSta,prospect_Ag,prospect_CreRa,prospect_NWo
WIN20,Rong-chin,United States of America,,395066.0,1-702-382-2898,WINTERS,94467,R,,0.0,M,,PA,2.0,U,59.0,,288747.0
BIT21,Darlleen,United States of America,Sun Microsystems,119283.0,1-909-554-7120,BITTMAN,94321,O,,3.0,,0.0,MD,5.0,U,94.0,300.0,876575.0
luz22,Radoslav,United States of America,Costco Wholesale,330991.0,1-752-296-7940,luzarraga,C2a 4w7,O,,1.0,f,8.0,TX,1.0,U,,795.0,2041224.0
don23,Aryn,United States of America,Illinois Tool Works,,1-995-554-5056,donovan,35808,U,,0.0,,5.0,IN,4.0,,5.0,367.0,2231509.0
Gia24,Allisan,United States of America,Southern Union,252031.0,1-090-303-3807,Giallo,M5f 1v6,O,,5.0,,1.0,MD,1.0,M,23.0,507.0,3206409.0
SPR25,Ammamaria,United States of America,Moog,101800.0,1-492-968-0932,SPRUELL,99539,O,,1.0,M,9.0,KY,3.0,M,61.0,362.0,3850037.0
SKA26,Mari,United States of America,Old Republic International,436977.0,1-960-227-2020,SKALSKI,95055,O,,1.0,F,7.0,CA,0.0,D,,527.0,528440.0
Gar27,Anica,United States of America,,495334.0,1-431-122-8597,Gargul,93686,O,,,m,0.0,FL,0.0,S,51.0,354.0,597140.0
Dor28,Melba,United States of America,Great Plains Energy,274685.0,1-822-836-7200,Dore,75218,O,,1.0,,1.0,Newfoundland,1.0,M,97.0,511.0,146931.0
DIO29,Tracee,United States of America,Broadcom,320820.0,1-530-117-0497,DIOGO,91174,,,2.0,,7.0,TX,2.0,,52.0,412.0,353495.0
Mer30,CANADIAN,Canada,Discover Financial Services,195835.0,1-051-257-2719,Merrick,49515,O,,0.0,m,1.0,WA,4.0,S,98.0,583.0,295647.0
Atc31,Oue,United States of America,UAL,108085.0,1-171-989-1363,Atchison,16506,O,,3.0,,5.0,MN,5.0,U,47.0,710.0,408941.0
Pla32,wallie,United States of America,Charles Schwab,260185.0,1-042-705-3246,Plamondon,94383,O,,1.0,m,9.0,WY,2.0,M,47.0,380.0,362523.0
SEL33,Andromache,United States of America,Coach,258323.0,1-098-328-2026,SELCHOW,T6d 1b3,R,,0.0,F,2.0,NY,0.0,M,9.0,796.0,2102359.0
sha34,THOR,United States of America,DaVita,79476.0,1-209-754-5635,shane,25339,U,,3.0,f,2.0,SC,1.0,M,85.0,818.0,3480265.0
MER35,SALAH,United States of America,Marshall & Ilsley Corp.,102156.0,1-498-781-3456,MERWIN,V6o 1v4,U,,3.0,,3.0,MS,5.0,M,81.0,766.0,3648900.0
con36,HOR-LAM,United States of America,Cablevision Systems,221481.0,1-615-241-0440,conrad,01852,O,,3.0,,2.0,UT,2.0,M,0.0,359.0,1161790.0
ons37,Vania,United States of America,Barnes & Noble,41836.0,1-995-449-5200,onsiteteam,78230,R,,5.0,M,2.0,PA,1.0,S,28.0,401.0,2050587.0
Sum38,Niel,Canada,EMC,72389.0,1-295-673-4452,Summerlin,93770,O,,1.0,M,0.0,OK,1.0,U,65.0,609.0,3579198.0
gro39,ziad,United States of America,Fluor,66486.0,1-914-675-2986,grooms,m4l 1n4,O,,0.0,,2.0,WY,3.0,S,20.0,630.0,889494.0
dil40,Claude,United States of America,Dollar General,200185.0,,dilkie,22335,O,Apt. 382,1.0,,9.0,RI,3.0,M,55.0,671.0,2205682.0
DOL41,AVTAR,United States of America,Lear,289215.0,1-825-739-0336,DOLSON,V6C 1T4,O,,2.0,,10.0,HI,0.0,U,76.0,715.0,1140117.0
Pos42,Donny,United States of America,J.P. Morgan Chase & Co.,322484.0,1-956-713-3802,Posthumus,M6t 1h3,O,,1.0,,9.0,VA,4.0,M,1.0,707.0,1421319.0
Mac43,Cocos,United States of America,Affinia Group Intermediate,83458.0,1-814-932-1579,Machika,95263,O,,2.0,,0.0,OK,4.0,M,3.0,329.0,3525204.0
che44,ruud,United States of America,,,1-135-443-7282,chenoweth,v5b 1p5,R,,3.0,,8.0,Prince Edward Island,0.0,D,100.0,601.0,468976.0
hol45,Belvia,United States of America,Goldman Sachs Group,492407.0,1-720-975-0667,holbrooks,32318,O,,1.0,,2.0,SD,5.0,W,81.0,623.0,1685443.0
pfi46,ATHAR,United States of America,E*Trade Financial,346630.0,1-871-598-3505,pfieffer,93872,O,,4.0,f,2.0,OH,4.0,S,76.0,376.0,337564.0
elk47,Cherey,Canada,Pfizer,9572.0,1-607-222-4809,elkington,92824,O,,3.0,,0.0,MA,1.0,W,51.0,560.0,84777.0
Lab48,RAZ,United States of America,Safeway,265369.0,1-965-046-0642,Labenek,e4a 1r2,O,,5.0,F,4.0,MD,1.0,,,693.0,3146477.0
laf49,kishore,United States of America,Simon Property Group,104172.0,1-155-441-3579,laferriere,H7G 1V4,U,,2.0,,0.0,Saskatchewan,1.0,S,58.0,346.0,495277.0
Nor50,Nelleke,United States of America,Trinity Industries,65550.0,,Norment,85039,O,,3.0,,0.0,WA,0.0,M,52.0,342.0,746904.0
hag51,sibby,Canada,Solutia,,1-544-132-7237,hagar,v6m 1q3,R,,0.0,,8.0,OH,2.0,M,91.0,563.0,1219620.0
Bet52,ericha,United States of America,,,1-821-089-2089,Betcher,X7j 1r1,O,,3.0,m,4.0,WY,2.0,M,17.0,391.0,1718910.0
Van53,Janson,United States of America,A.O. Smith,66244.0,1-135-391-9787,Van der,B8b 1z5,O,,4.0,m,8.0,NJ,4.0,S,6.0,381.0,
O'L54,Dorotea,United States of America,AptarGroup,426954.0,1-776-182-6215,O'LEARY,t5d 1v4,U,,3.0,F,9.0,ND,0.0,S,89.0,539.0,2636424.0
and55,Denice,United States of America,Coca-Cola,126891.0,1-079-780-7761,anderson,V6t 1r2,O,,4.0,m,0.0,NC,5.0,M,99.0,497.0,1326305.0
sta56,Myron,Canada,Kimberly-Clark,454196.0,1-504-346-4393,starks,91177,O,,2.0,,,WV,4.0,M,77.0,661.0,2241997.0
CHA57,Barby,United States of America,Visteon,163940.0,1-985-538-4351,CHASSE,T5c 1t1,R,Apt. 275,3.0,,0.0,GA,5.0,S,,558.0,1542891.0
ASI58,Ariella,Canada,TECO Energy,365213.0,1-254-097-9398,ASING,35862,O,,1.0,R,,Ontario,,W,90.0,534.0,797918.0
ask59,ADEY,United States of America,Bemis,428739.0,1-545-924-9552,askins,96820,U,,0.0,f,6.0,MA,0.0,M,82.0,373.0,347654.0
Kik60,GAYEL,United States of America,Wyeth,142444.0,1-984-233-8818,Kikuta,75238,O,,0.0,,8.0,CA,4.0,M,,382.0,2456397.0
Cha61,Man,United States of America,United Technologies,416168.0,1-528-691-1642,Chane,85769,O,,3.0,F,10.0,SD,3.0,S,15.0,475.0,1284229.0
KIL62,Klara,United States of America,Clorox,291420.0,,KILLEN,H5i 1o9,O,,0.0,m,3.0,Saskatchewan,2.0,D,,539.0,618787.0
kin63,Abdalla,United States of America,Discovery Communications,413501.0,1-171-807-8213,kinley,90849,O,,5.0,f,6.0,RI,4.0,M,96.0,711.0,1171606.0
MAL64,bal,United States of America,Williams-Sonoma,,1-056-241-7009,MALAHER,43644,O,,,,1.0,NC,4.0,M,38.0,606.0,3983261.0
Odu65,Romy,United States of America,Manitowoc,419143.0,1-389-414-0570,Odum,99213,O,,3.0,,0.0,SD,3.0,W,10.0,494.0,2328568.0
DI 66,KORAL,United States of America,Henry Schein,155057.0,1-583-542-1656,DI NINNO,72226,O,,5.0,,3.0,IL,1.0,M,72.0,309.0,2078600.0
STU67,YUKIHIKO,United States of America,Trinity Industries,313859.0,1-269-712-0672,STUBBLEFIELD,V6Z 1Q9,O,,5.0,,3.0,OR,2.0,M,97.0,630.0,2986155.0
HAM68,Khanh,United States of America,Pepsi Bottling,265907.0,1-670-102-0463,HAMBALI,20082,O,,1.0,,10.0,Ontario,4.0,S,48.0,330.0,1864039.0
LIB69,Darnell,Canada,UGI,283481.0,1-699-726-3895,LIBRARIAN,35827,O,,0.0,m,9.0,FL,,S,97.0,710.0,1293721.0
ohs70,feridoun,United States of America,Greif,200635.0,1-640-666-2876,ohsone,99692,R,,0.0,M,7.0,NM,4.0,M,73.0,475.0,3850114.0
HUM71,Magdy,United States of America,Equifax,434519.0,1-540-639-1311,HUMMEL,V6c 1q5,O,APT. 143,1.0,,3.0,NE,0.0,U,71.0,596.0,1618743.0
BRA72,jiri,United States of America,,392315.0,1-285-874-8492,BRADD,80158,O,,1.0,,9.0,MI,5.0,W,93.0,670.0,3383487.0
Boa73,AILA,United States of America,Freescale Semiconductor,493829.0,1-121-904-0040,Boarder,t6d 1b6,O,,3.0,,,New Brunswick,5.0,U,53.0,722.0,2981876.0
Mcn74,Vincenzo,United States of America,Aleris International,97489.0,1-017-842-3201,Mcnally,33120,O,,2.0,,7.0,NJ,3.0,U,32.0,587.0,2109339.0
MAR75,Minnnie,United States of America,,,1-215-859-3206,MARKOVICH,99742,O,,3.0,F,4.0,ND,4.0,S,1.0,609.0,791803.0
Wil76,alfonzo,United States of America,World Fuel Services,383046.0,1-764-520-7470,Willekes,V6N 1T1,O,,1.0,f,7.0,Saskatchewan,0.0,S,39.0,401.0,3523678.0
Dea77,Swandi,United States of America,R.R. Donnelley & Sons,1190.0,1-414-130-0162,Deacetis,44104,,,0.0,m,0.0,KS,4.0,M,77.0,335.0,1681902.0
Hou78,Anya,United States of America,Brinker International,85733.0,1-970-240-9990,Houk,14605,O,,5.0,,7.0,SD,5.0,U,18.0,569.0,3851455.0
Goy79,Enrika,Canada,Temple-Inland,387890.0,1-408-684-6459,Goyette,80076,R,,2.0,,9.0,FL,0.0,M,70.0,,2339382.0
Mok80,SONJA,United States of America,Psychiatric Solutions,16808.0,1-330-353-5908,Mok-fung,V6I 1V6,O,,0.0,f,7.0,Saskatchewan,2.0,S,26.0,679.0,
Run81,Liem,United States of America,Nash-Finch,304589.0,1-766-726-2675,Rundle,97307,,,4.0,,10.0,FL,,M,,356.0,2065016.0
BEL82,COLLETTE,United States of America,AMR,48506.0,1-938-425-7509,BELLEY,46237,R,,5.0,o,9.0,UT,2.0,S,58.0,308.0,2454049.0
BAE83,SIAMACK,United States of America,Spartan Stores,,1-527-308-8874,BAER,V6B 1S6,O,,4.0,,4.0,WY,0.0,M,43.0,412.0,2423395.0
MAU84,Toshihiro,United States of America,Cigna,358862.0,1-810-590-0635,MAULDIN,H2d 1x1,O,,3.0,f,4.0,NH,2.0,D,65.0,618.0,1342045.0
Koo85,Casey,United States of America,General Cable,477614.0,1-274-548-2512,Koohgoli,95108,O,,3.0,,5.0,AR,5.0,S,24.0,429.0,861756.0
Lau86,Daryn,United States of America,Dun & Bradstreet,175414.0,1-649-754-4601,Lauriston,80050,O,,1.0,,3.0,CT,3.0,S,79.0,819.0,1215349.0
Man87,Adrianna,Canada,Casey's General Stores,427598.0,1-905-932-1785,Mangum,90122,O,,1.0,F,7.0,VT,0.0,M,48.0,552.0,3981554.0
PIE88,Cortney,United States of America,Jack in the Box,368207.0,1-031-004-7697,PIERCY,43614,O,,4.0,,9.0,Manitoba,0.0,S,69.0,587.0,3865937.0
Bus89,Duane,United States of America,Assurant,449944.0,1-994-812-4796,Buscaglia,61110,O,,1.0,M,6.0,NJ,3.0,S,91.0,304.0,2804700.0
BAB90,Tele,United States of America,Psychiatric Solutions,166247.0,1-176-513-4041,BABIONE,70174,U,,5.0,,4.0,KY,5.0,,75.0,795.0,3283558.0
Bur91,Ophelia,United States of America,Danaher,391165.0,1-072-244-6337,Burkard,90324,O,APT. 373,3.0,M,2.0,GA,1.0,S,85.0,830.0,450524.0
Kin92,lorine,United States of America,Clorox,165854.0,1-924-669-9328,Kinsella,s7d 1n1,R,,3.0,,3.0,NJ,5.0,M,76.0,709.0,
POM93,Viole,United States of America,Boyd Gaming,326181.0,1-598-488-3541,POMMAINVILLE,93829,O,,1.0,,8.0,SC,2.0,S,68.0,493.0,
BOA94,Nani,United States of America,Eaton,173387.0,1-295-539-3868,BOATWRIGHT,89116,O,,,M,,TN,3.0,M,95.0,680.0,633760.0
Ron95,cherey,United States of America,Dynegy,301127.0,1-554-020-0267,Ronald,94315,R,,5.0,,,WY,1.0,M,15.0,800.0,3634954.0
wei96,Redgie,United States of America,AmeriCredit,487230.0,1-793-621-4566,weihs,T5b 1u9,R,,5.0,,4.0,Ontario,1.0,M,17.0,614.0,799268.0
Hel97,Yousef,Canada,SLM,425747.0,1-787-267-4261,Helpb,T6b 1a5,R,,0.0,M,6.0,DC,4.0,,94.0,763.0,39093.0
mog98,Damaris,United States of America,NV Energy,401946.0,1-668-247-1597,moghe,60699,O,,4.0,m,3.0,Alberta,4.0,S,70.0,561.0,2705353.0
boz99,Ilyssa,United States of America,Landstar System,425422.0,1-901-346-8890,bozicevich,V6p 1s8,O,,2.0,,4.0,ME,1.0,S,29.0,569.0,3565153.0
Zah100,Moselle,United States of America,Pacific Life,208890.0,1-451-273-3803,Zaharychuk,v6i 1p1,O,,1.0,,5.0,MA,4.0,M,52.0,634.0,2832204.0
And101,Dulsea,United States of America,Textron,67880.0,1-129-499-9136,Andric,79423,O,,3.0,F,10.0,NV,5.0,U,51.0,488.0,2194345.0
Bam102,Lyndsie,Canada,Pfizer,133412.0,1-899-319-0772,Bamfo,H5j 1o6,O,,3.0,,5.0,WA,2.0,W,24.0,788.0,3737140.0
fro103,KESLEY,United States of America,Cigna,144829.0,1-053-396-0441,frondozo,93761,O,,4.0,,8.0,WY,3.0,D,98.0,333.0,464753.0
Car104,LAUREL,United States of America,Ameren,,1-239-665-9540,Caron,76150,U,,1.0,,,NJ,1.0,M,59.0,601.0,596696.0
muc105,Steen,Canada,Consolidated Edison,143682.0,1-605-888-3403,muchow,99717,O,,4.0,f,2.0,LA,3.0,U,49.0,595.0,1504753.0
gat106,noel,United States of America,Occidental Petroleum,350020.0,1-630-604-2543,gateau,60608,O,,1.0,,10.0,TX,0.0,U,1.0,433.0,3049281.0
Sch107,Tracey,United States of America,Sherwin-Williams,435103.0,1-851-862-7928,Schaefer,v6w 1u4,O,,,F,10.0,SC,0.0,U,79.0,403.0,247478.0
pom108,Sarajane,United States of America,Affiliated Computer Services,207768.0,1-065-415-5724,pomerleau,T5b 1t6,R,,5.0,,3.0,TX,1.0,,6.0,615.0,2750301.0
cuc109,Geoffrey,United States of America,Valassis Communications,407512.0,1-408-512-1007,cucuzzella,23298,O,,4.0,F,1.0,MN,0.0,M,70.0,735.0,721333.0
SUG110,loralyn,United States of America,,403366.0,1-083-902-4184,SUGARMAN,32803,O,,0.0,q,1.0,ID,3.0,S,23.0,668.0,669440.0
Pep111,andrei,Canada,Smithfield Foods,384095.0,1-568-403-7081,Pepe,64122,O,,5.0,,,MI,3.0,M,78.0,349.0,2473979.0
Cha112,javad,United States of America,,288969.0,1-824-389-0618,Chandrashekar,T6b 1h2,,SUITE 7,,f,,OK,4.0,S,79.0,654.0,3545170.0
SEI113,Karna,United States of America,TD Ameritrade,233665.0,1-174-210-2058,SEIFERS,22222,O,Apt. 971,3.0,m,6.0,UT,2.0,U,72.0,361.0,1494871.0
GAR114,Jocelyn,Canada,Comerica,147236.0,1-425-503-7952,GARTLEY,T6a 1d2,U,,0.0,F,1.0,PA,4.0,S,31.0,427.0,436164.0
Tou115,Elvera,United States of America,Steel Dynamics,452557.0,1-012-389-9089,Touchette,v5d 1n9,O,,3.0,M,1.0,New Brunswick,0.0,W,86.0,322.0,1069481.0
Kur116,Nessy,United States of America,Coca-Cola Enterprises,179305.0,1-909-472-6704,Kurdziel,23321,R,,0.0,M,9.0,UT,2.0,S,,792.0,
Her117,lona,Canada,News Corp.,205817.0,1-622-167-5411,Herod,90505,O,,0.0,,2.0,VA,3.0,U,87.0,478.0,2957261.0
MCV118,RHEA,United States of America,,262711.0,1-164-511-9338,MCVICAR,19066,O,,5.0,,1.0,NH,,M,92.0,477.0,228459.0
LAB119,Josefa,Canada,Stater Bros. Holdings,84810.0,1-804-532-9163,LABFIVE,v6s 1r3,O,,5.0,F,6.0,VT,1.0,M,4.0,449.0,67267.0
but120,alikee,United States of America,BorgWarner,96441.0,1-197-370-0297,butta,78769,O,,4.0,,2.0,FL,2.0,U,8.0,466.0,1087978.0
Pro121,dolorita,United States of America,CB Richard Ellis Group,462762.0,1-337-042-5687,Projects,53769,O,,5.0,m,2.0,NC,0.0,M,97.0,483.0,3885967.0
Irc122,Marilyn,United States of America,Zimmer Holdings,141890.0,1-056-138-5321,Irc,H7E 1U6,O,,4.0,,4.0,VA,5.0,D,,588.0,3271101.0
Ziv123,robertson,Canada,Mohawk Industries,156610.0,1-776-191-2031,Zivkovic,e7o 1k1,O,,5.0,,2.0,DC,5.0,,40.0,313.0,
sim124,Ilsa,United States of America,Berkshire Hathaway,164752.0,1-280-696-2706,simser,90374,R,,4.0,,1.0,NC,1.0,U,95.0,647.0,1999133.0
kei125,Pen,United States of America,Saks,278949.0,1-857-581-6346,keifer,63169,O,,5.0,,2.0,MS,1.0,S,92.0,430.0,1100786.0
arv126,AUBRETTE,United States of America,Gardner Denver,,,arvin,16515,O,,5.0,f,8.0,SC,0.0,W,67.0,467.0,563992.0
Pra127,Cole,United States of America,Hasbro,463736.0,1-716-343-0884,Praeuner,85309,O,,2.0,F,7.0,KS,3.0,M,24.0,399.0,962397.0
lue128,liva,United States of America,CBS,,1-101-776-2496,lue,92158,O,,3.0,m,5.0,VT,2.0,M,26.0,654.0,1064169.0
Prz129,Ayaz,United States of America,Synnex,86667.0,1-769-028-0589,Przybycien,33152,O,,0.0,f,3.0,IL,2.0,S,62.0,378.0,2100059.0
pen130,YETTY,United States of America,Belden,193470.0,1-005-833-8970,penn,83729,O,,1.0,f,10.0,FL,5.0,W,37.0,338.0,99025.0
Gua131,Mary-michelle,United States of America,Broadcom,406379.0,1-884-215-4243,Guay,B8b 1z6,R,,0.0,,10.0,MI,5.0,S,71.0,695.0,3865481.0
bre132,agretha,Canada,Reynolds American,480595.0,,brennand,53717,U,,3.0,F,7.0,Newfoundland,1.0,M,29.0,614.0,804544.0
Sav133,LOTTY,United States of America,Wells Fargo,181718.0,1-725-177-7815,Savanh,t5c 1w7,O,,5.0,f,7.0,ME,4.0,S,89.0,307.0,3143356.0
ABB134,Kassey,United States of America,Retail Ventures,468310.0,1-277-496-5396,ABBATANTUONO,37245,O,,3.0,,2.0,AL,0.0,M,11.0,331.0,
OP135,Adria,United States of America,AT&T,354987.0,1-756-463-2201,OP,94401,O,,0.0,M,2.0,IN,2.0,S,20.0,638.0,2311953.0
Mer136,audivox,Canada,Wynn Resorts,284539.0,1-261-338-7463,Mersinger,B8a 1y3,O,,5.0,,3.0,NH,3.0,W,75.0,703.0,3120608.0
rut137,SUE,United States of America,Eastman Kodak,213725.0,1-811-086-4675,rutt,t6b 1k2,O,,5.0,F,7.0,DC,0.0,S,95.0,302.0,2058270.0
bem138,Lorenza,United States of America,Aramark,74195.0,1-338-771-1185,bemis,85306,O,,3.0,,,DC,2.0,U,0.0,522.0,1511983.0
Pen139,Enzo,United States of America,ENSCO International,169295.0,1-554-231-5318,Pennington,V6R 1R7,O,,1.0,,,MD,5.0,M,73.0,,439080.0
tor140,claudina,United States of America,Auto-Owners Insurance,307832.0,1-733-886-5227,torok,68513,R,,0.0,M,5.0,Prince Edward Island,1.0,W,39.0,833.0,921255.0
law141,Otha,United States of America,Bemis,20397.0,1-267-357-1943,lawlis,v6n 1v9,O,,1.0,m,2.0,MD,1.0,U,76.0,,3810365.0
Bee142,Rodie,United States of America,Securian Financial Group,463094.0,1-602-756-7919,Beebe,83702,O,Suite 397,2.0,m,6.0,New Brunswick,2.0,U,5.0,664.0,2641938.0
sch143,DULCE,United States of America,Ford Motor,331900.0,1-793-864-7010,schlange,80125,O,,1.0,m,7.0,HI,4.0,U,65.0,789.0,3857323.0
Wit144,Win,United States of America,ConAgra Foods,8421.0,1-637-020-2921,Witchlow,M5G 1Y7,U,,0.0,,0.0,ND,5.0,S,94.0,803.0,1636212.0
MER145,Roselin,United States of America,Charter Communications,35780.0,1-428-797-6325,MEREDITH,80213,,,4.0,F,3.0,Nova Scotia,4.0,M,95.0,720.0,2999082.0
bia146,Malanie,United States of America,Calpine,139897.0,1-011-549-5618,bialkenius,60737,R,,0.0,m,4.0,ME,1.0,M,28.0,839.0,2280820.0
Swi147,TARYN,United States of America,Crane,414119.0,1-993-255-5481,Swiat,90510,O,SUITE 464,1.0,m,0.0,Alberta,4.0,D,76.0,621.0,1050866.0
bul148,MALENA,United States of America,Textron,234035.0,1-487-749-4448,bullinger,92882,O,,4.0,,3.0,VT,5.0,D,81.0,628.0,
TYR149,Dorie,Canada,Idearc,144405.0,1-192-352-2184,TYRRELL,98121,O,,5.0,F,6.0,DE,3.0,W,38.0,813.0,603001.0
Fyf150,Liese,United States of America,Cabela's,55441.0,1-293-442-4224,Fyfe,H2e 1x9,R,,3.0,,3.0,MA,5.0,W,25.0,367.0,3368239.0
Sic151,tele,United States of America,EOG Resources,392869.0,1-078-502-6700,Sicard,23503,O,,2.0,,10.0,CA,4.0,D,0.0,807.0,1042629.0
CAS152,astra,United States of America,,402416.0,1-430-909-3001,CASTEN,40208,O,,4.0,F,8.0,Manitoba,3.0,U,61.0,501.0,1948746.0
Cho153,marnia,United States of America,Burlington Coat Factory,89984.0,1-392-455-0895,Choy,75201,O,,2.0,,10.0,TN,0.0,U,3.0,490.0,3113862.0
CHA154,AMY,United States of America,Southwest Airlines,395773.0,1-273-921-9787,CHACKO,93852,O,,3.0,,3.0,FL,2.0,W,77.0,321.0,2777290.0
bei155,HAMILTON,United States of America,RPM International,126662.0,1-012-993-4538,beil,32312,R,,0.0,f,6.0,CA,1.0,U,8.0,,2210073.0
Ele156,Kuldip,United States of America,Amazon.com,132008.0,1-890-859-4211,Eleftheriou,90059,O,,1.0,m,7.0,CO,4.0,U,34.0,446.0,1999684.0
o'g157,krystalle,United States of America,Neiman Marcus,417218.0,1-080-032-3031,o'grady,77006,O,,5.0,F,2.0,Saskatchewan,5.0,M,15.0,428.0,2119678.0
Kat158,Stella,United States of America,Goldman Sachs Group,360063.0,1-561-620-7173,Katchmar,23224,O,,0.0,,5.0,UT,0.0,S,66.0,423.0,169808.0
Lui159,Marie-josee,United States of America,Boeing,100516.0,1-017-439-0362,Luin,10055,O,,4.0,,6.0,ME,5.0,U,55.0,499.0,1072732.0
Kla160,Nashib,United States of America,United Refining,16814.0,1-248-539-6621,Klavkalns,35830,O,,1.0,f,7.0,NH,1.0,S,8.0,342.0,2261442.0
Bru161,Annette,United States of America,D.R. Horton,,1-611-789-5569,Brunsting,v6m 1s9,U,,3.0,,1.0,VA,1.0,M,7.0,632.0,2234368.0
Apt162,LENA,United States of America,Jarden,315962.0,1-023-151-8130,Apter,22304,O,,1.0,,6.0,TX,3.0,M,97.0,525.0,575288.0
sch163,Christian,United States of America,Systemax,299268.0,1-005-574-3523,schuette,06101,R,,1.0,f,9.0,Saskatchewan,5.0,M,95.0,371.0,1102479.0
Lan164,Morrie,United States of America,Marriott International,301490.0,1-550-487-1571,Lanava,78756,O,,3.0,,4.0,NH,1.0,U,92.0,699.0,2995388.0
Fus165,LYMAN,United States of America,Expeditors International,36052.0,1-280-494-1415,Fusca,93003,O,,2.0,F,8.0,VA,3.0,M,17.0,435.0,1147193.0
Nev166,REUBEN,United States of America,Great Plains Energy,437483.0,1-803-438-4141,Nevardauskis,T5D 1P2,U,,4.0,F,2.0,IA,1.0,U,81.0,512.0,1136540.0
SHA167,Hermon,Canada,Danaher,152971.0,1-566-299-2351,SHACKLEFORD,10108,O,,,f,6.0,NC,5.0,M,13.0,552.0,1677669.0
Sau168,Paqs,Canada,,449495.0,1-586-363-4189,Sauck,t5c 1l3,O,,2.0,,8.0,NH,0.0,M,78.0,,2160706.0
fri169,GAETAN,United States of America,Watson Wyatt Worldwide,349827.0,1-505-124-9029,frischknecht,M5B 1Z8,O,,1.0,,5.0,AL,4.0,M,78.0,687.0,2525665.0
