LastName,PostalCode,Gender,NetWorth,NumberCreditCards,NumberCars,Phone,CreditRating,AddressLine1,MiddleInitial,Country,OwnOrRentFlag,State,Income,City,MaritalStatus,Age,Employer,AddressLine2,AgencyID,NumberChildren,FirstName
conrad,01852,,1161790.0,2.0,2.0,1-615-241-0440,359.0,20340 LOMBARD CRESCENT,,United States of America,O,UT,221481.0,Colorado Springs,M,0.0,Cablevision Systems,,con36,3.0,HOR-LAM
onsiteteam,78230,M,2050587.0,2.0,1.0,1-995-449-5200,401.0,22074 dexter upper,,United States of America,R,PA,41836.0,Washington,S,28.0,Barnes & Noble,,ons37,5.0,Vania
Summerlin,93770,M,3579198.0,0.0,1.0,1-295-673-4452,609.0,1540 MURIE RUE,,Canada,O,OK,72389.0,Lowell,U,65.0,EMC,,Sum38,1.0,Niel
grooms,m4l 1n4,,889494.0,2.0,3.0,1-914-675-2986,630.0,7075 glen loch drive,F,United States of America,O,WY,66486.0,Frederick,S,20.0,Fluor,,gro39,0.0,ziad
dilkie,22335,,2205682.0,9.0,3.0,,671.0,11237 balmoral way,I,United States of America,O,RI,200185.0,Mesa,M,55.0,Dollar General,Apt. 382,dil40,1.0,Claude
DOLSON,V6C 1T4,,1140117.0,10.0,0.0,1-825-739-0336,715.0,8316 GARDEN BROOK NORTH,,United States of America,O,HI,289215.0,Lakewood,U,76.0,Lear,,DOL41,2.0,AVTAR
Posthumus,M6t 1h3,,1421319.0,9.0,4.0,1-956-713-3802,707.0,2240 clifton lower,,United States of America,O,VA,322484.0,Cleveland,M,1.0,J.P. Morgan Chase & Co.,,Pos42,1.0,Donny
Machika,95263,,3525204.0,0.0,4.0,1-814-932-1579,329.0,20907 NOTINGHAM LOWER,,United States of America,O,OK,83458.0,Grand Rapids,M,3.0,Affinia Group Intermediate,,Mac43,2.0,Cocos
chenoweth,v5b 1p5,,468976.0,8.0,0.0,1-135-443-7282,601.0,601 carroll lower,,United States of America,R,Prince Edward Island,,Peoria,D,100.0,,,che44,3.0,ruud
holbrooks,32318,,1685443.0,2.0,5.0,1-720-975-0667,623.0,18267 state drive,,United States of America,O,SD,492407.0,Inglewood,W,81.0,Goldman Sachs Group,,hol45,1.0,Belvia
pfieffer,93872,f,337564.0,2.0,4.0,1-871-598-3505,376.0,9270 LEAF SOUTH,,United States of America,O,OH,346630.0,Akron,S,76.0,E*Trade Financial,,pfi46,4.0,ATHAR
elkington,92824,,84777.0,0.0,1.0,1-607-222-4809,560.0,18582 PERIMETER BOULEVARD,Y,Canada,O,MA,9572.0,Charlottetown,W,51.0,Pfizer,,elk47,3.0,Cherey
Labenek,e4a 1r2,F,3146477.0,4.0,1.0,1-965-046-0642,693.0,9612 park stream upper,,United States of America,O,MD,265369.0,Bellevue,,,Safeway,,Lab48,5.0,RAZ
laferriere,H7G 1V4,,495277.0,0.0,1.0,1-155-441-3579,346.0,2803 clearwater north,Y,United States of America,U,Saskatchewan,104172.0,Dover,S,58.0,Simon Property Group,,laf49,2.0,kishore
Norment,85039,,746904.0,0.0,0.0,,342.0,11103 BISSONNET WEST,I,United States of America,O,WA,65550.0,Fullerton,M,52.0,Trinity Industries,,Nor50,3.0,Nelleke
hagar,v6m 1q3,,1219620.0,8.0,2.0,1-544-132-7237,563.0,4652 outervale lane,,Canada,R,OH,,Denver,M,91.0,Solutia,,hag51,0.0,sibby
Betcher,X7j 1r1,m,1718910.0,4.0,2.0,1-821-089-2089,391.0,341 dunbar west,,United States of America,O,WY,,Dallas,M,17.0,,,Bet52,3.0,ericha
Van der,B8b 1z5,m,,8.0,4.0,1-135-391-9787,381.0,16176 vernon drive,,United States of America,O,NJ,66244.0,San Jose,S,6.0,A.O. Smith,,Van53,4.0,Janson
O'LEARY,t5d 1v4,F,2636424.0,9.0,0.0,1-776-182-6215,539.0,23131 clint way,,United States of America,U,ND,426954.0,Bellevue,S,89.0,AptarGroup,,O'L54,3.0,Dorotea
anderson,V6t 1r2,m,1326305.0,0.0,5.0,1-079-780-7761,497.0,11640 baltic upper,,United States of America,O,NC,126891.0,San Buenaventura,M,99.0,Coca-Cola,,and55,4.0,Denice
starks,91177,,2241997.0,,4.0,1-504-346-4393,661.0,20796 dolores drive,,Canada,O,WV,454196.0,St. Louis,M,77.0,Kimberly-Clark,,sta56,2.0,Myron
CHASSE,T5c 1t1,,1542891.0,0.0,5.0,1-985-538-4351,558.0,14359 COMMERCE WEST,,United States of America,R,GA,163940.0,Pueblo,S,,Visteon,Apt. 275,CHA57,3.0,Barby
ASING,35862,R,797918.0,,,1-254-097-9398,534.0,21448 hampton boulevard,,Canada,O,Ontario,365213.0,Regina,W,90.0,TECO Energy,,ASI58,1.0,Ariella
askins,96820,f,347654.0,6.0,0.0,1-545-924-9552,373.0,7637 pershing way,,United States of America,U,MA,428739.0,Saskatoon,M,82.0,Bemis,,ask59,0.0,ADEY
Kikuta,75238,,2456397.0,8.0,4.0,1-984-233-8818,382.0,11529 arcana boulevard,K,United States of America,O,CA,142444.0,Jackson,M,,Wyeth,,Kik60,0.0,GAYEL
Chane,85769,F,1284229.0,10.0,3.0,1-528-691-1642,475.0,2700 windwood north,,United States of America,O,SD,416168.0,St. Petersburg,S,15.0,United Technologies,,Cha61,3.0,Man
KILLEN,H5i 1o9,m,618787.0,3.0,2.0,,539.0,22279 gramercy road,U,United States of America,O,Saskatchewan,291420.0,Scottsdale,D,,Clorox,,KIL62,0.0,Klara
kinley,90849,f,1171606.0,6.0,4.0,1-171-807-8213,711.0,9828 west east,,United States of America,O,RI,413501.0,Charlotte,M,96.0,Discovery Communications,,kin63,5.0,Abdalla
MALAHER,43644,,3983261.0,1.0,4.0,1-056-241-7009,606.0,5935 mcafee park,,United States of America,O,NC,,Waterbury,M,38.0,Williams-Sonoma,,MAL64,,bal
Odum,99213,,2328568.0,0.0,3.0,1-389-414-0570,494.0,12460 CLAYTON STREET,J,United States of America,O,SD,419143.0,Chesapeake,W,10.0,Manitowoc,,Odu65,3.0,Romy
DI NINNO,72226,,2078600.0,3.0,1.0,1-583-542-1656,309.0,275 3rd drive,,United States of America,O,IL,155057.0,Hialeah,M,72.0,Henry Schein,,DI 66,5.0,KORAL
STUBBLEFIELD,V6Z 1Q9,,2986155.0,3.0,2.0,1-269-712-0672,630.0,6907 FERNCLIFF CRESCENT,K,United States of America,O,OR,313859.0,Charleston,M,97.0,Trinity Industries,,STU67,5.0,YUKIHIKO
HAMBALI,20082,,1864039.0,10.0,4.0,1-670-102-0463,330.0,885 crosby lane,,United States of America,O,Ontario,265907.0,Salem,S,48.0,Pepsi Bottling,,HAM68,1.0,Khanh
LIBRARIAN,35827,m,1293721.0,9.0,,1-699-726-3895,710.0,2344 kalani west,,Canada,O,FL,283481.0,Sacramento,S,97.0,UGI,,LIB69,0.0,Darnell
ohsone,99692,M,3850114.0,7.0,4.0,1-640-666-2876,475.0,22870 LA CIENEGA STREET,,United States of America,R,NM,200635.0,Santa Clarita,M,73.0,Greif,,ohs70,0.0,feridoun
HUMMEL,V6c 1q5,,1618743.0,3.0,0.0,1-540-639-1311,596.0,8478 green avenue,O,United States of America,O,NE,434519.0,Sherbrooke,U,71.0,Equifax,APT. 143,HUM71,1.0,Magdy
BRADD,80158,,3383487.0,9.0,5.0,1-285-874-8492,670.0,23639 purdue rue,,United States of America,O,MI,392315.0,Colorado Springs,W,93.0,,,BRA72,1.0,jiri
Boarder,t6d 1b6,,2981876.0,,5.0,1-121-904-0040,722.0,19202 ansley park,X,United States of America,O,New Brunswick,493829.0,Berkeley,U,53.0,Freescale Semiconductor,,Boa73,3.0,AILA
Mcnally,33120,,2109339.0,7.0,3.0,1-017-842-3201,587.0,11319 devonshire rue,,United States of America,O,NJ,97489.0,San Buenaventura,U,32.0,Aleris International,,Mcn74,2.0,Vincenzo
MARKOVICH,99742,F,791803.0,4.0,4.0,1-215-859-3206,609.0,23665 deerwood park,,United States of America,O,ND,,New Haven,S,1.0,,,MAR75,3.0,Minnnie
Willekes,V6N 1T1,f,3523678.0,7.0,0.0,1-764-520-7470,401.0,4855 union north,,United States of America,O,Saskatchewan,383046.0,Shreveport,S,39.0,World Fuel Services,,Wil76,1.0,alfonzo
Deacetis,44104,m,1681902.0,0.0,4.0,1-414-130-0162,335.0,9466 SHADOWBRIAR WEST,S,United States of America,,KS,1190.0,Lansing,M,77.0,R.R. Donnelley & Sons,,Dea77,0.0,Swandi
Houk,14605,,3851455.0,7.0,5.0,1-970-240-9990,569.0,3504 regency avenue,,United States of America,O,SD,85733.0,Pembroke Pines,U,18.0,Brinker International,,Hou78,5.0,Anya
Goyette,80076,,2339382.0,9.0,0.0,1-408-684-6459,,7281 northland lower,,Canada,R,FL,387890.0,Palmdale,M,70.0,Temple-Inland,,Goy79,2.0,Enrika
Mok-fung,V6I 1V6,f,,7.0,2.0,1-330-353-5908,679.0,12481 hayden lower,Z,United States of America,O,Saskatchewan,16808.0,Savannah,S,26.0,Psychiatric Solutions,,Mok80,0.0,SONJA
Rundle,97307,,2065016.0,10.0,,1-766-726-2675,356.0,2328 gracie avenue,I,United States of America,,FL,304589.0,Amarillo,M,,Nash-Finch,,Run81,4.0,Liem
BELLEY,46237,o,2454049.0,9.0,2.0,1-938-425-7509,308.0,4737 campbell street,,United States of America,R,UT,48506.0,Anchorage,S,58.0,AMR,,BEL82,5.0,COLLETTE
BAER,V6B 1S6,,2423395.0,4.0,0.0,1-527-308-8874,412.0,2401 stratmore lower,Y,United States of America,O,WY,,Louisville,M,43.0,Spartan Stores,,BAE83,4.0,SIAMACK
MAULDIN,H2d 1x1,f,1342045.0,4.0,2.0,1-810-590-0635,618.0,21477 JUNIPER CRESCENT,,United States of America,O,NH,358862.0,Hilo,D,65.0,Cigna,,MAU84,3.0,Toshihiro
Koohgoli,95108,,861756.0,5.0,5.0,1-274-548-2512,429.0,19214 YAUPON BOULEVARD,,United States of America,O,AR,477614.0,Sudbury,S,24.0,General Cable,,Koo85,3.0,Casey
Lauriston,80050,,1215349.0,3.0,3.0,1-649-754-4601,819.0,7785 rusk boulevard,,United States of America,O,CT,175414.0,Orlando,S,79.0,Dun & Bradstreet,,Lau86,1.0,Daryn
Mangum,90122,F,3981554.0,7.0,0.0,1-905-932-1785,552.0,18002 cantrell upper,L,Canada,O,VT,427598.0,Missoula,M,48.0,Casey's General Stores,,Man87,1.0,Adrianna
PIERCY,43614,,3865937.0,9.0,0.0,1-031-004-7697,587.0,23341 brookside upper,,United States of America,O,Manitoba,368207.0,Abilene,S,69.0,Jack in the Box,,PIE88,4.0,Cortney
Buscaglia,61110,M,2804700.0,6.0,3.0,1-994-812-4796,304.0,20494 ROSS WEST,,United States of America,O,NJ,449944.0,Saskatoon,S,91.0,Assurant,,Bus89,1.0,Duane
BABIONE,70174,,3283558.0,4.0,5.0,1-176-513-4041,795.0,17552 SAVANNAH NORTH,,United States of America,U,KY,166247.0,Irvine,,75.0,Psychiatric Solutions,,BAB90,5.0,Tele
Burkard,90324,M,450524.0,2.0,1.0,1-072-244-6337,830.0,4462 pace crescent,,United States of America,O,GA,391165.0,Reno,S,85.0,Danaher,APT. 373,Bur91,3.0,Ophelia
Kinsella,s7d 1n1,,,3.0,5.0,1-924-669-9328,709.0,7161 tallowood upper,,United States of America,R,NJ,165854.0,Sacramento,M,76.0,Clorox,,Kin92,3.0,lorine
POMMAINVILLE,93829,,,8.0,2.0,1-598-488-3541,493.0,3489 silver sage west,,United States of America,O,SC,326181.0,Topeka,S,68.0,Boyd Gaming,,POM93,1.0,Viole
BOATWRIGHT,89116,M,633760.0,,3.0,1-295-539-3868,680.0,12481 hayden lower,,United States of America,O,TN,173387.0,Rancho Cucamonga,M,95.0,Eaton,,BOA94,,Nani
Ronald,94315,,3634954.0,,1.0,1-554-020-0267,800.0,13210 3RD DRIVE,R,United States of America,R,WY,301127.0,Hilo,M,15.0,Dynegy,,Ron95,5.0,cherey
weihs,T5b 1u9,,799268.0,4.0,1.0,1-793-621-4566,614.0,8899 starling lane,A,United States of America,R,Ontario,487230.0,Saint John,M,17.0,AmeriCredit,,wei96,5.0,Redgie
Helpb,T6b 1a5,M,39093.0,6.0,4.0,1-787-267-4261,763.0,11480 fennel south,P,Canada,R,DC,425747.0,Torrance,,94.0,SLM,,Hel97,0.0,Yousef
moghe,60699,m,2705353.0,3.0,4.0,1-668-247-1597,561.0,7266 cherry upper,,United States of America,O,Alberta,401946.0,Santa Clara,S,70.0,NV Energy,,mog98,4.0,Damaris
bozicevich,V6p 1s8,,3565153.0,4.0,1.0,1-901-346-8890,569.0,10678 ENGLEWOOD WEST,,United States of America,O,ME,425422.0,Torrance,S,29.0,Landstar System,,boz99,2.0,Ilyssa
Zaharychuk,v6i 1p1,,2832204.0,5.0,4.0,1-451-273-3803,634.0,21181 2ND RUE,R,United States of America,O,MA,208890.0,Stockton,M,52.0,Pacific Life,,Zah100,1.0,Moselle
Andric,79423,F,2194345.0,10.0,5.0,1-129-499-9136,488.0,22963 hanover road,,United States of America,O,NV,67880.0,Paterson,U,51.0,Textron,,And101,3.0,Dulsea
Bamfo,H5j 1o6,,3737140.0,5.0,2.0,1-899-319-0772,788.0,8268 cliffbrook boulevard,L,Canada,O,WA,133412.0,Mesa,W,24.0,Pfizer,,Bam102,3.0,Lyndsie
frondozo,93761,,464753.0,8.0,3.0,1-053-396-0441,333.0,5118 montview court,,United States of America,O,WY,144829.0,Anchorage,D,98.0,Cigna,,fro103,4.0,KESLEY
Caron,76150,,596696.0,,1.0,1-239-665-9540,601.0,17442 tallowood upper,J,United States of America,U,NJ,,Miami,M,59.0,Ameren,,Car104,1.0,LAUREL
muchow,99717,f,1504753.0,2.0,3.0,1-605-888-3403,595.0,4038 WEDGEWOOD STREET,V,Canada,O,LA,143682.0,Great Falls,U,49.0,Consolidated Edison,,muc105,4.0,Steen
gateau,60608,,3049281.0,10.0,0.0,1-630-604-2543,433.0,20334 anaconda avenue,,United States of America,O,TX,350020.0,Erie,U,1.0,Occidental Petroleum,,gat106,1.0,noel
Schaefer,v6w 1u4,F,247478.0,10.0,0.0,1-851-862-7928,403.0,5385 young west,M,United States of America,O,SC,435103.0,Hollywood,U,79.0,Sherwin-Williams,,Sch107,,Tracey
pomerleau,T5b 1t6,,2750301.0,3.0,1.0,1-065-415-5724,615.0,2747 SINCLAIR LANE,,United States of America,R,TX,207768.0,Tulsa,,6.0,Affiliated Computer Services,,pom108,5.0,Sarajane
cucuzzella,23298,F,721333.0,1.0,0.0,1-408-512-1007,735.0,8622 BROWNWAY PARK,K,United States of America,O,MN,407512.0,Tucson,M,70.0,Valassis Communications,,cuc109,4.0,Geoffrey
SUGARMAN,32803,q,669440.0,1.0,3.0,1-083-902-4184,668.0,18048 GREEN NORTH,Z,United States of America,O,ID,403366.0,Anchorage,S,23.0,,,SUG110,0.0,loralyn
Pepe,64122,,2473979.0,,3.0,1-568-403-7081,349.0,18994 country boulevard,,Canada,O,MI,384095.0,Sandy,M,78.0,Smithfield Foods,,Pep111,5.0,andrei
Chandrashekar,T6b 1h2,f,3545170.0,,4.0,1-824-389-0618,654.0,16063 ashland road,,United States of America,,OK,288969.0,Boston,S,79.0,,SUITE 7,Cha112,,javad
SEIFERS,22222,m,1494871.0,6.0,2.0,1-174-210-2058,361.0,19309 mcfarlin north,U,United States of America,O,UT,233665.0,Vancouver,U,72.0,TD Ameritrade,Apt. 971,SEI113,3.0,Karna
GARTLEY,T6a 1d2,F,436164.0,1.0,4.0,1-425-503-7952,427.0,2454 cliffbrook west,S,Canada,U,PA,147236.0,Akron,S,31.0,Comerica,,GAR114,0.0,Jocelyn
Touchette,v5d 1n9,M,1069481.0,1.0,0.0,1-012-389-9089,322.0,15865 strand west,,United States of America,O,New Brunswick,452557.0,Lancaster,W,86.0,Steel Dynamics,,Tou115,3.0,Elvera
Kurdziel,23321,M,,9.0,2.0,1-909-472-6704,792.0,13776 east boulevard,V,United States of America,R,UT,179305.0,Concord,S,,Coca-Cola Enterprises,,Kur116,0.0,Nessy
Herod,90505,,2957261.0,2.0,3.0,1-622-167-5411,478.0,10570 WEIZMANN LOWER,,Canada,O,VA,205817.0,Chesapeake,U,87.0,News Corp.,,Her117,0.0,lona
MCVICAR,19066,,228459.0,1.0,,1-164-511-9338,477.0,15278 walnut hill road,P,United States of America,O,NH,262711.0,Flint,M,92.0,,,MCV118,5.0,RHEA
LABFIVE,v6s 1r3,F,67267.0,6.0,1.0,1-804-532-9163,449.0,23007 WAKEFOREST WAY,,Canada,O,VT,84810.0,Chattanooga,M,4.0,Stater Bros. Holdings,,LAB119,5.0,Josefa
butta,78769,,1087978.0,2.0,2.0,1-197-370-0297,466.0,9088 rivas way,,United States of America,O,FL,96441.0,Billings,U,8.0,BorgWarner,,but120,4.0,alikee
Projects,53769,m,3885967.0,2.0,0.0,1-337-042-5687,483.0,18798 ullrich road,,United States of America,O,NC,462762.0,Scottsdale,M,97.0,CB Richard Ellis Group,,Pro121,5.0,dolorita
Irc,H7E 1U6,,3271101.0,4.0,5.0,1-056-138-5321,588.0,18517 HULEN LOWER,,United States of America,O,VA,141890.0,Oshawa,D,,Zimmer Holdings,,Irc122,4.0,Marilyn
Zivkovic,e7o 1k1,,,2.0,5.0,1-776-191-2031,313.0,11474 dodd lane,G,Canada,O,DC,156610.0,Naperville,,40.0,Mohawk Industries,,Ziv123,5.0,robertson
simser,90374,,1999133.0,1.0,1.0,1-280-696-2706,647.0,9375 wood south,H,United States of America,R,NC,164752.0,Tampa,U,95.0,Berkshire Hathaway,,sim124,4.0,Ilsa
keifer,63169,,1100786.0,2.0,1.0,1-857-581-6346,430.0,20479 wise avenue,I,United States of America,O,MS,278949.0,Jackson,S,92.0,Saks,,kei125,5.0,Pen
arvin,16515,f,563992.0,8.0,0.0,,467.0,19918 ROGERS NORTH,P,United States of America,O,SC,,Hay River,W,67.0,Gardner Denver,,arv126,5.0,AUBRETTE
Praeuner,85309,F,962397.0,7.0,3.0,1-716-343-0884,399.0,9284 coffey lower,,United States of America,O,KS,463736.0,Irvine,M,24.0,Hasbro,,Pra127,2.0,Cole
lue,92158,m,1064169.0,5.0,2.0,1-101-776-2496,654.0,2929 north crescent,C,United States of America,O,VT,,Idaho Falls,M,26.0,CBS,,lue128,3.0,liva
Przybycien,33152,f,2100059.0,3.0,2.0,1-769-028-0589,378.0,15404 queen street,,United States of America,O,IL,86667.0,Moreno Valley,S,62.0,Synnex,,Prz129,0.0,Ayaz
penn,83729,f,99025.0,10.0,5.0,1-005-833-8970,338.0,1619 greenspoint road,J,United States of America,O,FL,193470.0,Ontario,W,37.0,Belden,,pen130,1.0,YETTY
Guay,B8b 1z6,,3865481.0,10.0,5.0,1-884-215-4243,695.0,21477 WARREN PARK,S,United States of America,R,MI,406379.0,Concord,S,71.0,Broadcom,,Gua131,0.0,Mary-michelle
brennand,53717,F,804544.0,7.0,1.0,,614.0,6503 ROBBINS STREET,,Canada,U,Newfoundland,480595.0,Phoenix,M,29.0,Reynolds American,,bre132,3.0,agretha
Savanh,t5c 1w7,f,3143356.0,7.0,4.0,1-725-177-7815,307.0,3958 GLEN LOCH BOULEVARD,X,United States of America,O,ME,181718.0,Coral Springs,S,89.0,Wells Fargo,,Sav133,5.0,LOTTY
ABBATANTUONO,37245,,,2.0,0.0,1-277-496-5396,331.0,13640 ethridge lower,Z,United States of America,O,AL,468310.0,Oxnard,M,11.0,Retail Ventures,,ABB134,3.0,Kassey
OP,94401,M,2311953.0,2.0,2.0,1-756-463-2201,638.0,3981 imperial lower,N,United States of America,O,IN,354987.0,Brownsville,S,20.0,AT&T,,OP135,0.0,Adria
Mersinger,B8a 1y3,,3120608.0,3.0,3.0,1-261-338-7463,703.0,13210 3rd drive,,Canada,O,NH,284539.0,Memphis,W,75.0,Wynn Resorts,,Mer136,5.0,audivox
rutt,t6b 1k2,F,2058270.0,7.0,0.0,1-811-086-4675,302.0,9297 THROCKMORTON SOUTH,,United States of America,O,DC,213725.0,Flint,S,95.0,Eastman Kodak,,rut137,5.0,SUE
bemis,85306,,1511983.0,,2.0,1-338-771-1185,522.0,8935 YOUNG UPPER,I,United States of America,O,DC,74195.0,Lafayette,U,0.0,Aramark,,bem138,3.0,Lorenza
Pennington,V6R 1R7,,439080.0,,5.0,1-554-231-5318,,3797 RUTGERS PARK,,United States of America,O,MD,169295.0,Greensboro,M,73.0,ENSCO International,,Pen139,1.0,Enzo
torok,68513,M,921255.0,5.0,1.0,1-733-886-5227,833.0,8285 tamarind crescent,Y,United States of America,R,Prince Edward Island,307832.0,Sterling Heights,W,39.0,Auto-Owners Insurance,,tor140,0.0,claudina
