gncd,frstnm,nmbrcrdtcrds,pstlcd,ntwrth,g,lstnm,ddrssln1,nmbrcrs,mddlntl,cntr,gndr,crdtrtng,wnrrntflg,ct,ncm,nmbrchldrn,mrtlstts,mplr
Jhc7517,dpqgvuaoijmkxsesvililpxcrwqe,1.0,,1217660.0,79.0,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,s,United States of America,F,845.0,O,Garden Grove,367555.0,1.0,S,Monsanto
dbq7518,IHUGYGSRDWILVOFBAKUR,7.0,Rxdsunq,1229655.0,36.0,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,4.0,l,United States of America,M,645.0,U,Tampa,106025.0,5.0,M,Newfield Exploration
Xch7519,aefotdcronamhkzsfpvifmobgchmsp,1.0,JXHVEEOU,1157831.0,21.0,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,,Canada,m,495.0,O,Fullerton,106690.0,2.0,W,Loews
oir7520,jdeyqkerjerjpht,8.0,XHJQCDPOO,,4.0,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,Z,Canada,m,371.0,O,Washington,29373.0,2.0,M,Apache
Fqb7521,Lwihnxoihqqrvjydsijd,1.0,rapkjpmvp,,72.0,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,2.0,O,United States of America,M,462.0,R,Norfolk,168189.0,3.0,S,Robert Half International
qex7522,nmnervucuk,7.0,Slskxm,3467922.0,1.0,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,,,United States of America,,375.0,U,Sydney,264756.0,,S,Viacom
Hpi7523,hgjkxxbf,10.0,FXHXLG,46859.0,98.0,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,1.0,,Canada,,516.0,U,Winnipeg,44480.0,2.0,S,Robert Half International
Fjd7524,Zangtryzlhmxo,,ovlziicdezok,2937668.0,35.0,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,1.0,,Canada,,703.0,R,Wilmington,87207.0,5.0,,CSX
Cgt7525,FFJGEQD,7.0,jsxcpvao,2388613.0,99.0,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,4.0,,United States of America,,734.0,O,El Monte,238434.0,2.0,W,Country Financial Services
Lwx7526,Pdcxrihnl,4.0,Ykerbceq,3116283.0,49.0,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,0.0,,United States of America,M,469.0,U,Sterling Heights,,2.0,M,Procter & Gamble
epy7527,Zckhcacwaelzutaodqalxyjrkh,2.0,VVMSNWEBT,2671950.0,72.0,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,3.0,,United States of America,,595.0,O,Pembroke Pines,391354.0,0.0,S,Ingles Markets
Aff7528,sqrosgqnpifxjx,1.0,bibueqwbejem,3899593.0,41.0,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,3.0,M,United States of America,m,410.0,O,Philadelphia,419165.0,0.0,U,Forest Laboratories
mfc7529,Erqzkkllazeobgthnmgsbtj,10.0,gehpynlk,2537332.0,54.0,mfcestd,,3.0,S,Canada,,475.0,O,Glendale,396509.0,2.0,W,Dentsply International
Slf7530,Lcziayaozecoqqluasolkmmcldm,2.0,Piwlxtg,733236.0,11.0,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,0.0,S,United States of America,,,R,El Monte,145161.0,2.0,,RadioShack
Cxu7531,Gcnczmuxviqaxtsdzmzhtro,3.0,Ujlshmosjkid,,0.0,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,2.0,,United States of America,,519.0,O,Warwick,263206.0,5.0,W,Century Aluminum
GZO7532,Rsoobsqytvjycob,5.0,cwburwnupuj,3397276.0,27.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,3.0,F,United States of America,,841.0,U,Milwaukee,190371.0,3.0,D,
DRW7533,Pjvadgt,6.0,CNEZMHTKIAEV,2444257.0,95.0,DRWTVTDSG,Llfaqkbemnoy,3.0,A,United States of America,,540.0,O,Phoenix,203968.0,1.0,U,FPL Group
set7534,GUBKOKITTSKVYM,10.0,kixvppuqtd,71520.0,35.0,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,1.0,N,United States of America,f,540.0,R,Anchorage,428323.0,3.0,U,Lockheed Martin
Pyo7535,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,6.0,jrhynxfi,1911091.0,96.0,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,4.0,,United States of America,,,O,Madison,159980.0,1.0,M,Sanmina-SCI
FSH7536,Kuteauo,6.0,dnhtjyu,988775.0,96.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,,Canada,M,424.0,O,Fontana,266852.0,0.0,W,Iron Mountain
Tdx7537,Hkfofpndygljbeo,2.0,YKOVOTYB,3919363.0,49.0,Tdxyljuxporjhdumcvfmv,,5.0,,United States of America,,623.0,R,Charlotte,206973.0,5.0,M,OfficeMax
Sbn7538,Kengxgsu,4.0,WNNMWJ,428918.0,,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,5.0,O,Canada,,792.0,O,Richmond,258221.0,1.0,S,AMR
Piq7539,Plywuoa,6.0,Oktkljv,58134.0,27.0,Piqizouhxiw,Hlotorcbtobuceb,4.0,C,United States of America,f,718.0,O,Santa Clarita,428508.0,4.0,S,Kohl's
IXD7540,zfcwsxpjzyqelkxg,6.0,,3703767.0,98.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,4.0,,,M,401.0,O,Yellow Knife,,0.0,M,Cigna
wsn7541,Yxvczhqjwgnhowiu,2.0,GXFLSISZUY,433859.0,,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,4.0,,United States of America,,557.0,R,Oxnard,58953.0,5.0,M,West
Jkp7542,Grkknjyfgbhtyrhxzeaoeoyirwfa,7.0,gzexcrngivl,3002044.0,56.0,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,A,United States of America,M,393.0,O,Huntington Beach,409682.0,5.0,W,Monsanto
CCF7543,Vfrdst,10.0,yzoikhwrd,1124168.0,94.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,2.0,,United States of America,M,557.0,,Durham,340191.0,4.0,M,Reliant Energy
ylj7544,Hqcswumjvwbemosmy,5.0,Gdbktega,2081541.0,98.0,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,4.0,,United States of America,,465.0,O,Naperville,238216.0,5.0,U,Idearc
ZBB7545,Ectbhkmbvwkwdbn,6.0,Kdcqzpvf,1897076.0,8.0,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,0.0,V,Canada,F,,O,Albuquerque,113171.0,1.0,M,Neiman Marcus
fqe7546,Bdbgqpllbnrmiirpct,10.0,Tbwgwtmgcu,235172.0,90.0,fqekemquvstw,Yewxbqpnfgh,5.0,,United States of America,m,485.0,,Newark,234797.0,,W,O'Reilly Automotive
Wpw7547,Ftszluaxcsoxdfbmdd,2.0,Mwmfs,639573.0,34.0,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,4.0,,United States of America,,303.0,,Miami,225322.0,2.0,M,Cliffs Natural Resources
vpz7548,Qrdnpjquwnixfocqhsrlkcxmelwijl,4.0,goelqgcts,2667082.0,25.0,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,1.0,,Canada,,846.0,O,London,192689.0,2.0,W,Health Management Associates
Yfz7549,Kkiolpmrgzmnjanqc,1.0,ucwygjzs,2598634.0,50.0,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,5.0,,Canada,,621.0,O,Worcester,348685.0,4.0,,Chevron
dou7550,unzegilpp,,fjlfqftwg,1074671.0,85.0,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,3.0,,United States of America,,331.0,O,Jacksonville,401229.0,4.0,D,Exide Technologies
FDJ7551,xetqkitwlh,9.0,Tocujgaiaq,2272997.0,60.0,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,5.0,,United States of America,M,401.0,R,Nashua,38597.0,4.0,M,Convergys
ufu7552,TWRRGULRYKYUWZYBQQFMIFFKVK,0.0,kurjmmgixxfd,702000.0,95.0,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,,United States of America,,644.0,R,Newport News,,2.0,S,Dominion Resources
bbg7553,Yqfljvgkfucafpjpamdtcppiipc,5.0,cnsavindoi,1289800.0,8.0,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,4.0,H,United States of America,m,769.0,R,Corona,161204.0,1.0,M,Sentry Insurance Group
Znk7554,mjeasoritwctufyojamzbeeoo,2.0,MQBSAUVQRPYE,1007390.0,31.0,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,3.0,v,,f,481.0,O,Lincoln,202650.0,4.0,M,Cintas
CGQ7555,Udxaujgiratgthwkvdibgvwfo,7.0,vadbnvz,124290.0,51.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,1.0,T,Canada,F,732.0,O,Toronto,,2.0,U,Medtronic
add7556,GHFUKZPOKMXWZF,2.0,Ljurvnigr,1820002.0,24.0,addxtssyhezwro,dnlleihfh,4.0,,United States of America,,802.0,O,Fayetteville,492433.0,4.0,M,Pride International
Anw7557,ybtkiifyhbgchnuctnhnqspk,5.0,BQDMQVFTNBRJ,2200347.0,78.0,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,2.0,J,Canada,,329.0,O,Charlotte,344858.0,4.0,M,A. Schulman
Hvt7558,Fhkymmgjsbmpduuffgavhfcxm,0.0,jkcul,3669569.0,56.0,Hvtanebvipbdd,Wsjaujjdexc,5.0,,United States of America,m,839.0,R,Tulsa,197290.0,0.0,W,Oneok
Yqj7559,DEZDTMSMWKALBRPALCFIME,,Nelny,2140537.0,50.0,Yqjaammjlhgpw,Ojberg,2.0,d,United States of America,,539.0,,Winston-Salem,283654.0,,U,Danaher
Ztn7560,phoxfeiqoldgmnojmzunmargkla,4.0,Qsggz,3258909.0,52.0,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,4.0,,United States of America,F,561.0,R,Thousand Oaks,317423.0,5.0,M,Del Monte Foods
bni7561,Upuabfflh,2.0,Drofa,1825422.0,14.0,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,4.0,,United States of America,F,814.0,O,Lubbock,399126.0,5.0,W,American Electric Power
swx7562,owagfolbfwjzeg,7.0,Ssovhtmt,1845263.0,29.0,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,5.0,,United States of America,,305.0,R,Winnipeg,398180.0,0.0,M,TJX
DSA7563,Qdmppehqxloc,4.0,Tnprhljfrlj,1463114.0,50.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,2.0,P,United States of America,f,457.0,O,Laredo,,4.0,S,Philip Morris International
BXZ7564,jqbetxkci,8.0,Bkxujhonjgjk,2354683.0,67.0,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,4.0,,United States of America,,349.0,O,Overland Park,485429.0,1.0,U,Cincinnati Financial
pcz7565,Wsmywgbvwspgdwhmdxsqjwqb,0.0,mrjrjhgnwcdu,436677.0,22.0,pczqycbwefse,KRYAIAJGKHBKXBLC,2.0,,United States of America,,590.0,O,Calgary,118018.0,0.0,M,Stryker
Zqa7566,ocgwi,0.0,Yusezkfgs,2383335.0,20.0,Zqaknviqngvemehvpzrcgkcvre,,5.0,,United States of America,m,533.0,O,Peoria,309693.0,4.0,U,Kansas City Southern
Htl7567,Pcotdnngmurhkcd,9.0,RKXTQAO,2574739.0,75.0,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,4.0,z,Canada,,686.0,O,Durham,90718.0,0.0,W,IDT
afw7568,bvcosqzcleknjzvkygbawlc,10.0,UBQSATXZO,1596838.0,60.0,afwafvxxdr,VBDCWYVK,2.0,L,United States of America,F,582.0,O,Pueblo,280645.0,0.0,U,Vornado Realty Trust
Wna7569,ECLENELTSXGTNWOP,0.0,BHRNWQLFVFA,591965.0,,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,,United States of America,,807.0,O,Las Cruces,231559.0,4.0,S,Dollar General
Mlh7570,Xdwexmrjat,3.0,Ktmzav,3071440.0,48.0,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,3.0,,United States of America,,819.0,O,Chula Vista,36898.0,5.0,S,Safeway
Gor7571,xjwnvwdryqpcehelwzfhkkiuus,5.0,Nfpchgfj,2683081.0,91.0,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,2.0,,United States of America,,311.0,R,San Diego,396786.0,0.0,M,Apache
ENX7572,RNBABCYAFMQPBOHXNUXMXNU,3.0,Wuywecohosfi,3850483.0,98.0,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,2.0,,United States of America,f,734.0,O,Chicago,344365.0,5.0,U,Lowe's
fgr7573,Eyrtrqkljywvbcice,1.0,tibxlojrqiha,1870617.0,51.0,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,4.0,,United States of America,,432.0,O,Worcester,1205.0,1.0,W,Lithia Motors
Ysh7574,Opybrukftspofebjmspkjsgtobzsp,3.0,ogmes,1249534.0,22.0,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,5.0,a,United States of America,m,394.0,O,Honolulu,276666.0,0.0,S,CH2M Hill
Mos7575,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,1.0,JUBKXDKP,3789880.0,57.0,Mosqjrkdycyygfsljqadgfqoldb,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,0.0,I,United States of America,,658.0,O,Albuquerque,497953.0,0.0,U,Tellabs
czu7576,kpofwgtomgijnm,3.0,Xbgykqm,3874445.0,38.0,czuvw,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,1.0,,Canada,,348.0,O,Oakland,156048.0,2.0,M,Phillips-Van Heusen
Ghr7577,Biflzgcqpqpbahquomftmjffohpwuy,8.0,NNCXIBTCXZA,437353.0,68.0,Ghrlcuscpesuzsdwqfwwbgh,BESJDYZDIOIXKDFEHBQXBPW,1.0,Z,United States of America,,598.0,O,Billings,63617.0,5.0,M,Wells Fargo
Rwk7578,ybdlwlwxispyswbiegrbsqqtywxr,9.0,mfwuio,2669917.0,93.0,Rwkdeshuwhwvmvmdnckmuvdt,Ouopoqztakszwsfkthdbwndfjuqaelyd,2.0,,United States of America,,505.0,O,Pueblo,244849.0,2.0,U,Vornado Realty Trust
Uwi7579,Capzcewdt,7.0,Utgwrun,1466537.0,48.0,Uwinnbtdd,Ivwhotvobwkshcixclfobqoljlaqohw,4.0,,United States of America,,839.0,R,Sherbrooke,123585.0,3.0,S,New York Times
VXZ7580,XKBLVBCCYKMIXABVTOTVPZCJRII,2.0,Wgulrhctjlg,991860.0,96.0,VXZTLDNZPYIFIKTIJRXS,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1.0,,United States of America,,672.0,U,Sacramento,391134.0,1.0,S,Adobe Systems
Ayk7581,wmknfemsztimaphftadowlmbnp,3.0,Srhxvxe,,58.0,Aykkkc,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,5.0,p,United States of America,f,696.0,O,Charlotte,426759.0,5.0,M,Valmont Industries
lho7582,DHLVITRFJDXLTPAGMPMJ,5.0,Dadkihaohc,1816368.0,63.0,lhodktal,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,5.0,,United States of America,M,448.0,O,El Paso,451737.0,3.0,W,UAL
rzi7583,Jdpqutldftwykfyhukveiaimoyyk,9.0,Fpoleiod,565246.0,18.0,rziprpcfwnirtuvrbfnuepq,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,2.0,,United States of America,,549.0,O,Mesa,180822.0,1.0,S,AFLAC
Wds7584,Qiwemtdba,0.0,Cuaieflmccqp,1899339.0,40.0,Wdsuorykxmvfxupyyjl,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,4.0,,United States of America,,705.0,O,Simi Valley,205843.0,2.0,W,VeraSun Energy
Xsj7585,JQKEDISZ,6.0,qiraymmapgf,3873239.0,29.0,Xsjypvyfoqbiq,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,4.0,f,United States of America,M,387.0,O,St. Catharines,470985.0,3.0,M,Magellan Health Services
Lux7586,Gfuwa,7.0,Tsynomgib,767547.0,21.0,Luxkby,Nhgrkzjzcrjcerkwrugwul,2.0,v,United States of America,,359.0,,Washington,318225.0,1.0,U,Emcor Group
wxw7587,CTTUYHUUMMDTX,9.0,Amudllk,1027999.0,41.0,wxwhwasadsmxchyhlgrvnurte,,2.0,,Canada,f,494.0,O,Chula Vista,326044.0,2.0,M,Peabody Energy
pfz7588,Wvtqm,10.0,ELQKT,3428495.0,56.0,pfzjoarqopfjtzjalxxxeq,uiaoi,1.0,e,United States of America,m,345.0,,Montpelier,,1.0,M,State Farm Insurance Cos.
hlx7589,xuwgpsvzcpxtoerndtr,10.0,Oiwac,1827180.0,33.0,hlxshqpvshstjerwclb,Wwonzdtvwkn,2.0,,United States of America,M,402.0,O,Mesa,187282.0,0.0,M,Humana
nyb7590,Hnnzpokbygacjjgybkskf,3.0,Dqgzinvuxxy,2070007.0,96.0,nybiaaw,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,2.0,,United States of America,,579.0,O,New Haven,,0.0,M,News Corp.
Ltt7591,qsnivsknktiwjpqwnrlgftnmsrxkjc,2.0,Nchaajfkjvx,,35.0,Lttvvpjjavydrmbt,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,2.0,O,United States of America,,569.0,O,Indianapolis,,0.0,,Torchmark
gsz7592,pygsfvfpeofkdcugfvxdsqgmcgebfp,9.0,XEDMBUAMGXKH,3596263.0,40.0,gszunimggpyfjzmivbwizzftuen,cezvfwtftwlwfrgrpxtuejvrgucexe,0.0,,United States of America,,745.0,O,Stockton,306946.0,4.0,W,Rock-Tenn
Kwp7593,Zgxsuo,1.0,crxbrlj,3719999.0,10.0,Kwpztgkknktyvdks,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,0.0,,,,320.0,U,Louisville,99663.0,,D,AGCO
AGM7594,ganifmdaqbltccwbqijtkypcetuq,4.0,Eytubbwi,3058439.0,59.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,2.0,D,United States of America,,591.0,R,Atlanta,482013.0,4.0,M,
Ocn7595,IYCOMORWDFSEKN,10.0,Lwftldizl,2592932.0,70.0,Ocnds,Ctgihaqlm,1.0,u,United States of America,m,,U,Milwaukee,180476.0,0.0,M,United Stationers
Cmw7596,vdvdlfz,5.0,GSSFZNBZL,1471273.0,69.0,Cmweamsabhudajyhpsohkpzcy,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,4.0,,United States of America,F,417.0,,Fort Smith,285682.0,5.0,M,McCormick
Dit7597,Sbwymtnwzhffkwjczlsnvrtcv,8.0,Nrnqtmjz,,96.0,Ditjvpiidkjkvxssfnctzcczb,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,0.0,V,United States of America,,338.0,R,Knoxville,455032.0,5.0,M,National Life Group
Rmm7598,qjjwbffbgxilxyarhjwdvo,9.0,Rzjxvum,2410816.0,9.0,Rmmasnivkq,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,3.0,S,United States of America,,340.0,O,Idaho Falls,356141.0,,S,Hasbro
ekj7599,JIXUQX,5.0,Accezkuzqrif,1059543.0,39.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,3.0,,Canada,,738.0,U,Jacksonville,165667.0,3.0,U,Tupperware Brands
wcq7600,Eqrxuc,7.0,LNZZPGOTEG,379282.0,31.0,wcqqbslcxugdqpbzbmbqvlahw,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,0.0,A,United States of America,,597.0,O,Stockton,459767.0,2.0,S,Covance
Klc7601,PDAXUXBMPOVTKJUR,4.0,YINOHET,3271265.0,64.0,Klcanpomjmuwosnasroukafsxtufz,RSSNUTWWLOKIHRRTPEAFTLBF,2.0,,United States of America,f,603.0,R,Thousand Oaks,106459.0,2.0,M,Interactive Brokers Group
