prospect_AgencyID,prospect_NumberCreditCards,prospect_MiddleInitial,prospect_Phone,prospect_OwnOrRentFlag,prospect_NumberCars,prospect_AddressLine2,prospect_LastName,prospect_City,prospect_NetWorth,prospect_State,prospect_Income,prospect_NumberChildren,prospect_MaritalStatus,prospect_Age,prospect_CreditRating,prospect_Employer
Din17,0.0,,,R,5.0,,Dinnin,Bellevue,2787199.0,OK,266928.0,4.0,M,87.0,441.0,Macy's
De 18,6.0,M,1-357-207-6320,O,2.0,,De witte,Detroit,2789368.0,Ontario,72444.0,3.0,M,85.0,848.0,Gardner Denver
Mck19,8.0,,1-462-774-1277,R,3.0,,Mckeegan,Omaha,2784776.0,KY,77290.0,3.0,U,86.0,843.0,Family Dollar Stores
WIN20,,P,1-702-382-2898,R,2.0,,WINTERS,Costa Mesa,288747.0,PA,395066.0,0.0,U,59.0,,
BIT21,0.0,,1-909-554-7120,O,5.0,,BITTMAN,Berkeley,876575.0,MD,119283.0,3.0,U,94.0,300.0,Sun Microsystems
luz22,8.0,V,1-752-296-7940,O,1.0,,luzarraga,St. Louis,2041224.0,TX,330991.0,1.0,U,,795.0,Costco Wholesale
don23,5.0,S,1-995-554-5056,U,4.0,,donovan,Colorado Springs,2231509.0,IN,,0.0,,5.0,367.0,Illinois Tool Works
Gia24,1.0,T,1-090-303-3807,O,1.0,,Giallo,Fontana,3206409.0,MD,252031.0,5.0,M,23.0,507.0,Southern Union
SPR25,9.0,,1-492-968-0932,O,3.0,,SPRUELL,St. Catharines,3850037.0,KY,101800.0,1.0,M,61.0,362.0,Moog
SKA26,7.0,,1-960-227-2020,O,0.0,,SKALSKI,Hayward,528440.0,CA,436977.0,1.0,D,,527.0,Old Republic International
Gar27,0.0,,1-431-122-8597,O,0.0,,Gargul,Palmdale,597140.0,FL,495334.0,,S,51.0,354.0,
Dor28,1.0,,1-822-836-7200,O,1.0,,Dore,Phoenix,146931.0,Newfoundland,274685.0,1.0,M,97.0,511.0,Great Plains Energy
DIO29,7.0,X,1-530-117-0497,,2.0,,DIOGO,Gary,353495.0,TX,320820.0,2.0,,52.0,412.0,Broadcom
Mer30,1.0,,1-051-257-2719,O,4.0,,Merrick,Beaumont,295647.0,WA,195835.0,0.0,S,98.0,583.0,Discover Financial Services
Atc31,5.0,R,1-171-989-1363,O,5.0,,Atchison,Nashua,408941.0,MN,108085.0,3.0,U,47.0,710.0,UAL
Pla32,9.0,X,1-042-705-3246,O,2.0,,Plamondon,San Jose,362523.0,WY,260185.0,1.0,M,47.0,380.0,Charles Schwab
SEL33,2.0,E,1-098-328-2026,R,0.0,,SELCHOW,Nashua,2102359.0,NY,258323.0,0.0,M,9.0,796.0,Coach
sha34,2.0,Z,1-209-754-5635,U,1.0,,shane,Fort Smith,3480265.0,SC,79476.0,3.0,M,85.0,818.0,DaVita
MER35,3.0,,1-498-781-3456,U,5.0,,MERWIN,Lancaster,3648900.0,MS,102156.0,3.0,M,81.0,766.0,Marshall & Ilsley Corp.
con36,2.0,,1-615-241-0440,O,2.0,,conrad,Colorado Springs,1161790.0,UT,221481.0,3.0,M,0.0,359.0,Cablevision Systems
ons37,2.0,,1-995-449-5200,R,1.0,,onsiteteam,Washington,2050587.0,PA,41836.0,5.0,S,28.0,401.0,Barnes & Noble
Sum38,0.0,,1-295-673-4452,O,1.0,,Summerlin,Lowell,3579198.0,OK,72389.0,1.0,U,65.0,609.0,EMC
gro39,2.0,F,1-914-675-2986,O,3.0,,grooms,Frederick,889494.0,WY,66486.0,0.0,S,20.0,630.0,Fluor
dil40,9.0,I,,O,3.0,Apt. 382,dilkie,Mesa,2205682.0,RI,200185.0,1.0,M,55.0,671.0,Dollar General
DOL41,10.0,,1-825-739-0336,O,0.0,,DOLSON,Lakewood,1140117.0,HI,289215.0,2.0,U,76.0,715.0,Lear
Pos42,9.0,,1-956-713-3802,O,4.0,,Posthumus,Cleveland,1421319.0,VA,322484.0,1.0,M,1.0,707.0,J.P. Morgan Chase & Co.
Mac43,0.0,,1-814-932-1579,O,4.0,,Machika,Grand Rapids,3525204.0,OK,83458.0,2.0,M,3.0,329.0,Affinia Group Intermediate
che44,8.0,,1-135-443-7282,R,0.0,,chenoweth,Peoria,468976.0,Prince Edward Island,,3.0,D,100.0,601.0,
hol45,2.0,,1-720-975-0667,O,5.0,,holbrooks,Inglewood,1685443.0,SD,492407.0,1.0,W,81.0,623.0,Goldman Sachs Group
pfi46,2.0,,1-871-598-3505,O,4.0,,pfieffer,Akron,337564.0,OH,346630.0,4.0,S,76.0,376.0,E*Trade Financial
elk47,0.0,Y,1-607-222-4809,O,1.0,,elkington,Charlottetown,84777.0,MA,9572.0,3.0,W,51.0,560.0,Pfizer
Lab48,4.0,,1-965-046-0642,O,1.0,,Labenek,Bellevue,3146477.0,MD,265369.0,5.0,,,693.0,Safeway
laf49,0.0,Y,1-155-441-3579,U,1.0,,laferriere,Dover,495277.0,Saskatchewan,104172.0,2.0,S,58.0,346.0,Simon Property Group
Nor50,0.0,I,,O,0.0,,Norment,Fullerton,746904.0,WA,65550.0,3.0,M,52.0,342.0,Trinity Industries
hag51,8.0,,1-544-132-7237,R,2.0,,hagar,Denver,1219620.0,OH,,0.0,M,91.0,563.0,Solutia
Bet52,4.0,,1-821-089-2089,O,2.0,,Betcher,Dallas,1718910.0,WY,,3.0,M,17.0,391.0,
Van53,8.0,,1-135-391-9787,O,4.0,,Van der,San Jose,,NJ,66244.0,4.0,S,6.0,381.0,A.O. Smith
O'L54,9.0,,1-776-182-6215,U,0.0,,O'LEARY,Bellevue,2636424.0,ND,426954.0,3.0,S,89.0,539.0,AptarGroup
and55,0.0,,1-079-780-7761,O,5.0,,anderson,San Buenaventura,1326305.0,NC,126891.0,4.0,M,99.0,497.0,Coca-Cola
sta56,,,1-504-346-4393,O,4.0,,starks,St. Louis,2241997.0,WV,454196.0,2.0,M,77.0,661.0,Kimberly-Clark
CHA57,0.0,,1-985-538-4351,R,5.0,Apt. 275,CHASSE,Pueblo,1542891.0,GA,163940.0,3.0,S,,558.0,Visteon
ASI58,,,1-254-097-9398,O,,,ASING,Regina,797918.0,Ontario,365213.0,1.0,W,90.0,534.0,TECO Energy
ask59,6.0,,1-545-924-9552,U,0.0,,askins,Saskatoon,347654.0,MA,428739.0,0.0,M,82.0,373.0,Bemis
Kik60,8.0,K,1-984-233-8818,O,4.0,,Kikuta,Jackson,2456397.0,CA,142444.0,0.0,M,,382.0,Wyeth
Cha61,10.0,,1-528-691-1642,O,3.0,,Chane,St. Petersburg,1284229.0,SD,416168.0,3.0,S,15.0,475.0,United Technologies
KIL62,3.0,U,,O,2.0,,KILLEN,Scottsdale,618787.0,Saskatchewan,291420.0,0.0,D,,539.0,Clorox
kin63,6.0,,1-171-807-8213,O,4.0,,kinley,Charlotte,1171606.0,RI,413501.0,5.0,M,96.0,711.0,Discovery Communications
MAL64,1.0,,1-056-241-7009,O,4.0,,MALAHER,Waterbury,3983261.0,NC,,,M,38.0,606.0,Williams-Sonoma
Odu65,0.0,J,1-389-414-0570,O,3.0,,Odum,Chesapeake,2328568.0,SD,419143.0,3.0,W,10.0,494.0,Manitowoc
DI 66,3.0,,1-583-542-1656,O,1.0,,DI NINNO,Hialeah,2078600.0,IL,155057.0,5.0,M,72.0,309.0,Henry Schein
STU67,3.0,K,1-269-712-0672,O,2.0,,STUBBLEFIELD,Charleston,2986155.0,OR,313859.0,5.0,M,97.0,630.0,Trinity Industries
HAM68,10.0,,1-670-102-0463,O,4.0,,HAMBALI,Salem,1864039.0,Ontario,265907.0,1.0,S,48.0,330.0,Pepsi Bottling
LIB69,9.0,,1-699-726-3895,O,,,LIBRARIAN,Sacramento,1293721.0,FL,283481.0,0.0,S,97.0,710.0,UGI
ohs70,7.0,,1-640-666-2876,R,4.0,,ohsone,Santa Clarita,3850114.0,NM,200635.0,0.0,M,73.0,475.0,Greif
HUM71,3.0,O,1-540-639-1311,O,0.0,APT. 143,HUMMEL,Sherbrooke,1618743.0,NE,434519.0,1.0,U,71.0,596.0,Equifax
BRA72,9.0,,1-285-874-8492,O,5.0,,BRADD,Colorado Springs,3383487.0,MI,392315.0,1.0,W,93.0,670.0,
Boa73,,X,1-121-904-0040,O,5.0,,Boarder,Berkeley,2981876.0,New Brunswick,493829.0,3.0,U,53.0,722.0,Freescale Semiconductor
Mcn74,7.0,,1-017-842-3201,O,3.0,,Mcnally,San Buenaventura,2109339.0,NJ,97489.0,2.0,U,32.0,587.0,Aleris International
MAR75,4.0,,1-215-859-3206,O,4.0,,MARKOVICH,New Haven,791803.0,ND,,3.0,S,1.0,609.0,
Wil76,7.0,,1-764-520-7470,O,0.0,,Willekes,Shreveport,3523678.0,Saskatchewan,383046.0,1.0,S,39.0,401.0,World Fuel Services
Dea77,0.0,S,1-414-130-0162,,4.0,,Deacetis,Lansing,1681902.0,KS,1190.0,0.0,M,77.0,335.0,R.R. Donnelley & Sons
Hou78,7.0,,1-970-240-9990,O,5.0,,Houk,Pembroke Pines,3851455.0,SD,85733.0,5.0,U,18.0,569.0,Brinker International
Goy79,9.0,,1-408-684-6459,R,0.0,,Goyette,Palmdale,2339382.0,FL,387890.0,2.0,M,70.0,,Temple-Inland
Mok80,7.0,Z,1-330-353-5908,O,2.0,,Mok-fung,Savannah,,Saskatchewan,16808.0,0.0,S,26.0,679.0,Psychiatric Solutions
Run81,10.0,I,1-766-726-2675,,,,Rundle,Amarillo,2065016.0,FL,304589.0,4.0,M,,356.0,Nash-Finch
BEL82,9.0,,1-938-425-7509,R,2.0,,BELLEY,Anchorage,2454049.0,UT,48506.0,5.0,S,58.0,308.0,AMR
BAE83,4.0,Y,1-527-308-8874,O,0.0,,BAER,Louisville,2423395.0,WY,,4.0,M,43.0,412.0,Spartan Stores
MAU84,4.0,,1-810-590-0635,O,2.0,,MAULDIN,Hilo,1342045.0,NH,358862.0,3.0,D,65.0,618.0,Cigna
Koo85,5.0,,1-274-548-2512,O,5.0,,Koohgoli,Sudbury,861756.0,AR,477614.0,3.0,S,24.0,429.0,General Cable
Lau86,3.0,,1-649-754-4601,O,3.0,,Lauriston,Orlando,1215349.0,CT,175414.0,1.0,S,79.0,819.0,Dun & Bradstreet
Man87,7.0,L,1-905-932-1785,O,0.0,,Mangum,Missoula,3981554.0,VT,427598.0,1.0,M,48.0,552.0,Casey's General Stores
PIE88,9.0,,1-031-004-7697,O,0.0,,PIERCY,Abilene,3865937.0,Manitoba,368207.0,4.0,S,69.0,587.0,Jack in the Box
Bus89,6.0,,1-994-812-4796,O,3.0,,Buscaglia,Saskatoon,2804700.0,NJ,449944.0,1.0,S,91.0,304.0,Assurant
BAB90,4.0,,1-176-513-4041,U,5.0,,BABIONE,Irvine,3283558.0,KY,166247.0,5.0,,75.0,795.0,Psychiatric Solutions
Bur91,2.0,,1-072-244-6337,O,1.0,APT. 373,Burkard,Reno,450524.0,GA,391165.0,3.0,S,85.0,830.0,Danaher
Kin92,3.0,,1-924-669-9328,R,5.0,,Kinsella,Sacramento,,NJ,165854.0,3.0,M,76.0,709.0,Clorox
POM93,8.0,,1-598-488-3541,O,2.0,,POMMAINVILLE,Topeka,,SC,326181.0,1.0,S,68.0,493.0,Boyd Gaming
BOA94,,,1-295-539-3868,O,3.0,,BOATWRIGHT,Rancho Cucamonga,633760.0,TN,173387.0,,M,95.0,680.0,Eaton
Ron95,,R,1-554-020-0267,R,1.0,,Ronald,Hilo,3634954.0,WY,301127.0,5.0,M,15.0,800.0,Dynegy
wei96,4.0,A,1-793-621-4566,R,1.0,,weihs,Saint John,799268.0,Ontario,487230.0,5.0,M,17.0,614.0,AmeriCredit
Hel97,6.0,P,1-787-267-4261,R,4.0,,Helpb,Torrance,39093.0,DC,425747.0,0.0,,94.0,763.0,SLM
mog98,3.0,,1-668-247-1597,O,4.0,,moghe,Santa Clara,2705353.0,Alberta,401946.0,4.0,S,70.0,561.0,NV Energy
boz99,4.0,,1-901-346-8890,O,1.0,,bozicevich,Torrance,3565153.0,ME,425422.0,2.0,S,29.0,569.0,Landstar System
Zah100,5.0,R,1-451-273-3803,O,4.0,,Zaharychuk,Stockton,2832204.0,MA,208890.0,1.0,M,52.0,634.0,Pacific Life
And101,10.0,,1-129-499-9136,O,5.0,,Andric,Paterson,2194345.0,NV,67880.0,3.0,U,51.0,488.0,Textron
Bam102,5.0,L,1-899-319-0772,O,2.0,,Bamfo,Mesa,3737140.0,WA,133412.0,3.0,W,24.0,788.0,Pfizer
fro103,8.0,,1-053-396-0441,O,3.0,,frondozo,Anchorage,464753.0,WY,144829.0,4.0,D,98.0,333.0,Cigna
Car104,,J,1-239-665-9540,U,1.0,,Caron,Miami,596696.0,NJ,,1.0,M,59.0,601.0,Ameren
muc105,2.0,V,1-605-888-3403,O,3.0,,muchow,Great Falls,1504753.0,LA,143682.0,4.0,U,49.0,595.0,Consolidated Edison
gat106,10.0,,1-630-604-2543,O,0.0,,gateau,Erie,3049281.0,TX,350020.0,1.0,U,1.0,433.0,Occidental Petroleum
Sch107,10.0,M,1-851-862-7928,O,0.0,,Schaefer,Hollywood,247478.0,SC,435103.0,,U,79.0,403.0,Sherwin-Williams
pom108,3.0,,1-065-415-5724,R,1.0,,pomerleau,Tulsa,2750301.0,TX,207768.0,5.0,,6.0,615.0,Affiliated Computer Services
cuc109,1.0,K,1-408-512-1007,O,0.0,,cucuzzella,Tucson,721333.0,MN,407512.0,4.0,M,70.0,735.0,Valassis Communications
SUG110,1.0,Z,1-083-902-4184,O,3.0,,SUGARMAN,Anchorage,669440.0,ID,403366.0,0.0,S,23.0,668.0,
Pep111,,,1-568-403-7081,O,3.0,,Pepe,Sandy,2473979.0,MI,384095.0,5.0,M,78.0,349.0,Smithfield Foods
Cha112,,,1-824-389-0618,,4.0,SUITE 7,Chandrashekar,Boston,3545170.0,OK,288969.0,,S,79.0,654.0,
SEI113,6.0,U,1-174-210-2058,O,2.0,Apt. 971,SEIFERS,Vancouver,1494871.0,UT,233665.0,3.0,U,72.0,361.0,TD Ameritrade
GAR114,1.0,S,1-425-503-7952,U,4.0,,GARTLEY,Akron,436164.0,PA,147236.0,0.0,S,31.0,427.0,Comerica
Tou115,1.0,,1-012-389-9089,O,0.0,,Touchette,Lancaster,1069481.0,New Brunswick,452557.0,3.0,W,86.0,322.0,Steel Dynamics
Kur116,9.0,V,1-909-472-6704,R,2.0,,Kurdziel,Concord,,UT,179305.0,0.0,S,,792.0,Coca-Cola Enterprises
Her117,2.0,,1-622-167-5411,O,3.0,,Herod,Chesapeake,2957261.0,VA,205817.0,0.0,U,87.0,478.0,News Corp.
MCV118,1.0,P,1-164-511-9338,O,,,MCVICAR,Flint,228459.0,NH,262711.0,5.0,M,92.0,477.0,
LAB119,6.0,,1-804-532-9163,O,1.0,,LABFIVE,Chattanooga,67267.0,VT,84810.0,5.0,M,4.0,449.0,Stater Bros. Holdings
but120,2.0,,1-197-370-0297,O,2.0,,butta,Billings,1087978.0,FL,96441.0,4.0,U,8.0,466.0,BorgWarner
Pro121,2.0,,1-337-042-5687,O,0.0,,Projects,Scottsdale,3885967.0,NC,462762.0,5.0,M,97.0,483.0,CB Richard Ellis Group
Irc122,4.0,,1-056-138-5321,O,5.0,,Irc,Oshawa,3271101.0,VA,141890.0,4.0,D,,588.0,Zimmer Holdings
Ziv123,2.0,G,1-776-191-2031,O,5.0,,Zivkovic,Naperville,,DC,156610.0,5.0,,40.0,313.0,Mohawk Industries
sim124,1.0,H,1-280-696-2706,R,1.0,,simser,Tampa,1999133.0,NC,164752.0,4.0,U,95.0,647.0,Berkshire Hathaway
kei125,2.0,I,1-857-581-6346,O,1.0,,keifer,Jackson,1100786.0,MS,278949.0,5.0,S,92.0,430.0,Saks
arv126,8.0,P,,O,0.0,,arvin,Hay River,563992.0,SC,,5.0,W,67.0,467.0,Gardner Denver
Pra127,7.0,,1-716-343-0884,O,3.0,,Praeuner,Irvine,962397.0,KS,463736.0,2.0,M,24.0,399.0,Hasbro
lue128,5.0,C,1-101-776-2496,O,2.0,,lue,Idaho Falls,1064169.0,VT,,3.0,M,26.0,654.0,CBS
Prz129,3.0,,1-769-028-0589,O,2.0,,Przybycien,Moreno Valley,2100059.0,IL,86667.0,0.0,S,62.0,378.0,Synnex
pen130,10.0,J,1-005-833-8970,O,5.0,,penn,Ontario,99025.0,FL,193470.0,1.0,W,37.0,338.0,Belden
Gua131,10.0,S,1-884-215-4243,R,5.0,,Guay,Concord,3865481.0,MI,406379.0,0.0,S,71.0,695.0,Broadcom
bre132,7.0,,,U,1.0,,brennand,Phoenix,804544.0,Newfoundland,480595.0,3.0,M,29.0,614.0,Reynolds American
Sav133,7.0,X,1-725-177-7815,O,4.0,,Savanh,Coral Springs,3143356.0,ME,181718.0,5.0,S,89.0,307.0,Wells Fargo
ABB134,2.0,Z,1-277-496-5396,O,0.0,,ABBATANTUONO,Oxnard,,AL,468310.0,3.0,M,11.0,331.0,Retail Ventures
OP135,2.0,N,1-756-463-2201,O,2.0,,OP,Brownsville,2311953.0,IN,354987.0,0.0,S,20.0,638.0,AT&T
Mer136,3.0,,1-261-338-7463,O,3.0,,Mersinger,Memphis,3120608.0,NH,284539.0,5.0,W,75.0,703.0,Wynn Resorts
rut137,7.0,,1-811-086-4675,O,0.0,,rutt,Flint,2058270.0,DC,213725.0,5.0,S,95.0,302.0,Eastman Kodak
bem138,,I,1-338-771-1185,O,2.0,,bemis,Lafayette,1511983.0,DC,74195.0,3.0,U,0.0,522.0,Aramark
Pen139,,,1-554-231-5318,O,5.0,,Pennington,Greensboro,439080.0,MD,169295.0,1.0,M,73.0,,ENSCO International
tor140,5.0,Y,1-733-886-5227,R,1.0,,torok,Sterling Heights,921255.0,Prince Edward Island,307832.0,0.0,W,39.0,833.0,Auto-Owners Insurance
law141,2.0,L,1-267-357-1943,O,1.0,,lawlis,Costa Mesa,3810365.0,MD,20397.0,1.0,U,76.0,,Bemis
Bee142,6.0,D,1-602-756-7919,O,2.0,Suite 397,Beebe,Houston,2641938.0,New Brunswick,463094.0,2.0,U,5.0,664.0,Securian Financial Group
sch143,7.0,,1-793-864-7010,O,4.0,,schlange,Bakersfield,3857323.0,HI,331900.0,1.0,U,65.0,789.0,Ford Motor
Wit144,0.0,,1-637-020-2921,U,5.0,,Witchlow,Chesapeake,1636212.0,ND,8421.0,0.0,S,94.0,803.0,ConAgra Foods
MER145,3.0,Q,1-428-797-6325,,4.0,,MEREDITH,Sandy,2999082.0,Nova Scotia,35780.0,4.0,M,95.0,720.0,Charter Communications
bia146,4.0,,1-011-549-5618,R,1.0,,bialkenius,Lewiston,2280820.0,ME,139897.0,0.0,M,28.0,839.0,Calpine
Swi147,0.0,P,1-993-255-5481,O,4.0,SUITE 464,Swiat,Elizabeth,1050866.0,Alberta,414119.0,1.0,D,76.0,621.0,Crane
bul148,3.0,,1-487-749-4448,O,5.0,,bullinger,Sudbury,,VT,234035.0,4.0,D,81.0,628.0,Textron
TYR149,6.0,,1-192-352-2184,O,3.0,,TYRRELL,Austin,603001.0,DE,144405.0,5.0,W,38.0,813.0,Idearc
Fyf150,3.0,,1-293-442-4224,R,5.0,,Fyfe,Salinas,3368239.0,MA,55441.0,3.0,W,25.0,367.0,Cabela's
Sic151,10.0,,1-078-502-6700,O,4.0,,Sicard,Peoria,1042629.0,CA,392869.0,2.0,D,0.0,807.0,EOG Resources
CAS152,8.0,,1-430-909-3001,O,3.0,,CASTEN,Sydney,1948746.0,Manitoba,402416.0,4.0,U,61.0,501.0,
Cho153,10.0,S,1-392-455-0895,O,0.0,,Choy,San Antonio,3113862.0,TN,89984.0,2.0,U,3.0,490.0,Burlington Coat Factory
CHA154,3.0,,1-273-921-9787,O,2.0,,CHACKO,Oklahoma City,2777290.0,FL,395773.0,3.0,W,77.0,321.0,Southwest Airlines
bei155,6.0,E,1-012-993-4538,R,1.0,,beil,Miami,2210073.0,CA,126662.0,0.0,U,8.0,,RPM International
Ele156,7.0,J,1-890-859-4211,O,4.0,,Eleftheriou,Yonkers,1999684.0,CO,132008.0,1.0,U,34.0,446.0,Amazon.com
o'g157,2.0,,1-080-032-3031,O,5.0,,o'grady,Columbia,2119678.0,Saskatchewan,417218.0,5.0,M,15.0,428.0,Neiman Marcus
Kat158,5.0,,1-561-620-7173,O,0.0,,Katchmar,Lubbock,169808.0,UT,360063.0,0.0,S,66.0,423.0,Goldman Sachs Group
Lui159,6.0,O,1-017-439-0362,O,5.0,,Luin,Chattanooga,1072732.0,ME,100516.0,4.0,U,55.0,499.0,Boeing
Kla160,7.0,,1-248-539-6621,O,1.0,,Klavkalns,Fargo,2261442.0,NH,16814.0,1.0,S,8.0,342.0,United Refining
Bru161,1.0,Z,1-611-789-5569,U,1.0,,Brunsting,Omaha,2234368.0,VA,,3.0,M,7.0,632.0,D.R. Horton
Apt162,6.0,Q,1-023-151-8130,O,3.0,,Apter,Yonkers,575288.0,TX,315962.0,1.0,M,97.0,525.0,Jarden
sch163,9.0,,1-005-574-3523,R,5.0,,schuette,Spokane,1102479.0,Saskatchewan,299268.0,1.0,M,95.0,371.0,Systemax
Lan164,4.0,,1-550-487-1571,O,1.0,,Lanava,Tulsa,2995388.0,NH,301490.0,3.0,U,92.0,699.0,Marriott International
Fus165,8.0,,1-280-494-1415,O,3.0,,Fusca,Garden Grove,1147193.0,VA,36052.0,2.0,M,17.0,435.0,Expeditors International
Nev166,2.0,R,1-803-438-4141,U,1.0,,Nevardauskis,Fort Lauderdale,1136540.0,IA,437483.0,4.0,U,81.0,512.0,Great Plains Energy
SHA167,6.0,,1-566-299-2351,O,5.0,,SHACKLEFORD,Philadelphia,1677669.0,NC,152971.0,,M,13.0,552.0,Danaher
Sau168,8.0,P,1-586-363-4189,O,0.0,,Sauck,Sydney,2160706.0,NH,449495.0,2.0,M,78.0,,
fri169,5.0,,1-505-124-9029,O,4.0,,frischknecht,Waterbury,2525665.0,AL,349827.0,1.0,M,78.0,687.0,Watson Wyatt Worldwide
fer170,0.0,O,1-897-996-9812,R,3.0,,fernandez,Tacoma,3517622.0,British Columbia,9562.0,1.0,M,85.0,433.0,Yahoo
LAN171,7.0,,1-922-919-5858,,1.0,,LANDERS,Charlottetown,,MD,24514.0,2.0,U,68.0,746.0,Convergys
Bha172,9.0,,1-326-572-2988,R,0.0,,Bhasin,Independence,97675.0,IA,407985.0,0.0,M,1.0,405.0,Celanese
Jor173,,,1-076-972-4311,O,5.0,,Jordan,Escondido,,ND,,5.0,M,83.0,805.0,Dana Holding
KNU174,5.0,,1-341-595-8408,O,4.0,,KNUDSEN,Lansing,3569070.0,NY,257897.0,4.0,M,78.0,819.0,XTO Energy
Ham175,0.0,,,O,0.0,,Hamelin,Anaheim,1507616.0,OR,261143.0,5.0,M,,648.0,Alliance Data Systems
MAU176,10.0,,1-536-952-5040,R,5.0,,MAUER,Glendale,514151.0,MO,110615.0,5.0,U,5.0,401.0,Franklin Resources
Rez177,8.0,,1-663-917-0422,U,2.0,Apt. 426,Rezansoff,Chula Vista,2903408.0,CT,407799.0,0.0,U,43.0,484.0,Fidelity National Financial
Koa178,1.0,,1-843-773-1791,O,4.0,,Koa,Orlando,1695814.0,MO,195242.0,4.0,U,53.0,463.0,FirstEnergy
HAN179,5.0,B,1-823-567-1252,O,3.0,,HANNEMAN,Cleveland,868465.0,MN,315490.0,0.0,U,13.0,335.0,Commercial Metals
jak180,10.0,I,1-744-421-7512,O,5.0,,jakim,Huntington,2810709.0,NC,22201.0,4.0,U,7.0,,Genzyme
ump181,7.0,C,1-621-744-1484,R,4.0,,umphres,Fayetteville,3593363.0,TN,441579.0,5.0,M,17.0,381.0,US Airways Group
Wic182,1.0,G,1-973-214-3381,O,2.0,,Wickham,Riverside,2607636.0,NV,342730.0,2.0,M,67.0,708.0,Advanced Micro Devices
Gat183,8.0,,1-428-266-1600,R,5.0,Apt. 540,Gates,Dayton,2735642.0,AL,117267.0,4.0,M,54.0,354.0,United Parcel Service
bot184,10.0,,1-334-466-5299,,1.0,,bott,Corona,1501732.0,NE,260107.0,4.0,S,5.0,547.0,Fastenal
DAV185,9.0,T,1-249-478-5643,O,1.0,,DAVID-YERUMO,Oklahoma City,397072.0,KS,166760.0,1.0,D,28.0,761.0,Core-Mark Holding
HIL186,1.0,,1-804-228-8548,O,4.0,,HILLARD,Dallas,3399757.0,NY,401021.0,1.0,M,5.0,659.0,Boise
war187,9.0,,1-564-230-0062,R,4.0,,warburton,Durham,2684548.0,NY,70945.0,2.0,M,,351.0,DST Systems
MAC188,7.0,,1-781-339-9073,O,3.0,apt. 48,MACHNICKI-HYNES,Tacoma,3041622.0,Saskatchewan,389391.0,3.0,S,72.0,608.0,United States Steel
lev189,3.0,A,1-096-116-9962,O,4.0,,levitin,Alexandria,3211816.0,Prince Edward Island,63226.0,2.0,S,12.0,706.0,Pepco Holdings
Goo190,8.0,,1-914-194-6997,O,0.0,apt. 968,Gooderham,Hialeah,127026.0,Alberta,206220.0,4.0,M,71.0,391.0,Acuity Brands
