prospect_gncd,prospect_mrtlstts,prospect_ntwrth,prospect_nmbrcrs,prospect_gndr,prospect_mplr,prospect_ncm,prospect_mddlntl,prospect_ddrssln1,prospect_pstlcd,prospect_stt,prospect_nmbrchldrn,prospect_ddrssln2,prospect_lstnm,prospect_crdtrtng,prospect_phn,prospect_g,prospect_wnrrntflg,prospect_nmbrcrdtcrds
MAU84,D,1342045.0,2.0,f,Cigna,358862.0,,21477 JUNIPER CRESCENT,H2d 1x1,NH,3.0,,MAULDIN,618.0,1-810-590-0635,65.0,O,4.0
Koo85,S,861756.0,5.0,,General Cable,477614.0,,19214 YAUPON BOULEVARD,95108,AR,3.0,,Koohgoli,429.0,1-274-548-2512,24.0,O,5.0
Lau86,S,1215349.0,3.0,,Dun & Bradstreet,175414.0,,7785 rusk boulevard,80050,CT,1.0,,Lauriston,819.0,1-649-754-4601,79.0,O,3.0
Man87,M,3981554.0,0.0,F,Casey's General Stores,427598.0,L,18002 cantrell upper,90122,VT,1.0,,Mangum,552.0,1-905-932-1785,48.0,O,7.0
PIE88,S,3865937.0,0.0,,Jack in the Box,368207.0,,23341 brookside upper,43614,Manitoba,4.0,,PIERCY,587.0,1-031-004-7697,69.0,O,9.0
Bus89,S,2804700.0,3.0,M,Assurant,449944.0,,20494 ROSS WEST,61110,NJ,1.0,,Buscaglia,304.0,1-994-812-4796,91.0,O,6.0
BAB90,,3283558.0,5.0,,Psychiatric Solutions,166247.0,,17552 SAVANNAH NORTH,70174,KY,5.0,,BABIONE,795.0,1-176-513-4041,75.0,U,4.0
Bur91,S,450524.0,1.0,M,Danaher,391165.0,,4462 pace crescent,90324,GA,3.0,APT. 373,Burkard,830.0,1-072-244-6337,85.0,O,2.0
Kin92,M,,5.0,,Clorox,165854.0,,7161 tallowood upper,s7d 1n1,NJ,3.0,,Kinsella,709.0,1-924-669-9328,76.0,R,3.0
POM93,S,,2.0,,Boyd Gaming,326181.0,,3489 silver sage west,93829,SC,1.0,,POMMAINVILLE,493.0,1-598-488-3541,68.0,O,8.0
BOA94,M,633760.0,3.0,M,Eaton,173387.0,,12481 hayden lower,89116,TN,,,BOATWRIGHT,680.0,1-295-539-3868,95.0,O,
Ron95,M,3634954.0,1.0,,Dynegy,301127.0,R,13210 3RD DRIVE,94315,WY,5.0,,Ronald,800.0,1-554-020-0267,15.0,R,
wei96,M,799268.0,1.0,,AmeriCredit,487230.0,A,8899 starling lane,T5b 1u9,Ontario,5.0,,weihs,614.0,1-793-621-4566,17.0,R,4.0
Hel97,,39093.0,4.0,M,SLM,425747.0,P,11480 fennel south,T6b 1a5,DC,0.0,,Helpb,763.0,1-787-267-4261,94.0,R,6.0
mog98,S,2705353.0,4.0,m,NV Energy,401946.0,,7266 cherry upper,60699,Alberta,4.0,,moghe,561.0,1-668-247-1597,70.0,O,3.0
boz99,S,3565153.0,1.0,,Landstar System,425422.0,,10678 ENGLEWOOD WEST,V6p 1s8,ME,2.0,,bozicevich,569.0,1-901-346-8890,29.0,O,4.0
Zah100,M,2832204.0,4.0,,Pacific Life,208890.0,R,21181 2ND RUE,v6i 1p1,MA,1.0,,Zaharychuk,634.0,1-451-273-3803,52.0,O,5.0
And101,U,2194345.0,5.0,F,Textron,67880.0,,22963 hanover road,79423,NV,3.0,,Andric,488.0,1-129-499-9136,51.0,O,10.0
Bam102,W,3737140.0,2.0,,Pfizer,133412.0,L,8268 cliffbrook boulevard,H5j 1o6,WA,3.0,,Bamfo,788.0,1-899-319-0772,24.0,O,5.0
fro103,D,464753.0,3.0,,Cigna,144829.0,,5118 montview court,93761,WY,4.0,,frondozo,333.0,1-053-396-0441,98.0,O,8.0
Car104,M,596696.0,1.0,,Ameren,,J,17442 tallowood upper,76150,NJ,1.0,,Caron,601.0,1-239-665-9540,59.0,U,
muc105,U,1504753.0,3.0,f,Consolidated Edison,143682.0,V,4038 WEDGEWOOD STREET,99717,LA,4.0,,muchow,595.0,1-605-888-3403,49.0,O,2.0
gat106,U,3049281.0,0.0,,Occidental Petroleum,350020.0,,20334 anaconda avenue,60608,TX,1.0,,gateau,433.0,1-630-604-2543,1.0,O,10.0
Sch107,U,247478.0,0.0,F,Sherwin-Williams,435103.0,M,5385 young west,v6w 1u4,SC,,,Schaefer,403.0,1-851-862-7928,79.0,O,10.0
pom108,,2750301.0,1.0,,Affiliated Computer Services,207768.0,,2747 SINCLAIR LANE,T5b 1t6,TX,5.0,,pomerleau,615.0,1-065-415-5724,6.0,R,3.0
cuc109,M,721333.0,0.0,F,Valassis Communications,407512.0,K,8622 BROWNWAY PARK,23298,MN,4.0,,cucuzzella,735.0,1-408-512-1007,70.0,O,1.0
SUG110,S,669440.0,3.0,q,,403366.0,Z,18048 GREEN NORTH,32803,ID,0.0,,SUGARMAN,668.0,1-083-902-4184,23.0,O,1.0
Pep111,M,2473979.0,3.0,,Smithfield Foods,384095.0,,18994 country boulevard,64122,MI,5.0,,Pepe,349.0,1-568-403-7081,78.0,O,
Cha112,S,3545170.0,4.0,f,,288969.0,,16063 ashland road,T6b 1h2,OK,,SUITE 7,Chandrashekar,654.0,1-824-389-0618,79.0,,
SEI113,U,1494871.0,2.0,m,TD Ameritrade,233665.0,U,19309 mcfarlin north,22222,UT,3.0,Apt. 971,SEIFERS,361.0,1-174-210-2058,72.0,O,6.0
GAR114,S,436164.0,4.0,F,Comerica,147236.0,S,2454 cliffbrook west,T6a 1d2,PA,0.0,,GARTLEY,427.0,1-425-503-7952,31.0,U,1.0
Tou115,W,1069481.0,0.0,M,Steel Dynamics,452557.0,,15865 strand west,v5d 1n9,New Brunswick,3.0,,Touchette,322.0,1-012-389-9089,86.0,O,1.0
Kur116,S,,2.0,M,Coca-Cola Enterprises,179305.0,V,13776 east boulevard,23321,UT,0.0,,Kurdziel,792.0,1-909-472-6704,,R,9.0
Her117,U,2957261.0,3.0,,News Corp.,205817.0,,10570 WEIZMANN LOWER,90505,VA,0.0,,Herod,478.0,1-622-167-5411,87.0,O,2.0
MCV118,M,228459.0,,,,262711.0,P,15278 walnut hill road,19066,NH,5.0,,MCVICAR,477.0,1-164-511-9338,92.0,O,1.0
LAB119,M,67267.0,1.0,F,Stater Bros. Holdings,84810.0,,23007 WAKEFOREST WAY,v6s 1r3,VT,5.0,,LABFIVE,449.0,1-804-532-9163,4.0,O,6.0
but120,U,1087978.0,2.0,,BorgWarner,96441.0,,9088 rivas way,78769,FL,4.0,,butta,466.0,1-197-370-0297,8.0,O,2.0
Pro121,M,3885967.0,0.0,m,CB Richard Ellis Group,462762.0,,18798 ullrich road,53769,NC,5.0,,Projects,483.0,1-337-042-5687,97.0,O,2.0
Irc122,D,3271101.0,5.0,,Zimmer Holdings,141890.0,,18517 HULEN LOWER,H7E 1U6,VA,4.0,,Irc,588.0,1-056-138-5321,,O,4.0
Ziv123,,,5.0,,Mohawk Industries,156610.0,G,11474 dodd lane,e7o 1k1,DC,5.0,,Zivkovic,313.0,1-776-191-2031,40.0,O,2.0
sim124,U,1999133.0,1.0,,Berkshire Hathaway,164752.0,H,9375 wood south,90374,NC,4.0,,simser,647.0,1-280-696-2706,95.0,R,1.0
kei125,S,1100786.0,1.0,,Saks,278949.0,I,20479 wise avenue,63169,MS,5.0,,keifer,430.0,1-857-581-6346,92.0,O,2.0
arv126,W,563992.0,0.0,f,Gardner Denver,,P,19918 ROGERS NORTH,16515,SC,5.0,,arvin,467.0,,67.0,O,8.0
Pra127,M,962397.0,3.0,F,Hasbro,463736.0,,9284 coffey lower,85309,KS,2.0,,Praeuner,399.0,1-716-343-0884,24.0,O,7.0
lue128,M,1064169.0,2.0,m,CBS,,C,2929 north crescent,92158,VT,3.0,,lue,654.0,1-101-776-2496,26.0,O,5.0
Prz129,S,2100059.0,2.0,f,Synnex,86667.0,,15404 queen street,33152,IL,0.0,,Przybycien,378.0,1-769-028-0589,62.0,O,3.0
pen130,W,99025.0,5.0,f,Belden,193470.0,J,1619 greenspoint road,83729,FL,1.0,,penn,338.0,1-005-833-8970,37.0,O,10.0
Gua131,S,3865481.0,5.0,,Broadcom,406379.0,S,21477 WARREN PARK,B8b 1z6,MI,0.0,,Guay,695.0,1-884-215-4243,71.0,R,10.0
bre132,M,804544.0,1.0,F,Reynolds American,480595.0,,6503 ROBBINS STREET,53717,Newfoundland,3.0,,brennand,614.0,,29.0,U,7.0
Sav133,S,3143356.0,4.0,f,Wells Fargo,181718.0,X,3958 GLEN LOCH BOULEVARD,t5c 1w7,ME,5.0,,Savanh,307.0,1-725-177-7815,89.0,O,7.0
ABB134,M,,0.0,,Retail Ventures,468310.0,Z,13640 ethridge lower,37245,AL,3.0,,ABBATANTUONO,331.0,1-277-496-5396,11.0,O,2.0
OP135,S,2311953.0,2.0,M,AT&T,354987.0,N,3981 imperial lower,94401,IN,0.0,,OP,638.0,1-756-463-2201,20.0,O,2.0
Mer136,W,3120608.0,3.0,,Wynn Resorts,284539.0,,13210 3rd drive,B8a 1y3,NH,5.0,,Mersinger,703.0,1-261-338-7463,75.0,O,3.0
rut137,S,2058270.0,0.0,F,Eastman Kodak,213725.0,,9297 THROCKMORTON SOUTH,t6b 1k2,DC,5.0,,rutt,302.0,1-811-086-4675,95.0,O,7.0
bem138,U,1511983.0,2.0,,Aramark,74195.0,I,8935 YOUNG UPPER,85306,DC,3.0,,bemis,522.0,1-338-771-1185,0.0,O,
Pen139,M,439080.0,5.0,,ENSCO International,169295.0,,3797 RUTGERS PARK,V6R 1R7,MD,1.0,,Pennington,,1-554-231-5318,73.0,O,
tor140,W,921255.0,1.0,M,Auto-Owners Insurance,307832.0,Y,8285 tamarind crescent,68513,Prince Edward Island,0.0,,torok,833.0,1-733-886-5227,39.0,R,5.0
law141,U,3810365.0,1.0,m,Bemis,20397.0,L,20025 routh crescent,v6n 1v9,MD,1.0,,lawlis,,1-267-357-1943,76.0,O,2.0
Bee142,U,2641938.0,2.0,m,Securian Financial Group,463094.0,D,4144 LAKE PARK LANE,83702,New Brunswick,2.0,Suite 397,Beebe,664.0,1-602-756-7919,5.0,O,6.0
sch143,U,3857323.0,4.0,m,Ford Motor,331900.0,,3375 sakowitz lane,80125,HI,1.0,,schlange,789.0,1-793-864-7010,65.0,O,7.0
Wit144,S,1636212.0,5.0,,ConAgra Foods,8421.0,,7255 berry way,M5G 1Y7,ND,0.0,,Witchlow,803.0,1-637-020-2921,94.0,U,0.0
MER145,M,2999082.0,4.0,F,Charter Communications,35780.0,Q,3131 WATHAN SOUTH,80213,Nova Scotia,4.0,,MEREDITH,720.0,1-428-797-6325,95.0,,3.0
bia146,M,2280820.0,1.0,m,Calpine,139897.0,,18440 RYAN NORTH,60737,ME,0.0,,bialkenius,839.0,1-011-549-5618,28.0,R,4.0
Swi147,D,1050866.0,4.0,m,Crane,414119.0,P,13222 glen loch road,90510,Alberta,1.0,SUITE 464,Swiat,621.0,1-993-255-5481,76.0,O,0.0
bul148,D,,5.0,,Textron,234035.0,,7889 MURRAY WAY,92882,VT,4.0,,bullinger,628.0,1-487-749-4448,81.0,O,3.0
TYR149,W,603001.0,3.0,F,Idearc,144405.0,,7527 whale drive,98121,DE,5.0,,TYRRELL,813.0,1-192-352-2184,38.0,O,6.0
Fyf150,W,3368239.0,5.0,,Cabela's,55441.0,,17788 eagle trace park,H2e 1x9,MA,3.0,,Fyfe,367.0,1-293-442-4224,25.0,R,3.0
Sic151,D,1042629.0,4.0,,EOG Resources,392869.0,,7661 GRANT WAY,23503,CA,2.0,,Sicard,807.0,1-078-502-6700,0.0,O,10.0
CAS152,U,1948746.0,3.0,F,,402416.0,,4806 crystal hills street,40208,Manitoba,4.0,,CASTEN,501.0,1-430-909-3001,61.0,O,8.0
Cho153,U,3113862.0,0.0,,Burlington Coat Factory,89984.0,S,4211 WILLS NORTH,75201,TN,2.0,,Choy,490.0,1-392-455-0895,3.0,O,10.0
CHA154,W,2777290.0,2.0,,Southwest Airlines,395773.0,,7524 linberg north,93852,FL,3.0,,CHACKO,321.0,1-273-921-9787,77.0,O,3.0
bei155,U,2210073.0,1.0,f,RPM International,126662.0,E,14266 lemming south,32312,CA,0.0,,beil,,1-012-993-4538,8.0,R,6.0
Ele156,U,1999684.0,4.0,m,Amazon.com,132008.0,J,1427 ADDAX LANE,90059,CO,1.0,,Eleftheriou,446.0,1-890-859-4211,34.0,O,7.0
o'g157,M,2119678.0,5.0,F,Neiman Marcus,417218.0,,1625 fernando court,77006,Saskatchewan,5.0,,o'grady,428.0,1-080-032-3031,15.0,O,2.0
Kat158,S,169808.0,0.0,,Goldman Sachs Group,360063.0,,335 floresta north,23224,UT,0.0,,Katchmar,423.0,1-561-620-7173,66.0,O,5.0
Lui159,U,1072732.0,5.0,,Boeing,100516.0,O,22806 garson east,10055,ME,4.0,,Luin,499.0,1-017-439-0362,55.0,O,6.0
Kla160,S,2261442.0,1.0,f,United Refining,16814.0,,5524 vermack street,35830,NH,1.0,,Klavkalns,342.0,1-248-539-6621,8.0,O,7.0
Bru161,M,2234368.0,1.0,,D.R. Horton,,Z,18105 electra street,v6m 1s9,VA,3.0,,Brunsting,632.0,1-611-789-5569,7.0,U,1.0
Apt162,M,575288.0,3.0,,Jarden,315962.0,Q,719 holman court,22304,TX,1.0,,Apter,525.0,1-023-151-8130,97.0,O,6.0
sch163,M,1102479.0,5.0,f,Systemax,299268.0,,23553 MEMORIAL RUE,06101,Saskatchewan,1.0,,schuette,371.0,1-005-574-3523,95.0,R,9.0
Lan164,U,2995388.0,1.0,,Marriott International,301490.0,,16759 park avenue,78756,NH,3.0,,Lanava,699.0,1-550-487-1571,92.0,O,4.0
Fus165,M,1147193.0,3.0,F,Expeditors International,36052.0,,12296 WILLIAMS LOWER,93003,VA,2.0,,Fusca,435.0,1-280-494-1415,17.0,O,8.0
