prospect_AgeID,prospect_Em,prospect_AddLi2,prospect_Ag,prospect_In,prospect_LaN,prospect_OwOReFl,prospect_Ph,prospect_MidIn,prospect_MariSt,prospect_Co,prospect_NuCa,prospect_AdLi1,prospect_NuCh,prospect_CreRat,prospect_Ci,prospect_St,prospect_NuCreCa,prospect_NWor
dgc7511,Interstate Bakeries,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,72.0,210038.0,dgcnbxfhc,O,,,M,United States of America,5.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,1.0,,Greensboro,Saskatchewan,3.0,490443.0
lql7512,eBay,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,40.0,307402.0,lqlslgqsvyfxqnzuwbfg,O,1-268-630-3843,,M,Canada,4.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,5.0,318.0,Concord,NE,9.0,3348923.0
Wsk7513,Boise,ucxdpiwilpxxhv,8.0,,Wskjvrujdwku,R,1-915-548-9541,,D,United States of America,4.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1.0,613.0,Colorado Springs,AR,4.0,331799.0
Ffs7514,MDU Resources Group,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,10.0,432425.0,Ffshsiomkzjonhxjhunfsao,R,1-536-880-0961,v,U,,4.0,,1.0,786.0,Mobile,IL,4.0,1167013.0
Kvv7515,Freescale Semiconductor,,24.0,122041.0,Kvvverfkpazpzzkrqniixrhnw,O,1-494-335-6022,F,U,United States of America,0.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,3.0,,Thousand Oaks,VA,10.0,3960216.0
mpz7516,Superior Energy Services,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,18.0,302205.0,mpzqnwnrmaozfsstcqtrc,O,1-814-158-3550,G,M,United States of America,1.0,,4.0,623.0,Rochester,ID,5.0,242246.0
Jhc7517,Monsanto,Havgczldcpfmwfzj,79.0,367555.0,Jhcbaxyzijphmmvpampdgvgisnab,O,1-420-580-0795,s,S,United States of America,1.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,845.0,Garden Grove,TX,1.0,1217660.0
dbq7518,Newfield Exploration,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,36.0,106025.0,dbqcukoddoiwg,U,1-924-305-1666,l,M,United States of America,4.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,5.0,645.0,Tampa,New Brunswick,7.0,1229655.0
Xch7519,Loews,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,21.0,106690.0,Xchoxlbkffuvox,O,1-450-082-2122,,W,Canada,2.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,495.0,Fullerton,Alberta,1.0,1157831.0
oir7520,Apache,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,4.0,29373.0,oirfujtvl,O,1-573-009-1404,Z,M,Canada,2.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,371.0,Washington,PA,8.0,
Fqb7521,Robert Half International,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,72.0,168189.0,Fqbovz,R,1-603-897-9894,O,S,United States of America,2.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,3.0,462.0,Norfolk,Nova Scotia,1.0,
qex7522,Viacom,Rirmrpvlknyho,1.0,264756.0,qextfjyytqwbmdrlykbfnhvqrmota,U,1-947-161-6502,,S,United States of America,,Dmyivtczopuqajpnjqvvgbhxynvduub,,375.0,Sydney,RI,7.0,3467922.0
Hpi7523,Robert Half International,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,98.0,44480.0,Hpiedhvkedqqdxsoedt,U,1-586-826-9847,,S,Canada,1.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,2.0,516.0,Winnipeg,OR,10.0,46859.0
Fjd7524,CSX,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,35.0,87207.0,Fjdafgbcrml,R,1-217-243-2668,,,Canada,1.0,Esuycdxsjfbrqbtluspxsehk,5.0,703.0,Wilmington,CA,,2937668.0
Cgt7525,Country Financial Services,Rpzwirgfyiw,99.0,238434.0,Cgtcmbl,O,1-857-211-5728,,W,United States of America,4.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,2.0,734.0,El Monte,MO,7.0,2388613.0
Lwx7526,Procter & Gamble,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,49.0,,Lwxudfgcqawccntqaucdaeym,U,1-089-966-6281,,M,United States of America,0.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,2.0,469.0,Sterling Heights,Prince Edward Island,4.0,3116283.0
epy7527,Ingles Markets,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,72.0,391354.0,epyxtfsrijhddstgaxkbgmlayjtk,O,,,S,United States of America,3.0,vnyndcximwxhecv,0.0,595.0,Pembroke Pines,Quebec,2.0,2671950.0
Aff7528,Forest Laboratories,Acdrcqabtcdgmgl,41.0,419165.0,Affcha,O,1-231-342-6874,M,U,United States of America,3.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,0.0,410.0,Philadelphia,KS,1.0,3899593.0
mfc7529,Dentsply International,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,54.0,396509.0,mfcestd,O,,S,W,Canada,3.0,,2.0,475.0,Glendale,NV,10.0,2537332.0
Slf7530,RadioShack,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,11.0,145161.0,Slfbmvc,R,1-602-637-1838,S,,United States of America,0.0,GVSBHGBDDVJFNNOZNNPJWCOI,2.0,,El Monte,TN,2.0,733236.0
Cxu7531,Century Aluminum,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,0.0,263206.0,Cxuousxqyrfgjvpvuopyfguqva,O,1-003-982-8627,,W,United States of America,2.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,5.0,519.0,Warwick,WY,3.0,
GZO7532,,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,27.0,190371.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,U,1-136-358-6852,F,D,United States of America,3.0,BIQIOQOHLQSTBRUFOI,3.0,841.0,Milwaukee,British Columbia,5.0,3397276.0
DRW7533,FPL Group,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,95.0,203968.0,DRWTVTDSG,O,1-123-528-2965,A,U,United States of America,3.0,Llfaqkbemnoy,1.0,540.0,Phoenix,LA,6.0,2444257.0
set7534,Lockheed Martin,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,35.0,428323.0,setksinlvlrjwnfu,R,1-136-565-2501,N,U,United States of America,1.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,3.0,540.0,Anchorage,HI,10.0,71520.0
Pyo7535,Sanmina-SCI,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,96.0,159980.0,Pyoixliri,O,1-317-986-1984,,M,United States of America,4.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1.0,,Madison,NY,6.0,1911091.0
FSH7536,Iron Mountain,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,96.0,266852.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,O,1-265-603-1262,,W,Canada,0.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,424.0,Fontana,TX,6.0,988775.0
Tdx7537,OfficeMax,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,49.0,206973.0,Tdxyljuxporjhdumcvfmv,R,,,M,United States of America,5.0,,5.0,623.0,Charlotte,AZ,2.0,3919363.0
Sbn7538,AMR,XHQNMCEJKXOQYVSZVESLKC,,258221.0,Sbnxcsrozzcufdoyvckpplofysx,O,1-156-668-6882,O,S,Canada,5.0,atydogjpqphuwhegtbukkqiaeakrtrn,1.0,792.0,Richmond,ME,4.0,428918.0
Piq7539,Kohl's,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,27.0,428508.0,Piqizouhxiw,O,1-164-648-3203,C,S,United States of America,4.0,Hlotorcbtobuceb,4.0,718.0,Santa Clarita,NH,6.0,58134.0
IXD7540,Cigna,Toumjfbsumpgfuskpydjeibaxi,98.0,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,O,1-839-795-1027,,M,,4.0,gsrdigbqfwrahybxrtm,0.0,401.0,Yellow Knife,KY,6.0,3703767.0
wsn7541,West,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,58953.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,R,1-958-412-4252,,M,United States of America,4.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,5.0,557.0,Oxnard,Prince Edward Island,2.0,433859.0
Jkp7542,Monsanto,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,56.0,409682.0,Jkpmtcj,O,1-392-335-1020,A,W,United States of America,5.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,393.0,Huntington Beach,British Columbia,7.0,3002044.0
CCF7543,Reliant Energy,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,94.0,340191.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,1-912-050-7605,,M,United States of America,2.0,,4.0,557.0,Durham,CT,10.0,1124168.0
ylj7544,Idearc,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,98.0,238216.0,yljvuglvt,O,1-075-551-9919,,U,United States of America,4.0,RELJYREDKQEKGOORBLRKOUIC,5.0,465.0,Naperville,WA,5.0,2081541.0
ZBB7545,Neiman Marcus,hkyochorqgtokxgozmoncalaaiw,8.0,113171.0,ZBBXAWVJAAL,O,1-013-611-2674,V,M,Canada,0.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1.0,,Albuquerque,ND,6.0,1897076.0
fqe7546,O'Reilly Automotive,Datdnghoiymltcayulgkgxywi,90.0,234797.0,fqekemquvstw,,1-656-865-7544,,W,United States of America,5.0,Yewxbqpnfgh,,485.0,Newark,ID,10.0,235172.0
Wpw7547,Cliffs Natural Resources,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,34.0,225322.0,Wpwhilrlzng,,1-879-870-7379,,M,United States of America,4.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,2.0,303.0,Miami,Quebec,2.0,639573.0
vpz7548,Health Management Associates,,25.0,192689.0,vpzxgcwljllsq,O,1-366-625-9813,,W,Canada,1.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,2.0,846.0,London,ID,4.0,2667082.0
Yfz7549,Chevron,,50.0,348685.0,Yfzmtcvxc,O,1-359-462-7089,,,Canada,5.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,4.0,621.0,Worcester,AL,1.0,2598634.0
dou7550,Exide Technologies,,85.0,401229.0,douvwdwiwrxoivzaojazinrhswjv,O,,,D,United States of America,3.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,4.0,331.0,Jacksonville,UT,,1074671.0
FDJ7551,Convergys,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,60.0,38597.0,FDJOVRSOCWEIKZ,R,1-153-396-8333,,M,United States of America,5.0,hfuyqlsmbesrylepu,4.0,401.0,Nashua,MS,9.0,2272997.0
ufu7552,Dominion Resources,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,95.0,,ufutrfkevxnbupjcetrpltw,R,1-144-623-1308,,S,United States of America,2.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,644.0,Newport News,AK,0.0,702000.0
bbg7553,Sentry Insurance Group,NBSHKLXYVUUWXEQSGXR,8.0,161204.0,bbgzmquoeecumw,R,1-269-220-8046,H,M,United States of America,4.0,qgjnvpwvmgsqzcanzncon,1.0,769.0,Corona,VT,5.0,1289800.0
Znk7554,Cintas,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,31.0,202650.0,Znkkdbkvxcxeuackyodqlkpl,O,1-052-524-0130,v,M,,3.0,HNBGLUDIOAJRCCIXGDUQOO,4.0,481.0,Lincoln,LA,2.0,1007390.0
CGQ7555,Medtronic,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,51.0,,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,O,1-335-871-6660,T,U,Canada,1.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,2.0,732.0,Toronto,CT,7.0,124290.0
add7556,Pride International,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,24.0,492433.0,addxtssyhezwro,O,1-637-394-8083,,M,United States of America,4.0,dnlleihfh,4.0,802.0,Fayetteville,UT,2.0,1820002.0
Anw7557,A. Schulman,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,78.0,344858.0,Anwyusqezrjppzkaevffwljm,O,1-706-795-4208,J,M,Canada,2.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,4.0,329.0,Charlotte,IN,5.0,2200347.0
Hvt7558,Oneok,nqcozjievwzk,56.0,197290.0,Hvtanebvipbdd,R,1-622-347-5699,,W,United States of America,5.0,Wsjaujjdexc,0.0,839.0,Tulsa,WI,0.0,3669569.0
Yqj7559,Danaher,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,50.0,283654.0,Yqjaammjlhgpw,,1-042-017-9368,d,U,United States of America,2.0,Ojberg,,539.0,Winston-Salem,WA,,2140537.0
Ztn7560,Del Monte Foods,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,52.0,317423.0,Ztnstwpjxatqveppicohpzilnn,R,1-829-935-5979,,M,United States of America,4.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,5.0,561.0,Thousand Oaks,LA,4.0,3258909.0
bni7561,American Electric Power,Lfrjkyblujmbxigmylpsxieswspmei,14.0,399126.0,bnizllrrofn,O,1-076-726-5283,,W,United States of America,4.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,5.0,814.0,Lubbock,VT,2.0,1825422.0
swx7562,TJX,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,29.0,398180.0,swxorhmdydwbrtdqxroghsddlpbdgi,R,,,M,United States of America,5.0,Xwtkpxqgohxwxnv,0.0,305.0,Winnipeg,CT,7.0,1845263.0
DSA7563,Philip Morris International,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,50.0,,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,O,1-284-129-5920,P,S,United States of America,2.0,Qpvmtkxxfef,4.0,457.0,Laredo,RI,4.0,1463114.0
BXZ7564,Cincinnati Financial,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,67.0,485429.0,BXZUTWBUFSGPPXKR,O,1-128-308-8886,,U,United States of America,4.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1.0,349.0,Overland Park,SC,8.0,2354683.0
pcz7565,Stryker,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,22.0,118018.0,pczqycbwefse,O,1-145-469-5971,,M,United States of America,2.0,KRYAIAJGKHBKXBLC,0.0,590.0,Calgary,British Columbia,0.0,436677.0
Zqa7566,Kansas City Southern,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,20.0,309693.0,Zqaknviqngvemehvpzrcgkcvre,O,1-727-684-7767,,U,United States of America,5.0,,4.0,533.0,Peoria,CO,0.0,2383335.0
Htl7567,IDT,IBQIDE,75.0,90718.0,Htltlfnvjctvvdvulpkhcbyfi,O,1-776-201-2472,z,W,Canada,4.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,0.0,686.0,Durham,TN,9.0,2574739.0
afw7568,Vornado Realty Trust,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,60.0,280645.0,afwafvxxdr,O,1-767-942-1278,L,U,United States of America,2.0,VBDCWYVK,0.0,582.0,Pueblo,CA,10.0,1596838.0
Wna7569,Dollar General,Lrebujnrg,,231559.0,Wnakgzhqfhtavtvegjtdmdosnjr,O,1-723-062-7266,,S,United States of America,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,4.0,807.0,Las Cruces,WY,0.0,591965.0
Mlh7570,Safeway,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,48.0,36898.0,Mlheqxaigtvjaynkffyqkpu,O,,,S,United States of America,3.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,5.0,819.0,Chula Vista,SD,3.0,3071440.0
Gor7571,Apache,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,91.0,396786.0,Gorjnqxjtefmomsbmtnogaerx,R,1-145-314-0862,,M,United States of America,2.0,Gwxymofcy,0.0,311.0,San Diego,British Columbia,5.0,2683081.0
ENX7572,Lowe's,Hxutrprq,98.0,344365.0,ENXOMNHFVPYQSABETPUEKRKCL,O,1-735-104-7772,,U,United States of America,2.0,Qynjnmfgwxpmrw,5.0,734.0,Chicago,NJ,3.0,3850483.0
fgr7573,Lithia Motors,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,51.0,1205.0,fgrdzzudzmwlluff,O,,,W,United States of America,4.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1.0,432.0,Worcester,AK,1.0,1870617.0
Ysh7574,CH2M Hill,JRHXPUUHAFHDPF,22.0,276666.0,Yshzkx,O,1-518-116-1411,a,S,United States of America,5.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,0.0,394.0,Honolulu,OH,3.0,1249534.0
Mos7575,Tellabs,yvntcqjqqmbftwetvbqgclcdbxspvk,57.0,497953.0,Mosqjrkdycyygfsljqadgfqoldb,O,1-696-359-4829,I,U,United States of America,0.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,0.0,658.0,Albuquerque,New Brunswick,1.0,3789880.0
czu7576,Phillips-Van Heusen,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,38.0,156048.0,czuvw,O,1-352-678-5471,,M,Canada,1.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,2.0,348.0,Oakland,IL,3.0,3874445.0
Ghr7577,Wells Fargo,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,68.0,63617.0,Ghrlcuscpesuzsdwqfwwbgh,O,1-906-600-9749,Z,M,United States of America,1.0,BESJDYZDIOIXKDFEHBQXBPW,5.0,598.0,Billings,AZ,8.0,437353.0
Rwk7578,Vornado Realty Trust,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,93.0,244849.0,Rwkdeshuwhwvmvmdnckmuvdt,O,1-093-018-2851,,U,United States of America,2.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,2.0,505.0,Pueblo,NY,9.0,2669917.0
Uwi7579,New York Times,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,48.0,123585.0,Uwinnbtdd,R,1-302-096-9321,,S,United States of America,4.0,Ivwhotvobwkshcixclfobqoljlaqohw,3.0,839.0,Sherbrooke,WA,7.0,1466537.0
VXZ7580,Adobe Systems,CYQWJKJB,96.0,391134.0,VXZTLDNZPYIFIKTIJRXS,U,1-915-044-3154,,S,United States of America,1.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1.0,672.0,Sacramento,GA,2.0,991860.0
Ayk7581,Valmont Industries,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,58.0,426759.0,Aykkkc,O,1-040-274-3474,p,M,United States of America,5.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,5.0,696.0,Charlotte,AZ,3.0,
lho7582,UAL,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,63.0,451737.0,lhodktal,O,1-678-397-2739,,W,United States of America,5.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,3.0,448.0,El Paso,NV,5.0,1816368.0
rzi7583,AFLAC,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,18.0,180822.0,rziprpcfwnirtuvrbfnuepq,O,1-679-345-9939,,S,United States of America,2.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,1.0,549.0,Mesa,TN,9.0,565246.0
Wds7584,VeraSun Energy,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,40.0,205843.0,Wdsuorykxmvfxupyyjl,O,1-093-616-0613,,W,United States of America,4.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,2.0,705.0,Simi Valley,AL,0.0,1899339.0
Xsj7585,Magellan Health Services,ccfzcxohrhrcnypedmhjovjyjrxi,29.0,470985.0,Xsjypvyfoqbiq,O,1-546-131-8988,f,M,United States of America,4.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,3.0,387.0,St. Catharines,TX,6.0,3873239.0
Lux7586,Emcor Group,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,21.0,318225.0,Luxkby,,1-477-186-7432,v,U,United States of America,2.0,Nhgrkzjzcrjcerkwrugwul,1.0,359.0,Washington,WV,7.0,767547.0
wxw7587,Peabody Energy,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,41.0,326044.0,wxwhwasadsmxchyhlgrvnurte,O,1-965-848-6954,,M,Canada,2.0,,2.0,494.0,Chula Vista,ND,9.0,1027999.0
