gncd,pstlcd,ddrssln2,nmbrcrs,frstnm,wnrrntflg,ncm,mrtlstts,lstnm,mddlntl,ddrssln1,stt,phn,mplr,nmbrcrdtcrds,nmbrchldrn,g,crdtrtng,ntwrth
Piq7539,Oktkljv,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,4.0,Plywuoa,O,428508.0,S,Piqizouhxiw,C,Hlotorcbtobuceb,NH,1-164-648-3203,Kohl's,6.0,4.0,27.0,718.0,58134.0
IXD7540,,Toumjfbsumpgfuskpydjeibaxi,4.0,zfcwsxpjzyqelkxg,O,,M,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,gsrdigbqfwrahybxrtm,KY,1-839-795-1027,Cigna,6.0,0.0,98.0,401.0,3703767.0
wsn7541,GXFLSISZUY,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,4.0,Yxvczhqjwgnhowiu,R,58953.0,M,wsnjomkxbtybfnmtcjhvmblfwamnwd,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Prince Edward Island,1-958-412-4252,West,2.0,5.0,,557.0,433859.0
Jkp7542,gzexcrngivl,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,5.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,O,409682.0,W,Jkpmtcj,A,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,British Columbia,1-392-335-1020,Monsanto,7.0,5.0,56.0,393.0,3002044.0
CCF7543,yzoikhwrd,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,2.0,Vfrdst,,340191.0,M,CCFFVCOHCLUUXZIQTCFCUHEYN,,,CT,1-912-050-7605,Reliant Energy,10.0,4.0,94.0,557.0,1124168.0
ylj7544,Gdbktega,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,4.0,Hqcswumjvwbemosmy,O,238216.0,U,yljvuglvt,,RELJYREDKQEKGOORBLRKOUIC,WA,1-075-551-9919,Idearc,5.0,5.0,98.0,465.0,2081541.0
ZBB7545,Kdcqzpvf,hkyochorqgtokxgozmoncalaaiw,0.0,Ectbhkmbvwkwdbn,O,113171.0,M,ZBBXAWVJAAL,V,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ND,1-013-611-2674,Neiman Marcus,6.0,1.0,8.0,,1897076.0
fqe7546,Tbwgwtmgcu,Datdnghoiymltcayulgkgxywi,5.0,Bdbgqpllbnrmiirpct,,234797.0,W,fqekemquvstw,,Yewxbqpnfgh,ID,1-656-865-7544,O'Reilly Automotive,10.0,,90.0,485.0,235172.0
Wpw7547,Mwmfs,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,4.0,Ftszluaxcsoxdfbmdd,,225322.0,M,Wpwhilrlzng,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Quebec,1-879-870-7379,Cliffs Natural Resources,2.0,2.0,34.0,303.0,639573.0
vpz7548,goelqgcts,,1.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,O,192689.0,W,vpzxgcwljllsq,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,ID,1-366-625-9813,Health Management Associates,4.0,2.0,25.0,846.0,2667082.0
Yfz7549,ucwygjzs,,5.0,Kkiolpmrgzmnjanqc,O,348685.0,,Yfzmtcvxc,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,AL,1-359-462-7089,Chevron,1.0,4.0,50.0,621.0,2598634.0
dou7550,fjlfqftwg,,3.0,unzegilpp,O,401229.0,D,douvwdwiwrxoivzaojazinrhswjv,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,UT,,Exide Technologies,,4.0,85.0,331.0,1074671.0
FDJ7551,Tocujgaiaq,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,5.0,xetqkitwlh,R,38597.0,M,FDJOVRSOCWEIKZ,,hfuyqlsmbesrylepu,MS,1-153-396-8333,Convergys,9.0,4.0,60.0,401.0,2272997.0
ufu7552,kurjmmgixxfd,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,2.0,TWRRGULRYKYUWZYBQQFMIFFKVK,R,,S,ufutrfkevxnbupjcetrpltw,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,AK,1-144-623-1308,Dominion Resources,0.0,2.0,95.0,644.0,702000.0
bbg7553,cnsavindoi,NBSHKLXYVUUWXEQSGXR,4.0,Yqfljvgkfucafpjpamdtcppiipc,R,161204.0,M,bbgzmquoeecumw,H,qgjnvpwvmgsqzcanzncon,VT,1-269-220-8046,Sentry Insurance Group,5.0,1.0,8.0,769.0,1289800.0
Znk7554,MQBSAUVQRPYE,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,3.0,mjeasoritwctufyojamzbeeoo,O,202650.0,M,Znkkdbkvxcxeuackyodqlkpl,v,HNBGLUDIOAJRCCIXGDUQOO,LA,1-052-524-0130,Cintas,2.0,4.0,31.0,481.0,1007390.0
CGQ7555,vadbnvz,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,1.0,Udxaujgiratgthwkvdibgvwfo,O,,U,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,T,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CT,1-335-871-6660,Medtronic,7.0,2.0,51.0,732.0,124290.0
add7556,Ljurvnigr,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,4.0,GHFUKZPOKMXWZF,O,492433.0,M,addxtssyhezwro,,dnlleihfh,UT,1-637-394-8083,Pride International,2.0,4.0,24.0,802.0,1820002.0
Anw7557,BQDMQVFTNBRJ,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,2.0,ybtkiifyhbgchnuctnhnqspk,O,344858.0,M,Anwyusqezrjppzkaevffwljm,J,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,IN,1-706-795-4208,A. Schulman,5.0,4.0,78.0,329.0,2200347.0
Hvt7558,jkcul,nqcozjievwzk,5.0,Fhkymmgjsbmpduuffgavhfcxm,R,197290.0,W,Hvtanebvipbdd,,Wsjaujjdexc,WI,1-622-347-5699,Oneok,0.0,0.0,56.0,839.0,3669569.0
Yqj7559,Nelny,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,2.0,DEZDTMSMWKALBRPALCFIME,,283654.0,U,Yqjaammjlhgpw,d,Ojberg,WA,1-042-017-9368,Danaher,,,50.0,539.0,2140537.0
Ztn7560,Qsggz,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,4.0,phoxfeiqoldgmnojmzunmargkla,R,317423.0,M,Ztnstwpjxatqveppicohpzilnn,,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,LA,1-829-935-5979,Del Monte Foods,4.0,5.0,52.0,561.0,3258909.0
bni7561,Drofa,Lfrjkyblujmbxigmylpsxieswspmei,4.0,Upuabfflh,O,399126.0,W,bnizllrrofn,,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,VT,1-076-726-5283,American Electric Power,2.0,5.0,14.0,814.0,1825422.0
swx7562,Ssovhtmt,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,5.0,owagfolbfwjzeg,R,398180.0,M,swxorhmdydwbrtdqxroghsddlpbdgi,,Xwtkpxqgohxwxnv,CT,,TJX,7.0,0.0,29.0,305.0,1845263.0
DSA7563,Tnprhljfrlj,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,2.0,Qdmppehqxloc,O,,S,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,P,Qpvmtkxxfef,RI,1-284-129-5920,Philip Morris International,4.0,4.0,50.0,457.0,1463114.0
BXZ7564,Bkxujhonjgjk,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,4.0,jqbetxkci,O,485429.0,U,BXZUTWBUFSGPPXKR,,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,SC,1-128-308-8886,Cincinnati Financial,8.0,1.0,67.0,349.0,2354683.0
pcz7565,mrjrjhgnwcdu,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,2.0,Wsmywgbvwspgdwhmdxsqjwqb,O,118018.0,M,pczqycbwefse,,KRYAIAJGKHBKXBLC,British Columbia,1-145-469-5971,Stryker,0.0,0.0,22.0,590.0,436677.0
Zqa7566,Yusezkfgs,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,5.0,ocgwi,O,309693.0,U,Zqaknviqngvemehvpzrcgkcvre,,,CO,1-727-684-7767,Kansas City Southern,0.0,4.0,20.0,533.0,2383335.0
Htl7567,RKXTQAO,IBQIDE,4.0,Pcotdnngmurhkcd,O,90718.0,W,Htltlfnvjctvvdvulpkhcbyfi,z,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,TN,1-776-201-2472,IDT,9.0,0.0,75.0,686.0,2574739.0
afw7568,UBQSATXZO,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,2.0,bvcosqzcleknjzvkygbawlc,O,280645.0,U,afwafvxxdr,L,VBDCWYVK,CA,1-767-942-1278,Vornado Realty Trust,10.0,0.0,60.0,582.0,1596838.0
Wna7569,BHRNWQLFVFA,Lrebujnrg,,ECLENELTSXGTNWOP,O,231559.0,S,Wnakgzhqfhtavtvegjtdmdosnjr,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,WY,1-723-062-7266,Dollar General,0.0,4.0,,807.0,591965.0
Mlh7570,Ktmzav,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3.0,Xdwexmrjat,O,36898.0,S,Mlheqxaigtvjaynkffyqkpu,,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,SD,,Safeway,3.0,5.0,48.0,819.0,3071440.0
Gor7571,Nfpchgfj,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,2.0,xjwnvwdryqpcehelwzfhkkiuus,R,396786.0,M,Gorjnqxjtefmomsbmtnogaerx,,Gwxymofcy,British Columbia,1-145-314-0862,Apache,5.0,0.0,91.0,311.0,2683081.0
ENX7572,Wuywecohosfi,Hxutrprq,2.0,RNBABCYAFMQPBOHXNUXMXNU,O,344365.0,U,ENXOMNHFVPYQSABETPUEKRKCL,,Qynjnmfgwxpmrw,NJ,1-735-104-7772,Lowe's,3.0,5.0,98.0,734.0,3850483.0
fgr7573,tibxlojrqiha,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,4.0,Eyrtrqkljywvbcice,O,1205.0,W,fgrdzzudzmwlluff,,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,AK,,Lithia Motors,1.0,1.0,51.0,432.0,1870617.0
Ysh7574,ogmes,JRHXPUUHAFHDPF,5.0,Opybrukftspofebjmspkjsgtobzsp,O,276666.0,S,Yshzkx,a,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,OH,1-518-116-1411,CH2M Hill,3.0,0.0,22.0,394.0,1249534.0
Mos7575,JUBKXDKP,yvntcqjqqmbftwetvbqgclcdbxspvk,0.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,O,497953.0,U,Mosqjrkdycyygfsljqadgfqoldb,I,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,New Brunswick,1-696-359-4829,Tellabs,1.0,0.0,57.0,658.0,3789880.0
czu7576,Xbgykqm,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,1.0,kpofwgtomgijnm,O,156048.0,M,czuvw,,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,IL,1-352-678-5471,Phillips-Van Heusen,3.0,2.0,38.0,348.0,3874445.0
Ghr7577,NNCXIBTCXZA,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,1.0,Biflzgcqpqpbahquomftmjffohpwuy,O,63617.0,M,Ghrlcuscpesuzsdwqfwwbgh,Z,BESJDYZDIOIXKDFEHBQXBPW,AZ,1-906-600-9749,Wells Fargo,8.0,5.0,68.0,598.0,437353.0
Rwk7578,mfwuio,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,2.0,ybdlwlwxispyswbiegrbsqqtywxr,O,244849.0,U,Rwkdeshuwhwvmvmdnckmuvdt,,Ouopoqztakszwsfkthdbwndfjuqaelyd,NY,1-093-018-2851,Vornado Realty Trust,9.0,2.0,93.0,505.0,2669917.0
Uwi7579,Utgwrun,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,4.0,Capzcewdt,R,123585.0,S,Uwinnbtdd,,Ivwhotvobwkshcixclfobqoljlaqohw,WA,1-302-096-9321,New York Times,7.0,3.0,48.0,839.0,1466537.0
VXZ7580,Wgulrhctjlg,CYQWJKJB,1.0,XKBLVBCCYKMIXABVTOTVPZCJRII,U,391134.0,S,VXZTLDNZPYIFIKTIJRXS,,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,GA,1-915-044-3154,Adobe Systems,2.0,1.0,96.0,672.0,991860.0
