prospect_FirstName,prospect_Country,prospect_NumberChildren,prospect_NumberCreditCards,prospect_Age,prospect_CreditRating,prospect_PostalCode,prospect_Phone,prospect_MiddleInitial,prospect_NumberCars,prospect_OwnOrRentFlag,prospect_AgencyID,prospect_AddressLine1,prospect_Employer,prospect_Gender,prospect_AddressLine2,prospect_LastName,prospect_City,prospect_MaritalStatus,prospect_Income,prospect_State,prospect_NetWorth
Zaijioc,United States of America,1.0,3.0,72.0,,NCEVKLQEEWTA,,,5.0,O,dgc7511,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Interstate Bakeries,m,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,dgcnbxfhc,Greensboro,M,210038.0,Saskatchewan,490443.0
Mdwdjpdfmbqjaygkfqzqx,Canada,5.0,9.0,40.0,318.0,DODDIDDHXS,1-268-630-3843,,4.0,O,lql7512,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,eBay,,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,lqlslgqsvyfxqnzuwbfg,Concord,M,307402.0,NE,3348923.0
Ccbccgvldfvoqtzestvkwunn,United States of America,1.0,4.0,8.0,613.0,Oqnzttrldq,1-915-548-9541,,4.0,R,Wsk7513,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Boise,m,ucxdpiwilpxxhv,Wskjvrujdwku,Colorado Springs,D,,AR,331799.0
nyakrhdyxravdnhgbtol,,1.0,4.0,10.0,786.0,Lwbawk,1-536-880-0961,v,4.0,R,Ffs7514,,MDU Resources Group,,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Ffshsiomkzjonhxjhunfsao,Mobile,U,432425.0,IL,1167013.0
NDNBTVCLKSC,United States of America,3.0,10.0,24.0,,Ppsrzjdtg,1-494-335-6022,F,0.0,O,Kvv7515,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Freescale Semiconductor,,,Kvvverfkpazpzzkrqniixrhnw,Thousand Oaks,U,122041.0,VA,3960216.0
Zmstbluqkipzaojfsomtbdddguq,United States of America,4.0,5.0,18.0,623.0,,1-814-158-3550,G,1.0,O,mpz7516,,Superior Energy Services,f,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,mpzqnwnrmaozfsstcqtrc,Rochester,M,302205.0,ID,242246.0
dpqgvuaoijmkxsesvililpxcrwqe,United States of America,1.0,1.0,79.0,845.0,,1-420-580-0795,s,1.0,O,Jhc7517,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Monsanto,F,Havgczldcpfmwfzj,Jhcbaxyzijphmmvpampdgvgisnab,Garden Grove,S,367555.0,TX,1217660.0
IHUGYGSRDWILVOFBAKUR,United States of America,5.0,7.0,36.0,645.0,Rxdsunq,1-924-305-1666,l,4.0,U,dbq7518,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Newfield Exploration,M,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,dbqcukoddoiwg,Tampa,M,106025.0,New Brunswick,1229655.0
aefotdcronamhkzsfpvifmobgchmsp,Canada,2.0,1.0,21.0,495.0,JXHVEEOU,1-450-082-2122,,2.0,O,Xch7519,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Loews,m,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Xchoxlbkffuvox,Fullerton,W,106690.0,Alberta,1157831.0
jdeyqkerjerjpht,Canada,2.0,8.0,4.0,371.0,XHJQCDPOO,1-573-009-1404,Z,2.0,O,oir7520,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,Apache,m,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,oirfujtvl,Washington,M,29373.0,PA,
Lwihnxoihqqrvjydsijd,United States of America,3.0,1.0,72.0,462.0,rapkjpmvp,1-603-897-9894,O,2.0,R,Fqb7521,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Robert Half International,M,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Fqbovz,Norfolk,S,168189.0,Nova Scotia,
nmnervucuk,United States of America,,7.0,1.0,375.0,Slskxm,1-947-161-6502,,,U,qex7522,Dmyivtczopuqajpnjqvvgbhxynvduub,Viacom,,Rirmrpvlknyho,qextfjyytqwbmdrlykbfnhvqrmota,Sydney,S,264756.0,RI,3467922.0
hgjkxxbf,Canada,2.0,10.0,98.0,516.0,FXHXLG,1-586-826-9847,,1.0,U,Hpi7523,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Robert Half International,,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Hpiedhvkedqqdxsoedt,Winnipeg,S,44480.0,OR,46859.0
Zangtryzlhmxo,Canada,5.0,,35.0,703.0,ovlziicdezok,1-217-243-2668,,1.0,R,Fjd7524,Esuycdxsjfbrqbtluspxsehk,CSX,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Fjdafgbcrml,Wilmington,,87207.0,CA,2937668.0
FFJGEQD,United States of America,2.0,7.0,99.0,734.0,jsxcpvao,1-857-211-5728,,4.0,O,Cgt7525,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,Country Financial Services,,Rpzwirgfyiw,Cgtcmbl,El Monte,W,238434.0,MO,2388613.0
Pdcxrihnl,United States of America,2.0,4.0,49.0,469.0,Ykerbceq,1-089-966-6281,,0.0,U,Lwx7526,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Procter & Gamble,M,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Lwxudfgcqawccntqaucdaeym,Sterling Heights,M,,Prince Edward Island,3116283.0
Zckhcacwaelzutaodqalxyjrkh,United States of America,0.0,2.0,72.0,595.0,VVMSNWEBT,,,3.0,O,epy7527,vnyndcximwxhecv,Ingles Markets,,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,epyxtfsrijhddstgaxkbgmlayjtk,Pembroke Pines,S,391354.0,Quebec,2671950.0
sqrosgqnpifxjx,United States of America,0.0,1.0,41.0,410.0,bibueqwbejem,1-231-342-6874,M,3.0,O,Aff7528,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Forest Laboratories,m,Acdrcqabtcdgmgl,Affcha,Philadelphia,U,419165.0,KS,3899593.0
Erqzkkllazeobgthnmgsbtj,Canada,2.0,10.0,54.0,475.0,gehpynlk,,S,3.0,O,mfc7529,,Dentsply International,,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,mfcestd,Glendale,W,396509.0,NV,2537332.0
Lcziayaozecoqqluasolkmmcldm,United States of America,2.0,2.0,11.0,,Piwlxtg,1-602-637-1838,S,0.0,R,Slf7530,GVSBHGBDDVJFNNOZNNPJWCOI,RadioShack,,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,Slfbmvc,El Monte,,145161.0,TN,733236.0
Gcnczmuxviqaxtsdzmzhtro,United States of America,5.0,3.0,0.0,519.0,Ujlshmosjkid,1-003-982-8627,,2.0,O,Cxu7531,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Century Aluminum,,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Cxuousxqyrfgjvpvuopyfguqva,Warwick,W,263206.0,WY,
Rsoobsqytvjycob,United States of America,3.0,5.0,27.0,841.0,cwburwnupuj,1-136-358-6852,F,3.0,U,GZO7532,BIQIOQOHLQSTBRUFOI,,,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,Milwaukee,D,190371.0,British Columbia,3397276.0
Pjvadgt,United States of America,1.0,6.0,95.0,540.0,CNEZMHTKIAEV,1-123-528-2965,A,3.0,O,DRW7533,Llfaqkbemnoy,FPL Group,,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,DRWTVTDSG,Phoenix,U,203968.0,LA,2444257.0
GUBKOKITTSKVYM,United States of America,3.0,10.0,35.0,540.0,kixvppuqtd,1-136-565-2501,N,1.0,R,set7534,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,Lockheed Martin,f,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,setksinlvlrjwnfu,Anchorage,U,428323.0,HI,71520.0
NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,United States of America,1.0,6.0,96.0,,jrhynxfi,1-317-986-1984,,4.0,O,Pyo7535,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Sanmina-SCI,,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Pyoixliri,Madison,M,159980.0,NY,1911091.0
Kuteauo,Canada,0.0,6.0,96.0,424.0,dnhtjyu,1-265-603-1262,,0.0,O,FSH7536,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Iron Mountain,M,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,Fontana,W,266852.0,TX,988775.0
Hkfofpndygljbeo,United States of America,5.0,2.0,49.0,623.0,YKOVOTYB,,,5.0,R,Tdx7537,,OfficeMax,,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Tdxyljuxporjhdumcvfmv,Charlotte,M,206973.0,AZ,3919363.0
Kengxgsu,Canada,1.0,4.0,,792.0,WNNMWJ,1-156-668-6882,O,5.0,O,Sbn7538,atydogjpqphuwhegtbukkqiaeakrtrn,AMR,,XHQNMCEJKXOQYVSZVESLKC,Sbnxcsrozzcufdoyvckpplofysx,Richmond,S,258221.0,ME,428918.0
Plywuoa,United States of America,4.0,6.0,27.0,718.0,Oktkljv,1-164-648-3203,C,4.0,O,Piq7539,Hlotorcbtobuceb,Kohl's,f,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Piqizouhxiw,Santa Clarita,S,428508.0,NH,58134.0
zfcwsxpjzyqelkxg,,0.0,6.0,98.0,401.0,,1-839-795-1027,,4.0,O,IXD7540,gsrdigbqfwrahybxrtm,Cigna,M,Toumjfbsumpgfuskpydjeibaxi,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,Yellow Knife,M,,KY,3703767.0
Yxvczhqjwgnhowiu,United States of America,5.0,2.0,,557.0,GXFLSISZUY,1-958-412-4252,,4.0,R,wsn7541,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,West,,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,wsnjomkxbtybfnmtcjhvmblfwamnwd,Oxnard,M,58953.0,Prince Edward Island,433859.0
Grkknjyfgbhtyrhxzeaoeoyirwfa,United States of America,5.0,7.0,56.0,393.0,gzexcrngivl,1-392-335-1020,A,5.0,O,Jkp7542,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Monsanto,M,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Jkpmtcj,Huntington Beach,W,409682.0,British Columbia,3002044.0
Vfrdst,United States of America,4.0,10.0,94.0,557.0,yzoikhwrd,1-912-050-7605,,2.0,,CCF7543,,Reliant Energy,M,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,CCFFVCOHCLUUXZIQTCFCUHEYN,Durham,M,340191.0,CT,1124168.0
Hqcswumjvwbemosmy,United States of America,5.0,5.0,98.0,465.0,Gdbktega,1-075-551-9919,,4.0,O,ylj7544,RELJYREDKQEKGOORBLRKOUIC,Idearc,,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,yljvuglvt,Naperville,U,238216.0,WA,2081541.0
Ectbhkmbvwkwdbn,Canada,1.0,6.0,8.0,,Kdcqzpvf,1-013-611-2674,V,0.0,O,ZBB7545,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Neiman Marcus,F,hkyochorqgtokxgozmoncalaaiw,ZBBXAWVJAAL,Albuquerque,M,113171.0,ND,1897076.0
Bdbgqpllbnrmiirpct,United States of America,,10.0,90.0,485.0,Tbwgwtmgcu,1-656-865-7544,,5.0,,fqe7546,Yewxbqpnfgh,O'Reilly Automotive,m,Datdnghoiymltcayulgkgxywi,fqekemquvstw,Newark,W,234797.0,ID,235172.0
Ftszluaxcsoxdfbmdd,United States of America,2.0,2.0,34.0,303.0,Mwmfs,1-879-870-7379,,4.0,,Wpw7547,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Cliffs Natural Resources,,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Wpwhilrlzng,Miami,M,225322.0,Quebec,639573.0
Qrdnpjquwnixfocqhsrlkcxmelwijl,Canada,2.0,4.0,25.0,846.0,goelqgcts,1-366-625-9813,,1.0,O,vpz7548,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,Health Management Associates,,,vpzxgcwljllsq,London,W,192689.0,ID,2667082.0
Kkiolpmrgzmnjanqc,Canada,4.0,1.0,50.0,621.0,ucwygjzs,1-359-462-7089,,5.0,O,Yfz7549,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Chevron,,,Yfzmtcvxc,Worcester,,348685.0,AL,2598634.0
unzegilpp,United States of America,4.0,,85.0,331.0,fjlfqftwg,,,3.0,O,dou7550,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,Exide Technologies,,,douvwdwiwrxoivzaojazinrhswjv,Jacksonville,D,401229.0,UT,1074671.0
xetqkitwlh,United States of America,4.0,9.0,60.0,401.0,Tocujgaiaq,1-153-396-8333,,5.0,R,FDJ7551,hfuyqlsmbesrylepu,Convergys,M,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,FDJOVRSOCWEIKZ,Nashua,M,38597.0,MS,2272997.0
TWRRGULRYKYUWZYBQQFMIFFKVK,United States of America,2.0,0.0,95.0,644.0,kurjmmgixxfd,1-144-623-1308,,2.0,R,ufu7552,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,Dominion Resources,,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,ufutrfkevxnbupjcetrpltw,Newport News,S,,AK,702000.0
Yqfljvgkfucafpjpamdtcppiipc,United States of America,1.0,5.0,8.0,769.0,cnsavindoi,1-269-220-8046,H,4.0,R,bbg7553,qgjnvpwvmgsqzcanzncon,Sentry Insurance Group,m,NBSHKLXYVUUWXEQSGXR,bbgzmquoeecumw,Corona,M,161204.0,VT,1289800.0
mjeasoritwctufyojamzbeeoo,,4.0,2.0,31.0,481.0,MQBSAUVQRPYE,1-052-524-0130,v,3.0,O,Znk7554,HNBGLUDIOAJRCCIXGDUQOO,Cintas,f,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Znkkdbkvxcxeuackyodqlkpl,Lincoln,M,202650.0,LA,1007390.0
Udxaujgiratgthwkvdibgvwfo,Canada,2.0,7.0,51.0,732.0,vadbnvz,1-335-871-6660,T,1.0,O,CGQ7555,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Medtronic,F,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,Toronto,U,,CT,124290.0
GHFUKZPOKMXWZF,United States of America,4.0,2.0,24.0,802.0,Ljurvnigr,1-637-394-8083,,4.0,O,add7556,dnlleihfh,Pride International,,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,addxtssyhezwro,Fayetteville,M,492433.0,UT,1820002.0
ybtkiifyhbgchnuctnhnqspk,Canada,4.0,5.0,78.0,329.0,BQDMQVFTNBRJ,1-706-795-4208,J,2.0,O,Anw7557,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,A. Schulman,,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Anwyusqezrjppzkaevffwljm,Charlotte,M,344858.0,IN,2200347.0
Fhkymmgjsbmpduuffgavhfcxm,United States of America,0.0,0.0,56.0,839.0,jkcul,1-622-347-5699,,5.0,R,Hvt7558,Wsjaujjdexc,Oneok,m,nqcozjievwzk,Hvtanebvipbdd,Tulsa,W,197290.0,WI,3669569.0
DEZDTMSMWKALBRPALCFIME,United States of America,,,50.0,539.0,Nelny,1-042-017-9368,d,2.0,,Yqj7559,Ojberg,Danaher,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Yqjaammjlhgpw,Winston-Salem,U,283654.0,WA,2140537.0
phoxfeiqoldgmnojmzunmargkla,United States of America,5.0,4.0,52.0,561.0,Qsggz,1-829-935-5979,,4.0,R,Ztn7560,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Del Monte Foods,F,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Ztnstwpjxatqveppicohpzilnn,Thousand Oaks,M,317423.0,LA,3258909.0
Upuabfflh,United States of America,5.0,2.0,14.0,814.0,Drofa,1-076-726-5283,,4.0,O,bni7561,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,American Electric Power,F,Lfrjkyblujmbxigmylpsxieswspmei,bnizllrrofn,Lubbock,W,399126.0,VT,1825422.0
owagfolbfwjzeg,United States of America,0.0,7.0,29.0,305.0,Ssovhtmt,,,5.0,R,swx7562,Xwtkpxqgohxwxnv,TJX,,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,swxorhmdydwbrtdqxroghsddlpbdgi,Winnipeg,M,398180.0,CT,1845263.0
Qdmppehqxloc,United States of America,4.0,4.0,50.0,457.0,Tnprhljfrlj,1-284-129-5920,P,2.0,O,DSA7563,Qpvmtkxxfef,Philip Morris International,f,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Laredo,S,,RI,1463114.0
jqbetxkci,United States of America,1.0,8.0,67.0,349.0,Bkxujhonjgjk,1-128-308-8886,,4.0,O,BXZ7564,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Cincinnati Financial,,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,BXZUTWBUFSGPPXKR,Overland Park,U,485429.0,SC,2354683.0
Wsmywgbvwspgdwhmdxsqjwqb,United States of America,0.0,0.0,22.0,590.0,mrjrjhgnwcdu,1-145-469-5971,,2.0,O,pcz7565,KRYAIAJGKHBKXBLC,Stryker,,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,pczqycbwefse,Calgary,M,118018.0,British Columbia,436677.0
ocgwi,United States of America,4.0,0.0,20.0,533.0,Yusezkfgs,1-727-684-7767,,5.0,O,Zqa7566,,Kansas City Southern,m,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Zqaknviqngvemehvpzrcgkcvre,Peoria,U,309693.0,CO,2383335.0
Pcotdnngmurhkcd,Canada,0.0,9.0,75.0,686.0,RKXTQAO,1-776-201-2472,z,4.0,O,Htl7567,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,IDT,,IBQIDE,Htltlfnvjctvvdvulpkhcbyfi,Durham,W,90718.0,TN,2574739.0
bvcosqzcleknjzvkygbawlc,United States of America,0.0,10.0,60.0,582.0,UBQSATXZO,1-767-942-1278,L,2.0,O,afw7568,VBDCWYVK,Vornado Realty Trust,F,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,afwafvxxdr,Pueblo,U,280645.0,CA,1596838.0
ECLENELTSXGTNWOP,United States of America,4.0,0.0,,807.0,BHRNWQLFVFA,1-723-062-7266,,,O,Wna7569,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Dollar General,,Lrebujnrg,Wnakgzhqfhtavtvegjtdmdosnjr,Las Cruces,S,231559.0,WY,591965.0
Xdwexmrjat,United States of America,5.0,3.0,48.0,819.0,Ktmzav,,,3.0,O,Mlh7570,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Safeway,,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Mlheqxaigtvjaynkffyqkpu,Chula Vista,S,36898.0,SD,3071440.0
xjwnvwdryqpcehelwzfhkkiuus,United States of America,0.0,5.0,91.0,311.0,Nfpchgfj,1-145-314-0862,,2.0,R,Gor7571,Gwxymofcy,Apache,,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Gorjnqxjtefmomsbmtnogaerx,San Diego,M,396786.0,British Columbia,2683081.0
RNBABCYAFMQPBOHXNUXMXNU,United States of America,5.0,3.0,98.0,734.0,Wuywecohosfi,1-735-104-7772,,2.0,O,ENX7572,Qynjnmfgwxpmrw,Lowe's,f,Hxutrprq,ENXOMNHFVPYQSABETPUEKRKCL,Chicago,U,344365.0,NJ,3850483.0
Eyrtrqkljywvbcice,United States of America,1.0,1.0,51.0,432.0,tibxlojrqiha,,,4.0,O,fgr7573,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,Lithia Motors,,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,fgrdzzudzmwlluff,Worcester,W,1205.0,AK,1870617.0
Opybrukftspofebjmspkjsgtobzsp,United States of America,0.0,3.0,22.0,394.0,ogmes,1-518-116-1411,a,5.0,O,Ysh7574,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,CH2M Hill,m,JRHXPUUHAFHDPF,Yshzkx,Honolulu,S,276666.0,OH,1249534.0
