prospect_AgencyID,prospect_AddressLine2,prospect_AddressLine1,prospect_OwnOrRentFlag,prospect_NumberCreditCards,prospect_State,prospect_Gender,prospect_MiddleInitial,prospect_Age,prospect_Phone,prospect_Employer,prospect_Income,prospect_NumberCars,prospect_NumberChildren,prospect_MaritalStatus,prospect_CreditRating,prospect_NetWorth
De 18,,1111 norden street,O,6.0,Ontario,,M,85.0,1-357-207-6320,Gardner Denver,72444.0,2.0,3.0,M,848.0,2789368.0
Mck19,,2798 1st east,R,8.0,KY,m,,86.0,1-462-774-1277,Family Dollar Stores,77290.0,3.0,3.0,U,843.0,2784776.0
WIN20,,11358 elle lee street,R,,PA,M,P,59.0,1-702-382-2898,,395066.0,2.0,0.0,U,,288747.0
BIT21,,21074 MALLORY LOWER,O,0.0,MD,,,94.0,1-909-554-7120,Sun Microsystems,119283.0,5.0,3.0,U,300.0,876575.0
luz22,,16124 weyland park,O,8.0,TX,f,V,,1-752-296-7940,Costco Wholesale,330991.0,1.0,1.0,U,795.0,2041224.0
don23,,23822 marvin crescent,U,5.0,IN,,S,5.0,1-995-554-5056,Illinois Tool Works,,4.0,0.0,,367.0,2231509.0
Gia24,,2203 valita boulevard,O,1.0,MD,,T,23.0,1-090-303-3807,Southern Union,252031.0,1.0,5.0,M,507.0,3206409.0
SPR25,,11538 COLLINWOOD AVENUE,O,9.0,KY,M,,61.0,1-492-968-0932,Moog,101800.0,3.0,1.0,M,362.0,3850037.0
SKA26,,7818 EAST STREET,O,7.0,CA,F,,,1-960-227-2020,Old Republic International,436977.0,0.0,1.0,D,527.0,528440.0
Gar27,,10013 shaw road,O,0.0,FL,m,,51.0,1-431-122-8597,,495334.0,0.0,,S,354.0,597140.0
Dor28,,6802 AMES STREET,O,1.0,Newfoundland,,,97.0,1-822-836-7200,Great Plains Energy,274685.0,1.0,1.0,M,511.0,146931.0
DIO29,,22501 SUMMIT RUE,,7.0,TX,,X,52.0,1-530-117-0497,Broadcom,320820.0,2.0,2.0,,412.0,353495.0
Mer30,,291 frances rue,O,1.0,WA,m,,98.0,1-051-257-2719,Discover Financial Services,195835.0,4.0,0.0,S,583.0,295647.0
Atc31,,16264 sanders east,O,5.0,MN,,R,47.0,1-171-989-1363,UAL,108085.0,5.0,3.0,U,710.0,408941.0
Pla32,,16068 cantey way,O,9.0,WY,m,X,47.0,1-042-705-3246,Charles Schwab,260185.0,2.0,1.0,M,380.0,362523.0
SEL33,,21170 EDLOE BOULEVARD,R,2.0,NY,F,E,9.0,1-098-328-2026,Coach,258323.0,0.0,0.0,M,796.0,2102359.0
sha34,,885 CROSBY LANE,U,2.0,SC,f,Z,85.0,1-209-754-5635,DaVita,79476.0,1.0,3.0,M,818.0,3480265.0
MER35,,12235 jay street,U,3.0,MS,,,81.0,1-498-781-3456,Marshall & Ilsley Corp.,102156.0,5.0,3.0,M,766.0,3648900.0
con36,,20340 LOMBARD CRESCENT,O,2.0,UT,,,0.0,1-615-241-0440,Cablevision Systems,221481.0,2.0,3.0,M,359.0,1161790.0
ons37,,22074 dexter upper,R,2.0,PA,M,,28.0,1-995-449-5200,Barnes & Noble,41836.0,1.0,5.0,S,401.0,2050587.0
Sum38,,1540 MURIE RUE,O,0.0,OK,M,,65.0,1-295-673-4452,EMC,72389.0,1.0,1.0,U,609.0,3579198.0
gro39,,7075 glen loch drive,O,2.0,WY,,F,20.0,1-914-675-2986,Fluor,66486.0,3.0,0.0,S,630.0,889494.0
dil40,Apt. 382,11237 balmoral way,O,9.0,RI,,I,55.0,,Dollar General,200185.0,3.0,1.0,M,671.0,2205682.0
DOL41,,8316 GARDEN BROOK NORTH,O,10.0,HI,,,76.0,1-825-739-0336,Lear,289215.0,0.0,2.0,U,715.0,1140117.0
Pos42,,2240 clifton lower,O,9.0,VA,,,1.0,1-956-713-3802,J.P. Morgan Chase & Co.,322484.0,4.0,1.0,M,707.0,1421319.0
Mac43,,20907 NOTINGHAM LOWER,O,0.0,OK,,,3.0,1-814-932-1579,Affinia Group Intermediate,83458.0,4.0,2.0,M,329.0,3525204.0
che44,,601 carroll lower,R,8.0,Prince Edward Island,,,100.0,1-135-443-7282,,,0.0,3.0,D,601.0,468976.0
hol45,,18267 state drive,O,2.0,SD,,,81.0,1-720-975-0667,Goldman Sachs Group,492407.0,5.0,1.0,W,623.0,1685443.0
pfi46,,9270 LEAF SOUTH,O,2.0,OH,f,,76.0,1-871-598-3505,E*Trade Financial,346630.0,4.0,4.0,S,376.0,337564.0
elk47,,18582 PERIMETER BOULEVARD,O,0.0,MA,,Y,51.0,1-607-222-4809,Pfizer,9572.0,1.0,3.0,W,560.0,84777.0
Lab48,,9612 park stream upper,O,4.0,MD,F,,,1-965-046-0642,Safeway,265369.0,1.0,5.0,,693.0,3146477.0
laf49,,2803 clearwater north,U,0.0,Saskatchewan,,Y,58.0,1-155-441-3579,Simon Property Group,104172.0,1.0,2.0,S,346.0,495277.0
Nor50,,11103 BISSONNET WEST,O,0.0,WA,,I,52.0,,Trinity Industries,65550.0,0.0,3.0,M,342.0,746904.0
hag51,,4652 outervale lane,R,8.0,OH,,,91.0,1-544-132-7237,Solutia,,2.0,0.0,M,563.0,1219620.0
Bet52,,341 dunbar west,O,4.0,WY,m,,17.0,1-821-089-2089,,,2.0,3.0,M,391.0,1718910.0
Van53,,16176 vernon drive,O,8.0,NJ,m,,6.0,1-135-391-9787,A.O. Smith,66244.0,4.0,4.0,S,381.0,
O'L54,,23131 clint way,U,9.0,ND,F,,89.0,1-776-182-6215,AptarGroup,426954.0,0.0,3.0,S,539.0,2636424.0
and55,,11640 baltic upper,O,0.0,NC,m,,99.0,1-079-780-7761,Coca-Cola,126891.0,5.0,4.0,M,497.0,1326305.0
sta56,,20796 dolores drive,O,,WV,,,77.0,1-504-346-4393,Kimberly-Clark,454196.0,4.0,2.0,M,661.0,2241997.0
CHA57,Apt. 275,14359 COMMERCE WEST,R,0.0,GA,,,,1-985-538-4351,Visteon,163940.0,5.0,3.0,S,558.0,1542891.0
ASI58,,21448 hampton boulevard,O,,Ontario,R,,90.0,1-254-097-9398,TECO Energy,365213.0,,1.0,W,534.0,797918.0
ask59,,7637 pershing way,U,6.0,MA,f,,82.0,1-545-924-9552,Bemis,428739.0,0.0,0.0,M,373.0,347654.0
Kik60,,11529 arcana boulevard,O,8.0,CA,,K,,1-984-233-8818,Wyeth,142444.0,4.0,0.0,M,382.0,2456397.0
Cha61,,2700 windwood north,O,10.0,SD,F,,15.0,1-528-691-1642,United Technologies,416168.0,3.0,3.0,S,475.0,1284229.0
KIL62,,22279 gramercy road,O,3.0,Saskatchewan,m,U,,,Clorox,291420.0,2.0,0.0,D,539.0,618787.0
kin63,,9828 west east,O,6.0,RI,f,,96.0,1-171-807-8213,Discovery Communications,413501.0,4.0,5.0,M,711.0,1171606.0
MAL64,,5935 mcafee park,O,1.0,NC,,,38.0,1-056-241-7009,Williams-Sonoma,,4.0,,M,606.0,3983261.0
Odu65,,12460 CLAYTON STREET,O,0.0,SD,,J,10.0,1-389-414-0570,Manitowoc,419143.0,3.0,3.0,W,494.0,2328568.0
DI 66,,275 3rd drive,O,3.0,IL,,,72.0,1-583-542-1656,Henry Schein,155057.0,1.0,5.0,M,309.0,2078600.0
STU67,,6907 FERNCLIFF CRESCENT,O,3.0,OR,,K,97.0,1-269-712-0672,Trinity Industries,313859.0,2.0,5.0,M,630.0,2986155.0
HAM68,,885 crosby lane,O,10.0,Ontario,,,48.0,1-670-102-0463,Pepsi Bottling,265907.0,4.0,1.0,S,330.0,1864039.0
LIB69,,2344 kalani west,O,9.0,FL,m,,97.0,1-699-726-3895,UGI,283481.0,,0.0,S,710.0,1293721.0
ohs70,,22870 LA CIENEGA STREET,R,7.0,NM,M,,73.0,1-640-666-2876,Greif,200635.0,4.0,0.0,M,475.0,3850114.0
HUM71,APT. 143,8478 green avenue,O,3.0,NE,,O,71.0,1-540-639-1311,Equifax,434519.0,0.0,1.0,U,596.0,1618743.0
BRA72,,23639 purdue rue,O,9.0,MI,,,93.0,1-285-874-8492,,392315.0,5.0,1.0,W,670.0,3383487.0
Boa73,,19202 ansley park,O,,New Brunswick,,X,53.0,1-121-904-0040,Freescale Semiconductor,493829.0,5.0,3.0,U,722.0,2981876.0
Mcn74,,11319 devonshire rue,O,7.0,NJ,,,32.0,1-017-842-3201,Aleris International,97489.0,3.0,2.0,U,587.0,2109339.0
MAR75,,23665 deerwood park,O,4.0,ND,F,,1.0,1-215-859-3206,,,4.0,3.0,S,609.0,791803.0
Wil76,,4855 union north,O,7.0,Saskatchewan,f,,39.0,1-764-520-7470,World Fuel Services,383046.0,0.0,1.0,S,401.0,3523678.0
Dea77,,9466 SHADOWBRIAR WEST,,0.0,KS,m,S,77.0,1-414-130-0162,R.R. Donnelley & Sons,1190.0,4.0,0.0,M,335.0,1681902.0
Hou78,,3504 regency avenue,O,7.0,SD,,,18.0,1-970-240-9990,Brinker International,85733.0,5.0,5.0,U,569.0,3851455.0
Goy79,,7281 northland lower,R,9.0,FL,,,70.0,1-408-684-6459,Temple-Inland,387890.0,0.0,2.0,M,,2339382.0
Mok80,,12481 hayden lower,O,7.0,Saskatchewan,f,Z,26.0,1-330-353-5908,Psychiatric Solutions,16808.0,2.0,0.0,S,679.0,
Run81,,2328 gracie avenue,,10.0,FL,,I,,1-766-726-2675,Nash-Finch,304589.0,,4.0,M,356.0,2065016.0
BEL82,,4737 campbell street,R,9.0,UT,o,,58.0,1-938-425-7509,AMR,48506.0,2.0,5.0,S,308.0,2454049.0
BAE83,,2401 stratmore lower,O,4.0,WY,,Y,43.0,1-527-308-8874,Spartan Stores,,0.0,4.0,M,412.0,2423395.0
MAU84,,21477 JUNIPER CRESCENT,O,4.0,NH,f,,65.0,1-810-590-0635,Cigna,358862.0,2.0,3.0,D,618.0,1342045.0
Koo85,,19214 YAUPON BOULEVARD,O,5.0,AR,,,24.0,1-274-548-2512,General Cable,477614.0,5.0,3.0,S,429.0,861756.0
Lau86,,7785 rusk boulevard,O,3.0,CT,,,79.0,1-649-754-4601,Dun & Bradstreet,175414.0,3.0,1.0,S,819.0,1215349.0
Man87,,18002 cantrell upper,O,7.0,VT,F,L,48.0,1-905-932-1785,Casey's General Stores,427598.0,0.0,1.0,M,552.0,3981554.0
PIE88,,23341 brookside upper,O,9.0,Manitoba,,,69.0,1-031-004-7697,Jack in the Box,368207.0,0.0,4.0,S,587.0,3865937.0
Bus89,,20494 ROSS WEST,O,6.0,NJ,M,,91.0,1-994-812-4796,Assurant,449944.0,3.0,1.0,S,304.0,2804700.0
BAB90,,17552 SAVANNAH NORTH,U,4.0,KY,,,75.0,1-176-513-4041,Psychiatric Solutions,166247.0,5.0,5.0,,795.0,3283558.0
Bur91,APT. 373,4462 pace crescent,O,2.0,GA,M,,85.0,1-072-244-6337,Danaher,391165.0,1.0,3.0,S,830.0,450524.0
Kin92,,7161 tallowood upper,R,3.0,NJ,,,76.0,1-924-669-9328,Clorox,165854.0,5.0,3.0,M,709.0,
POM93,,3489 silver sage west,O,8.0,SC,,,68.0,1-598-488-3541,Boyd Gaming,326181.0,2.0,1.0,S,493.0,
BOA94,,12481 hayden lower,O,,TN,M,,95.0,1-295-539-3868,Eaton,173387.0,3.0,,M,680.0,633760.0
Ron95,,13210 3RD DRIVE,R,,WY,,R,15.0,1-554-020-0267,Dynegy,301127.0,1.0,5.0,M,800.0,3634954.0
wei96,,8899 starling lane,R,4.0,Ontario,,A,17.0,1-793-621-4566,AmeriCredit,487230.0,1.0,5.0,M,614.0,799268.0
Hel97,,11480 fennel south,R,6.0,DC,M,P,94.0,1-787-267-4261,SLM,425747.0,4.0,0.0,,763.0,39093.0
mog98,,7266 cherry upper,O,3.0,Alberta,m,,70.0,1-668-247-1597,NV Energy,401946.0,4.0,4.0,S,561.0,2705353.0
boz99,,10678 ENGLEWOOD WEST,O,4.0,ME,,,29.0,1-901-346-8890,Landstar System,425422.0,1.0,2.0,S,569.0,3565153.0
Zah100,,21181 2ND RUE,O,5.0,MA,,R,52.0,1-451-273-3803,Pacific Life,208890.0,4.0,1.0,M,634.0,2832204.0
And101,,22963 hanover road,O,10.0,NV,F,,51.0,1-129-499-9136,Textron,67880.0,5.0,3.0,U,488.0,2194345.0
Bam102,,8268 cliffbrook boulevard,O,5.0,WA,,L,24.0,1-899-319-0772,Pfizer,133412.0,2.0,3.0,W,788.0,3737140.0
fro103,,5118 montview court,O,8.0,WY,,,98.0,1-053-396-0441,Cigna,144829.0,3.0,4.0,D,333.0,464753.0
Car104,,17442 tallowood upper,U,,NJ,,J,59.0,1-239-665-9540,Ameren,,1.0,1.0,M,601.0,596696.0
muc105,,4038 WEDGEWOOD STREET,O,2.0,LA,f,V,49.0,1-605-888-3403,Consolidated Edison,143682.0,3.0,4.0,U,595.0,1504753.0
gat106,,20334 anaconda avenue,O,10.0,TX,,,1.0,1-630-604-2543,Occidental Petroleum,350020.0,0.0,1.0,U,433.0,3049281.0
Sch107,,5385 young west,O,10.0,SC,F,M,79.0,1-851-862-7928,Sherwin-Williams,435103.0,0.0,,U,403.0,247478.0
pom108,,2747 SINCLAIR LANE,R,3.0,TX,,,6.0,1-065-415-5724,Affiliated Computer Services,207768.0,1.0,5.0,,615.0,2750301.0
cuc109,,8622 BROWNWAY PARK,O,1.0,MN,F,K,70.0,1-408-512-1007,Valassis Communications,407512.0,0.0,4.0,M,735.0,721333.0
SUG110,,18048 GREEN NORTH,O,1.0,ID,q,Z,23.0,1-083-902-4184,,403366.0,3.0,0.0,S,668.0,669440.0
Pep111,,18994 country boulevard,O,,MI,,,78.0,1-568-403-7081,Smithfield Foods,384095.0,3.0,5.0,M,349.0,2473979.0
Cha112,SUITE 7,16063 ashland road,,,OK,f,,79.0,1-824-389-0618,,288969.0,4.0,,S,654.0,3545170.0
SEI113,Apt. 971,19309 mcfarlin north,O,6.0,UT,m,U,72.0,1-174-210-2058,TD Ameritrade,233665.0,2.0,3.0,U,361.0,1494871.0
GAR114,,2454 cliffbrook west,U,1.0,PA,F,S,31.0,1-425-503-7952,Comerica,147236.0,4.0,0.0,S,427.0,436164.0
Tou115,,15865 strand west,O,1.0,New Brunswick,M,,86.0,1-012-389-9089,Steel Dynamics,452557.0,0.0,3.0,W,322.0,1069481.0
Kur116,,13776 east boulevard,R,9.0,UT,M,V,,1-909-472-6704,Coca-Cola Enterprises,179305.0,2.0,0.0,S,792.0,
Her117,,10570 WEIZMANN LOWER,O,2.0,VA,,,87.0,1-622-167-5411,News Corp.,205817.0,3.0,0.0,U,478.0,2957261.0
MCV118,,15278 walnut hill road,O,1.0,NH,,P,92.0,1-164-511-9338,,262711.0,,5.0,M,477.0,228459.0
LAB119,,23007 WAKEFOREST WAY,O,6.0,VT,F,,4.0,1-804-532-9163,Stater Bros. Holdings,84810.0,1.0,5.0,M,449.0,67267.0
but120,,9088 rivas way,O,2.0,FL,,,8.0,1-197-370-0297,BorgWarner,96441.0,2.0,4.0,U,466.0,1087978.0
Pro121,,18798 ullrich road,O,2.0,NC,m,,97.0,1-337-042-5687,CB Richard Ellis Group,462762.0,0.0,5.0,M,483.0,3885967.0
Irc122,,18517 HULEN LOWER,O,4.0,VA,,,,1-056-138-5321,Zimmer Holdings,141890.0,5.0,4.0,D,588.0,3271101.0
Ziv123,,11474 dodd lane,O,2.0,DC,,G,40.0,1-776-191-2031,Mohawk Industries,156610.0,5.0,5.0,,313.0,
sim124,,9375 wood south,R,1.0,NC,,H,95.0,1-280-696-2706,Berkshire Hathaway,164752.0,1.0,4.0,U,647.0,1999133.0
kei125,,20479 wise avenue,O,2.0,MS,,I,92.0,1-857-581-6346,Saks,278949.0,1.0,5.0,S,430.0,1100786.0
arv126,,19918 ROGERS NORTH,O,8.0,SC,f,P,67.0,,Gardner Denver,,0.0,5.0,W,467.0,563992.0
Pra127,,9284 coffey lower,O,7.0,KS,F,,24.0,1-716-343-0884,Hasbro,463736.0,3.0,2.0,M,399.0,962397.0
lue128,,2929 north crescent,O,5.0,VT,m,C,26.0,1-101-776-2496,CBS,,2.0,3.0,M,654.0,1064169.0
Prz129,,15404 queen street,O,3.0,IL,f,,62.0,1-769-028-0589,Synnex,86667.0,2.0,0.0,S,378.0,2100059.0
pen130,,1619 greenspoint road,O,10.0,FL,f,J,37.0,1-005-833-8970,Belden,193470.0,5.0,1.0,W,338.0,99025.0
Gua131,,21477 WARREN PARK,R,10.0,MI,,S,71.0,1-884-215-4243,Broadcom,406379.0,5.0,0.0,S,695.0,3865481.0
bre132,,6503 ROBBINS STREET,U,7.0,Newfoundland,F,,29.0,,Reynolds American,480595.0,1.0,3.0,M,614.0,804544.0
Sav133,,3958 GLEN LOCH BOULEVARD,O,7.0,ME,f,X,89.0,1-725-177-7815,Wells Fargo,181718.0,4.0,5.0,S,307.0,3143356.0
ABB134,,13640 ethridge lower,O,2.0,AL,,Z,11.0,1-277-496-5396,Retail Ventures,468310.0,0.0,3.0,M,331.0,
OP135,,3981 imperial lower,O,2.0,IN,M,N,20.0,1-756-463-2201,AT&T,354987.0,2.0,0.0,S,638.0,2311953.0
Mer136,,13210 3rd drive,O,3.0,NH,,,75.0,1-261-338-7463,Wynn Resorts,284539.0,3.0,5.0,W,703.0,3120608.0
rut137,,9297 THROCKMORTON SOUTH,O,7.0,DC,F,,95.0,1-811-086-4675,Eastman Kodak,213725.0,0.0,5.0,S,302.0,2058270.0
bem138,,8935 YOUNG UPPER,O,,DC,,I,0.0,1-338-771-1185,Aramark,74195.0,2.0,3.0,U,522.0,1511983.0
Pen139,,3797 RUTGERS PARK,O,,MD,,,73.0,1-554-231-5318,ENSCO International,169295.0,5.0,1.0,M,,439080.0
tor140,,8285 tamarind crescent,R,5.0,Prince Edward Island,M,Y,39.0,1-733-886-5227,Auto-Owners Insurance,307832.0,1.0,0.0,W,833.0,921255.0
law141,,20025 routh crescent,O,2.0,MD,m,L,76.0,1-267-357-1943,Bemis,20397.0,1.0,1.0,U,,3810365.0
Bee142,Suite 397,4144 LAKE PARK LANE,O,6.0,New Brunswick,m,D,5.0,1-602-756-7919,Securian Financial Group,463094.0,2.0,2.0,U,664.0,2641938.0
sch143,,3375 sakowitz lane,O,7.0,HI,m,,65.0,1-793-864-7010,Ford Motor,331900.0,4.0,1.0,U,789.0,3857323.0
Wit144,,7255 berry way,U,0.0,ND,,,94.0,1-637-020-2921,ConAgra Foods,8421.0,5.0,0.0,S,803.0,1636212.0
MER145,,3131 WATHAN SOUTH,,3.0,Nova Scotia,F,Q,95.0,1-428-797-6325,Charter Communications,35780.0,4.0,4.0,M,720.0,2999082.0
bia146,,18440 RYAN NORTH,R,4.0,ME,m,,28.0,1-011-549-5618,Calpine,139897.0,1.0,0.0,M,839.0,2280820.0
Swi147,SUITE 464,13222 glen loch road,O,0.0,Alberta,m,P,76.0,1-993-255-5481,Crane,414119.0,4.0,1.0,D,621.0,1050866.0
bul148,,7889 MURRAY WAY,O,3.0,VT,,,81.0,1-487-749-4448,Textron,234035.0,5.0,4.0,D,628.0,
TYR149,,7527 whale drive,O,6.0,DE,F,,38.0,1-192-352-2184,Idearc,144405.0,3.0,5.0,W,813.0,603001.0
Fyf150,,17788 eagle trace park,R,3.0,MA,,,25.0,1-293-442-4224,Cabela's,55441.0,5.0,3.0,W,367.0,3368239.0
Sic151,,7661 GRANT WAY,O,10.0,CA,,,0.0,1-078-502-6700,EOG Resources,392869.0,4.0,2.0,D,807.0,1042629.0
CAS152,,4806 crystal hills street,O,8.0,Manitoba,F,,61.0,1-430-909-3001,,402416.0,3.0,4.0,U,501.0,1948746.0
Cho153,,4211 WILLS NORTH,O,10.0,TN,,S,3.0,1-392-455-0895,Burlington Coat Factory,89984.0,0.0,2.0,U,490.0,3113862.0
CHA154,,7524 linberg north,O,3.0,FL,,,77.0,1-273-921-9787,Southwest Airlines,395773.0,2.0,3.0,W,321.0,2777290.0
bei155,,14266 lemming south,R,6.0,CA,f,E,8.0,1-012-993-4538,RPM International,126662.0,1.0,0.0,U,,2210073.0
Ele156,,1427 ADDAX LANE,O,7.0,CO,m,J,34.0,1-890-859-4211,Amazon.com,132008.0,4.0,1.0,U,446.0,1999684.0
o'g157,,1625 fernando court,O,2.0,Saskatchewan,F,,15.0,1-080-032-3031,Neiman Marcus,417218.0,5.0,5.0,M,428.0,2119678.0
Kat158,,335 floresta north,O,5.0,UT,,,66.0,1-561-620-7173,Goldman Sachs Group,360063.0,0.0,0.0,S,423.0,169808.0
Lui159,,22806 garson east,O,6.0,ME,,O,55.0,1-017-439-0362,Boeing,100516.0,5.0,4.0,U,499.0,1072732.0
Kla160,,5524 vermack street,O,7.0,NH,f,,8.0,1-248-539-6621,United Refining,16814.0,1.0,1.0,S,342.0,2261442.0
Bru161,,18105 electra street,U,1.0,VA,,Z,7.0,1-611-789-5569,D.R. Horton,,1.0,3.0,M,632.0,2234368.0
Apt162,,719 holman court,O,6.0,TX,,Q,97.0,1-023-151-8130,Jarden,315962.0,3.0,1.0,M,525.0,575288.0
sch163,,23553 MEMORIAL RUE,R,9.0,Saskatchewan,f,,95.0,1-005-574-3523,Systemax,299268.0,5.0,1.0,M,371.0,1102479.0
Lan164,,16759 park avenue,O,4.0,NH,,,92.0,1-550-487-1571,Marriott International,301490.0,1.0,3.0,U,699.0,2995388.0
Fus165,,12296 WILLIAMS LOWER,O,8.0,VA,F,,17.0,1-280-494-1415,Expeditors International,36052.0,3.0,2.0,M,435.0,1147193.0
Nev166,,9625 ALLEN BOULEVARD,U,2.0,IA,F,R,81.0,1-803-438-4141,Great Plains Energy,437483.0,1.0,4.0,U,512.0,1136540.0
SHA167,,10340 jarvis road,O,6.0,NC,f,,13.0,1-566-299-2351,Danaher,152971.0,5.0,,M,552.0,1677669.0
Sau168,,13143 goodwin lane,O,8.0,NH,,P,78.0,1-586-363-4189,,449495.0,0.0,2.0,M,,2160706.0
fri169,,7160 BEATTY RUE,O,5.0,AL,,,78.0,1-505-124-9029,Watson Wyatt Worldwide,349827.0,4.0,1.0,M,687.0,2525665.0
fer170,,22679 chimney rock west,R,0.0,British Columbia,,O,85.0,1-897-996-9812,Yahoo,9562.0,3.0,1.0,M,433.0,3517622.0
LAN171,,6769 pasadena upper,,7.0,MD,M,,68.0,1-922-919-5858,Convergys,24514.0,1.0,2.0,U,746.0,
Bha172,,20622 MCAFEE COURT,R,9.0,IA,,,1.0,1-326-572-2988,Celanese,407985.0,0.0,0.0,M,405.0,97675.0
Jor173,,10526 LINWOOD LANE,O,,ND,M,,83.0,1-076-972-4311,Dana Holding,,5.0,5.0,M,805.0,
KNU174,,21088 vessey crescent,O,5.0,NY,F,,78.0,1-341-595-8408,XTO Energy,257897.0,4.0,4.0,M,819.0,3569070.0
Ham175,,10884 ryan avenue,O,0.0,OR,F,,,,Alliance Data Systems,261143.0,0.0,5.0,M,648.0,1507616.0
MAU176,,1481 gale court,R,10.0,MO,,,5.0,1-536-952-5040,Franklin Resources,110615.0,5.0,5.0,U,401.0,514151.0
Rez177,Apt. 426,18390 martins east,U,8.0,CT,F,,43.0,1-663-917-0422,Fidelity National Financial,407799.0,2.0,0.0,U,484.0,2903408.0
Koa178,,23208 porter crescent,O,1.0,MO,,,53.0,1-843-773-1791,FirstEnergy,195242.0,4.0,4.0,U,463.0,1695814.0
HAN179,,17026 durand north,O,5.0,MN,m,B,13.0,1-823-567-1252,Commercial Metals,315490.0,3.0,0.0,U,335.0,868465.0
jak180,,16533 devonshire park,O,10.0,NC,,I,7.0,1-744-421-7512,Genzyme,22201.0,5.0,4.0,U,,2810709.0
ump181,,8965 griffin east,R,7.0,TN,,C,17.0,1-621-744-1484,US Airways Group,441579.0,4.0,5.0,M,381.0,3593363.0
Wic182,,22451 larner court,O,1.0,NV,,G,67.0,1-973-214-3381,Advanced Micro Devices,342730.0,2.0,2.0,M,708.0,2607636.0
Gat183,Apt. 540,3681 HOLLY KNOLL CRESCENT,R,8.0,AL,F,,54.0,1-428-266-1600,United Parcel Service,117267.0,5.0,4.0,M,354.0,2735642.0
bot184,,5678 dayton street,,10.0,NE,,,5.0,1-334-466-5299,Fastenal,260107.0,1.0,4.0,S,547.0,1501732.0
DAV185,,15591 holgate lane,O,9.0,KS,,T,28.0,1-249-478-5643,Core-Mark Holding,166760.0,1.0,1.0,D,761.0,397072.0
HIL186,,23477 havenridge rue,O,1.0,NY,F,,5.0,1-804-228-8548,Boise,401021.0,4.0,1.0,M,659.0,3399757.0
war187,,18267 cape lane,R,9.0,NY,,,,1-564-230-0062,DST Systems,70945.0,4.0,2.0,M,351.0,2684548.0
MAC188,apt. 48,2928 POTOMAC UPPER,O,7.0,Saskatchewan,m,,72.0,1-781-339-9073,United States Steel,389391.0,3.0,3.0,S,608.0,3041622.0
lev189,,14656 pasadena park,O,3.0,Prince Edward Island,F,A,12.0,1-096-116-9962,Pepco Holdings,63226.0,4.0,2.0,S,706.0,3211816.0
