prospect_AgeID,prospect_AdL1,prospect_Ge,prospect_MidIn,prospect_Pho,prospect_In,prospect_NWo,prospect_C,prospect_FiN,prospect_PosC,prospect_Empl,prospect_NumChil,prospect_MaSta,prospect_Ag,prospect_CrRa,prospect_OOReFl,prospect_NumCreCa
Jkp7542,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,M,A,1-392-335-1020,409682.0,3002044.0,Huntington Beach,Grkknjyfgbhtyrhxzeaoeoyirwfa,gzexcrngivl,Monsanto,5.0,W,56.0,393.0,O,7.0
CCF7543,,M,,1-912-050-7605,340191.0,1124168.0,Durham,Vfrdst,yzoikhwrd,Reliant Energy,4.0,M,94.0,557.0,,10.0
ylj7544,RELJYREDKQEKGOORBLRKOUIC,,,1-075-551-9919,238216.0,2081541.0,Naperville,Hqcswumjvwbemosmy,Gdbktega,Idearc,5.0,U,98.0,465.0,O,5.0
ZBB7545,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,F,V,1-013-611-2674,113171.0,1897076.0,Albuquerque,Ectbhkmbvwkwdbn,Kdcqzpvf,Neiman Marcus,1.0,M,8.0,,O,6.0
fqe7546,Yewxbqpnfgh,m,,1-656-865-7544,234797.0,235172.0,Newark,Bdbgqpllbnrmiirpct,Tbwgwtmgcu,O'Reilly Automotive,,W,90.0,485.0,,10.0
Wpw7547,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,,,1-879-870-7379,225322.0,639573.0,Miami,Ftszluaxcsoxdfbmdd,Mwmfs,Cliffs Natural Resources,2.0,M,34.0,303.0,,2.0
vpz7548,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,,,1-366-625-9813,192689.0,2667082.0,London,Qrdnpjquwnixfocqhsrlkcxmelwijl,goelqgcts,Health Management Associates,2.0,W,25.0,846.0,O,4.0
Yfz7549,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,,1-359-462-7089,348685.0,2598634.0,Worcester,Kkiolpmrgzmnjanqc,ucwygjzs,Chevron,4.0,,50.0,621.0,O,1.0
dou7550,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,,,401229.0,1074671.0,Jacksonville,unzegilpp,fjlfqftwg,Exide Technologies,4.0,D,85.0,331.0,O,
FDJ7551,hfuyqlsmbesrylepu,M,,1-153-396-8333,38597.0,2272997.0,Nashua,xetqkitwlh,Tocujgaiaq,Convergys,4.0,M,60.0,401.0,R,9.0
ufu7552,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,,1-144-623-1308,,702000.0,Newport News,TWRRGULRYKYUWZYBQQFMIFFKVK,kurjmmgixxfd,Dominion Resources,2.0,S,95.0,644.0,R,0.0
bbg7553,qgjnvpwvmgsqzcanzncon,m,H,1-269-220-8046,161204.0,1289800.0,Corona,Yqfljvgkfucafpjpamdtcppiipc,cnsavindoi,Sentry Insurance Group,1.0,M,8.0,769.0,R,5.0
Znk7554,HNBGLUDIOAJRCCIXGDUQOO,f,v,1-052-524-0130,202650.0,1007390.0,Lincoln,mjeasoritwctufyojamzbeeoo,MQBSAUVQRPYE,Cintas,4.0,M,31.0,481.0,O,2.0
CGQ7555,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,F,T,1-335-871-6660,,124290.0,Toronto,Udxaujgiratgthwkvdibgvwfo,vadbnvz,Medtronic,2.0,U,51.0,732.0,O,7.0
add7556,dnlleihfh,,,1-637-394-8083,492433.0,1820002.0,Fayetteville,GHFUKZPOKMXWZF,Ljurvnigr,Pride International,4.0,M,24.0,802.0,O,2.0
Anw7557,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,,J,1-706-795-4208,344858.0,2200347.0,Charlotte,ybtkiifyhbgchnuctnhnqspk,BQDMQVFTNBRJ,A. Schulman,4.0,M,78.0,329.0,O,5.0
Hvt7558,Wsjaujjdexc,m,,1-622-347-5699,197290.0,3669569.0,Tulsa,Fhkymmgjsbmpduuffgavhfcxm,jkcul,Oneok,0.0,W,56.0,839.0,R,0.0
Yqj7559,Ojberg,,d,1-042-017-9368,283654.0,2140537.0,Winston-Salem,DEZDTMSMWKALBRPALCFIME,Nelny,Danaher,,U,50.0,539.0,,
Ztn7560,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,F,,1-829-935-5979,317423.0,3258909.0,Thousand Oaks,phoxfeiqoldgmnojmzunmargkla,Qsggz,Del Monte Foods,5.0,M,52.0,561.0,R,4.0
bni7561,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,F,,1-076-726-5283,399126.0,1825422.0,Lubbock,Upuabfflh,Drofa,American Electric Power,5.0,W,14.0,814.0,O,2.0
swx7562,Xwtkpxqgohxwxnv,,,,398180.0,1845263.0,Winnipeg,owagfolbfwjzeg,Ssovhtmt,TJX,0.0,M,29.0,305.0,R,7.0
DSA7563,Qpvmtkxxfef,f,P,1-284-129-5920,,1463114.0,Laredo,Qdmppehqxloc,Tnprhljfrlj,Philip Morris International,4.0,S,50.0,457.0,O,4.0
BXZ7564,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,,,1-128-308-8886,485429.0,2354683.0,Overland Park,jqbetxkci,Bkxujhonjgjk,Cincinnati Financial,1.0,U,67.0,349.0,O,8.0
pcz7565,KRYAIAJGKHBKXBLC,,,1-145-469-5971,118018.0,436677.0,Calgary,Wsmywgbvwspgdwhmdxsqjwqb,mrjrjhgnwcdu,Stryker,0.0,M,22.0,590.0,O,0.0
Zqa7566,,m,,1-727-684-7767,309693.0,2383335.0,Peoria,ocgwi,Yusezkfgs,Kansas City Southern,4.0,U,20.0,533.0,O,0.0
Htl7567,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,,z,1-776-201-2472,90718.0,2574739.0,Durham,Pcotdnngmurhkcd,RKXTQAO,IDT,0.0,W,75.0,686.0,O,9.0
afw7568,VBDCWYVK,F,L,1-767-942-1278,280645.0,1596838.0,Pueblo,bvcosqzcleknjzvkygbawlc,UBQSATXZO,Vornado Realty Trust,0.0,U,60.0,582.0,O,10.0
Wna7569,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,,1-723-062-7266,231559.0,591965.0,Las Cruces,ECLENELTSXGTNWOP,BHRNWQLFVFA,Dollar General,4.0,S,,807.0,O,0.0
Mlh7570,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,,,36898.0,3071440.0,Chula Vista,Xdwexmrjat,Ktmzav,Safeway,5.0,S,48.0,819.0,O,3.0
Gor7571,Gwxymofcy,,,1-145-314-0862,396786.0,2683081.0,San Diego,xjwnvwdryqpcehelwzfhkkiuus,Nfpchgfj,Apache,0.0,M,91.0,311.0,R,5.0
ENX7572,Qynjnmfgwxpmrw,f,,1-735-104-7772,344365.0,3850483.0,Chicago,RNBABCYAFMQPBOHXNUXMXNU,Wuywecohosfi,Lowe's,5.0,U,98.0,734.0,O,3.0
fgr7573,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,,,1205.0,1870617.0,Worcester,Eyrtrqkljywvbcice,tibxlojrqiha,Lithia Motors,1.0,W,51.0,432.0,O,1.0
Ysh7574,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,m,a,1-518-116-1411,276666.0,1249534.0,Honolulu,Opybrukftspofebjmspkjsgtobzsp,ogmes,CH2M Hill,0.0,S,22.0,394.0,O,3.0
Mos7575,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,,I,1-696-359-4829,497953.0,3789880.0,Albuquerque,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,JUBKXDKP,Tellabs,0.0,U,57.0,658.0,O,1.0
czu7576,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,,,1-352-678-5471,156048.0,3874445.0,Oakland,kpofwgtomgijnm,Xbgykqm,Phillips-Van Heusen,2.0,M,38.0,348.0,O,3.0
Ghr7577,BESJDYZDIOIXKDFEHBQXBPW,,Z,1-906-600-9749,63617.0,437353.0,Billings,Biflzgcqpqpbahquomftmjffohpwuy,NNCXIBTCXZA,Wells Fargo,5.0,M,68.0,598.0,O,8.0
Rwk7578,Ouopoqztakszwsfkthdbwndfjuqaelyd,,,1-093-018-2851,244849.0,2669917.0,Pueblo,ybdlwlwxispyswbiegrbsqqtywxr,mfwuio,Vornado Realty Trust,2.0,U,93.0,505.0,O,9.0
Uwi7579,Ivwhotvobwkshcixclfobqoljlaqohw,,,1-302-096-9321,123585.0,1466537.0,Sherbrooke,Capzcewdt,Utgwrun,New York Times,3.0,S,48.0,839.0,R,7.0
VXZ7580,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,,,1-915-044-3154,391134.0,991860.0,Sacramento,XKBLVBCCYKMIXABVTOTVPZCJRII,Wgulrhctjlg,Adobe Systems,1.0,S,96.0,672.0,U,2.0
Ayk7581,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,f,p,1-040-274-3474,426759.0,,Charlotte,wmknfemsztimaphftadowlmbnp,Srhxvxe,Valmont Industries,5.0,M,58.0,696.0,O,3.0
lho7582,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,M,,1-678-397-2739,451737.0,1816368.0,El Paso,DHLVITRFJDXLTPAGMPMJ,Dadkihaohc,UAL,3.0,W,63.0,448.0,O,5.0
rzi7583,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,,,1-679-345-9939,180822.0,565246.0,Mesa,Jdpqutldftwykfyhukveiaimoyyk,Fpoleiod,AFLAC,1.0,S,18.0,549.0,O,9.0
Wds7584,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,,,1-093-616-0613,205843.0,1899339.0,Simi Valley,Qiwemtdba,Cuaieflmccqp,VeraSun Energy,2.0,W,40.0,705.0,O,0.0
Xsj7585,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,M,f,1-546-131-8988,470985.0,3873239.0,St. Catharines,JQKEDISZ,qiraymmapgf,Magellan Health Services,3.0,M,29.0,387.0,O,6.0
Lux7586,Nhgrkzjzcrjcerkwrugwul,,v,1-477-186-7432,318225.0,767547.0,Washington,Gfuwa,Tsynomgib,Emcor Group,1.0,U,21.0,359.0,,7.0
wxw7587,,f,,1-965-848-6954,326044.0,1027999.0,Chula Vista,CTTUYHUUMMDTX,Amudllk,Peabody Energy,2.0,M,41.0,494.0,O,9.0
pfz7588,uiaoi,m,e,1-622-866-0937,,3428495.0,Montpelier,Wvtqm,ELQKT,State Farm Insurance Cos.,1.0,M,56.0,345.0,,10.0
hlx7589,Wwonzdtvwkn,M,,1-040-217-2014,187282.0,1827180.0,Mesa,xuwgpsvzcpxtoerndtr,Oiwac,Humana,0.0,M,33.0,402.0,O,10.0
nyb7590,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,,,1-101-684-2373,,2070007.0,New Haven,Hnnzpokbygacjjgybkskf,Dqgzinvuxxy,News Corp.,0.0,M,96.0,579.0,O,3.0
Ltt7591,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,,O,1-386-426-5849,,,Indianapolis,qsnivsknktiwjpqwnrlgftnmsrxkjc,Nchaajfkjvx,Torchmark,0.0,,35.0,569.0,O,2.0
gsz7592,cezvfwtftwlwfrgrpxtuejvrgucexe,,,1-598-816-0126,306946.0,3596263.0,Stockton,pygsfvfpeofkdcugfvxdsqgmcgebfp,XEDMBUAMGXKH,Rock-Tenn,4.0,W,40.0,745.0,O,9.0
Kwp7593,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,,,1-770-379-7700,99663.0,3719999.0,Louisville,Zgxsuo,crxbrlj,AGCO,,D,10.0,320.0,U,1.0
AGM7594,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,,D,,482013.0,3058439.0,Atlanta,ganifmdaqbltccwbqijtkypcetuq,Eytubbwi,,4.0,M,59.0,591.0,R,4.0
Ocn7595,Ctgihaqlm,m,u,1-628-245-6238,180476.0,2592932.0,Milwaukee,IYCOMORWDFSEKN,Lwftldizl,United Stationers,0.0,M,70.0,,U,10.0
Cmw7596,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,F,,1-813-787-2611,285682.0,1471273.0,Fort Smith,vdvdlfz,GSSFZNBZL,McCormick,5.0,M,69.0,417.0,,5.0
Dit7597,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,,V,1-362-897-1162,455032.0,,Knoxville,Sbwymtnwzhffkwjczlsnvrtcv,Nrnqtmjz,National Life Group,5.0,M,96.0,338.0,R,8.0
Rmm7598,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,,S,1-952-919-4878,356141.0,2410816.0,Idaho Falls,qjjwbffbgxilxyarhjwdvo,Rzjxvum,Hasbro,,S,9.0,340.0,O,9.0
ekj7599,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,,,1-145-214-8009,165667.0,1059543.0,Jacksonville,JIXUQX,Accezkuzqrif,Tupperware Brands,3.0,U,39.0,738.0,U,5.0
wcq7600,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,,A,1-328-944-9786,459767.0,379282.0,Stockton,Eqrxuc,LNZZPGOTEG,Covance,2.0,S,31.0,597.0,O,7.0
Klc7601,RSSNUTWWLOKIHRRTPEAFTLBF,f,,1-899-864-9421,106459.0,3271265.0,Thousand Oaks,PDAXUXBMPOVTKJUR,YINOHET,Interactive Brokers Group,2.0,M,64.0,603.0,R,4.0
Jrd7602,Sachwqwddeyfxvagihsjxtcsibaejb,,,1-877-997-8896,51021.0,1530364.0,Nashua,Adftxl,ddgkyv,SkyWest,1.0,D,38.0,662.0,U,5.0
GDQ7603,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,,,1-750-900-0823,494931.0,3731860.0,Tallahassee,Gaksvvggpbleteofow,Seiksuhglhj,Best Buy,4.0,W,47.0,838.0,R,0.0
fnm7604,Sbutxmtwkb,,,,429859.0,2488858.0,Brownsville,Ijstknxzfzsvqmy,Ytgghhaxc,Sears Holdings,2.0,M,,791.0,O,9.0
Ymu7605,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,,e,1-347-704-7823,,2301347.0,Charlotte,jvhwyzbcwdrrqmlbvpjwbohhemm,Ajlcdadx,Frontier Oil,4.0,S,76.0,692.0,O,7.0
Pxj7606,mnkidgiyajigobghpnkdvauwiubpjb,,R,1-228-976-2888,464086.0,1736571.0,Oakland,nhhjbqktsr,Daivf,Automatic Data Processing,3.0,W,60.0,673.0,O,8.0
Rsd7607,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,,M,,207651.0,2399483.0,Fort Wayne,Lmhtjwddyqbzlxgv,xrquzcptycg,,,U,73.0,331.0,O,7.0
Qqh7608,Fmrydeogisvvtrpsfonolelpnqcbkrr,,,1-760-429-1328,260418.0,2982744.0,Chula Vista,BXFLGQTJSJDQAUCXXJXWHTQU,shigmwk,Comerica,,U,37.0,744.0,O,2.0
udq7609,Xhggtfwyslxvgeiuzjfxewcsweefq,,Q,1-253-879-8833,,1611011.0,Peoria,Tlaihggmhfiuezhjgps,enehob,Baldor Electric,1.0,M,50.0,446.0,U,6.0
Ghl7610,,,M,1-401-256-3483,316963.0,2999167.0,Lexington,DSRXJZKFJTIVXLBAX,RNLAKRXSPA,Commercial Metals,4.0,M,0.0,,O,0.0
mtk7611,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,f,,1-175-910-8245,84046.0,,Salem,Annsrbdzywmpqvigpn,Hlezt,,,W,,,O,
QIY7612,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,,,1-565-191-3419,368990.0,3307491.0,San Jose,Mrawpcvb,Iyqmkpcjx,Molina Healthcare,3.0,M,,723.0,O,9.0
Ohz7613,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,,,1-921-688-5401,124382.0,2057260.0,Kansas City,yociu,klgnkcaedht,Plains All American Pipeline,0.0,S,81.0,348.0,O,2.0
djg7614,Gvdteormavfflajkedaclod,,,1-925-155-0170,9263.0,53179.0,Windsor,DQNVNWPYSMLDGXJVBUHUKDLRSLN,Jsombikj,Agilent Technologies,0.0,M,52.0,666.0,O,
Iad7615,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,,,1-185-691-2951,334181.0,690086.0,Chicago,wfnjfn,Xtckbvng,AutoZone,4.0,M,68.0,,U,3.0
