prospect_AgencyID,prospect_LastName,prospect_Phone,prospect_AddressLine2,prospect_AddressLine1,prospect_PostalCode,prospect_NumberChildren,prospect_MaritalStatus,prospect_Age,prospect_CreditRating,prospect_OwnOrRentFlag,prospect_Employer,prospect_NumberCreditCards,prospect_NetWorth
Ffs7514,Ffshsiomkzjonhxjhunfsao,1-536-880-0961,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,,Lwbawk,1.0,U,10.0,786.0,R,MDU Resources Group,4.0,1167013.0
Kvv7515,Kvvverfkpazpzzkrqniixrhnw,1-494-335-6022,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Ppsrzjdtg,3.0,U,24.0,,O,Freescale Semiconductor,10.0,3960216.0
mpz7516,mpzqnwnrmaozfsstcqtrc,1-814-158-3550,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,,,4.0,M,18.0,623.0,O,Superior Energy Services,5.0,242246.0
Jhc7517,Jhcbaxyzijphmmvpampdgvgisnab,1-420-580-0795,Havgczldcpfmwfzj,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,,1.0,S,79.0,845.0,O,Monsanto,1.0,1217660.0
dbq7518,dbqcukoddoiwg,1-924-305-1666,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Rxdsunq,5.0,M,36.0,645.0,U,Newfield Exploration,7.0,1229655.0
Xch7519,Xchoxlbkffuvox,1-450-082-2122,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,JXHVEEOU,2.0,W,21.0,495.0,O,Loews,1.0,1157831.0
oir7520,oirfujtvl,1-573-009-1404,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,XHJQCDPOO,2.0,M,4.0,371.0,O,Apache,8.0,
Fqb7521,Fqbovz,1-603-897-9894,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,rapkjpmvp,3.0,S,72.0,462.0,R,Robert Half International,1.0,
qex7522,qextfjyytqwbmdrlykbfnhvqrmota,1-947-161-6502,Rirmrpvlknyho,Dmyivtczopuqajpnjqvvgbhxynvduub,Slskxm,,S,1.0,375.0,U,Viacom,7.0,3467922.0
Hpi7523,Hpiedhvkedqqdxsoedt,1-586-826-9847,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,FXHXLG,2.0,S,98.0,516.0,U,Robert Half International,10.0,46859.0
Fjd7524,Fjdafgbcrml,1-217-243-2668,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Esuycdxsjfbrqbtluspxsehk,ovlziicdezok,5.0,,35.0,703.0,R,CSX,,2937668.0
Cgt7525,Cgtcmbl,1-857-211-5728,Rpzwirgfyiw,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,jsxcpvao,2.0,W,99.0,734.0,O,Country Financial Services,7.0,2388613.0
Lwx7526,Lwxudfgcqawccntqaucdaeym,1-089-966-6281,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Ykerbceq,2.0,M,49.0,469.0,U,Procter & Gamble,4.0,3116283.0
epy7527,epyxtfsrijhddstgaxkbgmlayjtk,,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,vnyndcximwxhecv,VVMSNWEBT,0.0,S,72.0,595.0,O,Ingles Markets,2.0,2671950.0
Aff7528,Affcha,1-231-342-6874,Acdrcqabtcdgmgl,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,bibueqwbejem,0.0,U,41.0,410.0,O,Forest Laboratories,1.0,3899593.0
mfc7529,mfcestd,,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,,gehpynlk,2.0,W,54.0,475.0,O,Dentsply International,10.0,2537332.0
Slf7530,Slfbmvc,1-602-637-1838,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,GVSBHGBDDVJFNNOZNNPJWCOI,Piwlxtg,2.0,,11.0,,R,RadioShack,2.0,733236.0
Cxu7531,Cxuousxqyrfgjvpvuopyfguqva,1-003-982-8627,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Ujlshmosjkid,5.0,W,0.0,519.0,O,Century Aluminum,3.0,
GZO7532,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,1-136-358-6852,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,BIQIOQOHLQSTBRUFOI,cwburwnupuj,3.0,D,27.0,841.0,U,,5.0,3397276.0
DRW7533,DRWTVTDSG,1-123-528-2965,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Llfaqkbemnoy,CNEZMHTKIAEV,1.0,U,95.0,540.0,O,FPL Group,6.0,2444257.0
set7534,setksinlvlrjwnfu,1-136-565-2501,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,kixvppuqtd,3.0,U,35.0,540.0,R,Lockheed Martin,10.0,71520.0
Pyo7535,Pyoixliri,1-317-986-1984,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,jrhynxfi,1.0,M,96.0,,O,Sanmina-SCI,6.0,1911091.0
FSH7536,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,1-265-603-1262,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,dnhtjyu,0.0,W,96.0,424.0,O,Iron Mountain,6.0,988775.0
Tdx7537,Tdxyljuxporjhdumcvfmv,,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,YKOVOTYB,5.0,M,49.0,623.0,R,OfficeMax,2.0,3919363.0
Sbn7538,Sbnxcsrozzcufdoyvckpplofysx,1-156-668-6882,XHQNMCEJKXOQYVSZVESLKC,atydogjpqphuwhegtbukkqiaeakrtrn,WNNMWJ,1.0,S,,792.0,O,AMR,4.0,428918.0
Piq7539,Piqizouhxiw,1-164-648-3203,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Hlotorcbtobuceb,Oktkljv,4.0,S,27.0,718.0,O,Kohl's,6.0,58134.0
IXD7540,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,1-839-795-1027,Toumjfbsumpgfuskpydjeibaxi,gsrdigbqfwrahybxrtm,,0.0,M,98.0,401.0,O,Cigna,6.0,3703767.0
wsn7541,wsnjomkxbtybfnmtcjhvmblfwamnwd,1-958-412-4252,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,GXFLSISZUY,5.0,M,,557.0,R,West,2.0,433859.0
Jkp7542,Jkpmtcj,1-392-335-1020,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,gzexcrngivl,5.0,W,56.0,393.0,O,Monsanto,7.0,3002044.0
CCF7543,CCFFVCOHCLUUXZIQTCFCUHEYN,1-912-050-7605,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,,yzoikhwrd,4.0,M,94.0,557.0,,Reliant Energy,10.0,1124168.0
ylj7544,yljvuglvt,1-075-551-9919,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,RELJYREDKQEKGOORBLRKOUIC,Gdbktega,5.0,U,98.0,465.0,O,Idearc,5.0,2081541.0
ZBB7545,ZBBXAWVJAAL,1-013-611-2674,hkyochorqgtokxgozmoncalaaiw,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Kdcqzpvf,1.0,M,8.0,,O,Neiman Marcus,6.0,1897076.0
fqe7546,fqekemquvstw,1-656-865-7544,Datdnghoiymltcayulgkgxywi,Yewxbqpnfgh,Tbwgwtmgcu,,W,90.0,485.0,,O'Reilly Automotive,10.0,235172.0
Wpw7547,Wpwhilrlzng,1-879-870-7379,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Mwmfs,2.0,M,34.0,303.0,,Cliffs Natural Resources,2.0,639573.0
vpz7548,vpzxgcwljllsq,1-366-625-9813,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,goelqgcts,2.0,W,25.0,846.0,O,Health Management Associates,4.0,2667082.0
Yfz7549,Yfzmtcvxc,1-359-462-7089,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,ucwygjzs,4.0,,50.0,621.0,O,Chevron,1.0,2598634.0
dou7550,douvwdwiwrxoivzaojazinrhswjv,,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,fjlfqftwg,4.0,D,85.0,331.0,O,Exide Technologies,,1074671.0
FDJ7551,FDJOVRSOCWEIKZ,1-153-396-8333,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,hfuyqlsmbesrylepu,Tocujgaiaq,4.0,M,60.0,401.0,R,Convergys,9.0,2272997.0
ufu7552,ufutrfkevxnbupjcetrpltw,1-144-623-1308,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,kurjmmgixxfd,2.0,S,95.0,644.0,R,Dominion Resources,0.0,702000.0
bbg7553,bbgzmquoeecumw,1-269-220-8046,NBSHKLXYVUUWXEQSGXR,qgjnvpwvmgsqzcanzncon,cnsavindoi,1.0,M,8.0,769.0,R,Sentry Insurance Group,5.0,1289800.0
Znk7554,Znkkdbkvxcxeuackyodqlkpl,1-052-524-0130,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,HNBGLUDIOAJRCCIXGDUQOO,MQBSAUVQRPYE,4.0,M,31.0,481.0,O,Cintas,2.0,1007390.0
CGQ7555,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,1-335-871-6660,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,vadbnvz,2.0,U,51.0,732.0,O,Medtronic,7.0,124290.0
add7556,addxtssyhezwro,1-637-394-8083,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,dnlleihfh,Ljurvnigr,4.0,M,24.0,802.0,O,Pride International,2.0,1820002.0
Anw7557,Anwyusqezrjppzkaevffwljm,1-706-795-4208,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,BQDMQVFTNBRJ,4.0,M,78.0,329.0,O,A. Schulman,5.0,2200347.0
Hvt7558,Hvtanebvipbdd,1-622-347-5699,nqcozjievwzk,Wsjaujjdexc,jkcul,0.0,W,56.0,839.0,R,Oneok,0.0,3669569.0
Yqj7559,Yqjaammjlhgpw,1-042-017-9368,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Ojberg,Nelny,,U,50.0,539.0,,Danaher,,2140537.0
Ztn7560,Ztnstwpjxatqveppicohpzilnn,1-829-935-5979,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Qsggz,5.0,M,52.0,561.0,R,Del Monte Foods,4.0,3258909.0
bni7561,bnizllrrofn,1-076-726-5283,Lfrjkyblujmbxigmylpsxieswspmei,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Drofa,5.0,W,14.0,814.0,O,American Electric Power,2.0,1825422.0
swx7562,swxorhmdydwbrtdqxroghsddlpbdgi,,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Xwtkpxqgohxwxnv,Ssovhtmt,0.0,M,29.0,305.0,R,TJX,7.0,1845263.0
DSA7563,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,1-284-129-5920,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Qpvmtkxxfef,Tnprhljfrlj,4.0,S,50.0,457.0,O,Philip Morris International,4.0,1463114.0
BXZ7564,BXZUTWBUFSGPPXKR,1-128-308-8886,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Bkxujhonjgjk,1.0,U,67.0,349.0,O,Cincinnati Financial,8.0,2354683.0
pcz7565,pczqycbwefse,1-145-469-5971,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,KRYAIAJGKHBKXBLC,mrjrjhgnwcdu,0.0,M,22.0,590.0,O,Stryker,0.0,436677.0
Zqa7566,Zqaknviqngvemehvpzrcgkcvre,1-727-684-7767,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,,Yusezkfgs,4.0,U,20.0,533.0,O,Kansas City Southern,0.0,2383335.0
Htl7567,Htltlfnvjctvvdvulpkhcbyfi,1-776-201-2472,IBQIDE,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,RKXTQAO,0.0,W,75.0,686.0,O,IDT,9.0,2574739.0
afw7568,afwafvxxdr,1-767-942-1278,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,VBDCWYVK,UBQSATXZO,0.0,U,60.0,582.0,O,Vornado Realty Trust,10.0,1596838.0
Wna7569,Wnakgzhqfhtavtvegjtdmdosnjr,1-723-062-7266,Lrebujnrg,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,BHRNWQLFVFA,4.0,S,,807.0,O,Dollar General,0.0,591965.0
Mlh7570,Mlheqxaigtvjaynkffyqkpu,,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Ktmzav,5.0,S,48.0,819.0,O,Safeway,3.0,3071440.0
Gor7571,Gorjnqxjtefmomsbmtnogaerx,1-145-314-0862,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Gwxymofcy,Nfpchgfj,0.0,M,91.0,311.0,R,Apache,5.0,2683081.0
ENX7572,ENXOMNHFVPYQSABETPUEKRKCL,1-735-104-7772,Hxutrprq,Qynjnmfgwxpmrw,Wuywecohosfi,5.0,U,98.0,734.0,O,Lowe's,3.0,3850483.0
fgr7573,fgrdzzudzmwlluff,,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,tibxlojrqiha,1.0,W,51.0,432.0,O,Lithia Motors,1.0,1870617.0
Ysh7574,Yshzkx,1-518-116-1411,JRHXPUUHAFHDPF,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,ogmes,0.0,S,22.0,394.0,O,CH2M Hill,3.0,1249534.0
Mos7575,Mosqjrkdycyygfsljqadgfqoldb,1-696-359-4829,yvntcqjqqmbftwetvbqgclcdbxspvk,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,JUBKXDKP,0.0,U,57.0,658.0,O,Tellabs,1.0,3789880.0
czu7576,czuvw,1-352-678-5471,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,Xbgykqm,2.0,M,38.0,348.0,O,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,Ghrlcuscpesuzsdwqfwwbgh,1-906-600-9749,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,BESJDYZDIOIXKDFEHBQXBPW,NNCXIBTCXZA,5.0,M,68.0,598.0,O,Wells Fargo,8.0,437353.0
Rwk7578,Rwkdeshuwhwvmvmdnckmuvdt,1-093-018-2851,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,Ouopoqztakszwsfkthdbwndfjuqaelyd,mfwuio,2.0,U,93.0,505.0,O,Vornado Realty Trust,9.0,2669917.0
Uwi7579,Uwinnbtdd,1-302-096-9321,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,Ivwhotvobwkshcixclfobqoljlaqohw,Utgwrun,3.0,S,48.0,839.0,R,New York Times,7.0,1466537.0
VXZ7580,VXZTLDNZPYIFIKTIJRXS,1-915-044-3154,CYQWJKJB,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,Wgulrhctjlg,1.0,S,96.0,672.0,U,Adobe Systems,2.0,991860.0
Ayk7581,Aykkkc,1-040-274-3474,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,Srhxvxe,5.0,M,58.0,696.0,O,Valmont Industries,3.0,
lho7582,lhodktal,1-678-397-2739,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,Dadkihaohc,3.0,W,63.0,448.0,O,UAL,5.0,1816368.0
rzi7583,rziprpcfwnirtuvrbfnuepq,1-679-345-9939,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,Fpoleiod,1.0,S,18.0,549.0,O,AFLAC,9.0,565246.0
Wds7584,Wdsuorykxmvfxupyyjl,1-093-616-0613,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Cuaieflmccqp,2.0,W,40.0,705.0,O,VeraSun Energy,0.0,1899339.0
Xsj7585,Xsjypvyfoqbiq,1-546-131-8988,ccfzcxohrhrcnypedmhjovjyjrxi,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,qiraymmapgf,3.0,M,29.0,387.0,O,Magellan Health Services,6.0,3873239.0
Lux7586,Luxkby,1-477-186-7432,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,Nhgrkzjzcrjcerkwrugwul,Tsynomgib,1.0,U,21.0,359.0,,Emcor Group,7.0,767547.0
wxw7587,wxwhwasadsmxchyhlgrvnurte,1-965-848-6954,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,,Amudllk,2.0,M,41.0,494.0,O,Peabody Energy,9.0,1027999.0
pfz7588,pfzjoarqopfjtzjalxxxeq,1-622-866-0937,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,uiaoi,ELQKT,1.0,M,56.0,345.0,,State Farm Insurance Cos.,10.0,3428495.0
hlx7589,hlxshqpvshstjerwclb,1-040-217-2014,REHWDWEP,Wwonzdtvwkn,Oiwac,0.0,M,33.0,402.0,O,Humana,10.0,1827180.0
nyb7590,nybiaaw,1-101-684-2373,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,Dqgzinvuxxy,0.0,M,96.0,579.0,O,News Corp.,3.0,2070007.0
Ltt7591,Lttvvpjjavydrmbt,1-386-426-5849,DIMPFMEBDNHBCT,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,Nchaajfkjvx,0.0,,35.0,569.0,O,Torchmark,2.0,
gsz7592,gszunimggpyfjzmivbwizzftuen,1-598-816-0126,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,cezvfwtftwlwfrgrpxtuejvrgucexe,XEDMBUAMGXKH,4.0,W,40.0,745.0,O,Rock-Tenn,9.0,3596263.0
Kwp7593,Kwpztgkknktyvdks,1-770-379-7700,DVYTEPWCABNSGPTLJEMPQLTEWM,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,crxbrlj,,D,10.0,320.0,U,AGCO,1.0,3719999.0
AGM7594,AGMCLBCUEPVBRKDKWAGBCFOLYET,,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,Eytubbwi,4.0,M,59.0,591.0,R,,4.0,3058439.0
Ocn7595,Ocnds,1-628-245-6238,,Ctgihaqlm,Lwftldizl,0.0,M,70.0,,U,United Stationers,10.0,2592932.0
Cmw7596,Cmweamsabhudajyhpsohkpzcy,1-813-787-2611,qlgnszfowrbrkuurrmjrfnfaeulhneecv,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,GSSFZNBZL,5.0,M,69.0,417.0,,McCormick,5.0,1471273.0
Dit7597,Ditjvpiidkjkvxssfnctzcczb,1-362-897-1162,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,Nrnqtmjz,5.0,M,96.0,338.0,R,National Life Group,8.0,
