FirstName,NumberChildren,LastName,CreditRating,AddressLine1,NumberCars,MaritalStatus,OwnOrRentFlag,State,AddressLine2,NumberCreditCards,City,Employer,Gender,MiddleInitial,Phone,Age,AgencyID,PostalCode,Income,Country,NetWorth
Radoslav,1.0,luzarraga,795.0,16124 weyland park,1.0,U,O,TX,,8.0,St. Louis,Costco Wholesale,f,V,1-752-296-7940,,luz22,C2a 4w7,330991.0,United States of America,2041224.0
Aryn,0.0,donovan,367.0,23822 marvin crescent,4.0,,U,IN,,5.0,Colorado Springs,Illinois Tool Works,,S,1-995-554-5056,5.0,don23,35808,,United States of America,2231509.0
Allisan,5.0,Giallo,507.0,2203 valita boulevard,1.0,M,O,MD,,1.0,Fontana,Southern Union,,T,1-090-303-3807,23.0,Gia24,M5f 1v6,252031.0,United States of America,3206409.0
Ammamaria,1.0,SPRUELL,362.0,11538 COLLINWOOD AVENUE,3.0,M,O,KY,,9.0,St. Catharines,Moog,M,,1-492-968-0932,61.0,SPR25,99539,101800.0,United States of America,3850037.0
Mari,1.0,SKALSKI,527.0,7818 EAST STREET,0.0,D,O,CA,,7.0,Hayward,Old Republic International,F,,1-960-227-2020,,SKA26,95055,436977.0,United States of America,528440.0
Anica,,Gargul,354.0,10013 shaw road,0.0,S,O,FL,,0.0,Palmdale,,m,,1-431-122-8597,51.0,Gar27,93686,495334.0,United States of America,597140.0
Melba,1.0,Dore,511.0,6802 AMES STREET,1.0,M,O,Newfoundland,,1.0,Phoenix,Great Plains Energy,,,1-822-836-7200,97.0,Dor28,75218,274685.0,United States of America,146931.0
Tracee,2.0,DIOGO,412.0,22501 SUMMIT RUE,2.0,,,TX,,7.0,Gary,Broadcom,,X,1-530-117-0497,52.0,DIO29,91174,320820.0,United States of America,353495.0
CANADIAN,0.0,Merrick,583.0,291 frances rue,4.0,S,O,WA,,1.0,Beaumont,Discover Financial Services,m,,1-051-257-2719,98.0,Mer30,49515,195835.0,Canada,295647.0
Oue,3.0,Atchison,710.0,16264 sanders east,5.0,U,O,MN,,5.0,Nashua,UAL,,R,1-171-989-1363,47.0,Atc31,16506,108085.0,United States of America,408941.0
wallie,1.0,Plamondon,380.0,16068 cantey way,2.0,M,O,WY,,9.0,San Jose,Charles Schwab,m,X,1-042-705-3246,47.0,Pla32,94383,260185.0,United States of America,362523.0
Andromache,0.0,SELCHOW,796.0,21170 EDLOE BOULEVARD,0.0,M,R,NY,,2.0,Nashua,Coach,F,E,1-098-328-2026,9.0,SEL33,T6d 1b3,258323.0,United States of America,2102359.0
THOR,3.0,shane,818.0,885 CROSBY LANE,1.0,M,U,SC,,2.0,Fort Smith,DaVita,f,Z,1-209-754-5635,85.0,sha34,25339,79476.0,United States of America,3480265.0
SALAH,3.0,MERWIN,766.0,12235 jay street,5.0,M,U,MS,,3.0,Lancaster,Marshall & Ilsley Corp.,,,1-498-781-3456,81.0,MER35,V6o 1v4,102156.0,United States of America,3648900.0
HOR-LAM,3.0,conrad,359.0,20340 LOMBARD CRESCENT,2.0,M,O,UT,,2.0,Colorado Springs,Cablevision Systems,,,1-615-241-0440,0.0,con36,01852,221481.0,United States of America,1161790.0
Vania,5.0,onsiteteam,401.0,22074 dexter upper,1.0,S,R,PA,,2.0,Washington,Barnes & Noble,M,,1-995-449-5200,28.0,ons37,78230,41836.0,United States of America,2050587.0
Niel,1.0,Summerlin,609.0,1540 MURIE RUE,1.0,U,O,OK,,0.0,Lowell,EMC,M,,1-295-673-4452,65.0,Sum38,93770,72389.0,Canada,3579198.0
ziad,0.0,grooms,630.0,7075 glen loch drive,3.0,S,O,WY,,2.0,Frederick,Fluor,,F,1-914-675-2986,20.0,gro39,m4l 1n4,66486.0,United States of America,889494.0
Claude,1.0,dilkie,671.0,11237 balmoral way,3.0,M,O,RI,Apt. 382,9.0,Mesa,Dollar General,,I,,55.0,dil40,22335,200185.0,United States of America,2205682.0
AVTAR,2.0,DOLSON,715.0,8316 GARDEN BROOK NORTH,0.0,U,O,HI,,10.0,Lakewood,Lear,,,1-825-739-0336,76.0,DOL41,V6C 1T4,289215.0,United States of America,1140117.0
Donny,1.0,Posthumus,707.0,2240 clifton lower,4.0,M,O,VA,,9.0,Cleveland,J.P. Morgan Chase & Co.,,,1-956-713-3802,1.0,Pos42,M6t 1h3,322484.0,United States of America,1421319.0
Cocos,2.0,Machika,329.0,20907 NOTINGHAM LOWER,4.0,M,O,OK,,0.0,Grand Rapids,Affinia Group Intermediate,,,1-814-932-1579,3.0,Mac43,95263,83458.0,United States of America,3525204.0
ruud,3.0,chenoweth,601.0,601 carroll lower,0.0,D,R,Prince Edward Island,,8.0,Peoria,,,,1-135-443-7282,100.0,che44,v5b 1p5,,United States of America,468976.0
Belvia,1.0,holbrooks,623.0,18267 state drive,5.0,W,O,SD,,2.0,Inglewood,Goldman Sachs Group,,,1-720-975-0667,81.0,hol45,32318,492407.0,United States of America,1685443.0
ATHAR,4.0,pfieffer,376.0,9270 LEAF SOUTH,4.0,S,O,OH,,2.0,Akron,E*Trade Financial,f,,1-871-598-3505,76.0,pfi46,93872,346630.0,United States of America,337564.0
Cherey,3.0,elkington,560.0,18582 PERIMETER BOULEVARD,1.0,W,O,MA,,0.0,Charlottetown,Pfizer,,Y,1-607-222-4809,51.0,elk47,92824,9572.0,Canada,84777.0
RAZ,5.0,Labenek,693.0,9612 park stream upper,1.0,,O,MD,,4.0,Bellevue,Safeway,F,,1-965-046-0642,,Lab48,e4a 1r2,265369.0,United States of America,3146477.0
kishore,2.0,laferriere,346.0,2803 clearwater north,1.0,S,U,Saskatchewan,,0.0,Dover,Simon Property Group,,Y,1-155-441-3579,58.0,laf49,H7G 1V4,104172.0,United States of America,495277.0
Nelleke,3.0,Norment,342.0,11103 BISSONNET WEST,0.0,M,O,WA,,0.0,Fullerton,Trinity Industries,,I,,52.0,Nor50,85039,65550.0,United States of America,746904.0
sibby,0.0,hagar,563.0,4652 outervale lane,2.0,M,R,OH,,8.0,Denver,Solutia,,,1-544-132-7237,91.0,hag51,v6m 1q3,,Canada,1219620.0
ericha,3.0,Betcher,391.0,341 dunbar west,2.0,M,O,WY,,4.0,Dallas,,m,,1-821-089-2089,17.0,Bet52,X7j 1r1,,United States of America,1718910.0
Janson,4.0,Van der,381.0,16176 vernon drive,4.0,S,O,NJ,,8.0,San Jose,A.O. Smith,m,,1-135-391-9787,6.0,Van53,B8b 1z5,66244.0,United States of America,
Dorotea,3.0,O'LEARY,539.0,23131 clint way,0.0,S,U,ND,,9.0,Bellevue,AptarGroup,F,,1-776-182-6215,89.0,O'L54,t5d 1v4,426954.0,United States of America,2636424.0
Denice,4.0,anderson,497.0,11640 baltic upper,5.0,M,O,NC,,0.0,San Buenaventura,Coca-Cola,m,,1-079-780-7761,99.0,and55,V6t 1r2,126891.0,United States of America,1326305.0
Myron,2.0,starks,661.0,20796 dolores drive,4.0,M,O,WV,,,St. Louis,Kimberly-Clark,,,1-504-346-4393,77.0,sta56,91177,454196.0,Canada,2241997.0
Barby,3.0,CHASSE,558.0,14359 COMMERCE WEST,5.0,S,R,GA,Apt. 275,0.0,Pueblo,Visteon,,,1-985-538-4351,,CHA57,T5c 1t1,163940.0,United States of America,1542891.0
Ariella,1.0,ASING,534.0,21448 hampton boulevard,,W,O,Ontario,,,Regina,TECO Energy,R,,1-254-097-9398,90.0,ASI58,35862,365213.0,Canada,797918.0
ADEY,0.0,askins,373.0,7637 pershing way,0.0,M,U,MA,,6.0,Saskatoon,Bemis,f,,1-545-924-9552,82.0,ask59,96820,428739.0,United States of America,347654.0
GAYEL,0.0,Kikuta,382.0,11529 arcana boulevard,4.0,M,O,CA,,8.0,Jackson,Wyeth,,K,1-984-233-8818,,Kik60,75238,142444.0,United States of America,2456397.0
Man,3.0,Chane,475.0,2700 windwood north,3.0,S,O,SD,,10.0,St. Petersburg,United Technologies,F,,1-528-691-1642,15.0,Cha61,85769,416168.0,United States of America,1284229.0
Klara,0.0,KILLEN,539.0,22279 gramercy road,2.0,D,O,Saskatchewan,,3.0,Scottsdale,Clorox,m,U,,,KIL62,H5i 1o9,291420.0,United States of America,618787.0
Abdalla,5.0,kinley,711.0,9828 west east,4.0,M,O,RI,,6.0,Charlotte,Discovery Communications,f,,1-171-807-8213,96.0,kin63,90849,413501.0,United States of America,1171606.0
bal,,MALAHER,606.0,5935 mcafee park,4.0,M,O,NC,,1.0,Waterbury,Williams-Sonoma,,,1-056-241-7009,38.0,MAL64,43644,,United States of America,3983261.0
Romy,3.0,Odum,494.0,12460 CLAYTON STREET,3.0,W,O,SD,,0.0,Chesapeake,Manitowoc,,J,1-389-414-0570,10.0,Odu65,99213,419143.0,United States of America,2328568.0
KORAL,5.0,DI NINNO,309.0,275 3rd drive,1.0,M,O,IL,,3.0,Hialeah,Henry Schein,,,1-583-542-1656,72.0,DI 66,72226,155057.0,United States of America,2078600.0
YUKIHIKO,5.0,STUBBLEFIELD,630.0,6907 FERNCLIFF CRESCENT,2.0,M,O,OR,,3.0,Charleston,Trinity Industries,,K,1-269-712-0672,97.0,STU67,V6Z 1Q9,313859.0,United States of America,2986155.0
Khanh,1.0,HAMBALI,330.0,885 crosby lane,4.0,S,O,Ontario,,10.0,Salem,Pepsi Bottling,,,1-670-102-0463,48.0,HAM68,20082,265907.0,United States of America,1864039.0
Darnell,0.0,LIBRARIAN,710.0,2344 kalani west,,S,O,FL,,9.0,Sacramento,UGI,m,,1-699-726-3895,97.0,LIB69,35827,283481.0,Canada,1293721.0
feridoun,0.0,ohsone,475.0,22870 LA CIENEGA STREET,4.0,M,R,NM,,7.0,Santa Clarita,Greif,M,,1-640-666-2876,73.0,ohs70,99692,200635.0,United States of America,3850114.0
Magdy,1.0,HUMMEL,596.0,8478 green avenue,0.0,U,O,NE,APT. 143,3.0,Sherbrooke,Equifax,,O,1-540-639-1311,71.0,HUM71,V6c 1q5,434519.0,United States of America,1618743.0
jiri,1.0,BRADD,670.0,23639 purdue rue,5.0,W,O,MI,,9.0,Colorado Springs,,,,1-285-874-8492,93.0,BRA72,80158,392315.0,United States of America,3383487.0
AILA,3.0,Boarder,722.0,19202 ansley park,5.0,U,O,New Brunswick,,,Berkeley,Freescale Semiconductor,,X,1-121-904-0040,53.0,Boa73,t6d 1b6,493829.0,United States of America,2981876.0
Vincenzo,2.0,Mcnally,587.0,11319 devonshire rue,3.0,U,O,NJ,,7.0,San Buenaventura,Aleris International,,,1-017-842-3201,32.0,Mcn74,33120,97489.0,United States of America,2109339.0
Minnnie,3.0,MARKOVICH,609.0,23665 deerwood park,4.0,S,O,ND,,4.0,New Haven,,F,,1-215-859-3206,1.0,MAR75,99742,,United States of America,791803.0
alfonzo,1.0,Willekes,401.0,4855 union north,0.0,S,O,Saskatchewan,,7.0,Shreveport,World Fuel Services,f,,1-764-520-7470,39.0,Wil76,V6N 1T1,383046.0,United States of America,3523678.0
Swandi,0.0,Deacetis,335.0,9466 SHADOWBRIAR WEST,4.0,M,,KS,,0.0,Lansing,R.R. Donnelley & Sons,m,S,1-414-130-0162,77.0,Dea77,44104,1190.0,United States of America,1681902.0
Anya,5.0,Houk,569.0,3504 regency avenue,5.0,U,O,SD,,7.0,Pembroke Pines,Brinker International,,,1-970-240-9990,18.0,Hou78,14605,85733.0,United States of America,3851455.0
Enrika,2.0,Goyette,,7281 northland lower,0.0,M,R,FL,,9.0,Palmdale,Temple-Inland,,,1-408-684-6459,70.0,Goy79,80076,387890.0,Canada,2339382.0
SONJA,0.0,Mok-fung,679.0,12481 hayden lower,2.0,S,O,Saskatchewan,,7.0,Savannah,Psychiatric Solutions,f,Z,1-330-353-5908,26.0,Mok80,V6I 1V6,16808.0,United States of America,
Liem,4.0,Rundle,356.0,2328 gracie avenue,,M,,FL,,10.0,Amarillo,Nash-Finch,,I,1-766-726-2675,,Run81,97307,304589.0,United States of America,2065016.0
COLLETTE,5.0,BELLEY,308.0,4737 campbell street,2.0,S,R,UT,,9.0,Anchorage,AMR,o,,1-938-425-7509,58.0,BEL82,46237,48506.0,United States of America,2454049.0
SIAMACK,4.0,BAER,412.0,2401 stratmore lower,0.0,M,O,WY,,4.0,Louisville,Spartan Stores,,Y,1-527-308-8874,43.0,BAE83,V6B 1S6,,United States of America,2423395.0
Toshihiro,3.0,MAULDIN,618.0,21477 JUNIPER CRESCENT,2.0,D,O,NH,,4.0,Hilo,Cigna,f,,1-810-590-0635,65.0,MAU84,H2d 1x1,358862.0,United States of America,1342045.0
Casey,3.0,Koohgoli,429.0,19214 YAUPON BOULEVARD,5.0,S,O,AR,,5.0,Sudbury,General Cable,,,1-274-548-2512,24.0,Koo85,95108,477614.0,United States of America,861756.0
Daryn,1.0,Lauriston,819.0,7785 rusk boulevard,3.0,S,O,CT,,3.0,Orlando,Dun & Bradstreet,,,1-649-754-4601,79.0,Lau86,80050,175414.0,United States of America,1215349.0
Adrianna,1.0,Mangum,552.0,18002 cantrell upper,0.0,M,O,VT,,7.0,Missoula,Casey's General Stores,F,L,1-905-932-1785,48.0,Man87,90122,427598.0,Canada,3981554.0
Cortney,4.0,PIERCY,587.0,23341 brookside upper,0.0,S,O,Manitoba,,9.0,Abilene,Jack in the Box,,,1-031-004-7697,69.0,PIE88,43614,368207.0,United States of America,3865937.0
Duane,1.0,Buscaglia,304.0,20494 ROSS WEST,3.0,S,O,NJ,,6.0,Saskatoon,Assurant,M,,1-994-812-4796,91.0,Bus89,61110,449944.0,United States of America,2804700.0
Tele,5.0,BABIONE,795.0,17552 SAVANNAH NORTH,5.0,,U,KY,,4.0,Irvine,Psychiatric Solutions,,,1-176-513-4041,75.0,BAB90,70174,166247.0,United States of America,3283558.0
Ophelia,3.0,Burkard,830.0,4462 pace crescent,1.0,S,O,GA,APT. 373,2.0,Reno,Danaher,M,,1-072-244-6337,85.0,Bur91,90324,391165.0,United States of America,450524.0
lorine,3.0,Kinsella,709.0,7161 tallowood upper,5.0,M,R,NJ,,3.0,Sacramento,Clorox,,,1-924-669-9328,76.0,Kin92,s7d 1n1,165854.0,United States of America,
Viole,1.0,POMMAINVILLE,493.0,3489 silver sage west,2.0,S,O,SC,,8.0,Topeka,Boyd Gaming,,,1-598-488-3541,68.0,POM93,93829,326181.0,United States of America,
Nani,,BOATWRIGHT,680.0,12481 hayden lower,3.0,M,O,TN,,,Rancho Cucamonga,Eaton,M,,1-295-539-3868,95.0,BOA94,89116,173387.0,United States of America,633760.0
cherey,5.0,Ronald,800.0,13210 3RD DRIVE,1.0,M,R,WY,,,Hilo,Dynegy,,R,1-554-020-0267,15.0,Ron95,94315,301127.0,United States of America,3634954.0
Redgie,5.0,weihs,614.0,8899 starling lane,1.0,M,R,Ontario,,4.0,Saint John,AmeriCredit,,A,1-793-621-4566,17.0,wei96,T5b 1u9,487230.0,United States of America,799268.0
Yousef,0.0,Helpb,763.0,11480 fennel south,4.0,,R,DC,,6.0,Torrance,SLM,M,P,1-787-267-4261,94.0,Hel97,T6b 1a5,425747.0,Canada,39093.0
Damaris,4.0,moghe,561.0,7266 cherry upper,4.0,S,O,Alberta,,3.0,Santa Clara,NV Energy,m,,1-668-247-1597,70.0,mog98,60699,401946.0,United States of America,2705353.0
Ilyssa,2.0,bozicevich,569.0,10678 ENGLEWOOD WEST,1.0,S,O,ME,,4.0,Torrance,Landstar System,,,1-901-346-8890,29.0,boz99,V6p 1s8,425422.0,United States of America,3565153.0
Moselle,1.0,Zaharychuk,634.0,21181 2ND RUE,4.0,M,O,MA,,5.0,Stockton,Pacific Life,,R,1-451-273-3803,52.0,Zah100,v6i 1p1,208890.0,United States of America,2832204.0
Dulsea,3.0,Andric,488.0,22963 hanover road,5.0,U,O,NV,,10.0,Paterson,Textron,F,,1-129-499-9136,51.0,And101,79423,67880.0,United States of America,2194345.0
Lyndsie,3.0,Bamfo,788.0,8268 cliffbrook boulevard,2.0,W,O,WA,,5.0,Mesa,Pfizer,,L,1-899-319-0772,24.0,Bam102,H5j 1o6,133412.0,Canada,3737140.0
KESLEY,4.0,frondozo,333.0,5118 montview court,3.0,D,O,WY,,8.0,Anchorage,Cigna,,,1-053-396-0441,98.0,fro103,93761,144829.0,United States of America,464753.0
LAUREL,1.0,Caron,601.0,17442 tallowood upper,1.0,M,U,NJ,,,Miami,Ameren,,J,1-239-665-9540,59.0,Car104,76150,,United States of America,596696.0
Steen,4.0,muchow,595.0,4038 WEDGEWOOD STREET,3.0,U,O,LA,,2.0,Great Falls,Consolidated Edison,f,V,1-605-888-3403,49.0,muc105,99717,143682.0,Canada,1504753.0
noel,1.0,gateau,433.0,20334 anaconda avenue,0.0,U,O,TX,,10.0,Erie,Occidental Petroleum,,,1-630-604-2543,1.0,gat106,60608,350020.0,United States of America,3049281.0
Tracey,,Schaefer,403.0,5385 young west,0.0,U,O,SC,,10.0,Hollywood,Sherwin-Williams,F,M,1-851-862-7928,79.0,Sch107,v6w 1u4,435103.0,United States of America,247478.0
Sarajane,5.0,pomerleau,615.0,2747 SINCLAIR LANE,1.0,,R,TX,,3.0,Tulsa,Affiliated Computer Services,,,1-065-415-5724,6.0,pom108,T5b 1t6,207768.0,United States of America,2750301.0
Geoffrey,4.0,cucuzzella,735.0,8622 BROWNWAY PARK,0.0,M,O,MN,,1.0,Tucson,Valassis Communications,F,K,1-408-512-1007,70.0,cuc109,23298,407512.0,United States of America,721333.0
loralyn,0.0,SUGARMAN,668.0,18048 GREEN NORTH,3.0,S,O,ID,,1.0,Anchorage,,q,Z,1-083-902-4184,23.0,SUG110,32803,403366.0,United States of America,669440.0
andrei,5.0,Pepe,349.0,18994 country boulevard,3.0,M,O,MI,,,Sandy,Smithfield Foods,,,1-568-403-7081,78.0,Pep111,64122,384095.0,Canada,2473979.0
javad,,Chandrashekar,654.0,16063 ashland road,4.0,S,,OK,SUITE 7,,Boston,,f,,1-824-389-0618,79.0,Cha112,T6b 1h2,288969.0,United States of America,3545170.0
Karna,3.0,SEIFERS,361.0,19309 mcfarlin north,2.0,U,O,UT,Apt. 971,6.0,Vancouver,TD Ameritrade,m,U,1-174-210-2058,72.0,SEI113,22222,233665.0,United States of America,1494871.0
Jocelyn,0.0,GARTLEY,427.0,2454 cliffbrook west,4.0,S,U,PA,,1.0,Akron,Comerica,F,S,1-425-503-7952,31.0,GAR114,T6a 1d2,147236.0,Canada,436164.0
Elvera,3.0,Touchette,322.0,15865 strand west,0.0,W,O,New Brunswick,,1.0,Lancaster,Steel Dynamics,M,,1-012-389-9089,86.0,Tou115,v5d 1n9,452557.0,United States of America,1069481.0
Nessy,0.0,Kurdziel,792.0,13776 east boulevard,2.0,S,R,UT,,9.0,Concord,Coca-Cola Enterprises,M,V,1-909-472-6704,,Kur116,23321,179305.0,United States of America,
lona,0.0,Herod,478.0,10570 WEIZMANN LOWER,3.0,U,O,VA,,2.0,Chesapeake,News Corp.,,,1-622-167-5411,87.0,Her117,90505,205817.0,Canada,2957261.0
RHEA,5.0,MCVICAR,477.0,15278 walnut hill road,,M,O,NH,,1.0,Flint,,,P,1-164-511-9338,92.0,MCV118,19066,262711.0,United States of America,228459.0
Josefa,5.0,LABFIVE,449.0,23007 WAKEFOREST WAY,1.0,M,O,VT,,6.0,Chattanooga,Stater Bros. Holdings,F,,1-804-532-9163,4.0,LAB119,v6s 1r3,84810.0,Canada,67267.0
alikee,4.0,butta,466.0,9088 rivas way,2.0,U,O,FL,,2.0,Billings,BorgWarner,,,1-197-370-0297,8.0,but120,78769,96441.0,United States of America,1087978.0
dolorita,5.0,Projects,483.0,18798 ullrich road,0.0,M,O,NC,,2.0,Scottsdale,CB Richard Ellis Group,m,,1-337-042-5687,97.0,Pro121,53769,462762.0,United States of America,3885967.0
Marilyn,4.0,Irc,588.0,18517 HULEN LOWER,5.0,D,O,VA,,4.0,Oshawa,Zimmer Holdings,,,1-056-138-5321,,Irc122,H7E 1U6,141890.0,United States of America,3271101.0
robertson,5.0,Zivkovic,313.0,11474 dodd lane,5.0,,O,DC,,2.0,Naperville,Mohawk Industries,,G,1-776-191-2031,40.0,Ziv123,e7o 1k1,156610.0,Canada,
Ilsa,4.0,simser,647.0,9375 wood south,1.0,U,R,NC,,1.0,Tampa,Berkshire Hathaway,,H,1-280-696-2706,95.0,sim124,90374,164752.0,United States of America,1999133.0
Pen,5.0,keifer,430.0,20479 wise avenue,1.0,S,O,MS,,2.0,Jackson,Saks,,I,1-857-581-6346,92.0,kei125,63169,278949.0,United States of America,1100786.0
AUBRETTE,5.0,arvin,467.0,19918 ROGERS NORTH,0.0,W,O,SC,,8.0,Hay River,Gardner Denver,f,P,,67.0,arv126,16515,,United States of America,563992.0
Cole,2.0,Praeuner,399.0,9284 coffey lower,3.0,M,O,KS,,7.0,Irvine,Hasbro,F,,1-716-343-0884,24.0,Pra127,85309,463736.0,United States of America,962397.0
liva,3.0,lue,654.0,2929 north crescent,2.0,M,O,VT,,5.0,Idaho Falls,CBS,m,C,1-101-776-2496,26.0,lue128,92158,,United States of America,1064169.0
Ayaz,0.0,Przybycien,378.0,15404 queen street,2.0,S,O,IL,,3.0,Moreno Valley,Synnex,f,,1-769-028-0589,62.0,Prz129,33152,86667.0,United States of America,2100059.0
YETTY,1.0,penn,338.0,1619 greenspoint road,5.0,W,O,FL,,10.0,Ontario,Belden,f,J,1-005-833-8970,37.0,pen130,83729,193470.0,United States of America,99025.0
Mary-michelle,0.0,Guay,695.0,21477 WARREN PARK,5.0,S,R,MI,,10.0,Concord,Broadcom,,S,1-884-215-4243,71.0,Gua131,B8b 1z6,406379.0,United States of America,3865481.0
agretha,3.0,brennand,614.0,6503 ROBBINS STREET,1.0,M,U,Newfoundland,,7.0,Phoenix,Reynolds American,F,,,29.0,bre132,53717,480595.0,Canada,804544.0
LOTTY,5.0,Savanh,307.0,3958 GLEN LOCH BOULEVARD,4.0,S,O,ME,,7.0,Coral Springs,Wells Fargo,f,X,1-725-177-7815,89.0,Sav133,t5c 1w7,181718.0,United States of America,3143356.0
Kassey,3.0,ABBATANTUONO,331.0,13640 ethridge lower,0.0,M,O,AL,,2.0,Oxnard,Retail Ventures,,Z,1-277-496-5396,11.0,ABB134,37245,468310.0,United States of America,
Adria,0.0,OP,638.0,3981 imperial lower,2.0,S,O,IN,,2.0,Brownsville,AT&T,M,N,1-756-463-2201,20.0,OP135,94401,354987.0,United States of America,2311953.0
audivox,5.0,Mersinger,703.0,13210 3rd drive,3.0,W,O,NH,,3.0,Memphis,Wynn Resorts,,,1-261-338-7463,75.0,Mer136,B8a 1y3,284539.0,Canada,3120608.0
SUE,5.0,rutt,302.0,9297 THROCKMORTON SOUTH,0.0,S,O,DC,,7.0,Flint,Eastman Kodak,F,,1-811-086-4675,95.0,rut137,t6b 1k2,213725.0,United States of America,2058270.0
Lorenza,3.0,bemis,522.0,8935 YOUNG UPPER,2.0,U,O,DC,,,Lafayette,Aramark,,I,1-338-771-1185,0.0,bem138,85306,74195.0,United States of America,1511983.0
Enzo,1.0,Pennington,,3797 RUTGERS PARK,5.0,M,O,MD,,,Greensboro,ENSCO International,,,1-554-231-5318,73.0,Pen139,V6R 1R7,169295.0,United States of America,439080.0
claudina,0.0,torok,833.0,8285 tamarind crescent,1.0,W,R,Prince Edward Island,,5.0,Sterling Heights,Auto-Owners Insurance,M,Y,1-733-886-5227,39.0,tor140,68513,307832.0,United States of America,921255.0
