prospect_Ag,prospect_Pho,prospect_NeWor,prospect_Inc,prospect_MariSt,prospect_PosCo,prospect_AgeID,prospect_AddrL2,prospect_C,prospect_CreRat,prospect_NuCrCar,prospect_Ge,prospect_NuChil,prospect_NumC,prospect_Cou,prospect_AddrL1,prospect_MiIn,prospect_LN,prospect_Sta,prospect_FirNa,prospect_Empl,prospect_OwORFl
8.0,1-915-548-9541,331799.0,,D,Oqnzttrldq,Wsk7513,ucxdpiwilpxxhv,Colorado Springs,613.0,4.0,m,1.0,4.0,United States of America,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,,Wskjvrujdwku,AR,Ccbccgvldfvoqtzestvkwunn,Boise,R
10.0,1-536-880-0961,1167013.0,432425.0,U,Lwbawk,Ffs7514,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Mobile,786.0,4.0,,1.0,4.0,,,v,Ffshsiomkzjonhxjhunfsao,IL,nyakrhdyxravdnhgbtol,MDU Resources Group,R
24.0,1-494-335-6022,3960216.0,122041.0,U,Ppsrzjdtg,Kvv7515,,Thousand Oaks,,10.0,,3.0,0.0,United States of America,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,F,Kvvverfkpazpzzkrqniixrhnw,VA,NDNBTVCLKSC,Freescale Semiconductor,O
18.0,1-814-158-3550,242246.0,302205.0,M,,mpz7516,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Rochester,623.0,5.0,f,4.0,1.0,United States of America,,G,mpzqnwnrmaozfsstcqtrc,ID,Zmstbluqkipzaojfsomtbdddguq,Superior Energy Services,O
79.0,1-420-580-0795,1217660.0,367555.0,S,,Jhc7517,Havgczldcpfmwfzj,Garden Grove,845.0,1.0,F,1.0,1.0,United States of America,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,s,Jhcbaxyzijphmmvpampdgvgisnab,TX,dpqgvuaoijmkxsesvililpxcrwqe,Monsanto,O
36.0,1-924-305-1666,1229655.0,106025.0,M,Rxdsunq,dbq7518,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Tampa,645.0,7.0,M,5.0,4.0,United States of America,rpikmvtgwsrsoehxgmxwypaueiaheabrf,l,dbqcukoddoiwg,New Brunswick,IHUGYGSRDWILVOFBAKUR,Newfield Exploration,U
21.0,1-450-082-2122,1157831.0,106690.0,W,JXHVEEOU,Xch7519,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Fullerton,495.0,1.0,m,2.0,2.0,Canada,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,,Xchoxlbkffuvox,Alberta,aefotdcronamhkzsfpvifmobgchmsp,Loews,O
4.0,1-573-009-1404,,29373.0,M,XHJQCDPOO,oir7520,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Washington,371.0,8.0,m,2.0,2.0,Canada,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,Z,oirfujtvl,PA,jdeyqkerjerjpht,Apache,O
72.0,1-603-897-9894,,168189.0,S,rapkjpmvp,Fqb7521,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Norfolk,462.0,1.0,M,3.0,2.0,United States of America,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,O,Fqbovz,Nova Scotia,Lwihnxoihqqrvjydsijd,Robert Half International,R
1.0,1-947-161-6502,3467922.0,264756.0,S,Slskxm,qex7522,Rirmrpvlknyho,Sydney,375.0,7.0,,,,United States of America,Dmyivtczopuqajpnjqvvgbhxynvduub,,qextfjyytqwbmdrlykbfnhvqrmota,RI,nmnervucuk,Viacom,U
98.0,1-586-826-9847,46859.0,44480.0,S,FXHXLG,Hpi7523,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Winnipeg,516.0,10.0,,2.0,1.0,Canada,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,,Hpiedhvkedqqdxsoedt,OR,hgjkxxbf,Robert Half International,U
35.0,1-217-243-2668,2937668.0,87207.0,,ovlziicdezok,Fjd7524,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Wilmington,703.0,,,5.0,1.0,Canada,Esuycdxsjfbrqbtluspxsehk,,Fjdafgbcrml,CA,Zangtryzlhmxo,CSX,R
99.0,1-857-211-5728,2388613.0,238434.0,W,jsxcpvao,Cgt7525,Rpzwirgfyiw,El Monte,734.0,7.0,,2.0,4.0,United States of America,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,,Cgtcmbl,MO,FFJGEQD,Country Financial Services,O
49.0,1-089-966-6281,3116283.0,,M,Ykerbceq,Lwx7526,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Sterling Heights,469.0,4.0,M,2.0,0.0,United States of America,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,,Lwxudfgcqawccntqaucdaeym,Prince Edward Island,Pdcxrihnl,Procter & Gamble,U
72.0,,2671950.0,391354.0,S,VVMSNWEBT,epy7527,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Pembroke Pines,595.0,2.0,,0.0,3.0,United States of America,vnyndcximwxhecv,,epyxtfsrijhddstgaxkbgmlayjtk,Quebec,Zckhcacwaelzutaodqalxyjrkh,Ingles Markets,O
41.0,1-231-342-6874,3899593.0,419165.0,U,bibueqwbejem,Aff7528,Acdrcqabtcdgmgl,Philadelphia,410.0,1.0,m,0.0,3.0,United States of America,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,M,Affcha,KS,sqrosgqnpifxjx,Forest Laboratories,O
54.0,,2537332.0,396509.0,W,gehpynlk,mfc7529,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Glendale,475.0,10.0,,2.0,3.0,Canada,,S,mfcestd,NV,Erqzkkllazeobgthnmgsbtj,Dentsply International,O
11.0,1-602-637-1838,733236.0,145161.0,,Piwlxtg,Slf7530,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,El Monte,,2.0,,2.0,0.0,United States of America,GVSBHGBDDVJFNNOZNNPJWCOI,S,Slfbmvc,TN,Lcziayaozecoqqluasolkmmcldm,RadioShack,R
0.0,1-003-982-8627,,263206.0,W,Ujlshmosjkid,Cxu7531,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Warwick,519.0,3.0,,5.0,2.0,United States of America,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,,Cxuousxqyrfgjvpvuopyfguqva,WY,Gcnczmuxviqaxtsdzmzhtro,Century Aluminum,O
27.0,1-136-358-6852,3397276.0,190371.0,D,cwburwnupuj,GZO7532,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,Milwaukee,841.0,5.0,,3.0,3.0,United States of America,BIQIOQOHLQSTBRUFOI,F,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,British Columbia,Rsoobsqytvjycob,,U
95.0,1-123-528-2965,2444257.0,203968.0,U,CNEZMHTKIAEV,DRW7533,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Phoenix,540.0,6.0,,1.0,3.0,United States of America,Llfaqkbemnoy,A,DRWTVTDSG,LA,Pjvadgt,FPL Group,O
35.0,1-136-565-2501,71520.0,428323.0,U,kixvppuqtd,set7534,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,Anchorage,540.0,10.0,f,3.0,1.0,United States of America,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,N,setksinlvlrjwnfu,HI,GUBKOKITTSKVYM,Lockheed Martin,R
96.0,1-317-986-1984,1911091.0,159980.0,M,jrhynxfi,Pyo7535,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Madison,,6.0,,1.0,4.0,United States of America,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,Pyoixliri,NY,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Sanmina-SCI,O
96.0,1-265-603-1262,988775.0,266852.0,W,dnhtjyu,FSH7536,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Fontana,424.0,6.0,M,0.0,0.0,Canada,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,TX,Kuteauo,Iron Mountain,O
49.0,,3919363.0,206973.0,M,YKOVOTYB,Tdx7537,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Charlotte,623.0,2.0,,5.0,5.0,United States of America,,,Tdxyljuxporjhdumcvfmv,AZ,Hkfofpndygljbeo,OfficeMax,R
,1-156-668-6882,428918.0,258221.0,S,WNNMWJ,Sbn7538,XHQNMCEJKXOQYVSZVESLKC,Richmond,792.0,4.0,,1.0,5.0,Canada,atydogjpqphuwhegtbukkqiaeakrtrn,O,Sbnxcsrozzcufdoyvckpplofysx,ME,Kengxgsu,AMR,O
27.0,1-164-648-3203,58134.0,428508.0,S,Oktkljv,Piq7539,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Santa Clarita,718.0,6.0,f,4.0,4.0,United States of America,Hlotorcbtobuceb,C,Piqizouhxiw,NH,Plywuoa,Kohl's,O
98.0,1-839-795-1027,3703767.0,,M,,IXD7540,Toumjfbsumpgfuskpydjeibaxi,Yellow Knife,401.0,6.0,M,0.0,4.0,,gsrdigbqfwrahybxrtm,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,KY,zfcwsxpjzyqelkxg,Cigna,O
,1-958-412-4252,433859.0,58953.0,M,GXFLSISZUY,wsn7541,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Oxnard,557.0,2.0,,5.0,4.0,United States of America,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,wsnjomkxbtybfnmtcjhvmblfwamnwd,Prince Edward Island,Yxvczhqjwgnhowiu,West,R
56.0,1-392-335-1020,3002044.0,409682.0,W,gzexcrngivl,Jkp7542,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Huntington Beach,393.0,7.0,M,5.0,5.0,United States of America,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,A,Jkpmtcj,British Columbia,Grkknjyfgbhtyrhxzeaoeoyirwfa,Monsanto,O
94.0,1-912-050-7605,1124168.0,340191.0,M,yzoikhwrd,CCF7543,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,Durham,557.0,10.0,M,4.0,2.0,United States of America,,,CCFFVCOHCLUUXZIQTCFCUHEYN,CT,Vfrdst,Reliant Energy,
98.0,1-075-551-9919,2081541.0,238216.0,U,Gdbktega,ylj7544,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Naperville,465.0,5.0,,5.0,4.0,United States of America,RELJYREDKQEKGOORBLRKOUIC,,yljvuglvt,WA,Hqcswumjvwbemosmy,Idearc,O
8.0,1-013-611-2674,1897076.0,113171.0,M,Kdcqzpvf,ZBB7545,hkyochorqgtokxgozmoncalaaiw,Albuquerque,,6.0,F,1.0,0.0,Canada,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,V,ZBBXAWVJAAL,ND,Ectbhkmbvwkwdbn,Neiman Marcus,O
90.0,1-656-865-7544,235172.0,234797.0,W,Tbwgwtmgcu,fqe7546,Datdnghoiymltcayulgkgxywi,Newark,485.0,10.0,m,,5.0,United States of America,Yewxbqpnfgh,,fqekemquvstw,ID,Bdbgqpllbnrmiirpct,O'Reilly Automotive,
34.0,1-879-870-7379,639573.0,225322.0,M,Mwmfs,Wpw7547,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Miami,303.0,2.0,,2.0,4.0,United States of America,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,,Wpwhilrlzng,Quebec,Ftszluaxcsoxdfbmdd,Cliffs Natural Resources,
25.0,1-366-625-9813,2667082.0,192689.0,W,goelqgcts,vpz7548,,London,846.0,4.0,,2.0,1.0,Canada,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,,vpzxgcwljllsq,ID,Qrdnpjquwnixfocqhsrlkcxmelwijl,Health Management Associates,O
50.0,1-359-462-7089,2598634.0,348685.0,,ucwygjzs,Yfz7549,,Worcester,621.0,1.0,,4.0,5.0,Canada,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,Yfzmtcvxc,AL,Kkiolpmrgzmnjanqc,Chevron,O
85.0,,1074671.0,401229.0,D,fjlfqftwg,dou7550,,Jacksonville,331.0,,,4.0,3.0,United States of America,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,douvwdwiwrxoivzaojazinrhswjv,UT,unzegilpp,Exide Technologies,O
60.0,1-153-396-8333,2272997.0,38597.0,M,Tocujgaiaq,FDJ7551,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Nashua,401.0,9.0,M,4.0,5.0,United States of America,hfuyqlsmbesrylepu,,FDJOVRSOCWEIKZ,MS,xetqkitwlh,Convergys,R
95.0,1-144-623-1308,702000.0,,S,kurjmmgixxfd,ufu7552,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Newport News,644.0,0.0,,2.0,2.0,United States of America,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,ufutrfkevxnbupjcetrpltw,AK,TWRRGULRYKYUWZYBQQFMIFFKVK,Dominion Resources,R
8.0,1-269-220-8046,1289800.0,161204.0,M,cnsavindoi,bbg7553,NBSHKLXYVUUWXEQSGXR,Corona,769.0,5.0,m,1.0,4.0,United States of America,qgjnvpwvmgsqzcanzncon,H,bbgzmquoeecumw,VT,Yqfljvgkfucafpjpamdtcppiipc,Sentry Insurance Group,R
31.0,1-052-524-0130,1007390.0,202650.0,M,MQBSAUVQRPYE,Znk7554,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Lincoln,481.0,2.0,f,4.0,3.0,,HNBGLUDIOAJRCCIXGDUQOO,v,Znkkdbkvxcxeuackyodqlkpl,LA,mjeasoritwctufyojamzbeeoo,Cintas,O
51.0,1-335-871-6660,124290.0,,U,vadbnvz,CGQ7555,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Toronto,732.0,7.0,F,2.0,1.0,Canada,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,T,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,CT,Udxaujgiratgthwkvdibgvwfo,Medtronic,O
24.0,1-637-394-8083,1820002.0,492433.0,M,Ljurvnigr,add7556,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Fayetteville,802.0,2.0,,4.0,4.0,United States of America,dnlleihfh,,addxtssyhezwro,UT,GHFUKZPOKMXWZF,Pride International,O
78.0,1-706-795-4208,2200347.0,344858.0,M,BQDMQVFTNBRJ,Anw7557,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Charlotte,329.0,5.0,,4.0,2.0,Canada,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,J,Anwyusqezrjppzkaevffwljm,IN,ybtkiifyhbgchnuctnhnqspk,A. Schulman,O
56.0,1-622-347-5699,3669569.0,197290.0,W,jkcul,Hvt7558,nqcozjievwzk,Tulsa,839.0,0.0,m,0.0,5.0,United States of America,Wsjaujjdexc,,Hvtanebvipbdd,WI,Fhkymmgjsbmpduuffgavhfcxm,Oneok,R
50.0,1-042-017-9368,2140537.0,283654.0,U,Nelny,Yqj7559,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Winston-Salem,539.0,,,,2.0,United States of America,Ojberg,d,Yqjaammjlhgpw,WA,DEZDTMSMWKALBRPALCFIME,Danaher,
52.0,1-829-935-5979,3258909.0,317423.0,M,Qsggz,Ztn7560,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Thousand Oaks,561.0,4.0,F,5.0,4.0,United States of America,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,,Ztnstwpjxatqveppicohpzilnn,LA,phoxfeiqoldgmnojmzunmargkla,Del Monte Foods,R
14.0,1-076-726-5283,1825422.0,399126.0,W,Drofa,bni7561,Lfrjkyblujmbxigmylpsxieswspmei,Lubbock,814.0,2.0,F,5.0,4.0,United States of America,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,,bnizllrrofn,VT,Upuabfflh,American Electric Power,O
29.0,,1845263.0,398180.0,M,Ssovhtmt,swx7562,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Winnipeg,305.0,7.0,,0.0,5.0,United States of America,Xwtkpxqgohxwxnv,,swxorhmdydwbrtdqxroghsddlpbdgi,CT,owagfolbfwjzeg,TJX,R
50.0,1-284-129-5920,1463114.0,,S,Tnprhljfrlj,DSA7563,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Laredo,457.0,4.0,f,4.0,2.0,United States of America,Qpvmtkxxfef,P,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,RI,Qdmppehqxloc,Philip Morris International,O
67.0,1-128-308-8886,2354683.0,485429.0,U,Bkxujhonjgjk,BXZ7564,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Overland Park,349.0,8.0,,1.0,4.0,United States of America,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,,BXZUTWBUFSGPPXKR,SC,jqbetxkci,Cincinnati Financial,O
22.0,1-145-469-5971,436677.0,118018.0,M,mrjrjhgnwcdu,pcz7565,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,Calgary,590.0,0.0,,0.0,2.0,United States of America,KRYAIAJGKHBKXBLC,,pczqycbwefse,British Columbia,Wsmywgbvwspgdwhmdxsqjwqb,Stryker,O
20.0,1-727-684-7767,2383335.0,309693.0,U,Yusezkfgs,Zqa7566,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Peoria,533.0,0.0,m,4.0,5.0,United States of America,,,Zqaknviqngvemehvpzrcgkcvre,CO,ocgwi,Kansas City Southern,O
75.0,1-776-201-2472,2574739.0,90718.0,W,RKXTQAO,Htl7567,IBQIDE,Durham,686.0,9.0,,0.0,4.0,Canada,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,z,Htltlfnvjctvvdvulpkhcbyfi,TN,Pcotdnngmurhkcd,IDT,O
60.0,1-767-942-1278,1596838.0,280645.0,U,UBQSATXZO,afw7568,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,Pueblo,582.0,10.0,F,0.0,2.0,United States of America,VBDCWYVK,L,afwafvxxdr,CA,bvcosqzcleknjzvkygbawlc,Vornado Realty Trust,O
,1-723-062-7266,591965.0,231559.0,S,BHRNWQLFVFA,Wna7569,Lrebujnrg,Las Cruces,807.0,0.0,,4.0,,United States of America,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,Wnakgzhqfhtavtvegjtdmdosnjr,WY,ECLENELTSXGTNWOP,Dollar General,O
48.0,,3071440.0,36898.0,S,Ktmzav,Mlh7570,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Chula Vista,819.0,3.0,,5.0,3.0,United States of America,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,Mlheqxaigtvjaynkffyqkpu,SD,Xdwexmrjat,Safeway,O
91.0,1-145-314-0862,2683081.0,396786.0,M,Nfpchgfj,Gor7571,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,San Diego,311.0,5.0,,0.0,2.0,United States of America,Gwxymofcy,,Gorjnqxjtefmomsbmtnogaerx,British Columbia,xjwnvwdryqpcehelwzfhkkiuus,Apache,R
98.0,1-735-104-7772,3850483.0,344365.0,U,Wuywecohosfi,ENX7572,Hxutrprq,Chicago,734.0,3.0,f,5.0,2.0,United States of America,Qynjnmfgwxpmrw,,ENXOMNHFVPYQSABETPUEKRKCL,NJ,RNBABCYAFMQPBOHXNUXMXNU,Lowe's,O
51.0,,1870617.0,1205.0,W,tibxlojrqiha,fgr7573,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Worcester,432.0,1.0,,1.0,4.0,United States of America,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,fgrdzzudzmwlluff,AK,Eyrtrqkljywvbcice,Lithia Motors,O
22.0,1-518-116-1411,1249534.0,276666.0,S,ogmes,Ysh7574,JRHXPUUHAFHDPF,Honolulu,394.0,3.0,m,0.0,5.0,United States of America,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,a,Yshzkx,OH,Opybrukftspofebjmspkjsgtobzsp,CH2M Hill,O
57.0,1-696-359-4829,3789880.0,497953.0,U,JUBKXDKP,Mos7575,yvntcqjqqmbftwetvbqgclcdbxspvk,Albuquerque,658.0,1.0,,0.0,0.0,United States of America,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,I,Mosqjrkdycyygfsljqadgfqoldb,New Brunswick,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,Tellabs,O
