MaritalStatus,OwnOrRentFlag,Income,AddressLine1,FirstName,Country,LastName,AgencyID,NumberCars,Gender,AddressLine2,CreditRating,MiddleInitial,NetWorth,Age,Employer,City,NumberChildren,Phone,PostalCode,State,NumberCreditCards
M,O,221481.0,20340 LOMBARD CRESCENT,HOR-LAM,United States of America,conrad,con36,2.0,,,359.0,,1161790.0,0.0,Cablevision Systems,Colorado Springs,3.0,1-615-241-0440,01852,UT,2.0
S,R,41836.0,22074 dexter upper,Vania,United States of America,onsiteteam,ons37,1.0,M,,401.0,,2050587.0,28.0,Barnes & Noble,Washington,5.0,1-995-449-5200,78230,PA,2.0
U,O,72389.0,1540 MURIE RUE,Niel,Canada,Summerlin,Sum38,1.0,M,,609.0,,3579198.0,65.0,EMC,Lowell,1.0,1-295-673-4452,93770,OK,0.0
S,O,66486.0,7075 glen loch drive,ziad,United States of America,grooms,gro39,3.0,,,630.0,F,889494.0,20.0,Fluor,Frederick,0.0,1-914-675-2986,m4l 1n4,WY,2.0
M,O,200185.0,11237 balmoral way,Claude,United States of America,dilkie,dil40,3.0,,Apt. 382,671.0,I,2205682.0,55.0,Dollar General,Mesa,1.0,,22335,RI,9.0
U,O,289215.0,8316 GARDEN BROOK NORTH,AVTAR,United States of America,DOLSON,DOL41,0.0,,,715.0,,1140117.0,76.0,Lear,Lakewood,2.0,1-825-739-0336,V6C 1T4,HI,10.0
M,O,322484.0,2240 clifton lower,Donny,United States of America,Posthumus,Pos42,4.0,,,707.0,,1421319.0,1.0,J.P. Morgan Chase & Co.,Cleveland,1.0,1-956-713-3802,M6t 1h3,VA,9.0
M,O,83458.0,20907 NOTINGHAM LOWER,Cocos,United States of America,Machika,Mac43,4.0,,,329.0,,3525204.0,3.0,Affinia Group Intermediate,Grand Rapids,2.0,1-814-932-1579,95263,OK,0.0
D,R,,601 carroll lower,ruud,United States of America,chenoweth,che44,0.0,,,601.0,,468976.0,100.0,,Peoria,3.0,1-135-443-7282,v5b 1p5,Prince Edward Island,8.0
W,O,492407.0,18267 state drive,Belvia,United States of America,holbrooks,hol45,5.0,,,623.0,,1685443.0,81.0,Goldman Sachs Group,Inglewood,1.0,1-720-975-0667,32318,SD,2.0
S,O,346630.0,9270 LEAF SOUTH,ATHAR,United States of America,pfieffer,pfi46,4.0,f,,376.0,,337564.0,76.0,E*Trade Financial,Akron,4.0,1-871-598-3505,93872,OH,2.0
W,O,9572.0,18582 PERIMETER BOULEVARD,Cherey,Canada,elkington,elk47,1.0,,,560.0,Y,84777.0,51.0,Pfizer,Charlottetown,3.0,1-607-222-4809,92824,MA,0.0
,O,265369.0,9612 park stream upper,RAZ,United States of America,Labenek,Lab48,1.0,F,,693.0,,3146477.0,,Safeway,Bellevue,5.0,1-965-046-0642,e4a 1r2,MD,4.0
S,U,104172.0,2803 clearwater north,kishore,United States of America,laferriere,laf49,1.0,,,346.0,Y,495277.0,58.0,Simon Property Group,Dover,2.0,1-155-441-3579,H7G 1V4,Saskatchewan,0.0
M,O,65550.0,11103 BISSONNET WEST,Nelleke,United States of America,Norment,Nor50,0.0,,,342.0,I,746904.0,52.0,Trinity Industries,Fullerton,3.0,,85039,WA,0.0
M,R,,4652 outervale lane,sibby,Canada,hagar,hag51,2.0,,,563.0,,1219620.0,91.0,Solutia,Denver,0.0,1-544-132-7237,v6m 1q3,OH,8.0
M,O,,341 dunbar west,ericha,United States of America,Betcher,Bet52,2.0,m,,391.0,,1718910.0,17.0,,Dallas,3.0,1-821-089-2089,X7j 1r1,WY,4.0
S,O,66244.0,16176 vernon drive,Janson,United States of America,Van der,Van53,4.0,m,,381.0,,,6.0,A.O. Smith,San Jose,4.0,1-135-391-9787,B8b 1z5,NJ,8.0
S,U,426954.0,23131 clint way,Dorotea,United States of America,O'LEARY,O'L54,0.0,F,,539.0,,2636424.0,89.0,AptarGroup,Bellevue,3.0,1-776-182-6215,t5d 1v4,ND,9.0
M,O,126891.0,11640 baltic upper,Denice,United States of America,anderson,and55,5.0,m,,497.0,,1326305.0,99.0,Coca-Cola,San Buenaventura,4.0,1-079-780-7761,V6t 1r2,NC,0.0
M,O,454196.0,20796 dolores drive,Myron,Canada,starks,sta56,4.0,,,661.0,,2241997.0,77.0,Kimberly-Clark,St. Louis,2.0,1-504-346-4393,91177,WV,
S,R,163940.0,14359 COMMERCE WEST,Barby,United States of America,CHASSE,CHA57,5.0,,Apt. 275,558.0,,1542891.0,,Visteon,Pueblo,3.0,1-985-538-4351,T5c 1t1,GA,0.0
W,O,365213.0,21448 hampton boulevard,Ariella,Canada,ASING,ASI58,,R,,534.0,,797918.0,90.0,TECO Energy,Regina,1.0,1-254-097-9398,35862,Ontario,
M,U,428739.0,7637 pershing way,ADEY,United States of America,askins,ask59,0.0,f,,373.0,,347654.0,82.0,Bemis,Saskatoon,0.0,1-545-924-9552,96820,MA,6.0
M,O,142444.0,11529 arcana boulevard,GAYEL,United States of America,Kikuta,Kik60,4.0,,,382.0,K,2456397.0,,Wyeth,Jackson,0.0,1-984-233-8818,75238,CA,8.0
S,O,416168.0,2700 windwood north,Man,United States of America,Chane,Cha61,3.0,F,,475.0,,1284229.0,15.0,United Technologies,St. Petersburg,3.0,1-528-691-1642,85769,SD,10.0
D,O,291420.0,22279 gramercy road,Klara,United States of America,KILLEN,KIL62,2.0,m,,539.0,U,618787.0,,Clorox,Scottsdale,0.0,,H5i 1o9,Saskatchewan,3.0
M,O,413501.0,9828 west east,Abdalla,United States of America,kinley,kin63,4.0,f,,711.0,,1171606.0,96.0,Discovery Communications,Charlotte,5.0,1-171-807-8213,90849,RI,6.0
M,O,,5935 mcafee park,bal,United States of America,MALAHER,MAL64,4.0,,,606.0,,3983261.0,38.0,Williams-Sonoma,Waterbury,,1-056-241-7009,43644,NC,1.0
W,O,419143.0,12460 CLAYTON STREET,Romy,United States of America,Odum,Odu65,3.0,,,494.0,J,2328568.0,10.0,Manitowoc,Chesapeake,3.0,1-389-414-0570,99213,SD,0.0
M,O,155057.0,275 3rd drive,KORAL,United States of America,DI NINNO,DI 66,1.0,,,309.0,,2078600.0,72.0,Henry Schein,Hialeah,5.0,1-583-542-1656,72226,IL,3.0
M,O,313859.0,6907 FERNCLIFF CRESCENT,YUKIHIKO,United States of America,STUBBLEFIELD,STU67,2.0,,,630.0,K,2986155.0,97.0,Trinity Industries,Charleston,5.0,1-269-712-0672,V6Z 1Q9,OR,3.0
S,O,265907.0,885 crosby lane,Khanh,United States of America,HAMBALI,HAM68,4.0,,,330.0,,1864039.0,48.0,Pepsi Bottling,Salem,1.0,1-670-102-0463,20082,Ontario,10.0
S,O,283481.0,2344 kalani west,Darnell,Canada,LIBRARIAN,LIB69,,m,,710.0,,1293721.0,97.0,UGI,Sacramento,0.0,1-699-726-3895,35827,FL,9.0
M,R,200635.0,22870 LA CIENEGA STREET,feridoun,United States of America,ohsone,ohs70,4.0,M,,475.0,,3850114.0,73.0,Greif,Santa Clarita,0.0,1-640-666-2876,99692,NM,7.0
U,O,434519.0,8478 green avenue,Magdy,United States of America,HUMMEL,HUM71,0.0,,APT. 143,596.0,O,1618743.0,71.0,Equifax,Sherbrooke,1.0,1-540-639-1311,V6c 1q5,NE,3.0
W,O,392315.0,23639 purdue rue,jiri,United States of America,BRADD,BRA72,5.0,,,670.0,,3383487.0,93.0,,Colorado Springs,1.0,1-285-874-8492,80158,MI,9.0
U,O,493829.0,19202 ansley park,AILA,United States of America,Boarder,Boa73,5.0,,,722.0,X,2981876.0,53.0,Freescale Semiconductor,Berkeley,3.0,1-121-904-0040,t6d 1b6,New Brunswick,
U,O,97489.0,11319 devonshire rue,Vincenzo,United States of America,Mcnally,Mcn74,3.0,,,587.0,,2109339.0,32.0,Aleris International,San Buenaventura,2.0,1-017-842-3201,33120,NJ,7.0
S,O,,23665 deerwood park,Minnnie,United States of America,MARKOVICH,MAR75,4.0,F,,609.0,,791803.0,1.0,,New Haven,3.0,1-215-859-3206,99742,ND,4.0
S,O,383046.0,4855 union north,alfonzo,United States of America,Willekes,Wil76,0.0,f,,401.0,,3523678.0,39.0,World Fuel Services,Shreveport,1.0,1-764-520-7470,V6N 1T1,Saskatchewan,7.0
M,,1190.0,9466 SHADOWBRIAR WEST,Swandi,United States of America,Deacetis,Dea77,4.0,m,,335.0,S,1681902.0,77.0,R.R. Donnelley & Sons,Lansing,0.0,1-414-130-0162,44104,KS,0.0
U,O,85733.0,3504 regency avenue,Anya,United States of America,Houk,Hou78,5.0,,,569.0,,3851455.0,18.0,Brinker International,Pembroke Pines,5.0,1-970-240-9990,14605,SD,7.0
M,R,387890.0,7281 northland lower,Enrika,Canada,Goyette,Goy79,0.0,,,,,2339382.0,70.0,Temple-Inland,Palmdale,2.0,1-408-684-6459,80076,FL,9.0
S,O,16808.0,12481 hayden lower,SONJA,United States of America,Mok-fung,Mok80,2.0,f,,679.0,Z,,26.0,Psychiatric Solutions,Savannah,0.0,1-330-353-5908,V6I 1V6,Saskatchewan,7.0
M,,304589.0,2328 gracie avenue,Liem,United States of America,Rundle,Run81,,,,356.0,I,2065016.0,,Nash-Finch,Amarillo,4.0,1-766-726-2675,97307,FL,10.0
S,R,48506.0,4737 campbell street,COLLETTE,United States of America,BELLEY,BEL82,2.0,o,,308.0,,2454049.0,58.0,AMR,Anchorage,5.0,1-938-425-7509,46237,UT,9.0
M,O,,2401 stratmore lower,SIAMACK,United States of America,BAER,BAE83,0.0,,,412.0,Y,2423395.0,43.0,Spartan Stores,Louisville,4.0,1-527-308-8874,V6B 1S6,WY,4.0
D,O,358862.0,21477 JUNIPER CRESCENT,Toshihiro,United States of America,MAULDIN,MAU84,2.0,f,,618.0,,1342045.0,65.0,Cigna,Hilo,3.0,1-810-590-0635,H2d 1x1,NH,4.0
S,O,477614.0,19214 YAUPON BOULEVARD,Casey,United States of America,Koohgoli,Koo85,5.0,,,429.0,,861756.0,24.0,General Cable,Sudbury,3.0,1-274-548-2512,95108,AR,5.0
S,O,175414.0,7785 rusk boulevard,Daryn,United States of America,Lauriston,Lau86,3.0,,,819.0,,1215349.0,79.0,Dun & Bradstreet,Orlando,1.0,1-649-754-4601,80050,CT,3.0
M,O,427598.0,18002 cantrell upper,Adrianna,Canada,Mangum,Man87,0.0,F,,552.0,L,3981554.0,48.0,Casey's General Stores,Missoula,1.0,1-905-932-1785,90122,VT,7.0
S,O,368207.0,23341 brookside upper,Cortney,United States of America,PIERCY,PIE88,0.0,,,587.0,,3865937.0,69.0,Jack in the Box,Abilene,4.0,1-031-004-7697,43614,Manitoba,9.0
S,O,449944.0,20494 ROSS WEST,Duane,United States of America,Buscaglia,Bus89,3.0,M,,304.0,,2804700.0,91.0,Assurant,Saskatoon,1.0,1-994-812-4796,61110,NJ,6.0
,U,166247.0,17552 SAVANNAH NORTH,Tele,United States of America,BABIONE,BAB90,5.0,,,795.0,,3283558.0,75.0,Psychiatric Solutions,Irvine,5.0,1-176-513-4041,70174,KY,4.0
S,O,391165.0,4462 pace crescent,Ophelia,United States of America,Burkard,Bur91,1.0,M,APT. 373,830.0,,450524.0,85.0,Danaher,Reno,3.0,1-072-244-6337,90324,GA,2.0
M,R,165854.0,7161 tallowood upper,lorine,United States of America,Kinsella,Kin92,5.0,,,709.0,,,76.0,Clorox,Sacramento,3.0,1-924-669-9328,s7d 1n1,NJ,3.0
S,O,326181.0,3489 silver sage west,Viole,United States of America,POMMAINVILLE,POM93,2.0,,,493.0,,,68.0,Boyd Gaming,Topeka,1.0,1-598-488-3541,93829,SC,8.0
M,O,173387.0,12481 hayden lower,Nani,United States of America,BOATWRIGHT,BOA94,3.0,M,,680.0,,633760.0,95.0,Eaton,Rancho Cucamonga,,1-295-539-3868,89116,TN,
M,R,301127.0,13210 3RD DRIVE,cherey,United States of America,Ronald,Ron95,1.0,,,800.0,R,3634954.0,15.0,Dynegy,Hilo,5.0,1-554-020-0267,94315,WY,
M,R,487230.0,8899 starling lane,Redgie,United States of America,weihs,wei96,1.0,,,614.0,A,799268.0,17.0,AmeriCredit,Saint John,5.0,1-793-621-4566,T5b 1u9,Ontario,4.0
,R,425747.0,11480 fennel south,Yousef,Canada,Helpb,Hel97,4.0,M,,763.0,P,39093.0,94.0,SLM,Torrance,0.0,1-787-267-4261,T6b 1a5,DC,6.0
S,O,401946.0,7266 cherry upper,Damaris,United States of America,moghe,mog98,4.0,m,,561.0,,2705353.0,70.0,NV Energy,Santa Clara,4.0,1-668-247-1597,60699,Alberta,3.0
S,O,425422.0,10678 ENGLEWOOD WEST,Ilyssa,United States of America,bozicevich,boz99,1.0,,,569.0,,3565153.0,29.0,Landstar System,Torrance,2.0,1-901-346-8890,V6p 1s8,ME,4.0
M,O,208890.0,21181 2ND RUE,Moselle,United States of America,Zaharychuk,Zah100,4.0,,,634.0,R,2832204.0,52.0,Pacific Life,Stockton,1.0,1-451-273-3803,v6i 1p1,MA,5.0
U,O,67880.0,22963 hanover road,Dulsea,United States of America,Andric,And101,5.0,F,,488.0,,2194345.0,51.0,Textron,Paterson,3.0,1-129-499-9136,79423,NV,10.0
W,O,133412.0,8268 cliffbrook boulevard,Lyndsie,Canada,Bamfo,Bam102,2.0,,,788.0,L,3737140.0,24.0,Pfizer,Mesa,3.0,1-899-319-0772,H5j 1o6,WA,5.0
D,O,144829.0,5118 montview court,KESLEY,United States of America,frondozo,fro103,3.0,,,333.0,,464753.0,98.0,Cigna,Anchorage,4.0,1-053-396-0441,93761,WY,8.0
M,U,,17442 tallowood upper,LAUREL,United States of America,Caron,Car104,1.0,,,601.0,J,596696.0,59.0,Ameren,Miami,1.0,1-239-665-9540,76150,NJ,
U,O,143682.0,4038 WEDGEWOOD STREET,Steen,Canada,muchow,muc105,3.0,f,,595.0,V,1504753.0,49.0,Consolidated Edison,Great Falls,4.0,1-605-888-3403,99717,LA,2.0
U,O,350020.0,20334 anaconda avenue,noel,United States of America,gateau,gat106,0.0,,,433.0,,3049281.0,1.0,Occidental Petroleum,Erie,1.0,1-630-604-2543,60608,TX,10.0
U,O,435103.0,5385 young west,Tracey,United States of America,Schaefer,Sch107,0.0,F,,403.0,M,247478.0,79.0,Sherwin-Williams,Hollywood,,1-851-862-7928,v6w 1u4,SC,10.0
,R,207768.0,2747 SINCLAIR LANE,Sarajane,United States of America,pomerleau,pom108,1.0,,,615.0,,2750301.0,6.0,Affiliated Computer Services,Tulsa,5.0,1-065-415-5724,T5b 1t6,TX,3.0
M,O,407512.0,8622 BROWNWAY PARK,Geoffrey,United States of America,cucuzzella,cuc109,0.0,F,,735.0,K,721333.0,70.0,Valassis Communications,Tucson,4.0,1-408-512-1007,23298,MN,1.0
S,O,403366.0,18048 GREEN NORTH,loralyn,United States of America,SUGARMAN,SUG110,3.0,q,,668.0,Z,669440.0,23.0,,Anchorage,0.0,1-083-902-4184,32803,ID,1.0
M,O,384095.0,18994 country boulevard,andrei,Canada,Pepe,Pep111,3.0,,,349.0,,2473979.0,78.0,Smithfield Foods,Sandy,5.0,1-568-403-7081,64122,MI,
S,,288969.0,16063 ashland road,javad,United States of America,Chandrashekar,Cha112,4.0,f,SUITE 7,654.0,,3545170.0,79.0,,Boston,,1-824-389-0618,T6b 1h2,OK,
U,O,233665.0,19309 mcfarlin north,Karna,United States of America,SEIFERS,SEI113,2.0,m,Apt. 971,361.0,U,1494871.0,72.0,TD Ameritrade,Vancouver,3.0,1-174-210-2058,22222,UT,6.0
S,U,147236.0,2454 cliffbrook west,Jocelyn,Canada,GARTLEY,GAR114,4.0,F,,427.0,S,436164.0,31.0,Comerica,Akron,0.0,1-425-503-7952,T6a 1d2,PA,1.0
W,O,452557.0,15865 strand west,Elvera,United States of America,Touchette,Tou115,0.0,M,,322.0,,1069481.0,86.0,Steel Dynamics,Lancaster,3.0,1-012-389-9089,v5d 1n9,New Brunswick,1.0
S,R,179305.0,13776 east boulevard,Nessy,United States of America,Kurdziel,Kur116,2.0,M,,792.0,V,,,Coca-Cola Enterprises,Concord,0.0,1-909-472-6704,23321,UT,9.0
U,O,205817.0,10570 WEIZMANN LOWER,lona,Canada,Herod,Her117,3.0,,,478.0,,2957261.0,87.0,News Corp.,Chesapeake,0.0,1-622-167-5411,90505,VA,2.0
M,O,262711.0,15278 walnut hill road,RHEA,United States of America,MCVICAR,MCV118,,,,477.0,P,228459.0,92.0,,Flint,5.0,1-164-511-9338,19066,NH,1.0
M,O,84810.0,23007 WAKEFOREST WAY,Josefa,Canada,LABFIVE,LAB119,1.0,F,,449.0,,67267.0,4.0,Stater Bros. Holdings,Chattanooga,5.0,1-804-532-9163,v6s 1r3,VT,6.0
U,O,96441.0,9088 rivas way,alikee,United States of America,butta,but120,2.0,,,466.0,,1087978.0,8.0,BorgWarner,Billings,4.0,1-197-370-0297,78769,FL,2.0
M,O,462762.0,18798 ullrich road,dolorita,United States of America,Projects,Pro121,0.0,m,,483.0,,3885967.0,97.0,CB Richard Ellis Group,Scottsdale,5.0,1-337-042-5687,53769,NC,2.0
D,O,141890.0,18517 HULEN LOWER,Marilyn,United States of America,Irc,Irc122,5.0,,,588.0,,3271101.0,,Zimmer Holdings,Oshawa,4.0,1-056-138-5321,H7E 1U6,VA,4.0
,O,156610.0,11474 dodd lane,robertson,Canada,Zivkovic,Ziv123,5.0,,,313.0,G,,40.0,Mohawk Industries,Naperville,5.0,1-776-191-2031,e7o 1k1,DC,2.0
U,R,164752.0,9375 wood south,Ilsa,United States of America,simser,sim124,1.0,,,647.0,H,1999133.0,95.0,Berkshire Hathaway,Tampa,4.0,1-280-696-2706,90374,NC,1.0
S,O,278949.0,20479 wise avenue,Pen,United States of America,keifer,kei125,1.0,,,430.0,I,1100786.0,92.0,Saks,Jackson,5.0,1-857-581-6346,63169,MS,2.0
W,O,,19918 ROGERS NORTH,AUBRETTE,United States of America,arvin,arv126,0.0,f,,467.0,P,563992.0,67.0,Gardner Denver,Hay River,5.0,,16515,SC,8.0
M,O,463736.0,9284 coffey lower,Cole,United States of America,Praeuner,Pra127,3.0,F,,399.0,,962397.0,24.0,Hasbro,Irvine,2.0,1-716-343-0884,85309,KS,7.0
M,O,,2929 north crescent,liva,United States of America,lue,lue128,2.0,m,,654.0,C,1064169.0,26.0,CBS,Idaho Falls,3.0,1-101-776-2496,92158,VT,5.0
S,O,86667.0,15404 queen street,Ayaz,United States of America,Przybycien,Prz129,2.0,f,,378.0,,2100059.0,62.0,Synnex,Moreno Valley,0.0,1-769-028-0589,33152,IL,3.0
W,O,193470.0,1619 greenspoint road,YETTY,United States of America,penn,pen130,5.0,f,,338.0,J,99025.0,37.0,Belden,Ontario,1.0,1-005-833-8970,83729,FL,10.0
S,R,406379.0,21477 WARREN PARK,Mary-michelle,United States of America,Guay,Gua131,5.0,,,695.0,S,3865481.0,71.0,Broadcom,Concord,0.0,1-884-215-4243,B8b 1z6,MI,10.0
M,U,480595.0,6503 ROBBINS STREET,agretha,Canada,brennand,bre132,1.0,F,,614.0,,804544.0,29.0,Reynolds American,Phoenix,3.0,,53717,Newfoundland,7.0
S,O,181718.0,3958 GLEN LOCH BOULEVARD,LOTTY,United States of America,Savanh,Sav133,4.0,f,,307.0,X,3143356.0,89.0,Wells Fargo,Coral Springs,5.0,1-725-177-7815,t5c 1w7,ME,7.0
M,O,468310.0,13640 ethridge lower,Kassey,United States of America,ABBATANTUONO,ABB134,0.0,,,331.0,Z,,11.0,Retail Ventures,Oxnard,3.0,1-277-496-5396,37245,AL,2.0
S,O,354987.0,3981 imperial lower,Adria,United States of America,OP,OP135,2.0,M,,638.0,N,2311953.0,20.0,AT&T,Brownsville,0.0,1-756-463-2201,94401,IN,2.0
W,O,284539.0,13210 3rd drive,audivox,Canada,Mersinger,Mer136,3.0,,,703.0,,3120608.0,75.0,Wynn Resorts,Memphis,5.0,1-261-338-7463,B8a 1y3,NH,3.0
S,O,213725.0,9297 THROCKMORTON SOUTH,SUE,United States of America,rutt,rut137,0.0,F,,302.0,,2058270.0,95.0,Eastman Kodak,Flint,5.0,1-811-086-4675,t6b 1k2,DC,7.0
U,O,74195.0,8935 YOUNG UPPER,Lorenza,United States of America,bemis,bem138,2.0,,,522.0,I,1511983.0,0.0,Aramark,Lafayette,3.0,1-338-771-1185,85306,DC,
M,O,169295.0,3797 RUTGERS PARK,Enzo,United States of America,Pennington,Pen139,5.0,,,,,439080.0,73.0,ENSCO International,Greensboro,1.0,1-554-231-5318,V6R 1R7,MD,
W,R,307832.0,8285 tamarind crescent,claudina,United States of America,torok,tor140,1.0,M,,833.0,Y,921255.0,39.0,Auto-Owners Insurance,Sterling Heights,0.0,1-733-886-5227,68513,Prince Edward Island,5.0
