AgencyID,CreditRating,Employer,OwnOrRentFlag,AddressLine1,Phone,NetWorth,PostalCode,Income,MaritalStatus,Age,Country,Gender,State,NumberCreditCards,AddressLine2,City,NumberCars,NumberChildren
O'L54,539.0,AptarGroup,U,23131 clint way,1-776-182-6215,2636424.0,t5d 1v4,426954.0,S,89.0,United States of America,F,ND,9.0,,Bellevue,0.0,3.0
and55,497.0,Coca-Cola,O,11640 baltic upper,1-079-780-7761,1326305.0,V6t 1r2,126891.0,M,99.0,United States of America,m,NC,0.0,,San Buenaventura,5.0,4.0
sta56,661.0,Kimberly-Clark,O,20796 dolores drive,1-504-346-4393,2241997.0,91177,454196.0,M,77.0,Canada,,WV,,,St. Louis,4.0,2.0
CHA57,558.0,Visteon,R,14359 COMMERCE WEST,1-985-538-4351,1542891.0,T5c 1t1,163940.0,S,,United States of America,,GA,0.0,Apt. 275,Pueblo,5.0,3.0
ASI58,534.0,TECO Energy,O,21448 hampton boulevard,1-254-097-9398,797918.0,35862,365213.0,W,90.0,Canada,R,Ontario,,,Regina,,1.0
ask59,373.0,Bemis,U,7637 pershing way,1-545-924-9552,347654.0,96820,428739.0,M,82.0,United States of America,f,MA,6.0,,Saskatoon,0.0,0.0
Kik60,382.0,Wyeth,O,11529 arcana boulevard,1-984-233-8818,2456397.0,75238,142444.0,M,,United States of America,,CA,8.0,,Jackson,4.0,0.0
Cha61,475.0,United Technologies,O,2700 windwood north,1-528-691-1642,1284229.0,85769,416168.0,S,15.0,United States of America,F,SD,10.0,,St. Petersburg,3.0,3.0
KIL62,539.0,Clorox,O,22279 gramercy road,,618787.0,H5i 1o9,291420.0,D,,United States of America,m,Saskatchewan,3.0,,Scottsdale,2.0,0.0
kin63,711.0,Discovery Communications,O,9828 west east,1-171-807-8213,1171606.0,90849,413501.0,M,96.0,United States of America,f,RI,6.0,,Charlotte,4.0,5.0
MAL64,606.0,Williams-Sonoma,O,5935 mcafee park,1-056-241-7009,3983261.0,43644,,M,38.0,United States of America,,NC,1.0,,Waterbury,4.0,
Odu65,494.0,Manitowoc,O,12460 CLAYTON STREET,1-389-414-0570,2328568.0,99213,419143.0,W,10.0,United States of America,,SD,0.0,,Chesapeake,3.0,3.0
DI 66,309.0,Henry Schein,O,275 3rd drive,1-583-542-1656,2078600.0,72226,155057.0,M,72.0,United States of America,,IL,3.0,,Hialeah,1.0,5.0
STU67,630.0,Trinity Industries,O,6907 FERNCLIFF CRESCENT,1-269-712-0672,2986155.0,V6Z 1Q9,313859.0,M,97.0,United States of America,,OR,3.0,,Charleston,2.0,5.0
HAM68,330.0,Pepsi Bottling,O,885 crosby lane,1-670-102-0463,1864039.0,20082,265907.0,S,48.0,United States of America,,Ontario,10.0,,Salem,4.0,1.0
LIB69,710.0,UGI,O,2344 kalani west,1-699-726-3895,1293721.0,35827,283481.0,S,97.0,Canada,m,FL,9.0,,Sacramento,,0.0
ohs70,475.0,Greif,R,22870 LA CIENEGA STREET,1-640-666-2876,3850114.0,99692,200635.0,M,73.0,United States of America,M,NM,7.0,,Santa Clarita,4.0,0.0
HUM71,596.0,Equifax,O,8478 green avenue,1-540-639-1311,1618743.0,V6c 1q5,434519.0,U,71.0,United States of America,,NE,3.0,APT. 143,Sherbrooke,0.0,1.0
BRA72,670.0,,O,23639 purdue rue,1-285-874-8492,3383487.0,80158,392315.0,W,93.0,United States of America,,MI,9.0,,Colorado Springs,5.0,1.0
Boa73,722.0,Freescale Semiconductor,O,19202 ansley park,1-121-904-0040,2981876.0,t6d 1b6,493829.0,U,53.0,United States of America,,New Brunswick,,,Berkeley,5.0,3.0
Mcn74,587.0,Aleris International,O,11319 devonshire rue,1-017-842-3201,2109339.0,33120,97489.0,U,32.0,United States of America,,NJ,7.0,,San Buenaventura,3.0,2.0
MAR75,609.0,,O,23665 deerwood park,1-215-859-3206,791803.0,99742,,S,1.0,United States of America,F,ND,4.0,,New Haven,4.0,3.0
Wil76,401.0,World Fuel Services,O,4855 union north,1-764-520-7470,3523678.0,V6N 1T1,383046.0,S,39.0,United States of America,f,Saskatchewan,7.0,,Shreveport,0.0,1.0
Dea77,335.0,R.R. Donnelley & Sons,,9466 SHADOWBRIAR WEST,1-414-130-0162,1681902.0,44104,1190.0,M,77.0,United States of America,m,KS,0.0,,Lansing,4.0,0.0
Hou78,569.0,Brinker International,O,3504 regency avenue,1-970-240-9990,3851455.0,14605,85733.0,U,18.0,United States of America,,SD,7.0,,Pembroke Pines,5.0,5.0
Goy79,,Temple-Inland,R,7281 northland lower,1-408-684-6459,2339382.0,80076,387890.0,M,70.0,Canada,,FL,9.0,,Palmdale,0.0,2.0
Mok80,679.0,Psychiatric Solutions,O,12481 hayden lower,1-330-353-5908,,V6I 1V6,16808.0,S,26.0,United States of America,f,Saskatchewan,7.0,,Savannah,2.0,0.0
Run81,356.0,Nash-Finch,,2328 gracie avenue,1-766-726-2675,2065016.0,97307,304589.0,M,,United States of America,,FL,10.0,,Amarillo,,4.0
BEL82,308.0,AMR,R,4737 campbell street,1-938-425-7509,2454049.0,46237,48506.0,S,58.0,United States of America,o,UT,9.0,,Anchorage,2.0,5.0
BAE83,412.0,Spartan Stores,O,2401 stratmore lower,1-527-308-8874,2423395.0,V6B 1S6,,M,43.0,United States of America,,WY,4.0,,Louisville,0.0,4.0
MAU84,618.0,Cigna,O,21477 JUNIPER CRESCENT,1-810-590-0635,1342045.0,H2d 1x1,358862.0,D,65.0,United States of America,f,NH,4.0,,Hilo,2.0,3.0
Koo85,429.0,General Cable,O,19214 YAUPON BOULEVARD,1-274-548-2512,861756.0,95108,477614.0,S,24.0,United States of America,,AR,5.0,,Sudbury,5.0,3.0
Lau86,819.0,Dun & Bradstreet,O,7785 rusk boulevard,1-649-754-4601,1215349.0,80050,175414.0,S,79.0,United States of America,,CT,3.0,,Orlando,3.0,1.0
Man87,552.0,Casey's General Stores,O,18002 cantrell upper,1-905-932-1785,3981554.0,90122,427598.0,M,48.0,Canada,F,VT,7.0,,Missoula,0.0,1.0
PIE88,587.0,Jack in the Box,O,23341 brookside upper,1-031-004-7697,3865937.0,43614,368207.0,S,69.0,United States of America,,Manitoba,9.0,,Abilene,0.0,4.0
Bus89,304.0,Assurant,O,20494 ROSS WEST,1-994-812-4796,2804700.0,61110,449944.0,S,91.0,United States of America,M,NJ,6.0,,Saskatoon,3.0,1.0
BAB90,795.0,Psychiatric Solutions,U,17552 SAVANNAH NORTH,1-176-513-4041,3283558.0,70174,166247.0,,75.0,United States of America,,KY,4.0,,Irvine,5.0,5.0
Bur91,830.0,Danaher,O,4462 pace crescent,1-072-244-6337,450524.0,90324,391165.0,S,85.0,United States of America,M,GA,2.0,APT. 373,Reno,1.0,3.0
Kin92,709.0,Clorox,R,7161 tallowood upper,1-924-669-9328,,s7d 1n1,165854.0,M,76.0,United States of America,,NJ,3.0,,Sacramento,5.0,3.0
POM93,493.0,Boyd Gaming,O,3489 silver sage west,1-598-488-3541,,93829,326181.0,S,68.0,United States of America,,SC,8.0,,Topeka,2.0,1.0
BOA94,680.0,Eaton,O,12481 hayden lower,1-295-539-3868,633760.0,89116,173387.0,M,95.0,United States of America,M,TN,,,Rancho Cucamonga,3.0,
Ron95,800.0,Dynegy,R,13210 3RD DRIVE,1-554-020-0267,3634954.0,94315,301127.0,M,15.0,United States of America,,WY,,,Hilo,1.0,5.0
wei96,614.0,AmeriCredit,R,8899 starling lane,1-793-621-4566,799268.0,T5b 1u9,487230.0,M,17.0,United States of America,,Ontario,4.0,,Saint John,1.0,5.0
Hel97,763.0,SLM,R,11480 fennel south,1-787-267-4261,39093.0,T6b 1a5,425747.0,,94.0,Canada,M,DC,6.0,,Torrance,4.0,0.0
mog98,561.0,NV Energy,O,7266 cherry upper,1-668-247-1597,2705353.0,60699,401946.0,S,70.0,United States of America,m,Alberta,3.0,,Santa Clara,4.0,4.0
boz99,569.0,Landstar System,O,10678 ENGLEWOOD WEST,1-901-346-8890,3565153.0,V6p 1s8,425422.0,S,29.0,United States of America,,ME,4.0,,Torrance,1.0,2.0
Zah100,634.0,Pacific Life,O,21181 2ND RUE,1-451-273-3803,2832204.0,v6i 1p1,208890.0,M,52.0,United States of America,,MA,5.0,,Stockton,4.0,1.0
And101,488.0,Textron,O,22963 hanover road,1-129-499-9136,2194345.0,79423,67880.0,U,51.0,United States of America,F,NV,10.0,,Paterson,5.0,3.0
Bam102,788.0,Pfizer,O,8268 cliffbrook boulevard,1-899-319-0772,3737140.0,H5j 1o6,133412.0,W,24.0,Canada,,WA,5.0,,Mesa,2.0,3.0
fro103,333.0,Cigna,O,5118 montview court,1-053-396-0441,464753.0,93761,144829.0,D,98.0,United States of America,,WY,8.0,,Anchorage,3.0,4.0
Car104,601.0,Ameren,U,17442 tallowood upper,1-239-665-9540,596696.0,76150,,M,59.0,United States of America,,NJ,,,Miami,1.0,1.0
muc105,595.0,Consolidated Edison,O,4038 WEDGEWOOD STREET,1-605-888-3403,1504753.0,99717,143682.0,U,49.0,Canada,f,LA,2.0,,Great Falls,3.0,4.0
gat106,433.0,Occidental Petroleum,O,20334 anaconda avenue,1-630-604-2543,3049281.0,60608,350020.0,U,1.0,United States of America,,TX,10.0,,Erie,0.0,1.0
Sch107,403.0,Sherwin-Williams,O,5385 young west,1-851-862-7928,247478.0,v6w 1u4,435103.0,U,79.0,United States of America,F,SC,10.0,,Hollywood,0.0,
pom108,615.0,Affiliated Computer Services,R,2747 SINCLAIR LANE,1-065-415-5724,2750301.0,T5b 1t6,207768.0,,6.0,United States of America,,TX,3.0,,Tulsa,1.0,5.0
cuc109,735.0,Valassis Communications,O,8622 BROWNWAY PARK,1-408-512-1007,721333.0,23298,407512.0,M,70.0,United States of America,F,MN,1.0,,Tucson,0.0,4.0
SUG110,668.0,,O,18048 GREEN NORTH,1-083-902-4184,669440.0,32803,403366.0,S,23.0,United States of America,q,ID,1.0,,Anchorage,3.0,0.0
Pep111,349.0,Smithfield Foods,O,18994 country boulevard,1-568-403-7081,2473979.0,64122,384095.0,M,78.0,Canada,,MI,,,Sandy,3.0,5.0
Cha112,654.0,,,16063 ashland road,1-824-389-0618,3545170.0,T6b 1h2,288969.0,S,79.0,United States of America,f,OK,,SUITE 7,Boston,4.0,
SEI113,361.0,TD Ameritrade,O,19309 mcfarlin north,1-174-210-2058,1494871.0,22222,233665.0,U,72.0,United States of America,m,UT,6.0,Apt. 971,Vancouver,2.0,3.0
GAR114,427.0,Comerica,U,2454 cliffbrook west,1-425-503-7952,436164.0,T6a 1d2,147236.0,S,31.0,Canada,F,PA,1.0,,Akron,4.0,0.0
Tou115,322.0,Steel Dynamics,O,15865 strand west,1-012-389-9089,1069481.0,v5d 1n9,452557.0,W,86.0,United States of America,M,New Brunswick,1.0,,Lancaster,0.0,3.0
Kur116,792.0,Coca-Cola Enterprises,R,13776 east boulevard,1-909-472-6704,,23321,179305.0,S,,United States of America,M,UT,9.0,,Concord,2.0,0.0
Her117,478.0,News Corp.,O,10570 WEIZMANN LOWER,1-622-167-5411,2957261.0,90505,205817.0,U,87.0,Canada,,VA,2.0,,Chesapeake,3.0,0.0
MCV118,477.0,,O,15278 walnut hill road,1-164-511-9338,228459.0,19066,262711.0,M,92.0,United States of America,,NH,1.0,,Flint,,5.0
LAB119,449.0,Stater Bros. Holdings,O,23007 WAKEFOREST WAY,1-804-532-9163,67267.0,v6s 1r3,84810.0,M,4.0,Canada,F,VT,6.0,,Chattanooga,1.0,5.0
but120,466.0,BorgWarner,O,9088 rivas way,1-197-370-0297,1087978.0,78769,96441.0,U,8.0,United States of America,,FL,2.0,,Billings,2.0,4.0
Pro121,483.0,CB Richard Ellis Group,O,18798 ullrich road,1-337-042-5687,3885967.0,53769,462762.0,M,97.0,United States of America,m,NC,2.0,,Scottsdale,0.0,5.0
Irc122,588.0,Zimmer Holdings,O,18517 HULEN LOWER,1-056-138-5321,3271101.0,H7E 1U6,141890.0,D,,United States of America,,VA,4.0,,Oshawa,5.0,4.0
Ziv123,313.0,Mohawk Industries,O,11474 dodd lane,1-776-191-2031,,e7o 1k1,156610.0,,40.0,Canada,,DC,2.0,,Naperville,5.0,5.0
sim124,647.0,Berkshire Hathaway,R,9375 wood south,1-280-696-2706,1999133.0,90374,164752.0,U,95.0,United States of America,,NC,1.0,,Tampa,1.0,4.0
kei125,430.0,Saks,O,20479 wise avenue,1-857-581-6346,1100786.0,63169,278949.0,S,92.0,United States of America,,MS,2.0,,Jackson,1.0,5.0
arv126,467.0,Gardner Denver,O,19918 ROGERS NORTH,,563992.0,16515,,W,67.0,United States of America,f,SC,8.0,,Hay River,0.0,5.0
Pra127,399.0,Hasbro,O,9284 coffey lower,1-716-343-0884,962397.0,85309,463736.0,M,24.0,United States of America,F,KS,7.0,,Irvine,3.0,2.0
lue128,654.0,CBS,O,2929 north crescent,1-101-776-2496,1064169.0,92158,,M,26.0,United States of America,m,VT,5.0,,Idaho Falls,2.0,3.0
Prz129,378.0,Synnex,O,15404 queen street,1-769-028-0589,2100059.0,33152,86667.0,S,62.0,United States of America,f,IL,3.0,,Moreno Valley,2.0,0.0
pen130,338.0,Belden,O,1619 greenspoint road,1-005-833-8970,99025.0,83729,193470.0,W,37.0,United States of America,f,FL,10.0,,Ontario,5.0,1.0
Gua131,695.0,Broadcom,R,21477 WARREN PARK,1-884-215-4243,3865481.0,B8b 1z6,406379.0,S,71.0,United States of America,,MI,10.0,,Concord,5.0,0.0
bre132,614.0,Reynolds American,U,6503 ROBBINS STREET,,804544.0,53717,480595.0,M,29.0,Canada,F,Newfoundland,7.0,,Phoenix,1.0,3.0
Sav133,307.0,Wells Fargo,O,3958 GLEN LOCH BOULEVARD,1-725-177-7815,3143356.0,t5c 1w7,181718.0,S,89.0,United States of America,f,ME,7.0,,Coral Springs,4.0,5.0
ABB134,331.0,Retail Ventures,O,13640 ethridge lower,1-277-496-5396,,37245,468310.0,M,11.0,United States of America,,AL,2.0,,Oxnard,0.0,3.0
OP135,638.0,AT&T,O,3981 imperial lower,1-756-463-2201,2311953.0,94401,354987.0,S,20.0,United States of America,M,IN,2.0,,Brownsville,2.0,0.0
Mer136,703.0,Wynn Resorts,O,13210 3rd drive,1-261-338-7463,3120608.0,B8a 1y3,284539.0,W,75.0,Canada,,NH,3.0,,Memphis,3.0,5.0
rut137,302.0,Eastman Kodak,O,9297 THROCKMORTON SOUTH,1-811-086-4675,2058270.0,t6b 1k2,213725.0,S,95.0,United States of America,F,DC,7.0,,Flint,0.0,5.0
bem138,522.0,Aramark,O,8935 YOUNG UPPER,1-338-771-1185,1511983.0,85306,74195.0,U,0.0,United States of America,,DC,,,Lafayette,2.0,3.0
Pen139,,ENSCO International,O,3797 RUTGERS PARK,1-554-231-5318,439080.0,V6R 1R7,169295.0,M,73.0,United States of America,,MD,,,Greensboro,5.0,1.0
tor140,833.0,Auto-Owners Insurance,R,8285 tamarind crescent,1-733-886-5227,921255.0,68513,307832.0,W,39.0,United States of America,M,Prince Edward Island,5.0,,Sterling Heights,1.0,0.0
law141,,Bemis,O,20025 routh crescent,1-267-357-1943,3810365.0,v6n 1v9,20397.0,U,76.0,United States of America,m,MD,2.0,,Costa Mesa,1.0,1.0
Bee142,664.0,Securian Financial Group,O,4144 LAKE PARK LANE,1-602-756-7919,2641938.0,83702,463094.0,U,5.0,United States of America,m,New Brunswick,6.0,Suite 397,Houston,2.0,2.0
sch143,789.0,Ford Motor,O,3375 sakowitz lane,1-793-864-7010,3857323.0,80125,331900.0,U,65.0,United States of America,m,HI,7.0,,Bakersfield,4.0,1.0
Wit144,803.0,ConAgra Foods,U,7255 berry way,1-637-020-2921,1636212.0,M5G 1Y7,8421.0,S,94.0,United States of America,,ND,0.0,,Chesapeake,5.0,0.0
MER145,720.0,Charter Communications,,3131 WATHAN SOUTH,1-428-797-6325,2999082.0,80213,35780.0,M,95.0,United States of America,F,Nova Scotia,3.0,,Sandy,4.0,4.0
bia146,839.0,Calpine,R,18440 RYAN NORTH,1-011-549-5618,2280820.0,60737,139897.0,M,28.0,United States of America,m,ME,4.0,,Lewiston,1.0,0.0
Swi147,621.0,Crane,O,13222 glen loch road,1-993-255-5481,1050866.0,90510,414119.0,D,76.0,United States of America,m,Alberta,0.0,SUITE 464,Elizabeth,4.0,1.0
bul148,628.0,Textron,O,7889 MURRAY WAY,1-487-749-4448,,92882,234035.0,D,81.0,United States of America,,VT,3.0,,Sudbury,5.0,4.0
TYR149,813.0,Idearc,O,7527 whale drive,1-192-352-2184,603001.0,98121,144405.0,W,38.0,Canada,F,DE,6.0,,Austin,3.0,5.0
Fyf150,367.0,Cabela's,R,17788 eagle trace park,1-293-442-4224,3368239.0,H2e 1x9,55441.0,W,25.0,United States of America,,MA,3.0,,Salinas,5.0,3.0
Sic151,807.0,EOG Resources,O,7661 GRANT WAY,1-078-502-6700,1042629.0,23503,392869.0,D,0.0,United States of America,,CA,10.0,,Peoria,4.0,2.0
CAS152,501.0,,O,4806 crystal hills street,1-430-909-3001,1948746.0,40208,402416.0,U,61.0,United States of America,F,Manitoba,8.0,,Sydney,3.0,4.0
Cho153,490.0,Burlington Coat Factory,O,4211 WILLS NORTH,1-392-455-0895,3113862.0,75201,89984.0,U,3.0,United States of America,,TN,10.0,,San Antonio,0.0,2.0
CHA154,321.0,Southwest Airlines,O,7524 linberg north,1-273-921-9787,2777290.0,93852,395773.0,W,77.0,United States of America,,FL,3.0,,Oklahoma City,2.0,3.0
bei155,,RPM International,R,14266 lemming south,1-012-993-4538,2210073.0,32312,126662.0,U,8.0,United States of America,f,CA,6.0,,Miami,1.0,0.0
Ele156,446.0,Amazon.com,O,1427 ADDAX LANE,1-890-859-4211,1999684.0,90059,132008.0,U,34.0,United States of America,m,CO,7.0,,Yonkers,4.0,1.0
o'g157,428.0,Neiman Marcus,O,1625 fernando court,1-080-032-3031,2119678.0,77006,417218.0,M,15.0,United States of America,F,Saskatchewan,2.0,,Columbia,5.0,5.0
Kat158,423.0,Goldman Sachs Group,O,335 floresta north,1-561-620-7173,169808.0,23224,360063.0,S,66.0,United States of America,,UT,5.0,,Lubbock,0.0,0.0
Lui159,499.0,Boeing,O,22806 garson east,1-017-439-0362,1072732.0,10055,100516.0,U,55.0,United States of America,,ME,6.0,,Chattanooga,5.0,4.0
Kla160,342.0,United Refining,O,5524 vermack street,1-248-539-6621,2261442.0,35830,16814.0,S,8.0,United States of America,f,NH,7.0,,Fargo,1.0,1.0
