prospect_PosCo,prospect_AdLi2,prospect_NuChi,prospect_St,prospect_AgeID,prospect_A,prospect_Coun,prospect_FirNa,prospect_MariSt,prospect_NumC,prospect_Empl,prospect_NuCreCar,prospect_Ge,prospect_AddLi1,prospect_CreRa,prospect_Ph,prospect_Ci,prospect_LaNa,prospect_OwOReF,prospect_NeWor,prospect_In,prospect_MidIn
NCEVKLQEEWTA,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,1.0,Saskatchewan,dgc7511,72.0,United States of America,Zaijioc,M,5.0,Interstate Bakeries,3.0,m,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,,Greensboro,dgcnbxfhc,O,490443.0,210038.0,
DODDIDDHXS,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,5.0,NE,lql7512,40.0,Canada,Mdwdjpdfmbqjaygkfqzqx,M,4.0,eBay,9.0,,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,318.0,1-268-630-3843,Concord,lqlslgqsvyfxqnzuwbfg,O,3348923.0,307402.0,
Oqnzttrldq,ucxdpiwilpxxhv,1.0,AR,Wsk7513,8.0,United States of America,Ccbccgvldfvoqtzestvkwunn,D,4.0,Boise,4.0,m,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,613.0,1-915-548-9541,Colorado Springs,Wskjvrujdwku,R,331799.0,,
Lwbawk,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,1.0,IL,Ffs7514,10.0,,nyakrhdyxravdnhgbtol,U,4.0,MDU Resources Group,4.0,,,786.0,1-536-880-0961,Mobile,Ffshsiomkzjonhxjhunfsao,R,1167013.0,432425.0,v
Ppsrzjdtg,,3.0,VA,Kvv7515,24.0,United States of America,NDNBTVCLKSC,U,0.0,Freescale Semiconductor,10.0,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,1-494-335-6022,Thousand Oaks,Kvvverfkpazpzzkrqniixrhnw,O,3960216.0,122041.0,F
,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,4.0,ID,mpz7516,18.0,United States of America,Zmstbluqkipzaojfsomtbdddguq,M,1.0,Superior Energy Services,5.0,f,,623.0,1-814-158-3550,Rochester,mpzqnwnrmaozfsstcqtrc,O,242246.0,302205.0,G
,Havgczldcpfmwfzj,1.0,TX,Jhc7517,79.0,United States of America,dpqgvuaoijmkxsesvililpxcrwqe,S,1.0,Monsanto,1.0,F,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,845.0,1-420-580-0795,Garden Grove,Jhcbaxyzijphmmvpampdgvgisnab,O,1217660.0,367555.0,s
Rxdsunq,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,5.0,New Brunswick,dbq7518,36.0,United States of America,IHUGYGSRDWILVOFBAKUR,M,4.0,Newfield Exploration,7.0,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,645.0,1-924-305-1666,Tampa,dbqcukoddoiwg,U,1229655.0,106025.0,l
JXHVEEOU,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,2.0,Alberta,Xch7519,21.0,Canada,aefotdcronamhkzsfpvifmobgchmsp,W,2.0,Loews,1.0,m,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,495.0,1-450-082-2122,Fullerton,Xchoxlbkffuvox,O,1157831.0,106690.0,
XHJQCDPOO,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,2.0,PA,oir7520,4.0,Canada,jdeyqkerjerjpht,M,2.0,Apache,8.0,m,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,371.0,1-573-009-1404,Washington,oirfujtvl,O,,29373.0,Z
rapkjpmvp,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,3.0,Nova Scotia,Fqb7521,72.0,United States of America,Lwihnxoihqqrvjydsijd,S,2.0,Robert Half International,1.0,M,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,462.0,1-603-897-9894,Norfolk,Fqbovz,R,,168189.0,O
Slskxm,Rirmrpvlknyho,,RI,qex7522,1.0,United States of America,nmnervucuk,S,,Viacom,7.0,,Dmyivtczopuqajpnjqvvgbhxynvduub,375.0,1-947-161-6502,Sydney,qextfjyytqwbmdrlykbfnhvqrmota,U,3467922.0,264756.0,
FXHXLG,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,2.0,OR,Hpi7523,98.0,Canada,hgjkxxbf,S,1.0,Robert Half International,10.0,,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,516.0,1-586-826-9847,Winnipeg,Hpiedhvkedqqdxsoedt,U,46859.0,44480.0,
ovlziicdezok,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,5.0,CA,Fjd7524,35.0,Canada,Zangtryzlhmxo,,1.0,CSX,,,Esuycdxsjfbrqbtluspxsehk,703.0,1-217-243-2668,Wilmington,Fjdafgbcrml,R,2937668.0,87207.0,
jsxcpvao,Rpzwirgfyiw,2.0,MO,Cgt7525,99.0,United States of America,FFJGEQD,W,4.0,Country Financial Services,7.0,,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,734.0,1-857-211-5728,El Monte,Cgtcmbl,O,2388613.0,238434.0,
Ykerbceq,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,2.0,Prince Edward Island,Lwx7526,49.0,United States of America,Pdcxrihnl,M,0.0,Procter & Gamble,4.0,M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,469.0,1-089-966-6281,Sterling Heights,Lwxudfgcqawccntqaucdaeym,U,3116283.0,,
VVMSNWEBT,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,0.0,Quebec,epy7527,72.0,United States of America,Zckhcacwaelzutaodqalxyjrkh,S,3.0,Ingles Markets,2.0,,vnyndcximwxhecv,595.0,,Pembroke Pines,epyxtfsrijhddstgaxkbgmlayjtk,O,2671950.0,391354.0,
bibueqwbejem,Acdrcqabtcdgmgl,0.0,KS,Aff7528,41.0,United States of America,sqrosgqnpifxjx,U,3.0,Forest Laboratories,1.0,m,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,410.0,1-231-342-6874,Philadelphia,Affcha,O,3899593.0,419165.0,M
gehpynlk,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,2.0,NV,mfc7529,54.0,Canada,Erqzkkllazeobgthnmgsbtj,W,3.0,Dentsply International,10.0,,,475.0,,Glendale,mfcestd,O,2537332.0,396509.0,S
Piwlxtg,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,2.0,TN,Slf7530,11.0,United States of America,Lcziayaozecoqqluasolkmmcldm,,0.0,RadioShack,2.0,,GVSBHGBDDVJFNNOZNNPJWCOI,,1-602-637-1838,El Monte,Slfbmvc,R,733236.0,145161.0,S
Ujlshmosjkid,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,5.0,WY,Cxu7531,0.0,United States of America,Gcnczmuxviqaxtsdzmzhtro,W,2.0,Century Aluminum,3.0,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,519.0,1-003-982-8627,Warwick,Cxuousxqyrfgjvpvuopyfguqva,O,,263206.0,
cwburwnupuj,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,3.0,British Columbia,GZO7532,27.0,United States of America,Rsoobsqytvjycob,D,3.0,,5.0,,BIQIOQOHLQSTBRUFOI,841.0,1-136-358-6852,Milwaukee,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,U,3397276.0,190371.0,F
CNEZMHTKIAEV,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,1.0,LA,DRW7533,95.0,United States of America,Pjvadgt,U,3.0,FPL Group,6.0,,Llfaqkbemnoy,540.0,1-123-528-2965,Phoenix,DRWTVTDSG,O,2444257.0,203968.0,A
kixvppuqtd,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,3.0,HI,set7534,35.0,United States of America,GUBKOKITTSKVYM,U,1.0,Lockheed Martin,10.0,f,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,540.0,1-136-565-2501,Anchorage,setksinlvlrjwnfu,R,71520.0,428323.0,N
jrhynxfi,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,1.0,NY,Pyo7535,96.0,United States of America,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,M,4.0,Sanmina-SCI,6.0,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,1-317-986-1984,Madison,Pyoixliri,O,1911091.0,159980.0,
dnhtjyu,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,0.0,TX,FSH7536,96.0,Canada,Kuteauo,W,0.0,Iron Mountain,6.0,M,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,424.0,1-265-603-1262,Fontana,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,O,988775.0,266852.0,
YKOVOTYB,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,5.0,AZ,Tdx7537,49.0,United States of America,Hkfofpndygljbeo,M,5.0,OfficeMax,2.0,,,623.0,,Charlotte,Tdxyljuxporjhdumcvfmv,R,3919363.0,206973.0,
WNNMWJ,XHQNMCEJKXOQYVSZVESLKC,1.0,ME,Sbn7538,,Canada,Kengxgsu,S,5.0,AMR,4.0,,atydogjpqphuwhegtbukkqiaeakrtrn,792.0,1-156-668-6882,Richmond,Sbnxcsrozzcufdoyvckpplofysx,O,428918.0,258221.0,O
Oktkljv,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,4.0,NH,Piq7539,27.0,United States of America,Plywuoa,S,4.0,Kohl's,6.0,f,Hlotorcbtobuceb,718.0,1-164-648-3203,Santa Clarita,Piqizouhxiw,O,58134.0,428508.0,C
,Toumjfbsumpgfuskpydjeibaxi,0.0,KY,IXD7540,98.0,,zfcwsxpjzyqelkxg,M,4.0,Cigna,6.0,M,gsrdigbqfwrahybxrtm,401.0,1-839-795-1027,Yellow Knife,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,O,3703767.0,,
GXFLSISZUY,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,5.0,Prince Edward Island,wsn7541,,United States of America,Yxvczhqjwgnhowiu,M,4.0,West,2.0,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,557.0,1-958-412-4252,Oxnard,wsnjomkxbtybfnmtcjhvmblfwamnwd,R,433859.0,58953.0,
gzexcrngivl,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,5.0,British Columbia,Jkp7542,56.0,United States of America,Grkknjyfgbhtyrhxzeaoeoyirwfa,W,5.0,Monsanto,7.0,M,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,393.0,1-392-335-1020,Huntington Beach,Jkpmtcj,O,3002044.0,409682.0,A
yzoikhwrd,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,4.0,CT,CCF7543,94.0,United States of America,Vfrdst,M,2.0,Reliant Energy,10.0,M,,557.0,1-912-050-7605,Durham,CCFFVCOHCLUUXZIQTCFCUHEYN,,1124168.0,340191.0,
Gdbktega,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,5.0,WA,ylj7544,98.0,United States of America,Hqcswumjvwbemosmy,U,4.0,Idearc,5.0,,RELJYREDKQEKGOORBLRKOUIC,465.0,1-075-551-9919,Naperville,yljvuglvt,O,2081541.0,238216.0,
Kdcqzpvf,hkyochorqgtokxgozmoncalaaiw,1.0,ND,ZBB7545,8.0,Canada,Ectbhkmbvwkwdbn,M,0.0,Neiman Marcus,6.0,F,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,,1-013-611-2674,Albuquerque,ZBBXAWVJAAL,O,1897076.0,113171.0,V
Tbwgwtmgcu,Datdnghoiymltcayulgkgxywi,,ID,fqe7546,90.0,United States of America,Bdbgqpllbnrmiirpct,W,5.0,O'Reilly Automotive,10.0,m,Yewxbqpnfgh,485.0,1-656-865-7544,Newark,fqekemquvstw,,235172.0,234797.0,
Mwmfs,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,2.0,Quebec,Wpw7547,34.0,United States of America,Ftszluaxcsoxdfbmdd,M,4.0,Cliffs Natural Resources,2.0,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,303.0,1-879-870-7379,Miami,Wpwhilrlzng,,639573.0,225322.0,
goelqgcts,,2.0,ID,vpz7548,25.0,Canada,Qrdnpjquwnixfocqhsrlkcxmelwijl,W,1.0,Health Management Associates,4.0,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,846.0,1-366-625-9813,London,vpzxgcwljllsq,O,2667082.0,192689.0,
ucwygjzs,,4.0,AL,Yfz7549,50.0,Canada,Kkiolpmrgzmnjanqc,,5.0,Chevron,1.0,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,621.0,1-359-462-7089,Worcester,Yfzmtcvxc,O,2598634.0,348685.0,
fjlfqftwg,,4.0,UT,dou7550,85.0,United States of America,unzegilpp,D,3.0,Exide Technologies,,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,331.0,,Jacksonville,douvwdwiwrxoivzaojazinrhswjv,O,1074671.0,401229.0,
Tocujgaiaq,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,4.0,MS,FDJ7551,60.0,United States of America,xetqkitwlh,M,5.0,Convergys,9.0,M,hfuyqlsmbesrylepu,401.0,1-153-396-8333,Nashua,FDJOVRSOCWEIKZ,R,2272997.0,38597.0,
kurjmmgixxfd,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,2.0,AK,ufu7552,95.0,United States of America,TWRRGULRYKYUWZYBQQFMIFFKVK,S,2.0,Dominion Resources,0.0,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,644.0,1-144-623-1308,Newport News,ufutrfkevxnbupjcetrpltw,R,702000.0,,
cnsavindoi,NBSHKLXYVUUWXEQSGXR,1.0,VT,bbg7553,8.0,United States of America,Yqfljvgkfucafpjpamdtcppiipc,M,4.0,Sentry Insurance Group,5.0,m,qgjnvpwvmgsqzcanzncon,769.0,1-269-220-8046,Corona,bbgzmquoeecumw,R,1289800.0,161204.0,H
MQBSAUVQRPYE,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,4.0,LA,Znk7554,31.0,,mjeasoritwctufyojamzbeeoo,M,3.0,Cintas,2.0,f,HNBGLUDIOAJRCCIXGDUQOO,481.0,1-052-524-0130,Lincoln,Znkkdbkvxcxeuackyodqlkpl,O,1007390.0,202650.0,v
vadbnvz,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,2.0,CT,CGQ7555,51.0,Canada,Udxaujgiratgthwkvdibgvwfo,U,1.0,Medtronic,7.0,F,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,732.0,1-335-871-6660,Toronto,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,O,124290.0,,T
Ljurvnigr,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,4.0,UT,add7556,24.0,United States of America,GHFUKZPOKMXWZF,M,4.0,Pride International,2.0,,dnlleihfh,802.0,1-637-394-8083,Fayetteville,addxtssyhezwro,O,1820002.0,492433.0,
BQDMQVFTNBRJ,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,4.0,IN,Anw7557,78.0,Canada,ybtkiifyhbgchnuctnhnqspk,M,2.0,A. Schulman,5.0,,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,329.0,1-706-795-4208,Charlotte,Anwyusqezrjppzkaevffwljm,O,2200347.0,344858.0,J
jkcul,nqcozjievwzk,0.0,WI,Hvt7558,56.0,United States of America,Fhkymmgjsbmpduuffgavhfcxm,W,5.0,Oneok,0.0,m,Wsjaujjdexc,839.0,1-622-347-5699,Tulsa,Hvtanebvipbdd,R,3669569.0,197290.0,
Nelny,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,,WA,Yqj7559,50.0,United States of America,DEZDTMSMWKALBRPALCFIME,U,2.0,Danaher,,,Ojberg,539.0,1-042-017-9368,Winston-Salem,Yqjaammjlhgpw,,2140537.0,283654.0,d
Qsggz,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,5.0,LA,Ztn7560,52.0,United States of America,phoxfeiqoldgmnojmzunmargkla,M,4.0,Del Monte Foods,4.0,F,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,561.0,1-829-935-5979,Thousand Oaks,Ztnstwpjxatqveppicohpzilnn,R,3258909.0,317423.0,
Drofa,Lfrjkyblujmbxigmylpsxieswspmei,5.0,VT,bni7561,14.0,United States of America,Upuabfflh,W,4.0,American Electric Power,2.0,F,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,814.0,1-076-726-5283,Lubbock,bnizllrrofn,O,1825422.0,399126.0,
Ssovhtmt,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,0.0,CT,swx7562,29.0,United States of America,owagfolbfwjzeg,M,5.0,TJX,7.0,,Xwtkpxqgohxwxnv,305.0,,Winnipeg,swxorhmdydwbrtdqxroghsddlpbdgi,R,1845263.0,398180.0,
Tnprhljfrlj,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,4.0,RI,DSA7563,50.0,United States of America,Qdmppehqxloc,S,2.0,Philip Morris International,4.0,f,Qpvmtkxxfef,457.0,1-284-129-5920,Laredo,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,O,1463114.0,,P
Bkxujhonjgjk,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,1.0,SC,BXZ7564,67.0,United States of America,jqbetxkci,U,4.0,Cincinnati Financial,8.0,,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,349.0,1-128-308-8886,Overland Park,BXZUTWBUFSGPPXKR,O,2354683.0,485429.0,
mrjrjhgnwcdu,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,0.0,British Columbia,pcz7565,22.0,United States of America,Wsmywgbvwspgdwhmdxsqjwqb,M,2.0,Stryker,0.0,,KRYAIAJGKHBKXBLC,590.0,1-145-469-5971,Calgary,pczqycbwefse,O,436677.0,118018.0,
Yusezkfgs,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,4.0,CO,Zqa7566,20.0,United States of America,ocgwi,U,5.0,Kansas City Southern,0.0,m,,533.0,1-727-684-7767,Peoria,Zqaknviqngvemehvpzrcgkcvre,O,2383335.0,309693.0,
RKXTQAO,IBQIDE,0.0,TN,Htl7567,75.0,Canada,Pcotdnngmurhkcd,W,4.0,IDT,9.0,,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,686.0,1-776-201-2472,Durham,Htltlfnvjctvvdvulpkhcbyfi,O,2574739.0,90718.0,z
UBQSATXZO,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,0.0,CA,afw7568,60.0,United States of America,bvcosqzcleknjzvkygbawlc,U,2.0,Vornado Realty Trust,10.0,F,VBDCWYVK,582.0,1-767-942-1278,Pueblo,afwafvxxdr,O,1596838.0,280645.0,L
BHRNWQLFVFA,Lrebujnrg,4.0,WY,Wna7569,,United States of America,ECLENELTSXGTNWOP,S,,Dollar General,0.0,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,807.0,1-723-062-7266,Las Cruces,Wnakgzhqfhtavtvegjtdmdosnjr,O,591965.0,231559.0,
Ktmzav,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,5.0,SD,Mlh7570,48.0,United States of America,Xdwexmrjat,S,3.0,Safeway,3.0,,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,819.0,,Chula Vista,Mlheqxaigtvjaynkffyqkpu,O,3071440.0,36898.0,
Nfpchgfj,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,0.0,British Columbia,Gor7571,91.0,United States of America,xjwnvwdryqpcehelwzfhkkiuus,M,2.0,Apache,5.0,,Gwxymofcy,311.0,1-145-314-0862,San Diego,Gorjnqxjtefmomsbmtnogaerx,R,2683081.0,396786.0,
Wuywecohosfi,Hxutrprq,5.0,NJ,ENX7572,98.0,United States of America,RNBABCYAFMQPBOHXNUXMXNU,U,2.0,Lowe's,3.0,f,Qynjnmfgwxpmrw,734.0,1-735-104-7772,Chicago,ENXOMNHFVPYQSABETPUEKRKCL,O,3850483.0,344365.0,
tibxlojrqiha,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1.0,AK,fgr7573,51.0,United States of America,Eyrtrqkljywvbcice,W,4.0,Lithia Motors,1.0,,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,432.0,,Worcester,fgrdzzudzmwlluff,O,1870617.0,1205.0,
ogmes,JRHXPUUHAFHDPF,0.0,OH,Ysh7574,22.0,United States of America,Opybrukftspofebjmspkjsgtobzsp,S,5.0,CH2M Hill,3.0,m,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,394.0,1-518-116-1411,Honolulu,Yshzkx,O,1249534.0,276666.0,a
JUBKXDKP,yvntcqjqqmbftwetvbqgclcdbxspvk,0.0,New Brunswick,Mos7575,57.0,United States of America,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,U,0.0,Tellabs,1.0,,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,658.0,1-696-359-4829,Albuquerque,Mosqjrkdycyygfsljqadgfqoldb,O,3789880.0,497953.0,I
