prospect_FirN,prospect_Ag,prospect_Sta,prospect_NumC,prospect_LNa,prospect_AddL1,prospect_AgeID,prospect_Pho,prospect_MaSt,prospect_NWor,prospect_Gen,prospect_Coun,prospect_CrRat,prospect_MiIni,prospect_Emp,prospect_PoCo,prospect_Ci,prospect_OORFl,prospect_In,prospect_NuCh,prospect_AddLi2,prospect_NuCreCar
jdeyqkerjerjpht,4.0,PA,2.0,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,oir7520,1-573-009-1404,M,,m,Canada,371.0,Z,Apache,XHJQCDPOO,Washington,O,29373.0,2.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,8.0
Lwihnxoihqqrvjydsijd,72.0,Nova Scotia,2.0,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Fqb7521,1-603-897-9894,S,,M,United States of America,462.0,O,Robert Half International,rapkjpmvp,Norfolk,R,168189.0,3.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,1.0
nmnervucuk,1.0,RI,,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,qex7522,1-947-161-6502,S,3467922.0,,United States of America,375.0,,Viacom,Slskxm,Sydney,U,264756.0,,Rirmrpvlknyho,7.0
hgjkxxbf,98.0,OR,1.0,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Hpi7523,1-586-826-9847,S,46859.0,,Canada,516.0,,Robert Half International,FXHXLG,Winnipeg,U,44480.0,2.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,10.0
Zangtryzlhmxo,35.0,CA,1.0,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,Fjd7524,1-217-243-2668,,2937668.0,,Canada,703.0,,CSX,ovlziicdezok,Wilmington,R,87207.0,5.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,
FFJGEQD,99.0,MO,4.0,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,Cgt7525,1-857-211-5728,W,2388613.0,,United States of America,734.0,,Country Financial Services,jsxcpvao,El Monte,O,238434.0,2.0,Rpzwirgfyiw,7.0
Pdcxrihnl,49.0,Prince Edward Island,0.0,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Lwx7526,1-089-966-6281,M,3116283.0,M,United States of America,469.0,,Procter & Gamble,Ykerbceq,Sterling Heights,U,,2.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,4.0
Zckhcacwaelzutaodqalxyjrkh,72.0,Quebec,3.0,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,epy7527,,S,2671950.0,,United States of America,595.0,,Ingles Markets,VVMSNWEBT,Pembroke Pines,O,391354.0,0.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,2.0
sqrosgqnpifxjx,41.0,KS,3.0,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Aff7528,1-231-342-6874,U,3899593.0,m,United States of America,410.0,M,Forest Laboratories,bibueqwbejem,Philadelphia,O,419165.0,0.0,Acdrcqabtcdgmgl,1.0
Erqzkkllazeobgthnmgsbtj,54.0,NV,3.0,mfcestd,,mfc7529,,W,2537332.0,,Canada,475.0,S,Dentsply International,gehpynlk,Glendale,O,396509.0,2.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,10.0
Lcziayaozecoqqluasolkmmcldm,11.0,TN,0.0,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,Slf7530,1-602-637-1838,,733236.0,,United States of America,,S,RadioShack,Piwlxtg,El Monte,R,145161.0,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,2.0
Gcnczmuxviqaxtsdzmzhtro,0.0,WY,2.0,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Cxu7531,1-003-982-8627,W,,,United States of America,519.0,,Century Aluminum,Ujlshmosjkid,Warwick,O,263206.0,5.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,3.0
Rsoobsqytvjycob,27.0,British Columbia,3.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,GZO7532,1-136-358-6852,D,3397276.0,,United States of America,841.0,F,,cwburwnupuj,Milwaukee,U,190371.0,3.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,5.0
Pjvadgt,95.0,LA,3.0,DRWTVTDSG,Llfaqkbemnoy,DRW7533,1-123-528-2965,U,2444257.0,,United States of America,540.0,A,FPL Group,CNEZMHTKIAEV,Phoenix,O,203968.0,1.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,6.0
GUBKOKITTSKVYM,35.0,HI,1.0,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,set7534,1-136-565-2501,U,71520.0,f,United States of America,540.0,N,Lockheed Martin,kixvppuqtd,Anchorage,R,428323.0,3.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,10.0
NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,96.0,NY,4.0,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Pyo7535,1-317-986-1984,M,1911091.0,,United States of America,,,Sanmina-SCI,jrhynxfi,Madison,O,159980.0,1.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,6.0
Kuteauo,96.0,TX,0.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,FSH7536,1-265-603-1262,W,988775.0,M,Canada,424.0,,Iron Mountain,dnhtjyu,Fontana,O,266852.0,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,6.0
Hkfofpndygljbeo,49.0,AZ,5.0,Tdxyljuxporjhdumcvfmv,,Tdx7537,,M,3919363.0,,United States of America,623.0,,OfficeMax,YKOVOTYB,Charlotte,R,206973.0,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,2.0
Kengxgsu,,ME,5.0,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,Sbn7538,1-156-668-6882,S,428918.0,,Canada,792.0,O,AMR,WNNMWJ,Richmond,O,258221.0,1.0,XHQNMCEJKXOQYVSZVESLKC,4.0
Plywuoa,27.0,NH,4.0,Piqizouhxiw,Hlotorcbtobuceb,Piq7539,1-164-648-3203,S,58134.0,f,United States of America,718.0,C,Kohl's,Oktkljv,Santa Clarita,O,428508.0,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,6.0
zfcwsxpjzyqelkxg,98.0,KY,4.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,IXD7540,1-839-795-1027,M,3703767.0,M,,401.0,,Cigna,,Yellow Knife,O,,0.0,Toumjfbsumpgfuskpydjeibaxi,6.0
Yxvczhqjwgnhowiu,,Prince Edward Island,4.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,wsn7541,1-958-412-4252,M,433859.0,,United States of America,557.0,,West,GXFLSISZUY,Oxnard,R,58953.0,5.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,2.0
Grkknjyfgbhtyrhxzeaoeoyirwfa,56.0,British Columbia,5.0,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Jkp7542,1-392-335-1020,W,3002044.0,M,United States of America,393.0,A,Monsanto,gzexcrngivl,Huntington Beach,O,409682.0,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,7.0
Vfrdst,94.0,CT,2.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,CCF7543,1-912-050-7605,M,1124168.0,M,United States of America,557.0,,Reliant Energy,yzoikhwrd,Durham,,340191.0,4.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,10.0
Hqcswumjvwbemosmy,98.0,WA,4.0,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,ylj7544,1-075-551-9919,U,2081541.0,,United States of America,465.0,,Idearc,Gdbktega,Naperville,O,238216.0,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,5.0
Ectbhkmbvwkwdbn,8.0,ND,0.0,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ZBB7545,1-013-611-2674,M,1897076.0,F,Canada,,V,Neiman Marcus,Kdcqzpvf,Albuquerque,O,113171.0,1.0,hkyochorqgtokxgozmoncalaaiw,6.0
Bdbgqpllbnrmiirpct,90.0,ID,5.0,fqekemquvstw,Yewxbqpnfgh,fqe7546,1-656-865-7544,W,235172.0,m,United States of America,485.0,,O'Reilly Automotive,Tbwgwtmgcu,Newark,,234797.0,,Datdnghoiymltcayulgkgxywi,10.0
Ftszluaxcsoxdfbmdd,34.0,Quebec,4.0,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Wpw7547,1-879-870-7379,M,639573.0,,United States of America,303.0,,Cliffs Natural Resources,Mwmfs,Miami,,225322.0,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,2.0
Qrdnpjquwnixfocqhsrlkcxmelwijl,25.0,ID,1.0,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,vpz7548,1-366-625-9813,W,2667082.0,,Canada,846.0,,Health Management Associates,goelqgcts,London,O,192689.0,2.0,,4.0
Kkiolpmrgzmnjanqc,50.0,AL,5.0,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Yfz7549,1-359-462-7089,,2598634.0,,Canada,621.0,,Chevron,ucwygjzs,Worcester,O,348685.0,4.0,,1.0
unzegilpp,85.0,UT,3.0,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,dou7550,,D,1074671.0,,United States of America,331.0,,Exide Technologies,fjlfqftwg,Jacksonville,O,401229.0,4.0,,
xetqkitwlh,60.0,MS,5.0,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,FDJ7551,1-153-396-8333,M,2272997.0,M,United States of America,401.0,,Convergys,Tocujgaiaq,Nashua,R,38597.0,4.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,9.0
TWRRGULRYKYUWZYBQQFMIFFKVK,95.0,AK,2.0,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,ufu7552,1-144-623-1308,S,702000.0,,United States of America,644.0,,Dominion Resources,kurjmmgixxfd,Newport News,R,,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,0.0
Yqfljvgkfucafpjpamdtcppiipc,8.0,VT,4.0,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,bbg7553,1-269-220-8046,M,1289800.0,m,United States of America,769.0,H,Sentry Insurance Group,cnsavindoi,Corona,R,161204.0,1.0,NBSHKLXYVUUWXEQSGXR,5.0
mjeasoritwctufyojamzbeeoo,31.0,LA,3.0,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,Znk7554,1-052-524-0130,M,1007390.0,f,,481.0,v,Cintas,MQBSAUVQRPYE,Lincoln,O,202650.0,4.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,2.0
Udxaujgiratgthwkvdibgvwfo,51.0,CT,1.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CGQ7555,1-335-871-6660,U,124290.0,F,Canada,732.0,T,Medtronic,vadbnvz,Toronto,O,,2.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,7.0
GHFUKZPOKMXWZF,24.0,UT,4.0,addxtssyhezwro,dnlleihfh,add7556,1-637-394-8083,M,1820002.0,,United States of America,802.0,,Pride International,Ljurvnigr,Fayetteville,O,492433.0,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,2.0
ybtkiifyhbgchnuctnhnqspk,78.0,IN,2.0,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,Anw7557,1-706-795-4208,M,2200347.0,,Canada,329.0,J,A. Schulman,BQDMQVFTNBRJ,Charlotte,O,344858.0,4.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,5.0
Fhkymmgjsbmpduuffgavhfcxm,56.0,WI,5.0,Hvtanebvipbdd,Wsjaujjdexc,Hvt7558,1-622-347-5699,W,3669569.0,m,United States of America,839.0,,Oneok,jkcul,Tulsa,R,197290.0,0.0,nqcozjievwzk,0.0
DEZDTMSMWKALBRPALCFIME,50.0,WA,2.0,Yqjaammjlhgpw,Ojberg,Yqj7559,1-042-017-9368,U,2140537.0,,United States of America,539.0,d,Danaher,Nelny,Winston-Salem,,283654.0,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,
phoxfeiqoldgmnojmzunmargkla,52.0,LA,4.0,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Ztn7560,1-829-935-5979,M,3258909.0,F,United States of America,561.0,,Del Monte Foods,Qsggz,Thousand Oaks,R,317423.0,5.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,4.0
Upuabfflh,14.0,VT,4.0,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,bni7561,1-076-726-5283,W,1825422.0,F,United States of America,814.0,,American Electric Power,Drofa,Lubbock,O,399126.0,5.0,Lfrjkyblujmbxigmylpsxieswspmei,2.0
owagfolbfwjzeg,29.0,CT,5.0,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,swx7562,,M,1845263.0,,United States of America,305.0,,TJX,Ssovhtmt,Winnipeg,R,398180.0,0.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,7.0
Qdmppehqxloc,50.0,RI,2.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,DSA7563,1-284-129-5920,S,1463114.0,f,United States of America,457.0,P,Philip Morris International,Tnprhljfrlj,Laredo,O,,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,4.0
jqbetxkci,67.0,SC,4.0,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,BXZ7564,1-128-308-8886,U,2354683.0,,United States of America,349.0,,Cincinnati Financial,Bkxujhonjgjk,Overland Park,O,485429.0,1.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,8.0
Wsmywgbvwspgdwhmdxsqjwqb,22.0,British Columbia,2.0,pczqycbwefse,KRYAIAJGKHBKXBLC,pcz7565,1-145-469-5971,M,436677.0,,United States of America,590.0,,Stryker,mrjrjhgnwcdu,Calgary,O,118018.0,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,0.0
ocgwi,20.0,CO,5.0,Zqaknviqngvemehvpzrcgkcvre,,Zqa7566,1-727-684-7767,U,2383335.0,m,United States of America,533.0,,Kansas City Southern,Yusezkfgs,Peoria,O,309693.0,4.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,0.0
Pcotdnngmurhkcd,75.0,TN,4.0,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Htl7567,1-776-201-2472,W,2574739.0,,Canada,686.0,z,IDT,RKXTQAO,Durham,O,90718.0,0.0,IBQIDE,9.0
bvcosqzcleknjzvkygbawlc,60.0,CA,2.0,afwafvxxdr,VBDCWYVK,afw7568,1-767-942-1278,U,1596838.0,F,United States of America,582.0,L,Vornado Realty Trust,UBQSATXZO,Pueblo,O,280645.0,0.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,10.0
ECLENELTSXGTNWOP,,WY,,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Wna7569,1-723-062-7266,S,591965.0,,United States of America,807.0,,Dollar General,BHRNWQLFVFA,Las Cruces,O,231559.0,4.0,Lrebujnrg,0.0
Xdwexmrjat,48.0,SD,3.0,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Mlh7570,,S,3071440.0,,United States of America,819.0,,Safeway,Ktmzav,Chula Vista,O,36898.0,5.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3.0
xjwnvwdryqpcehelwzfhkkiuus,91.0,British Columbia,2.0,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,Gor7571,1-145-314-0862,M,2683081.0,,United States of America,311.0,,Apache,Nfpchgfj,San Diego,R,396786.0,0.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,5.0
RNBABCYAFMQPBOHXNUXMXNU,98.0,NJ,2.0,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,ENX7572,1-735-104-7772,U,3850483.0,f,United States of America,734.0,,Lowe's,Wuywecohosfi,Chicago,O,344365.0,5.0,Hxutrprq,3.0
Eyrtrqkljywvbcice,51.0,AK,4.0,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,fgr7573,,W,1870617.0,,United States of America,432.0,,Lithia Motors,tibxlojrqiha,Worcester,O,1205.0,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1.0
Opybrukftspofebjmspkjsgtobzsp,22.0,OH,5.0,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,Ysh7574,1-518-116-1411,S,1249534.0,m,United States of America,394.0,a,CH2M Hill,ogmes,Honolulu,O,276666.0,0.0,JRHXPUUHAFHDPF,3.0
PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,57.0,New Brunswick,0.0,Mosqjrkdycyygfsljqadgfqoldb,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,Mos7575,1-696-359-4829,U,3789880.0,,United States of America,658.0,I,Tellabs,JUBKXDKP,Albuquerque,O,497953.0,0.0,yvntcqjqqmbftwetvbqgclcdbxspvk,1.0
