AgID,MidInit,CrRat,Sta,LNa,Inc,NuCreCar,Ci,AdLi2,MaSta,NuCh,Ag,Emp,Coun,AddrL1,Ph,NumCa,OORF,NeWo
dgc7511,,,Saskatchewan,dgcnbxfhc,210038.0,3.0,Greensboro,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,M,1.0,72.0,Interstate Bakeries,United States of America,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,5.0,O,490443.0
lql7512,,318.0,NE,lqlslgqsvyfxqnzuwbfg,307402.0,9.0,Concord,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,M,5.0,40.0,eBay,Canada,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,1-268-630-3843,4.0,O,3348923.0
Wsk7513,,613.0,AR,Wskjvrujdwku,,4.0,Colorado Springs,ucxdpiwilpxxhv,D,1.0,8.0,Boise,United States of America,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1-915-548-9541,4.0,R,331799.0
Ffs7514,v,786.0,IL,Ffshsiomkzjonhxjhunfsao,432425.0,4.0,Mobile,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,U,1.0,10.0,MDU Resources Group,,,1-536-880-0961,4.0,R,1167013.0
Kvv7515,F,,VA,Kvvverfkpazpzzkrqniixrhnw,122041.0,10.0,Thousand Oaks,,U,3.0,24.0,Freescale Semiconductor,United States of America,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,1-494-335-6022,0.0,O,3960216.0
mpz7516,G,623.0,ID,mpzqnwnrmaozfsstcqtrc,302205.0,5.0,Rochester,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,M,4.0,18.0,Superior Energy Services,United States of America,,1-814-158-3550,1.0,O,242246.0
Jhc7517,s,845.0,TX,Jhcbaxyzijphmmvpampdgvgisnab,367555.0,1.0,Garden Grove,Havgczldcpfmwfzj,S,1.0,79.0,Monsanto,United States of America,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1-420-580-0795,1.0,O,1217660.0
dbq7518,l,645.0,New Brunswick,dbqcukoddoiwg,106025.0,7.0,Tampa,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,M,5.0,36.0,Newfield Exploration,United States of America,rpikmvtgwsrsoehxgmxwypaueiaheabrf,1-924-305-1666,4.0,U,1229655.0
Xch7519,,495.0,Alberta,Xchoxlbkffuvox,106690.0,1.0,Fullerton,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,W,2.0,21.0,Loews,Canada,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1-450-082-2122,2.0,O,1157831.0
oir7520,Z,371.0,PA,oirfujtvl,29373.0,8.0,Washington,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,M,2.0,4.0,Apache,Canada,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,1-573-009-1404,2.0,O,
Fqb7521,O,462.0,Nova Scotia,Fqbovz,168189.0,1.0,Norfolk,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,S,3.0,72.0,Robert Half International,United States of America,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,1-603-897-9894,2.0,R,
qex7522,,375.0,RI,qextfjyytqwbmdrlykbfnhvqrmota,264756.0,7.0,Sydney,Rirmrpvlknyho,S,,1.0,Viacom,United States of America,Dmyivtczopuqajpnjqvvgbhxynvduub,1-947-161-6502,,U,3467922.0
Hpi7523,,516.0,OR,Hpiedhvkedqqdxsoedt,44480.0,10.0,Winnipeg,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,S,2.0,98.0,Robert Half International,Canada,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,1-586-826-9847,1.0,U,46859.0
Fjd7524,,703.0,CA,Fjdafgbcrml,87207.0,,Wilmington,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,5.0,35.0,CSX,Canada,Esuycdxsjfbrqbtluspxsehk,1-217-243-2668,1.0,R,2937668.0
Cgt7525,,734.0,MO,Cgtcmbl,238434.0,7.0,El Monte,Rpzwirgfyiw,W,2.0,99.0,Country Financial Services,United States of America,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,1-857-211-5728,4.0,O,2388613.0
Lwx7526,,469.0,Prince Edward Island,Lwxudfgcqawccntqaucdaeym,,4.0,Sterling Heights,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,M,2.0,49.0,Procter & Gamble,United States of America,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,1-089-966-6281,0.0,U,3116283.0
epy7527,,595.0,Quebec,epyxtfsrijhddstgaxkbgmlayjtk,391354.0,2.0,Pembroke Pines,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,S,0.0,72.0,Ingles Markets,United States of America,vnyndcximwxhecv,,3.0,O,2671950.0
Aff7528,M,410.0,KS,Affcha,419165.0,1.0,Philadelphia,Acdrcqabtcdgmgl,U,0.0,41.0,Forest Laboratories,United States of America,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,1-231-342-6874,3.0,O,3899593.0
mfc7529,S,475.0,NV,mfcestd,396509.0,10.0,Glendale,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,W,2.0,54.0,Dentsply International,Canada,,,3.0,O,2537332.0
Slf7530,S,,TN,Slfbmvc,145161.0,2.0,El Monte,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,2.0,11.0,RadioShack,United States of America,GVSBHGBDDVJFNNOZNNPJWCOI,1-602-637-1838,0.0,R,733236.0
Cxu7531,,519.0,WY,Cxuousxqyrfgjvpvuopyfguqva,263206.0,3.0,Warwick,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,W,5.0,0.0,Century Aluminum,United States of America,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,1-003-982-8627,2.0,O,
GZO7532,F,841.0,British Columbia,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,190371.0,5.0,Milwaukee,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,D,3.0,27.0,,United States of America,BIQIOQOHLQSTBRUFOI,1-136-358-6852,3.0,U,3397276.0
DRW7533,A,540.0,LA,DRWTVTDSG,203968.0,6.0,Phoenix,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,U,1.0,95.0,FPL Group,United States of America,Llfaqkbemnoy,1-123-528-2965,3.0,O,2444257.0
set7534,N,540.0,HI,setksinlvlrjwnfu,428323.0,10.0,Anchorage,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,U,3.0,35.0,Lockheed Martin,United States of America,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,1-136-565-2501,1.0,R,71520.0
Pyo7535,,,NY,Pyoixliri,159980.0,6.0,Madison,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,M,1.0,96.0,Sanmina-SCI,United States of America,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1-317-986-1984,4.0,O,1911091.0
FSH7536,,424.0,TX,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,266852.0,6.0,Fontana,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,W,0.0,96.0,Iron Mountain,Canada,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,1-265-603-1262,0.0,O,988775.0
Tdx7537,,623.0,AZ,Tdxyljuxporjhdumcvfmv,206973.0,2.0,Charlotte,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,M,5.0,49.0,OfficeMax,United States of America,,,5.0,R,3919363.0
Sbn7538,O,792.0,ME,Sbnxcsrozzcufdoyvckpplofysx,258221.0,4.0,Richmond,XHQNMCEJKXOQYVSZVESLKC,S,1.0,,AMR,Canada,atydogjpqphuwhegtbukkqiaeakrtrn,1-156-668-6882,5.0,O,428918.0
Piq7539,C,718.0,NH,Piqizouhxiw,428508.0,6.0,Santa Clarita,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,S,4.0,27.0,Kohl's,United States of America,Hlotorcbtobuceb,1-164-648-3203,4.0,O,58134.0
IXD7540,,401.0,KY,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,6.0,Yellow Knife,Toumjfbsumpgfuskpydjeibaxi,M,0.0,98.0,Cigna,,gsrdigbqfwrahybxrtm,1-839-795-1027,4.0,O,3703767.0
wsn7541,,557.0,Prince Edward Island,wsnjomkxbtybfnmtcjhvmblfwamnwd,58953.0,2.0,Oxnard,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,M,5.0,,West,United States of America,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,1-958-412-4252,4.0,R,433859.0
Jkp7542,A,393.0,British Columbia,Jkpmtcj,409682.0,7.0,Huntington Beach,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,W,5.0,56.0,Monsanto,United States of America,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,1-392-335-1020,5.0,O,3002044.0
CCF7543,,557.0,CT,CCFFVCOHCLUUXZIQTCFCUHEYN,340191.0,10.0,Durham,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,M,4.0,94.0,Reliant Energy,United States of America,,1-912-050-7605,2.0,,1124168.0
ylj7544,,465.0,WA,yljvuglvt,238216.0,5.0,Naperville,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,U,5.0,98.0,Idearc,United States of America,RELJYREDKQEKGOORBLRKOUIC,1-075-551-9919,4.0,O,2081541.0
ZBB7545,V,,ND,ZBBXAWVJAAL,113171.0,6.0,Albuquerque,hkyochorqgtokxgozmoncalaaiw,M,1.0,8.0,Neiman Marcus,Canada,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1-013-611-2674,0.0,O,1897076.0
fqe7546,,485.0,ID,fqekemquvstw,234797.0,10.0,Newark,Datdnghoiymltcayulgkgxywi,W,,90.0,O'Reilly Automotive,United States of America,Yewxbqpnfgh,1-656-865-7544,5.0,,235172.0
Wpw7547,,303.0,Quebec,Wpwhilrlzng,225322.0,2.0,Miami,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,M,2.0,34.0,Cliffs Natural Resources,United States of America,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,1-879-870-7379,4.0,,639573.0
vpz7548,,846.0,ID,vpzxgcwljllsq,192689.0,4.0,London,,W,2.0,25.0,Health Management Associates,Canada,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,1-366-625-9813,1.0,O,2667082.0
Yfz7549,,621.0,AL,Yfzmtcvxc,348685.0,1.0,Worcester,,,4.0,50.0,Chevron,Canada,VDBAVRMWFYBDZUILPKFXIVIYGFUU,1-359-462-7089,5.0,O,2598634.0
dou7550,,331.0,UT,douvwdwiwrxoivzaojazinrhswjv,401229.0,,Jacksonville,,D,4.0,85.0,Exide Technologies,United States of America,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,3.0,O,1074671.0
FDJ7551,,401.0,MS,FDJOVRSOCWEIKZ,38597.0,9.0,Nashua,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,M,4.0,60.0,Convergys,United States of America,hfuyqlsmbesrylepu,1-153-396-8333,5.0,R,2272997.0
ufu7552,,644.0,AK,ufutrfkevxnbupjcetrpltw,,0.0,Newport News,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,S,2.0,95.0,Dominion Resources,United States of America,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,1-144-623-1308,2.0,R,702000.0
bbg7553,H,769.0,VT,bbgzmquoeecumw,161204.0,5.0,Corona,NBSHKLXYVUUWXEQSGXR,M,1.0,8.0,Sentry Insurance Group,United States of America,qgjnvpwvmgsqzcanzncon,1-269-220-8046,4.0,R,1289800.0
Znk7554,v,481.0,LA,Znkkdbkvxcxeuackyodqlkpl,202650.0,2.0,Lincoln,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,M,4.0,31.0,Cintas,,HNBGLUDIOAJRCCIXGDUQOO,1-052-524-0130,3.0,O,1007390.0
CGQ7555,T,732.0,CT,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,,7.0,Toronto,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,U,2.0,51.0,Medtronic,Canada,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,1-335-871-6660,1.0,O,124290.0
add7556,,802.0,UT,addxtssyhezwro,492433.0,2.0,Fayetteville,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,M,4.0,24.0,Pride International,United States of America,dnlleihfh,1-637-394-8083,4.0,O,1820002.0
Anw7557,J,329.0,IN,Anwyusqezrjppzkaevffwljm,344858.0,5.0,Charlotte,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,M,4.0,78.0,A. Schulman,Canada,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,1-706-795-4208,2.0,O,2200347.0
Hvt7558,,839.0,WI,Hvtanebvipbdd,197290.0,0.0,Tulsa,nqcozjievwzk,W,0.0,56.0,Oneok,United States of America,Wsjaujjdexc,1-622-347-5699,5.0,R,3669569.0
Yqj7559,d,539.0,WA,Yqjaammjlhgpw,283654.0,,Winston-Salem,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,U,,50.0,Danaher,United States of America,Ojberg,1-042-017-9368,2.0,,2140537.0
Ztn7560,,561.0,LA,Ztnstwpjxatqveppicohpzilnn,317423.0,4.0,Thousand Oaks,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,M,5.0,52.0,Del Monte Foods,United States of America,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,1-829-935-5979,4.0,R,3258909.0
bni7561,,814.0,VT,bnizllrrofn,399126.0,2.0,Lubbock,Lfrjkyblujmbxigmylpsxieswspmei,W,5.0,14.0,American Electric Power,United States of America,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,1-076-726-5283,4.0,O,1825422.0
swx7562,,305.0,CT,swxorhmdydwbrtdqxroghsddlpbdgi,398180.0,7.0,Winnipeg,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,M,0.0,29.0,TJX,United States of America,Xwtkpxqgohxwxnv,,5.0,R,1845263.0
DSA7563,P,457.0,RI,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,,4.0,Laredo,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,S,4.0,50.0,Philip Morris International,United States of America,Qpvmtkxxfef,1-284-129-5920,2.0,O,1463114.0
BXZ7564,,349.0,SC,BXZUTWBUFSGPPXKR,485429.0,8.0,Overland Park,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,U,1.0,67.0,Cincinnati Financial,United States of America,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1-128-308-8886,4.0,O,2354683.0
pcz7565,,590.0,British Columbia,pczqycbwefse,118018.0,0.0,Calgary,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,M,0.0,22.0,Stryker,United States of America,KRYAIAJGKHBKXBLC,1-145-469-5971,2.0,O,436677.0
Zqa7566,,533.0,CO,Zqaknviqngvemehvpzrcgkcvre,309693.0,0.0,Peoria,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,U,4.0,20.0,Kansas City Southern,United States of America,,1-727-684-7767,5.0,O,2383335.0
Htl7567,z,686.0,TN,Htltlfnvjctvvdvulpkhcbyfi,90718.0,9.0,Durham,IBQIDE,W,0.0,75.0,IDT,Canada,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,1-776-201-2472,4.0,O,2574739.0
afw7568,L,582.0,CA,afwafvxxdr,280645.0,10.0,Pueblo,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,U,0.0,60.0,Vornado Realty Trust,United States of America,VBDCWYVK,1-767-942-1278,2.0,O,1596838.0
Wna7569,,807.0,WY,Wnakgzhqfhtavtvegjtdmdosnjr,231559.0,0.0,Las Cruces,Lrebujnrg,S,4.0,,Dollar General,United States of America,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,1-723-062-7266,,O,591965.0
Mlh7570,,819.0,SD,Mlheqxaigtvjaynkffyqkpu,36898.0,3.0,Chula Vista,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,S,5.0,48.0,Safeway,United States of America,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,3.0,O,3071440.0
Gor7571,,311.0,British Columbia,Gorjnqxjtefmomsbmtnogaerx,396786.0,5.0,San Diego,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,M,0.0,91.0,Apache,United States of America,Gwxymofcy,1-145-314-0862,2.0,R,2683081.0
ENX7572,,734.0,NJ,ENXOMNHFVPYQSABETPUEKRKCL,344365.0,3.0,Chicago,Hxutrprq,U,5.0,98.0,Lowe's,United States of America,Qynjnmfgwxpmrw,1-735-104-7772,2.0,O,3850483.0
fgr7573,,432.0,AK,fgrdzzudzmwlluff,1205.0,1.0,Worcester,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,W,1.0,51.0,Lithia Motors,United States of America,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,4.0,O,1870617.0
Ysh7574,a,394.0,OH,Yshzkx,276666.0,3.0,Honolulu,JRHXPUUHAFHDPF,S,0.0,22.0,CH2M Hill,United States of America,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,1-518-116-1411,5.0,O,1249534.0
Mos7575,I,658.0,New Brunswick,Mosqjrkdycyygfsljqadgfqoldb,497953.0,1.0,Albuquerque,yvntcqjqqmbftwetvbqgclcdbxspvk,U,0.0,57.0,Tellabs,United States of America,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,1-696-359-4829,0.0,O,3789880.0
czu7576,,348.0,IL,czuvw,156048.0,3.0,Oakland,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,M,2.0,38.0,Phillips-Van Heusen,Canada,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,1-352-678-5471,1.0,O,3874445.0
Ghr7577,Z,598.0,AZ,Ghrlcuscpesuzsdwqfwwbgh,63617.0,8.0,Billings,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,M,5.0,68.0,Wells Fargo,United States of America,BESJDYZDIOIXKDFEHBQXBPW,1-906-600-9749,1.0,O,437353.0
Rwk7578,,505.0,NY,Rwkdeshuwhwvmvmdnckmuvdt,244849.0,9.0,Pueblo,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,U,2.0,93.0,Vornado Realty Trust,United States of America,Ouopoqztakszwsfkthdbwndfjuqaelyd,1-093-018-2851,2.0,O,2669917.0
Uwi7579,,839.0,WA,Uwinnbtdd,123585.0,7.0,Sherbrooke,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,S,3.0,48.0,New York Times,United States of America,Ivwhotvobwkshcixclfobqoljlaqohw,1-302-096-9321,4.0,R,1466537.0
VXZ7580,,672.0,GA,VXZTLDNZPYIFIKTIJRXS,391134.0,2.0,Sacramento,CYQWJKJB,S,1.0,96.0,Adobe Systems,United States of America,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1-915-044-3154,1.0,U,991860.0
Ayk7581,p,696.0,AZ,Aykkkc,426759.0,3.0,Charlotte,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,M,5.0,58.0,Valmont Industries,United States of America,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,1-040-274-3474,5.0,O,
lho7582,,448.0,NV,lhodktal,451737.0,5.0,El Paso,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,W,3.0,63.0,UAL,United States of America,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,1-678-397-2739,5.0,O,1816368.0
rzi7583,,549.0,TN,rziprpcfwnirtuvrbfnuepq,180822.0,9.0,Mesa,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,S,1.0,18.0,AFLAC,United States of America,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,1-679-345-9939,2.0,O,565246.0
Wds7584,,705.0,AL,Wdsuorykxmvfxupyyjl,205843.0,0.0,Simi Valley,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,W,2.0,40.0,VeraSun Energy,United States of America,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,1-093-616-0613,4.0,O,1899339.0
Xsj7585,f,387.0,TX,Xsjypvyfoqbiq,470985.0,6.0,St. Catharines,ccfzcxohrhrcnypedmhjovjyjrxi,M,3.0,29.0,Magellan Health Services,United States of America,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,1-546-131-8988,4.0,O,3873239.0
Lux7586,v,359.0,WV,Luxkby,318225.0,7.0,Washington,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,U,1.0,21.0,Emcor Group,United States of America,Nhgrkzjzcrjcerkwrugwul,1-477-186-7432,2.0,,767547.0
wxw7587,,494.0,ND,wxwhwasadsmxchyhlgrvnurte,326044.0,9.0,Chula Vista,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,M,2.0,41.0,Peabody Energy,Canada,,1-965-848-6954,2.0,O,1027999.0
pfz7588,e,345.0,Saskatchewan,pfzjoarqopfjtzjalxxxeq,,10.0,Montpelier,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,M,1.0,56.0,State Farm Insurance Cos.,United States of America,uiaoi,1-622-866-0937,1.0,,3428495.0
hlx7589,,402.0,VA,hlxshqpvshstjerwclb,187282.0,10.0,Mesa,REHWDWEP,M,0.0,33.0,Humana,United States of America,Wwonzdtvwkn,1-040-217-2014,2.0,O,1827180.0
