gncd,mrtlstts,g,ncm,crdtrtng,ddrssln1,phn,gndr,nmbrchldrn,ct,cntr,stt,nmbrcrs,wnrrntflg,mplr,nmbrcrdtcrds,ntwrth
Jhc7517,S,79.0,367555.0,845.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1-420-580-0795,F,1.0,Garden Grove,United States of America,TX,1.0,O,Monsanto,1.0,1217660.0
dbq7518,M,36.0,106025.0,645.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,1-924-305-1666,M,5.0,Tampa,United States of America,New Brunswick,4.0,U,Newfield Exploration,7.0,1229655.0
Xch7519,W,21.0,106690.0,495.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1-450-082-2122,m,2.0,Fullerton,Canada,Alberta,2.0,O,Loews,1.0,1157831.0
oir7520,M,4.0,29373.0,371.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,1-573-009-1404,m,2.0,Washington,Canada,PA,2.0,O,Apache,8.0,
Fqb7521,S,72.0,168189.0,462.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,1-603-897-9894,M,3.0,Norfolk,United States of America,Nova Scotia,2.0,R,Robert Half International,1.0,
qex7522,S,1.0,264756.0,375.0,Dmyivtczopuqajpnjqvvgbhxynvduub,1-947-161-6502,,,Sydney,United States of America,RI,,U,Viacom,7.0,3467922.0
Hpi7523,S,98.0,44480.0,516.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,1-586-826-9847,,2.0,Winnipeg,Canada,OR,1.0,U,Robert Half International,10.0,46859.0
Fjd7524,,35.0,87207.0,703.0,Esuycdxsjfbrqbtluspxsehk,1-217-243-2668,,5.0,Wilmington,Canada,CA,1.0,R,CSX,,2937668.0
Cgt7525,W,99.0,238434.0,734.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,1-857-211-5728,,2.0,El Monte,United States of America,MO,4.0,O,Country Financial Services,7.0,2388613.0
Lwx7526,M,49.0,,469.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,1-089-966-6281,M,2.0,Sterling Heights,United States of America,Prince Edward Island,0.0,U,Procter & Gamble,4.0,3116283.0
epy7527,S,72.0,391354.0,595.0,vnyndcximwxhecv,,,0.0,Pembroke Pines,United States of America,Quebec,3.0,O,Ingles Markets,2.0,2671950.0
Aff7528,U,41.0,419165.0,410.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,1-231-342-6874,m,0.0,Philadelphia,United States of America,KS,3.0,O,Forest Laboratories,1.0,3899593.0
mfc7529,W,54.0,396509.0,475.0,,,,2.0,Glendale,Canada,NV,3.0,O,Dentsply International,10.0,2537332.0
Slf7530,,11.0,145161.0,,GVSBHGBDDVJFNNOZNNPJWCOI,1-602-637-1838,,2.0,El Monte,United States of America,TN,0.0,R,RadioShack,2.0,733236.0
Cxu7531,W,0.0,263206.0,519.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,1-003-982-8627,,5.0,Warwick,United States of America,WY,2.0,O,Century Aluminum,3.0,
GZO7532,D,27.0,190371.0,841.0,BIQIOQOHLQSTBRUFOI,1-136-358-6852,,3.0,Milwaukee,United States of America,British Columbia,3.0,U,,5.0,3397276.0
DRW7533,U,95.0,203968.0,540.0,Llfaqkbemnoy,1-123-528-2965,,1.0,Phoenix,United States of America,LA,3.0,O,FPL Group,6.0,2444257.0
set7534,U,35.0,428323.0,540.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,1-136-565-2501,f,3.0,Anchorage,United States of America,HI,1.0,R,Lockheed Martin,10.0,71520.0
Pyo7535,M,96.0,159980.0,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1-317-986-1984,,1.0,Madison,United States of America,NY,4.0,O,Sanmina-SCI,6.0,1911091.0
FSH7536,W,96.0,266852.0,424.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,1-265-603-1262,M,0.0,Fontana,Canada,TX,0.0,O,Iron Mountain,6.0,988775.0
Tdx7537,M,49.0,206973.0,623.0,,,,5.0,Charlotte,United States of America,AZ,5.0,R,OfficeMax,2.0,3919363.0
Sbn7538,S,,258221.0,792.0,atydogjpqphuwhegtbukkqiaeakrtrn,1-156-668-6882,,1.0,Richmond,Canada,ME,5.0,O,AMR,4.0,428918.0
Piq7539,S,27.0,428508.0,718.0,Hlotorcbtobuceb,1-164-648-3203,f,4.0,Santa Clarita,United States of America,NH,4.0,O,Kohl's,6.0,58134.0
IXD7540,M,98.0,,401.0,gsrdigbqfwrahybxrtm,1-839-795-1027,M,0.0,Yellow Knife,,KY,4.0,O,Cigna,6.0,3703767.0
wsn7541,M,,58953.0,557.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,1-958-412-4252,,5.0,Oxnard,United States of America,Prince Edward Island,4.0,R,West,2.0,433859.0
Jkp7542,W,56.0,409682.0,393.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,1-392-335-1020,M,5.0,Huntington Beach,United States of America,British Columbia,5.0,O,Monsanto,7.0,3002044.0
CCF7543,M,94.0,340191.0,557.0,,1-912-050-7605,M,4.0,Durham,United States of America,CT,2.0,,Reliant Energy,10.0,1124168.0
ylj7544,U,98.0,238216.0,465.0,RELJYREDKQEKGOORBLRKOUIC,1-075-551-9919,,5.0,Naperville,United States of America,WA,4.0,O,Idearc,5.0,2081541.0
ZBB7545,M,8.0,113171.0,,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1-013-611-2674,F,1.0,Albuquerque,Canada,ND,0.0,O,Neiman Marcus,6.0,1897076.0
fqe7546,W,90.0,234797.0,485.0,Yewxbqpnfgh,1-656-865-7544,m,,Newark,United States of America,ID,5.0,,O'Reilly Automotive,10.0,235172.0
Wpw7547,M,34.0,225322.0,303.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,1-879-870-7379,,2.0,Miami,United States of America,Quebec,4.0,,Cliffs Natural Resources,2.0,639573.0
vpz7548,W,25.0,192689.0,846.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,1-366-625-9813,,2.0,London,Canada,ID,1.0,O,Health Management Associates,4.0,2667082.0
Yfz7549,,50.0,348685.0,621.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,1-359-462-7089,,4.0,Worcester,Canada,AL,5.0,O,Chevron,1.0,2598634.0
dou7550,D,85.0,401229.0,331.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,,4.0,Jacksonville,United States of America,UT,3.0,O,Exide Technologies,,1074671.0
FDJ7551,M,60.0,38597.0,401.0,hfuyqlsmbesrylepu,1-153-396-8333,M,4.0,Nashua,United States of America,MS,5.0,R,Convergys,9.0,2272997.0
ufu7552,S,95.0,,644.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,1-144-623-1308,,2.0,Newport News,United States of America,AK,2.0,R,Dominion Resources,0.0,702000.0
bbg7553,M,8.0,161204.0,769.0,qgjnvpwvmgsqzcanzncon,1-269-220-8046,m,1.0,Corona,United States of America,VT,4.0,R,Sentry Insurance Group,5.0,1289800.0
Znk7554,M,31.0,202650.0,481.0,HNBGLUDIOAJRCCIXGDUQOO,1-052-524-0130,f,4.0,Lincoln,,LA,3.0,O,Cintas,2.0,1007390.0
CGQ7555,U,51.0,,732.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,1-335-871-6660,F,2.0,Toronto,Canada,CT,1.0,O,Medtronic,7.0,124290.0
add7556,M,24.0,492433.0,802.0,dnlleihfh,1-637-394-8083,,4.0,Fayetteville,United States of America,UT,4.0,O,Pride International,2.0,1820002.0
Anw7557,M,78.0,344858.0,329.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,1-706-795-4208,,4.0,Charlotte,Canada,IN,2.0,O,A. Schulman,5.0,2200347.0
Hvt7558,W,56.0,197290.0,839.0,Wsjaujjdexc,1-622-347-5699,m,0.0,Tulsa,United States of America,WI,5.0,R,Oneok,0.0,3669569.0
Yqj7559,U,50.0,283654.0,539.0,Ojberg,1-042-017-9368,,,Winston-Salem,United States of America,WA,2.0,,Danaher,,2140537.0
Ztn7560,M,52.0,317423.0,561.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,1-829-935-5979,F,5.0,Thousand Oaks,United States of America,LA,4.0,R,Del Monte Foods,4.0,3258909.0
bni7561,W,14.0,399126.0,814.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,1-076-726-5283,F,5.0,Lubbock,United States of America,VT,4.0,O,American Electric Power,2.0,1825422.0
swx7562,M,29.0,398180.0,305.0,Xwtkpxqgohxwxnv,,,0.0,Winnipeg,United States of America,CT,5.0,R,TJX,7.0,1845263.0
DSA7563,S,50.0,,457.0,Qpvmtkxxfef,1-284-129-5920,f,4.0,Laredo,United States of America,RI,2.0,O,Philip Morris International,4.0,1463114.0
BXZ7564,U,67.0,485429.0,349.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1-128-308-8886,,1.0,Overland Park,United States of America,SC,4.0,O,Cincinnati Financial,8.0,2354683.0
pcz7565,M,22.0,118018.0,590.0,KRYAIAJGKHBKXBLC,1-145-469-5971,,0.0,Calgary,United States of America,British Columbia,2.0,O,Stryker,0.0,436677.0
Zqa7566,U,20.0,309693.0,533.0,,1-727-684-7767,m,4.0,Peoria,United States of America,CO,5.0,O,Kansas City Southern,0.0,2383335.0
Htl7567,W,75.0,90718.0,686.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,1-776-201-2472,,0.0,Durham,Canada,TN,4.0,O,IDT,9.0,2574739.0
afw7568,U,60.0,280645.0,582.0,VBDCWYVK,1-767-942-1278,F,0.0,Pueblo,United States of America,CA,2.0,O,Vornado Realty Trust,10.0,1596838.0
Wna7569,S,,231559.0,807.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,1-723-062-7266,,4.0,Las Cruces,United States of America,WY,,O,Dollar General,0.0,591965.0
Mlh7570,S,48.0,36898.0,819.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,,5.0,Chula Vista,United States of America,SD,3.0,O,Safeway,3.0,3071440.0
Gor7571,M,91.0,396786.0,311.0,Gwxymofcy,1-145-314-0862,,0.0,San Diego,United States of America,British Columbia,2.0,R,Apache,5.0,2683081.0
ENX7572,U,98.0,344365.0,734.0,Qynjnmfgwxpmrw,1-735-104-7772,f,5.0,Chicago,United States of America,NJ,2.0,O,Lowe's,3.0,3850483.0
fgr7573,W,51.0,1205.0,432.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,,1.0,Worcester,United States of America,AK,4.0,O,Lithia Motors,1.0,1870617.0
Ysh7574,S,22.0,276666.0,394.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,1-518-116-1411,m,0.0,Honolulu,United States of America,OH,5.0,O,CH2M Hill,3.0,1249534.0
Mos7575,U,57.0,497953.0,658.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,1-696-359-4829,,0.0,Albuquerque,United States of America,New Brunswick,0.0,O,Tellabs,1.0,3789880.0
czu7576,M,38.0,156048.0,348.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,1-352-678-5471,,2.0,Oakland,Canada,IL,1.0,O,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,M,68.0,63617.0,598.0,BESJDYZDIOIXKDFEHBQXBPW,1-906-600-9749,,5.0,Billings,United States of America,AZ,1.0,O,Wells Fargo,8.0,437353.0
Rwk7578,U,93.0,244849.0,505.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,1-093-018-2851,,2.0,Pueblo,United States of America,NY,2.0,O,Vornado Realty Trust,9.0,2669917.0
Uwi7579,S,48.0,123585.0,839.0,Ivwhotvobwkshcixclfobqoljlaqohw,1-302-096-9321,,3.0,Sherbrooke,United States of America,WA,4.0,R,New York Times,7.0,1466537.0
VXZ7580,S,96.0,391134.0,672.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1-915-044-3154,,1.0,Sacramento,United States of America,GA,1.0,U,Adobe Systems,2.0,991860.0
Ayk7581,M,58.0,426759.0,696.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,1-040-274-3474,f,5.0,Charlotte,United States of America,AZ,5.0,O,Valmont Industries,3.0,
lho7582,W,63.0,451737.0,448.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,1-678-397-2739,M,3.0,El Paso,United States of America,NV,5.0,O,UAL,5.0,1816368.0
rzi7583,S,18.0,180822.0,549.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,1-679-345-9939,,1.0,Mesa,United States of America,TN,2.0,O,AFLAC,9.0,565246.0
Wds7584,W,40.0,205843.0,705.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,1-093-616-0613,,2.0,Simi Valley,United States of America,AL,4.0,O,VeraSun Energy,0.0,1899339.0
Xsj7585,M,29.0,470985.0,387.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,1-546-131-8988,M,3.0,St. Catharines,United States of America,TX,4.0,O,Magellan Health Services,6.0,3873239.0
Lux7586,U,21.0,318225.0,359.0,Nhgrkzjzcrjcerkwrugwul,1-477-186-7432,,1.0,Washington,United States of America,WV,2.0,,Emcor Group,7.0,767547.0
wxw7587,M,41.0,326044.0,494.0,,1-965-848-6954,f,2.0,Chula Vista,Canada,ND,2.0,O,Peabody Energy,9.0,1027999.0
pfz7588,M,56.0,,345.0,uiaoi,1-622-866-0937,m,1.0,Montpelier,United States of America,Saskatchewan,1.0,,State Farm Insurance Cos.,10.0,3428495.0
hlx7589,M,33.0,187282.0,402.0,Wwonzdtvwkn,1-040-217-2014,M,0.0,Mesa,United States of America,VA,2.0,O,Humana,10.0,1827180.0
nyb7590,M,96.0,,579.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,1-101-684-2373,,0.0,New Haven,United States of America,ND,2.0,O,News Corp.,3.0,2070007.0
Ltt7591,,35.0,,569.0,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,1-386-426-5849,,0.0,Indianapolis,United States of America,ND,2.0,O,Torchmark,2.0,
gsz7592,W,40.0,306946.0,745.0,cezvfwtftwlwfrgrpxtuejvrgucexe,1-598-816-0126,,4.0,Stockton,United States of America,MS,0.0,O,Rock-Tenn,9.0,3596263.0
Kwp7593,D,10.0,99663.0,320.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,1-770-379-7700,,,Louisville,,WY,0.0,U,AGCO,1.0,3719999.0
AGM7594,M,59.0,482013.0,591.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,,,4.0,Atlanta,United States of America,MA,2.0,R,,4.0,3058439.0
Ocn7595,M,70.0,180476.0,,Ctgihaqlm,1-628-245-6238,m,0.0,Milwaukee,United States of America,AK,1.0,U,United Stationers,10.0,2592932.0
Cmw7596,M,69.0,285682.0,417.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,1-813-787-2611,F,5.0,Fort Smith,United States of America,PA,4.0,,McCormick,5.0,1471273.0
Dit7597,M,96.0,455032.0,338.0,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,1-362-897-1162,,5.0,Knoxville,United States of America,MA,0.0,R,National Life Group,8.0,
Rmm7598,S,9.0,356141.0,340.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,1-952-919-4878,,,Idaho Falls,United States of America,DC,3.0,O,Hasbro,9.0,2410816.0
ekj7599,U,39.0,165667.0,738.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,1-145-214-8009,,3.0,Jacksonville,Canada,RI,3.0,U,Tupperware Brands,5.0,1059543.0
wcq7600,S,31.0,459767.0,597.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,1-328-944-9786,,2.0,Stockton,United States of America,MA,0.0,O,Covance,7.0,379282.0
Klc7601,M,64.0,106459.0,603.0,RSSNUTWWLOKIHRRTPEAFTLBF,1-899-864-9421,f,2.0,Thousand Oaks,United States of America,Alberta,2.0,R,Interactive Brokers Group,4.0,3271265.0
Jrd7602,D,38.0,51021.0,662.0,Sachwqwddeyfxvagihsjxtcsibaejb,1-877-997-8896,,1.0,Nashua,,AR,,U,SkyWest,5.0,1530364.0
GDQ7603,W,47.0,494931.0,838.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,1-750-900-0823,,4.0,Tallahassee,United States of America,VA,2.0,R,Best Buy,0.0,3731860.0
fnm7604,M,,429859.0,791.0,Sbutxmtwkb,,,2.0,Brownsville,United States of America,OR,5.0,O,Sears Holdings,9.0,2488858.0
Ymu7605,S,76.0,,692.0,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,1-347-704-7823,,4.0,Charlotte,Canada,ID,1.0,O,Frontier Oil,7.0,2301347.0
Pxj7606,W,60.0,464086.0,673.0,mnkidgiyajigobghpnkdvauwiubpjb,1-228-976-2888,,3.0,Oakland,,IA,0.0,O,Automatic Data Processing,8.0,1736571.0
Rsd7607,U,73.0,207651.0,331.0,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,,,,Fort Wayne,Canada,TN,3.0,O,,7.0,2399483.0
Qqh7608,U,37.0,260418.0,744.0,Fmrydeogisvvtrpsfonolelpnqcbkrr,1-760-429-1328,,,Chula Vista,United States of America,Nova Scotia,4.0,O,Comerica,2.0,2982744.0
udq7609,M,50.0,,446.0,Xhggtfwyslxvgeiuzjfxewcsweefq,1-253-879-8833,,1.0,Peoria,United States of America,Ontario,5.0,U,Baldor Electric,6.0,1611011.0
Ghl7610,M,0.0,316963.0,,,1-401-256-3483,,4.0,Lexington,Canada,MD,0.0,O,Commercial Metals,0.0,2999167.0
mtk7611,W,,84046.0,,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,1-175-910-8245,f,,Salem,Canada,AR,5.0,O,,,
QIY7612,M,,368990.0,723.0,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,1-565-191-3419,,3.0,San Jose,United States of America,Saskatchewan,0.0,O,Molina Healthcare,9.0,3307491.0
Ohz7613,S,81.0,124382.0,348.0,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,1-921-688-5401,,0.0,Kansas City,Canada,OH,2.0,O,Plains All American Pipeline,2.0,2057260.0
djg7614,M,52.0,9263.0,666.0,Gvdteormavfflajkedaclod,1-925-155-0170,,0.0,Windsor,United States of America,VA,2.0,O,Agilent Technologies,,53179.0
Iad7615,M,68.0,334181.0,,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,1-185-691-2951,,4.0,Chicago,United States of America,ID,2.0,U,AutoZone,3.0,690086.0
EMG7616,M,,314001.0,844.0,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,1-067-518-3854,,1.0,Evansville,United States of America,WI,0.0,R,,8.0,2025465.0
Hjn7617,M,36.0,168309.0,766.0,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,1-188-554-1671,,4.0,Honolulu,Canada,MS,1.0,O,Universal Health Services,8.0,695307.0
CYP7618,M,31.0,322765.0,521.0,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,1-168-215-2223,M,4.0,Cleveland,United States of America,OK,2.0,O,Time Warner,10.0,3238398.0
KPN7619,W,55.0,311253.0,306.0,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,1-228-022-3056,,5.0,Livonia,United States of America,GA,1.0,O,Sealed Air,7.0,1213578.0
Vbi7620,W,66.0,140296.0,411.0,Blsmawjjdmdamrhqyqgzmbkfa,1-926-766-1124,,5.0,Little Rock,United States of America,TN,5.0,R,Sprint Nextel,9.0,103708.0
ehb7621,M,22.0,439984.0,,Stofpzwyhkpmuq,1-538-797-1948,F,5.0,Halifax,United States of America,SC,1.0,O,,3.0,1086081.0
TMQ7622,U,51.0,454011.0,702.0,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,1-627-234-0841,F,0.0,Peoria,United States of America,AR,5.0,O,Quiksilver,8.0,1349626.0
Lsb7623,S,26.0,191541.0,842.0,,1-876-492-0782,a,5.0,San Jose,United States of America,MT,1.0,R,Valspar,1.0,1083092.0
Dpz7624,U,100.0,,528.0,Twfsibyhrvrnvcygkdiwyokzoikvjbawfwpiachehbzcinnvdgevmbuozxru,1-436-946-7319,M,1.0,Charlotte,United States of America,WY,2.0,R,Timken,0.0,1662799.0
Zuj7625,W,13.0,,300.0,cnckvldjedzgdqhy,1-281-780-2897,,3.0,Hilo,United States of America,WY,3.0,R,,5.0,3548540.0
Jqk7626,S,11.0,269215.0,752.0,,1-421-286-4139,,1.0,Yonkers,United States of America,WV,2.0,O,Occidental Petroleum,7.0,881414.0
ijb7627,M,62.0,193126.0,303.0,VITKCZSDQUXZTMLICIBDHMBKLDLCTRVNDXMCHYEHGKHEVTWIYGOYVVMGCSUTKYDEVACOBPWCJYA,1-908-354-2709,m,4.0,Modesto,Canada,CA,0.0,O,,0.0,1712200.0
NMO7628,M,13.0,462618.0,418.0,qehomraquwxrkb,1-466-560-2530,F,5.0,Louisville,United States of America,Alberta,3.0,O,Massey Energy,10.0,847446.0
Tef7629,W,23.0,212026.0,667.0,pqcvwpsrvpzvqbvhsmxgvaigjfvoqwnjrzcpnlwqcqhzedfjoqpahrugzhperwh,1-578-686-8082,f,3.0,Eugene,United States of America,New Brunswick,3.0,O,Weyerhaeuser,4.0,344294.0
Sdj7630,D,51.0,371024.0,441.0,Vhixcyutfffwnvhjcajyuzaqshhtpkcdxkxayylwdfdvwdqejppkxhwfe,1-166-077-1436,,4.0,Buffalo,United States of America,British Columbia,1.0,U,National Fuel Gas,7.0,1534879.0
Pbr7631,U,2.0,235810.0,471.0,kxnhxkeruywqzmkpbwatzrjybxepmuyrnmxtcjblsbdaewnizpa,1-535-320-1881,m,2.0,Santa Fe,United States of America,DE,3.0,O,Pep Boys,0.0,3897101.0
Ice7632,W,,347270.0,701.0,Kobkgkfebuucmenkiwfomkpzvbqksljtanzpffqcbmerezuplwjemxtcbgfijlplqkbvt,1-633-495-6478,m,,Springfield,United States of America,CT,2.0,O,Neiman Marcus,9.0,3064442.0
