prospect_State,prospect_AddressLine2,prospect_MiddleInitial,prospect_LastName,prospect_AddressLine1,prospect_AgencyID,prospect_NumberChildren,prospect_FirstName,prospect_NumberCars,prospect_CreditRating,prospect_OwnOrRentFlag,prospect_PostalCode,prospect_Income,prospect_City,prospect_Country,prospect_NumberCreditCards,prospect_Gender,prospect_Age,prospect_Phone,prospect_NetWorth,prospect_Employer,prospect_MaritalStatus
Saskatchewan,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,dgc7511,1.0,Zaijioc,5.0,,O,NCEVKLQEEWTA,210038.0,Greensboro,United States of America,3.0,m,72.0,,490443.0,Interstate Bakeries,M
NE,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,lql7512,5.0,Mdwdjpdfmbqjaygkfqzqx,4.0,318.0,O,DODDIDDHXS,307402.0,Concord,Canada,9.0,,40.0,1-268-630-3843,3348923.0,eBay,M
AR,ucxdpiwilpxxhv,,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Wsk7513,1.0,Ccbccgvldfvoqtzestvkwunn,4.0,613.0,R,Oqnzttrldq,,Colorado Springs,United States of America,4.0,m,8.0,1-915-548-9541,331799.0,Boise,D
IL,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,v,Ffshsiomkzjonhxjhunfsao,,Ffs7514,1.0,nyakrhdyxravdnhgbtol,4.0,786.0,R,Lwbawk,432425.0,Mobile,,4.0,,10.0,1-536-880-0961,1167013.0,MDU Resources Group,U
VA,,F,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Kvv7515,3.0,NDNBTVCLKSC,0.0,,O,Ppsrzjdtg,122041.0,Thousand Oaks,United States of America,10.0,,24.0,1-494-335-6022,3960216.0,Freescale Semiconductor,U
ID,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,G,mpzqnwnrmaozfsstcqtrc,,mpz7516,4.0,Zmstbluqkipzaojfsomtbdddguq,1.0,623.0,O,,302205.0,Rochester,United States of America,5.0,f,18.0,1-814-158-3550,242246.0,Superior Energy Services,M
TX,Havgczldcpfmwfzj,s,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Jhc7517,1.0,dpqgvuaoijmkxsesvililpxcrwqe,1.0,845.0,O,,367555.0,Garden Grove,United States of America,1.0,F,79.0,1-420-580-0795,1217660.0,Monsanto,S
New Brunswick,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,l,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,dbq7518,5.0,IHUGYGSRDWILVOFBAKUR,4.0,645.0,U,Rxdsunq,106025.0,Tampa,United States of America,7.0,M,36.0,1-924-305-1666,1229655.0,Newfield Exploration,M
Alberta,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Xch7519,2.0,aefotdcronamhkzsfpvifmobgchmsp,2.0,495.0,O,JXHVEEOU,106690.0,Fullerton,Canada,1.0,m,21.0,1-450-082-2122,1157831.0,Loews,W
PA,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Z,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,oir7520,2.0,jdeyqkerjerjpht,2.0,371.0,O,XHJQCDPOO,29373.0,Washington,Canada,8.0,m,4.0,1-573-009-1404,,Apache,M
Nova Scotia,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,O,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Fqb7521,3.0,Lwihnxoihqqrvjydsijd,2.0,462.0,R,rapkjpmvp,168189.0,Norfolk,United States of America,1.0,M,72.0,1-603-897-9894,,Robert Half International,S
RI,Rirmrpvlknyho,,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,qex7522,,nmnervucuk,,375.0,U,Slskxm,264756.0,Sydney,United States of America,7.0,,1.0,1-947-161-6502,3467922.0,Viacom,S
OR,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Hpi7523,2.0,hgjkxxbf,1.0,516.0,U,FXHXLG,44480.0,Winnipeg,Canada,10.0,,98.0,1-586-826-9847,46859.0,Robert Half International,S
CA,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,Fjd7524,5.0,Zangtryzlhmxo,1.0,703.0,R,ovlziicdezok,87207.0,Wilmington,Canada,,,35.0,1-217-243-2668,2937668.0,CSX,
MO,Rpzwirgfyiw,,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,Cgt7525,2.0,FFJGEQD,4.0,734.0,O,jsxcpvao,238434.0,El Monte,United States of America,7.0,,99.0,1-857-211-5728,2388613.0,Country Financial Services,W
Prince Edward Island,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Lwx7526,2.0,Pdcxrihnl,0.0,469.0,U,Ykerbceq,,Sterling Heights,United States of America,4.0,M,49.0,1-089-966-6281,3116283.0,Procter & Gamble,M
Quebec,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,epy7527,0.0,Zckhcacwaelzutaodqalxyjrkh,3.0,595.0,O,VVMSNWEBT,391354.0,Pembroke Pines,United States of America,2.0,,72.0,,2671950.0,Ingles Markets,S
KS,Acdrcqabtcdgmgl,M,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Aff7528,0.0,sqrosgqnpifxjx,3.0,410.0,O,bibueqwbejem,419165.0,Philadelphia,United States of America,1.0,m,41.0,1-231-342-6874,3899593.0,Forest Laboratories,U
NV,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,S,mfcestd,,mfc7529,2.0,Erqzkkllazeobgthnmgsbtj,3.0,475.0,O,gehpynlk,396509.0,Glendale,Canada,10.0,,54.0,,2537332.0,Dentsply International,W
TN,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,S,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,Slf7530,2.0,Lcziayaozecoqqluasolkmmcldm,0.0,,R,Piwlxtg,145161.0,El Monte,United States of America,2.0,,11.0,1-602-637-1838,733236.0,RadioShack,
WY,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Cxu7531,5.0,Gcnczmuxviqaxtsdzmzhtro,2.0,519.0,O,Ujlshmosjkid,263206.0,Warwick,United States of America,3.0,,0.0,1-003-982-8627,,Century Aluminum,W
British Columbia,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,F,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,GZO7532,3.0,Rsoobsqytvjycob,3.0,841.0,U,cwburwnupuj,190371.0,Milwaukee,United States of America,5.0,,27.0,1-136-358-6852,3397276.0,,D
LA,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,A,DRWTVTDSG,Llfaqkbemnoy,DRW7533,1.0,Pjvadgt,3.0,540.0,O,CNEZMHTKIAEV,203968.0,Phoenix,United States of America,6.0,,95.0,1-123-528-2965,2444257.0,FPL Group,U
HI,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,N,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,set7534,3.0,GUBKOKITTSKVYM,1.0,540.0,R,kixvppuqtd,428323.0,Anchorage,United States of America,10.0,f,35.0,1-136-565-2501,71520.0,Lockheed Martin,U
NY,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Pyo7535,1.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,4.0,,O,jrhynxfi,159980.0,Madison,United States of America,6.0,,96.0,1-317-986-1984,1911091.0,Sanmina-SCI,M
TX,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,FSH7536,0.0,Kuteauo,0.0,424.0,O,dnhtjyu,266852.0,Fontana,Canada,6.0,M,96.0,1-265-603-1262,988775.0,Iron Mountain,W
AZ,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,Tdxyljuxporjhdumcvfmv,,Tdx7537,5.0,Hkfofpndygljbeo,5.0,623.0,R,YKOVOTYB,206973.0,Charlotte,United States of America,2.0,,49.0,,3919363.0,OfficeMax,M
ME,XHQNMCEJKXOQYVSZVESLKC,O,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,Sbn7538,1.0,Kengxgsu,5.0,792.0,O,WNNMWJ,258221.0,Richmond,Canada,4.0,,,1-156-668-6882,428918.0,AMR,S
NH,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,C,Piqizouhxiw,Hlotorcbtobuceb,Piq7539,4.0,Plywuoa,4.0,718.0,O,Oktkljv,428508.0,Santa Clarita,United States of America,6.0,f,27.0,1-164-648-3203,58134.0,Kohl's,S
KY,Toumjfbsumpgfuskpydjeibaxi,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,IXD7540,0.0,zfcwsxpjzyqelkxg,4.0,401.0,O,,,Yellow Knife,,6.0,M,98.0,1-839-795-1027,3703767.0,Cigna,M
Prince Edward Island,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,wsn7541,5.0,Yxvczhqjwgnhowiu,4.0,557.0,R,GXFLSISZUY,58953.0,Oxnard,United States of America,2.0,,,1-958-412-4252,433859.0,West,M
British Columbia,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,A,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Jkp7542,5.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,393.0,O,gzexcrngivl,409682.0,Huntington Beach,United States of America,7.0,M,56.0,1-392-335-1020,3002044.0,Monsanto,W
CT,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,,CCFFVCOHCLUUXZIQTCFCUHEYN,,CCF7543,4.0,Vfrdst,2.0,557.0,,yzoikhwrd,340191.0,Durham,United States of America,10.0,M,94.0,1-912-050-7605,1124168.0,Reliant Energy,M
WA,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,ylj7544,5.0,Hqcswumjvwbemosmy,4.0,465.0,O,Gdbktega,238216.0,Naperville,United States of America,5.0,,98.0,1-075-551-9919,2081541.0,Idearc,U
ND,hkyochorqgtokxgozmoncalaaiw,V,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ZBB7545,1.0,Ectbhkmbvwkwdbn,0.0,,O,Kdcqzpvf,113171.0,Albuquerque,Canada,6.0,F,8.0,1-013-611-2674,1897076.0,Neiman Marcus,M
ID,Datdnghoiymltcayulgkgxywi,,fqekemquvstw,Yewxbqpnfgh,fqe7546,,Bdbgqpllbnrmiirpct,5.0,485.0,,Tbwgwtmgcu,234797.0,Newark,United States of America,10.0,m,90.0,1-656-865-7544,235172.0,O'Reilly Automotive,W
Quebec,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Wpw7547,2.0,Ftszluaxcsoxdfbmdd,4.0,303.0,,Mwmfs,225322.0,Miami,United States of America,2.0,,34.0,1-879-870-7379,639573.0,Cliffs Natural Resources,M
ID,,,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,vpz7548,2.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,1.0,846.0,O,goelqgcts,192689.0,London,Canada,4.0,,25.0,1-366-625-9813,2667082.0,Health Management Associates,W
AL,,,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Yfz7549,4.0,Kkiolpmrgzmnjanqc,5.0,621.0,O,ucwygjzs,348685.0,Worcester,Canada,1.0,,50.0,1-359-462-7089,2598634.0,Chevron,
UT,,,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,dou7550,4.0,unzegilpp,3.0,331.0,O,fjlfqftwg,401229.0,Jacksonville,United States of America,,,85.0,,1074671.0,Exide Technologies,D
MS,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,FDJ7551,4.0,xetqkitwlh,5.0,401.0,R,Tocujgaiaq,38597.0,Nashua,United States of America,9.0,M,60.0,1-153-396-8333,2272997.0,Convergys,M
AK,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,ufu7552,2.0,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,644.0,R,kurjmmgixxfd,,Newport News,United States of America,0.0,,95.0,1-144-623-1308,702000.0,Dominion Resources,S
VT,NBSHKLXYVUUWXEQSGXR,H,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,bbg7553,1.0,Yqfljvgkfucafpjpamdtcppiipc,4.0,769.0,R,cnsavindoi,161204.0,Corona,United States of America,5.0,m,8.0,1-269-220-8046,1289800.0,Sentry Insurance Group,M
LA,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,v,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,Znk7554,4.0,mjeasoritwctufyojamzbeeoo,3.0,481.0,O,MQBSAUVQRPYE,202650.0,Lincoln,,2.0,f,31.0,1-052-524-0130,1007390.0,Cintas,M
CT,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,T,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CGQ7555,2.0,Udxaujgiratgthwkvdibgvwfo,1.0,732.0,O,vadbnvz,,Toronto,Canada,7.0,F,51.0,1-335-871-6660,124290.0,Medtronic,U
UT,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,,addxtssyhezwro,dnlleihfh,add7556,4.0,GHFUKZPOKMXWZF,4.0,802.0,O,Ljurvnigr,492433.0,Fayetteville,United States of America,2.0,,24.0,1-637-394-8083,1820002.0,Pride International,M
IN,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,J,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,Anw7557,4.0,ybtkiifyhbgchnuctnhnqspk,2.0,329.0,O,BQDMQVFTNBRJ,344858.0,Charlotte,Canada,5.0,,78.0,1-706-795-4208,2200347.0,A. Schulman,M
WI,nqcozjievwzk,,Hvtanebvipbdd,Wsjaujjdexc,Hvt7558,0.0,Fhkymmgjsbmpduuffgavhfcxm,5.0,839.0,R,jkcul,197290.0,Tulsa,United States of America,0.0,m,56.0,1-622-347-5699,3669569.0,Oneok,W
WA,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,d,Yqjaammjlhgpw,Ojberg,Yqj7559,,DEZDTMSMWKALBRPALCFIME,2.0,539.0,,Nelny,283654.0,Winston-Salem,United States of America,,,50.0,1-042-017-9368,2140537.0,Danaher,U
LA,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Ztn7560,5.0,phoxfeiqoldgmnojmzunmargkla,4.0,561.0,R,Qsggz,317423.0,Thousand Oaks,United States of America,4.0,F,52.0,1-829-935-5979,3258909.0,Del Monte Foods,M
VT,Lfrjkyblujmbxigmylpsxieswspmei,,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,bni7561,5.0,Upuabfflh,4.0,814.0,O,Drofa,399126.0,Lubbock,United States of America,2.0,F,14.0,1-076-726-5283,1825422.0,American Electric Power,W
CT,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,swx7562,0.0,owagfolbfwjzeg,5.0,305.0,R,Ssovhtmt,398180.0,Winnipeg,United States of America,7.0,,29.0,,1845263.0,TJX,M
RI,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,P,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,DSA7563,4.0,Qdmppehqxloc,2.0,457.0,O,Tnprhljfrlj,,Laredo,United States of America,4.0,f,50.0,1-284-129-5920,1463114.0,Philip Morris International,S
SC,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,BXZ7564,1.0,jqbetxkci,4.0,349.0,O,Bkxujhonjgjk,485429.0,Overland Park,United States of America,8.0,,67.0,1-128-308-8886,2354683.0,Cincinnati Financial,U
British Columbia,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,,pczqycbwefse,KRYAIAJGKHBKXBLC,pcz7565,0.0,Wsmywgbvwspgdwhmdxsqjwqb,2.0,590.0,O,mrjrjhgnwcdu,118018.0,Calgary,United States of America,0.0,,22.0,1-145-469-5971,436677.0,Stryker,M
CO,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,,Zqaknviqngvemehvpzrcgkcvre,,Zqa7566,4.0,ocgwi,5.0,533.0,O,Yusezkfgs,309693.0,Peoria,United States of America,0.0,m,20.0,1-727-684-7767,2383335.0,Kansas City Southern,U
TN,IBQIDE,z,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Htl7567,0.0,Pcotdnngmurhkcd,4.0,686.0,O,RKXTQAO,90718.0,Durham,Canada,9.0,,75.0,1-776-201-2472,2574739.0,IDT,W
CA,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,L,afwafvxxdr,VBDCWYVK,afw7568,0.0,bvcosqzcleknjzvkygbawlc,2.0,582.0,O,UBQSATXZO,280645.0,Pueblo,United States of America,10.0,F,60.0,1-767-942-1278,1596838.0,Vornado Realty Trust,U
WY,Lrebujnrg,,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Wna7569,4.0,ECLENELTSXGTNWOP,,807.0,O,BHRNWQLFVFA,231559.0,Las Cruces,United States of America,0.0,,,1-723-062-7266,591965.0,Dollar General,S
SD,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Mlh7570,5.0,Xdwexmrjat,3.0,819.0,O,Ktmzav,36898.0,Chula Vista,United States of America,3.0,,48.0,,3071440.0,Safeway,S
British Columbia,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,Gor7571,0.0,xjwnvwdryqpcehelwzfhkkiuus,2.0,311.0,R,Nfpchgfj,396786.0,San Diego,United States of America,5.0,,91.0,1-145-314-0862,2683081.0,Apache,M
NJ,Hxutrprq,,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,ENX7572,5.0,RNBABCYAFMQPBOHXNUXMXNU,2.0,734.0,O,Wuywecohosfi,344365.0,Chicago,United States of America,3.0,f,98.0,1-735-104-7772,3850483.0,Lowe's,U
AK,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,fgr7573,1.0,Eyrtrqkljywvbcice,4.0,432.0,O,tibxlojrqiha,1205.0,Worcester,United States of America,1.0,,51.0,,1870617.0,Lithia Motors,W
OH,JRHXPUUHAFHDPF,a,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,Ysh7574,0.0,Opybrukftspofebjmspkjsgtobzsp,5.0,394.0,O,ogmes,276666.0,Honolulu,United States of America,3.0,m,22.0,1-518-116-1411,1249534.0,CH2M Hill,S
