AgeID,CrRa,AddLi1,Sta,NWo,C,Ag,Coun,Ph,NumChi,FirN,OORF,NumCrCa,In,NumC,AddL2,PoC,MaSt,Empl
O'L54,539.0,23131 clint way,ND,2636424.0,Bellevue,89.0,United States of America,1-776-182-6215,3.0,Dorotea,U,9.0,426954.0,0.0,,t5d 1v4,S,AptarGroup
and55,497.0,11640 baltic upper,NC,1326305.0,San Buenaventura,99.0,United States of America,1-079-780-7761,4.0,Denice,O,0.0,126891.0,5.0,,V6t 1r2,M,Coca-Cola
sta56,661.0,20796 dolores drive,WV,2241997.0,St. Louis,77.0,Canada,1-504-346-4393,2.0,Myron,O,,454196.0,4.0,,91177,M,Kimberly-Clark
CHA57,558.0,14359 COMMERCE WEST,GA,1542891.0,Pueblo,,United States of America,1-985-538-4351,3.0,Barby,R,0.0,163940.0,5.0,Apt. 275,T5c 1t1,S,Visteon
ASI58,534.0,21448 hampton boulevard,Ontario,797918.0,Regina,90.0,Canada,1-254-097-9398,1.0,Ariella,O,,365213.0,,,35862,W,TECO Energy
ask59,373.0,7637 pershing way,MA,347654.0,Saskatoon,82.0,United States of America,1-545-924-9552,0.0,ADEY,U,6.0,428739.0,0.0,,96820,M,Bemis
Kik60,382.0,11529 arcana boulevard,CA,2456397.0,Jackson,,United States of America,1-984-233-8818,0.0,GAYEL,O,8.0,142444.0,4.0,,75238,M,Wyeth
Cha61,475.0,2700 windwood north,SD,1284229.0,St. Petersburg,15.0,United States of America,1-528-691-1642,3.0,Man,O,10.0,416168.0,3.0,,85769,S,United Technologies
KIL62,539.0,22279 gramercy road,Saskatchewan,618787.0,Scottsdale,,United States of America,,0.0,Klara,O,3.0,291420.0,2.0,,H5i 1o9,D,Clorox
kin63,711.0,9828 west east,RI,1171606.0,Charlotte,96.0,United States of America,1-171-807-8213,5.0,Abdalla,O,6.0,413501.0,4.0,,90849,M,Discovery Communications
MAL64,606.0,5935 mcafee park,NC,3983261.0,Waterbury,38.0,United States of America,1-056-241-7009,,bal,O,1.0,,4.0,,43644,M,Williams-Sonoma
Odu65,494.0,12460 CLAYTON STREET,SD,2328568.0,Chesapeake,10.0,United States of America,1-389-414-0570,3.0,Romy,O,0.0,419143.0,3.0,,99213,W,Manitowoc
DI 66,309.0,275 3rd drive,IL,2078600.0,Hialeah,72.0,United States of America,1-583-542-1656,5.0,KORAL,O,3.0,155057.0,1.0,,72226,M,Henry Schein
STU67,630.0,6907 FERNCLIFF CRESCENT,OR,2986155.0,Charleston,97.0,United States of America,1-269-712-0672,5.0,YUKIHIKO,O,3.0,313859.0,2.0,,V6Z 1Q9,M,Trinity Industries
HAM68,330.0,885 crosby lane,Ontario,1864039.0,Salem,48.0,United States of America,1-670-102-0463,1.0,Khanh,O,10.0,265907.0,4.0,,20082,S,Pepsi Bottling
LIB69,710.0,2344 kalani west,FL,1293721.0,Sacramento,97.0,Canada,1-699-726-3895,0.0,Darnell,O,9.0,283481.0,,,35827,S,UGI
ohs70,475.0,22870 LA CIENEGA STREET,NM,3850114.0,Santa Clarita,73.0,United States of America,1-640-666-2876,0.0,feridoun,R,7.0,200635.0,4.0,,99692,M,Greif
HUM71,596.0,8478 green avenue,NE,1618743.0,Sherbrooke,71.0,United States of America,1-540-639-1311,1.0,Magdy,O,3.0,434519.0,0.0,APT. 143,V6c 1q5,U,Equifax
BRA72,670.0,23639 purdue rue,MI,3383487.0,Colorado Springs,93.0,United States of America,1-285-874-8492,1.0,jiri,O,9.0,392315.0,5.0,,80158,W,
Boa73,722.0,19202 ansley park,New Brunswick,2981876.0,Berkeley,53.0,United States of America,1-121-904-0040,3.0,AILA,O,,493829.0,5.0,,t6d 1b6,U,Freescale Semiconductor
Mcn74,587.0,11319 devonshire rue,NJ,2109339.0,San Buenaventura,32.0,United States of America,1-017-842-3201,2.0,Vincenzo,O,7.0,97489.0,3.0,,33120,U,Aleris International
MAR75,609.0,23665 deerwood park,ND,791803.0,New Haven,1.0,United States of America,1-215-859-3206,3.0,Minnnie,O,4.0,,4.0,,99742,S,
Wil76,401.0,4855 union north,Saskatchewan,3523678.0,Shreveport,39.0,United States of America,1-764-520-7470,1.0,alfonzo,O,7.0,383046.0,0.0,,V6N 1T1,S,World Fuel Services
Dea77,335.0,9466 SHADOWBRIAR WEST,KS,1681902.0,Lansing,77.0,United States of America,1-414-130-0162,0.0,Swandi,,0.0,1190.0,4.0,,44104,M,R.R. Donnelley & Sons
Hou78,569.0,3504 regency avenue,SD,3851455.0,Pembroke Pines,18.0,United States of America,1-970-240-9990,5.0,Anya,O,7.0,85733.0,5.0,,14605,U,Brinker International
Goy79,,7281 northland lower,FL,2339382.0,Palmdale,70.0,Canada,1-408-684-6459,2.0,Enrika,R,9.0,387890.0,0.0,,80076,M,Temple-Inland
Mok80,679.0,12481 hayden lower,Saskatchewan,,Savannah,26.0,United States of America,1-330-353-5908,0.0,SONJA,O,7.0,16808.0,2.0,,V6I 1V6,S,Psychiatric Solutions
Run81,356.0,2328 gracie avenue,FL,2065016.0,Amarillo,,United States of America,1-766-726-2675,4.0,Liem,,10.0,304589.0,,,97307,M,Nash-Finch
BEL82,308.0,4737 campbell street,UT,2454049.0,Anchorage,58.0,United States of America,1-938-425-7509,5.0,COLLETTE,R,9.0,48506.0,2.0,,46237,S,AMR
BAE83,412.0,2401 stratmore lower,WY,2423395.0,Louisville,43.0,United States of America,1-527-308-8874,4.0,SIAMACK,O,4.0,,0.0,,V6B 1S6,M,Spartan Stores
MAU84,618.0,21477 JUNIPER CRESCENT,NH,1342045.0,Hilo,65.0,United States of America,1-810-590-0635,3.0,Toshihiro,O,4.0,358862.0,2.0,,H2d 1x1,D,Cigna
Koo85,429.0,19214 YAUPON BOULEVARD,AR,861756.0,Sudbury,24.0,United States of America,1-274-548-2512,3.0,Casey,O,5.0,477614.0,5.0,,95108,S,General Cable
Lau86,819.0,7785 rusk boulevard,CT,1215349.0,Orlando,79.0,United States of America,1-649-754-4601,1.0,Daryn,O,3.0,175414.0,3.0,,80050,S,Dun & Bradstreet
Man87,552.0,18002 cantrell upper,VT,3981554.0,Missoula,48.0,Canada,1-905-932-1785,1.0,Adrianna,O,7.0,427598.0,0.0,,90122,M,Casey's General Stores
PIE88,587.0,23341 brookside upper,Manitoba,3865937.0,Abilene,69.0,United States of America,1-031-004-7697,4.0,Cortney,O,9.0,368207.0,0.0,,43614,S,Jack in the Box
Bus89,304.0,20494 ROSS WEST,NJ,2804700.0,Saskatoon,91.0,United States of America,1-994-812-4796,1.0,Duane,O,6.0,449944.0,3.0,,61110,S,Assurant
BAB90,795.0,17552 SAVANNAH NORTH,KY,3283558.0,Irvine,75.0,United States of America,1-176-513-4041,5.0,Tele,U,4.0,166247.0,5.0,,70174,,Psychiatric Solutions
Bur91,830.0,4462 pace crescent,GA,450524.0,Reno,85.0,United States of America,1-072-244-6337,3.0,Ophelia,O,2.0,391165.0,1.0,APT. 373,90324,S,Danaher
Kin92,709.0,7161 tallowood upper,NJ,,Sacramento,76.0,United States of America,1-924-669-9328,3.0,lorine,R,3.0,165854.0,5.0,,s7d 1n1,M,Clorox
POM93,493.0,3489 silver sage west,SC,,Topeka,68.0,United States of America,1-598-488-3541,1.0,Viole,O,8.0,326181.0,2.0,,93829,S,Boyd Gaming
BOA94,680.0,12481 hayden lower,TN,633760.0,Rancho Cucamonga,95.0,United States of America,1-295-539-3868,,Nani,O,,173387.0,3.0,,89116,M,Eaton
Ron95,800.0,13210 3RD DRIVE,WY,3634954.0,Hilo,15.0,United States of America,1-554-020-0267,5.0,cherey,R,,301127.0,1.0,,94315,M,Dynegy
wei96,614.0,8899 starling lane,Ontario,799268.0,Saint John,17.0,United States of America,1-793-621-4566,5.0,Redgie,R,4.0,487230.0,1.0,,T5b 1u9,M,AmeriCredit
Hel97,763.0,11480 fennel south,DC,39093.0,Torrance,94.0,Canada,1-787-267-4261,0.0,Yousef,R,6.0,425747.0,4.0,,T6b 1a5,,SLM
mog98,561.0,7266 cherry upper,Alberta,2705353.0,Santa Clara,70.0,United States of America,1-668-247-1597,4.0,Damaris,O,3.0,401946.0,4.0,,60699,S,NV Energy
boz99,569.0,10678 ENGLEWOOD WEST,ME,3565153.0,Torrance,29.0,United States of America,1-901-346-8890,2.0,Ilyssa,O,4.0,425422.0,1.0,,V6p 1s8,S,Landstar System
Zah100,634.0,21181 2ND RUE,MA,2832204.0,Stockton,52.0,United States of America,1-451-273-3803,1.0,Moselle,O,5.0,208890.0,4.0,,v6i 1p1,M,Pacific Life
And101,488.0,22963 hanover road,NV,2194345.0,Paterson,51.0,United States of America,1-129-499-9136,3.0,Dulsea,O,10.0,67880.0,5.0,,79423,U,Textron
Bam102,788.0,8268 cliffbrook boulevard,WA,3737140.0,Mesa,24.0,Canada,1-899-319-0772,3.0,Lyndsie,O,5.0,133412.0,2.0,,H5j 1o6,W,Pfizer
fro103,333.0,5118 montview court,WY,464753.0,Anchorage,98.0,United States of America,1-053-396-0441,4.0,KESLEY,O,8.0,144829.0,3.0,,93761,D,Cigna
Car104,601.0,17442 tallowood upper,NJ,596696.0,Miami,59.0,United States of America,1-239-665-9540,1.0,LAUREL,U,,,1.0,,76150,M,Ameren
muc105,595.0,4038 WEDGEWOOD STREET,LA,1504753.0,Great Falls,49.0,Canada,1-605-888-3403,4.0,Steen,O,2.0,143682.0,3.0,,99717,U,Consolidated Edison
gat106,433.0,20334 anaconda avenue,TX,3049281.0,Erie,1.0,United States of America,1-630-604-2543,1.0,noel,O,10.0,350020.0,0.0,,60608,U,Occidental Petroleum
Sch107,403.0,5385 young west,SC,247478.0,Hollywood,79.0,United States of America,1-851-862-7928,,Tracey,O,10.0,435103.0,0.0,,v6w 1u4,U,Sherwin-Williams
pom108,615.0,2747 SINCLAIR LANE,TX,2750301.0,Tulsa,6.0,United States of America,1-065-415-5724,5.0,Sarajane,R,3.0,207768.0,1.0,,T5b 1t6,,Affiliated Computer Services
cuc109,735.0,8622 BROWNWAY PARK,MN,721333.0,Tucson,70.0,United States of America,1-408-512-1007,4.0,Geoffrey,O,1.0,407512.0,0.0,,23298,M,Valassis Communications
SUG110,668.0,18048 GREEN NORTH,ID,669440.0,Anchorage,23.0,United States of America,1-083-902-4184,0.0,loralyn,O,1.0,403366.0,3.0,,32803,S,
Pep111,349.0,18994 country boulevard,MI,2473979.0,Sandy,78.0,Canada,1-568-403-7081,5.0,andrei,O,,384095.0,3.0,,64122,M,Smithfield Foods
Cha112,654.0,16063 ashland road,OK,3545170.0,Boston,79.0,United States of America,1-824-389-0618,,javad,,,288969.0,4.0,SUITE 7,T6b 1h2,S,
SEI113,361.0,19309 mcfarlin north,UT,1494871.0,Vancouver,72.0,United States of America,1-174-210-2058,3.0,Karna,O,6.0,233665.0,2.0,Apt. 971,22222,U,TD Ameritrade
GAR114,427.0,2454 cliffbrook west,PA,436164.0,Akron,31.0,Canada,1-425-503-7952,0.0,Jocelyn,U,1.0,147236.0,4.0,,T6a 1d2,S,Comerica
Tou115,322.0,15865 strand west,New Brunswick,1069481.0,Lancaster,86.0,United States of America,1-012-389-9089,3.0,Elvera,O,1.0,452557.0,0.0,,v5d 1n9,W,Steel Dynamics
Kur116,792.0,13776 east boulevard,UT,,Concord,,United States of America,1-909-472-6704,0.0,Nessy,R,9.0,179305.0,2.0,,23321,S,Coca-Cola Enterprises
Her117,478.0,10570 WEIZMANN LOWER,VA,2957261.0,Chesapeake,87.0,Canada,1-622-167-5411,0.0,lona,O,2.0,205817.0,3.0,,90505,U,News Corp.
MCV118,477.0,15278 walnut hill road,NH,228459.0,Flint,92.0,United States of America,1-164-511-9338,5.0,RHEA,O,1.0,262711.0,,,19066,M,
LAB119,449.0,23007 WAKEFOREST WAY,VT,67267.0,Chattanooga,4.0,Canada,1-804-532-9163,5.0,Josefa,O,6.0,84810.0,1.0,,v6s 1r3,M,Stater Bros. Holdings
but120,466.0,9088 rivas way,FL,1087978.0,Billings,8.0,United States of America,1-197-370-0297,4.0,alikee,O,2.0,96441.0,2.0,,78769,U,BorgWarner
Pro121,483.0,18798 ullrich road,NC,3885967.0,Scottsdale,97.0,United States of America,1-337-042-5687,5.0,dolorita,O,2.0,462762.0,0.0,,53769,M,CB Richard Ellis Group
Irc122,588.0,18517 HULEN LOWER,VA,3271101.0,Oshawa,,United States of America,1-056-138-5321,4.0,Marilyn,O,4.0,141890.0,5.0,,H7E 1U6,D,Zimmer Holdings
Ziv123,313.0,11474 dodd lane,DC,,Naperville,40.0,Canada,1-776-191-2031,5.0,robertson,O,2.0,156610.0,5.0,,e7o 1k1,,Mohawk Industries
sim124,647.0,9375 wood south,NC,1999133.0,Tampa,95.0,United States of America,1-280-696-2706,4.0,Ilsa,R,1.0,164752.0,1.0,,90374,U,Berkshire Hathaway
kei125,430.0,20479 wise avenue,MS,1100786.0,Jackson,92.0,United States of America,1-857-581-6346,5.0,Pen,O,2.0,278949.0,1.0,,63169,S,Saks
arv126,467.0,19918 ROGERS NORTH,SC,563992.0,Hay River,67.0,United States of America,,5.0,AUBRETTE,O,8.0,,0.0,,16515,W,Gardner Denver
Pra127,399.0,9284 coffey lower,KS,962397.0,Irvine,24.0,United States of America,1-716-343-0884,2.0,Cole,O,7.0,463736.0,3.0,,85309,M,Hasbro
lue128,654.0,2929 north crescent,VT,1064169.0,Idaho Falls,26.0,United States of America,1-101-776-2496,3.0,liva,O,5.0,,2.0,,92158,M,CBS
Prz129,378.0,15404 queen street,IL,2100059.0,Moreno Valley,62.0,United States of America,1-769-028-0589,0.0,Ayaz,O,3.0,86667.0,2.0,,33152,S,Synnex
pen130,338.0,1619 greenspoint road,FL,99025.0,Ontario,37.0,United States of America,1-005-833-8970,1.0,YETTY,O,10.0,193470.0,5.0,,83729,W,Belden
Gua131,695.0,21477 WARREN PARK,MI,3865481.0,Concord,71.0,United States of America,1-884-215-4243,0.0,Mary-michelle,R,10.0,406379.0,5.0,,B8b 1z6,S,Broadcom
bre132,614.0,6503 ROBBINS STREET,Newfoundland,804544.0,Phoenix,29.0,Canada,,3.0,agretha,U,7.0,480595.0,1.0,,53717,M,Reynolds American
Sav133,307.0,3958 GLEN LOCH BOULEVARD,ME,3143356.0,Coral Springs,89.0,United States of America,1-725-177-7815,5.0,LOTTY,O,7.0,181718.0,4.0,,t5c 1w7,S,Wells Fargo
ABB134,331.0,13640 ethridge lower,AL,,Oxnard,11.0,United States of America,1-277-496-5396,3.0,Kassey,O,2.0,468310.0,0.0,,37245,M,Retail Ventures
OP135,638.0,3981 imperial lower,IN,2311953.0,Brownsville,20.0,United States of America,1-756-463-2201,0.0,Adria,O,2.0,354987.0,2.0,,94401,S,AT&T
Mer136,703.0,13210 3rd drive,NH,3120608.0,Memphis,75.0,Canada,1-261-338-7463,5.0,audivox,O,3.0,284539.0,3.0,,B8a 1y3,W,Wynn Resorts
rut137,302.0,9297 THROCKMORTON SOUTH,DC,2058270.0,Flint,95.0,United States of America,1-811-086-4675,5.0,SUE,O,7.0,213725.0,0.0,,t6b 1k2,S,Eastman Kodak
bem138,522.0,8935 YOUNG UPPER,DC,1511983.0,Lafayette,0.0,United States of America,1-338-771-1185,3.0,Lorenza,O,,74195.0,2.0,,85306,U,Aramark
Pen139,,3797 RUTGERS PARK,MD,439080.0,Greensboro,73.0,United States of America,1-554-231-5318,1.0,Enzo,O,,169295.0,5.0,,V6R 1R7,M,ENSCO International
tor140,833.0,8285 tamarind crescent,Prince Edward Island,921255.0,Sterling Heights,39.0,United States of America,1-733-886-5227,0.0,claudina,R,5.0,307832.0,1.0,,68513,W,Auto-Owners Insurance
law141,,20025 routh crescent,MD,3810365.0,Costa Mesa,76.0,United States of America,1-267-357-1943,1.0,Otha,O,2.0,20397.0,1.0,,v6n 1v9,U,Bemis
Bee142,664.0,4144 LAKE PARK LANE,New Brunswick,2641938.0,Houston,5.0,United States of America,1-602-756-7919,2.0,Rodie,O,6.0,463094.0,2.0,Suite 397,83702,U,Securian Financial Group
sch143,789.0,3375 sakowitz lane,HI,3857323.0,Bakersfield,65.0,United States of America,1-793-864-7010,1.0,DULCE,O,7.0,331900.0,4.0,,80125,U,Ford Motor
Wit144,803.0,7255 berry way,ND,1636212.0,Chesapeake,94.0,United States of America,1-637-020-2921,0.0,Win,U,0.0,8421.0,5.0,,M5G 1Y7,S,ConAgra Foods
MER145,720.0,3131 WATHAN SOUTH,Nova Scotia,2999082.0,Sandy,95.0,United States of America,1-428-797-6325,4.0,Roselin,,3.0,35780.0,4.0,,80213,M,Charter Communications
bia146,839.0,18440 RYAN NORTH,ME,2280820.0,Lewiston,28.0,United States of America,1-011-549-5618,0.0,Malanie,R,4.0,139897.0,1.0,,60737,M,Calpine
Swi147,621.0,13222 glen loch road,Alberta,1050866.0,Elizabeth,76.0,United States of America,1-993-255-5481,1.0,TARYN,O,0.0,414119.0,4.0,SUITE 464,90510,D,Crane
bul148,628.0,7889 MURRAY WAY,VT,,Sudbury,81.0,United States of America,1-487-749-4448,4.0,MALENA,O,3.0,234035.0,5.0,,92882,D,Textron
TYR149,813.0,7527 whale drive,DE,603001.0,Austin,38.0,Canada,1-192-352-2184,5.0,Dorie,O,6.0,144405.0,3.0,,98121,W,Idearc
Fyf150,367.0,17788 eagle trace park,MA,3368239.0,Salinas,25.0,United States of America,1-293-442-4224,3.0,Liese,R,3.0,55441.0,5.0,,H2e 1x9,W,Cabela's
Sic151,807.0,7661 GRANT WAY,CA,1042629.0,Peoria,0.0,United States of America,1-078-502-6700,2.0,tele,O,10.0,392869.0,4.0,,23503,D,EOG Resources
CAS152,501.0,4806 crystal hills street,Manitoba,1948746.0,Sydney,61.0,United States of America,1-430-909-3001,4.0,astra,O,8.0,402416.0,3.0,,40208,U,
Cho153,490.0,4211 WILLS NORTH,TN,3113862.0,San Antonio,3.0,United States of America,1-392-455-0895,2.0,marnia,O,10.0,89984.0,0.0,,75201,U,Burlington Coat Factory
CHA154,321.0,7524 linberg north,FL,2777290.0,Oklahoma City,77.0,United States of America,1-273-921-9787,3.0,AMY,O,3.0,395773.0,2.0,,93852,W,Southwest Airlines
