AgencyID,City,MiddleInitial,NumberCreditCards,AddressLine2,Age,CreditRating,LastName,MaritalStatus,Gender,Phone,OwnOrRentFlag,Country,AddressLine1,NumberChildren,FirstName,PostalCode,State
Din17,Bellevue,,0.0,,87.0,441.0,Dinnin,M,,,R,United States of America,6106 ashland east,4.0,KATTIE,V6j 1q8,OK
De 18,Detroit,M,6.0,,85.0,848.0,De witte,M,,1-357-207-6320,O,United States of America,1111 norden street,3.0,Roselle,43207,Ontario
Mck19,Omaha,,8.0,,86.0,843.0,Mckeegan,U,m,1-462-774-1277,R,United States of America,2798 1st east,3.0,arlyne,V6t 1q8,KY
WIN20,Costa Mesa,P,,,59.0,,WINTERS,U,M,1-702-382-2898,R,United States of America,11358 elle lee street,0.0,Rong-chin,94467,PA
BIT21,Berkeley,,0.0,,94.0,300.0,BITTMAN,U,,1-909-554-7120,O,United States of America,21074 MALLORY LOWER,3.0,Darlleen,94321,MD
luz22,St. Louis,V,8.0,,,795.0,luzarraga,U,f,1-752-296-7940,O,United States of America,16124 weyland park,1.0,Radoslav,C2a 4w7,TX
don23,Colorado Springs,S,5.0,,5.0,367.0,donovan,,,1-995-554-5056,U,United States of America,23822 marvin crescent,0.0,Aryn,35808,IN
Gia24,Fontana,T,1.0,,23.0,507.0,Giallo,M,,1-090-303-3807,O,United States of America,2203 valita boulevard,5.0,Allisan,M5f 1v6,MD
SPR25,St. Catharines,,9.0,,61.0,362.0,SPRUELL,M,M,1-492-968-0932,O,United States of America,11538 COLLINWOOD AVENUE,1.0,Ammamaria,99539,KY
SKA26,Hayward,,7.0,,,527.0,SKALSKI,D,F,1-960-227-2020,O,United States of America,7818 EAST STREET,1.0,Mari,95055,CA
Gar27,Palmdale,,0.0,,51.0,354.0,Gargul,S,m,1-431-122-8597,O,United States of America,10013 shaw road,,Anica,93686,FL
Dor28,Phoenix,,1.0,,97.0,511.0,Dore,M,,1-822-836-7200,O,United States of America,6802 AMES STREET,1.0,Melba,75218,Newfoundland
DIO29,Gary,X,7.0,,52.0,412.0,DIOGO,,,1-530-117-0497,,United States of America,22501 SUMMIT RUE,2.0,Tracee,91174,TX
Mer30,Beaumont,,1.0,,98.0,583.0,Merrick,S,m,1-051-257-2719,O,Canada,291 frances rue,0.0,CANADIAN,49515,WA
Atc31,Nashua,R,5.0,,47.0,710.0,Atchison,U,,1-171-989-1363,O,United States of America,16264 sanders east,3.0,Oue,16506,MN
Pla32,San Jose,X,9.0,,47.0,380.0,Plamondon,M,m,1-042-705-3246,O,United States of America,16068 cantey way,1.0,wallie,94383,WY
SEL33,Nashua,E,2.0,,9.0,796.0,SELCHOW,M,F,1-098-328-2026,R,United States of America,21170 EDLOE BOULEVARD,0.0,Andromache,T6d 1b3,NY
sha34,Fort Smith,Z,2.0,,85.0,818.0,shane,M,f,1-209-754-5635,U,United States of America,885 CROSBY LANE,3.0,THOR,25339,SC
MER35,Lancaster,,3.0,,81.0,766.0,MERWIN,M,,1-498-781-3456,U,United States of America,12235 jay street,3.0,SALAH,V6o 1v4,MS
con36,Colorado Springs,,2.0,,0.0,359.0,conrad,M,,1-615-241-0440,O,United States of America,20340 LOMBARD CRESCENT,3.0,HOR-LAM,01852,UT
ons37,Washington,,2.0,,28.0,401.0,onsiteteam,S,M,1-995-449-5200,R,United States of America,22074 dexter upper,5.0,Vania,78230,PA
Sum38,Lowell,,0.0,,65.0,609.0,Summerlin,U,M,1-295-673-4452,O,Canada,1540 MURIE RUE,1.0,Niel,93770,OK
gro39,Frederick,F,2.0,,20.0,630.0,grooms,S,,1-914-675-2986,O,United States of America,7075 glen loch drive,0.0,ziad,m4l 1n4,WY
dil40,Mesa,I,9.0,Apt. 382,55.0,671.0,dilkie,M,,,O,United States of America,11237 balmoral way,1.0,Claude,22335,RI
DOL41,Lakewood,,10.0,,76.0,715.0,DOLSON,U,,1-825-739-0336,O,United States of America,8316 GARDEN BROOK NORTH,2.0,AVTAR,V6C 1T4,HI
Pos42,Cleveland,,9.0,,1.0,707.0,Posthumus,M,,1-956-713-3802,O,United States of America,2240 clifton lower,1.0,Donny,M6t 1h3,VA
Mac43,Grand Rapids,,0.0,,3.0,329.0,Machika,M,,1-814-932-1579,O,United States of America,20907 NOTINGHAM LOWER,2.0,Cocos,95263,OK
che44,Peoria,,8.0,,100.0,601.0,chenoweth,D,,1-135-443-7282,R,United States of America,601 carroll lower,3.0,ruud,v5b 1p5,Prince Edward Island
hol45,Inglewood,,2.0,,81.0,623.0,holbrooks,W,,1-720-975-0667,O,United States of America,18267 state drive,1.0,Belvia,32318,SD
pfi46,Akron,,2.0,,76.0,376.0,pfieffer,S,f,1-871-598-3505,O,United States of America,9270 LEAF SOUTH,4.0,ATHAR,93872,OH
elk47,Charlottetown,Y,0.0,,51.0,560.0,elkington,W,,1-607-222-4809,O,Canada,18582 PERIMETER BOULEVARD,3.0,Cherey,92824,MA
Lab48,Bellevue,,4.0,,,693.0,Labenek,,F,1-965-046-0642,O,United States of America,9612 park stream upper,5.0,RAZ,e4a 1r2,MD
laf49,Dover,Y,0.0,,58.0,346.0,laferriere,S,,1-155-441-3579,U,United States of America,2803 clearwater north,2.0,kishore,H7G 1V4,Saskatchewan
Nor50,Fullerton,I,0.0,,52.0,342.0,Norment,M,,,O,United States of America,11103 BISSONNET WEST,3.0,Nelleke,85039,WA
hag51,Denver,,8.0,,91.0,563.0,hagar,M,,1-544-132-7237,R,Canada,4652 outervale lane,0.0,sibby,v6m 1q3,OH
Bet52,Dallas,,4.0,,17.0,391.0,Betcher,M,m,1-821-089-2089,O,United States of America,341 dunbar west,3.0,ericha,X7j 1r1,WY
Van53,San Jose,,8.0,,6.0,381.0,Van der,S,m,1-135-391-9787,O,United States of America,16176 vernon drive,4.0,Janson,B8b 1z5,NJ
O'L54,Bellevue,,9.0,,89.0,539.0,O'LEARY,S,F,1-776-182-6215,U,United States of America,23131 clint way,3.0,Dorotea,t5d 1v4,ND
and55,San Buenaventura,,0.0,,99.0,497.0,anderson,M,m,1-079-780-7761,O,United States of America,11640 baltic upper,4.0,Denice,V6t 1r2,NC
sta56,St. Louis,,,,77.0,661.0,starks,M,,1-504-346-4393,O,Canada,20796 dolores drive,2.0,Myron,91177,WV
CHA57,Pueblo,,0.0,Apt. 275,,558.0,CHASSE,S,,1-985-538-4351,R,United States of America,14359 COMMERCE WEST,3.0,Barby,T5c 1t1,GA
ASI58,Regina,,,,90.0,534.0,ASING,W,R,1-254-097-9398,O,Canada,21448 hampton boulevard,1.0,Ariella,35862,Ontario
ask59,Saskatoon,,6.0,,82.0,373.0,askins,M,f,1-545-924-9552,U,United States of America,7637 pershing way,0.0,ADEY,96820,MA
Kik60,Jackson,K,8.0,,,382.0,Kikuta,M,,1-984-233-8818,O,United States of America,11529 arcana boulevard,0.0,GAYEL,75238,CA
Cha61,St. Petersburg,,10.0,,15.0,475.0,Chane,S,F,1-528-691-1642,O,United States of America,2700 windwood north,3.0,Man,85769,SD
KIL62,Scottsdale,U,3.0,,,539.0,KILLEN,D,m,,O,United States of America,22279 gramercy road,0.0,Klara,H5i 1o9,Saskatchewan
kin63,Charlotte,,6.0,,96.0,711.0,kinley,M,f,1-171-807-8213,O,United States of America,9828 west east,5.0,Abdalla,90849,RI
MAL64,Waterbury,,1.0,,38.0,606.0,MALAHER,M,,1-056-241-7009,O,United States of America,5935 mcafee park,,bal,43644,NC
Odu65,Chesapeake,J,0.0,,10.0,494.0,Odum,W,,1-389-414-0570,O,United States of America,12460 CLAYTON STREET,3.0,Romy,99213,SD
DI 66,Hialeah,,3.0,,72.0,309.0,DI NINNO,M,,1-583-542-1656,O,United States of America,275 3rd drive,5.0,KORAL,72226,IL
STU67,Charleston,K,3.0,,97.0,630.0,STUBBLEFIELD,M,,1-269-712-0672,O,United States of America,6907 FERNCLIFF CRESCENT,5.0,YUKIHIKO,V6Z 1Q9,OR
HAM68,Salem,,10.0,,48.0,330.0,HAMBALI,S,,1-670-102-0463,O,United States of America,885 crosby lane,1.0,Khanh,20082,Ontario
LIB69,Sacramento,,9.0,,97.0,710.0,LIBRARIAN,S,m,1-699-726-3895,O,Canada,2344 kalani west,0.0,Darnell,35827,FL
ohs70,Santa Clarita,,7.0,,73.0,475.0,ohsone,M,M,1-640-666-2876,R,United States of America,22870 LA CIENEGA STREET,0.0,feridoun,99692,NM
HUM71,Sherbrooke,O,3.0,APT. 143,71.0,596.0,HUMMEL,U,,1-540-639-1311,O,United States of America,8478 green avenue,1.0,Magdy,V6c 1q5,NE
BRA72,Colorado Springs,,9.0,,93.0,670.0,BRADD,W,,1-285-874-8492,O,United States of America,23639 purdue rue,1.0,jiri,80158,MI
Boa73,Berkeley,X,,,53.0,722.0,Boarder,U,,1-121-904-0040,O,United States of America,19202 ansley park,3.0,AILA,t6d 1b6,New Brunswick
Mcn74,San Buenaventura,,7.0,,32.0,587.0,Mcnally,U,,1-017-842-3201,O,United States of America,11319 devonshire rue,2.0,Vincenzo,33120,NJ
MAR75,New Haven,,4.0,,1.0,609.0,MARKOVICH,S,F,1-215-859-3206,O,United States of America,23665 deerwood park,3.0,Minnnie,99742,ND
Wil76,Shreveport,,7.0,,39.0,401.0,Willekes,S,f,1-764-520-7470,O,United States of America,4855 union north,1.0,alfonzo,V6N 1T1,Saskatchewan
Dea77,Lansing,S,0.0,,77.0,335.0,Deacetis,M,m,1-414-130-0162,,United States of America,9466 SHADOWBRIAR WEST,0.0,Swandi,44104,KS
Hou78,Pembroke Pines,,7.0,,18.0,569.0,Houk,U,,1-970-240-9990,O,United States of America,3504 regency avenue,5.0,Anya,14605,SD
Goy79,Palmdale,,9.0,,70.0,,Goyette,M,,1-408-684-6459,R,Canada,7281 northland lower,2.0,Enrika,80076,FL
Mok80,Savannah,Z,7.0,,26.0,679.0,Mok-fung,S,f,1-330-353-5908,O,United States of America,12481 hayden lower,0.0,SONJA,V6I 1V6,Saskatchewan
Run81,Amarillo,I,10.0,,,356.0,Rundle,M,,1-766-726-2675,,United States of America,2328 gracie avenue,4.0,Liem,97307,FL
BEL82,Anchorage,,9.0,,58.0,308.0,BELLEY,S,o,1-938-425-7509,R,United States of America,4737 campbell street,5.0,COLLETTE,46237,UT
BAE83,Louisville,Y,4.0,,43.0,412.0,BAER,M,,1-527-308-8874,O,United States of America,2401 stratmore lower,4.0,SIAMACK,V6B 1S6,WY
MAU84,Hilo,,4.0,,65.0,618.0,MAULDIN,D,f,1-810-590-0635,O,United States of America,21477 JUNIPER CRESCENT,3.0,Toshihiro,H2d 1x1,NH
Koo85,Sudbury,,5.0,,24.0,429.0,Koohgoli,S,,1-274-548-2512,O,United States of America,19214 YAUPON BOULEVARD,3.0,Casey,95108,AR
Lau86,Orlando,,3.0,,79.0,819.0,Lauriston,S,,1-649-754-4601,O,United States of America,7785 rusk boulevard,1.0,Daryn,80050,CT
Man87,Missoula,L,7.0,,48.0,552.0,Mangum,M,F,1-905-932-1785,O,Canada,18002 cantrell upper,1.0,Adrianna,90122,VT
PIE88,Abilene,,9.0,,69.0,587.0,PIERCY,S,,1-031-004-7697,O,United States of America,23341 brookside upper,4.0,Cortney,43614,Manitoba
Bus89,Saskatoon,,6.0,,91.0,304.0,Buscaglia,S,M,1-994-812-4796,O,United States of America,20494 ROSS WEST,1.0,Duane,61110,NJ
BAB90,Irvine,,4.0,,75.0,795.0,BABIONE,,,1-176-513-4041,U,United States of America,17552 SAVANNAH NORTH,5.0,Tele,70174,KY
Bur91,Reno,,2.0,APT. 373,85.0,830.0,Burkard,S,M,1-072-244-6337,O,United States of America,4462 pace crescent,3.0,Ophelia,90324,GA
Kin92,Sacramento,,3.0,,76.0,709.0,Kinsella,M,,1-924-669-9328,R,United States of America,7161 tallowood upper,3.0,lorine,s7d 1n1,NJ
POM93,Topeka,,8.0,,68.0,493.0,POMMAINVILLE,S,,1-598-488-3541,O,United States of America,3489 silver sage west,1.0,Viole,93829,SC
BOA94,Rancho Cucamonga,,,,95.0,680.0,BOATWRIGHT,M,M,1-295-539-3868,O,United States of America,12481 hayden lower,,Nani,89116,TN
Ron95,Hilo,R,,,15.0,800.0,Ronald,M,,1-554-020-0267,R,United States of America,13210 3RD DRIVE,5.0,cherey,94315,WY
wei96,Saint John,A,4.0,,17.0,614.0,weihs,M,,1-793-621-4566,R,United States of America,8899 starling lane,5.0,Redgie,T5b 1u9,Ontario
Hel97,Torrance,P,6.0,,94.0,763.0,Helpb,,M,1-787-267-4261,R,Canada,11480 fennel south,0.0,Yousef,T6b 1a5,DC
mog98,Santa Clara,,3.0,,70.0,561.0,moghe,S,m,1-668-247-1597,O,United States of America,7266 cherry upper,4.0,Damaris,60699,Alberta
boz99,Torrance,,4.0,,29.0,569.0,bozicevich,S,,1-901-346-8890,O,United States of America,10678 ENGLEWOOD WEST,2.0,Ilyssa,V6p 1s8,ME
Zah100,Stockton,R,5.0,,52.0,634.0,Zaharychuk,M,,1-451-273-3803,O,United States of America,21181 2ND RUE,1.0,Moselle,v6i 1p1,MA
And101,Paterson,,10.0,,51.0,488.0,Andric,U,F,1-129-499-9136,O,United States of America,22963 hanover road,3.0,Dulsea,79423,NV
Bam102,Mesa,L,5.0,,24.0,788.0,Bamfo,W,,1-899-319-0772,O,Canada,8268 cliffbrook boulevard,3.0,Lyndsie,H5j 1o6,WA
fro103,Anchorage,,8.0,,98.0,333.0,frondozo,D,,1-053-396-0441,O,United States of America,5118 montview court,4.0,KESLEY,93761,WY
Car104,Miami,J,,,59.0,601.0,Caron,M,,1-239-665-9540,U,United States of America,17442 tallowood upper,1.0,LAUREL,76150,NJ
muc105,Great Falls,V,2.0,,49.0,595.0,muchow,U,f,1-605-888-3403,O,Canada,4038 WEDGEWOOD STREET,4.0,Steen,99717,LA
gat106,Erie,,10.0,,1.0,433.0,gateau,U,,1-630-604-2543,O,United States of America,20334 anaconda avenue,1.0,noel,60608,TX
Sch107,Hollywood,M,10.0,,79.0,403.0,Schaefer,U,F,1-851-862-7928,O,United States of America,5385 young west,,Tracey,v6w 1u4,SC
pom108,Tulsa,,3.0,,6.0,615.0,pomerleau,,,1-065-415-5724,R,United States of America,2747 SINCLAIR LANE,5.0,Sarajane,T5b 1t6,TX
cuc109,Tucson,K,1.0,,70.0,735.0,cucuzzella,M,F,1-408-512-1007,O,United States of America,8622 BROWNWAY PARK,4.0,Geoffrey,23298,MN
SUG110,Anchorage,Z,1.0,,23.0,668.0,SUGARMAN,S,q,1-083-902-4184,O,United States of America,18048 GREEN NORTH,0.0,loralyn,32803,ID
Pep111,Sandy,,,,78.0,349.0,Pepe,M,,1-568-403-7081,O,Canada,18994 country boulevard,5.0,andrei,64122,MI
Cha112,Boston,,,SUITE 7,79.0,654.0,Chandrashekar,S,f,1-824-389-0618,,United States of America,16063 ashland road,,javad,T6b 1h2,OK
SEI113,Vancouver,U,6.0,Apt. 971,72.0,361.0,SEIFERS,U,m,1-174-210-2058,O,United States of America,19309 mcfarlin north,3.0,Karna,22222,UT
GAR114,Akron,S,1.0,,31.0,427.0,GARTLEY,S,F,1-425-503-7952,U,Canada,2454 cliffbrook west,0.0,Jocelyn,T6a 1d2,PA
Tou115,Lancaster,,1.0,,86.0,322.0,Touchette,W,M,1-012-389-9089,O,United States of America,15865 strand west,3.0,Elvera,v5d 1n9,New Brunswick
Kur116,Concord,V,9.0,,,792.0,Kurdziel,S,M,1-909-472-6704,R,United States of America,13776 east boulevard,0.0,Nessy,23321,UT
Her117,Chesapeake,,2.0,,87.0,478.0,Herod,U,,1-622-167-5411,O,Canada,10570 WEIZMANN LOWER,0.0,lona,90505,VA
MCV118,Flint,P,1.0,,92.0,477.0,MCVICAR,M,,1-164-511-9338,O,United States of America,15278 walnut hill road,5.0,RHEA,19066,NH
LAB119,Chattanooga,,6.0,,4.0,449.0,LABFIVE,M,F,1-804-532-9163,O,Canada,23007 WAKEFOREST WAY,5.0,Josefa,v6s 1r3,VT
but120,Billings,,2.0,,8.0,466.0,butta,U,,1-197-370-0297,O,United States of America,9088 rivas way,4.0,alikee,78769,FL
Pro121,Scottsdale,,2.0,,97.0,483.0,Projects,M,m,1-337-042-5687,O,United States of America,18798 ullrich road,5.0,dolorita,53769,NC
Irc122,Oshawa,,4.0,,,588.0,Irc,D,,1-056-138-5321,O,United States of America,18517 HULEN LOWER,4.0,Marilyn,H7E 1U6,VA
Ziv123,Naperville,G,2.0,,40.0,313.0,Zivkovic,,,1-776-191-2031,O,Canada,11474 dodd lane,5.0,robertson,e7o 1k1,DC
sim124,Tampa,H,1.0,,95.0,647.0,simser,U,,1-280-696-2706,R,United States of America,9375 wood south,4.0,Ilsa,90374,NC
kei125,Jackson,I,2.0,,92.0,430.0,keifer,S,,1-857-581-6346,O,United States of America,20479 wise avenue,5.0,Pen,63169,MS
arv126,Hay River,P,8.0,,67.0,467.0,arvin,W,f,,O,United States of America,19918 ROGERS NORTH,5.0,AUBRETTE,16515,SC
Pra127,Irvine,,7.0,,24.0,399.0,Praeuner,M,F,1-716-343-0884,O,United States of America,9284 coffey lower,2.0,Cole,85309,KS
lue128,Idaho Falls,C,5.0,,26.0,654.0,lue,M,m,1-101-776-2496,O,United States of America,2929 north crescent,3.0,liva,92158,VT
Prz129,Moreno Valley,,3.0,,62.0,378.0,Przybycien,S,f,1-769-028-0589,O,United States of America,15404 queen street,0.0,Ayaz,33152,IL
pen130,Ontario,J,10.0,,37.0,338.0,penn,W,f,1-005-833-8970,O,United States of America,1619 greenspoint road,1.0,YETTY,83729,FL
Gua131,Concord,S,10.0,,71.0,695.0,Guay,S,,1-884-215-4243,R,United States of America,21477 WARREN PARK,0.0,Mary-michelle,B8b 1z6,MI
bre132,Phoenix,,7.0,,29.0,614.0,brennand,M,F,,U,Canada,6503 ROBBINS STREET,3.0,agretha,53717,Newfoundland
Sav133,Coral Springs,X,7.0,,89.0,307.0,Savanh,S,f,1-725-177-7815,O,United States of America,3958 GLEN LOCH BOULEVARD,5.0,LOTTY,t5c 1w7,ME
ABB134,Oxnard,Z,2.0,,11.0,331.0,ABBATANTUONO,M,,1-277-496-5396,O,United States of America,13640 ethridge lower,3.0,Kassey,37245,AL
OP135,Brownsville,N,2.0,,20.0,638.0,OP,S,M,1-756-463-2201,O,United States of America,3981 imperial lower,0.0,Adria,94401,IN
Mer136,Memphis,,3.0,,75.0,703.0,Mersinger,W,,1-261-338-7463,O,Canada,13210 3rd drive,5.0,audivox,B8a 1y3,NH
rut137,Flint,,7.0,,95.0,302.0,rutt,S,F,1-811-086-4675,O,United States of America,9297 THROCKMORTON SOUTH,5.0,SUE,t6b 1k2,DC
bem138,Lafayette,I,,,0.0,522.0,bemis,U,,1-338-771-1185,O,United States of America,8935 YOUNG UPPER,3.0,Lorenza,85306,DC
Pen139,Greensboro,,,,73.0,,Pennington,M,,1-554-231-5318,O,United States of America,3797 RUTGERS PARK,1.0,Enzo,V6R 1R7,MD
tor140,Sterling Heights,Y,5.0,,39.0,833.0,torok,W,M,1-733-886-5227,R,United States of America,8285 tamarind crescent,0.0,claudina,68513,Prince Edward Island
law141,Costa Mesa,L,2.0,,76.0,,lawlis,U,m,1-267-357-1943,O,United States of America,20025 routh crescent,1.0,Otha,v6n 1v9,MD
Bee142,Houston,D,6.0,Suite 397,5.0,664.0,Beebe,U,m,1-602-756-7919,O,United States of America,4144 LAKE PARK LANE,2.0,Rodie,83702,New Brunswick
sch143,Bakersfield,,7.0,,65.0,789.0,schlange,U,m,1-793-864-7010,O,United States of America,3375 sakowitz lane,1.0,DULCE,80125,HI
Wit144,Chesapeake,,0.0,,94.0,803.0,Witchlow,S,,1-637-020-2921,U,United States of America,7255 berry way,0.0,Win,M5G 1Y7,ND
MER145,Sandy,Q,3.0,,95.0,720.0,MEREDITH,M,F,1-428-797-6325,,United States of America,3131 WATHAN SOUTH,4.0,Roselin,80213,Nova Scotia
bia146,Lewiston,,4.0,,28.0,839.0,bialkenius,M,m,1-011-549-5618,R,United States of America,18440 RYAN NORTH,0.0,Malanie,60737,ME
Swi147,Elizabeth,P,0.0,SUITE 464,76.0,621.0,Swiat,D,m,1-993-255-5481,O,United States of America,13222 glen loch road,1.0,TARYN,90510,Alberta
bul148,Sudbury,,3.0,,81.0,628.0,bullinger,D,,1-487-749-4448,O,United States of America,7889 MURRAY WAY,4.0,MALENA,92882,VT
TYR149,Austin,,6.0,,38.0,813.0,TYRRELL,W,F,1-192-352-2184,O,Canada,7527 whale drive,5.0,Dorie,98121,DE
Fyf150,Salinas,,3.0,,25.0,367.0,Fyfe,W,,1-293-442-4224,R,United States of America,17788 eagle trace park,3.0,Liese,H2e 1x9,MA
Sic151,Peoria,,10.0,,0.0,807.0,Sicard,D,,1-078-502-6700,O,United States of America,7661 GRANT WAY,2.0,tele,23503,CA
CAS152,Sydney,,8.0,,61.0,501.0,CASTEN,U,F,1-430-909-3001,O,United States of America,4806 crystal hills street,4.0,astra,40208,Manitoba
Cho153,San Antonio,S,10.0,,3.0,490.0,Choy,U,,1-392-455-0895,O,United States of America,4211 WILLS NORTH,2.0,marnia,75201,TN
CHA154,Oklahoma City,,3.0,,77.0,321.0,CHACKO,W,,1-273-921-9787,O,United States of America,7524 linberg north,3.0,AMY,93852,FL
bei155,Miami,E,6.0,,8.0,,beil,U,f,1-012-993-4538,R,United States of America,14266 lemming south,0.0,HAMILTON,32312,CA
Ele156,Yonkers,J,7.0,,34.0,446.0,Eleftheriou,U,m,1-890-859-4211,O,United States of America,1427 ADDAX LANE,1.0,Kuldip,90059,CO
o'g157,Columbia,,2.0,,15.0,428.0,o'grady,M,F,1-080-032-3031,O,United States of America,1625 fernando court,5.0,krystalle,77006,Saskatchewan
Kat158,Lubbock,,5.0,,66.0,423.0,Katchmar,S,,1-561-620-7173,O,United States of America,335 floresta north,0.0,Stella,23224,UT
Lui159,Chattanooga,O,6.0,,55.0,499.0,Luin,U,,1-017-439-0362,O,United States of America,22806 garson east,4.0,Marie-josee,10055,ME
Kla160,Fargo,,7.0,,8.0,342.0,Klavkalns,S,f,1-248-539-6621,O,United States of America,5524 vermack street,1.0,Nashib,35830,NH
Bru161,Omaha,Z,1.0,,7.0,632.0,Brunsting,M,,1-611-789-5569,U,United States of America,18105 electra street,3.0,Annette,v6m 1s9,VA
Apt162,Yonkers,Q,6.0,,97.0,525.0,Apter,M,,1-023-151-8130,O,United States of America,719 holman court,1.0,LENA,22304,TX
sch163,Spokane,,9.0,,95.0,371.0,schuette,M,f,1-005-574-3523,R,United States of America,23553 MEMORIAL RUE,1.0,Christian,06101,Saskatchewan
Lan164,Tulsa,,4.0,,92.0,699.0,Lanava,U,,1-550-487-1571,O,United States of America,16759 park avenue,3.0,Morrie,78756,NH
Fus165,Garden Grove,,8.0,,17.0,435.0,Fusca,M,F,1-280-494-1415,O,United States of America,12296 WILLIAMS LOWER,2.0,LYMAN,93003,VA
Nev166,Fort Lauderdale,R,2.0,,81.0,512.0,Nevardauskis,U,F,1-803-438-4141,U,United States of America,9625 ALLEN BOULEVARD,4.0,REUBEN,T5D 1P2,IA
SHA167,Philadelphia,,6.0,,13.0,552.0,SHACKLEFORD,M,f,1-566-299-2351,O,Canada,10340 jarvis road,,Hermon,10108,NC
Sau168,Sydney,P,8.0,,78.0,,Sauck,M,,1-586-363-4189,O,Canada,13143 goodwin lane,2.0,Paqs,t5c 1l3,NH
fri169,Waterbury,,5.0,,78.0,687.0,frischknecht,M,,1-505-124-9029,O,United States of America,7160 BEATTY RUE,1.0,GAETAN,M5B 1Z8,AL
fer170,Tacoma,O,0.0,,85.0,433.0,fernandez,M,,1-897-996-9812,R,United States of America,22679 chimney rock west,1.0,leese,V6H 1W2,British Columbia
LAN171,Charlottetown,,7.0,,68.0,746.0,LANDERS,U,M,1-922-919-5858,,United States of America,6769 pasadena upper,2.0,Amelie,90308,MD
Bha172,Independence,,9.0,,1.0,405.0,Bhasin,M,,1-326-572-2988,R,Canada,20622 MCAFEE COURT,0.0,TAMRA,M5e 1y2,IA
Jor173,Escondido,,,,83.0,805.0,Jordan,M,M,1-076-972-4311,O,United States of America,10526 LINWOOD LANE,5.0,bang,80029,ND
KNU174,Lansing,,5.0,,78.0,819.0,KNUDSEN,M,F,1-341-595-8408,O,United States of America,21088 vessey crescent,4.0,HILDEGARDE,30350,NY
Ham175,Anaheim,,0.0,,,648.0,Hamelin,M,F,,O,United States of America,10884 ryan avenue,5.0,Carmody,97240,OR
MAU176,Glendale,,10.0,,5.0,401.0,MAUER,U,,1-536-952-5040,R,United States of America,1481 gale court,5.0,Dareen,R3A 1M1,MO
Rez177,Chula Vista,,8.0,Apt. 426,43.0,484.0,Rezansoff,U,F,1-663-917-0422,U,United States of America,18390 martins east,0.0,WEN,73172,CT
Koa178,Orlando,,1.0,,53.0,463.0,Koa,U,,1-843-773-1791,O,Canada,23208 porter crescent,4.0,MOT,V6s 1p9,MO
HAN179,Cleveland,B,5.0,,13.0,335.0,HANNEMAN,U,m,1-823-567-1252,O,United States of America,17026 durand north,0.0,leese,90140,MN
