prospect_gncd,prospect_crdtrtng,prospect_pstlcd,prospect_nmbrchldrn,prospect_mplr,prospect_mddlntl,prospect_lstnm,prospect_ddrssln1,prospect_ntwrth,prospect_phn,prospect_gndr,prospect_cntr,prospect_frstnm,prospect_nmbrcrs,prospect_ct,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_nmbrcrdtcrds
dgc7511,,NCEVKLQEEWTA,1.0,Interstate Bakeries,,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,490443.0,,m,United States of America,Zaijioc,5.0,Greensboro,M,72.0,O,3.0
lql7512,318.0,DODDIDDHXS,5.0,eBay,,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,3348923.0,1-268-630-3843,,Canada,Mdwdjpdfmbqjaygkfqzqx,4.0,Concord,M,40.0,O,9.0
Wsk7513,613.0,Oqnzttrldq,1.0,Boise,,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,331799.0,1-915-548-9541,m,United States of America,Ccbccgvldfvoqtzestvkwunn,4.0,Colorado Springs,D,8.0,R,4.0
Ffs7514,786.0,Lwbawk,1.0,MDU Resources Group,v,Ffshsiomkzjonhxjhunfsao,,1167013.0,1-536-880-0961,,,nyakrhdyxravdnhgbtol,4.0,Mobile,U,10.0,R,4.0
Kvv7515,,Ppsrzjdtg,3.0,Freescale Semiconductor,F,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,3960216.0,1-494-335-6022,,United States of America,NDNBTVCLKSC,0.0,Thousand Oaks,U,24.0,O,10.0
mpz7516,623.0,,4.0,Superior Energy Services,G,mpzqnwnrmaozfsstcqtrc,,242246.0,1-814-158-3550,f,United States of America,Zmstbluqkipzaojfsomtbdddguq,1.0,Rochester,M,18.0,O,5.0
Jhc7517,845.0,,1.0,Monsanto,s,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1217660.0,1-420-580-0795,F,United States of America,dpqgvuaoijmkxsesvililpxcrwqe,1.0,Garden Grove,S,79.0,O,1.0
dbq7518,645.0,Rxdsunq,5.0,Newfield Exploration,l,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,1229655.0,1-924-305-1666,M,United States of America,IHUGYGSRDWILVOFBAKUR,4.0,Tampa,M,36.0,U,7.0
Xch7519,495.0,JXHVEEOU,2.0,Loews,,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1157831.0,1-450-082-2122,m,Canada,aefotdcronamhkzsfpvifmobgchmsp,2.0,Fullerton,W,21.0,O,1.0
oir7520,371.0,XHJQCDPOO,2.0,Apache,Z,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,,1-573-009-1404,m,Canada,jdeyqkerjerjpht,2.0,Washington,M,4.0,O,8.0
Fqb7521,462.0,rapkjpmvp,3.0,Robert Half International,O,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,,1-603-897-9894,M,United States of America,Lwihnxoihqqrvjydsijd,2.0,Norfolk,S,72.0,R,1.0
qex7522,375.0,Slskxm,,Viacom,,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,3467922.0,1-947-161-6502,,United States of America,nmnervucuk,,Sydney,S,1.0,U,7.0
Hpi7523,516.0,FXHXLG,2.0,Robert Half International,,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,46859.0,1-586-826-9847,,Canada,hgjkxxbf,1.0,Winnipeg,S,98.0,U,10.0
Fjd7524,703.0,ovlziicdezok,5.0,CSX,,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,2937668.0,1-217-243-2668,,Canada,Zangtryzlhmxo,1.0,Wilmington,,35.0,R,
Cgt7525,734.0,jsxcpvao,2.0,Country Financial Services,,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,2388613.0,1-857-211-5728,,United States of America,FFJGEQD,4.0,El Monte,W,99.0,O,7.0
Lwx7526,469.0,Ykerbceq,2.0,Procter & Gamble,,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,3116283.0,1-089-966-6281,M,United States of America,Pdcxrihnl,0.0,Sterling Heights,M,49.0,U,4.0
epy7527,595.0,VVMSNWEBT,0.0,Ingles Markets,,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,2671950.0,,,United States of America,Zckhcacwaelzutaodqalxyjrkh,3.0,Pembroke Pines,S,72.0,O,2.0
Aff7528,410.0,bibueqwbejem,0.0,Forest Laboratories,M,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,3899593.0,1-231-342-6874,m,United States of America,sqrosgqnpifxjx,3.0,Philadelphia,U,41.0,O,1.0
mfc7529,475.0,gehpynlk,2.0,Dentsply International,S,mfcestd,,2537332.0,,,Canada,Erqzkkllazeobgthnmgsbtj,3.0,Glendale,W,54.0,O,10.0
Slf7530,,Piwlxtg,2.0,RadioShack,S,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,733236.0,1-602-637-1838,,United States of America,Lcziayaozecoqqluasolkmmcldm,0.0,El Monte,,11.0,R,2.0
Cxu7531,519.0,Ujlshmosjkid,5.0,Century Aluminum,,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,,1-003-982-8627,,United States of America,Gcnczmuxviqaxtsdzmzhtro,2.0,Warwick,W,0.0,O,3.0
GZO7532,841.0,cwburwnupuj,3.0,,F,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,3397276.0,1-136-358-6852,,United States of America,Rsoobsqytvjycob,3.0,Milwaukee,D,27.0,U,5.0
DRW7533,540.0,CNEZMHTKIAEV,1.0,FPL Group,A,DRWTVTDSG,Llfaqkbemnoy,2444257.0,1-123-528-2965,,United States of America,Pjvadgt,3.0,Phoenix,U,95.0,O,6.0
set7534,540.0,kixvppuqtd,3.0,Lockheed Martin,N,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,71520.0,1-136-565-2501,f,United States of America,GUBKOKITTSKVYM,1.0,Anchorage,U,35.0,R,10.0
Pyo7535,,jrhynxfi,1.0,Sanmina-SCI,,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1911091.0,1-317-986-1984,,United States of America,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,4.0,Madison,M,96.0,O,6.0
FSH7536,424.0,dnhtjyu,0.0,Iron Mountain,,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,988775.0,1-265-603-1262,M,Canada,Kuteauo,0.0,Fontana,W,96.0,O,6.0
Tdx7537,623.0,YKOVOTYB,5.0,OfficeMax,,Tdxyljuxporjhdumcvfmv,,3919363.0,,,United States of America,Hkfofpndygljbeo,5.0,Charlotte,M,49.0,R,2.0
Sbn7538,792.0,WNNMWJ,1.0,AMR,O,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,428918.0,1-156-668-6882,,Canada,Kengxgsu,5.0,Richmond,S,,O,4.0
Piq7539,718.0,Oktkljv,4.0,Kohl's,C,Piqizouhxiw,Hlotorcbtobuceb,58134.0,1-164-648-3203,f,United States of America,Plywuoa,4.0,Santa Clarita,S,27.0,O,6.0
IXD7540,401.0,,0.0,Cigna,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,3703767.0,1-839-795-1027,M,,zfcwsxpjzyqelkxg,4.0,Yellow Knife,M,98.0,O,6.0
wsn7541,557.0,GXFLSISZUY,5.0,West,,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,433859.0,1-958-412-4252,,United States of America,Yxvczhqjwgnhowiu,4.0,Oxnard,M,,R,2.0
Jkp7542,393.0,gzexcrngivl,5.0,Monsanto,A,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,3002044.0,1-392-335-1020,M,United States of America,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,Huntington Beach,W,56.0,O,7.0
CCF7543,557.0,yzoikhwrd,4.0,Reliant Energy,,CCFFVCOHCLUUXZIQTCFCUHEYN,,1124168.0,1-912-050-7605,M,United States of America,Vfrdst,2.0,Durham,M,94.0,,10.0
ylj7544,465.0,Gdbktega,5.0,Idearc,,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,2081541.0,1-075-551-9919,,United States of America,Hqcswumjvwbemosmy,4.0,Naperville,U,98.0,O,5.0
ZBB7545,,Kdcqzpvf,1.0,Neiman Marcus,V,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1897076.0,1-013-611-2674,F,Canada,Ectbhkmbvwkwdbn,0.0,Albuquerque,M,8.0,O,6.0
fqe7546,485.0,Tbwgwtmgcu,,O'Reilly Automotive,,fqekemquvstw,Yewxbqpnfgh,235172.0,1-656-865-7544,m,United States of America,Bdbgqpllbnrmiirpct,5.0,Newark,W,90.0,,10.0
Wpw7547,303.0,Mwmfs,2.0,Cliffs Natural Resources,,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,639573.0,1-879-870-7379,,United States of America,Ftszluaxcsoxdfbmdd,4.0,Miami,M,34.0,,2.0
vpz7548,846.0,goelqgcts,2.0,Health Management Associates,,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,2667082.0,1-366-625-9813,,Canada,Qrdnpjquwnixfocqhsrlkcxmelwijl,1.0,London,W,25.0,O,4.0
Yfz7549,621.0,ucwygjzs,4.0,Chevron,,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,2598634.0,1-359-462-7089,,Canada,Kkiolpmrgzmnjanqc,5.0,Worcester,,50.0,O,1.0
dou7550,331.0,fjlfqftwg,4.0,Exide Technologies,,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,1074671.0,,,United States of America,unzegilpp,3.0,Jacksonville,D,85.0,O,
FDJ7551,401.0,Tocujgaiaq,4.0,Convergys,,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,2272997.0,1-153-396-8333,M,United States of America,xetqkitwlh,5.0,Nashua,M,60.0,R,9.0
ufu7552,644.0,kurjmmgixxfd,2.0,Dominion Resources,,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,702000.0,1-144-623-1308,,United States of America,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,Newport News,S,95.0,R,0.0
bbg7553,769.0,cnsavindoi,1.0,Sentry Insurance Group,H,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,1289800.0,1-269-220-8046,m,United States of America,Yqfljvgkfucafpjpamdtcppiipc,4.0,Corona,M,8.0,R,5.0
Znk7554,481.0,MQBSAUVQRPYE,4.0,Cintas,v,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,1007390.0,1-052-524-0130,f,,mjeasoritwctufyojamzbeeoo,3.0,Lincoln,M,31.0,O,2.0
CGQ7555,732.0,vadbnvz,2.0,Medtronic,T,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,124290.0,1-335-871-6660,F,Canada,Udxaujgiratgthwkvdibgvwfo,1.0,Toronto,U,51.0,O,7.0
add7556,802.0,Ljurvnigr,4.0,Pride International,,addxtssyhezwro,dnlleihfh,1820002.0,1-637-394-8083,,United States of America,GHFUKZPOKMXWZF,4.0,Fayetteville,M,24.0,O,2.0
Anw7557,329.0,BQDMQVFTNBRJ,4.0,A. Schulman,J,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,2200347.0,1-706-795-4208,,Canada,ybtkiifyhbgchnuctnhnqspk,2.0,Charlotte,M,78.0,O,5.0
Hvt7558,839.0,jkcul,0.0,Oneok,,Hvtanebvipbdd,Wsjaujjdexc,3669569.0,1-622-347-5699,m,United States of America,Fhkymmgjsbmpduuffgavhfcxm,5.0,Tulsa,W,56.0,R,0.0
Yqj7559,539.0,Nelny,,Danaher,d,Yqjaammjlhgpw,Ojberg,2140537.0,1-042-017-9368,,United States of America,DEZDTMSMWKALBRPALCFIME,2.0,Winston-Salem,U,50.0,,
Ztn7560,561.0,Qsggz,5.0,Del Monte Foods,,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,3258909.0,1-829-935-5979,F,United States of America,phoxfeiqoldgmnojmzunmargkla,4.0,Thousand Oaks,M,52.0,R,4.0
bni7561,814.0,Drofa,5.0,American Electric Power,,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,1825422.0,1-076-726-5283,F,United States of America,Upuabfflh,4.0,Lubbock,W,14.0,O,2.0
swx7562,305.0,Ssovhtmt,0.0,TJX,,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,1845263.0,,,United States of America,owagfolbfwjzeg,5.0,Winnipeg,M,29.0,R,7.0
DSA7563,457.0,Tnprhljfrlj,4.0,Philip Morris International,P,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,1463114.0,1-284-129-5920,f,United States of America,Qdmppehqxloc,2.0,Laredo,S,50.0,O,4.0
BXZ7564,349.0,Bkxujhonjgjk,1.0,Cincinnati Financial,,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,2354683.0,1-128-308-8886,,United States of America,jqbetxkci,4.0,Overland Park,U,67.0,O,8.0
pcz7565,590.0,mrjrjhgnwcdu,0.0,Stryker,,pczqycbwefse,KRYAIAJGKHBKXBLC,436677.0,1-145-469-5971,,United States of America,Wsmywgbvwspgdwhmdxsqjwqb,2.0,Calgary,M,22.0,O,0.0
Zqa7566,533.0,Yusezkfgs,4.0,Kansas City Southern,,Zqaknviqngvemehvpzrcgkcvre,,2383335.0,1-727-684-7767,m,United States of America,ocgwi,5.0,Peoria,U,20.0,O,0.0
Htl7567,686.0,RKXTQAO,0.0,IDT,z,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,2574739.0,1-776-201-2472,,Canada,Pcotdnngmurhkcd,4.0,Durham,W,75.0,O,9.0
afw7568,582.0,UBQSATXZO,0.0,Vornado Realty Trust,L,afwafvxxdr,VBDCWYVK,1596838.0,1-767-942-1278,F,United States of America,bvcosqzcleknjzvkygbawlc,2.0,Pueblo,U,60.0,O,10.0
Wna7569,807.0,BHRNWQLFVFA,4.0,Dollar General,,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,591965.0,1-723-062-7266,,United States of America,ECLENELTSXGTNWOP,,Las Cruces,S,,O,0.0
Mlh7570,819.0,Ktmzav,5.0,Safeway,,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,3071440.0,,,United States of America,Xdwexmrjat,3.0,Chula Vista,S,48.0,O,3.0
Gor7571,311.0,Nfpchgfj,0.0,Apache,,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,2683081.0,1-145-314-0862,,United States of America,xjwnvwdryqpcehelwzfhkkiuus,2.0,San Diego,M,91.0,R,5.0
ENX7572,734.0,Wuywecohosfi,5.0,Lowe's,,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,3850483.0,1-735-104-7772,f,United States of America,RNBABCYAFMQPBOHXNUXMXNU,2.0,Chicago,U,98.0,O,3.0
fgr7573,432.0,tibxlojrqiha,1.0,Lithia Motors,,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1870617.0,,,United States of America,Eyrtrqkljywvbcice,4.0,Worcester,W,51.0,O,1.0
Ysh7574,394.0,ogmes,0.0,CH2M Hill,a,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,1249534.0,1-518-116-1411,m,United States of America,Opybrukftspofebjmspkjsgtobzsp,5.0,Honolulu,S,22.0,O,3.0
Mos7575,658.0,JUBKXDKP,0.0,Tellabs,I,Mosqjrkdycyygfsljqadgfqoldb,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,3789880.0,1-696-359-4829,,United States of America,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,0.0,Albuquerque,U,57.0,O,1.0
czu7576,348.0,Xbgykqm,2.0,Phillips-Van Heusen,,czuvw,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,3874445.0,1-352-678-5471,,Canada,kpofwgtomgijnm,1.0,Oakland,M,38.0,O,3.0
Ghr7577,598.0,NNCXIBTCXZA,5.0,Wells Fargo,Z,Ghrlcuscpesuzsdwqfwwbgh,BESJDYZDIOIXKDFEHBQXBPW,437353.0,1-906-600-9749,,United States of America,Biflzgcqpqpbahquomftmjffohpwuy,1.0,Billings,M,68.0,O,8.0
Rwk7578,505.0,mfwuio,2.0,Vornado Realty Trust,,Rwkdeshuwhwvmvmdnckmuvdt,Ouopoqztakszwsfkthdbwndfjuqaelyd,2669917.0,1-093-018-2851,,United States of America,ybdlwlwxispyswbiegrbsqqtywxr,2.0,Pueblo,U,93.0,O,9.0
Uwi7579,839.0,Utgwrun,3.0,New York Times,,Uwinnbtdd,Ivwhotvobwkshcixclfobqoljlaqohw,1466537.0,1-302-096-9321,,United States of America,Capzcewdt,4.0,Sherbrooke,S,48.0,R,7.0
VXZ7580,672.0,Wgulrhctjlg,1.0,Adobe Systems,,VXZTLDNZPYIFIKTIJRXS,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,991860.0,1-915-044-3154,,United States of America,XKBLVBCCYKMIXABVTOTVPZCJRII,1.0,Sacramento,S,96.0,U,2.0
Ayk7581,696.0,Srhxvxe,5.0,Valmont Industries,p,Aykkkc,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,,1-040-274-3474,f,United States of America,wmknfemsztimaphftadowlmbnp,5.0,Charlotte,M,58.0,O,3.0
lho7582,448.0,Dadkihaohc,3.0,UAL,,lhodktal,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,1816368.0,1-678-397-2739,M,United States of America,DHLVITRFJDXLTPAGMPMJ,5.0,El Paso,W,63.0,O,5.0
rzi7583,549.0,Fpoleiod,1.0,AFLAC,,rziprpcfwnirtuvrbfnuepq,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,565246.0,1-679-345-9939,,United States of America,Jdpqutldftwykfyhukveiaimoyyk,2.0,Mesa,S,18.0,O,9.0
Wds7584,705.0,Cuaieflmccqp,2.0,VeraSun Energy,,Wdsuorykxmvfxupyyjl,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,1899339.0,1-093-616-0613,,United States of America,Qiwemtdba,4.0,Simi Valley,W,40.0,O,0.0
Xsj7585,387.0,qiraymmapgf,3.0,Magellan Health Services,f,Xsjypvyfoqbiq,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,3873239.0,1-546-131-8988,M,United States of America,JQKEDISZ,4.0,St. Catharines,M,29.0,O,6.0
Lux7586,359.0,Tsynomgib,1.0,Emcor Group,v,Luxkby,Nhgrkzjzcrjcerkwrugwul,767547.0,1-477-186-7432,,United States of America,Gfuwa,2.0,Washington,U,21.0,,7.0
wxw7587,494.0,Amudllk,2.0,Peabody Energy,,wxwhwasadsmxchyhlgrvnurte,,1027999.0,1-965-848-6954,f,Canada,CTTUYHUUMMDTX,2.0,Chula Vista,M,41.0,O,9.0
pfz7588,345.0,ELQKT,1.0,State Farm Insurance Cos.,e,pfzjoarqopfjtzjalxxxeq,uiaoi,3428495.0,1-622-866-0937,m,United States of America,Wvtqm,1.0,Montpelier,M,56.0,,10.0
hlx7589,402.0,Oiwac,0.0,Humana,,hlxshqpvshstjerwclb,Wwonzdtvwkn,1827180.0,1-040-217-2014,M,United States of America,xuwgpsvzcpxtoerndtr,2.0,Mesa,M,33.0,O,10.0
nyb7590,579.0,Dqgzinvuxxy,0.0,News Corp.,,nybiaaw,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,2070007.0,1-101-684-2373,,United States of America,Hnnzpokbygacjjgybkskf,2.0,New Haven,M,96.0,O,3.0
Ltt7591,569.0,Nchaajfkjvx,0.0,Torchmark,O,Lttvvpjjavydrmbt,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,,1-386-426-5849,,United States of America,qsnivsknktiwjpqwnrlgftnmsrxkjc,2.0,Indianapolis,,35.0,O,2.0
gsz7592,745.0,XEDMBUAMGXKH,4.0,Rock-Tenn,,gszunimggpyfjzmivbwizzftuen,cezvfwtftwlwfrgrpxtuejvrgucexe,3596263.0,1-598-816-0126,,United States of America,pygsfvfpeofkdcugfvxdsqgmcgebfp,0.0,Stockton,W,40.0,O,9.0
Kwp7593,320.0,crxbrlj,,AGCO,,Kwpztgkknktyvdks,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,3719999.0,1-770-379-7700,,,Zgxsuo,0.0,Louisville,D,10.0,U,1.0
AGM7594,591.0,Eytubbwi,4.0,,D,AGMCLBCUEPVBRKDKWAGBCFOLYET,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,3058439.0,,,United States of America,ganifmdaqbltccwbqijtkypcetuq,2.0,Atlanta,M,59.0,R,4.0
Ocn7595,,Lwftldizl,0.0,United Stationers,u,Ocnds,Ctgihaqlm,2592932.0,1-628-245-6238,m,United States of America,IYCOMORWDFSEKN,1.0,Milwaukee,M,70.0,U,10.0
Cmw7596,417.0,GSSFZNBZL,5.0,McCormick,,Cmweamsabhudajyhpsohkpzcy,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,1471273.0,1-813-787-2611,F,United States of America,vdvdlfz,4.0,Fort Smith,M,69.0,,5.0
Dit7597,338.0,Nrnqtmjz,5.0,National Life Group,V,Ditjvpiidkjkvxssfnctzcczb,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,,1-362-897-1162,,United States of America,Sbwymtnwzhffkwjczlsnvrtcv,0.0,Knoxville,M,96.0,R,8.0
